dbmsnr,hzbnr01,mstnam02,gew03,mpua04,egarea05,daterr06,datauf07,xrkko08,yhkko09,aufge_f,sym_ehyd,longitude,latitude
8001022,200220,Lustenau (Hofsteig),Rheintalbinnenkanal,"399,52","78,5",1949,,125876.16,399209.32,N,7,9.69624399435427,47.43453304748655
8001041,200410,Lauterach,Dornbirnerach,"394,53","197,5",1982,,124933.71,402391.92,N,6,9.681776381573352,47.46273902850286
8001024,200246,Hopfreben,Bregenzerach,"943,52","40,9",1941,,151641.15,381472.19,N,6,10.047547699004268,47.285431714210006
8001025,200253,Au,Bregenzerach,"773,66","147,1",1928,,146240.96,386398.22,N,6,9.973389119713742,47.32763488252636
8001026,200261,Mellau,Bregenzerach,"671,42","227,4",1907,,139409.26,389704.95,N,7,9.881124777553648,47.35466313581918
8001046,200493,Reuthe,Bizauerbach,"643,86","14,3",1991,,140594.15,391443.79,N,6,9.895778862078243,47.37076598920668
8001028,200287,Schönenbach (Hengstig),Subersach,"980,72","30,9",1941,,151606.81,392649.02,N,6,10.040828180304194,47.3858932763053
8001029,200295,Lingenau,Subersach,"589,52","109,6",1908,,143748.22,399835.35,N,1,9.932646274299715,47.44744548093039
8001060,200584,Kälberweide,Leckenbach,"974,44","14,1",1996,,150606.85,402267.46,N,6,10.022159415468549,47.47197447339521
8002379,200451,Hittisau (VKW),Bolgenach,"747,1","80,4",1998,,146170.81,401431.43,N,6,9.96383019112282,47.46274258323734
8001030,200303,Krumbach-Zwing,Weißach,"540,32","200,2",1948,,142908.4,405960.19,N,6,9.917945322230215,47.50216870657304
8001031,200311,Thal (Martinsbrücke),Rotach,"539,16","85,8",1950,,139763.69,409003.8,N,6,9.874432952598678,47.52827420796914
8001032,200329,Kennelbach,Bregenzerach,"423,02","823,9",1930,,132029.52,403560.34,N,8,9.775111825196522,47.47620366638351
8001033,200337,Bregenz (Seepegel),Bodensee,"392,14",10907,1855,,130105.25,407172.02,N,2,9.747389158314927,47.50786880997358
8001034,200345,Lochau,Ruggbach,"409,45","6,8",1967,,130103.69,410317.27,N,6,9.745439141019991,47.536136941386616
8001035,200352,Unterhochsteg,Leiblach,"396,35","102,4",1926,,129410.82,410457.07,N,7,9.73615744345354,47.53710507934245
8001036,200360,Lech,Zürsbach,"1453,94","25,6",1942,,158303.3,372240.08,N,6,10.140586673016118,47.20493650455313
8001037,200378,Lech (Tannbergbrücke),Lech,"1437,49","84,4",1942,,158330.98,372542.14,N,6,10.140787869054371,47.20766230435292
7001001,201012,Steeg,Lech,"1109,3","247,9",1897,,170036.64,375877.47,N,7,10.293503524296751,47.241875107828605
7001002,201038,Grießau,Lech,"1013,48","459,8",1972,,183099.41,381611.48,N,1,10.46317366308751,47.297903531149565
7001004,201053,Vorderhornbach (Brücke),Hornbach,"957,31",64,1961,,189033.11,389260.51,N,6,10.537960952488527,47.36862868580807
7001113,202226,Stanzach,Namlosbach,"937,39","66,4",1985,,190987.21,390848.71,N,6,10.563073993586809,47.38353963115024
7001007,201087,Lechaschau,Lech,"836,09","1012,2",1948,,202472.5,403069.35,N,8,10.709669628418435,47.49701815583573
7001109,202184,Seespitze (Seepegel),Plansee,"969,95","115,5",1902,,208209.37,400104.48,N,1,10.787083833513975,47.47207543951964
7004416,202713,Tannheim (Seepegel),Vilsalpsee,"1163,35","14,9",2005,,187004.63,400550.78,N,2,10.505668058265996,47.4694855916322
7001110,202192,Grän (Seepegel),Haldensee,"1122,75",12,1988,,191660.93,402978.97,N,2,10.56626639642996,47.49282830949006
7001009,201111,Vils (Lände),Vils,"806,98","198,1",1950,,198244.6,409275.83,N,7,10.6507253555868,47.55152752860677
7001010,201129,Scharnitz (Karwendelbrücke),Karwendelbach,"976,02","48,1",1973,,245440.24,388809.82,N,2,11.284923518604314,47.380410331801926
7001008,201095,Scharnitz (Weidach),Isar,"956,95","203,6",1978,,243888.42,389868.42,N,7,11.26400007828604,47.38956137770816
7001108,202176,Seefeld (Seepegel),Wildsee,"1176,61","6,9",1976,,237973.48,382896.85,N,2,11.188214675966451,47.32541209129552
7001105,202143,Scharnitz (Gießenbach),Gießenbach,"965,66","65,1",1985,,243394.83,389756.53,N,6,11.257502390978042,47.3884363952345
7001103,202127,Klamm,Leutascher Ache,"1184,07",45,1983,,232395.95,387261.71,N,6,11.112784200607178,47.36325847175944
7001012,201145,Pertisau (Seepegel),Achensee,"918,78","105,5",1902,,277191.23,395062.7,N,2,11.703695397075672,47.44342623049385
7001170,202507,Biberwier (Seepegel),Blindsee,"1092,81",6,1995,,212594.38,388162.87,N,2,10.850311632692453,47.36596497004373
7001013,201152,Ehrwald (Viadukt),Loisach,958,"88,4",1951,,217385.41,392709.29,N,6,10.911851573437504,47.40821302638401
7001014,201160,Schalklhof,Schalklbach,"982,18","107,8",1953,,183644.34,341499.35,N,7,10.489805721544432,46.93740798759161
7001015,201178,Kajetansbrücke,Inn,"967,18",2162,1896,,185380.01,343020.19,N,7,10.5118655515429,46.95165289908359
7001017,201194,Prutz,Inn,"861,36","2461,5",1929,,197190.21,356521.76,N,6,10.660854675736168,47.07682161746055
7001156,230300,Gepatschalm,Fagge,"1895,01",55,1983,,202216.12,336476.57,N,6,10.735848237303376,46.89809694872788
7001023,201251,St. Anton am Arlberg-Moos,Rosanna,"1312,79","130,6",1962,,166667.49,362651.02,N,7,10.25594987651765,47.12176498548532
7001019,201210,Galtür-Au,Trisanna,"1543,7","97,6",1960,,161644.95,346251.85,N,6,10.198521960105264,46.97251852053811
7001021,201236,See,Trisanna,1017,"385,4",1949,,182944.51,358420.55,N,6,10.472428086014013,47.089328105388375
7001095,202036,Landeck-Bruggen,Sanna,"775,3",727,1971,,190009.17,364182.24,N,8,10.56273180074418,47.14344181275995
7001027,201293,Landeck-Perjen,Inn,"768,73","3503,1",1902,,190692.25,364531.34,N,1,10.571570594800946,47.14679992176255
7001101,202101,Nassereith (Wiesenmühle),Gurglbach,"813,39","78,3",1978,,211698.04,381019.38,N,7,10.841483973276205,47.30146511304287
7001029,201319,Imst (Bahnhof),Inn,"706,89",3842,1886,,205017.22,372081.8,N,6,10.757087624961247,47.21912812119746
7001031,201335,St. Leonhard im Pitztal,Pitze,"1338,77","165,4",1941,,211015.53,355273.41,N,7,10.843383965976363,47.06973148272233
7001033,201350,Vent (oberh. Niedertalbach),Rofenache,"1891,01","98,1",1936,,215404.33,331484.1,N,8,10.910930275288598,46.85703564598271
7001035,201376,Obergurgl,Gurgler Ache,"1878,64","72,5",1946,,223812.3,332416.44,N,6,11.02080305563734,46.86772819265778
7001037,201392,Huben,Ötztaler Ache,"1186,35","517,2",1902,,220673.57,352085.71,N,7,10.971792874267429,47.0437787041138
7001158,230383,Fundusalm,Fundusbach,"1593,85","13,1",1971,,215247.4,362252.03,N,6,10.8962022794602,47.13370054101099
7001041,201434,Tumpen,Ötztaler Ache,"931,1","785,5",1920,,216437.49,365483.11,N,8,10.910556636571766,47.16309405061415
7001171,202358,Oetz-Badeanstalt (Seepegel),Piburger See,"912,23","1,3",1991,,215229.07,368958.41,N,1,10.893181102414848,47.19400806004031
7001100,202093,Kühtai,Längentalbach,"1902,36","9,2",1981,,223668.9,370087.29,N,6,11.004092062728006,47.20649359423736
7001157,230342,Brunau,Ötztaler Ache,"701,46",890,1983,,212720.41,372617.84,N,6,10.858542895631732,47.226203582693735
7001043,201459,Magerbach,Inn,"652,98","5118,8",1886,,214146.84,376250.21,N,7,10.87585536251849,47.25927785095742
7001152,230078,Telfs (Fußgängersteg),Inn,"616,12","5289,7",1981,,229187.25,380505.47,N,6,11.072916243608915,47.30166029957276
7001045,201475,Zirl,Inn,"590,6","5420,2",1896,,241438.34,376462.28,N,1,11.236349611462524,47.268389637893534
7001097,202069,Kniepiß,Melach,"1552,72",52,1978,,233698.23,364318.34,N,1,11.138614398021776,47.157237858811015
7001098,202077,Koflerkreuz,Zirmbach,"1383,55","64,4",1978,,233246.13,369239.4,N,1,11.130810965088637,47.20138338736101
7001163,230706,In der Au,Melach,"813,58","204,7",1989,,241030.37,371682.72,N,7,11.232668813736367,47.2253009981462
7001049,201525,Innsbruck (oberh. Sill),Inn,"568,46","5771,6",1870,,252355.17,375478.92,N,8,11.38093911420154,47.26210739329039
7001111,202200,Gries am Brenner (Seepegel),Brennersee,"1310,31","18,3",1988,,260919.61,348322.93,N,2,11.502575238684098,47.01971483070411
7001116,202275,Lueg,Sill,"1216,24","22,2",1990,,260052.08,349379.6,N,7,11.490834232845136,47.02903514194613
7001050,201533,Gries am Brenner,Obernberger Seebach,"1174,62","58,3",1946,,259151.84,350212.54,N,1,11.478729095970806,47.03633469277266
7001052,201558,St. Jodok am Brenner,Valserbach,"1120,02","108,8",1940,,260803.73,353087.05,N,7,11.499569640981036,47.06254500555384
7001053,201566,Steinach am Brenner,Gschnitzbach,"1039,73","111,4",1937,,258267.89,356516.65,N,6,11.465101045671942,47.09285083565746
7001054,201574,Puig,Sill,"1004,97","341,8",1947,,257361.99,358784.61,N,7,11.452444894341005,47.11305462890421
7001055,201582,Mühlen,Navisbach,"1009,08","61,5",1947,,257892.3,359093.37,N,6,11.459334138238152,47.115947429115
7001117,202283,Krössbach,Ruetz,"1086,16","127,5",1990,,243156.29,355485.52,N,7,11.266435917837498,47.08012833308663
7001164,230714,Fulpmes,Ruetz,"896,07","280,9",1974,,250246.24,363588.28,N,1,11.357076238043229,47.15467244224262
7001057,201624,Innsbruck-Reichenau,Sill,"567,39","854,4",1904,,254690.05,376621.28,N,8,11.411416468961898,47.272907246894064
7004204,202572,Hall-West,Inn,"557,15",6685,2001,,259472.65,376338.74,N,1,11.474713727218266,47.271414087497455
7001059,201657,Wattens,Wattenbach,"550,86","73,9",1929,,268300.07,378872.02,N,6,11.590627201507385,47.29604489468888
7001060,201665,Weer,Weerbach,"547,46","72,8",1921,,271834.81,379928.12,N,7,11.637060307699356,47.30624988159168
7001061,201673,Schwaz (Steinbrücke),Inn,"531,69","7129,8",1844,,277210.62,384133.6,N,1,11.706991366349897,47.3451164004882
7001062,201681,Jenbach-Rotholz,Inn,"521,48","7230,7",1895,,283516.63,388890.22,N,7,11.789200685957962,47.38906508574184
7001063,201699,Klaushof (Brücke),Ziller,"1011,48","135,3",1930,,294599.96,362869.9,N,6,11.942205378265822,47.156871408864895
7001091,201996,Neukaser,Zamserbach,"1785,91","24,2",1976,,275472.25,348927.01,N,6,11.69383379596234,47.028077357914846
7001064,201715,Sausteinaste,Zemmbach,"909,54",225,1952,,284464.79,359254.95,N,6,11.809474435519313,47.12263683583638
7001065,201723,Persal,Tuxbach,"881,69","129,2",1954,,284804.32,362203.42,N,6,11.813187681748133,47.149221389724
7001067,201749,Mayrhofen,Ziller,"622,01","610,9",1913,,288372.02,364303.85,N,7,11.859707748443022,47.16873660126733
7004037,230755,Schwendberg-Aue,Sidanbach,"1383,05",16,1995,,284877.94,368761.3,N,6,11.812462544815803,47.20822928876306
7001068,201756,Zell am Ziller-Zellbergeben,Ziller,"569,82","696,3",1896,,290051.51,371609.39,N,7,11.88005690167392,47.234743439452885
7001090,201970,EW-Gmünd,Gerlosbach,"1192,91",141,1953,,299263.87,368805.79,N,6,12.002374216195822,47.21100943409012
7001070,201772,Rohr,Gerlosbach,"570,69","196,8",1962,,291370.26,371833.0,N,6,11.897420513558425,47.23697608635976
7001071,201780,Hart im Zillertal,Ziller,"530,99","1094,7",1965,,288982.08,384061.69,N,8,11.862812857330272,47.34658383436759
7001073,201806,Brixlegg,Inn,"512,5","8503,6",1969,,289910.04,393600.5,N,6,11.872717263539151,47.43255228301766
7001074,201814,Rattenberg,Inn,"508,2","8508,7",1844,,291542.37,394576.4,N,3,11.894118123135662,47.44160597454573
7001166,230896,Steinberg am Rofan-Außersteinberg,Grundache,"984,29",15,1976,,285020.51,400300.7,N,6,11.806145294564852,47.49197854089967
7001167,230904,Steinberg am Rofan-Untersteinberg,Mühlbach,955,13,1966,,284763.36,403011.88,N,6,11.802021760880432,47.5163217476471
7001075,201822,Mariathal,Brandenberger Ache,"528,9","272,6",1976,,289354.06,396069.85,N,6,11.86472626852371,47.45467180122592
7004363,202697,Niederau,Wörglerbach,"790,63","9,7",2005,,306226.42,395497.37,N,6,12.088641344097043,47.45217757013236
7001112,202218,Unterwindau,Windauer Ache,"633,87","82,1",1989,,312779.31,393392.04,N,6,12.175972428975513,47.43415057605913
7001077,201848,Hörbrunn,Kelchsauer Ache,"658,11","134,5",1969,,310022.91,391927.62,N,6,12.1397247271569,47.42059988853727
7001079,201863,Bruckhäusl,Brixentaler Ache,"524,34","322,3",1949,,307446.3,399746.99,N,8,12.103927062148315,47.49058356299407
7004853,202788,Scheffau am Wilden Kaiser (Seepegel),Hintersteiner See,"879,31","2,3",2008,,315111.87,405070.55,N,1,12.204644863414106,47.539525122336826
7001104,202135,Söll,Stampfangerbach,"628,26","20,9",1986,,315311.2,402237.79,N,6,12.20783960489792,47.51406652977664
7001082,201897,Kaiserwerk,Weißache,"554,97",94,1946,,313097.4,405415.98,N,7,12.1778132054941,47.54236568239386
7001083,201905,Kufstein (Bahnhofsbrücke),Inn,"475,29","9502,7",1844,,312433.55,409929.95,N,2,12.16809155566059,47.58288526986781
7004207,230938,Kufstein (ÖBK),Sparchenbach,"477,41",34,2000,,313588.13,411374.59,N,6,12.18315834671783,47.59603675731732
7001173,202242,Thiersee (Seepegel),Thiersee,"615,79",6,1990,,308764.6,411015.31,N,2,12.119082025298862,47.59214276716328
7001172,202259,Thiersee,Thierseebach,"615,66","6,2",1990,,308761.7,411025.41,N,6,12.119041355178313,47.5922332195588
7001076,201830,Rettenschöß,Walchentaler Bach,"690,12","3,9",1983,,319220.87,419719.93,N,7,12.256531415673306,47.67184150715416
7004208,230912,Niederndorf (ÖBK),Jennbach,"478,88","37,6",1995,,315670.06,416289.35,N,6,12.209900236271626,47.64052579863427
7001084,201913,Kitzbühel (Bahnhofsbrücke),Kitzbüheler Ache,"735,44",153,1912,,328905.77,395465.13,N,6,12.389465544231252,47.45476853424921
7004282,202622,Kirchberg,Aschauer Ache,"811,6","79,2",2003,,323228.08,394623.54,N,6,12.31430085089005,47.4465498745644
7004041,202556,Kitzbühel (Seepegel),Schwarzsee,"778,1","1,8",1996,,327217.45,395532.12,N,2,12.36705961216165,47.45518397018156
7001085,201921,Sperten,Aschauer Ache,"669,24","147,4",1959,,329970.37,402626.25,N,6,12.402445603374234,47.51931134698059
7001086,201939,St. Johann in Tirol,Kitzbüheler Ache,"659,7","332,4",1896,,331062.1,402565.65,N,7,12.416954329781984,47.5188832583482
7001087,201947,Almdorf,Fieberbrunner Ache,"663,59","165,9",1955,,332885.35,402627.92,N,7,12.441159176670544,47.51963498645965
7001088,201954,Wohlmuting,Großache,"625,02","527,6",1941,,335448.75,409633.86,N,1,12.474171806777226,47.58292639323548
7001125,202382,Kössen-Hütte,Großache,"588,75","701,4",1992,,331147.84,418536.64,N,8,12.415579992122842,47.66257730193095
7004098,202549,Schwendt-Unterbichl,Kohlenbach,"642,3","47,9",1998,,328963.63,413931.69,N,7,12.387241522994048,47.62091244757675
7001114,202234,Walchsee (Seepegel),Walchsee,"653,38","28,5",1990,,324195.68,417281.27,N,1,12.323216066844234,47.65050524951559
7004333,202630,Kössen-Waidach,Kohlenbach,"593,26",100,2004,,329267.4,417818.14,N,6,12.390654350945818,47.65591018717986
5001002,203026,Wald,Salzach,"858,66","206,8",1901,,316744.99,372128.13,N,7,12.232558291260856,47.24336612161724
5001084,203893,Kees,Obersulzbach,2040,"19,2",1989,,320327.63,359328.09,N,6,12.282183871183932,47.12865308624677
5001003,203034,Sulzau,Obersulzbach,"882,2","80,7",1916,,317779.48,370773.63,N,6,12.246476224603414,47.23131128606367
5001004,203042,Neukirchen,Untersulzbach,"848,2","40,5",1916,,318999.01,371353.31,N,6,12.262478387987532,47.23667932606996
5001054,203596,Habach,Habach,"873,78","45,3",1980,,323557.21,372302.67,N,6,12.322527776227242,47.24577147214741
5001006,203067,Bramberg-Mühlbach,Mühlbach,"813,97","32,3",1987,,327695.72,375611.14,N,6,12.37666682553576,47.27601045739516
5001007,203075,Mittersill,Salzach,"782,9","582,6",1891,,335532.68,376320.53,N,7,12.480167869430671,47.283216627840126
5001008,203083,Haidbach,Felber Bach,"864,42","79,8",1930,,335773.2,373664.69,N,6,12.483733204224968,47.25934543912092
5001093,203984,Stuhlfelden,Stuhlfeldnerbach,"785,42","11,4",1993,,339441.19,376630.27,N,6,12.531803248326815,47.28637912673156
5001010,203109,Kaprun,Kapruner Ache,"763,83","88,6",1920,,356594.84,374940.34,N,6,12.758792221958648,47.27254650628308
5002497,204388,Bruck-Neuwiesen,Salzach,"763,83","1101,4",2018,,360548.37,376205.99,N,6,12.81094321172612,47.28418651630152
5001011,203117,Zell am See (Seepegel),Zeller See,"747,72","53,3",1895,,359763.84,380498.28,N,2,12.800178278681138,47.32275797077165
5001013,203133,Ferleiten,Fuscher Ache,"1141,77","60,7",1920,,360552.09,363429.17,N,6,12.812131748236007,47.16922702576054
5001014,203141,Bruck (Fuscher Ache),Fuscher Ache,"758,61",161,1896,,361713.02,374880.23,N,6,12.826457817302888,47.27232779717221
5001015,203158,Bucheben,Hüttwinklache,"1050,54","96,1",1931,,372419.04,362624.15,N,6,12.968754341064026,47.16259623067954
5001016,203166,Rauris (Unterland),Rauriser Ache,"917,19","242,2",1953,,374108.67,371311.19,N,6,12.990534766098618,47.24082895190292
5001018,203190,Böckstein,Nassfelder Ache,"1115,01","57,4",1952,,383405.27,354236.63,N,1,13.11400573769783,47.0875025494944
5001019,203208,Bad Hofgastein,Gasteiner Ache,"836,77","220,7",1895,,383020.54,362633.93,N,7,13.10861345024838,47.163049412499205
5001085,203901,Wallnerau (Pegel),Salzach,"597,9",2143,1988,,384298.51,379013.32,N,1,13.124885583100612,47.310458423869015
5001021,203224,Großarl,Großarlbach,"879,57","144,6",1895,,389693.44,370871.13,N,7,13.196450752530303,47.23730736023799
5001098,204032,Werfen,Salzach,"512,13","2953,2",1995,,389338.67,397831.99,N,6,13.19109891259536,47.4798838963678
5002206,204099,Tenneck,Blühnbach,"513,24","71,7",2003,,388233.25,399267.0,N,2,13.176388722261862,47.49277575821772
5001025,203265,Schwaighofbrücke,Lammer,"628,36","171,7",1898,,403918.69,408268.42,N,7,13.384690629154774,47.57386576818368
5001087,203927,Abtenau Au,Schwarzbach,"649,71","26,9",1988,,400080.0,406279.1,N,6,13.33365358531976,47.55597748983168
5001026,203307,Obergäu,Lammer,"470,77","394,5",1895,,388673.89,409383.03,N,7,13.18197180404573,47.58380096594616
5001027,203315,Torren,Torrener Bach,"466,84","65,5",1936,,386844.52,410177.75,N,6,13.1576203176102,47.590916010545484
5001028,203323,Golling,Salzach,"463,19","3555,7",1895,,387284.36,410717.57,N,8,13.163454202599686,47.59578183673331
5001089,203943,St. Nikolaus,Schwarzbach,"470,86","3,1",1988,,385934.82,411657.24,N,1,13.145473085231828,47.60420785306949
5001038,203430,Itzling,Alterbach,"413,46","29,7",1976,,378187.18,436428.78,N,6,13.041153231087195,47.82685850678854
5001037,203422,Moos,Glanbach,"427,21","26,5",1949,,375288.26,430490.71,N,6,13.002764592127456,47.77332976795062
5001053,203588,Wallersee (Seepegel),Wallersee,"504,25","109,8",1981,,386934.17,446295.72,N,2,13.157709434775631,47.915867148524086
5002121,204057,Seekirchen (Kläranlage),Fischach,"501,96","119,4",1997,,384238.09,442781.8,N,6,13.121758501627143,47.884192728924674
5001040,203455,Lengfelden,Fischach,"422,99","159,4",1934,,378327.1,438408.12,N,6,13.042922744537416,47.84467072735318
5001041,203463,Viehhofen,Saalach,"845,81","150,8",1907,,354925.67,385306.64,N,7,12.735667574574045,47.3657022420886
5001042,203471,Saalfelden,Urslau,"729,3","119,5",1950,,362712.95,392114.09,N,6,12.838216490442916,47.42744633559138
5001043,203489,Uttenhofen,Leoganger Ache,"719,2","112,3",1950,,361283.47,393613.56,N,6,12.819131528853037,47.440853530628445
5001044,203497,Weißbach,Saalach,"658,77","543,2",1923,,356095.38,402700.28,N,7,12.749418518827824,47.52227708552356
7001115,202267,St. Ulrich am Pillersee (Seepegel),Pillersee,"835,19","49,2",1990,,342534.44,404345.62,N,1,12.569086554478606,47.53601735487257
5001045,203505,Lofer (Loferbach),Loferbach,"616,82","107,4",1959,,352256.74,409687.69,N,6,12.69767040989799,47.58487078406775
5001052,203570,Siezenheim,Saalach,"415,77","1139,1",1940,,373168.89,434749.23,N,7,12.974214445676894,47.811557259856194
5001079,203844,Nußdorf,Oichten,"414,11","40,5",1983,,375537.61,453303.24,N,6,13.004794062259675,47.978573179030334
5001048,203539,Oberndorf,Salzach,"387,23",6120,1906,,369689.63,449004.41,N,7,12.926742810503198,47.93964882901992
4001003,204537,Holzöster,Holzöstersee,"461,43","1,3",1976,,368069.48,462217.91,N,2,12.90406750716248,48.05844057874492
4001004,204545,Steinwag,Moosache,"419,35","69,9",1976,,370061.26,459254.94,N,6,12.931002812278392,48.031882181003766
5001049,203547,Au St. Georgen,Moosache,"382,5","88,1",1921,,365990.56,455372.21,N,7,12.876713471878016,47.996748999527874
5001078,203836,Untereching,Pladenbach,"388,17","23,4",1982,,366250.57,453442.84,N,1,12.88035014117933,47.9794058492639
4001006,204560,Ettenau,Salzach,"365,86","6627,6",1851,,358153.56,463208.52,N,2,12.770909296487796,48.06677953589774
4001225,206847,Ach,Salzach,"351,82","6690,5",1991,,363039.58,473369.0,N,3,12.835607067152486,48.15848186781174
4001203,206623,Österlehen,Enknach,"397,74","113,5",1982,,378504.99,476950.07,N,2,13.043359129652318,48.19140604861547
5001055,203604,Mattsee (Seepegel),Mattsee,"501,4","10,4",1903,,383190.24,452483.7,N,2,13.107361913591197,47.97144851106925
5001056,203612,Obertrum (Seepegel),Obertrumer See,"501,4","58,4",1903,,380616.12,449269.65,N,2,13.07302256082854,47.94246044429124
5001057,203620,Zellhof (Seepegel),Grabensee,"501,4","64,8",1924,,381415.76,453753.26,N,1,13.083534114199107,47.982820408520496
4001008,204586,Laimhausmühle,Mattig,"498,11","66,6",1920,,383955.8,455755.65,N,7,13.11749468771436,48.00090374354854
4001210,206698,Elexlochen,Berndorfer Bach,"506,13",12,1985,,382790.67,456562.27,N,6,13.101844143568842,48.00812973147583
4001010,204602,Lochen,Mühlberger Bach,"506,07","15,7",1976,,388400.05,458049.94,N,1,13.177004616197172,48.02164089857797
4001011,204610,Pfaffstätt,Mattig,455,"126,6",1959,,386063.91,464016.33,N,6,13.145481072394972,48.07526792547328
4001147,206052,Hocheck (Forsthaus),Schwemmbach,"590,13","13,1",1976,,401510.9,461565.48,N,6,13.35282944636264,48.05337546313917
4001013,204636,Friedburg,Schwemmbach,"507,72","82,2",1965,,393597.21,457488.59,N,6,13.246706399209296,48.01666567170383
5001058,203638,Straßwalchen,Hainbach,"523,77","40,6",1969,,393851.92,453633.5,N,6,13.250178897804814,47.98198678784868
4001214,206730,Lengau,Hainbach,"503,97","48,1",1987,,391837.51,456084.71,N,6,13.223138738602785,48.00401539444898
4001167,206250,Lengau (Basisableitung),Hainbach,"496,65","58,9",1978,,391041.35,457518.15,N,1,13.2124353734944,48.01690005727444
4001224,206839,Kolming,Schwemmbach,"484,5","151,7",1990,,391117.16,459731.93,N,6,13.2134049837758,48.03681673195136
4001149,206078,Furth (Bundesstraße),Schwemmbach,"428,73","188,8",1976,,386100.53,470190.42,N,7,13.145769565626626,48.13081048058262
4001150,206086,Furth (Ort),Schalchener Brunnbach,"426,4","31,2",1976,,386122.22,470351.85,N,7,13.146055727398489,48.13226315815145
4001017,204677,Jahrsdorf,Mattig,"349,82","446,9",1934,,380625.32,483761.25,N,7,13.071573145189602,48.25274448533473
4001018,204685,Waldzell,Waldzeller Ache,"508,95",24,1971,,406929.36,470472.71,N,6,13.425672090574563,48.13347158005684
4001019,204693,Mettmach,Mettmach,454,"30,4",1961,,400781.25,475207.87,N,6,13.343055208650789,48.17610242467512
4001215,206748,Altheim,Mühlheimer Ache,"348,27",193,1987,,391638.25,483826.51,N,6,13.219911190542955,48.25357430830571
