Messstelle:                ;Haidbach
05.11.1960 12:00:00;  4,65
07.12.1960 12:00:00;  1,70
04.01.1961 12:00:00;  1,16
28.02.1961 12:00:00; 0,770
22.03.1961 12:00:00;  1,32
10.04.1961 12:00:00;  5,33
15.05.1961 12:00:00;  8,36
04.06.1961 12:00:00;  13,3
29.07.1961 12:00:00;  19,0
22.08.1961 12:00:00;  12,4
15.09.1961 12:00:00;  3,24
08.10.1961 12:00:00;  1,63
13.11.1961 12:00:00;  3,24
12.12.1961 12:00:00;  12,4
27.01.1962 12:00:00;  1,36
10.02.1962 12:00:00;  1,12
31.03.1962 12:00:00;  1,84
28.04.1962 12:00:00;  5,32
10.05.1962 12:00:00;  11,6
20.06.1962 12:00:00;  22,0
29.07.1962 12:00:00;  19,6
08.08.1962 12:00:00;  20,2
18.09.1962 12:00:00;  4,22
02.10.1962 12:00:00;  2,19
07.11.1962 12:00:00;  1,94
02.12.1962 12:00:00;  1,03
05.01.1963 12:00:00; 0,810
19.02.1963 12:00:00; 0,680
31.03.1963 12:00:00; 0,770
23.04.1963 12:00:00;  4,86
28.05.1963 12:00:00;  10,4
22.06.1963 12:00:00;  11,0
09.07.1963 12:00:00;  8,04
28.08.1963 12:00:00;  10,7
05.09.1963 12:00:00;  8,39
05.10.1963 12:00:00;  2,89
14.11.1963 12:00:00;  2,32
02.12.1963 12:00:00;  1,06
01.01.1964 12:00:00; 0,700
28.02.1964 12:00:00; 0,700
29.03.1964 12:00:00; 0,700
21.04.1964 12:00:00;  3,58
15.05.1964 12:00:00;  9,04
30.06.1964 12:00:00;  13,5
10.07.1964 12:00:00;  8,70
02.08.1964 12:00:00;  12,4
08.09.1964 12:00:00;  5,08
08.10.1964 12:00:00;  4,60
18.11.1964 12:00:00;  4,40
01.12.1964 12:00:00;  2,72
07.01.1965 12:00:00;  1,20
01.02.1965 12:00:00;  1,06
31.03.1965 12:00:00;  1,84
10.04.1965 12:00:00;  2,05
19.05.1965 12:00:00;  29,6
28.06.1965 12:00:00;  42,0
02.07.1965 12:00:00;  15,6
10.08.1965 12:00:00;  11,5
02.09.1965 12:00:00;  54,0
01.10.1965 12:00:00;  5,22
15.11.1965 12:00:00;  1,81
06.12.1965 12:00:00;  1,21
02.01.1971 12:00:00; 0,780
08.02.1971 12:00:00; 0,780
19.03.1971 12:00:00;  4,23
24.04.1971 12:00:00;  2,86
10.05.1971 12:00:00;  11,3
29.06.1971 12:00:00;  15,6
18.07.1971 12:00:00;  16,0
31.08.1971 12:00:00;  16,0
01.09.1971 12:00:00;  7,40
01.10.1971 12:00:00;  2,40
10.11.1971 12:00:00;  1,76
05.12.1971 12:00:00;  1,02
03.01.1972 12:00:00; 0,860
09.02.1972 12:00:00; 0,940
27.03.1972 12:00:00; 0,860
30.04.1972 12:00:00;  1,76
27.05.1972 12:00:00;  13,0
13.06.1972 12:00:00;  20,0
17.07.1972 12:00:00;  13,0
04.08.1972 12:00:00;  7,96
01.09.1972 12:00:00;  3,32
09.10.1972 12:00:00;  1,92
20.11.1972 12:00:00;  1,92
02.12.1972 12:00:00;  1,60
06.01.1973 12:00:00;  1,40
01.02.1973 12:00:00;  1,30
31.03.1973 12:00:00;  1,10
30.04.1973 12:00:00;  3,32
07.05.1973 12:00:00;  27,0
07.06.1973 12:00:00;  13,6
22.07.1973 12:00:00;  7,40
11.08.1973 12:00:00;  6,97
30.09.1973 12:00:00;  3,89
02.10.1973 12:00:00;  6,97
01.11.1973 12:00:00;  2,86
03.12.1973 12:00:00;  1,50
03.01.1974 12:00:00;  1,60
15.02.1974 12:00:00;  1,50
22.03.1974 12:00:00;  2,08
13.04.1974 12:00:00;  1,50
31.05.1974 12:00:00;  9,08
01.06.1974 12:00:00;  9,64
07.07.1974 12:00:00;  17,5
08.08.1974 12:00:00;  16,2
07.09.1974 12:00:00;  9,64
01.10.1974 12:00:00;  3,09
19.11.1974 12:00:00;  1,76
04.12.1974 12:00:00;  1,76
17.01.1975 12:00:00;  1,20
02.02.1975 12:00:00;  1,20
14.03.1975 12:00:00;  1,10
23.04.1975 12:00:00;  3,55
21.05.1975 12:00:00;  22,0
25.06.1975 12:00:00;  30,1
19.07.1975 12:00:00;  32,0
18.08.1975 12:00:00;  11,1
12.09.1975 12:00:00;  5,92
03.10.1975 12:00:00;  1,99
18.11.1975 12:00:00;  1,48
01.12.1975 12:00:00;  1,05
13.01.1976 23:00:00; 0,995
10.02.1976 14:00:00; 0,646
31.03.1976 19:00:00;  1,46
06.04.1976 09:00:00;  2,35
31.05.1976 23:59:55;  6,21
16.06.1976 18:00:00;  10,1
28.07.1976 09:00:00;  11,2
21.08.1976 17:00:00;  11,3
14.09.1976 07:00:00;  11,2
01.10.1976 00:00:00;  4,58
08.11.1976 01:00:00;  1,40
01.12.1976 17:00:00;  1,11
05.01.1977 16:00:00; 0,928
25.02.1977 17:00:00;  1,10
28.03.1977 18:00:00;  2,88
30.04.1977 13:00:00;  12,2
20.05.1977 16:00:00;  21,3
14.06.1977 23:00:00;  13,7
21.07.1977 06:00:00;  31,2
01.08.1977 04:00:00;  29,0
09.09.1977 10:00:00;  5,72
11.10.1977 03:00:00;  1,57
03.11.1977 03:00:00;  1,28
09.12.1977 14:00:00; 0,802
01.01.1978 00:00:00; 0,549
25.02.1978 17:00:00;  1,06
31.03.1978 19:00:00;  1,65
30.04.1978 21:00:00;  2,41
23.05.1978 06:00:00;  12,7
08.06.1978 20:00:00;  15,7
05.07.1978 14:00:00;  15,7
05.08.1978 20:00:00;  8,52
08.09.1978 17:00:00;  9,50
04.10.1978 04:00:00;  7,23
01.11.1978 00:00:00;  3,05
13.12.1978 03:00:00;  1,76
28.01.1979 16:00:00; 0,864
12.02.1979 03:00:00; 0,812
16.03.1979 18:00:00;  2,20
16.04.1979 18:00:00;  2,20
31.05.1979 17:00:00;  17,3
26.06.1979 03:00:00;  18,5
10.07.1979 08:00:00;  29,5
18.08.1979 01:00:00;  18,1
02.09.1979 17:00:00;  10,8
17.10.1979 22:00:00;  6,34
28.11.1979 18:00:00;  2,98
07.12.1979 22:00:00;  1,78
01.01.1980 00:00:00;  1,05
11.02.1980 11:00:00; 0,802
29.03.1980 22:00:00;  1,26
17.04.1980 19:00:00;  1,81
28.05.1980 21:00:00;  6,30
09.06.1980 17:00:00;  14,2
09.07.1980 19:00:00;  28,1
13.08.1980 03:00:00;  11,1
01.09.1980 07:00:00;  11,6
17.10.1980 13:00:00;  37,5
03.11.1980 18:00:00;  2,41
14.12.1980 12:00:00;  1,49
11.01.1981 05:00:00;  1,09
02.02.1981 00:00:00; 0,732
31.03.1981 19:00:00;  10,6
01.04.1981 00:00:00;  9,59
27.05.1981 02:00:00;  25,4
29.06.1981 01:00:00;  16,7
24.07.1981 20:00:00;  28,6
16.08.1981 19:00:00;  15,8
17.09.1981 11:00:00;  8,55
03.10.1981 05:00:00;  3,49
01.11.1981 02:00:00;  1,94
14.12.1981 20:00:00;  1,34
01.01.1982 17:00:00;  1,19
10.02.1982 15:00:00; 0,812
28.03.1982 20:00:00; 0,950
09.04.1982 00:00:00;  1,62
29.05.1982 04:00:00;  12,2
12.06.1982 19:00:00;  19,5
26.07.1982 19:00:00;  11,6
01.08.1982 08:00:00;  11,9
23.09.1982 18:00:00;  3,91
01.10.1982 22:00:00;  5,92
01.11.1982 11:00:00;  1,81
18.12.1982 11:00:00;  1,26
28.01.1983 08:00:00;  1,26
01.02.1983 00:00:00;  1,10
21.03.1983 00:00:00;  1,24
22.04.1983 16:00:00;  6,21
16.05.1983 18:00:00;  13,0
14.06.1983 16:00:00;  14,3
04.07.1983 21:00:00;  8,72
03.08.1983 01:00:00;  12,1
17.09.1983 02:00:00;  5,72
11.10.1983 19:00:00;  5,15
01.11.1983 00:00:00;  1,76
24.12.1983 12:00:00;  1,60
01.01.1984 09:15:00; 0,864
05.02.1984 22:00:00; 0,664
29.03.1984 17:45:00; 0,898
27.04.1984 06:00:00;  1,90
21.05.1984 06:00:00;  12,7
29.06.1984 04:15:00;  10,4
25.07.1984 21:45:00;  17,3
07.08.1984 11:30:00;  14,2
06.09.1984 12:00:00;  9,65
05.10.1984 13:30:00;  7,84
01.11.1984 00:00:00;  1,78
11.12.1984 14:30:00;  1,09
08.01.1985 07:30:00; 0,782
01.02.1985 07:15:00; 0,713
31.03.1985 23:00:00; 0,703
21.04.1985 21:15:00;  1,92
29.05.1985 01:30:00;  10,4
08.06.1985 18:45:00;  12,2
07.07.1985 10:45:00;  14,5
06.08.1985 14:30:00;  48,2
04.09.1985 03:45:00;  7,95
01.10.1985 00:15:00;  2,04
11.11.1985 02:00:00;  1,60
04.12.1985 20:30:00;  1,44
01.01.1986 08:30:00; 0,729
02.02.1986 14:15:00; 0,570
28.03.1986 18:00:00;  1,05
08.04.1986 18:45:00;  5,68
22.05.1986 01:30:00;  15,5
24.06.1986 05:00:00;  13,1
18.07.1986 22:45:00;  9,12
14.08.1986 02:15:00;  10,3
10.09.1986 04:30:00;  8,14
02.10.1986 12:30:00;  1,89
01.11.1986 00:00:00;  1,47
07.12.1986 23:30:00; 0,970
02.01.1987 10:00:00; 0,899
28.02.1987 23:59:55; 0,772
02.03.1987 21:45:00;  2,52
30.04.1987 17:45:00;  6,67
04.05.1987 03:15:00;  7,51
15.06.1987 22:00:00;  25,7
02.07.1987 22:15:00;  25,7
25.08.1987 07:15:00;  31,2
06.09.1987 11:30:00;  8,91
12.10.1987 04:15:00;  6,67
25.11.1987 01:00:00;  1,63
18.12.1987 14:45:00;  2,73
01.01.1988 00:00:00;  1,02
13.02.1988 14:30:00; 0,943
31.03.1988 16:30:00; 0,943
20.04.1988 20:00:00;  6,98
09.05.1988 20:45:00;  14,9
05.06.1988 06:30:00;  9,53
14.07.1988 11:15:00;  20,8
03.08.1988 15:00:00;  14,2
02.09.1988 04:00:00;  13,1
13.10.1988 10:15:00;  4,80
03.11.1988 01:15:00;  1,48
05.12.1988 08:30:00;  1,24
07.01.1989 20:00:00;  1,03
20.02.1989 18:00:00;  1,13
30.03.1989 22:00:00;  2,07
05.04.1989 08:15:00;  9,23
25.05.1989 00:00:00;  8,91
23.06.1989 09:45:00;  15,8
07.07.1989 17:00:00;  17,6
18.08.1989 22:00:00;  12,2
27.09.1989 19:00:00;  6,98
03.10.1989 14:00:00;  2,87
01.11.1989 10:30:00;  1,75
01.12.1989 00:00:00;  1,13
01.01.1990 00:00:00; 0,859
15.02.1990 18:15:00;  1,75
22.03.1990 17:30:00;  1,24
30.04.1990 18:45:00;  1,75
22.05.1990 05:15:00;  9,94
08.06.1990 19:00:00;  15,5
10.07.1990 17:15:00;  24,5
01.08.1990 00:00:00;  7,25
24.09.1990 15:45:00;  9,73
04.10.1990 22:45:00;  5,47
23.11.1990 04:45:00;  3,62
01.12.1990 00:00:00;  1,70
03.01.1991 14:15:00;  1,03
02.02.1991 12:15:00; 0,782
24.03.1991 19:30:00;  1,35
04.04.1991 22:45:00;  1,24
23.05.1991 10:15:00;  7,40
18.06.1991 00:00:00;  44,3
25.07.1991 18:45:00;  21,6
01.08.1991 06:00:00;  28,4
30.09.1991 23:59:55;  3,33
01.10.1991 02:45:00;  5,72
08.11.1991 04:15:00;  1,36
23.12.1991 02:30:00;  5,41
01.01.1992 00:00:00; 0,875
01.02.1992 00:00:00; 0,490
21.03.1992 19:45:00; 0,749
29.04.1992 00:45:00;  8,75
16.05.1992 01:15:00;  12,2
03.06.1992 05:00:00;  12,8
05.07.1992 09:00:00;  9,00
04.08.1992 16:30:00;  5,54
04.09.1992 16:00:00;  6,27
05.10.1992 20:15:00;  12,8
23.11.1992 01:15:00;  5,82
01.12.1992 00:00:00;  2,65
01.01.1993 00:00:00;  1,35
01.02.1993 00:00:00;  1,13
18.03.1993 18:00:00;  2,28
27.04.1993 23:00:00;  6,07
20.05.1993 23:45:00;  11,0
28.06.1993 00:00:00;  13,4
19.07.1993 22:15:00;  14,6
28.08.1993 08:15:00;  7,08
20.09.1993 01:45:00;  10,1
02.10.1993 21:45:00;  28,0
02.11.1993 00:15:00;  2,73
21.12.1993 00:00:00;  1,63
13.01.1994 21:00:00;  1,11
28.02.1994 18:15:00;  1,35
25.03.1994 22:15:00;  2,65
30.04.1994 20:45:00;  3,90
27.05.1994 00:15:00;  11,3
09.06.1994 16:00:00;  13,4
07.07.1994 05:45:00;  9,23
25.08.1994 18:30:00;  10,8
03.09.1994 11:30:00;  8,75
03.10.1994 09:45:00;  3,35
20.11.1994 07:30:00;  5,19
11.12.1994 14:45:00;  2,32
01.01.1995 00:00:00;  1,11
08.02.1995 16:30:00; 0,899
25.03.1995 19:15:00;  1,11
22.04.1995 19:15:00;  5,13
30.05.1995 00:00:00;  11,3
26.06.1995 04:30:00;  24,9
03.07.1995 20:45:00;  11,6
16.08.1995 23:00:00;  9,99
08.09.1995 07:45:00;  11,6
02.10.1995 00:45:00;  3,62
11.11.1995 20:45:00;  1,61
01.12.1995 05:15:00;  1,24
03.01.1996 16:00:00;  1,03
01.02.1996 00:00:00; 0,717
25.03.1996 17:15:00;  1,79
23.04.1996 21:45:00;  3,20
27.05.1996 17:30:00;  12,8
30.06.1996 03:00:00;  11,6
08.07.1996 12:45:00;  11,6
25.08.1996 04:15:00;  11,6
05.09.1996 18:15:00;  5,72
22.10.1996 22:45:00;  9,48
18.11.1996 18:30:00;  4,55
01.12.1996 11:45:00;  1,95
03.01.1997 07:30:10;  1,29
26.02.1997 15:53:50; 0,996
19.03.1997 12:11:05;  1,35
28.04.1997 01:10:45;  1,77
22.05.1997 16:31:25;  18,2
09.06.1997 12:55:10;  14,2
18.07.1997 14:59:00;  13,2
01.08.1997 01:10:30;  9,31
01.09.1997 00:00:00;  3,33
03.10.1997 00:52:15;  3,96
24.11.1997 02:50:50;  1,38
20.12.1997 18:28:45;  2,06
02.01.1998 08:42:45;  1,56
01.02.1998 00:00:00;  1,02
31.03.1998 20:40:10;  2,72
27.04.1998 17:24:20;  5,25
11.05.1998 19:59:55;  7,49
11.06.1998 05:00:45;  11,6
08.07.1998 01:45:00;  13,1
15.08.1998 19:15:15;  12,3
12.09.1998 16:26:00;  13,7
07.10.1998 18:05:05;  9,60
11.11.1998 05:00:40;  4,96
01.12.1998 00:00:00;  1,68
01.01.1999 00:00:15;  1,08
07.02.1999 22:11:55; 0,863
27.03.1999 19:13:55;  1,72
30.04.1999 23:59:55;  4,19
28.05.1999 19:31:15;  11,9
03.06.1999 00:50:45;  20,3
22.07.1999 19:26:50;  22,1
16.08.1999 20:28:00;  11,1
02.09.1999 00:44:30;  10,7
01.10.1999 01:15:15;  6,94
04.11.1999 08:11:55;  2,20
02.12.1999 23:14:20;  1,39
30.01.2000 19:25:40;  1,03
01.02.2000 00:00:00; 0,891
10.03.2000 13:10:10;  1,64
29.04.2000 20:32:00;  10,7
12.05.2000 18:26:15;  12,2
16.06.2000 03:00:50;  12,0
11.07.2000 09:36:10;  11,6
04.08.2000 16:32:45;  10,6
21.09.2000 05:47:30;  8,97
12.10.2000 16:47:55;  8,35
06.11.2000 23:23:40;  8,72
02.12.2000 14:52:35;  2,25
01.01.2001 00:15:10;  1,52
08.02.2001 00:38:35;  1,47
26.03.2001 04:57:40;  1,69
30.04.2001 19:59:10;  10,0
18.05.2001 00:55:55;  13,9
30.06.2001 19:48:05;  13,8
20.07.2001 16:57:30;  14,9
10.08.2001 15:24:15;  13,5
01.09.2001 00:12:30;  10,9
01.10.2001 00:00:00;  5,18
13.11.2001 00:44:00;  2,01
02.12.2001 15:25:40;  1,64
28.01.2002 06:24:55;  1,37
03.02.2002 21:14:00; 0,952
22.03.2002 02:30:55;  4,58
27.04.2002 06:15:00;  5,60
03.05.2002 16:00:00;  13,6
07.06.2002 07:30:00;  12,5
04.07.2002 09:30:00;  9,93
12.08.2002 08:15:00;  26,7
01.09.2002 18:30:00;  11,6
17.10.2002 19:45:00;  7,39
18.11.2002 20:45:00;  13,9
01.12.2002 00:00:00;  4,07
01.01.2003 00:00:00;  1,63
01.02.2003 00:00:00; 0,873
31.03.2003 23:59:55;  1,77
30.04.2003 20:30:00;  10,2
20.05.2003 06:00:00;  12,2
15.06.2003 04:30:00;  11,0
02.07.2003 02:45:00;  9,00
01.08.2003 16:30:00;  5,60
13.09.2003 15:15:00;  3,98
10.10.2003 17:15:00;  5,19
01.11.2003 22:30:00;  2,52
01.12.2003 00:00:00;  1,63
19.01.2004 08:30:00; 0,888
07.02.2004 14:30:00;  1,00
21.03.2004 16:15:00;  2,27
30.04.2004 16:45:00;  5,19
21.05.2004 22:45:00;  11,6
12.06.2004 20:45:00;  16,4
10.07.2004 01:00:00;  19,2
26.08.2004 06:00:00;  11,6
24.09.2004 03:15:00;  6,45
31.10.2004 13:15:00;  6,83
01.11.2004 12:15:00;  4,49
01.12.2004 00:30:00;  1,61
21.01.2005 07:45:00;  1,35
02.02.2005 20:30:00; 0,807
19.03.2005 18:15:00;  3,10
30.04.2005 18:30:00;  3,90
31.05.2005 05:00:00;  14,9
05.06.2005 02:00:00;  10,8
12.07.2005 00:30:00;  39,5
23.08.2005 21:45:00;  29,3
17.09.2005 03:15:00;  6,98
02.10.2005 14:45:00;  7,83
01.11.2005 23:15:00;  1,91
17.12.2005 00:15:00;  1,13
12.01.2006 17:15:00; 0,943
09.02.2006 20:00:00; 0,721
27.03.2006 18:30:00;  3,35
27.04.2006 01:15:00;  6,58
20.05.2006 03:30:00;  23,2
19.06.2006 21:15:00;  16,1
07.07.2006 20:00:00;  11,3
07.08.2006 08:45:00;  16,7
01.09.2006 00:00:00;  4,19
05.10.2006 04:00:00;  2,87
14.11.2006 20:15:00;  1,95
01.12.2006 00:00:00;  1,41
19.01.2007 20:30:00;  1,66
01.02.2007 00:00:00; 0,943
20.03.2007 08:00:00;  1,14
30.04.2007 23:59:55;  2,71
25.05.2007 22:15:00;  6,58
27.06.2007 23:45:00;  8,75
09.07.2007 19:45:00;  19,3
30.08.2007 06:30:00;  11,3
18.09.2007 16:15:00;  18,0
06.10.2007 06:15:00;  4,74
24.11.2007 00:30:00;  2,66
01.12.2007 00:00:00;  1,61
30.01.2008 15:11:50;  1,29
26.02.2008 22:23:50; 0,988
15.03.2008 15:08:10;  1,26
29.04.2008 17:42:00;  2,51
31.05.2008 03:35:55;  12,5
07.06.2008 19:20:15;  10,9
14.07.2008 20:30:00;  18,6
08.08.2008 20:45:00;  16,7
01.09.2008 18:45:00;  4,19
30.10.2008 06:30:00;  12,4
01.11.2008 00:00:00;  2,87
21.12.2008 09:45:00;  1,48
01.01.2009 00:00:00; 0,899
07.02.2009 16:00:00; 0,899
28.03.2009 15:45:00;  1,23
10.04.2009 14:30:00;  3,20
27.05.2009 00:15:00;  12,8
20.06.2009 00:00:00;  19,0
18.07.2009 06:30:00;  14,6
04.08.2009 05:15:00;  17,0
04.09.2009 14:45:00;  27,9
22.10.2009 21:00:00;  3,90
01.11.2009 00:00:00;  1,86
25.12.2009 02:45:00;  2,07
01.01.2010 00:00:00;  1,03
28.02.2010 16:15:00;  1,00
22.03.2010 18:00:00;  1,49
30.04.2010 16:15:00;  3,59
26.05.2010 20:45:00;  11,6
14.06.2010 06:15:00;  43,0
17.07.2010 23:00:00;  26,6
06.08.2010 01:15:00;  13,1
04.09.2010 20:15:00;  9,00
05.10.2010 23:30:00;  3,86
01.11.2010 00:00:00;  2,87
23.12.2010 15:15:00;  1,80
13.01.2011 16:30:00;  2,28
01.02.2011 00:00:00; 0,721
27.03.2011 22:30:00;  2,43
25.04.2011 15:30:00;  2,96
27.05.2011 16:45:00;  19,2
18.06.2011 20:15:00;  19,2
23.07.2011 23:30:00;  13,0
08.08.2011 20:00:00;  33,6
21.09.2011 12:00:00;  7,04
10.10.2011 16:30:00;  25,9
01.11.2011 00:00:00;  2,48
16.12.2011 21:15:00;  1,56
05.01.2012 19:00:00;  1,16
25.02.2012 16:30:00; 0,854
31.03.2012 16:30:00;  2,87
29.04.2012 16:15:00;  12,5
24.05.2012 20:30:00;  23,1
04.06.2012 12:30:00;  16,9
20.07.2012 22:00:00;  15,4
31.08.2012 08:45:00;  19,9
05.09.2012 19:00:00;  12,4
09.10.2012 21:30:00;  6,17
11.11.2012 15:45:00;  18,3
13.12.2012 18:00:00;  2,27
05.01.2013 09:00:00;  3,43
01.02.2013 05:15:00;  1,26
08.03.2013 17:00:00;  2,27
29.04.2013 18:45:00;  10,9
02.05.2013 21:00:00;  19,1
02.06.2013 11:30:00;  23,8
09.07.2013 21:45:00;  12,8
25.08.2013 07:00:00;  14,2
19.09.2013 06:15:00;  13,0
06.10.2013 13:30:00;  6,65
03.11.2013 14:00:00;  10,7
01.12.2013 00:00:00;  2,28
06.01.2014 14:30:00;  2,40
01.02.2014 16:15:00;  1,66
17.03.2014 14:00:00;  1,64
30.04.2014 22:15:00;  6,17
22.05.2014 22:00:00;  18,6
11.06.2014 18:15:00;  14,8
31.07.2014 06:00:00;  33,3
01.08.2014 00:00:00;  24,5
01.09.2014 00:00:00;  16,6
01.10.2014 11:00:00;  5,37
05.11.2014 17:45:00;  8,49
18.12.2014 23:00:00;  1,89
10.01.2015 02:45:00;  4,28
01.02.2015 00:00:00; 0,888
31.03.2015 15:45:00;  2,27
27.04.2015 17:15:00;  8,96
05.05.2015 16:00:00;  17,6
06.06.2015 20:15:00;  37,9
08.07.2015 19:45:00;  7,47
04.08.2015 22:15:00;  20,1
04.09.2015 00:30:00;  17,6
08.10.2015 01:30:00;  9,93
02.11.2015 10:00:00;  2,93
01.12.2015 14:45:00;  2,08
11.01.2016 16:30:00;  1,40
01.02.2016 13:30:00;  4,91
31.03.2016 20:00:00;  1,86
18.04.2016 06:45:00;  3,98
29.05.2016 20:45:00;  18,2
27.06.2016 06:00:00;  19,5
13.07.2016 23:30:00;  24,3
05.08.2016 18:15:00;  23,6
06.09.2016 11:15:00;  9,59
14.10.2016 21:45:00;  6,59
16.11.2016 22:15:00;  4,00
06.12.2016 08:45:00;  1,81
18.01.2017 17:30:00;  1,18
21.02.2017 21:30:00;  1,05
19.03.2017 06:15:00;  3,81
30.04.2017 15:15:00;  3,69
31.05.2017 20:30:00;  19,2
06.06.2017 19:30:00;  17,0
24.07.2017 17:14:15;  18,3
19.08.2017 21:30:00;  20,6
06.09.2017 19:30:00;  11,0
03.10.2017 14:30:00;  9,46
05.11.2017 20:30:00;  3,06
12.12.2017 05:15:00;  3,75
09.01.2018 16:15:00;  2,69
02.02.2018 10:30:00;  1,52
12.03.2018 17:00:00;  1,71
30.04.2018 13:30:00;  14,8
15.05.2018 05:30:00;  13,0
22.06.2018 05:15:00;  19,2
06.07.2018 18:15:00;  21,2
25.08.2018 17:30:00;  17,3
