Messstelle:                ;Katzelsdorf (EVN)
31.08.2000 23:33:05;  2,75
17.09.2000 11:22:25;  2,73
11.10.2000 08:25:55;  2,49
01.11.2000 10:59:30;  2,60
28.12.2000 08:55:40;  2,34
18.01.2001 10:58:05;  3,10
21.02.2001 22:48:35;  2,11
24.03.2001 12:49:05;  3,16
20.04.2001 00:44:05;  2,94
08.05.2001 14:44:10;  3,24
09.06.2001 03:22:50;  3,49
12.07.2001 08:01:45;  2,84
11.08.2001 01:53:45;  1,76
25.09.2001 05:22:50;  3,06
22.10.2001 05:20:40;  1,53
17.11.2001 07:32:45;  1,43
07.12.2001 11:59:10;  2,80
22.01.2002 09:18:55;  3,47
01.02.2002 11:48:35;  2,42
21.03.2002 02:21:45;  3,38
25.04.2002 01:42:30;  3,29
06.05.2002 02:44:30;  3,35
14.06.2002 18:25:00;  3,19
04.07.2002 10:52:40;  3,51
11.08.2002 16:02:10;  3,32
28.09.2002 09:33:45;  2,85
29.10.2002 19:41:00;  2,75
03.11.2002 08:29:20;  3,33
06.12.2002 06:42:00;  2,99
12.01.2003 17:51:10;  3,03
13.02.2003 06:58:50;  2,35
03.03.2003 21:29:55;  2,16
03.04.2003 02:34:55;  1,85
14.05.2003 00:09:05;  2,83
18.06.2003 17:24:15;  2,85
18.07.2003 06:45:00;  2,48
19.08.2003 06:22:30;  2,68
14.09.2003 10:10:00;  2,59
05.10.2003 09:10:00;  2,64
02.11.2003 13:35:00;  2,72
10.12.2003 08:49:05;  2,26
14.01.2004 10:25:00;  2,21
09.02.2004 15:25:00;  2,59
30.03.2004 06:20:00;  2,77
24.04.2004 13:36:05;  2,67
27.05.2004 23:55:00;  2,87
04.06.2004 10:15:00;  2,92
18.07.2004 19:40:00;  2,78
06.08.2004 21:40:00;  2,66
15.09.2004 17:40:00;  2,42
10.10.2004 12:57:30;  2,87
24.11.2004 02:03:45;  2,52
27.12.2004 11:37:55;  2,86
21.01.2005 12:55:00;  2,60
01.02.2005 10:30:00;  2,37
09.03.2005 11:05:00;  3,43
27.04.2005 09:12:30;  3,07
30.05.2005 22:19:35;  3,18
04.06.2005 21:36:15;  3,31
08.07.2005 18:08:10;  3,31
25.08.2005 17:25:00;  3,57
12.09.2005 23:20:00;  3,45
04.10.2005 13:35:00;  2,94
27.11.2005 14:10:00;  3,59
31.12.2005 05:55:00;  3,10
06.01.2006 22:25:00;  2,19
20.02.2006 22:00:00;  2,89
31.03.2006 16:56:45;  3,37
29.04.2006 12:30:00;  3,18
19.05.2006 05:54:50;  3,43
03.06.2006 04:29:30;  3,66
29.07.2006 21:05:00;  3,49
03.08.2006 23:40:00;  3,47
19.09.2006 00:40:00;  2,89
05.10.2006 14:50:00;  1,29
15.11.2006 11:29:25;  2,53
28.12.2006 05:48:05;  1,58
19.01.2007 19:18:25;  2,56
13.02.2007 07:45:00;  1,11
27.03.2007 06:46:50;  2,93
01.04.2007 08:47:00;  2,85
16.05.2007 00:00:00;  2,79
15.06.2007 23:23:55;  3,06
09.07.2007 23:22:15;  3,06
20.08.2007 20:31:00;  2,89
28.09.2007 10:57:45;  2,82
27.10.2007 13:16:25;  2,69
23.11.2007 22:28:35;  2,64
30.12.2007 15:25:00;  2,73
20.01.2008 03:45:00;  2,98
02.02.2008 13:01:05;  2,93
03.03.2008 16:05:00;  3,06
26.04.2008 16:25:00;  2,68
05.05.2008 08:55:00;  2,83
26.06.2008 22:55:00;  3,28
23.07.2008 19:05:00;  3,19
02.08.2008 13:00:00;  3,04
15.09.2008 14:15:00;  3,17
04.10.2008 16:45:15;  2,68
08.11.2008 09:43:10;  3,04
31.12.2008 04:45:00;  3,19
19.01.2009 17:16:40;  3,33
07.02.2009 01:15:00;  3,20
04.03.2009 08:30:00;  2,92
17.04.2009 08:00:30;  3,09
12.05.2009 06:45:00;  2,78
20.06.2009 03:15:00;  3,06
15.07.2009 21:50:00;  3,15
29.08.2009 05:20:00;  2,81
13.09.2009 22:25:00;  3,00
23.10.2009 15:10:00;  2,68
03.11.2009 14:20:00;  2,57
27.12.2009 15:20:00;  2,76
28.01.2010 19:07:00;  2,78
26.02.2010 22:50:00;  2,71
22.03.2010 04:25:00;  3,27
14.04.2010 06:55:00;  2,90
09.05.2010 02:25:00;  2,82
07.06.2010 18:15:00;  2,87
08.07.2010 14:20:00;  2,97
27.08.2010 19:05:00;  2,96
25.09.2010 22:40:00;  3,00
25.10.2010 07:00:00;  3,36
20.11.2010 11:55:00;  2,98
30.12.2010 01:00:00;  3,34
05.01.2011 08:20:00;  3,40
12.02.2011 14:15:00;  2,81
17.03.2011 06:05:00;  2,92
25.04.2011 20:20:00;  2,39
01.05.2011 23:35:00;  2,93
23.06.2011 22:25:00;  3,08
05.07.2011 20:24:00;  2,82
11.08.2011 12:40:00;  2,99
01.09.2011 21:50:00;  3,28
07.10.2011 13:29:30;  2,75
03.11.2011 16:13:20;  1,84
24.12.2011 04:45:00;  1,54
22.01.2012 11:26:10;  2,76
29.02.2012 05:13:50;  2,95
13.03.2012 07:20:00;  3,24
30.04.2012 12:50:00;  3,31
03.05.2012 06:39:35;  3,11
21.06.2012 02:40:00;  3,37
19.07.2012 22:30:00;  2,98
03.08.2012 19:35:00;  3,04
01.09.2012 04:35:00;  3,11
16.10.2012 07:01:05;  2,74
29.11.2012 08:15:00;  3,09
04.12.2012 03:45:00;  2,96
30.01.2013 20:07:15;  2,92
26.02.2013 08:32:10;  2,92
31.03.2013 02:30:00;  3,15
16.04.2013 00:35:00;  3,03
30.05.2013 18:20:00;  2,95
24.06.2013 13:59:30;  2,78
11.07.2013 22:54:20;  2,99
27.08.2013 23:00:00;  2,67
22.09.2013 10:50:00;  2,83
16.10.2013 20:15:00;  2,87
20.11.2013 14:25:00;  3,04
18.12.2013 11:50:00;  3,01
02.01.2014 12:20:00;  2,56
08.02.2014 12:10:00;  2,75
23.03.2014 21:40:00;  2,83
21.04.2014 06:10:00;  3,12
07.05.2014 23:40:00;  2,94
30.06.2014 06:55:00;  2,67
21.07.2014 06:45:00;  3,17
11.08.2014 22:20:25;  2,94
05.09.2014 12:25:25;  2,61
22.10.2014 01:15:00;  3,16
04.11.2014 18:15:00;  2,91
07.12.2014 08:50:00;  3,04
19.01.2015 10:05:00;  3,02
24.02.2015 17:05:00;  2,73
31.03.2015 07:55:00;  2,57
10.04.2015 05:25:00;  3,28
14.05.2015 01:45:00;  2,96
01.06.2015 19:45:00;  2,80
08.07.2015 02:15:00;  2,83
17.08.2015 10:45:00;  2,15
26.09.2015 03:05:00;  2,26
19.10.2015 14:30:00;  2,53
02.11.2015 13:40:00;  1,85
19.12.2015 15:05:00;  1,42
12.01.2016 08:15:00;  2,15
01.02.2016 16:15:00;  2,63
01.03.2016 15:05:00;  2,05
09.04.2016 00:35:00;  2,30
04.05.2016 06:00:00;  2,81
26.06.2016 10:05:00;  2,80
31.07.2016 23:59:55;  2,83
01.08.2016 00:00:00;  2,83
05.09.2016 04:25:00;  2,75
26.10.2016 07:35:00;  2,93
12.11.2016 07:05:00;  3,07
05.12.2016 17:25:00;  2,67
16.01.2017 07:50:00;  2,55
22.02.2017 03:45:00;  2,97
14.03.2017 08:25:00;  2,77
25.04.2017 06:15:00;  3,21
15.05.2017 02:05:00;  2,87
08.06.2017 15:20:00;  2,81
10.07.2017 04:25:00;  3,09
06.08.2017 05:20:00;  3,38
17.09.2017 21:10:00;  3,13
28.10.2017 06:50:00;  3,34
22.11.2017 13:00:00;  2,97
31.12.2017 22:20:00;  3,13
05.01.2018 15:30:00;  3,04
02.02.2018 04:40:00;  2,48
29.03.2018 21:50:00;  2,83
26.04.2018 20:05:00;  2,89
30.05.2018 05:55:00;  3,54
28.06.2018 05:35:00;  3,24
07.07.2018 08:45:00;  3,13
05.08.2018 19:50:00;  2,91
14.09.2018 18:50:00;  3,33
30.10.2018 11:25:00;  3,25
26.11.2018 07:20:00;  2,92
23.12.2018 02:30:00;  3,42
07.01.2019 14:55:00;  3,14
03.02.2019 06:25:00;  3,38
16.03.2019 09:05:00;  3,15
14.04.2019 20:05:00;  3,39
30.05.2019 06:30:00;  3,45
23.06.2019 13:15:00;  2,94
01.07.2019 23:10:00;  2,54
24.08.2019 23:20:00;  2,16
09.09.2019 05:05:00;  3,33
02.10.2019 23:30:00;  2,74
20.11.2019 10:35:00;  2,97
21.12.2019 21:10:00;  2,77
01.01.2020 00:00:00;  2,03
18.02.2020 06:30:00;  2,96
06.03.2020 16:20:00;  2,64
23.04.2020 13:30:00;  1,34
17.05.2020 12:15:00;  1,27
21.06.2020 05:05:00;  2,84
07.07.2020 03:35:00;  3,00
17.08.2020 17:35:00;  2,95
17.09.2020 14:30:00;  3,11
10.10.2020 07:10:00;  2,83
04.11.2020 08:10:00;  2,85
29.12.2020 04:45:00;  2,82
03.01.2021 08:20:00;  2,89
26.02.2021 07:55:15;  2,85
11.03.2021 11:45:00;  2,64
22.04.2021 06:35:00;  2,91
13.05.2021 02:05:00;  2,97
13.06.2021 08:35:00;  2,82
17.07.2021 12:10:00;  2,55
23.08.2021 03:40:00;  2,99
17.09.2021 06:30:00;  3,41
07.10.2021 11:50:00;  2,78
04.11.2021 11:20:00;  2,77
30.12.2021 19:00:00;  2,72
