Messstelle:                ;Totes Weib
29.04.2012 18:29:00;  18,8
01.05.2012 16:59:00;  13,9
20.06.2012 21:59:00;  27,6
21.07.2012 06:14:00;  51,8
05.08.2012 01:59:00;  7,23
13.09.2012 01:29:00;  30,0
16.10.2012 14:14:00;  2,86
05.11.2012 07:44:00;  13,2
23.12.2012 18:59:00;  22,1
05.01.2013 12:45:00;  37,4
01.02.2013 00:00:00;  5,47
08.03.2013 20:45:00;  8,04
18.04.2013 18:30:00;  25,8
07.05.2013 06:30:00;  15,8
11.06.2013 10:30:00;  33,3
06.07.2013 01:00:00;  7,73
09.08.2013 17:15:00;  33,9
17.09.2013 04:15:00;  15,4
11.10.2013 16:00:00;  8,68
07.11.2013 04:30:00;  11,9
26.12.2013 18:15:00;  8,16
05.01.2014 18:15:00;  4,40
02.02.2014 19:30:00;  4,01
17.03.2014 02:15:00;  7,90
20.04.2014 01:00:00;  13,2
16.05.2014 09:00:00;  71,1
30.06.2014 09:00:00;  9,79
23.07.2014 02:30:00;  20,6
01.08.2014 00:00:00;  14,6
13.09.2014 09:45:00;  28,5
23.10.2014 20:51:30;  51,1
08.11.2014 10:36:30;  5,17
19.12.2014 08:36:30;  6,50
10.01.2015 10:51:30;  39,7
01.02.2015 13:21:30;  1,56
31.03.2015 21:36:30;  15,0
15.04.2015 17:51:30;  21,9
23.05.2015 16:05:55;  36,0
28.06.2015 07:05:55;  4,16
08.07.2015 21:35:55;  2,66
17.08.2015 07:50:55;  6,06
26.09.2015 00:50:55;  11,7
08.10.2015 14:35:55;  14,7
30.11.2015 19:05:55;  5,91
01.12.2015 23:35:55;  24,7
29.01.2016 17:05:55;  5,55
01.02.2016 13:50:55;  49,9
31.03.2016 20:15:00;  11,8
01.04.2016 18:15:00;  12,4
04.05.2016 09:00:00;  20,8
20.06.2016 11:30:00;  27,8
12.07.2016 22:15:00;  53,6
10.08.2016 14:30:00;  18,9
06.09.2016 14:19:40;  40,9
04.10.2016 17:19:40;  14,7
19.11.2016 17:49:40;  9,62
27.12.2016 02:19:40;  9,70
01.01.2017 00:00:00;  1,98
21.02.2017 23:04:40;  17,2
19.03.2017 03:34:40;  25,6
26.04.2017 19:53:30;  17,5
01.05.2017 18:08:30;  11,8
03.06.2017 18:38:30;  4,40
27.07.2017 13:15:00;  13,5
06.08.2017 21:30:00;  17,2
20.09.2017 03:53:00;  44,1
29.10.2017 14:53:00;  25,2
03.11.2017 08:23:00;  7,63
12.12.2017 06:38:00;  13,7
05.01.2018 06:53:00;  12,4
01.02.2018 00:00:00;  3,33
12.03.2018 20:59:00;  9,49
13.04.2018 05:14:00;  22,2
31.05.2018 18:29:00;  14,4
28.06.2018 09:59:00;  58,9
23.07.2018 12:44:00;  11,2
10.08.2018 19:29:00;  36,2
01.09.2018 08:14:00;  30,0
30.10.2018 05:58:00;  21,5
01.11.2018 00:58:00;  3,84
24.12.2018 08:00:00;  35,0
01.01.2019 00:45:00;  2,82
22.02.2019 14:30:00;  17,0
16.03.2019 14:13:00;  19,4
24.04.2019 18:30:00;  18,7
11.05.2019 23:15:00;  25,0
19.06.2019 17:00:00;  21,6
01.07.2019 20:15:00;  5,00
19.08.2019 20:15:00;  11,4
09.09.2019 07:00:00;  7,73
06.10.2019 06:15:00;  7,73
16.11.2019 04:00:00;  14,8
23.12.2019 05:00:00;  6,99
31.01.2020 19:45:00;  9,77
24.02.2020 06:30:00;  27,5
11.03.2020 16:15:00;  12,8
14.04.2020 01:30:00;  5,51
26.05.2020 18:00:00;  16,4
21.06.2020 23:45:00;  28,5
18.07.2020 17:30:00;  10,6
04.08.2020 01:00:00;  27,5
01.09.2020 00:00:00; Lücke
01.10.2020 00:00:00; Lücke
01.11.2020 00:00:00; Lücke
01.12.2020 00:00:00; Lücke
01.01.2021 00:00:00; Lücke
