Messstelle:                ;Altaussee (Traun)
03.07.1954 12:00:00;  30,0
28.08.1954 12:00:00;  5,50
30.09.1954 12:00:00;  7,00
04.10.1954 12:00:00;  17,2
01.11.1954 12:00:00;  4,32
28.12.1954 12:00:00;  2,66
01.01.1955 12:00:00;  2,20
02.02.1955 12:00:00;  1,09
28.03.1955 12:00:00;  10,0
12.04.1955 12:00:00;  4,80
08.05.1955 12:00:00;  26,5
09.06.1955 12:00:00;  21,8
10.07.1955 12:00:00;  45,0
10.08.1955 12:00:00;  17,2
17.09.1955 12:00:00;  3,41
14.10.1955 12:00:00;  2,66
13.11.1955 12:00:00;  1,78
31.12.1955 12:00:00;  2,66
02.01.1956 12:00:00;  2,66
02.02.1956 12:00:00; 0,710
28.03.1956 12:00:00;  4,32
18.04.1956 12:00:00;  7,65
31.05.1956 12:00:00;  19,4
21.06.1956 12:00:00;  26,0
09.07.1956 12:00:00;  11,3
24.08.1956 12:00:00;  14,3
14.09.1956 12:00:00;  22,8
22.10.1956 12:00:00;  4,08
08.11.1956 12:00:00;  2,36
07.12.1956 12:00:00;  4,32
11.01.1957 12:00:00;  2,66
26.02.1957 12:00:00;  3,84
20.03.1957 12:00:00;  9,60
30.04.1957 12:00:00;  16,0
02.05.1957 12:00:00;  17,0
12.06.1957 12:00:00;  23,0
24.07.1957 12:00:00;  45,0
22.08.1957 12:00:00;  5,96
19.09.1957 12:00:00;  23,0
01.10.1957 12:00:00;  3,84
30.11.1957 12:00:00; 0,390
15.12.1957 12:00:00; 0,980
14.01.1958 12:00:00; 0,580
17.02.1958 12:00:00;  34,0
31.03.1958 12:00:00;  3,20
28.04.1958 12:00:00;  5,00
08.05.1958 12:00:00;  30,0
29.06.1958 12:00:00;  27,2
01.07.1958 12:00:00;  20,6
27.08.1958 12:00:00;  7,33
25.09.1958 12:00:00;  7,33
17.10.1958 12:00:00;  23,0
16.11.1958 12:00:00;  4,04
30.12.1958 12:00:00;  3,20
01.01.1959 12:00:00;  2,16
28.02.1959 12:00:00;  1,13
26.03.1959 12:00:00;  4,04
20.04.1959 12:00:00;  20,6
12.05.1959 12:00:00;  14,5
15.06.1959 12:00:00;  23,0
03.07.1959 12:00:00;  20,6
14.08.1959 12:00:00;  25,0
25.09.1959 12:00:00;  1,78
31.10.1959 12:00:00;  1,32
20.11.1959 12:00:00;  1,66
31.12.1959 12:00:00;  1,00
09.01.1960 12:00:00;  1,04
29.02.1960 12:00:00;  2,26
04.03.1960 12:00:00;  5,84
15.04.1960 12:00:00;  6,52
18.05.1960 12:00:00;  19,5
29.06.1960 12:00:00;  8,34
27.07.1960 12:00:00;  13,5
14.08.1960 12:00:00;  15,7
07.09.1960 12:00:00;  7,58
27.10.1960 12:00:00;  4,30
01.11.1960 12:00:00;  2,80
03.12.1960 12:00:00;  1,23
02.01.1961 12:00:00; 0,700
28.02.1961 12:00:00;  1,36
15.03.1961 12:00:00;  6,52
10.04.1961 12:00:00;  12,4
28.05.1961 12:00:00;  12,4
04.06.1961 12:00:00;  18,2
31.07.1961 12:00:00;  5,20
19.08.1961 12:00:00;  14,6
16.09.1961 12:00:00;  1,36
29.10.1961 12:00:00; 0,700
14.11.1961 12:00:00;  1,76
14.12.1961 12:00:00;  48,0
27.01.1962 12:00:00;  1,13
24.02.1962 12:00:00;  3,09
07.03.1962 12:00:00;  1,01
28.04.1962 12:00:00;  16,2
11.05.1962 12:00:00;  22,5
16.06.1962 12:00:00;  20,5
04.07.1962 12:00:00;  25,0
01.08.1962 12:00:00;  4,36
09.09.1962 12:00:00;  3,40
01.10.1962 12:00:00;  1,68
10.11.1962 12:00:00;  2,50
20.12.1962 12:00:00; 0,830
17.01.1963 12:00:00; 0,500
02.02.1963 12:00:00; 0,350
20.03.1963 12:00:00;  1,11
24.04.1963 12:00:00;  8,02
19.05.1963 12:00:00;  10,5
22.06.1963 12:00:00;  15,5
09.07.1963 12:00:00;  4,54
23.08.1963 12:00:00;  8,02
28.09.1963 12:00:00;  6,50
01.10.1963 12:00:00;  5,03
24.11.1963 12:00:00;  2,75
02.12.1963 12:00:00; 0,820
08.01.1964 12:00:00; 0,260
05.02.1964 12:00:00; 0,760
31.03.1964 12:00:00;  1,32
21.04.1964 12:00:00;  10,8
05.05.1964 12:00:00;  19,0
09.06.1964 12:00:00;  8,25
02.07.1964 12:00:00;  8,75
03.08.1964 12:00:00;  16,2
09.09.1964 12:00:00;  13,9
30.10.1964 12:00:00;  6,55
19.11.1964 12:00:00;  8,74
01.12.1964 12:00:00;  2,94
11.01.1965 12:00:00;  1,10
09.02.1965 12:00:00; 0,900
31.03.1965 12:00:00;  2,66
07.04.1965 12:00:00;  4,00
20.05.1965 12:00:00;  23,5
15.06.1965 12:00:00;  26,0
02.07.1965 12:00:00;  19,2
03.08.1965 12:00:00;  16,2
15.09.1965 12:00:00;  6,05
01.10.1965 12:00:00;  1,85
29.11.1965 12:00:00; 0,450
22.12.1965 12:00:00;  1,35
29.01.1966 12:00:00; 0,760
10.02.1966 12:00:00;  3,36
02.03.1966 12:00:00;  1,65
30.04.1966 12:00:00;  16,6
18.05.1966 12:00:00;  16,6
30.06.1966 12:00:00;  27,0
01.07.1966 12:00:00;  27,0
17.08.1966 12:00:00;  9,90
02.09.1966 12:00:00;  5,45
19.10.1966 12:00:00; 0,900
05.11.1966 12:00:00; 0,900
21.12.1966 12:00:00;  1,35
19.01.1967 12:00:00;  1,27
05.02.1967 12:00:00;  2,94
12.03.1967 12:00:00;  3,08
18.04.1967 12:00:00;  7,90
16.05.1967 12:00:00;  20,5
09.06.1967 12:00:00;  22,0
04.07.1967 12:00:00;  16,1
06.08.1967 12:00:00;  3,55
17.09.1967 12:00:00;  9,74
09.10.1967 12:00:00;  5,03
14.11.1967 12:00:00;  4,06
27.12.1967 12:00:00;  2,04
21.01.1968 12:00:00;  1,71
26.02.1968 12:00:00; 0,720
31.03.1968 12:00:00;  4,61
25.04.1968 12:00:00;  12,3
07.05.1968 12:00:00;  15,9
11.06.1968 12:00:00;  10,0
19.07.1968 12:00:00;  17,9
16.08.1968 12:00:00;  10,8
25.09.1968 12:00:00;  6,05
04.10.1968 12:00:00;  19,5
26.11.1968 12:00:00; 0,760
01.12.1968 12:00:00; 0,600
26.01.1969 12:00:00; 0,650
02.02.1969 12:00:00; 0,500
20.03.1969 12:00:00;  1,55
30.04.1969 12:00:00;  13,9
01.05.1969 12:00:00;  13,9
09.06.1969 12:00:00;  16,6
13.07.1969 12:00:00;  18,5
19.08.1969 12:00:00;  11,3
17.09.1969 12:00:00;  7,54
31.10.1969 12:00:00; 0,720
17.11.1969 12:00:00;  1,52
12.12.1969 12:00:00; 0,720
19.01.1970 12:00:00; 0,620
23.02.1970 12:00:00;  1,52
28.03.1970 12:00:00;  1,44
20.04.1970 12:00:00;  7,28
18.05.1970 12:00:00;  14,2
12.06.1970 12:00:00;  30,0
18.07.1970 12:00:00;  17,1
12.08.1970 12:00:00;  23,6
07.09.1970 12:00:00;  22,1
07.10.1970 12:00:00;  11,5
05.11.1970 12:00:00;  8,37
04.12.1970 12:00:00;  1,51
03.01.1971 12:00:00; 0,480
27.02.1971 12:00:00; 0,480
23.03.1971 12:00:00;  2,49
25.04.1971 12:00:00;  10,5
13.05.1971 12:00:00;  13,6
21.06.1971 12:00:00;  24,0
03.07.1971 12:00:00;  9,22
28.08.1971 12:00:00;  7,58
01.09.1971 12:00:00;  8,64
01.10.1971 12:00:00;  6,25
24.11.1971 12:00:00; 0,570
23.12.1971 12:00:00;  3,78
08.01.1972 12:00:00; 0,820
24.02.1972 12:00:00; 0,610
28.03.1972 12:00:00;  2,49
05.04.1972 12:00:00;  15,5
11.05.1972 12:00:00;  9,86
01.06.1972 12:00:00;  8,37
14.07.1972 12:00:00;  12,8
05.08.1972 12:00:00;  13,6
12.09.1972 12:00:00;  1,33
31.10.1972 12:00:00;  1,70
18.11.1972 12:00:00;  6,25
04.12.1972 12:00:00;  1,01
31.01.1973 12:00:00; 0,570
01.02.1973 12:00:00; 0,520
30.03.1973 12:00:00;  1,90
30.04.1973 12:00:00;  5,61
23.05.1973 12:00:00;  18,3
26.06.1973 12:00:00;  24,0
28.07.1973 12:00:00;  14,6
01.08.1973 12:00:00;  3,39
29.09.1973 12:00:00;  4,40
24.10.1973 12:00:00;  3,14
21.11.1973 12:00:00;  3,14
07.12.1973 12:00:00;  1,80
17.01.1974 12:00:00;  5,39
20.02.1974 12:00:00; 0,950
29.03.1974 12:00:00;  7,31
15.04.1974 12:00:00;  6,04
23.05.1974 12:00:00;  20,1
02.06.1974 12:00:00;  30,0
22.07.1974 12:00:00;  22,1
12.08.1974 12:00:00;  11,5
29.09.1974 12:00:00;  3,78
01.10.1974 12:00:00;  2,65
24.11.1974 12:00:00;  2,27
30.12.1974 12:00:00;  23,5
01.01.1975 12:00:00;  8,58
01.02.1975 12:00:00;  1,82
14.03.1975 12:00:00;  1,44
24.04.1975 12:00:00;  12,3
09.05.1975 12:00:00;  25,5
17.06.1975 12:00:00;  20,5
03.07.1975 12:00:00;  30,0
31.08.1975 12:00:00;  5,82
13.09.1975 12:00:00;  2,14
28.10.1975 12:00:00; 0,700
21.11.1975 12:00:00; 0,700
04.12.1975 12:00:00; 0,570
13.01.1976 08:00:00;  4,91
29.02.1976 10:00:00; 0,719
02.03.1976 08:00:00; 0,945
22.04.1976 08:00:00;  6,99
10.05.1976 08:00:00;  18,3
02.06.1976 08:00:00;  20,6
26.07.1976 08:00:00;  10,7
22.08.1976 08:00:00;  13,2
06.09.1976 08:00:00;  10,4
01.10.1976 02:00:00;  2,19
08.11.1976 08:00:00;  1,66
13.12.1976 08:00:00;  1,21
27.01.1977 08:00:00;  1,29
06.02.1977 08:00:00;  6,29
05.03.1977 08:00:00;  12,5
30.04.1977 08:00:00;  15,4
02.05.1977 08:00:00;  23,5
27.06.1977 08:00:00;  15,1
01.07.1977 00:00:00;  6,29
02.08.1977 08:00:00;  33,5
10.09.1977 08:00:00;  6,51
08.10.1977 08:00:00;  3,65
16.11.1977 08:00:00;  2,30
29.12.1977 08:00:00;  4,47
01.01.1978 00:00:00;  2,30
28.02.1978 08:00:00;  1,21
31.03.1978 08:00:00;  2,19
30.04.1978 08:00:00;  6,51
23.05.1978 08:00:00;  17,9
01.06.1978 00:00:00;  16,2
22.07.1978 08:00:00;  9,77
12.08.1978 08:00:00;  5,22
24.09.1978 08:00:00;  16,2
26.10.1978 08:00:00;  13,2
02.11.1978 08:00:00;  4,13
12.12.1978 08:00:00;  1,38
02.01.1979 08:00:00; 0,668
17.02.1979 08:00:00;  1,29
17.03.1979 18:00:00;  4,13
17.04.1979 18:00:00;  5,63
21.05.1979 18:00:00;  20,6
01.06.1979 02:00:00;  16,2
10.07.1979 18:00:00;  16,2
12.08.1979 18:00:00;  6,51
24.09.1979 18:00:00;  4,21
26.10.1979 18:00:00;  2,30
29.11.1979 18:00:00;  9,77
06.12.1979 18:00:00;  6,29
01.01.1980 02:00:00;  1,56
04.02.1980 18:00:00; 0,849
31.03.1980 20:00:00;  3,50
03.04.1980 18:00:00;  8,02
30.05.1980 18:00:00;  14,7
13.06.1980 18:00:00;  22,5
04.07.1980 18:00:00;  25,5
14.08.1980 18:00:00;  7,49
02.09.1980 18:00:00;  20,1
18.10.1980 18:00:00;  12,8
01.11.1980 02:00:00;  2,93
01.12.1980 00:00:00;  1,57
04.01.1981 18:00:00;  1,08
07.02.1981 18:00:00; 0,945
12.03.1981 18:00:00;  15,8
01.04.1981 02:00:00;  12,1
23.05.1981 18:00:00;  17,4
01.06.1981 02:00:00;  10,8
21.07.1981 16:00:00;  31,1
28.08.1981 16:00:00;  13,2
01.09.1981 00:00:00;  8,86
14.10.1981 16:00:00;  6,51
02.11.1981 16:00:00;  12,8
01.12.1981 00:00:00;  1,77
31.01.1982 18:00:00;  2,78
01.02.1982 00:00:00;  2,78
30.03.1982 18:00:00;  1,99
09.04.1982 18:00:00;  4,91
29.05.1982 18:00:00;  20,1
14.06.1982 18:00:00;  20,1
27.07.1982 18:00:00;  14,6
01.08.1982 00:00:00;  8,90
24.09.1982 18:00:00;  1,67
26.10.1982 18:00:00;  1,57
01.11.1982 00:00:00;  1,23
19.12.1982 18:00:00;  2,23
05.01.1983 18:00:00;  6,74
01.02.1983 00:00:00;  3,94
28.03.1983 18:00:00;  2,49
30.04.1983 20:00:00;  11,1
16.05.1983 18:00:00;  18,7
16.06.1983 18:00:00;  12,1
01.07.1983 00:00:00;  6,01
05.08.1983 18:00:00;  17,0
18.09.1983 18:00:00;  5,34
12.10.1983 18:00:00;  10,4
30.11.1983 20:00:00;  3,09
01.12.1983 00:00:00;  3,09
01.01.1984 00:00:00;  1,67
27.02.1984 18:00:00; 0,499
31.03.1984 20:00:00;  1,39
28.04.1984 20:00:00;  3,41
20.05.1984 20:00:00;  15,0
04.06.1984 18:00:00;  14,2
28.07.1984 18:00:00;  29,6
01.08.1984 00:00:00;  9,19
13.09.1984 18:00:00;  11,4
04.10.1984 18:00:00;  6,25
26.11.1984 18:00:00; 0,499
04.12.1984 20:00:00; 0,462
31.01.1985 23:59:55;  2,20
02.02.1985 18:00:00;  3,02
01.03.1985 02:00:00;  1,04
25.04.1985 18:00:00;  4,91
15.05.1985 18:00:00;  19,2
01.06.1985 00:00:00;  12,1
03.07.1985 18:00:00;  7,24
09.08.1985 18:00:00;  42,7
09.09.1985 18:00:00;  4,12
19.10.1985 18:00:00;  1,23
09.11.1985 18:00:00; 0,623
17.12.1985 18:00:00;  2,49
22.01.1986 20:00:00;  1,23
17.02.1986 20:00:00; 0,623
21.03.1986 18:00:00;  1,23
29.04.1986 18:00:00;  10,4
04.05.1986 18:00:00;  15,0
01.06.1986 02:00:00;  10,8
11.07.1986 18:00:00;  4,31
25.08.1986 18:00:00;  8,90
01.09.1986 00:00:00;  2,78
23.10.1986 18:00:00;  7,51
01.11.1986 00:00:00;  2,23
31.12.1986 23:59:55;  1,63
03.01.1987 18:00:00;  3,21
28.02.1987 18:00:00;  1,47
01.03.1987 02:00:00;  1,66
30.04.1987 18:00:00;  6,99
03.05.1987 18:00:00;  13,2
06.06.1987 18:00:00;  19,2
01.07.1987 00:00:00;  15,0
05.08.1987 18:00:00;  10,4
08.09.1987 18:00:00;  4,91
02.10.1987 00:10:00;  2,54
07.11.1987 18:00:00;  1,86
19.12.1987 18:00:00;  33,3
01.01.1988 00:00:00;  1,31
12.02.1988 20:00:00; 0,771
31.03.1988 20:00:00;  2,63
20.04.1988 18:00:00;  9,49
19.05.1988 18:00:00;  18,3
01.06.1988 02:00:00;  15,0
01.07.1988 02:00:00;  7,24
30.08.1988 18:00:00;  8,61
07.09.1988 18:00:00;  12,1
27.10.1988 18:00:00;  1,99
18.11.1988 18:00:00;  1,88
25.12.1988 20:00:00;  5,12
01.01.1989 00:00:00;  1,77
24.02.1989 20:00:00;  2,36
30.03.1989 18:00:00;  6,25
06.04.1989 18:00:00;  10,8
29.05.1989 18:00:00;  15,0
19.06.1989 18:00:00;  22,0
28.07.1989 18:00:00;  11,1
02.08.1989 18:00:00;  9,19
16.09.1989 18:00:00;  13,5
01.10.1989 00:00:00;  7,24
01.11.1989 02:00:00;  13,1
31.12.1989 20:00:00;  1,31
03.01.1990 00:00:00;  1,31
16.02.1990 18:00:00;  1,96
24.03.1990 18:00:00;  5,22
30.04.1990 18:00:00;  4,47
06.05.1990 20:00:00;  9,77
14.06.1990 20:00:00;  5,42
09.07.1990 18:00:00;  17,1
22.08.1990 18:00:00;  4,84
13.09.1990 18:00:00;  4,13
01.10.1990 00:00:00;  4,13
19.11.1990 18:00:00;  10,4
11.12.1990 18:00:00;  2,94
04.01.1991 18:00:00;  2,07
27.02.1991 18:00:00; 0,786
17.03.1991 18:00:00;  4,13
29.04.1991 18:00:00;  2,68
12.05.1991 18:00:00;  7,49
10.06.1991 18:00:00;  12,5
29.07.1991 18:00:00;  28,8
03.08.1991 18:00:00;  47,9
26.09.1991 20:00:00;  1,06
04.10.1991 18:00:00;  1,66
10.11.1991 02:00:00;  1,21
23.12.1991 18:00:00;  14,7
02.01.1992 15:00:00;  1,21
06.02.1992 06:00:00;  1,21
23.03.1992 00:15:00;  1,76
29.04.1992 08:00:00;  17,9
17.05.1992 08:00:00;  19,7
13.06.1992 20:15:00;  17,9
16.07.1992 00:15:00;  7,24
04.08.1992 20:15:00;  5,42
06.09.1992 14:45:00;  7,75
02.10.1992 02:45:00;  3,96
24.11.1992 11:00:00;  44,9
01.12.1992 00:00:00;  11,8
09.01.1993 00:00:00;  5,84
01.02.1993 00:15:00;  1,56
19.03.1993 02:30:00;  7,75
28.04.1993 01:45:00;  17,5
12.05.1993 04:00:00;  16,2
28.06.1993 05:45:00;  19,7
29.07.1993 14:15:00;  24,0
01.08.1993 00:00:00;  8,56
02.09.1993 02:00:00;  11,1
24.10.1993 20:45:00;  6,99
07.11.1993 03:45:00; 0,985
20.12.1993 21:45:00;  5,42
26.01.1994 17:15:00;  2,81
01.02.1994 00:00:00;  1,57
26.03.1994 06:15:00;  19,2
30.04.1994 06:00:00;  13,6
20.05.1994 13:30:00;  25,0
09.06.1994 01:30:00;  13,6
10.07.1994 03:30:00;  5,84
20.08.1994 17:00:00;  13,2
04.09.1994 11:00:00;  2,94
28.10.1994 07:15:00;  2,42
21.11.1994 12:45:00;  14,3
12.12.1994 04:30:00;  8,02
01.01.1995 02:30:00;  2,94
19.02.1995 02:30:00;  1,56
28.03.1995 10:15:00;  2,68
25.04.1995 06:15:00;  18,3
28.05.1995 08:00:00;  15,8
01.06.1995 00:00:00;  15,8
01.07.1995 00:00:00;  15,8
30.08.1995 02:00:00;  10,8
04.09.1995 11:15:00;  16,6
02.10.1995 20:45:00;  8,33
17.11.1995 22:30:00;  1,66
30.12.1995 07:45:00;  1,21
08.01.1996 21:45:00;  1,13
01.02.1996 00:15:00; 0,361
27.03.1996 07:00:00;  2,69
24.04.1996 22:30:00;  14,0
28.05.1996 21:30:00;  20,0
30.06.1996 16:15:00;  10,3
12.07.1996 22:45:00;  16,9
04.08.1996 13:15:00;  5,23
24.09.1996 22:30:00;  20,0
22.10.1996 09:45:00;  32,6
02.11.1996 10:30:00;  6,17
02.12.1996 14:45:00; 0,794
04.01.1997 02:58:05; 0,632
28.02.1997 23:59:55; 0,804
17.03.1997 22:03:45;  7,87
30.04.1997 18:42:50;  5,66
22.05.1997 16:43:10;  23,3
11.06.1997 18:10:45;  9,92
20.07.1997 10:39:45;  26,9
02.08.1997 15:36:40;  7,73
01.09.1997 00:00:00;  4,29
03.10.1997 07:30:40;  23,4
12.11.1997 00:59:35;  2,51
13.12.1997 13:39:10;  5,53
07.01.1998 15:01:00; 0,747
23.02.1998 14:05:20; 0,745
31.03.1998 23:59:55;  3,10
28.04.1998 06:32:05;  13,6
13.05.1998 06:26:40;  15,7
04.06.1998 06:05:50;  13,2
10.07.1998 21:14:45;  20,0
23.08.1998 15:07:45;  8,99
06.09.1998 13:26:00;  15,3
29.10.1998 20:31:25;  12,1
11.11.1998 06:30:00;  23,9
16.12.1998 10:00:00;  4,22
05.01.1999 22:00:00;  2,20
22.02.1999 06:00:00; 0,901
04.03.1999 22:00:00;  1,68
30.04.1999 23:45:00;  14,6
14.05.1999 03:00:00;  21,4
01.06.1999 12:00:00;  18,4
23.07.1999 21:30:00;  16,6
27.08.1999 22:30:00;  5,05
03.09.1999 06:15:00;  9,10
10.10.1999 20:45:00;  8,32
14.11.1999 11:45:00; 0,635
21.12.1999 10:45:00; 0,575
31.01.2000 20:45:00;  1,85
10.02.2000 02:00:00;  2,79
10.03.2000 16:15:00;  12,9
30.04.2000 00:00:00;  18,2
13.05.2000 17:15:00;  20,4
04.06.2000 05:45:00;  14,4
30.07.2000 20:30:00;  13,6
01.08.2000 00:15:00;  10,3
08.09.2000 07:30:00;  9,56
04.10.2000 02:15:00;  4,46
19.11.2000 16:00:00;  1,41
01.12.2000 03:00:00;  1,06
03.01.2001 13:00:00;  1,80
23.02.2001 10:45:00;  1,41
24.03.2001 22:15:00;  17,1
30.04.2001 23:59:55;  11,2
04.05.2001 05:00:00;  20,9
20.06.2001 10:30:00;  32,6
21.07.2001 21:15:00;  26,9
11.08.2001 08:30:00;  7,48
09.09.2001 10:45:00;  24,9
26.10.2001 12:30:00;  2,71
14.11.2001 15:30:00;  2,42
10.12.2001 15:45:00;  1,53
28.01.2002 22:15:00;  8,55
01.02.2002 00:00:00;  2,92
22.03.2002 06:45:00;  26,2
27.04.2002 14:30:00;  14,1
05.05.2002 03:15:00;  19,9
08.06.2002 12:00:00;  29,1
18.07.2002 13:30:00;  10,7
13.08.2002 06:15:00;  47,2
24.09.2002 20:15:00;  5,96
05.10.2002 09:45:00;  12,9
19.11.2002 11:00:00;  12,7
31.12.2002 17:30:00;  7,59
01.01.2003 00:00:00;  7,59
01.02.2003 00:15:00; 0,979
31.03.2003 23:59:55;  5,15
28.04.2003 00:45:00;  13,7
01.05.2003 08:45:00;  15,4
01.06.2003 07:43:35;  8,18
25.07.2003 15:00:00;  4,00
01.08.2003 21:15:00;  12,3
14.09.2003 03:15:00;  22,4
12.10.2003 02:00:00;  11,9
03.11.2003 17:15:00;  2,36
17.12.2003 05:20:30; 0,823
15.01.2004 20:15:00;  1,19
04.02.2004 05:45:00;  1,87
22.03.2004 07:30:00;  3,98
30.04.2004 23:30:00;  11,2
22.05.2004 07:45:00;  17,8
04.06.2004 13:15:00;  18,0
16.07.2004 03:15:00;  12,5
27.08.2004 16:30:00;  14,6
24.09.2004 13:45:00;  33,2
01.10.2004 00:15:00;  8,46
24.11.2004 08:45:00;  3,10
01.12.2004 19:45:00;  1,74
22.01.2005 21:53:25;  1,39
03.02.2005 11:23:25; 0,960
20.03.2005 10:00:00;  10,8
30.04.2005 23:45:00;  9,16
05.05.2005 03:30:00;  23,9
01.06.2005 00:15:00;  20,7
12.07.2005 10:30:00;  31,7
17.08.2005 13:15:00;  29,5
30.09.2005 23:59:55;  5,31
02.10.2005 23:00:00;  7,35
03.11.2005 13:15:00; 0,878
19.12.2005 10:30:00;  1,57
03.01.2006 17:30:00; 0,711
11.02.2006 07:45:00; 0,655
29.03.2006 06:15:00;  6,87
28.04.2006 23:15:00;  16,8
28.05.2006 03:45:00;  37,1
20.06.2006 17:30:00;  18,9
01.07.2006 00:30:00;  10,1
07.08.2006 23:45:00;  51,7
20.09.2006 05:45:00;  16,9
30.10.2006 18:30:00;  7,74
15.11.2006 10:15:00;  20,1
06.12.2006 13:00:00;  2,86
20.01.2007 20:15:00;  24,9
28.02.2007 23:59:55;  1,18
19.03.2007 17:00:00;  2,34
15.04.2007 02:45:00;  12,1
10.05.2007 03:15:00;  40,3
23.06.2007 07:00:00;  5,95
06.07.2007 18:45:00;  23,1
12.08.2007 22:15:00;  8,37
09.09.2007 23:15:00;  43,8
29.10.2007 15:45:00;  4,77
05.11.2007 17:00:00;  7,86
08.12.2007 18:30:00;  2,26
22.01.2008 21:00:00;  2,18
29.02.2008 23:59:55;  2,48
04.03.2008 03:00:00;  6,21
23.04.2008 11:00:00;  7,73
31.05.2008 02:00:00;  24,5
01.06.2008 00:45:00;  21,8
24.07.2008 13:30:00;  22,8
09.08.2008 22:45:00;  17,2
26.09.2008 19:00:00;  3,40
07.10.2008 19:15:00;  8,94
23.11.2008 16:46:30; 0,771
23.12.2008 04:45:00;  1,97
01.01.2009 00:45:00; 0,718
27.02.2009 23:45:00; 0,746
16.03.2009 14:00:00;  1,20
29.04.2009 03:00:00;  18,3
19.05.2009 20:00:00;  24,8
24.06.2009 16:15:00;  39,3
19.07.2009 17:30:00;  17,4
05.08.2009 11:15:00;  10,7
05.09.2009 13:15:00;  7,52
27.10.2009 06:45:00;  6,41
19.11.2009 09:00:00;  6,53
01.12.2009 12:00:00;  2,78
01.01.2010 01:00:00;  1,39
26.02.2010 23:00:00; 0,751
27.03.2010 06:45:00;  5,48
30.04.2010 23:45:00;  11,7
23.05.2010 04:15:00;  19,5
03.06.2010 12:30:00;  44,2
05.07.2010 23:30:00;  32,6
31.08.2010 23:30:00;  14,4
01.09.2010 07:45:00;  17,2
01.10.2010 01:30:00;  1,62
02.11.2010 04:15:00;  3,43
12.12.2010 13:15:00; 0,967
15.01.2011 03:45:00;  20,7
13.02.2011 16:15:00;  1,62
31.03.2011 23:45:00;  2,94
09.04.2011 00:15:00;  17,8
30.05.2011 00:15:00;  7,81
26.06.2011 22:30:00;  7,03
22.07.2011 15:00:00;  16,6
10.08.2011 16:45:00;  13,1
09.09.2011 21:45:00;  8,21
12.10.2011 01:30:00;  37,7
02.11.2011 08:30:00; 0,827
24.12.2011 18:00:00; 0,712
22.01.2012 09:45:00;  2,75
29.02.2012 23:59:55;  1,87
30.03.2012 19:30:00;  7,59
30.04.2012 14:30:00;  25,1
03.05.2012 05:00:00;  26,6
02.06.2012 08:15:00;  27,7
16.07.2012 16:15:00;  9,12
27.08.2012 14:45:00;  8,34
01.09.2012 11:00:00;  8,64
10.10.2012 10:30:00;  5,51
13.11.2012 05:00:00;  3,54
24.12.2012 20:45:00;  3,99
07.01.2013 08:45:00;  5,18
01.02.2013 04:30:00;  3,61
10.03.2013 16:45:00;  2,11
29.04.2013 04:30:00;  20,2
04.05.2013 03:45:00;  22,6
03.06.2013 03:30:00;  56,8
01.07.2013 00:15:00;  9,93
29.08.2013 15:45:00;  17,3
