Messstelle:                ;Sandriesen
28.04.1969 12:00:00;  33,4
15.05.1969 12:00:00;  61,7
19.06.1969 12:00:00;  72,0
08.07.1969 12:00:00;  61,8
16.08.1969 12:00:00;  43,4
16.09.1969 12:00:00;  56,9
01.10.1969 12:00:00;  6,52
14.11.1969 12:00:00;  39,2
26.12.1969 12:00:00;  2,66
03.01.1970 12:00:00;  2,34
28.02.1970 12:00:00;  1,67
26.03.1970 12:00:00;  2,34
26.04.1970 12:00:00;  11,6
15.05.1970 12:00:00;  29,5
17.06.1970 12:00:00;  85,0
25.07.1970 12:00:00;  82,4
09.08.1970 12:00:00;   110
06.09.1970 12:00:00;  62,4
06.10.1970 12:00:00;  10,4
03.11.1970 12:00:00;  5,28
13.12.1970 12:00:00;  2,40
10.01.1971 12:00:00;  1,42
05.02.1971 12:00:00;  2,10
11.03.1971 12:00:00;  1,99
25.04.1971 12:00:00;  15,8
18.05.1971 12:00:00;  35,4
24.06.1971 12:00:00;  42,9
16.07.1971 12:00:00;  33,0
27.08.1971 12:00:00;   105
01.09.1971 12:00:00;  49,1
02.10.1971 12:00:00;  7,08
11.11.1971 12:00:00;  4,16
22.12.1971 12:00:00;  2,30
09.01.1972 12:00:00;  1,50
29.02.1972 12:00:00;  1,83
27.03.1972 12:00:00;  5,44
04.04.1972 12:00:00;  10,5
27.05.1972 12:00:00;  42,9
12.06.1972 12:00:00;   190
16.07.1972 12:00:00;  94,5
12.08.1972 12:00:00;  26,6
02.09.1972 12:00:00;  10,4
14.10.1972 12:00:00;  5,77
03.11.1972 12:00:00;  4,07
03.12.1972 12:00:00;  1,88
05.01.1973 12:00:00;  1,47
20.02.1973 12:00:00;  1,80
01.03.1973 12:00:00;  1,97
30.04.1973 12:00:00;  5,18
07.05.1973 12:00:00;  63,3
23.06.1973 12:00:00;   155
23.07.1973 12:00:00;  64,1
23.08.1973 12:00:00;  30,5
26.09.1973 12:00:00;  84,5
02.10.1973 12:00:00;  45,2
06.11.1973 12:00:00;  3,41
05.12.1973 12:00:00;  3,07
19.01.1974 12:00:00;  4,34
06.02.1974 12:00:00;  1,98
29.03.1974 12:00:00;  5,53
11.04.1974 12:00:00;  8,33
22.05.1974 12:00:00;  36,5
27.06.1974 12:00:00;  67,6
18.07.1974 12:00:00;  75,0
28.08.1974 12:00:00;  67,0
04.09.1974 12:00:00;  18,3
01.10.1974 12:00:00;  7,44
19.11.1974 12:00:00;  2,61
29.12.1974 12:00:00;  4,67
11.01.1975 12:00:00;  1,90
11.02.1975 12:00:00;  1,75
29.03.1975 12:00:00;  1,59
30.04.1975 12:00:00;  10,5
20.05.1975 12:00:00;  75,2
25.06.1975 12:00:00;  80,7
25.07.1975 12:00:00;  94,0
24.08.1975 12:00:00;  49,9
16.09.1975 12:00:00;  21,3
01.10.1975 12:00:00;  4,18
24.11.1975 12:00:00;  2,64
01.12.1975 12:00:00;  2,43
11.01.1976 19:30:00;  2,17
09.02.1976 13:00:00;  1,66
31.03.1976 23:59:55;  2,59
05.04.1976 02:30:00;  4,82
19.05.1976 00:00:00;  22,5
16.06.1976 21:30:00;  31,8
26.07.1976 15:00:00;  24,3
01.08.1976 06:00:00;  17,1
14.09.1976 12:00:00;  83,0
13.10.1976 16:30:00;  25,5
12.11.1976 10:30:00;  15,8
11.12.1976 20:30:00;  3,10
17.01.1977 12:30:00;  1,92
09.02.1977 13:30:00;  28,1
04.03.1977 14:30:00;  5,94
30.04.1977 22:00:00;  14,4
07.05.1977 20:30:00;  33,4
13.06.1977 20:30:00;  35,0
31.07.1977 21:30:00;  45,8
19.08.1977 05:00:00;  49,9
09.09.1977 13:00:00;  21,0
24.10.1977 12:30:00;  2,36
05.11.1977 19:00:00;  3,98
05.12.1977 12:00:00;  1,50
02.01.1978 14:30:00;  1,25
16.02.1978 14:00:00;  1,82
13.03.1978 00:30:00;  4,50
30.04.1978 23:59:55;  4,21
22.05.1978 18:30:00;  72,4
08.06.1978 22:00:00;  20,5
05.07.1978 14:30:00;  46,6
08.08.1978 07:30:00;  11,0
09.09.1978 03:00:00;  3,41
04.10.1978 05:30:00;  57,3
01.11.1978 03:00:00;  2,00
27.12.1978 14:00:00;  1,79
28.01.1979 16:00:00;  1,93
28.02.1979 14:30:00;  1,74
16.03.1979 21:00:00;  4,27
25.04.1979 19:00:00;  15,4
30.05.1979 22:30:00;  44,2
27.06.1979 02:30:00;  26,1
10.07.1979 08:30:00;  16,9
24.08.1979 22:00:00;  7,45
22.09.1979 15:00:00;  42,1
15.10.1979 13:30:00;  69,2
10.11.1979 07:30:00;  5,61
07.12.1979 23:00:00;  2,31
29.01.1980 16:30:00;  1,62
25.02.1980 11:30:00;  1,22
31.03.1980 23:59:55;  1,33
19.04.1980 02:00:00;  2,50
28.05.1980 07:00:00;  6,15
24.06.1980 02:30:00;  35,4
09.07.1980 18:00:00;   148
31.08.1980 08:30:00;  13,2
23.09.1980 09:00:00;  4,60
17.10.1980 22:00:00;  86,4
01.11.1980 00:00:00;  3,90
01.12.1980 16:00:00;  2,09
10.01.1981 14:00:00;  2,12
11.02.1981 14:30:00;  1,56
31.03.1981 23:59:55;  2,97
02.04.1981 01:00:00;  3,90
27.05.1981 06:30:00;  97,9
05.06.1981 03:00:00;  17,2
19.07.1981 05:00:00;   159
21.08.1981 13:00:00;  6,65
29.09.1981 02:30:00;  10,4
22.10.1981 18:00:00;  8,50
03.11.1981 08:00:00;  4,50
21.12.1981 16:30:00;  2,75
31.01.1982 14:30:00;  3,27
01.02.1982 00:00:00;  2,60
27.03.1982 19:30:00;  1,78
24.04.1982 10:30:00;  2,59
24.05.1982 12:00:00;  10,9
12.06.1982 23:00:00;  20,1
23.07.1982 05:30:00;  5,79
21.08.1982 06:30:00;  3,65
08.09.1982 07:30:00;  3,58
06.10.1982 19:00:00;  19,1
14.11.1982 10:00:00;  4,74
01.12.1982 00:00:00;  3,21
28.01.1983 17:30:00;  2,24
01.02.1983 12:30:00;  2,00
08.03.1983 20:00:00;  2,37
27.04.1983 23:30:00;  5,76
23.05.1983 23:00:00;  26,0
09.06.1983 23:30:00;  9,34
08.07.1983 00:30:00;  5,25
03.08.1983 07:30:00;  6,95
17.09.1983 04:30:00;  10,5
17.10.1983 11:00:00;  5,27
01.11.1983 11:00:00;  1,94
19.12.1983 21:30:00;  1,97
13.01.1984 19:00:00;  1,72
11.02.1984 09:30:00;  1,55
26.03.1984 01:30:00;  2,21
24.04.1984 23:00:00;  3,26
21.05.1984 10:30:00;  57,5
04.06.1984 19:30:00;  12,1
15.07.1984 23:30:00;  8,67
10.08.1984 11:30:00;  6,84
06.09.1984 16:30:00;  24,0
02.10.1984 15:00:00;  38,1
01.11.1984 06:30:00;  2,23
20.12.1984 10:30:00;  2,13
24.01.1985 05:00:00;  2,52
03.02.1985 00:00:00;  4,01
26.03.1985 16:30:00;  1,72
24.04.1985 05:30:00;  3,43
14.05.1985 21:30:00;  23,1
08.06.1985 23:30:00;  29,9
21.07.1985 11:00:00;  9,57
06.08.1985 20:00:00;   125
04.09.1985 08:00:00;  8,22
01.10.1985 14:30:00;  2,50
01.11.1985 00:00:00;  1,79
29.12.1985 17:30:00;  2,33
08.01.1986 14:00:00;  1,70
12.02.1986 13:00:00;  1,54
31.03.1986 20:45:00;  1,71
30.04.1986 23:59:55;  11,3
29.05.1986 21:15:00;  22,6
15.06.1986 08:30:00;  17,8
07.07.1986 05:15:00;  6,60
28.08.1986 22:30:00;  11,4
10.09.1986 11:00:00;  10,6
23.10.1986 20:45:00;  2,87
23.11.1986 22:00:00;  2,26
01.12.1986 00:00:00;  1,47
22.01.1987 16:00:00;  2,00
14.02.1987 16:45:00;  2,50
26.03.1987 04:00:00;  3,20
30.04.1987 23:59:55;  7,21
13.05.1987 17:15:00;  11,4
09.06.1987 09:30:00;  39,1
19.07.1987 21:15:00;  84,8
25.08.1987 16:00:00;  80,7
06.09.1987 12:30:00;  15,1
12.10.1987 03:30:00;  64,9
02.11.1987 04:30:00;  3,73
21.12.1987 17:00:00;  4,05
30.01.1988 04:00:00;  3,89
08.02.1988 02:30:00;  3,73
09.03.1988 10:30:00;  1,67
24.04.1988 01:00:00;  6,68
09.05.1988 23:15:00;  10,8
06.06.1988 08:00:00;  11,3
16.07.1988 04:00:00;  16,6
21.08.1988 11:30:00;  7,78
02.09.1988 19:15:00;  12,4
13.10.1988 09:00:00;  37,3
01.11.1988 16:30:00;  2,84
16.12.1988 17:30:00;  2,98
26.01.1989 11:30:00;  1,76
25.02.1989 18:15:00;  2,07
31.03.1989 02:45:00;  2,84
05.04.1989 05:30:00;  14,5
14.05.1989 12:00:00;  6,47
24.06.1989 08:00:00;  11,9
04.07.1989 19:00:00;  51,9
19.08.1989 06:45:00;  9,41
03.09.1989 07:30:00;  3,89
01.10.1989 07:30:00;  3,12
04.11.1989 20:45:00;  3,57
19.12.1989 17:45:00;  11,3
01.01.1990 19:15:00;  1,86
27.02.1990 17:45:00;  1,97
25.03.1990 15:45:00;  3,27
08.04.1990 05:30:00;  3,42
18.05.1990 16:15:00;  10,8
05.06.1990 08:00:00;  31,3
02.07.1990 15:30:00;  36,4
07.08.1990 08:00:00;  14,5
24.09.1990 08:15:00;  20,2
04.10.1990 05:00:00;  4,22
23.11.1990 01:45:00;  23,9
01.12.1990 00:00:00;  4,56
17.01.1991 12:00:00;  3,27
14.02.1991 15:00:00;  3,57
26.03.1991 05:15:00;  6,26
17.04.1991 09:45:00;  3,73
23.05.1991 21:15:00;  9,97
17.06.1991 23:30:00;  84,2
17.07.1991 22:30:00;  52,9
01.08.1991 12:15:00;  9,80
30.09.1991 21:45:00;  48,4
01.10.1991 00:00:00;  29,7
05.11.1991 03:45:00;  3,42
23.12.1991 15:45:00;  2,98
01.01.1992 10:15:00;  1,67
06.02.1992 15:30:00;  2,19
25.03.1992 11:45:00;  1,97
29.04.1992 13:45:00;  11,3
16.05.1992 20:45:00;  16,5
03.06.1992 23:00:00;  9,69
12.07.1992 05:45:00;  5,81
04.08.1992 18:30:00;  3,73
04.09.1992 20:30:00;  13,0
05.10.1992 17:30:00;  64,3
04.11.1992 01:00:00;  5,86
05.12.1992 16:15:00;  6,26
06.01.1993 12:30:00;  2,07
23.02.1993 11:15:00;  1,97
24.03.1993 05:00:00;  2,44
27.04.1993 21:00:00;  4,39
28.05.1993 21:00:00;  7,55
07.06.1993 23:15:00;  7,33
20.07.1993 00:45:00;  61,1
01.08.1993 00:15:00;  7,55
14.09.1993 09:30:00;  66,7
08.10.1993 19:00:00;  83,9
06.11.1993 10:30:00;  7,17
01.12.1993 00:00:00;  2,44
08.01.1994 19:30:00;  4,10
18.02.1994 09:45:00;  1,80
25.03.1994 23:00:00;  3,32
30.04.1994 23:15:00;  5,69
19.05.1994 18:45:00;  8,24
05.06.1994 05:00:00;  5,69
07.07.1994 08:45:00;  3,18
25.08.1994 11:15:00;  6,48
14.09.1994 20:00:00;   100
04.10.1994 20:45:00;  4,00
11.11.1994 03:45:00;  2,40
01.12.1994 00:00:00;  1,61
09.01.1995 13:30:00;  1,42
01.02.1995 08:45:00;  1,32
27.03.1995 20:30:00;  1,07
25.04.1995 10:45:00;  5,13
31.05.1995 23:00:00;  12,7
02.06.1995 01:45:00;  21,0
04.07.1995 02:45:00;  19,2
09.08.1995 10:00:00;  3,07
15.09.1995 01:30:00;  8,40
01.10.1995 00:00:00;  2,17
06.11.1995 10:30:00;  1,32
26.12.1995 17:30:00;  1,15
08.01.1996 06:45:00; 0,914
10.02.1996 13:00:00;  1,32
04.03.1996 05:45:00;  1,24
26.04.1996 02:15:00;  5,13
20.05.1996 04:30:00;  8,71
22.06.1996 18:45:00;  19,9
08.07.1996 12:00:00;  76,1
29.08.1996 05:45:00;  8,71
06.09.1996 07:00:00;  4,43
16.10.1996 05:15:00;  30,1
16.11.1996 00:10:00;  26,9
01.12.1996 00:00:00;  3,63
14.01.1997 13:30:35;  2,18
04.02.1997 12:18:05;  1,96
19.03.1997 05:42:10;  2,28
30.04.1997 04:45:35;  2,66
15.05.1997 20:23:10;  12,3
28.06.1997 04:22:45;  48,6
18.07.1997 00:32:00;  13,0
29.08.1997 07:54:10;  9,20
07.09.1997 23:23:50;  4,40
03.10.1997 07:40:45;  3,93
07.11.1997 10:39:20;  11,5
01.12.1997 00:00:00;  2,25
31.01.1998 10:46:00;  1,72
04.02.1998 12:23:35;  1,88
11.03.1998 09:38:25;  1,46
29.04.1998 18:40:40;  4,83
14.05.1998 23:34:55;  6,45
11.06.1998 14:35:10;  35,9
03.07.1998 03:59:00;  14,0
01.08.1998 11:17:05;  6,14
12.09.1998 11:23:25;  83,6
07.10.1998 17:22:25;  83,9
04.11.1998 21:20:50;  4,26
10.12.1998 14:53:35;  2,10
30.01.1999 05:37:40;  3,68
13.02.1999 13:09:25;  1,70
31.03.1999 22:46:00;  1,48
30.04.1999 23:59:55;  5,23
05.05.1999 04:20:50;  24,9
08.06.1999 20:51:15;  10,9
22.07.1999 22:23:50;  21,1
20.08.1999 17:53:35;  35,2
21.09.1999 05:31:00;  73,6
04.10.1999 09:45:35;  24,3
04.11.1999 10:31:35;  2,54
28.12.1999 10:35:55;  2,50
30.01.2000 20:57:50;  1,80
01.02.2000 00:00:00;  1,67
29.03.2000 19:51:00;  2,90
24.04.2000 20:07:45;  10,4
12.05.2000 22:14:30;  8,30
25.06.2000 04:23:35;  8,30
11.07.2000 12:23:40;  23,1
06.08.2000 04:04:50;  32,3
21.09.2000 07:06:05;  10,6
13.10.2000 00:49:00;  62,8
14.11.2000 22:04:05;  40,1
01.12.2000 00:00:00;  6,35
08.01.2001 11:49:15;  7,96
02.02.2001 10:00:45;  2,67
25.03.2001 01:04:55;  3,83
30.04.2001 23:59:55;  6,63
29.05.2001 19:26:00;  15,1
11.06.2001 01:44:50;  23,1
20.07.2001 10:59:30;  12,1
17.08.2001 19:41:50;  3,77
26.09.2001 05:16:15;  6,63
04.10.2001 18:54:40;  3,77
01.11.2001 00:00:00;  1,74
16.12.2001 15:15:50; 0,926
05.01.2002 15:32:10;  1,87
22.02.2002 09:29:45;  1,13
21.03.2002 23:15:30;  2,77
27.04.2002 05:16:55;  3,70
04.05.2002 16:03:45;  23,1
06.06.2002 15:14:20;  25,6
16.07.2002 18:21:00;  7,82
12.08.2002 08:20:35;  70,8
04.09.2002 07:33:15;  3,81
17.10.2002 20:24:40;  9,11
26.11.2002 12:38:20;  55,0
01.12.2002 00:00:00;  13,5
14.01.2003 10:06:15;  5,18
03.02.2003 11:50:15;  2,89
31.03.2003 06:58:35;  1,24
30.04.2003 23:59:55;  4,18
20.05.2003 08:25:20;  17,0
14.06.2003 23:39:20;  10,5
03.07.2003 22:17:15;  6,96
31.08.2003 13:18:35;  7,73
01.09.2003 00:00:00;  4,98
05.10.2003 13:54:00;  6,85
01.11.2003 17:13:40;  16,1
01.12.2003 00:00:00;  3,73
08.01.2004 11:19:25;  1,66
25.02.2004 10:04:55;  2,39
01.03.2004 10:20:15;  2,33
29.04.2004 22:30:00;  4,75
21.05.2004 22:45:00;  7,65
12.06.2004 22:15:00;  22,4
10.07.2004 17:00:00;  10,5
31.08.2004 22:45:00;  7,55
01.09.2004 00:00:00;  7,22
30.10.2004 01:45:00;  38,7
01.11.2004 15:00:00;  28,1
01.12.2004 00:00:00;  2,99
03.01.2005 03:00:00;  2,14
28.02.2005 13:45:00;  2,14
01.03.2005 13:00:00;  3,59
30.04.2005 23:00:00;  6,50
04.05.2005 02:15:00;  10,1
26.06.2005 03:15:00;  6,19
08.07.2005 10:15:00;  28,6
21.08.2005 14:09:05;  19,7
19.09.2005 15:15:00;  7,55
05.10.2005 23:15:00;  58,7
01.11.2005 00:00:00;  3,20
01.12.2005 09:30:00;  2,60
03.01.2006 00:45:00;  1,65
18.02.2006 23:00:00;  1,19
28.03.2006 23:15:00;  2,60
28.04.2006 06:30:00;  6,98
20.05.2006 07:30:00;  17,1
20.06.2006 01:15:00;  31,8
26.07.2006 23:00:00;  8,38
03.08.2006 20:30:00;  16,2
17.09.2006 01:45:00;  8,34
04.10.2006 22:00:00;  15,7
15.11.2006 00:32:30;  3,01
09.12.2006 16:21:00;  3,94
20.01.2007 00:45:00;  4,62
01.02.2007 08:45:00;  2,08
19.03.2007 08:30:00;  2,60
14.04.2007 22:00:00;  6,98
01.05.2007 00:00:00;  5,44
27.06.2007 04:00:00;  7,32
10.07.2007 01:15:00;  37,6
17.08.2007 19:30:00;  22,1
28.09.2007 08:15:00;  7,65
06.10.2007 15:45:00;  5,27
25.11.2007 03:00:00;  4,75
01.12.2007 00:00:00;  1,99
24.01.2008 10:30:00;  1,29
29.02.2008 23:59:55;  1,20
02.03.2008 13:30:00;  1,72
29.04.2008 00:45:00;  3,18
18.05.2008 15:30:00;  17,3
24.06.2008 13:41:15;  29,8
04.07.2008 02:40:30;  12,0
15.08.2008 23:44:45;  22,4
14.09.2008 05:47:25;  5,25
30.10.2008 03:02:05;  59,2
01.11.2008 01:17:05;  11,2
11.12.2008 05:17:05;  4,15
01.01.2009 00:00:00;  2,18
07.02.2009 15:01:50;  1,78
29.03.2009 23:53:25;  2,87
29.04.2009 14:55:10;  10,8
13.05.2009 00:00:00;  18,3
20.06.2009 07:45:00;  49,5
18.07.2009 08:45:00;  97,0
28.08.2009 22:30:50;  12,4
15.09.2009 01:39:55;  18,4
01.10.2009 21:41:00;  3,27
30.11.2009 23:22:30;  3,45
25.12.2009 15:00:00;  5,14
02.01.2010 11:07:30;  2,09
13.02.2010 10:00:00;  1,50
27.03.2010 01:30:00;  2,09
30.04.2010 23:15:00;  5,91
06.05.2010 03:22:30;  56,9
16.06.2010 19:22:30;  13,2
12.07.2010 23:00:00;  3,93
15.08.2010 11:22:30;  25,4
25.09.2010 15:07:30;  22,9
05.10.2010 23:15:00;  4,18
01.11.2010 11:07:30;  11,1
24.12.2010 22:30:00;  3,68
14.01.2011 15:07:30;  2,81
24.02.2011 11:22:30;  3,01
17.03.2011 04:22:30;  3,23
07.04.2011 22:52:30;  6,03
27.05.2011 22:30:00;  26,5
23.06.2011 20:30:00;  30,2
18.07.2011 13:45:00;  9,82
09.08.2011 03:15:00;  14,2
19.09.2011 10:45:00;  53,6
26.10.2011 19:45:00;  9,42
01.11.2011 00:00:00;  3,01
01.12.2011 21:45:00;  1,78
05.01.2012 20:45:00;  1,63
25.02.2012 14:00:00;  1,50
30.03.2012 03:15:00;  2,81
30.04.2012 00:45:05;  5,85
02.05.2012 02:45:05;  13,9
04.06.2012 18:15:00;  12,1
21.07.2012 05:45:00;  57,5
31.08.2012 15:45:00;  39,3
01.09.2012 00:00:00;  24,5
01.10.2012 08:45:00;  15,5
05.11.2012 06:45:00;  72,7
01.12.2012 00:00:00;  5,30
05.01.2013 09:15:00;  3,23
01.02.2013 00:00:00;  1,63
15.03.2013 10:15:00;  2,61
20.04.2013 04:30:00;  15,7
02.05.2013 22:15:00;  13,7
02.06.2013 05:30:00;  17,1
10.07.2013 08:30:00;  6,03
25.08.2013 09:15:00;  15,0
17.09.2013 02:45:00;  6,55
11.10.2013 10:30:00;  21,7
