Messstelle:                ;Bocksdorf
19.05.2002 19:02:50;  2,92
28.06.2002 13:40:30;  2,35
16.07.2002 08:31:10;  1,33
12.08.2002 07:06:25;  5,68
10.09.2002 15:52:40; 0,881
18.10.2002 02:31:25;  2,28
22.11.2002 20:08:50;  2,01
06.12.2002 07:27:15;  1,77
22.01.2003 13:28:40; 0,564
02.02.2003 23:21:25; 0,233
03.03.2003 20:29:55; 0,206
10.04.2003 22:16:25; 0,366
29.05.2003 09:18:15; 0,656
15.06.2003 01:30:35;  1,18
17.07.2003 23:12:05;  7,43
31.08.2003 12:10:15;  1,24
10.09.2003 12:29:25; 0,766
04.10.2003 09:01:20;  4,89
02.11.2003 09:29:30; 0,694
31.12.2003 23:11:40; 0,916
17.01.2004 15:48:10;  1,35
23.02.2004 13:16:10; 0,420
24.03.2004 20:55:10;  3,02
20.04.2004 11:13:25; 0,960
22.05.2004 10:38:20; 0,704
12.06.2004 23:02:50;  16,2
19.07.2004 15:12:15;  11,1
07.08.2004 11:02:00;  1,13
30.09.2004 19:25:15; 0,612
16.10.2004 14:53:45; 0,743
09.11.2004 16:51:25; 0,461
27.12.2004 17:34:05; 0,955
01.01.2005 00:00:00; 0,248
24.02.2005 17:02:20; 0,291
17.03.2005 18:32:50; 0,921
20.04.2005 22:57:25;  1,99
18.05.2005 19:10:15; 0,815
15.06.2005 23:04:15;  3,47
13.07.2005 02:41:35;  2,15
15.08.2005 06:43:30;  4,50
17.09.2005 07:40:45; 0,855
03.10.2005 10:22:00; 0,201
27.11.2005 11:40:40;  1,53
06.12.2005 12:29:55;  1,21
03.01.2006 03:38:35; 0,672
20.02.2006 20:27:55;  2,61
29.03.2006 04:03:15; 0,897
29.04.2006 21:52:50;  3,42
29.05.2006 22:09:55;  3,04
29.06.2006 11:26:35;  5,62
13.07.2006 00:19:55;  1,42
20.08.2006 20:13:45;  2,21
27.09.2006 19:21:20;  1,01
24.10.2006 21:15:45;  1,66
22.11.2006 10:50:20;  1,18
09.12.2006 16:45:30; 0,396
24.01.2007 01:51:05; 0,650
26.02.2007 04:58:50;  1,07
20.03.2007 06:57:30;  1,57
03.04.2007 17:19:00; 0,297
05.05.2007 20:17:50;  2,15
04.06.2007 19:20:50;  2,51
10.07.2007 04:53:40;  1,43
17.08.2007 23:32:50; 0,787
28.09.2007 09:24:20;  2,17
28.10.2007 16:34:45;  5,67
18.11.2007 13:52:05; 0,419
10.12.2007 04:29:35;  1,22
28.01.2008 20:48:40; 0,209
02.02.2008 17:32:05; 0,302
16.03.2008 20:43:20; 0,630
21.04.2008 19:08:30;  1,06
01.05.2008 18:25:45; 0,709
05.06.2008 09:50:35;  6,01
21.07.2008 07:10:50;  4,00
16.08.2008 10:35:05;  9,06
26.09.2008 02:50:50; 0,478
04.10.2008 01:45:10; 0,617
07.11.2008 17:49:40; 0,698
19.12.2008 08:16:00;  1,89
28.01.2009 00:17:35;  3,12
08.02.2009 18:58:00;  6,44
06.03.2009 14:23:00;  3,96
01.04.2009 12:59:50; 0,385
12.05.2009 02:01:40;  1,92
24.06.2009 12:35:50;  62,3
01.07.2009 18:59:25;  8,49
04.08.2009 12:38:30;  3,47
05.09.2009 06:36:40;  3,09
12.10.2009 05:10:05;  1,01
09.11.2009 03:40:40; 0,861
02.12.2009 00:45:00;  1,11
09.01.2010 22:15:00;  1,30
26.02.2010 21:45:00;  3,65
01.03.2010 00:00:00; 0,788
02.04.2010 02:15:00; 0,760
14.05.2010 14:00:00;  3,02
16.06.2010 09:15:00;  4,50
16.07.2010 01:00:00;  4,83
10.08.2010 21:45:00;  7,60
26.09.2010 04:45:00;  16,1
25.10.2010 11:45:00; 0,795
22.11.2010 10:45:05;  2,57
08.12.2010 20:50:00;  2,66
19.01.2011 21:35:00;  1,23
20.02.2011 00:05:00; 0,349
17.03.2011 16:05:00;  1,67
29.04.2011 17:50:00; 0,693
14.05.2011 19:35:00;  5,67
23.06.2011 20:50:00;  4,62
20.07.2011 13:50:00;  2,96
15.08.2011 19:35:00;  1,79
19.09.2011 21:05:00;  1,42
07.10.2011 13:05:00;  1,72
19.11.2011 13:20:00; 0,242
17.12.2011 01:35:05; 0,795
03.01.2012 04:05:00; 0,228
20.02.2012 00:20:00; 0,584
01.03.2012 00:50:00; 0,224
12.04.2012 05:35:00;  1,25
22.05.2012 12:05:00;  1,90
22.06.2012 02:50:00;  1,92
09.07.2012 22:20:00;  3,47
03.08.2012 16:20:00;  1,25
25.09.2012 00:45:00;  2,14
16.10.2012 09:00:00;  1,81
05.11.2012 12:15:00;  20,8
26.12.2012 15:15:05; 0,604
31.01.2013 21:15:00; 0,934
26.02.2013 10:45:00;  20,0
31.03.2013 06:30:00;  7,47
01.04.2013 00:00:00;  2,56
10.05.2013 22:30:00;  1,86
24.06.2013 13:30:05;  1,70
11.07.2013 15:15:00; 0,875
27.08.2013 06:45:00;  1,29
11.09.2013 02:45:05;  1,30
30.10.2013 02:45:00; 0,792
24.11.2013 12:00:00;  11,0
27.12.2013 03:30:00; 0,701
05.01.2014 23:00:00;  1,14
09.02.2014 18:49:00;  14,5
23.03.2014 23:19:00; 0,949
06.04.2014 15:34:00;  5,30
11.05.2014 23:45:00;  22,1
30.06.2014 03:45:00;  2,83
13.07.2014 14:00:00;  4,17
13.08.2014 23:30:00;  11,0
09.09.2014 17:45:05;  23,7
22.10.2014 04:45:00;  10,8
08.11.2014 11:00:00;  2,38
08.12.2014 03:35:10;  4,50
11.01.2015 19:30:00;  1,04
24.02.2015 20:30:00;  1,88
27.03.2015 08:45:00; 0,505
28.04.2015 16:05:05; 0,754
23.05.2015 03:45:00;  2,45
23.06.2015 15:00:00;  1,62
08.07.2015 22:45:00;  2,85
17.08.2015 01:15:00;  1,32
25.09.2015 16:45:00;  1,30
15.10.2015 20:45:00;  4,90
21.11.2015 05:00:00; 0,344
14.12.2015 12:15:00; 0,328
12.01.2016 00:15:00;  1,76
19.02.2016 13:00:00;  5,21
06.03.2016 21:15:00; 0,765
23.04.2016 18:30:00;  1,37
28.05.2016 07:45:00;  4,08
05.06.2016 12:30:00;  9,05
14.07.2016 04:30:00;  2,32
15.08.2016 20:00:00;  3,15
02.09.2016 15:15:00; 0,736
26.10.2016 01:45:00;  1,96
07.11.2016 03:00:00;  3,14
28.12.2016 14:45:00; 0,342
15.01.2017 10:30:00; 0,245
06.02.2017 10:30:00;  1,72
01.03.2017 03:45:00; 0,526
28.04.2017 14:00:00;  1,13
31.05.2017 17:15:00;  1,84
25.06.2017 14:15:00;  2,39
05.07.2017 21:30:00;  1,22
05.08.2017 02:15:00;  9,08
20.09.2017 01:30:00;  2,36
29.10.2017 15:00:00; 0,518
26.11.2017 01:15:00;  1,08
13.12.2017 03:00:00;  1,28
10.01.2018 10:30:00; 0,759
02.02.2018 16:45:00; 0,546
30.03.2018 03:15:00;  2,50
01.04.2018 01:00:00; 0,826
15.05.2018 14:00:00;  2,57
01.06.2018 18:00:00;  9,85
14.07.2018 14:15:00;  2,21
02.08.2018 17:15:00;  5,19
01.09.2018 07:45:00;  1,14
28.10.2018 09:00:00; 0,587
26.11.2018 17:00:00;  1,27
08.12.2018 07:15:00; 0,391
15.01.2019 14:30:00; 0,262
03.02.2019 19:30:00;  1,04
25.03.2019 15:45:00; 0,978
05.04.2019 16:15:00; 0,464
28.05.2019 11:00:00;  1,67
19.06.2019 22:45:00;  2,61
31.07.2019 23:59:55;  2,77
01.08.2019 01:00:00;  4,13
09.09.2019 03:45:00;  2,30
02.10.2019 16:30:00;  1,17
09.11.2019 16:45:00;  3,66
21.12.2019 21:30:00;  1,77
28.01.2020 19:45:00; 0,253
26.02.2020 08:00:00; 0,848
06.03.2020 12:30:00; 0,809
29.04.2020 13:45:00; 0,888
03.05.2020 00:15:00;  1,40
10.06.2020 09:00:00;  2,18
01.07.2020 21:15:00;  2,31
17.08.2020 20:15:00;  35,4
28.09.2020 08:45:00;  3,05
03.10.2020 23:00:00;  14,4
16.11.2020 18:45:00; 0,551
10.12.2020 08:00:00;  7,48
24.01.2021 20:30:00; 0,894
09.02.2021 21:15:00;  1,37
13.03.2021 00:00:00; 0,319
12.04.2021 18:45:00;  1,90
17.05.2021 07:30:00;  2,36
25.06.2021 17:00:00;  1,29
11.07.2021 21:14:50;  1,41
01.08.2021 14:15:00;  3,28
29.09.2021 16:45:00;  1,66
07.10.2021 09:15:00; 0,582
26.11.2021 12:30:00;  1,10
05.12.2021 03:45:00; 0,558
