Messstelle:                ;Grades-Zwatshof
10.09.1986 03:15:00;  8,13
23.10.1986 15:45:00;  3,82
23.11.1986 23:45:00;  1,65
18.12.1986 09:00:00;  1,25
12.01.1987 02:45:00; 0,966
14.02.1987 18:30:00;  1,72
28.03.1987 21:30:00;  2,07
21.04.1987 08:00:00;  4,53
05.05.1987 07:15:00;  10,5
09.06.1987 12:45:00;  6,00
02.07.1987 23:00:00;  14,7
04.08.1987 04:15:00;  5,49
06.09.1987 08:30:00;  5,49
12.10.1987 04:30:00;  7,27
25.11.1987 01:15:00;  3,26
19.12.1987 16:15:00;  1,85
07.01.1988 13:15:00;  2,55
07.02.1988 22:15:00;  2,30
17.03.1988 18:45:00;  2,55
24.04.1988 04:30:00;  3,90
03.05.1988 20:30:00;  3,60
06.06.1988 05:00:00;  5,86
29.07.1988 18:45:00;  7,67
21.08.1988 04:15:00;  4,33
14.09.1988 01:15:00;  8,21
06.10.1988 07:45:00;  3,59
04.11.1988 14:30:00;  1,54
02.12.1988 17:30:00;  2,32
05.01.1989 10:15:00;  1,97
24.02.1989 22:45:00;  2,10
21.03.1989 12:45:00;  1,62
28.04.1989 04:45:00;  5,18
14.05.1989 16:15:00;  3,31
24.06.1989 04:15:00;  3,75
04.07.1989 22:15:00;  15,3
18.08.1989 17:30:00;  13,4
03.09.1989 05:30:00;  7,36
02.10.1989 06:30:00;  3,40
06.11.1989 08:00:00;  4,01
19.12.1989 19:00:00;  2,66
30.01.1990 00:01:00;  1,33
27.02.1990 19:45:00;  2,25
25.03.1990 13:45:00;  1,83
07.04.1990 22:15:00;  3,45
22.05.1990 01:30:00;  4,33
28.06.1990 18:00:00;  5,91
02.07.1990 09:00:00;  7,83
01.08.1990 07:45:00;  3,70
24.09.1990 09:30:00;  4,69
27.10.1990 15:30:00;  7,27
26.11.1990 06:15:00;  6,90
01.12.1990 00:00:00;  3,48
01.01.1991 00:15:00;  1,43
28.02.1991 23:59:55;  1,03
26.03.1991 01:30:00;  4,78
17.04.1991 07:15:00;  2,96
11.05.1991 04:30:00;  12,6
26.06.1991 19:45:00;  8,31
25.07.1991 22:30:00;  7,56
23.08.1991 22:45:00;  3,86
12.09.1991 21:45:00;  10,2
01.10.1991 00:00:00;  3,75
05.11.1991 01:00:00;  2,88
10.12.1991 11:00:00;  2,46
04.01.1992 10:45:00;  2,19
06.02.1992 14:15:00;  1,83
24.03.1992 20:00:00;  4,53
29.04.1992 16:30:00;  7,08
04.05.1992 03:00:00;  8,70
03.06.1992 17:45:00;  7,75
02.07.1992 15:15:00;  7,20
04.08.1992 15:45:00;  5,32
01.09.1992 10:15:00;  4,93
05.10.1992 18:00:00;  5,69
03.11.1992 23:30:00;  4,06
13.12.1992 14:00:00;  3,02
01.01.1993 00:00:00;  1,83
23.02.1993 11:15:00;  1,59
24.03.1993 15:15:00;  2,24
06.04.1993 16:30:00;  1,33
15.05.1993 21:00:00;  3,21
03.06.1993 07:15:00;  1,47
20.07.1993 15:00:00;  7,37
05.08.1993 20:45:00;  6,71
29.09.1993 15:00:00;  3,55
23.10.1993 22:30:00;  18,0
06.11.1993 04:00:00;  7,83
29.12.1993 10:00:00;  2,82
13.01.1994 16:00:00;  1,85
18.02.1994 09:45:00;  1,62
09.03.1994 10:30:00;  1,94
18.04.1994 00:45:00;  3,70
19.05.1994 14:45:00;  2,55
20.06.1994 20:30:00;  2,43
06.07.1994 18:00:00;  8,79
29.08.1994 20:00:00;  13,2
15.09.1994 00:15:00;  8,40
04.10.1994 22:30:00;  4,49
11.11.1994 05:15:00;  5,07
12.12.1994 14:45:00;  1,62
03.01.1995 09:45:00;  1,62
27.02.1995 03:45:00;  1,07
27.03.1995 22:45:00;  2,19
25.04.1995 14:15:00;  4,69
13.05.1995 05:45:00;  4,37
16.06.1995 20:30:00;  9,43
02.07.1995 16:30:00;  15,6
09.08.1995 19:45:00;  19,4
20.09.1995 03:30:00;  9,32
01.10.1995 00:00:00;  2,11
17.11.1995 23:45:00;  1,24
29.12.1995 11:30:00;  2,24
08.01.1996 14:00:00;  1,24
07.02.1996 11:45:00;  1,09
25.03.1996 16:30:00;  1,94
26.04.1996 07:30:00;  4,53
27.05.1996 16:45:00;  5,69
22.06.1996 18:00:00;  5,69
08.07.1996 12:30:00;  8,79
02.08.1996 20:15:00;  10,8
23.09.1996 12:00:00;  3,45
02.10.1996 20:45:00;  8,83
18.11.1996 12:45:00;  19,7
03.12.1996 09:00:00;  5,44
30.01.1997 09:21:30;  1,67
03.02.1997 11:38:45;  1,95
17.03.1997 17:39:35;  1,49
06.04.1997 11:45:00;  1,91
09.05.1997 15:03:05;  2,60
17.06.1997 16:16:50;  10,6
24.07.1997 16:50:05;  16,5
18.08.1997 21:09:05;  15,9
06.09.1997 21:31:45;  16,6
13.10.1997 03:56:30;  2,77
09.11.1997 05:17:55;  4,08
28.12.1997 00:22:55;  3,51
07.01.1998 10:00:40;  2,48
13.02.1998 18:14:20;  1,80
31.03.1998 12:56:15;  1,45
29.04.1998 01:12:20;  1,96
14.05.1998 11:35:55;  1,53
26.06.1998 18:58:30;  22,9
07.07.1998 15:14:10;  5,93
05.08.1998 06:18:00;  5,84
05.09.1998 17:47:45;  25,0
06.10.1998 09:51:55;  11,5
04.11.1998 20:21:15;  4,94
09.12.1998 09:45:50;  2,88
14.01.1999 16:18:30;  1,47
05.02.1999 18:05:35;  1,65
14.03.1999 23:10:10;  1,84
16.04.1999 23:44:40;  4,28
06.05.1999 15:00:55;  3,58
04.06.1999 19:56:40;  6,34
23.07.1999 00:59:00;  7,80
20.08.1999 17:28:35;  16,5
01.09.1999 10:46:20;  8,00
01.10.1999 04:20:40;  14,2
04.11.1999 12:34:30;  2,20
31.12.1999 15:42:05;  2,01
31.01.2000 16:46:25;  2,55
10.02.2000 14:36:20;  1,44
29.03.2000 16:57:05;  3,62
25.04.2000 00:42:40;  5,80
12.05.2000 20:14:30;  5,42
25.06.2000 03:13:25;  5,19
11.07.2000 14:18:10;  7,99
12.08.2000 19:24:15;  22,0
21.09.2000 09:46:45;  7,70
09.10.2000 15:42:05;  9,04
07.11.2000 03:08:25;  17,7
01.12.2000 00:24:35;  7,57
08.01.2001 10:19:55;  10,7
08.02.2001 18:24:55;  3,00
13.03.2001 14:18:25;  3,24
25.04.2001 18:49:30;  4,39
08.05.2001 17:17:35;  4,98
11.06.2001 16:33:05;  6,54
20.07.2001 09:05:50;  17,4
18.08.2001 01:12:50;  3,38
14.09.2001 22:13:30;  5,42
01.10.2001 00:19:40;  3,25
12.11.2001 09:21:15;  1,63
06.12.2001 12:37:30;  1,04
30.01.2002 16:00:30; 0,946
07.02.2002 14:03:20;  1,46
03.03.2002 16:55:15;  1,67
20.04.2002 17:57:35;  2,18
26.05.2002 12:24:20;  4,87
23.06.2002 16:47:05;  7,25
15.07.2002 22:50:00;  13,5
11.08.2002 09:32:35;  10,1
02.09.2002 23:23:45;  17,2
17.10.2002 21:39:00;  4,94
29.11.2002 22:57:25;  5,67
06.12.2002 08:05:20;  4,45
01.01.2003 00:00:00;  2,32
24.02.2003 11:25:15;  1,66
03.03.2003 19:37:30;  1,28
12.04.2003 17:32:25;  1,03
26.05.2003 19:48:15;  5,86
15.06.2003 00:16:55;  3,15
03.07.2003 16:58:55;  3,83
31.08.2003 16:48:40;  3,89
01.09.2003 00:00:00;  1,64
05.10.2003 05:48:40;  4,67
28.11.2003 23:00:00;  5,03
31.12.2003 15:26:15;  2,30
01.01.2004 00:40:15;  1,66
23.02.2004 14:45:10;  3,00
17.03.2004 18:06:05;  2,94
05.04.2004 16:52:30;  4,16
28.05.2004 07:44:30;  5,39
12.06.2004 21:53:15;  10,3
24.07.2004 14:57:35;  16,6
29.08.2004 18:33:35;  25,9
16.09.2004 00:01:15;  6,19
31.10.2004 16:04:25;  8,02
01.11.2004 00:00:00;  3,48
27.12.2004 07:45:00;  3,07
31.01.2005 13:23:25;  2,94
02.02.2005 07:55:25;  1,04
18.03.2005 16:04:05;  6,16
19.04.2005 16:51:15;  4,41
18.05.2005 16:11:50;  5,67
25.06.2005 16:52:35;  10,8
08.07.2005 12:31:20;  11,6
26.08.2005 14:53:20;  17,5
03.09.2005 14:22:20;  15,0
05.10.2005 13:30:30;  16,9
01.11.2005 00:23:40;  2,78
03.12.2005 19:47:40;  1,87
01.01.2006 11:35:55;  1,33
23.02.2006 19:43:00; 0,969
29.03.2006 02:37:25;  3,66
28.04.2006 00:25:35;  4,72
20.05.2006 07:21:15;  10,1
20.06.2006 01:01:25;  5,26
09.07.2006 18:16:55;  2,73
03.08.2006 18:11:35;  5,61
17.09.2006 00:16:55;  3,07
04.10.2006 23:18:25;  10,4
28.11.2006 11:16:40;  1,29
13.12.2006 09:16:20;  1,79
19.01.2007 13:23:15;  2,25
13.02.2007 09:54:00;  1,16
08.03.2007 14:12:45;  1,58
02.04.2007 07:22:20;  2,84
29.05.2007 05:09:50;  6,04
20.06.2007 18:52:35;  29,8
10.07.2007 12:22:40;  7,67
14.08.2007 19:15:00;  29,1
27.09.2007 03:00:00;  9,01
06.10.2007 08:00:00;  4,09
08.11.2007 10:30:00;  2,05
01.12.2007 12:30:00;  1,55
17.01.2008 17:30:00;  1,95
05.02.2008 20:00:00;  1,07
02.03.2008 15:30:00;  1,22
21.04.2008 20:45:00;  1,96
23.05.2008 20:15:00;  3,94
03.06.2008 16:15:00;  6,33
14.07.2008 14:45:00;  3,94
15.08.2008 18:00:00;  17,0
12.09.2008 16:45:00;  35,5
30.10.2008 03:00:00;  8,02
13.11.2008 18:15:00;  3,51
12.12.2008 08:00:00;  5,03
04.01.2009 09:15:00;  2,32
19.02.2009 08:00:00;  2,83
29.03.2009 21:15:00;  3,81
29.04.2009 22:30:00;  6,55
26.05.2009 18:45:00;  6,90
20.06.2009 11:30:00;  10,1
30.07.2009 21:00:00;  13,7
10.08.2009 15:30:00;  11,2
04.09.2009 18:30:00;  11,0
01.10.2009 06:45:00;  3,66
06.11.2009 19:55:25;  2,51
01.12.2009 02:00:00;  5,35
30.01.2010 09:30:00;  1,40
26.02.2010 16:50:00;  2,18
01.03.2010 17:35:00;  2,18
29.04.2010 02:42:25;  2,72
13.05.2010 14:15:00;  6,55
20.06.2010 04:30:00;  9,11
01.07.2010 08:15:00;  3,37
15.08.2010 00:15:00;  15,2
18.09.2010 07:30:05;  6,33
06.10.2010 06:45:00;  3,28
17.11.2010 04:00:00;  7,89
24.12.2010 08:45:00;  5,03
11.01.2011 08:45:00;  2,44
24.02.2011 13:30:00;  2,09
17.03.2011 03:00:00;  5,99
07.04.2011 10:15:00;  2,28
28.05.2011 06:45:00;  6,33
19.06.2011 07:00:00;  13,7
24.07.2011 12:15:00;  7,55
03.08.2011 20:00:00;  19,3
19.09.2011 11:00:00;  10,5
07.10.2011 09:30:00;  9,01
16.11.2011 18:00:00;  2,41
31.12.2011 10:30:00;  1,47
17.01.2012 16:45:05;  1,80
29.02.2012 13:40:00;  3,36
20.03.2012 00:10:00;  2,18
07.04.2012 19:30:00;  2,67
12.05.2012 20:30:00;  3,37
23.06.2012 07:00:00;  4,87
21.07.2012 15:40:00;  19,6
31.08.2012 18:00:00;  7,00
12.09.2012 23:30:00;  14,5
15.10.2012 22:10:00;  10,4
05.11.2012 06:50:00;  17,3
03.12.2012 08:50:00;  4,55
05.01.2013 06:00:00;  4,70
11.02.2013 14:40:00;  1,96
10.03.2013 17:00:00;  4,55
22.04.2013 20:10:00;  8,64
02.05.2013 21:50:00;  5,83
02.06.2013 02:50:00;  7,37
10.07.2013 18:00:00;  2,30
25.08.2013 17:20:00;  5,33
11.09.2013 03:17:20;  3,36
30.10.2013 06:17:20;  6,35
09.11.2013 17:02:20;  5,67
27.12.2013 03:38:10;  2,90
05.01.2014 04:28:10;  6,57
20.02.2014 00:30:00;  3,36
23.03.2014 17:00:00;  9,35
08.04.2014 02:30:00;  4,86
11.05.2014 19:30:00;  5,83
12.06.2014 15:15:00;  5,66
30.07.2014 13:00:00;  2,54
31.08.2014 16:45:00;  11,7
13.09.2014 07:00:00;  15,9
01.10.2014 15:45:00;  3,89
07.11.2014 00:45:00;  15,8
01.12.2014 11:45:00;  6,52
10.01.2015 04:45:00;  8,56
03.02.2015 07:30:00;  2,29
26.03.2015 03:15:00;  2,41
28.04.2015 15:45:00;  1,85
23.05.2015 05:45:00;  4,61
23.06.2015 11:30:00;  5,43
29.07.2015 23:00:00;  4,45
19.08.2015 15:45:00;  9,70
05.09.2015 14:15:00;  7,71
16.10.2015 14:15:00;  5,26
01.11.2015 00:15:00;  2,41
03.12.2015 13:00:00;  1,47
11.01.2016 19:45:00;  5,09
29.02.2016 14:00:00;  4,00
01.03.2016 00:00:00;  1,68
23.04.2016 02:30:00;  4,97
03.05.2016 09:00:00;  4,80
04.06.2016 17:30:00;  7,74
13.07.2016 16:00:00;  27,3
29.08.2016 14:15:00;  26,9
04.09.2016 16:45:00;  7,30
19.10.2016 19:30:00;  4,93
06.11.2016 18:30:00;  7,71
07.12.2016 13:45:00;  3,31
08.01.2017 05:27:00;  1,84
03.02.2017 16:30:00;  1,38
05.03.2017 01:15:00;  2,54
28.04.2017 03:45:00;  5,96
02.05.2017 01:30:00;  2,06
06.06.2017 20:45:00;  4,00
24.07.2017 10:30:00;  26,9
20.08.2017 03:00:00;  15,3
19.09.2017 10:15:00;  12,7
04.10.2017 06:45:00;  5,09
06.11.2017 06:30:00;  4,30
12.12.2017 07:45:00;  7,71
09.01.2018 19:15:00;  5,61
26.02.2018 13:30:00;  3,57
31.03.2018 21:45:00;  4,93
26.04.2018 17:45:00;  11,9
15.05.2018 11:15:00;  9,67
07.06.2018 15:45:00;  21,9
04.07.2018 21:30:00;  5,61
10.08.2018 23:15:00;  8,78
01.09.2018 12:00:00;  7,92
30.10.2018 14:30:00;  14,7
26.11.2018 06:00:00;  3,70
24.12.2018 15:45:00;  1,96
06.01.2019 12:45:00;  1,40
03.02.2019 09:15:00;  3,22
07.03.2019 22:15:00;  1,43
11.04.2019 19:30:00;  2,26
29.05.2019 22:15:00;  3,78
22.06.2019 14:45:00;  12,8
20.07.2019 19:00:00;  7,58
24.08.2019 18:15:00;  9,12
08.09.2019 19:15:00;  18,7
02.10.2019 15:15:00;  2,92
18.11.2019 05:45:00;  43,3
21.12.2019 16:45:00;  8,37
01.01.2020 14:30:00;  2,80
04.02.2020 12:15:00;  2,54
03.03.2020 10:15:00;  2,15
20.04.2020 05:00:00;  2,50
20.05.2020 01:30:00;  2,38
28.06.2020 20:30:00;  60,9
15.07.2020 16:30:00;  20,5
03.08.2020 23:00:00;  55,9
06.09.2020 20:45:00;  27,0
10.10.2020 22:00:00;  9,20
04.11.2020 14:00:00;  3,86
06.12.2020 21:45:00;  18,2
12.01.2021 10:30:00;  3,19
08.02.2021 01:45:00;  3,50
01.03.2021 18:45:00;  2,50
12.04.2021 18:45:00;  3,19
24.05.2021 23:45:00;  5,29
27.06.2021 00:15:00;  39,4
05.07.2021 00:45:00;  8,52
22.08.2021 16:15:00;  9,50
20.09.2021 01:45:00;  14,3
06.10.2021 19:00:00;  3,66
04.11.2021 09:15:00;  4,55
05.12.2021 12:30:00;  1,52
