Messstelle:                ;Hoheneich
22.10.1996 07:45:00;  11,6
16.11.1996 06:00:00;  3,87
25.12.1996 00:00:00;  2,31
15.01.1997 06:07:30;  2,93
12.02.1997 16:39:40;  5,05
17.03.1997 16:20:50;  11,7
07.04.1997 17:05:15;  8,86
09.05.1997 11:36:35;  9,80
23.06.1997 13:55:25;  1,32
19.07.1997 21:44:50;  16,1
02.08.1997 01:54:55;  4,57
21.09.1997 22:25:50;  1,99
29.10.1997 12:59:00;  3,22
30.11.1997 23:59:55;  2,76
15.12.1997 08:51:05;  6,16
27.01.1998 09:24:10;  3,08
13.02.1998 17:41:35;  2,96
18.03.1998 05:54:20;  8,04
13.04.1998 05:29:15;  2,72
18.05.1998 07:51:45;  1,41
15.06.1998 18:49:40;  5,09
27.07.1998 09:50:20;  4,62
01.08.1998 00:00:00;  2,51
18.09.1998 04:35:15;  1,98
29.10.1998 14:55:25;  5,10
11.11.1998 17:15:45;  6,87
15.12.1998 16:38:05;  6,08
09.01.1999 02:56:10;  2,42
21.02.1999 11:24:20;  7,62
03.03.1999 10:53:35;  13,2
13.04.1999 17:29:15;  3,49
21.05.1999 10:09:45;  2,51
21.06.1999 10:57:55;  1,14
10.07.1999 08:13:20;  4,80
31.08.1999 21:42:40; 0,925
27.09.1999 15:44:40;  1,44
13.10.1999 03:49:25;  1,65
10.11.1999 14:36:25;  1,01
27.12.1999 23:23:45; 0,567
31.01.2000 22:28:55;  13,5
01.02.2000 00:00:00;  12,4
28.03.2000 12:29:45;  8,60
01.04.2000 10:41:50;  7,63
02.05.2000 09:50:45;  1,50
07.06.2000 02:29:00; 0,813
27.07.2000 10:23:25;  1,41
07.08.2000 18:40:35;  4,49
25.09.2000 19:37:25;  1,14
08.10.2000 18:59:20;  1,45
26.11.2000 22:40:45; 0,754
16.12.2000 09:43:05;  1,13
10.01.2001 12:01:15;  1,37
07.02.2001 00:51:25;  4,47
25.03.2001 12:02:30;  7,38
09.04.2001 09:18:00;  12,3
09.05.2001 11:44:10;  6,70
14.06.2001 20:32:20;  2,88
21.07.2001 08:16:15;  11,8
21.08.2001 07:50:15;  2,66
18.09.2001 21:08:30;  9,59
01.10.2001 13:39:15;  7,45
27.11.2001 20:37:30;  3,93
07.12.2001 06:20:25;  4,86
29.01.2002 11:23:45;  10,2
14.02.2002 09:15:25;  6,70
21.03.2002 18:03:25;  24,2
01.04.2002 20:57:10;  4,34
14.05.2002 16:38:55;  1,49
08.06.2002 20:04:35;  5,56
18.07.2002 14:16:45;  3,83
13.08.2002 07:03:05;   141
01.09.2002 19:21:00;  4,47
13.10.2002 02:07:45;  21,5
11.11.2002 17:38:35;  17,0
31.12.2002 01:57:50;  21,9
28.01.2003 20:17:10;  14,0
25.02.2003 18:07:35;  6,31
13.03.2003 09:55:20;  5,57
08.04.2003 12:45:00;  2,62
09.05.2003 22:47:20;  3,74
15.06.2003 09:30:00;  2,22
31.07.2003 23:59:55; 0,803
01.08.2003 08:45:00;  1,21
30.09.2003 23:59:55; 0,547
06.10.2003 11:45:00;  1,75
26.11.2003 16:39:30; 0,606
29.12.2003 13:08:00;  1,21
14.01.2004 11:15:20;  10,6
04.02.2004 01:05:00;  16,9
31.03.2004 23:35:00;  14,8
01.04.2004 00:05:00;  14,8
01.05.2004 19:55:00;  6,09
03.06.2004 22:20:05;  16,2
09.07.2004 09:15:00;  2,80
21.08.2004 23:00:00;  1,19
24.09.2004 00:55:00;  2,20
17.10.2004 09:55:00;  1,82
24.11.2004 12:10:00;  4,65
11.12.2004 15:20:00;  1,79
29.01.2005 09:30:00;  3,18
13.02.2005 03:35:00;  26,2
19.03.2005 09:45:00;  27,1
20.04.2005 20:00:00;  12,3
23.05.2005 20:10:00;  24,4
01.06.2005 00:05:00;  3,72
11.07.2005 08:30:00;  15,7
22.08.2005 07:25:00;  29,2
29.09.2005 11:00:00;  6,89
01.10.2005 00:00:00;  4,02
21.11.2005 10:30:00;  1,04
17.12.2005 13:45:00;  1,76
18.01.2006 09:45:00;  1,28
28.02.2006 10:45:00;  2,54
29.03.2006 19:15:00;  50,9
01.04.2006 02:25:00;  44,2
28.05.2006 16:20:00;  17,9
30.06.2006 12:50:00;  62,1
01.07.2006 00:00:00;  45,4
08.08.2006 03:10:00;  34,0
01.09.2006 17:45:00;  2,27
04.10.2006 13:20:00;  1,64
09.11.2006 14:15:00;  2,00
29.12.2006 14:05:00;  1,30
31.01.2007 23:05:00;  1,71
03.02.2007 11:35:00;  3,06
25.03.2007 22:15:00;  21,5
01.04.2007 00:00:00;  4,11
10.05.2007 15:55:00;  1,73
11.06.2007 12:35:00;  1,66
19.07.2007 12:55:00;  1,26
30.08.2007 08:05:00;  2,10
07.09.2007 07:50:00;  22,7
24.10.2007 14:35:00;  3,41
12.11.2007 00:25:00;  8,90
13.12.2007 03:35:00;  6,15
21.01.2008 08:05:00;  6,15
01.02.2008 15:00:00;  4,33
04.03.2008 11:05:00;  4,36
23.04.2008 01:55:00;  3,18
21.05.2008 09:10:00;  1,54
12.06.2008 00:45:00;  3,56
26.07.2008 09:00:00;  3,77
16.08.2008 15:40:00;  2,97
29.09.2008 22:20:00;  2,37
04.10.2008 01:05:00;  2,22
21.11.2008 20:05:00;  2,61
21.12.2008 11:45:00;  3,28
01.01.2009 18:25:00;  1,18
28.02.2009 23:59:55;  5,73
05.03.2009 23:50:00;  28,8
01.04.2009 11:40:00;  11,4
30.05.2009 18:40:00;  1,28
23.06.2009 09:30:00;  14,3
08.07.2009 03:10:00;  20,4
03.08.2009 05:30:00;  5,62
24.09.2009 16:10:00;  3,16
22.10.2009 23:50:00;  2,02
05.11.2009 15:05:00;  2,44
11.12.2009 21:55:00;  3,52
01.01.2010 10:20:00;  3,17
28.02.2010 23:55:00;  4,90
22.03.2010 16:50:00;  17,6
05.04.2010 09:15:00;  9,21
14.05.2010 14:25:00;  6,77
02.06.2010 18:15:00;  16,0
18.07.2010 09:55:00;  5,31
02.08.2010 23:35:00;  41,2
29.09.2010 11:50:00;  6,23
01.10.2010 00:30:00;  4,16
04.11.2010 10:55:00;  2,31
09.12.2010 15:38:55;  2,40
14.01.2011 14:50:00;  13,1
08.02.2011 10:45:00;  4,24
19.03.2011 06:10:00;  11,9
02.04.2011 14:05:00;  2,77
27.05.2011 23:05:00;  2,77
01.06.2011 20:15:00;  16,3
11.07.2011 19:05:00;  1,16
18.08.2011 09:55:00;  1,20
06.09.2011 07:20:00;  2,82
13.10.2011 06:10:00;  3,44
06.11.2011 14:05:00;  1,77
26.12.2011 03:52:05; 0,697
22.01.2012 13:40:00;  5,65
26.02.2012 03:10:00;  13,6
01.03.2012 05:00:00;  7,97
20.04.2012 18:25:00;  4,40
07.05.2012 02:35:00;  3,22
13.06.2012 05:50:00;  10,7
28.07.2012 21:35:00;  14,9
06.08.2012 22:15:00;  15,8
13.09.2012 15:05:00;  6,00
28.10.2012 20:40:00;  2,45
05.11.2012 23:45:00;  2,40
24.12.2012 06:45:00;  10,2
30.01.2013 21:00:00;  23,7
01.02.2013 00:05:00;  17,2
09.03.2013 21:15:00;  10,6
09.04.2013 23:10:00;  7,72
31.05.2013 16:15:00;  13,8
02.06.2013 14:10:00;  27,1
07.07.2013 23:10:00;  18,3
25.08.2013 19:30:00;  1,47
16.09.2013 16:45:00;  2,61
16.10.2013 11:10:00;  2,01
