Messstelle:                ;Matzleinsdorf
28.08.1967 12:00:00;  2,04
16.09.1967 12:00:00;  57,0
04.10.1967 12:00:00;  2,71
11.11.1967 12:00:00;  2,29
24.12.1967 12:00:00;  34,4
16.01.1968 12:00:00;  59,0
17.02.1968 12:00:00;  9,06
07.03.1968 12:00:00;  10,4
10.04.1968 12:00:00;  2,43
01.05.1968 12:00:00;  1,92
18.06.1968 12:00:00;  1,22
23.07.1968 12:00:00;  12,9
25.08.1968 12:00:00;  21,7
01.09.1968 12:00:00;  2,82
03.10.1968 12:00:00;  6,16
25.11.1968 12:00:00;  3,33
11.12.1968 12:00:00;  6,40
27.01.1969 12:00:00;  11,6
01.02.1969 12:00:00;  10,6
01.03.1969 12:00:00;  5,45
01.04.1969 12:00:00;  7,40
10.05.1969 12:00:00;  2,15
08.06.1969 12:00:00;  46,0
01.07.1969 12:00:00;  10,4
19.08.1969 12:00:00;  13,7
18.09.1969 12:00:00;  3,49
26.10.1969 12:00:00;  1,22
25.11.1969 12:00:00;  4,33
11.12.1969 12:00:00;  2,43
29.01.1970 12:00:00;  2,71
23.02.1970 12:00:00;  85,1
19.03.1970 12:00:00;  10,9
06.04.1970 12:00:00;  7,20
02.05.1970 12:00:00;  11,9
18.06.1970 12:00:00;  5,83
17.07.1970 12:00:00;  10,9
10.08.1970 12:00:00;  87,0
13.09.1970 12:00:00;  2,71
04.10.1970 12:00:00;  12,1
23.11.1970 12:00:00;  65,2
06.12.1970 12:00:00;  4,16
25.01.1971 12:00:00;  6,40
09.02.1971 12:00:00;  6,21
23.03.1971 12:00:00;  19,2
01.04.1971 12:00:00;  6,21
31.05.1971 12:00:00;  17,0
02.06.1971 12:00:00;  64,0
02.07.1971 12:00:00;  2,29
31.08.1971 12:00:00;  1,82
30.09.1971 12:00:00;  4,16
01.10.1971 12:00:00;  3,33
20.11.1971 12:00:00;  3,82
21.12.1971 12:00:00;  8,62
02.01.1972 12:00:00;  2,71
21.02.1972 12:00:00;  12,1
01.03.1972 12:00:00;  6,40
17.04.1972 12:00:00;  41,4
31.05.1972 12:00:00;  5,83
02.06.1972 12:00:00;  6,54
14.07.1972 12:00:00;   125
21.08.1972 12:00:00;  8,62
11.09.1972 12:00:00;  2,40
25.10.1972 12:00:00;  1,80
17.11.1972 12:00:00;  7,52
01.12.1972 12:00:00;  1,60
30.01.1973 12:00:00;  9,06
22.02.1973 12:00:00;  17,1
05.03.1973 12:00:00;  19,1
18.04.1973 12:00:00;  17,4
07.05.1973 12:00:00;  4,28
25.06.1973 12:00:00;   120
01.07.1973 12:00:00;  3,80
04.08.1973 12:00:00;  1,70
27.09.1973 12:00:00;  2,96
24.10.1973 12:00:00;  2,54
17.11.1973 12:00:00;  36,2
06.12.1973 12:00:00;  22,6
19.01.1974 12:00:00;  23,0
09.02.1974 12:00:00;  6,01
01.03.1974 12:00:00;  2,70
09.04.1974 12:00:00;  1,63
06.05.1974 12:00:00;  10,7
13.06.1974 12:00:00;  58,7
18.07.1974 12:00:00;  35,5
29.08.1974 12:00:00;  2,31
26.09.1974 12:00:00;  1,43
28.10.1974 12:00:00;  2,83
28.11.1974 12:00:00;  13,9
08.12.1974 12:00:00;  69,0
02.01.1975 12:00:00;  8,40
02.02.1975 12:00:00;  10,9
31.03.1975 12:00:00;  3,24
14.04.1975 12:00:00;  13,0
01.05.1975 12:00:00;  14,3
09.06.1975 12:00:00;  25,2
02.07.1975 12:00:00;   200
27.08.1975 12:00:00;  57,8
01.09.1975 12:00:00;  2,68
20.10.1975 12:00:00;  4,76
21.11.1975 12:00:00;  3,80
27.12.1975 12:00:00;  12,4
01.01.1976 00:00:00; Lücke
06.01.1976 09:00:00;  69,4
01.02.1976 11:00:00;  4,11
01.03.1976 09:00:00;  2,51
01.04.1976 00:00:00; Lücke
27.04.1976 10:00:00;  27,4
23.05.1976 12:00:00;  11,4
04.06.1976 10:00:00;  9,30
24.07.1976 13:00:00;  40,8
21.08.1976 20:00:00;  7,67
19.09.1976 07:00:00;  26,8
17.10.1976 19:00:00;  12,9
15.11.1976 14:00:00;  44,0
03.12.1976 02:00:00;  15,6
30.01.1977 12:00:00;  21,0
12.02.1977 23:00:00;  56,5
04.03.1977 14:00:00;  34,2
14.04.1977 01:00:00;  43,7
01.05.1977 08:00:00;  3,91
27.06.1977 17:00:00;  2,62
01.07.1977 03:00:00;  4,07
02.08.1977 14:00:00;  24,8
09.09.1977 19:00:00;  6,92
11.10.1977 06:00:00;  5,61
15.11.1977 23:00:00;  2,22
25.12.1977 08:00:00;  14,5
04.01.1978 10:00:00;  4,12
27.02.1978 20:00:00;  20,3
01.03.1978 00:00:00;  8,56
14.04.1978 22:00:00;  5,31
11.05.1978 09:00:00;  2,53
07.06.1978 11:00:00;  1,99
05.07.1978 19:00:00;  15,0
21.08.1978 12:00:00;  1,36
13.09.1978 11:00:00;  1,22
26.10.1978 19:00:00;  1,68
23.11.1978 18:00:00; 0,884
11.12.1978 12:00:00;  4,15
02.01.1979 11:00:00;  2,35
08.02.1979 23:00:00;  20,0
12.03.1979 09:00:00;  60,8
07.04.1979 20:00:00;  26,9
03.05.1979 00:00:00;  15,5
19.06.1979 14:00:00;  25,0
15.07.1979 03:00:00;  14,0
04.08.1979 18:00:00;  79,0
24.09.1979 20:00:00;  10,3
02.10.1979 10:00:00;  1,76
27.11.1979 19:00:00;  58,8
07.12.1979 08:00:00;  15,1
31.01.1980 23:59:55;  2,82
04.02.1980 19:00:00;  31,1
13.03.1980 09:00:00;  2,93
25.04.1980 06:00:00;  42,5
01.05.1980 00:00:00;  5,05
05.06.1980 09:00:00;  6,25
28.07.1980 17:00:00;  6,06
31.08.1980 06:00:00;  2,28
02.09.1980 04:00:00;  4,52
13.10.1980 06:00:00;  15,1
27.11.1980 11:00:00;  4,38
15.12.1980 23:00:00;  33,5
03.01.1981 11:00:00;  30,3
08.02.1981 07:00:00;  30,9
12.03.1981 14:00:00;  7,85
01.04.1981 16:00:00;  2,07
02.05.1981 05:00:00;  7,27
24.06.1981 20:00:00;  1,95
19.07.1981 16:00:00;  3,96
17.08.1981 12:00:00;  20,1
30.09.1981 21:00:00;  25,5
01.10.1981 00:00:00;  20,5
28.11.1981 09:00:00;  18,9
05.12.1981 06:00:00;  28,4
31.01.1982 08:00:00;   164
01.02.1982 00:00:00;  29,3
19.03.1982 21:00:00;  17,2
23.04.1982 11:00:00;  3,06
29.05.1982 10:00:00;  33,3
27.06.1982 23:00:00;  5,10
27.07.1982 10:00:00;  2,08
05.08.1982 14:00:00;  7,45
24.09.1982 15:00:00;  1,71
02.10.1982 14:00:00;  3,97
15.11.1982 01:00:00;  2,12
28.12.1982 14:00:00;  14,5
17.01.1983 17:00:00;  49,7
28.02.1983 21:00:00;  30,0
01.03.1983 19:00:00;  26,4
15.04.1983 08:00:00;  2,91
09.05.1983 17:00:00;  19,2
20.06.1983 12:00:00;  8,15
08.07.1983 04:00:00;  1,73
30.08.1983 02:00:00; 0,977
04.09.1983 00:00:00; 0,611
28.10.1983 19:00:00;  2,44
28.11.1983 11:00:00;  1,09
24.12.1983 20:00:00;  8,25
18.01.1984 09:00:00;  3,73
07.02.1984 10:00:00;  13,8
30.03.1984 21:00:00;  4,09
12.04.1984 04:00:00;  24,9
15.05.1984 06:00:00;  46,1
02.06.1984 23:00:00;  1,81
30.07.1984 00:00:00;  2,69
13.08.1984 09:00:00;  6,06
24.09.1984 15:00:00;  10,3
04.10.1984 12:00:00;  6,02
27.11.1984 16:00:00;  2,36
22.12.1984 13:00:00;  1,57
31.01.1985 23:59:55;  5,06
01.02.1985 17:30:00;  73,7
22.03.1985 18:45:00;  22,4
09.04.1985 12:30:00;  4,50
21.05.1985 03:15:00;  5,17
23.06.1985 13:30:00;  4,77
21.07.1985 10:00:00;  15,8
07.08.1985 03:45:00;   180
09.09.1985 20:45:00;  13,1
25.10.1985 08:15:00;  1,74
29.11.1985 10:00:00;  2,56
19.12.1985 00:30:00;  15,1
15.01.1986 01:00:00;   133
27.02.1986 10:15:00;  3,81
10.03.1986 20:00:00;  17,7
01.04.1986 07:30:00;  3,45
16.05.1986 02:30:00;  2,59
15.06.1986 22:45:00;  27,1
19.07.1986 12:45:00;  2,79
28.08.1986 19:30:00; 0,934
10.09.1986 17:30:00;  2,25
27.10.1986 13:30:00;  3,82
24.11.1986 08:15:00;  6,77
29.12.1986 16:30:00;  70,3
14.01.1987 01:00:00;  12,3
09.02.1987 19:00:00;  75,9
25.03.1987 18:00:00;  38,0
03.04.1987 20:00:00;  12,2
07.05.1987 00:45:00;  31,2
22.06.1987 16:45:00;  38,9
09.07.1987 02:45:00;  16,7
03.08.1987 09:45:00;  6,10
27.09.1987 19:15:00;  7,28
23.10.1987 16:30:00;  2,47
28.11.1987 23:15:00;  3,78
18.12.1987 16:45:00;  47,7
30.01.1988 21:15:00;  3,78
19.02.1988 23:45:00;  5,73
25.03.1988 20:15:00;  54,2
14.04.1988 00:30:00;  45,7
21.05.1988 04:45:00;  7,79
06.06.1988 11:00:00;  17,3
15.07.1988 21:00:00;  2,08
22.08.1988 23:45:00;  2,29
16.09.1988 19:45:00;  30,2
30.10.1988 03:15:00;  2,51
29.11.1988 22:30:00;  11,7
19.12.1988 23:45:00;  62,2
07.01.1989 17:30:00;  12,3
21.02.1989 17:15:00;  32,1
19.03.1989 10:30:00;  5,55
30.04.1989 23:59:55;  58,0
01.05.1989 03:00:00;  69,4
18.06.1989 18:30:00;  67,3
28.07.1989 23:45:00;  68,8
30.08.1989 17:45:00;  9,04
05.09.1989 08:15:00;  51,1
03.10.1989 14:30:00;  4,86
07.11.1989 01:15:00;  5,88
14.12.1989 10:30:00;  5,53
26.01.1990 23:45:00;  2,40
15.02.1990 18:00:00;   111
01.03.1990 06:15:00;  12,2
28.04.1990 08:00:00;  14,8
01.05.1990 00:00:00;  3,35
16.06.1990 01:00:00;  2,24
10.07.1990 11:45:00;  16,1
09.08.1990 07:45:00;  1,02
24.09.1990 23:30:00;  1,41
08.10.1990 17:00:00;  5,19
20.11.1990 04:00:00;  13,1
23.12.1990 09:00:00;  8,35
01.01.1991 00:00:00;  3,93
24.02.1991 18:45:00;  7,08
10.03.1991 17:30:00;  2,13
25.04.1991 09:30:00;  3,35
18.05.1991 15:00:00;   169
14.06.1991 12:30:00;  5,38
28.07.1991 09:15:00;  77,9
02.08.1991 19:45:00;   132
01.09.1991 13:15:00;  1,82
08.10.1991 11:30:00; 0,975
17.11.1991 04:45:00;  5,20
20.12.1991 01:45:00;  52,0
06.01.1992 07:30:00;  7,28
06.02.1992 07:30:00;  21,7
23.03.1992 09:30:00;  11,4
30.04.1992 19:00:00;  3,09
12.05.1992 02:00:00;  2,96
14.06.1992 00:30:00;  13,1
05.07.1992 00:00:00;  2,83
04.08.1992 09:00:00;  1,02
09.09.1992 13:00:00; 0,948
27.10.1992 08:30:00;  1,78
23.11.1992 13:15:00;  34,4
12.12.1992 22:45:00;  8,25
25.01.1993 15:00:00;  9,01
20.02.1993 02:30:00;  6,50
17.03.1993 19:00:00;  40,5
08.04.1993 19:30:00;  5,02
09.05.1993 19:15:00;  1,87
28.06.1993 09:45:00;  3,13
29.07.1993 16:15:00;  4,39
31.08.1993 16:30:00;  9,81
01.09.1993 00:00:00;  5,27
24.10.1993 06:15:00;  14,1
05.11.1993 13:15:00;  3,00
21.12.1993 17:15:00;  26,3
01.01.1994 16:45:00;  21,4
01.02.1994 00:00:00;  4,28
17.03.1994 16:30:00;  5,73
18.04.1994 13:00:00;   143
26.05.1994 21:30:00;  14,8
04.06.1994 11:15:00;  6,74
19.07.1994 15:00:00;  1,90
26.08.1994 08:15:00;  1,19
05.09.1994 11:15:00; 0,902
25.10.1994 09:45:00;  1,26
19.11.1994 07:30:00;  3,96
29.12.1994 01:00:00;  11,3
26.01.1995 05:00:00;  13,7
18.02.1995 21:15:00;  7,89
20.03.1995 09:15:00;  6,96
02.04.1995 09:45:00;  11,6
30.05.1995 21:30:00;  3,96
26.06.1995 16:15:00;  9,95
01.07.1995 00:00:00;  1,81
09.08.1995 01:30:00;  2,01
15.09.1995 12:15:00;  30,3
02.10.1995 12:15:00;  1,11
10.11.1995 00:00:00;  9,68
21.12.1995 02:00:00;  20,9
13.01.1996 23:00:00;  4,39
17.02.1996 18:30:00;  11,5
16.03.1996 19:45:00;  15,7
07.04.1996 19:45:00;  46,6
14.05.1996 16:45:00;   163
30.06.1996 07:00:00;  6,24
12.07.1996 16:30:00;  11,7
03.08.1996 23:00:00;  7,19
24.09.1996 13:15:00;  49,9
21.10.1996 11:00:00;   163
14.11.1996 19:00:00;  20,0
03.12.1996 00:45:00;  3,39
03.01.1997 12:58:40;  2,24
14.02.1997 00:43:55;  6,27
17.03.1997 05:09:30;   147
06.04.1997 03:57:00;  47,1
08.05.1997 23:45:15;  5,58
18.06.1997 11:19:20;  2,18
08.07.1997 08:33:40;  75,3
16.08.1997 12:32:10;  18,3
20.09.1997 14:29:10;  1,83
16.10.1997 21:41:15;  1,87
16.11.1997 16:52:10;  14,9
02.12.1997 02:41:15;  11,3
01.01.1998 00:00:00;  2,30
13.02.1998 18:32:15;  10,5
17.03.1998 19:11:20;  43,4
19.04.1998 04:49:25;  9,23
19.05.1998 05:11:35;  4,40
13.06.1998 12:54:55;  12,4
09.07.1998 10:33:40;  86,5
05.08.1998 16:17:15;  8,67
28.09.1998 14:10:25;  39,5
29.10.1998 09:39:00;  22,3
10.11.1998 22:21:30;  23,9
15.12.1998 04:55:25;   109
08.01.1999 13:57:25;  11,5
20.02.1999 21:33:15;   121
03.03.1999 03:28:20;  11,7
25.04.1999 22:05:45;  4,74
21.05.1999 18:38:00;  20,9
22.06.1999 09:07:40;  4,00
10.07.1999 14:57:25;  57,5
29.08.1999 12:07:50;  21,6
02.09.1999 21:44:10;  90,3
29.10.1999 23:40:25;  2,98
10.11.1999 10:09:05;  7,76
19.12.1999 15:44:25;  13,5
30.01.2000 12:48:40;  88,6
01.02.2000 00:00:00;  13,6
15.03.2000 09:43:40;  27,4
01.04.2000 00:00:00;  8,76
02.05.2000 07:24:20;  2,09
07.06.2000 11:46:40;  1,53
04.07.2000 23:19:45;  2,72
06.08.2000 22:13:05;  67,9
16.09.2000 19:01:50;  2,93
18.10.2000 04:57:50;  5,07
05.11.2000 02:59:30;  10,7
11.12.2000 17:25:55;  5,89
09.01.2001 14:45:45;  7,12
05.02.2001 23:46:50;  14,7
24.03.2001 03:18:05;  20,2
23.04.2001 04:15:00;  9,47
16.05.2001 01:14:30;  3,15
12.06.2001 16:26:55;  1,71
25.07.2001 06:17:05;  2,17
24.08.2001 06:31:15;  1,84
18.09.2001 08:05:40;  57,7
04.10.2001 11:45:10;  1,87
27.11.2001 04:00:00;  24,7
30.12.2001 01:11:50;  99,5
21.01.2002 18:32:10;  12,4
26.02.2002 02:51:50;  10,9
21.03.2002 17:03:50;   175
01.04.2002 00:00:00;  3,59
01.05.2002 00:00:00;  2,02
07.06.2002 20:09:35;  31,9
07.07.2002 03:53:25;  2,60
08.08.2002 11:00:20;  84,5
02.09.2002 04:36:55;  15,7
12.10.2002 21:33:20;  40,4
05.11.2002 00:40:55;  88,5
23.12.2002 06:25:05;  30,0
28.01.2003 05:36:50;  25,4
01.02.2003 00:00:00;  5,95
03.03.2003 15:14:50;  17,1
07.04.2003 19:28:10;  2,28
28.05.2003 09:38:00;  1,97
09.06.2003 21:18:05;  2,14
18.07.2003 09:04:20; 0,769
01.08.2003 06:52:15;  10,3
13.09.2003 22:00:15;  2,07
06.10.2003 00:21:35;  2,77
02.11.2003 15:32:50;  5,79
26.12.2003 11:15:05;  1,72
14.01.2004 07:13:15;  29,8
03.02.2004 07:01:10;  60,2
25.03.2004 17:22:30;  37,4
01.04.2004 02:02:15;  5,48
02.05.2004 01:52:20;  3,00
20.06.2004 22:08:45;  37,2
24.07.2004 13:25:30;  4,06
30.08.2004 04:18:10;  3,63
24.09.2004 10:26:05;  3,84
10.10.2004 14:13:55;  2,55
24.11.2004 00:46:50;  10,1
22.12.2004 11:44:00;  2,90
21.01.2005 14:44:45;  18,6
13.02.2005 01:19:40;   147
20.03.2005 00:48:35;  27,2
21.04.2005 04:46:05;  17,3
19.05.2005 06:54:15;  64,9
01.06.2005 00:00:00;  2,59
11.07.2005 22:18:20;   230
21.08.2005 06:34:00;   147
27.09.2005 17:47:30;  24,2
01.10.2005 00:00:00;  8,26
22.11.2005 17:56:45;  2,66
16.12.2005 22:16:05;  21,2
22.01.2006 10:45:30;  5,91
21.02.2006 20:14:50;  29,0
29.03.2006 09:26:10;  50,9
30.04.2006 23:59:55;  15,7
01.05.2006 05:19:25;  29,4
03.06.2006 15:03:50;   110
01.07.2006 19:49:05;  18,7
08.08.2006 02:35:05;   125
08.09.2006 13:21:00;  29,5
30.10.2006 04:23:40;  3,35
23.11.2006 01:40:25;  8,35
05.12.2006 02:47:15;  2,60
19.01.2007 17:25:00;  31,9
28.02.2007 10:50:00;  8,92
24.03.2007 04:10:00;  37,8
12.04.2007 17:10:00;  3,51
10.05.2007 02:06:25;  5,34
22.06.2007 22:55:00;  7,39
11.07.2007 15:22:25;  1,43
12.08.2007 00:52:20;  1,70
07.09.2007 08:49:20;   187
28.10.2007 07:10:10;  60,9
11.11.2007 20:24:35;  66,1
12.12.2007 16:42:45;  27,2
27.01.2008 23:23:05;  21,8
01.02.2008 00:00:00;  3,63
15.03.2008 03:22:35;  8,75
23.04.2008 14:33:50;  13,3
07.05.2008 03:43:35;  3,47
04.06.2008 14:00:35;  57,7
25.07.2008 00:51:45;  68,7
16.08.2008 09:11:15;  86,3
25.09.2008 22:10:55;  17,1
04.10.2008 03:54:00;  12,0
21.11.2008 15:35:05;  46,2
21.12.2008 02:46:25;  40,6
10.01.2009 15:36:25;  6,37
28.02.2009 18:59:25;  49,0
07.03.2009 16:17:20;  45,1
01.04.2009 00:00:00;  12,1
30.05.2009 19:44:50;  15,2
24.06.2009 09:32:05;   267
02.07.2009 21:03:45;  48,3
04.08.2009 13:58:40;  70,4
17.09.2009 19:27:10;  45,5
12.10.2009 16:42:25;  4,18
04.11.2009 01:44:30;  6,14
12.12.2009 01:29:30;  13,2
20.01.2010 02:57:50;  3,38
26.02.2010 21:35:55;  18,1
17.03.2010 18:34:40;  12,7
16.04.2010 09:11:25;  29,6
23.05.2010 00:13:55;  22,3
04.06.2010 08:11:30;   125
18.07.2010 06:46:55;  9,46
07.08.2010 22:50:40;  67,1
26.09.2010 12:11:25;  8,23
25.10.2010 22:26:40;  4,78
20.11.2010 20:15:00;  2,13
12.12.2010 06:30:00;  22,0
13.01.2011 21:30:00;  95,4
05.02.2011 18:15:00;  5,23
18.03.2011 23:15:00;  23,3
27.04.2011 21:30:00;  11,9
28.05.2011 14:00:00;  12,0
04.06.2011 18:30:00;  51,3
05.07.2011 21:15:00;  5,55
04.08.2011 10:45:00;  42,5
20.09.2011 03:00:00;  7,00
13.10.2011 05:12:05;  72,6
03.11.2011 05:13:20; 0,970
08.12.2011 06:40:00;  6,13
20.01.2012 09:40:00;  69,6
18.02.2012 22:35:00;  19,6
01.03.2012 00:00:00;  5,64
17.04.2012 02:28:30;  6,45
13.05.2012 03:45:00;  2,37
13.06.2012 11:00:00;  24,5
26.07.2012 23:15:00;   112
01.08.2012 00:00:00;  1,50
13.09.2012 06:10:00;  21,9
31.10.2012 06:50:00;  2,28
05.11.2012 12:45:00;  13,7
23.12.2012 20:05:00;  74,0
30.01.2013 07:25:00;   105
02.02.2013 18:45:00;  16,5
07.03.2013 20:20:00;  13,2
19.04.2013 11:50:00;  36,8
31.05.2013 17:40:00;  38,3
25.06.2013 10:25:00;   138
11.07.2013 05:35:00;  6,16
29.08.2013 00:15:00;  8,39
17.09.2013 21:50:00;  2,83
12.10.2013 09:10:00;  1,30
