Messstelle:                ;Stixenstein (Schloß)
06.02.1980 17:00:00;  1,98
30.03.1980 00:00:00;  1,78
30.04.1980 21:00:00;  2,81
01.05.1980 20:30:00;  3,13
24.06.1980 09:30:00;  2,10
04.07.1980 15:30:00;  1,19
08.08.1980 19:30:00;  4,94
01.09.1980 14:30:00;  1,14
13.10.1980 01:30:00;  2,30
16.11.1980 12:00:00;  1,96
24.12.1980 12:00:00;  2,78
04.01.1981 02:00:00;  3,69
08.02.1981 21:00:00;  1,48
12.03.1981 10:30:00;  2,04
02.04.1981 06:30:00; 0,867
17.05.1981 15:30:00;  3,22
24.06.1981 09:00:00;  1,01
19.07.1981 11:00:00; 0,807
09.08.1981 16:30:00;  1,44
19.09.1981 16:30:00; 0,872
22.10.1981 22:30:00;  1,43
23.11.1981 07:00:00;  1,34
05.12.1981 04:00:00;  1,11
31.01.1982 02:30:00;  12,7
01.02.1982 00:00:00;  4,28
01.03.1982 13:30:00;  1,50
03.04.1982 22:30:00; 0,970
29.05.1982 07:30:00;  4,97
27.06.1982 18:00:00;  1,79
23.07.1982 19:00:00;  3,75
19.08.1982 18:00:00;  3,32
24.09.1982 07:30:00;  1,07
06.10.1982 22:30:00;  9,37
14.11.1982 05:30:00; 0,966
28.12.1982 12:30:00;  1,17
06.01.1983 02:00:00;  3,58
01.02.1983 10:30:00;  1,97
15.03.1983 07:00:00;  1,62
18.04.1983 06:30:00;  1,35
09.05.1983 14:30:00;  1,23
22.06.1983 10:30:00; 0,776
29.07.1983 05:30:00; 0,542
08.08.1983 06:30:00; 0,624
03.09.1983 23:00:00; 0,771
09.10.1983 18:00:00; 0,513
15.11.1983 12:30:00; 0,716
03.12.1983 13:00:00;  1,43
24.01.1984 08:00:00; 0,509
03.02.1984 08:00:00; 0,556
30.03.1984 05:30:00;  1,07
09.04.1984 06:00:00;  1,66
25.05.1984 07:30:00;  2,17
01.06.1984 07:30:00;  1,21
23.07.1984 16:00:00; 0,685
10.08.1984 05:00:00; 0,888
24.09.1984 07:00:00;  1,11
02.10.1984 20:30:00; 0,769
13.11.1984 18:00:00; 0,571
12.12.1984 10:00:00; 0,422
14.01.1985 19:00:00;  1,30
02.02.1985 19:00:00;  2,40
22.03.1985 20:00:00;  2,53
02.04.1985 20:30:00;  2,18
07.05.1985 18:30:00;  2,04
02.06.1985 05:30:00;  1,17
15.07.1985 20:00:00;  1,93
07.08.1985 07:00:00;  4,15
02.09.1985 08:00:00;  1,18
12.10.1985 14:30:00; 0,645
05.11.1985 09:30:00; 0,722
21.12.1985 10:00:00;  1,55
19.01.1986 13:15:00;  4,46
01.02.1986 00:00:00;  1,06
30.03.1986 12:45:00;  2,18
09.04.1986 20:15:00;  3,03
28.05.1986 18:30:00;  1,59
16.06.1986 03:15:00;  2,34
23.07.1986 10:15:00; 0,883
18.08.1986 21:00:00; 0,992
10.09.1986 13:00:00; 0,839
27.10.1986 14:15:00; 0,654
24.11.1986 01:45:00; 0,789
30.12.1986 21:45:00;  1,24
31.01.1987 23:59:55;  3,61
04.02.1987 16:15:00;  15,5
01.03.1987 05:00:00;  5,38
11.04.1987 08:45:00;  4,02
13.05.1987 21:45:00;  3,47
05.06.1987 03:15:00;  2,41
12.07.1987 19:45:00;  1,71
03.08.1987 06:45:00;  1,42
07.09.1987 10:45:00;  1,12
01.10.1987 00:00:00; 0,474
20.11.1987 17:00:00; 0,592
18.12.1987 20:30:00;  2,49
04.01.1988 14:45:00;  1,05
04.02.1988 14:45:00; 0,675
26.03.1988 09:00:00;  3,63
09.04.1988 11:45:00;  3,05
04.05.1988 13:45:00;  1,92
10.06.1988 16:15:00;  6,03
01.07.1988 11:30:00;  1,61
16.08.1988 20:15:00;  3,30
16.09.1988 08:45:00;  2,98
25.10.1988 12:30:00;  1,05
15.11.1988 02:30:00;  1,42
25.12.1988 03:45:00;  4,40
09.01.1989 00:30:00;  3,12
25.02.1989 20:45:00;  1,55
01.03.1989 00:00:00;  1,16
15.04.1989 08:00:00;  3,81
11.05.1989 17:45:00;  3,99
18.06.1989 14:45:00;  6,32
11.07.1989 22:45:00;  20,0
30.08.1989 07:00:00;  2,82
28.09.1989 03:00:00;  3,84
03.10.1989 10:15:00;  1,61
06.11.1989 23:00:00;  2,15
16.12.1989 17:45:00; 0,938
26.01.1990 08:00:00; 0,995
15.02.1990 16:45:00;  2,64
11.03.1990 01:45:00;  4,35
23.04.1990 17:30:00;  1,81
07.05.1990 14:15:00;  3,20
14.06.1990 13:45:00;  3,13
10.07.1990 11:15:00;  1,12
06.08.1990 14:15:00;  1,52
07.09.1990 21:15:00; 0,807
20.10.1990 18:45:00; 0,658
23.11.1990 11:45:00; 0,986
18.12.1990 14:00:00; 0,924
01.01.1991 22:00:00;  1,12
24.02.1991 16:15:00; 0,941
13.03.1991 12:15:00; 0,824
05.04.1991 12:45:00; 0,725
18.05.1991 12:30:00;  5,91
10.06.1991 22:30:00;  2,41
29.07.1991 01:00:00;  19,7
04.08.1991 04:00:00;  15,9
15.09.1991 19:00:00;  2,68
03.10.1991 09:15:00;  1,15
17.11.1991 01:45:00;  1,82
23.12.1991 09:00:00;  11,0
03.01.1992 13:00:00;  2,54
06.02.1992 10:00:00;  3,47
21.03.1992 14:45:00;  3,30
05.04.1992 19:00:00;  1,92
01.05.1992 01:00:00;  1,42
13.06.1992 17:45:00;  4,02
06.07.1992 21:00:00;  1,52
01.08.1992 00:00:00; 0,768
01.09.1992 11:45:00;  1,00
05.10.1992 22:15:00;  1,30
23.11.1992 09:30:00;  7,50
06.12.1992 00:30:00;  2,76
08.01.1993 23:15:00;  1,96
07.02.1993 14:00:00;  1,23
18.03.1993 18:00:00;  4,40
07.04.1993 18:00:00;  1,69
06.05.1993 23:30:00;  1,69
23.06.1993 19:00:00;  1,30
25.07.1993 21:15:00;  3,18
05.08.1993 15:45:00;  2,89
01.09.1993 13:45:00;  1,24
24.10.1993 04:00:00;  6,03
18.11.1993 09:00:00;  1,96
09.12.1993 08:00:00;  1,38
06.01.1994 08:15:00;  1,18
02.02.1994 10:30:00;  1,06
18.03.1994 21:15:00;  1,06
19.04.1994 18:30:00;  2,50
15.05.1994 19:30:00;  2,76
04.06.1994 05:15:00;  1,38
19.07.1994 16:15:00;  1,30
24.08.1994 13:45:00;  4,82
01.09.1994 10:00:00; 0,760
24.10.1994 20:00:00; 0,719
11.11.1994 22:00:00; 0,950
29.12.1994 05:15:00;  1,00
27.01.1995 04:30:00;  1,69
18.02.1995 08:15:00;  1,18
27.03.1995 20:15:00;  1,86
02.04.1995 20:45:00;  3,57
01.05.1995 18:30:00;  2,16
27.06.1995 02:45:00;  3,83
28.07.1995 14:15:00;  1,77
25.08.1995 18:00:00;  5,76
15.09.1995 09:45:00;  1,38
20.10.1995 10:00:00;  1,06
18.11.1995 01:30:00;  1,86
24.12.1995 22:30:00;  1,52
01.01.1996 00:00:00;  1,17
09.02.1996 10:00:00; 0,950
26.03.1996 16:15:00;  2,27
09.04.1996 18:30:00;  4,40
13.05.1996 02:00:00;  5,51
30.06.1996 00:30:00;  3,66
06.07.1996 07:00:00;  2,50
03.08.1996 14:45:00;  1,69
23.09.1996 14:30:00;  4,82
22.10.1996 05:30:00;  17,8
02.11.1996 01:00:00;  2,27
04.12.1996 15:15:00;  1,38
01.01.1997 00:00:00; 0,763
12.02.1997 15:25:40;  1,24
17.03.1997 15:03:20;  8,27
06.04.1997 09:21:30;  4,03
04.05.1997 11:34:40;  1,96
23.06.1997 07:52:05;  2,34
08.07.1997 07:39:35;  10,5
01.08.1997 06:06:05;  3,33
04.09.1997 16:59:45;  1,10
03.10.1997 06:05:20; 0,998
15.11.1997 04:38:20; 0,845
14.12.1997 04:39:00; 0,987
01.01.1998 00:00:00; 0,748
18.02.1998 13:26:55; 0,675
17.03.1998 23:52:30;  4,98
01.04.1998 15:53:15;  1,34
18.05.1998 14:54:25;  1,57
11.06.1998 05:24:15; 0,966
25.07.1998 15:37:05;  1,75
01.08.1998 00:48:30;  1,05
06.09.1998 03:41:55;  1,51
20.10.1998 09:50:30;  1,18
10.11.1998 23:20:05;  1,65
15.12.1998 05:57:55;  3,38
08.01.1999 16:14:45;  1,40
05.02.1999 15:11:15;  1,51
04.03.1999 00:16:15;  2,11
07.04.1999 20:06:55;  1,78
21.05.1999 06:14:25;  9,13
16.06.1999 00:33:50;  1,61
13.07.1999 20:12:20;  9,36
07.08.1999 18:34:40;  13,2
01.09.1999 21:05:30;  3,74
21.10.1999 06:02:00;  1,72
10.11.1999 13:13:25;  1,20
03.12.1999 04:42:40; 0,950
31.01.2000 15:58:20;  4,76
01.02.2000 00:00:00;  4,11
29.03.2000 23:59:40;  5,32
02.04.2000 01:27:05;  3,90
04.05.2000 15:14:25;  1,90
06.06.2000 21:27:50;  1,14
07.07.2000 20:57:35;  1,43
06.08.2000 08:01:05;  2,19
13.09.2000 18:11:50;  4,14
20.10.2000 17:16:45; 0,566
01.11.2000 17:59:50; 0,606
11.12.2000 08:20:35;  1,71
01.01.2001 00:02:40; 0,491
12.02.2001 08:53:00; 0,638
24.03.2001 09:04:10;  1,56
23.04.2001 07:38:55;  1,28
08.05.2001 09:12:25;  1,33
11.06.2001 07:00:30; 0,931
20.07.2001 02:13:55; 0,847
08.08.2001 20:42:00;  1,01
18.09.2001 09:06:25;  1,59
29.10.2001 05:01:55; 0,705
30.11.2001 14:42:10; 0,632
06.12.2001 20:38:40;  1,56
28.01.2002 11:15:20;  1,57
14.02.2002 15:04:35; 0,974
21.03.2002 17:41:15;  10,9
01.04.2002 00:00:00;  2,32
12.05.2002 23:15:30;  5,21
07.06.2002 00:15:10;  20,8
16.07.2002 14:56:55;  4,15
13.08.2002 12:47:55;  7,74
05.09.2002 21:48:20;  2,30
12.10.2002 16:16:25;  2,25
05.11.2002 04:23:35;  2,49
24.12.2002 08:18:45;  3,04
01.01.2003 00:00:00;  2,12
01.02.2003 00:00:00;  1,31
13.03.2003 00:06:40;  1,24
05.04.2003 10:00:20; 0,942
26.05.2003 12:47:45; 0,987
06.06.2003 18:34:55;  6,94
02.07.2003 03:04:50;  1,21
18.08.2003 19:16:20;  6,09
10.09.2003 11:16:00; 0,750
10.10.2003 08:55:00; 0,950
02.11.2003 11:07:05;  1,15
31.12.2003 22:07:45;  1,10
14.01.2004 04:41:10;  2,20
03.02.2004 08:11:40;  8,72
19.03.2004 16:48:05;  2,48
06.04.2004 19:48:55;  1,93
16.05.2004 08:18:25;  2,16
22.06.2004 16:28:40;  7,99
01.07.2004 17:02:40;  3,64
06.08.2004 15:44:35;  1,70
24.09.2004 03:18:20; 0,901
22.10.2004 11:32:20; 0,893
23.11.2004 20:34:05;  1,96
27.12.2004 10:22:15; 0,666
21.01.2005 09:50:35;  2,25
13.02.2005 04:16:35;  1,45
19.03.2005 15:19:35;  9,73
01.04.2005 07:14:30;  2,62
19.05.2005 03:11:30;  2,78
04.06.2005 19:32:05;  2,42
08.07.2005 16:00:25;  2,79
21.08.2005 23:37:20;  12,5
12.09.2005 19:28:50;  2,70
04.10.2005 11:27:20;  1,25
07.11.2005 11:29:25; 0,960
16.12.2005 23:30:00;  1,20
04.01.2006 12:49:55; 0,847
22.02.2006 11:35:30;  1,45
29.03.2006 10:49:25;  4,43
01.04.2006 00:00:00;  3,67
13.05.2006 15:55:30;  2,90
29.06.2006 09:34:40;  19,5
08.07.2006 14:36:20;  4,16
07.08.2006 23:19:40;  4,70
01.09.2006 00:00:00;  1,16
29.10.2006 20:16:45;  1,43
05.11.2006 23:25:35;  1,67
01.12.2006 16:25:30; 0,680
19.01.2007 18:45:00;  4,59
16.02.2007 05:04:10;  1,56
04.03.2007 04:31:15;  1,48
01.04.2007 17:34:10;  1,35
05.05.2007 20:13:40;  1,63
14.06.2007 15:55:10;  4,24
09.07.2007 19:15:15;  1,46
09.08.2007 22:29:25;  4,41
07.09.2007 16:19:50;  6,64
28.10.2007 15:58:50;  4,33
11.11.2007 21:28:00;  5,30
09.12.2007 19:47:05;  3,38
27.01.2008 16:11:55;  2,80
01.02.2008 00:00:00;  1,76
15.03.2008 00:52:55;  1,80
21.04.2008 19:26:45;  1,84
20.05.2008 09:15:05;  1,10
26.06.2008 23:45:45;  3,97
24.07.2008 01:20:10;  3,62
04.08.2008 16:22:50;  3,34
25.09.2008 23:18:10;  1,50
04.10.2008 16:27:20;  1,17
21.11.2008 21:24:40;  1,47
23.12.2008 05:41:10;  1,96
01.01.2009 00:00:00;  1,23
28.02.2009 19:29:25;  2,18
05.03.2009 22:59:15;  3,30
09.04.2009 21:07:35;  3,73
30.05.2009 14:23:00;  2,37
24.06.2009 20:07:05;  6,97
02.07.2009 20:29:55;  2,83
11.08.2009 09:17:40;  2,76
04.09.2009 20:25:55;  1,71
09.10.2009 15:19:40;  1,22
09.11.2009 11:23:20;  1,08
01.12.2009 12:23:00; 0,953
08.01.2010 15:53:30; 0,754
27.02.2010 10:15:20;  1,41
23.03.2010 07:25:25;  2,45
14.04.2010 14:26:00;  1,67
27.05.2010 16:50:05;  3,17
18.06.2010 18:08:00;  3,75
18.07.2010 00:23:15;  5,40
31.08.2010 21:59:55;  3,42
01.09.2010 00:00:00;  3,04
25.10.2010 14:20:30;  1,13
04.11.2010 10:45:10; 0,985
24.12.2010 10:58:55;  2,32
14.01.2011 01:10:05;  3,62
12.02.2011 08:48:50;  1,71
18.03.2011 22:29:35;  1,27
24.04.2011 21:23:35;  1,03
27.05.2011 21:16:00;  1,30
19.06.2011 02:55:20;  2,60
05.07.2011 09:47:00;  1,05
07.08.2011 16:45:25;  1,99
14.09.2011 15:06:00;  1,54
13.10.2011 05:32:25;  1,71
01.11.2011 21:14:05; 0,714
05.12.2011 09:03:35; 0,818
22.01.2012 06:03:40;  4,10
29.02.2012 20:42:15;  2,76
02.03.2012 15:34:00;  2,83
01.04.2012 00:00:00;  1,34
04.05.2012 13:27:45;  1,16
04.06.2012 16:45:45;  1,38
21.07.2012 07:54:15;  2,55
03.08.2012 13:22:40;  1,40
13.09.2012 03:43:55;  2,54
30.10.2012 17:26:30; 0,972
05.11.2012 09:53:30;  2,29
23.12.2012 21:30:55;  1,96
07.01.2013 07:34:55;  8,33
01.02.2013 00:00:00;  2,11
10.03.2013 03:05:10;  2,66
19.04.2013 17:23:50;  2,43
11.05.2013 02:07:25;  2,44
11.06.2013 09:59:55;  2,75
11.07.2013 02:04:30;  1,52
28.08.2013 02:08:30;  1,59
16.09.2013 23:21:15;  2,26
11.10.2013 13:24:55;  1,25
24.11.2013 17:19:40;  4,41
10.12.2013 14:33:25;  1,71
01.01.2014 00:00:00;  1,05
09.02.2014 15:56:05; 0,911
23.03.2014 19:33:10;  1,16
28.04.2014 20:44:45;  1,65
16.05.2014 13:00:30;  17,7
04.06.2014 15:17:55;  2,33
30.07.2014 18:54:35;  5,87
03.08.2014 20:00:20;  5,61
15.09.2014 02:40:00;  3,50
23.10.2014 20:15:00;  3,43
08.11.2014 09:30:00;  1,52
09.12.2014 15:00:00;  1,34
10.01.2015 09:35:00;  9,26
24.02.2015 17:20:00;  1,34
31.03.2015 21:45:00;  1,51
13.04.2015 23:15:00;  1,57
23.05.2015 17:05:00;  3,07
13.06.2015 15:25:00;  7,32
08.07.2015 22:10:00;  1,19
17.08.2015 06:10:00; 0,952
25.09.2015 23:30:00; 0,845
19.10.2015 16:52:10;  1,04
10.11.2015 10:30:00; 0,768
02.12.2015 11:55:00; 0,916
25.01.2016 19:00:00; 0,766
01.02.2016 12:15:00;  2,71
01.03.2016 00:00:00;  1,31
08.04.2016 14:55:00;  1,00
31.05.2016 15:05:00;  1,96
04.06.2016 13:05:00;  7,25
12.07.2016 18:05:00;  3,91
09.08.2016 14:25:00;  4,33
06.09.2016 14:45:00;  3,31
20.10.2016 14:20:00;  1,84
06.11.2016 19:10:00;  1,56
28.12.2016 13:00:00;  1,56
02.01.2017 15:40:00; 0,972
23.02.2017 08:50:00;  2,62
19.03.2017 10:05:00;  4,96
27.04.2017 12:10:00;  2,56
21.05.2017 07:00:00;  2,97
03.06.2017 16:40:00;  1,68
22.07.2017 16:00:00;  2,24
11.08.2017 08:30:00;  1,54
20.09.2017 11:05:00;  2,37
29.10.2017 14:25:00;  2,64
01.11.2017 00:00:00;  1,49
12.12.2017 03:50:00;  1,41
23.01.2018 09:50:00;  1,94
01.02.2018 12:50:00;  2,34
01.03.2018 12:05:00;  2,08
01.04.2018 01:35:00;  2,19
02.05.2018 22:40:00;  3,24
12.06.2018 19:45:00;  23,1
06.07.2018 23:05:00;  2,60
05.08.2018 15:50:00;  2,62
01.09.2018 08:20:00;  1,90
24.10.2018 16:40:00;  1,38
28.11.2018 08:35:00; 0,855
24.12.2018 09:30:00;  6,77
14.01.2019 11:10:00;  1,96
22.02.2019 12:40:00;  4,39
02.03.2019 15:00:00;  2,47
30.04.2019 21:15:00;  2,70
11.05.2019 20:55:00;  3,22
06.06.2019 16:55:00;  1,59
20.07.2019 17:30:00;  1,29
13.08.2019 01:10:00;  2,30
09.09.2019 01:50:00;  1,41
09.10.2019 10:25:00; 0,706
13.11.2019 13:00:00;  1,40
23.12.2019 15:25:00;  1,49
01.01.2020 10:30:00; 0,790
24.02.2020 08:50:00;  1,59
06.03.2020 09:55:00;  1,32
01.04.2020 00:00:00; 0,657
23.05.2020 23:35:00;  1,10
01.06.2020 00:00:00; 0,733
02.07.2020 19:10:00;  4,49
22.08.2020 16:15:00;  5,52
01.09.2020 11:00:00;  3,11
12.10.2020 01:35:00;  1,99
01.11.2020 10:35:00;  1,21
23.12.2020 13:15:00; 0,726
30.01.2021 03:36:00;  2,99
01.02.2021 00:00:00;  2,02
05.03.2021 01:30:00; 0,874
22.04.2021 19:50:00;  1,03
23.05.2021 14:35:00; 0,800
21.06.2021 15:05:00; 0,997
30.07.2021 18:30:00;  3,76
01.08.2021 00:00:00;  2,55
17.09.2021 02:40:00; 0,987
07.10.2021 10:15:00;  1,56
02.11.2021 09:40:00; 0,901
30.12.2021 13:40:00;  1,10
