Messstelle:                ;Dietlgut
22.01.1964 12:00:00; 0,200
29.02.1964 12:00:00; 0,240
31.03.1964 12:00:00; 0,640
22.04.1964 12:00:00;  2,58
10.05.1964 12:00:00;  9,00
06.06.1964 12:00:00;  11,8
21.07.1964 12:00:00;  16,5
02.08.1964 12:00:00;  11,5
09.09.1964 12:00:00;  4,90
28.10.1964 12:00:00;  2,70
18.11.1964 12:00:00;  5,94
02.12.1964 12:00:00;  1,72
03.01.1965 12:00:00; 0,700
03.02.1965 12:00:00; 0,340
31.03.1965 12:00:00;  2,53
07.04.1965 12:00:00;  2,36
16.05.1965 12:00:00;  12,0
14.06.1965 12:00:00;  9,84
18.07.1965 12:00:00;  6,20
02.08.1965 12:00:00;  5,39
14.09.1965 12:00:00;  3,83
01.10.1965 12:00:00;  1,18
30.11.1965 12:00:00; 0,410
18.12.1965 12:00:00; 0,870
03.01.1966 12:00:00; 0,410
08.02.1966 12:00:00;  2,94
05.03.1966 12:00:00; 0,870
28.04.1966 12:00:00;  4,34
24.05.1966 12:00:00;  4,09
27.06.1966 12:00:00;  10,4
14.07.1966 12:00:00;  8,72
09.08.1966 12:00:00;  13,0
01.09.1966 12:00:00;  3,83
18.10.1966 12:00:00;  1,06
06.11.1966 12:00:00;  1,06
20.12.1966 12:00:00;  1,06
05.01.1967 12:00:00; 0,520
06.02.1967 12:00:00;  1,18
13.03.1967 12:00:00;  1,43
15.04.1967 12:00:00;  3,58
12.05.1967 12:00:00;  7,00
08.06.1967 12:00:00;  5,93
04.07.1967 12:00:00;  5,12
03.08.1967 12:00:00;  2,35
08.09.1967 12:00:00;  4,85
08.10.1967 12:00:00;  2,52
18.11.1967 12:00:00; 0,580
24.12.1967 12:00:00;  1,31
15.01.1968 12:00:00;  2,52
26.02.1968 12:00:00; 0,870
31.03.1968 12:00:00;  2,52
23.04.1968 12:00:00;  5,39
06.05.1968 12:00:00;  6,20
10.06.1968 12:00:00;  3,77
18.07.1968 12:00:00;  6,80
15.08.1968 12:00:00;  6,20
12.09.1968 12:00:00;  3,50
05.10.1968 12:00:00;  4,85
04.11.1968 12:00:00; 0,480
02.12.1968 12:00:00; 0,360
16.01.1969 12:00:00; 0,360
27.02.1969 12:00:00; 0,320
21.03.1969 12:00:00; 0,640
30.04.1969 12:00:00;  5,56
15.05.1969 12:00:00;  5,85
08.06.1969 12:00:00;  4,98
14.07.1969 12:00:00;  11,0
16.08.1969 12:00:00;  3,26
05.09.1969 12:00:00;  4,40
08.10.1969 12:00:00; 0,580
17.11.1969 12:00:00; 0,680
02.12.1969 12:00:00; 0,520
14.01.1970 12:00:00; 0,770
23.02.1970 12:00:00;  1,31
26.03.1970 12:00:00;  1,31
19.04.1970 12:00:00;  5,39
11.05.1970 12:00:00;  5,93
11.06.1970 12:00:00;  17,5
25.07.1970 12:00:00;  10,4
11.08.1970 12:00:00;  12,1
06.09.1970 12:00:00;  10,2
05.10.1970 12:00:00;  4,98
20.11.1970 12:00:00;  1,37
01.12.1970 12:00:00; 0,960
04.01.1971 12:00:00; 0,450
01.02.1971 12:00:00; 0,210
23.03.1971 12:00:00;  1,37
24.04.1971 12:00:00;  2,58
12.05.1971 12:00:00;  4,98
19.06.1971 12:00:00;  12,5
05.07.1971 12:00:00;  2,57
27.08.1971 12:00:00;  6,35
01.09.1971 12:00:00;  1,42
02.10.1971 12:00:00;  1,04
30.11.1971 12:00:00; 0,540
21.12.1971 12:00:00;  2,03
01.01.1972 12:00:00; 0,540
20.02.1972 12:00:00; 0,340
24.03.1972 12:00:00; 0,540
04.04.1972 12:00:00;  3,74
24.05.1972 12:00:00;  6,35
06.06.1972 12:00:00;  9,30
14.07.1972 12:00:00;  6,35
04.08.1972 12:00:00;  8,96
11.09.1972 12:00:00;  1,16
30.10.1972 12:00:00;  1,04
18.11.1972 12:00:00;  1,68
02.12.1972 12:00:00; 0,770
03.01.1973 12:00:00; 0,340
10.02.1973 12:00:00; 0,240
31.03.1973 12:00:00;  1,29
30.04.1973 12:00:00;  4,44
05.05.1973 12:00:00;  9,25
25.06.1973 12:00:00;  16,5
27.07.1973 12:00:00;  5,77
21.08.1973 12:00:00;  2,21
26.09.1973 12:00:00;  3,50
01.10.1973 12:00:00;  1,29
16.11.1973 12:00:00;  1,68
26.12.1973 12:00:00; 0,860
20.01.1974 12:00:00;  1,85
02.02.1974 12:00:00;  1,42
27.03.1974 12:00:00;  3,74
01.04.1974 12:00:00;  2,57
21.05.1974 12:00:00;  4,90
30.06.1974 12:00:00;  13,0
21.07.1974 12:00:00;  11,6
12.08.1974 12:00:00;  5,77
29.09.1974 12:00:00;  1,29
01.10.1974 12:00:00;  1,04
28.11.1974 12:00:00; 0,770
29.12.1974 12:00:00;  10,7
01.01.1975 12:00:00;  2,57
13.02.1975 12:00:00; 0,860
14.03.1975 12:00:00; 0,950
23.04.1975 12:00:00;  2,21
23.05.1975 12:00:00;  7,80
23.06.1975 12:00:00;  9,25
24.07.1975 12:00:00;  13,5
19.08.1975 12:00:00;  4,40
08.09.1975 12:00:00;  1,37
02.10.1975 12:00:00; 0,700
01.11.1975 12:00:00; 0,450
12.12.1975 12:00:00; 0,350
01.01.1976 00:00:00; Lücke
12.01.1976 08:00:00;  2,20
01.02.1976 00:00:00; 0,478
03.03.1976 10:00:00; 0,614
07.04.1976 08:00:00;  1,86
10.05.1976 20:00:00;  6,40
08.06.1976 20:00:00;  5,85
26.07.1976 08:00:00;  8,99
05.08.1976 08:00:00;  5,57
30.09.1976 08:00:00;  2,39
01.10.1976 00:00:00;  2,39
01.11.1976 00:00:00; 0,685
02.12.1976 10:00:00; 0,480
27.01.1977 08:00:00; 0,544
06.02.1977 08:00:00;  1,06
04.03.1977 08:00:00;  3,75
30.04.1977 18:00:00;  8,11
01.05.1977 00:00:00;  8,11
27.06.1977 08:00:00;  4,51
31.07.1977 23:59:55;  29,8
01.08.1977 10:00:00;  34,4
09.09.1977 12:00:00;  3,99
11.10.1977 08:00:00;  1,54
03.11.1977 08:00:00; 0,844
25.12.1977 08:00:00;  1,54
01.01.1978 00:00:00; 0,756
27.02.1978 08:00:00; 0,844
31.03.1978 08:00:00;  1,15
29.04.1978 08:00:00;  2,37
22.05.1978 18:00:00;  9,50
06.06.1978 08:00:00;  5,04
19.07.1978 08:00:00;  5,85
12.08.1978 08:00:00;  1,86
08.09.1978 18:00:00;  10,4
03.10.1978 08:00:00;  5,01
01.11.1978 00:00:00;  1,04
13.12.1978 08:00:00; 0,844
01.01.1979 00:00:00; 0,359
18.02.1979 10:00:00; 0,531
12.03.1979 16:00:00;  3,48
17.04.1979 08:00:00;  1,48
20.05.1979 08:00:00;  5,65
13.06.1979 20:00:00;  9,80
08.07.1979 12:00:00;  11,3
04.08.1979 18:00:00;  3,25
14.09.1979 18:00:00;  3,70
19.10.1979 08:00:00; 0,959
08.11.1979 08:00:00;  2,16
07.12.1979 08:00:00;  1,48
01.01.1980 00:00:00; 0,586
05.02.1980 08:00:00; 0,720
30.03.1980 08:00:00;  1,05
02.04.1980 08:00:00;  2,67
29.05.1980 18:00:00;  5,90
14.06.1980 20:00:00;  13,1
04.07.1980 08:00:00;  6,96
20.08.1980 12:00:00;  6,96
01.09.1980 20:00:00;  11,0
17.10.1980 08:00:00;  2,16
16.11.1980 08:00:00;  3,25
01.12.1980 00:00:00; 0,525
04.01.1981 08:00:00; 0,874
10.02.1981 09:00:00; 0,420
11.03.1981 18:00:00;  8,07
01.04.1981 00:00:00;  3,93
25.05.1981 18:00:00;  7,24
02.06.1981 18:00:00;  5,65
19.07.1981 06:00:00;  14,7
28.08.1981 14:00:00;  16,0
17.09.1981 10:00:00;  7,31
31.10.1981 20:00:00;  5,05
01.11.1981 22:00:00;  7,15
01.12.1981 08:00:00;  1,29
31.01.1982 09:00:00;  1,91
01.02.1982 00:00:00;  1,51
30.03.1982 06:30:00;  1,07
07.04.1982 06:15:00;  2,22
29.05.1982 03:45:00;  9,01
27.06.1982 15:15:00;  11,9
27.07.1982 00:45:00;  8,60
01.08.1982 00:00:00;  4,93
24.09.1982 00:30:00;  5,05
06.10.1982 21:15:00;  5,58
10.11.1982 14:45:00; 0,964
16.12.1982 21:00:00;  1,09
05.01.1983 21:00:00;  3,49
01.02.1983 20:00:00;  1,43
25.03.1983 04:15:00;  1,04
30.04.1983 22:00:00;  3,96
16.05.1983 19:45:00;  8,15
09.06.1983 18:00:00;  10,8
29.07.1983 15:15:00;  7,56
05.08.1983 12:00:00;  8,58
25.09.1983 11:00:00;  12,4
12.10.1983 00:15:00;  5,74
27.11.1983 17:45:00;  1,41
24.12.1983 23:30:00;  2,05
02.01.1984 08:00:00; 0,827
08.02.1984 07:45:00; 0,742
30.03.1984 07:15:00;  1,32
27.04.1984 05:45:00;  1,92
21.05.1984 07:15:00;  8,27
15.06.1984 08:00:00;  10,0
28.07.1984 14:00:00;  13,2
07.08.1984 09:00:00;  11,5
12.09.1984 18:15:00;  7,56
02.10.1984 15:00:00;  9,69
27.11.1984 13:30:00; 0,851
06.12.1984 12:00:00; 0,642
24.01.1985 08:30:00; 0,393
02.02.1985 08:15:00;  1,30
23.03.1985 07:30:00; 0,764
23.04.1985 20:45:00;  2,58
16.05.1985 18:30:00;  10,5
07.06.1985 13:30:00;  10,5
02.07.1985 11:00:00;  7,78
06.08.1985 18:30:00;  20,6
04.09.1985 11:15:00;  4,45
12.10.1985 21:15:00;  2,41
09.11.1985 14:00:00;  1,12
20.12.1985 11:15:00; 0,899
19.01.1986 14:30:00;  1,34
01.02.1986 08:00:00; 0,899
18.03.1986 10:15:00;  1,09
29.04.1986 19:45:00;  3,91
22.05.1986 03:30:00;  7,23
24.06.1986 15:00:00;  5,73
31.07.1986 21:15:00;  6,78
10.08.1986 19:00:00;  5,75
10.09.1986 09:00:00;  2,32
22.10.1986 14:30:00;  7,01
04.11.1986 09:30:00; 0,972
30.12.1986 15:00:00; 0,600
02.01.1987 13:45:00;  1,14
12.02.1987 08:00:00; 0,847
03.03.1987 07:00:00;  1,74
30.04.1987 21:15:00;  4,27
03.05.1987 20:15:00;  5,33
13.06.1987 18:30:00;  8,54
03.07.1987 18:15:00;  13,5
19.08.1987 11:45:00;  12,1
04.09.1987 23:30:00;  4,92
24.10.1987 07:45:00;  1,79
25.11.1987 09:30:00;  1,41
18.12.1987 17:15:00;  15,3
01.01.1988 16:30:00; 0,810
19.02.1988 11:30:00; 0,982
26.03.1988 03:15:00;  1,81
20.04.1988 20:30:00;  4,46
31.05.1988 04:45:00;  6,50
04.06.1988 21:30:00;  7,87
14.07.1988 15:00:00;  7,59
29.08.1988 17:15:00;  11,4
06.09.1988 07:15:00;  17,5
29.10.1988 15:45:00;  3,98
16.11.1988 12:15:00; 0,982
05.12.1988 04:00:00;  5,20
01.01.1989 02:45:00;  1,18
20.02.1989 21:30:00;  1,96
30.03.1989 20:15:00;  4,22
05.04.1989 11:15:00;  3,52
30.05.1989 23:45:00;  8,15
18.06.1989 18:45:00;  10,5
25.07.1989 19:30:00;  16,5
06.08.1989 20:00:00;  11,3
16.09.1989 07:00:00;  16,5
31.10.1989 23:59:55;  9,60
01.11.1989 01:30:00;  11,4
23.12.1989 09:15:00;  1,08
21.01.1990 10:15:00; 0,982
15.02.1990 14:00:00;  4,95
10.03.1990 22:00:00;  3,63
03.04.1990 00:00:00;  1,53
17.05.1990 21:30:00;  4,95
22.06.1990 18:45:00;  9,60
08.07.1990 18:00:00;  9,60
07.08.1990 08:15:00;  4,70
24.09.1990 04:00:00;  6,23
02.10.1990 05:45:00;  5,71
18.11.1990 07:00:00;  3,07
10.12.1990 13:15:00; 0,982
03.01.1991 11:00:00;  1,66
04.02.1991 12:15:00; 0,661
26.03.1991 02:45:00;  1,66
04.04.1991 19:30:00;  1,08
23.05.1991 04:45:00;  6,23
18.06.1991 00:15:00;  9,60
27.07.1991 11:45:00;  12,0
02.08.1991 21:00:00;  19,0
17.09.1991 17:45:00;  4,89
01.10.1991 00:00:00;  3,73
04.11.1991 05:30:00; 0,586
23.12.1991 04:00:00;  7,79
01.01.1992 00:00:00; 0,720
25.02.1992 15:30:00; 0,651
22.03.1992 00:00:00;  1,36
28.04.1992 19:30:00;  5,45
11.05.1992 18:30:00;  6,50
12.06.1992 22:30:00;  8,43
31.07.1992 23:59:55;  6,77
03.08.1992 23:00:00;  12,0
04.09.1992 09:00:00;  4,68
01.10.1992 00:00:00;  2,91
23.11.1992 11:15:00;  13,0
01.12.1992 00:00:00;  2,28
25.01.1993 09:00:00;  2,11
01.02.1993 00:00:00; 0,539
18.03.1993 22:15:00;  2,46
27.04.1993 19:15:00;  5,20
31.05.1993 01:45:00;  7,04
27.06.1993 15:30:00;  10,2
28.07.1993 08:00:00;  13,3
01.08.1993 00:30:00;  9,30
03.09.1993 18:30:00;  3,75
24.10.1993 01:45:00;  7,59
06.11.1993 09:45:00; 0,733
20.12.1993 13:45:00;  6,16
26.01.1994 01:15:00;  1,25
02.02.1994 01:00:00; 0,720
25.03.1994 04:00:00;  7,04
29.04.1994 20:15:00;  4,22
19.05.1994 20:30:00;  9,89
04.06.1994 06:00:00;  6,41
07.07.1994 02:30:00;  5,40
20.08.1994 05:30:00;  11,3
01.09.1994 19:00:00;  2,49
03.10.1994 21:45:00;  4,46
20.11.1994 17:15:00;  6,23
11.12.1994 14:45:00;  3,29
25.01.1995 22:15:00;  2,28
08.02.1995 20:45:00; 0,856
28.03.1995 03:15:00;  1,14
24.04.1995 19:00:00;  6,51
30.05.1995 16:45:00;  8,70
22.06.1995 08:45:00;  12,6
16.07.1995 19:00:00;  6,81
15.08.1995 12:00:00;  5,25
09.09.1995 04:15:00;  9,90
02.10.1995 16:15:00;  4,50
12.11.1995 19:45:00;  1,03
23.12.1995 23:45:00; 0,702
13.01.1996 10:00:00; 0,570
01.02.1996 00:00:00; 0,317
27.03.1996 00:00:00;  1,35
23.04.1996 05:45:00;  6,02
27.05.1996 14:00:00;  9,90
13.06.1996 05:00:00;  9,90
12.07.1996 12:00:00;  10,8
03.08.1996 15:45:00;  7,08
24.09.1996 09:30:00;  7,08
21.10.1996 23:15:00;  26,8
15.11.1996 18:15:00;  4,17
01.12.1996 04:15:00; 0,828
05.01.1997 07:18:40; 0,551
24.02.1997 09:11:10; 0,636
17.03.1997 08:03:00;  4,46
06.04.1997 08:05:25;  2,86
22.05.1997 01:54:45;  9,66
13.06.1997 01:56:35;  7,17
19.07.1997 15:35:15;  24,0
29.08.1997 23:08:05;  8,52
04.09.1997 23:55:30;  3,19
02.10.1997 18:33:15;  18,4
07.11.1997 07:18:50;  1,83
12.12.1997 07:31:10;  2,44
01.01.1998 00:00:00; 0,645
17.02.1998 12:43:20; 0,713
31.03.1998 20:40:50;  1,98
27.04.1998 20:03:15;  5,00
11.05.1998 20:10:30;  6,37
03.06.1998 23:09:40;  12,1
10.07.1998 12:40:50;  10,3
22.08.1998 08:53:30;  5,87
05.09.1998 19:12:55;  13,3
15.10.1998 01:43:45;  5,71
10.11.1998 03:02:15;  11,6
13.12.1998 15:14:40;  1,25
11.01.1999 17:23:40; 0,851
07.02.1999 02:21:50; 0,574
30.03.1999 20:03:15;  1,43
30.04.1999 00:55:05;  4,69
12.05.1999 07:46:50;  9,10
03.06.1999 05:37:05;  7,00
22.07.1999 21:47:10;  12,1
27.08.1999 07:28:40;  7,76
08.09.1999 10:57:00;  5,62
10.10.1999 15:26:25;  3,78
14.11.1999 02:03:30; 0,632
03.12.1999 05:28:10; 0,609
31.01.2000 05:12:55;  1,26
09.02.2000 06:33:10;  2,34
09.03.2000 18:03:00;  5,16
24.04.2000 08:29:35;  5,54
12.05.2000 21:48:25;  9,39
06.06.2000 19:48:40;  9,12
03.07.2000 19:19:20;  10,7
03.08.2000 22:07:55;  8,57
21.09.2000 15:05:35;  8,28
03.10.2000 11:59:45;  4,97
04.11.2000 12:44:45;  1,93
11.12.2000 09:09:30; 0,892
09.01.2001 11:50:05; 0,589
11.02.2001 16:37:20; 0,618
24.03.2001 08:57:10;  6,23
30.04.2001 20:26:30;  5,73
03.05.2001 19:43:45;  7,76
19.06.2001 04:53:50;  11,5
20.07.2001 22:02:05;  15,0
10.08.2001 21:29:00;  10,6
08.09.2001 22:30:00;  14,9
01.10.2001 00:00:00;  2,42
12.11.2001 21:30:00;  1,16
06.12.2001 16:45:00;  1,23
28.01.2002 06:30:00;  5,35
13.02.2002 21:30:00;  1,50
20.03.2002 21:30:00;  10,3
27.04.2002 13:00:00;  3,85
04.05.2002 18:00:00;  10,8
07.06.2002 12:30:00;  22,3
17.07.2002 15:30:00;  10,4
12.08.2002 13:30:00;  36,7
01.09.2002 09:45:00;  3,54
05.10.2002 00:45:00;  4,05
03.11.2002 21:45:00;  5,88
30.12.2002 23:30:00;  1,36
01.01.2003 00:00:00;  1,05
01.02.2003 00:00:00; 0,357
31.03.2003 09:15:00; 0,876
30.04.2003 20:45:00;  6,22
31.05.2003 23:59:55;  6,64
01.06.2003 00:00:00;  6,64
21.07.2003 21:00:00;  8,55
01.08.2003 04:00:00;  6,96
13.09.2003 13:45:00;  5,36
05.10.2003 06:15:00;  4,07
02.11.2003 04:30:00;  1,32
30.12.2003 23:30:00; 0,340
13.01.2004 21:30:00;  1,93
03.02.2004 02:00:00;  2,79
22.03.2004 01:30:00;  2,62
29.04.2004 20:00:00;  5,63
16.05.2004 07:45:00;  8,63
24.06.2004 00:00:00;  12,7
25.07.2004 08:15:00;  10,3
14.08.2004 22:30:00;  11,3
23.09.2004 23:15:00;  21,9
01.10.2004 17:45:00;  3,15
23.11.2004 19:15:00;  2,05
01.12.2004 12:45:00; 0,710
21.01.2005 06:30:00;  1,49
13.02.2005 16:30:00; 0,587
19.03.2005 20:00:00;  3,47
30.04.2005 19:53:50;  4,70
31.05.2005 00:15:00;  11,5
22.06.2005 21:45:00;  11,5
02.07.2005 09:00:05;  16,6
16.08.2005 07:00:00;  8,60
17.09.2005 19:30:00;  2,94
05.10.2005 05:15:05;  3,19
07.11.2005 08:45:00; 0,410
16.12.2005 19:30:00; 0,352
01.01.2006 00:00:00; 0,225
21.02.2006 17:00:00; 0,269
27.03.2006 19:30:00;  3,82
28.04.2006 04:00:00;  5,78
27.05.2006 07:45:00;  18,9
27.06.2006 21:15:00;  9,30
03.07.2006 18:00:00;  3,85
07.08.2006 09:45:05;  22,4
19.09.2006 11:00:00;  10,1
29.10.2006 14:00:00;  7,25
14.11.2006 21:15:00;  8,17
01.12.2006 00:00:00; 0,860
19.01.2007 17:45:00;  8,85
28.02.2007 17:00:00;  1,13
07.03.2007 18:30:00;  1,27
13.04.2007 20:00:00;  4,01
09.05.2007 23:15:00;  13,2
14.06.2007 01:00:00;  8,11
06.07.2007 06:00:00;  10,4
12.08.2007 04:15:00;  10,5
08.09.2007 17:45:00;  12,6
05.10.2007 18:00:00;  4,52
11.11.2007 19:45:00;  2,54
10.12.2007 17:15:00;  1,41
19.01.2008 19:15:00; 0,989
29.02.2008 23:59:55;  1,03
01.03.2008 13:15:00;  3,27
30.04.2008 21:15:00;  2,97
30.05.2008 22:22:20;  8,22
24.06.2008 00:26:50;  14,5
20.07.2008 23:04:35;  9,64
16.08.2008 05:32:20;  13,1
01.09.2008 21:30:00;  4,75
07.10.2008 02:45:00;  5,39
21.11.2008 13:45:00;  1,14
22.12.2008 08:00:00;  1,22
20.01.2009 08:41:45; 0,618
08.02.2009 03:15:15; 0,562
31.03.2009 23:59:55; 0,977
28.04.2009 06:00:00;  6,11
11.05.2009 21:30:00;  9,28
24.06.2009 06:30:00;  14,1
19.07.2009 04:45:00;  11,7
10.08.2009 18:15:00;  13,3
04.09.2009 18:15:00;  7,19
22.10.2009 18:15:00;  2,78
18.11.2009 16:45:00;  1,58
25.12.2009 20:15:00; 0,867
01.01.2010 00:00:00; 0,572
28.02.2010 19:30:00; 0,499
26.03.2010 23:00:00;  2,22
30.04.2010 19:30:00;  4,01
26.05.2010 22:45:00;  9,02
16.06.2010 11:00:00;  8,33
04.07.2010 21:15:00;  25,4
27.08.2010 18:30:00;  7,51
04.09.2010 20:30:00;  3,58
31.10.2010 23:59:55;  1,11
13.11.2010 01:30:00;  1,75
24.12.2010 10:00:00; 0,813
14.01.2011 12:30:00;  5,14
12.02.2011 12:15:00; 0,823
31.03.2011 22:15:00; 0,959
07.04.2011 17:30:00;  6,73
27.05.2011 20:45:00;  5,33
23.06.2011 19:15:00;  7,44
21.07.2011 02:00:00;  12,8
04.08.2011 14:45:00;  9,49
09.09.2011 09:45:00;  7,87
10.10.2011 17:45:00;  20,2
01.11.2011 13:30:00; 0,731
08.12.2011 13:00:00; 0,394
20.01.2012 05:00:00;  1,31
29.02.2012 23:59:55; 0,775
30.03.2012 04:00:00;  2,75
29.04.2012 18:30:00;  8,30
23.05.2012 18:45:00;  7,94
23.06.2012 02:00:00;  10,8
21.07.2012 04:30:00;  8,35
31.08.2012 17:00:00;  6,07
05.09.2012 22:15:00;  7,06
09.10.2012 19:45:00;  4,90
05.11.2012 08:15:00;  1,55
23.12.2012 14:30:00;  2,92
05.01.2013 07:45:00;  2,54
02.02.2013 03:15:00;  1,33
10.03.2013 01:00:00;  1,33
18.04.2013 19:30:00;  5,88
04.05.2013 00:15:00;  6,16
02.06.2013 08:45:00;  17,4
18.07.2013 19:30:00;  10,6
