Messstelle:                ;Oberwart (Landeshauptstraße L382)
16.04.1958 12:00:00;  2,37
10.05.1958 12:00:00;  1,17
28.06.1958 12:00:00;  2,27
31.07.1958 12:00:00;  9,64
08.08.1958 12:00:00;  6,01
23.09.1958 12:00:00;  5,77
14.10.1958 12:00:00;  7,50
02.11.1958 12:00:00;  1,45
25.12.1958 12:00:00;  12,3
01.01.1959 12:00:00;  1,63
14.02.1959 12:00:00;  1,17
30.03.1959 12:00:00;  1,45
20.04.1959 12:00:00;  2,83
01.05.1959 12:00:00;  4,10
30.06.1959 12:00:00;  18,0
01.07.1959 12:00:00;  6,61
13.08.1959 12:00:00;  4,61
04.09.1959 12:00:00;  1,17
31.10.1959 12:00:00; 0,960
16.11.1959 12:00:00;  1,62
25.12.1959 12:00:00;  2,00
30.01.1960 12:00:00;  1,42
24.02.1960 12:00:00;  1,33
18.03.1960 12:00:00;  2,64
15.04.1960 12:00:00;  1,52
23.05.1960 12:00:00;  1,82
04.06.1960 12:00:00;  1,35
13.07.1960 12:00:00;  2,20
02.08.1960 12:00:00;  7,40
21.09.1960 12:00:00;  2,50
16.10.1960 12:00:00;  13,5
06.11.1960 12:00:00;  2,30
10.12.1960 12:00:00;  2,20
05.01.1961 12:00:00;  1,82
08.02.1961 12:00:00;  1,17
20.03.1961 12:00:00; 0,980
28.04.1961 12:00:00;  1,26
07.05.1961 12:00:00;  14,5
07.06.1961 12:00:00;  10,9
20.07.1961 12:00:00;  2,92
27.08.1961 12:00:00;  1,14
09.09.1961 12:00:00;  1,21
19.10.1961 12:00:00;  4,06
13.11.1961 12:00:00;  15,0
13.12.1961 12:00:00;  9,86
13.01.1962 12:00:00;  1,50
17.02.1962 12:00:00;  1,21
06.03.1962 12:00:00;  9,42
05.04.1962 12:00:00;  2,30
14.05.1962 12:00:00;  1,70
01.06.1962 12:00:00;  1,12
11.07.1962 12:00:00;  11,5
16.08.1962 12:00:00;  2,20
25.09.1962 12:00:00;  1,03
17.10.1962 12:00:00; 0,770
16.11.1962 12:00:00;  3,95
14.12.1962 12:00:00;  1,60
08.01.1963 12:00:00;  1,60
23.02.1963 12:00:00;  1,70
31.03.1963 12:00:00;  15,1
01.04.1963 12:00:00;  11,5
26.05.1963 12:00:00;  3,47
24.06.1963 12:00:00;  6,00
12.07.1963 12:00:00;  2,35
31.08.1963 12:00:00;  3,59
04.09.1963 12:00:00;  2,46
05.10.1963 12:00:00;  1,50
17.11.1963 12:00:00;  5,74
11.12.1963 12:00:00;  1,21
07.01.1964 12:00:00;  1,02
28.02.1964 12:00:00;  1,40
27.03.1964 12:00:00;  5,47
05.04.1964 12:00:00;  3,60
15.05.1964 12:00:00;  1,61
22.06.1964 12:00:00;  1,33
06.07.1964 12:00:00; 0,960
09.08.1964 12:00:00; 0,960
21.09.1964 12:00:00;  1,05
25.10.1964 12:00:00;  14,0
01.11.1964 12:00:00;  2,41
20.12.1964 12:00:00;  2,94
06.01.1965 12:00:00;  1,24
01.02.1965 12:00:00;  1,33
06.03.1965 12:00:00;  5,22
22.04.1965 12:00:00;  23,0
31.05.1965 12:00:00;  14,2
01.06.1965 12:00:00;  14,4
20.07.1965 12:00:00;  12,2
03.08.1965 12:00:00;  16,5
29.09.1965 12:00:00;  12,9
12.10.1965 12:00:00;  1,21
28.11.1965 12:00:00;  3,02
08.12.1965 12:00:00;  7,59
24.01.1966 12:00:00;  1,40
23.02.1966 12:00:00;  3,51
01.03.1966 12:00:00;  1,21
05.04.1966 12:00:00;  3,07
26.05.1966 12:00:00;  1,90
21.06.1966 12:00:00;  6,47
24.07.1966 12:00:00;  13,5
23.08.1966 12:00:00;  12,4
01.09.1966 12:00:00;  4,89
18.10.1966 12:00:00;  6,08
25.11.1966 12:00:00;  3,01
03.12.1966 12:00:00;  10,4
01.01.1967 12:00:00;  1,70
28.02.1967 12:00:00;  2,20
12.03.1967 12:00:00;  3,00
15.04.1967 12:00:00;  2,63
31.05.1967 12:00:00;  24,0
01.06.1967 12:00:00;  20,2
21.07.1967 12:00:00;  3,31
05.08.1967 12:00:00;  1,57
18.09.1967 12:00:00;  2,32
05.10.1967 12:00:00;  3,68
08.11.1967 12:00:00;  2,32
31.12.1967 12:00:00;  1,18
31.01.1968 12:00:00;  1,28
24.02.1968 12:00:00; 0,590
31.03.1968 12:00:00; 0,590
30.04.1968 12:00:00; 0,590
31.05.1968 12:00:00; 0,590
24.06.1968 12:00:00; 0,590
12.07.1968 12:00:00; 0,590
06.08.1968 12:00:00;  68,0
01.09.1968 12:00:00;  9,57
09.10.1968 12:00:00;  3,08
20.11.1968 12:00:00;  2,17
25.12.1968 12:00:00; 0,420
17.01.1969 12:00:00;  2,17
22.02.1969 12:00:00;  6,80
16.03.1969 12:00:00;  12,1
02.04.1969 12:00:00;  2,46
19.05.1969 12:00:00; 0,820
07.06.1969 12:00:00;  13,3
31.07.1969 12:00:00;  1,69
01.08.1969 12:00:00;  3,08
11.09.1969 12:00:00;  40,0
02.10.1969 12:00:00;  1,28
26.11.1969 12:00:00;  10,0
25.12.1969 12:00:00; 0,590
29.01.1970 12:00:00; 0,820
23.02.1970 12:00:00; 0,950
24.03.1970 12:00:00;  10,9
30.04.1970 12:00:00;  10,8
06.05.1970 12:00:00;  7,63
10.06.1970 12:00:00;  20,2
15.07.1970 12:00:00;  20,8
09.08.1970 12:00:00;  25,0
01.09.1970 12:00:00;  18,1
21.10.1970 12:00:00;  5,59
22.11.1970 12:00:00;  15,1
02.12.1970 12:00:00;  2,17
22.01.1971 12:00:00;  2,91
05.02.1971 12:00:00;  1,92
23.03.1971 12:00:00;  7,40
05.04.1971 12:00:00;  6,19
19.05.1971 12:00:00;  4,59
12.06.1971 12:00:00;  2,46
17.07.1971 12:00:00;  5,59
16.08.1971 12:00:00;  4,19
29.09.1971 12:00:00;  4,19
15.10.1971 12:00:00;  2,91
19.11.1971 12:00:00;  1,69
21.12.1971 12:00:00;  1,69
05.01.1972 12:00:00;  1,69
29.02.1972 12:00:00;  6,19
04.03.1972 12:00:00;  6,19
22.04.1972 12:00:00;  10,9
27.05.1972 12:00:00;  42,0
01.06.1972 12:00:00;  18,7
31.07.1972 12:00:00;  21,1
01.08.1972 12:00:00;  29,7
10.09.1972 12:00:00;  6,39
09.10.1972 12:00:00;  3,42
18.11.1972 12:00:00;  4,19
10.12.1972 12:00:00;  1,69
13.01.1973 12:00:00;  1,46
23.02.1973 12:00:00;  1,46
08.03.1973 12:00:00;  1,92
20.04.1973 12:00:00;  1,69
05.05.1973 12:00:00;  1,69
23.06.1973 12:00:00;  17,5
07.07.1973 12:00:00;  2,74
06.08.1973 12:00:00;  1,46
25.09.1973 12:00:00;  9,88
18.10.1973 12:00:00;  5,39
07.11.1973 12:00:00;  2,77
29.12.1973 12:00:00; 0,970
30.01.1974 12:00:00;  1,75
07.02.1974 12:00:00;  2,23
06.03.1974 12:00:00;  4,11
04.04.1974 12:00:00;  2,17
15.05.1974 12:00:00;  2,93
06.06.1974 12:00:00;  4,11
06.07.1974 12:00:00;  10,6
23.08.1974 12:00:00;  16,0
25.09.1974 12:00:00;  6,39
20.10.1974 12:00:00;  9,88
19.11.1974 12:00:00;  1,75
07.12.1974 12:00:00;  2,10
18.01.1975 12:00:00;  1,64
07.02.1975 12:00:00;  1,75
19.03.1975 12:00:00;  2,77
10.04.1975 12:00:00;  2,77
23.05.1975 12:00:00;  2,49
30.06.1975 12:00:00;  20,8
01.07.1975 12:00:00;  27,0
25.08.1975 12:00:00;  9,40
05.09.1975 12:00:00;  7,63
18.10.1975 12:00:00;  6,79
19.11.1975 12:00:00;  3,57
18.12.1975 12:00:00;  2,10
12.01.1976 08:00:00;  2,81
29.02.1976 23:59:55;  3,07
02.03.1976 22:00:00;  3,92
25.04.1976 04:00:00;  3,44
14.05.1976 01:00:00;  4,94
22.06.1976 13:00:00;  1,66
31.07.1976 18:00:00;  3,13
01.08.1976 14:00:00;  1,53
01.09.1976 09:00:00;  2,24
17.10.1976 12:00:00;  2,25
14.11.1976 13:00:00;  1,08
02.12.1976 20:00:00;  18,4
30.01.1977 01:00:00;  5,20
12.02.1977 15:00:00;  12,1
04.03.1977 15:00:00;  5,11
09.04.1977 11:00:00;  2,56
14.05.1977 20:00:00;  2,53
19.06.1977 19:00:00;  17,6
01.07.1977 00:00:00;  4,31
10.08.1977 14:00:00;  1,70
09.09.1977 15:00:00;  1,01
11.10.1977 20:00:00; 0,847
14.11.1977 00:00:00; 0,784
28.12.1977 19:00:00; 0,797
30.01.1978 01:00:00; 0,991
27.02.1978 08:00:00;  2,81
01.03.1978 00:00:00;  1,89
21.04.1978 16:00:00; 0,967
20.05.1978 02:00:00;  6,83
24.06.1978 23:00:00;  32,9
05.07.1978 18:00:00;  6,80
03.08.1978 17:00:00;  6,43
30.09.1978 23:00:00;  2,10
01.10.1978 05:00:00;  2,24
28.11.1978 23:00:00; 0,736
07.12.1978 05:00:00;  1,12
29.01.1979 13:00:00;  4,14
17.02.1979 04:00:00;  5,88
29.03.1979 19:00:00;  4,07
06.04.1979 11:00:00;  5,98
03.05.1979 01:00:00;  11,0
28.06.1979 13:00:00;  23,1
30.07.1979 23:00:00;  15,2
01.08.1979 01:00:00;  11,4
24.09.1979 20:00:00;  3,43
17.10.1979 22:00:00; 0,959
16.11.1979 00:00:00;  7,70
01.12.1979 02:00:00;  1,47
31.01.1980 23:59:55; 0,645
01.02.1980 09:00:00;  1,10
30.03.1980 00:00:00; 0,697
03.04.1980 05:47:00; 0,673
09.05.1980 16:00:00;  1,82
30.06.1980 04:00:00;  3,09
02.07.1980 12:00:00;  3,64
13.08.1980 04:00:00;  1,98
13.09.1980 18:00:00;  2,18
13.10.1980 06:00:00;  32,0
06.11.1980 20:00:00;  3,32
01.12.1980 00:00:00;  1,05
02.01.1981 13:00:00; 0,797
15.02.1981 20:00:00; 0,743
12.03.1981 22:00:00;  1,26
27.04.1981 19:00:00; 0,944
25.05.1981 04:00:00;  3,65
08.06.1981 22:00:00;  3,81
25.07.1981 11:00:00;  2,03
09.08.1981 20:00:00;  1,06
14.09.1981 03:00:00;  37,3
22.10.1981 23:00:00;  27,4
01.11.1981 00:00:00;  1,42
22.12.1981 07:00:00; 0,867
02.01.1982 00:00:00;  5,58
01.02.1982 00:00:00;  2,02
19.03.1982 09:30:00;  3,20
27.04.1982 13:30:00;  1,05
11.05.1982 13:00:00;  7,06
23.06.1982 21:00:00;  18,3
04.07.1982 12:00:00;  9,37
07.08.1982 18:00:00;  32,1
08.09.1982 06:30:00;  19,2
07.10.1982 01:30:00;  42,0
14.11.1982 10:30:00;  4,49
18.12.1982 21:00:00;  9,54
18.01.1983 03:00:00;  3,86
05.02.1983 21:30:00;  1,60
30.03.1983 01:00:00;  2,29
03.04.1983 22:00:00;  1,88
25.05.1983 00:30:00;  1,83
26.06.1983 13:30:00;  2,80
24.07.1983 17:30:00;  2,84
03.08.1983 09:00:00;  2,82
12.09.1983 04:30:00;  1,83
17.10.1983 13:00:00;  1,91
28.11.1983 03:00:00;  1,43
20.12.1983 16:30:00;  2,10
01.01.1984 01:30:00; 0,680
27.02.1984 17:30:00; 0,928
30.03.1984 14:00:00;  2,29
03.04.1984 14:30:00;  4,97
30.05.1984 01:30:00;  5,76
21.06.1984 19:00:00;  60,1
22.07.1984 19:00:00;  3,56
01.08.1984 16:30:00;  25,9
24.09.1984 02:30:00;  14,0
04.10.1984 05:30:00;  10,8
20.11.1984 19:00:00;  1,60
18.12.1984 17:00:00; 0,827
24.01.1985 12:00:00;  1,11
02.02.1985 16:30:00;  2,83
25.03.1985 20:00:00;  12,5
01.04.1985 00:00:00;  4,74
07.05.1985 20:00:00;  10,1
08.06.1985 09:00:00;  3,17
09.07.1985 01:00:00;  5,16
07.08.1985 06:30:00;  8,86
02.09.1985 04:00:00;  1,46
18.10.1985 10:30:00; 0,996
02.11.1985 14:30:00;  3,78
29.12.1985 22:00:00;  5,22
03.01.1986 20:00:00;  1,93
03.02.1986 17:15:00;  1,59
28.03.1986 20:00:00;  5,39
10.04.1986 21:30:00;  4,23
30.05.1986 06:30:00;  17,5
19.06.1986 16:45:00;  43,3
24.07.1986 17:00:00;  5,71
19.08.1986 23:45:00;  15,6
10.09.1986 15:45:00;  3,38
20.10.1986 08:00:00;  1,24
24.11.1986 04:00:00;  15,3
31.12.1986 09:45:00;  2,24
02.01.1987 15:00:00;  1,45
21.02.1987 02:15:00;  10,2
29.03.1987 01:30:00;  8,26
04.04.1987 06:30:00;  3,32
13.05.1987 23:00:00;  9,84
05.06.1987 03:15:00;  11,7
26.07.1987 13:15:00;  6,72
04.08.1987 18:00:00;  20,8
02.09.1987 20:15:00;  4,24
12.10.1987 11:15:00;  2,61
25.11.1987 10:45:00;  2,64
18.12.1987 12:15:00;  3,64
30.01.1988 10:45:00;  3,93
08.02.1988 02:15:00;  3,30
31.03.1988 16:45:00;  3,00
01.04.1988 00:00:00;  2,43
19.05.1988 13:30:00;  23,8
29.06.1988 15:15:00;  9,13
18.07.1988 20:45:00;  5,88
09.08.1988 17:00:00;  26,8
13.09.1988 19:15:00;  10,9
08.10.1988 03:45:00;  1,95
27.11.1988 09:15:00;  1,44
02.12.1988 19:45:00;  2,53
09.01.1989 12:30:00;  1,49
26.02.1989 12:30:00;  6,26
02.03.1989 00:00:00;  1,77
02.04.1989 02:45:00;  5,72
31.05.1989 17:00:00;  7,14
23.06.1989 18:00:00;  10,8
25.07.1989 22:15:00;  38,6
27.08.1989 22:30:00;  21,6
28.09.1989 01:30:00;  22,4
03.10.1989 15:30:00;  2,56
07.11.1989 00:15:00;  5,71
27.12.1989 15:30:00;  1,51
26.01.1990 15:00:00;  2,30
27.02.1990 18:45:00;  1,71
28.03.1990 08:00:00;  1,82
23.04.1990 20:45:00;  4,95
17.05.1990 22:00:00;  5,69
21.06.1990 16:30:00;  14,7
01.07.1990 10:00:00;  12,1
21.08.1990 11:15:00;  8,55
24.09.1990 09:45:00;  7,21
28.10.1990 02:45:00;  4,96
01.11.1990 13:15:00;  5,91
10.12.1990 14:30:00;  7,35
08.01.1991 20:15:00;  2,15
25.02.1991 22:15:00;  2,30
08.03.1991 22:15:00;  1,71
11.04.1991 12:45:00;  1,71
18.05.1991 07:45:00;  24,4
28.06.1991 03:45:00;  19,6
28.07.1991 21:30:00;  22,8
01.08.1991 14:00:00;  9,45
15.09.1991 22:15:00;  13,9
08.10.1991 20:15:00;  7,48
05.11.1991 04:15:00;  23,4
01.12.1991 09:15:00;  4,95
11.01.1992 18:00:00;  2,85
06.02.1992 13:30:00;  1,71
27.03.1992 22:15:00;  4,77
16.04.1992 10:15:00;  3,77
10.05.1992 21:30:00;  3,15
06.06.1992 18:15:00;  18,1
07.07.1992 12:30:00;  3,24
02.08.1992 03:15:00;  4,42
29.09.1992 15:45:00;  4,42
07.10.1992 16:45:00;  16,4
17.11.1992 21:45:00;  5,14
06.12.1992 00:45:00;  27,8
12.01.1993 00:00:05;  2,04
24.02.1993 21:30:00;  1,16
18.03.1993 23:15:00;  1,35
11.04.1993 15:30:00;  1,98
28.05.1993 14:30:00;  6,34
24.06.1993 05:45:00;  10,7
19.07.1993 23:30:00;  2,91
06.08.1993 15:45:00;  6,16
11.09.1993 00:15:00;  5,57
24.10.1993 03:00:00;  13,1
06.11.1993 10:15:00;  6,56
24.12.1993 23:30:00;  4,24
05.01.1994 06:15:00;  3,69
10.02.1994 21:00:00;  1,87
26.03.1994 15:00:00;  1,87
18.04.1994 09:15:00;  3,05
12.05.1994 18:45:00;  4,78
20.06.1994 19:30:00;  11,1
19.07.1994 19:15:00;  30,0
13.08.1994 20:30:00;  11,6
03.09.1994 13:00:00;  4,14
24.10.1994 22:30:00;  4,07
11.11.1994 16:00:00;  3,56
29.12.1994 15:45:00;  2,91
15.01.1995 19:00:00;  2,16
26.02.1995 20:30:00;  2,67
04.03.1995 23:15:00;  9,36
30.04.1995 19:00:00;  7,06
30.05.1995 19:45:00;  6,47
21.06.1995 22:15:00;  18,1
14.07.1995 15:45:00;  18,4
08.08.1995 16:30:00;  18,7
20.09.1995 10:30:00;  7,06
31.10.1995 09:45:00;  1,65
17.11.1995 19:15:00;  1,51
23.12.1995 21:30:00;  1,51
14.01.1996 00:15:00;  2,85
11.02.1996 00:00:00;  1,49
25.03.1996 16:45:00;  11,0
04.04.1996 22:45:00;  18,2
13.05.1996 01:45:00;  30,7
20.06.1996 19:15:00;  11,8
03.07.1996 02:15:00;  8,22
25.08.1996 12:15:00;  24,9
23.09.1996 17:15:00;  19,6
22.10.1996 07:15:00;  12,9
18.11.1996 17:30:00;  3,93
02.12.1996 11:15:00;  1,51
16.01.1997 14:05:05;  1,20
13.02.1997 20:01:00;  2,42
17.03.1997 19:05:25;  3,69
06.04.1997 15:02:00;  3,62
22.05.1997 03:24:35;  5,69
18.06.1997 23:12:05;  19,7
25.07.1997 01:33:30;  39,0
01.08.1997 05:04:40;  21,2
07.09.1997 19:31:30;  26,0
11.10.1997 13:16:45;  1,81
30.11.1997 23:59:55;  1,70
20.12.1997 19:52:00;  8,66
01.01.1998 00:10:00;  1,34
21.02.1998 16:38:40;  1,12
18.03.1998 11:02:45;  2,49
16.04.1998 20:11:45;  2,47
31.05.1998 16:54:25;  6,07
26.06.1998 22:27:25;  29,5
19.07.1998 18:02:20;  32,8
05.08.1998 02:30:05;  23,8
05.09.1998 20:58:15;  36,0
02.10.1998 14:49:50;  11,7
11.11.1998 02:02:45;  4,40
15.12.1998 22:30:25;  1,83
09.01.1999 07:46:15;  1,67
27.02.1999 23:32:05;  1,64
05.03.1999 21:15:55;  1,88
23.04.1999 14:06:20;  9,96
21.05.1999 06:38:20;  41,4
16.06.1999 16:38:15;  21,6
10.07.1999 11:57:40;  16,9
20.08.1999 18:42:35;  18,3
07.09.1999 18:13:55;  18,2
04.10.1999 10:11:20;  2,22
10.11.1999 15:08:15;  1,91
11.12.1999 08:09:35;  3,84
30.01.2000 21:30:25;  1,99
06.02.2000 22:47:30;  2,95
30.03.2000 02:35:40;  8,72
02.04.2000 04:51:40;  4,85
10.05.2000 23:05:55;  3,18
06.06.2000 15:53:30;  13,1
03.07.2000 19:26:55;  7,31
06.08.2000 09:00:00;  9,96
16.09.2000 20:35:30;  6,61
03.10.2000 06:18:50;  2,99
04.11.2000 21:53:30;  6,98
28.12.2000 08:24:45;  4,56
08.01.2001 21:05:35;  2,77
12.02.2001 11:10:20;  1,30
26.03.2001 00:36:05;  5,04
08.04.2001 11:35:15;  2,73
04.05.2001 21:59:25;  3,53
17.06.2001 15:05:20;  2,35
20.07.2001 14:17:20;  12,4
24.08.2001 18:24:55;  2,39
14.09.2001 21:06:05;  4,70
22.10.2001 02:02:05;  2,10
05.11.2001 16:54:20; 0,509
11.12.2001 04:18:25; 0,559
22.01.2002 00:53:45; 0,535
18.02.2002 10:27:30;  1,03
21.03.2002 08:06:50;  1,00
14.04.2002 16:25:45;  1,74
26.05.2002 03:35:10;  3,13
07.06.2002 07:37:05;  7,07
16.07.2002 15:08:05;  7,61
12.08.2002 08:51:45;  12,7
10.09.2002 12:26:05;  2,11
18.10.2002 08:53:35;  6,49
22.11.2002 22:54:25;  6,86
06.12.2002 12:17:55;  3,44
01.01.2003 01:56:00;  1,38
19.02.2003 08:21:55;  1,19
03.03.2003 22:39:55;  1,31
27.04.2003 20:23:15;  1,49
26.05.2003 17:18:50;  4,25
13.06.2003 16:42:05;  18,9
04.07.2003 16:51:55;  3,67
04.08.2003 14:35:40;  5,51
01.09.2003 00:00:00;  2,04
04.10.2003 09:11:20;  8,25
02.11.2003 08:40:25;  2,36
08.12.2003 20:23:10; 0,524
30.01.2004 05:10:10; 0,885
04.02.2004 00:44:55;  1,43
24.03.2004 23:03:30;  4,90
18.04.2004 22:14:00;  3,65
02.05.2004 18:00:20;  5,54
12.06.2004 19:37:45;  30,4
19.07.2004 15:19:50;  11,0
07.08.2004 10:45:50;  11,3
15.09.2004 18:04:40;  3,80
10.10.2004 12:34:35;  5,25
11.11.2004 06:54:10;  1,43
27.12.2004 09:50:25;  7,63
01.01.2005 00:00:00;  1,03
17.02.2005 11:21:00; 0,647
18.03.2005 18:19:40;  11,5
28.04.2005 03:29:40;  4,75
19.05.2005 00:17:10;  4,60
12.06.2005 21:09:35;  8,27
23.07.2005 18:14:00;  8,34
28.08.2005 19:21:50;  6,38
11.09.2005 04:33:40;  7,50
04.10.2005 17:36:35; 0,952
27.11.2005 14:18:00;  5,86
06.12.2005 18:37:15;  2,04
02.01.2006 18:38:50;  1,11
20.02.2006 22:03:35;  3,22
29.03.2006 05:40:30;  3,91
27.04.2006 18:01:20;  4,91
29.05.2006 14:05:50;  4,79
17.06.2006 20:13:50;  28,9
08.07.2006 17:27:10;  8,60
03.08.2006 22:42:10;  10,0
18.09.2006 21:28:45;  5,04
24.10.2006 19:38:55;  4,00
22.11.2006 10:20:25;  2,32
09.12.2006 19:02:00;  1,82
20.01.2007 02:50:30;  1,61
26.02.2007 06:00:40;  2,17
25.03.2007 02:52:00;  2,60
03.04.2007 19:13:50;  2,38
05.05.2007 20:25:30;  5,23
17.06.2007 00:49:10;  6,58
10.07.2007 01:48:05;  9,75
20.08.2007 18:15:40;  5,06
07.09.2007 18:52:45;  18,4
28.10.2007 21:58:15;  7,27
12.11.2007 02:44:50;  2,08
12.12.2007 18:22:55;  3,92
20.01.2008 00:38:55;  2,24
18.02.2008 08:32:30;  1,79
16.03.2008 22:17:40;  2,57
21.04.2008 21:52:15;  3,07
24.05.2008 17:56:50;  3,16
27.06.2008 02:40:35;  21,2
23.07.2008 22:06:40;  16,8
04.08.2008 22:48:10;  25,5
12.09.2008 19:12:00;  3,31
09.10.2008 21:44:35;  5,58
08.11.2008 12:59:25;  4,05
19.12.2008 03:18:35;  5,86
22.01.2009 00:57:05;  5,39
08.02.2009 16:07:35;  10,5
06.03.2009 15:05:05;  8,35
29.04.2009 16:14:55;  3,92
12.05.2009 18:35:35;  10,3
26.06.2009 19:03:45;  27,5
06.07.2009 18:09:10;  33,2
04.08.2009 15:19:10;  14,5
13.09.2009 18:28:45;  5,78
11.10.2009 01:25:50;  3,56
09.11.2009 04:10:30;  1,80
25.12.2009 22:15:00;  3,69
09.01.2010 18:15:00;  2,42
26.02.2010 22:30:00;  4,43
01.03.2010 00:30:00;  1,98
02.04.2010 04:00:00;  1,75
26.05.2010 18:15:00;  3,87
14.06.2010 16:00:00;  34,9
13.07.2010 13:15:00;  10,8
15.08.2010 05:00:00;  27,5
26.09.2010 04:00:00;  22,2
18.10.2010 01:30:00;  4,24
22.11.2010 08:15:00;  9,56
08.12.2010 21:05:00;  5,42
19.01.2011 20:50:00;  2,41
12.02.2011 14:20:00;  2,05
17.03.2011 04:50:00;  8,11
04.04.2011 16:35:00;  3,59
14.05.2011 19:05:00;  8,32
23.06.2011 22:50:00;  21,7
14.07.2011 22:20:00;  12,5
19.08.2011 17:05:00;  17,0
12.09.2011 17:05:00;  4,78
07.10.2011 13:05:00;  6,65
01.11.2011 18:35:00; 0,619
13.12.2011 00:35:00;  1,41
22.01.2012 17:38:00; 0,703
25.02.2012 22:08:00; 0,842
01.03.2012 00:08:00; 0,737
12.04.2012 06:08:00;  2,99
04.05.2012 14:08:00;  12,3
21.06.2012 20:40:00;  14,6
25.07.2012 09:40:00;  18,0
03.08.2012 20:25:00;  5,52
12.09.2012 23:55:00;  11,1
16.10.2012 06:10:00;  3,81
05.11.2012 14:10:00;  36,5
14.12.2012 05:25:00;  1,39
31.01.2013 23:59:55;  1,59
26.02.2013 13:40:00;  14,0
09.03.2013 23:55:00;  19,2
12.04.2013 21:55:00;  10,9
04.05.2013 00:55:00;  14,4
24.06.2013 14:55:00;  5,81
11.07.2013 15:25:00;  1,28
28.08.2013 03:10:00;  15,6
