Messstelle:                ;Lech (Tannbergbrücke)
01.12.1954 12:00:00;  1,52
13.01.1955 12:00:00;  7,72
08.02.1955 12:00:00;  1,31
28.03.1955 12:00:00;  6,66
30.04.1955 12:00:00;  23,2
07.05.1955 12:00:00;  31,6
06.06.1955 12:00:00;  34,0
05.07.1955 12:00:00;  26,6
04.08.1955 12:00:00;  15,1
10.09.1955 12:00:00;  15,6
08.10.1955 12:00:00;  2,48
07.11.1955 12:00:00;  2,16
29.12.1955 12:00:00;  2,32
27.01.1956 12:00:00;  1,40
19.02.1956 12:00:00; 0,950
31.03.1956 12:00:00;  4,46
15.04.1956 12:00:00;  8,80
29.05.1956 12:00:00;  38,5
20.06.1956 12:00:00;  27,8
30.07.1956 12:00:00;  28,4
28.08.1956 12:00:00;  33,6
13.09.1956 12:00:00;  58,0
19.10.1956 12:00:00;  8,80
02.11.1956 12:00:00;  2,48
11.12.1956 12:00:00;  1,52
06.01.1957 12:00:00;  1,76
25.02.1957 12:00:00;  5,02
29.03.1957 12:00:00;  9,60
29.04.1957 12:00:00;  11,2
15.05.1957 12:00:00;  12,5
22.06.1957 12:00:00;  40,6
25.07.1957 12:00:00;  22,1
14.08.1957 12:00:00;  27,2
23.09.1957 12:00:00;  45,0
01.10.1957 12:00:00;  5,02
03.11.1957 12:00:00;  1,64
08.12.1957 12:00:00;  1,52
07.01.1958 12:00:00;  2,80
17.02.1958 12:00:00;  34,3
31.03.1958 12:00:00;  2,16
24.04.1958 12:00:00;  5,98
11.05.1958 12:00:00;  37,0
21.06.1958 12:00:00;  19,4
24.07.1958 12:00:00;  23,2
12.08.1958 12:00:00;  13,3
22.09.1958 12:00:00;  19,9
14.10.1958 12:00:00;  15,6
04.11.1958 12:00:00;  4,46
29.12.1958 12:00:00;  1,76
30.01.1959 12:00:00; 0,880
28.02.1959 12:00:00;  1,70
24.03.1959 12:00:00;  6,40
15.04.1959 12:00:00;  17,3
08.05.1959 12:00:00;  21,8
27.06.1959 12:00:00;  33,0
01.07.1959 12:00:00;  19,9
01.08.1959 12:00:00;  33,0
17.09.1959 12:00:00;  3,72
01.10.1959 12:00:00;  1,68
05.11.1959 12:00:00;  1,30
31.12.1959 12:00:00; 0,980
29.01.1960 12:00:00; 0,980
26.02.1960 12:00:00;  1,09
29.03.1960 12:00:00;  5,88
10.04.1960 12:00:00;  11,9
16.05.1960 12:00:00;  27,9
11.06.1960 12:00:00;  31,8
26.07.1960 12:00:00;  18,4
19.08.1960 12:00:00;  54,0
08.09.1960 12:00:00;  39,3
23.10.1960 12:00:00;  12,9
02.11.1960 12:00:00;  5,40
11.12.1960 12:00:00;  1,82
31.01.1961 12:00:00;  1,68
27.02.1961 12:00:00;  1,82
18.03.1961 12:00:00;  6,38
09.04.1961 12:00:00;  17,3
15.05.1961 12:00:00;  35,2
27.06.1961 12:00:00;  29,2
09.07.1961 12:00:00;  27,9
12.08.1961 12:00:00;  29,2
15.09.1961 12:00:00;  9,80
02.10.1961 12:00:00;  1,95
01.11.1961 12:00:00;  1,22
12.12.1961 12:00:00;  60,0
01.01.1962 12:00:00;  1,45
18.02.1962 12:00:00;  1,22
31.03.1962 12:00:00;  2,25
27.04.1962 12:00:00;  17,7
09.05.1962 12:00:00;  39,0
15.06.1962 12:00:00;  30,3
04.07.1962 12:00:00;  23,3
07.08.1962 12:00:00;  17,2
08.09.1962 12:00:00;  3,23
01.10.1962 12:00:00;  1,88
11.11.1962 12:00:00; 0,950
22.12.1962 12:00:00;  1,04
06.01.1963 12:00:00; 0,780
07.02.1963 12:00:00; 0,580
31.03.1963 12:00:00; 0,780
29.04.1963 12:00:00;  11,4
25.05.1963 12:00:00;  20,9
23.06.1963 12:00:00;  27,0
25.07.1963 12:00:00;  15,8
15.08.1963 12:00:00;  17,7
20.09.1963 12:00:00;  12,3
07.10.1963 12:00:00;  16,8
20.11.1963 12:00:00;  11,4
01.12.1963 12:00:00;  1,80
02.01.1964 12:00:00;  1,04
29.02.1964 12:00:00; 0,960
26.03.1964 12:00:00;  1,22
19.04.1964 12:00:00;  17,3
05.05.1964 12:00:00;  28,0
08.06.1964 12:00:00;  13,9
20.07.1964 12:00:00;  24,8
02.08.1964 12:00:00;  20,5
07.09.1964 12:00:00;  11,3
09.10.1964 12:00:00;  4,92
17.11.1964 12:00:00;  18,3
01.12.1964 12:00:00;  2,53
19.01.1965 12:00:00;  1,10
26.02.1965 12:00:00; 0,880
31.03.1965 12:00:00;  2,34
06.04.1965 12:00:00;  4,92
17.05.1965 12:00:00;  39,0
22.06.1965 12:00:00;  52,0
01.07.1965 12:00:00;  36,6
27.08.1965 12:00:00;  24,0
14.09.1965 12:00:00;  22,7
04.10.1965 12:00:00;  3,00
01.11.1965 12:00:00;  1,54
16.12.1965 12:00:00;  2,64
01.01.1966 12:00:00;  1,09
09.02.1966 12:00:00;  4,80
12.03.1966 12:00:00;  1,19
30.04.1966 12:00:00;  21,0
17.05.1966 12:00:00;  29,5
28.06.1966 12:00:00;  36,6
06.07.1966 12:00:00;  44,0
04.08.1966 12:00:00;  33,9
01.09.1966 12:00:00;  11,4
13.10.1966 12:00:00;  6,87
10.11.1966 12:00:00;  3,12
04.12.1966 12:00:00;  1,04
27.01.1967 12:00:00;  1,22
21.02.1967 12:00:00;  1,95
11.03.1967 12:00:00;  2,74
18.04.1967 12:00:00;  7,90
14.05.1967 12:00:00;  33,2
25.06.1967 12:00:00;  35,0
02.07.1967 12:00:00;  34,5
10.08.1967 12:00:00;  20,4
15.09.1967 12:00:00;  13,5
07.10.1967 12:00:00;  6,87
17.11.1967 12:00:00;  6,52
24.12.1967 12:00:00;  2,55
27.01.1968 12:00:00;  5,10
01.02.1968 12:00:00; 0,790
31.03.1968 12:00:00;  4,80
23.04.1968 12:00:00;  21,6
30.05.1968 12:00:00;  36,0
07.06.1968 12:00:00;  26,9
11.07.1968 12:00:00;  22,1
15.08.1968 12:00:00;  30,8
22.09.1968 12:00:00;  24,2
02.10.1968 12:00:00;  20,4
24.11.1968 12:00:00;  3,50
01.12.1968 12:00:00;  1,22
09.01.1969 12:00:00; 0,960
02.02.1969 12:00:00; 0,710
18.03.1969 12:00:00;  1,22
30.04.1969 12:00:00;  13,5
14.05.1969 12:00:00;  27,0
11.06.1969 12:00:00;  13,6
27.07.1969 12:00:00;  15,1
18.08.1969 12:00:00;  27,0
02.09.1969 12:00:00;  12,2
03.10.1969 12:00:00;  1,86
13.11.1969 12:00:00;  1,86
05.12.1969 12:00:00;  1,10
01.01.1970 12:00:00; 0,990
24.02.1970 12:00:00; 0,990
05.03.1970 12:00:00;  4,30
26.04.1970 12:00:00;  5,23
26.05.1970 12:00:00;  12,7
16.06.1970 12:00:00;  35,6
25.07.1970 12:00:00;  30,8
10.08.1970 12:00:00;  56,0
12.09.1970 12:00:00;  21,1
03.10.1970 12:00:00;  23,4
04.11.1970 12:00:00;  5,85
01.12.1970 12:00:00;  2,34
08.01.1971 12:00:00; 0,880
21.02.1971 12:00:00; 0,780
12.03.1971 12:00:00; 0,880
24.04.1971 12:00:00;  15,1
09.05.1971 12:00:00;  17,7
20.06.1971 12:00:00;  42,0
01.07.1971 12:00:00;  12,2
12.08.1971 12:00:00;  16,2
01.09.1971 12:00:00;  7,56
01.10.1971 12:00:00;  4,44
01.11.1971 12:00:00;  1,45
21.12.1971 12:00:00;  2,25
03.01.1972 12:00:00;  1,04
26.02.1972 12:00:00; 0,780
25.03.1972 12:00:00;  3,50
04.04.1972 12:00:00;  8,66
27.05.1972 12:00:00;  19,3
30.06.1972 12:00:00;  16,7
25.07.1972 12:00:00;  16,2
04.08.1972 12:00:00;  16,2
11.09.1972 12:00:00;  10,4
28.10.1972 12:00:00;  3,85
15.11.1972 12:00:00;  22,0
03.12.1972 12:00:00; 0,940
14.01.1973 12:00:00; 0,890
03.02.1973 12:00:00; 0,770
29.03.1973 12:00:00;  1,76
30.04.1973 12:00:00;  11,3
05.05.1973 12:00:00;  28,0
02.06.1973 12:00:00;  21,8
18.07.1973 12:00:00;  21,8
31.08.1973 12:00:00;  14,8
01.09.1973 12:00:00;  10,7
09.10.1973 12:00:00;  6,26
16.11.1973 12:00:00;  10,3
09.12.1973 12:00:00;  1,20
18.01.1974 12:00:00;  1,40
03.02.1974 12:00:00; 0,940
30.03.1974 12:00:00;  4,94
14.04.1974 12:00:00;  8,54
30.05.1974 12:00:00;  22,8
29.06.1974 12:00:00;  32,1
25.07.1974 12:00:00;  45,0
01.08.1974 12:00:00;  19,2
04.09.1974 12:00:00;  6,65
01.10.1974 12:00:00;  4,50
05.11.1974 12:00:00;  2,58
29.12.1974 12:00:00;  7,15
01.01.1975 12:00:00;  2,89
25.02.1975 12:00:00;  2,35
03.03.1975 12:00:00;  1,70
29.04.1975 12:00:00;  9,42
22.05.1975 12:00:00;  37,1
27.06.1975 12:00:00;  37,8
19.07.1975 12:00:00;  62,0
19.08.1975 12:00:00;  30,8
01.09.1975 12:00:00;  17,8
02.10.1975 12:00:00;  2,86
03.11.1975 12:00:00;  1,86
05.12.1975 12:00:00;  1,26
31.01.1976 23:59:55;  1,65
01.02.1976 07:00:00;  1,65
31.03.1976 21:00:00;  2,80
20.04.1976 19:00:00;  10,9
07.05.1976 19:00:00;  35,6
01.06.1976 21:00:00;  69,8
27.07.1976 03:00:00;  28,6
01.08.1976 09:00:00;  24,0
03.09.1976 05:00:00;  14,1
05.10.1976 17:00:00;  5,47
15.11.1976 00:00:00;  2,07
27.12.1976 15:00:00;  2,07
01.01.1977 00:00:00;  1,72
06.02.1977 03:00:00;  1,95
04.03.1977 12:00:00;  7,14
28.04.1977 22:00:00;  14,5
04.05.1977 14:00:00;  30,0
23.06.1977 22:00:00;  29,5
31.07.1977 22:00:00;  72,7
01.08.1977 00:00:00;  67,4
09.09.1977 08:00:00;  8,92
10.10.1977 22:00:00;  2,77
03.11.1977 00:00:00;  17,8
25.12.1977 03:00:00;  8,35
02.01.1978 04:00:00;  1,43
24.02.1978 22:00:00;  1,54
31.03.1978 23:59:55;  2,05
30.04.1978 23:59:55;  4,87
31.05.1978 20:00:00;  23,6
10.06.1978 10:00:00;  71,9
18.07.1978 22:00:00;  41,0
08.08.1978 03:00:00;  56,4
08.09.1978 07:00:00;  48,0
27.10.1978 00:00:00;  7,72
01.11.1978 14:00:00;  2,39
09.12.1978 01:00:00;  5,81
01.01.1979 00:00:00;  1,42
12.02.1979 15:00:00;  1,15
12.03.1979 22:00:00;  2,75
16.04.1979 23:00:00;  3,28
20.05.1979 16:00:00;  66,2
14.06.1979 01:00:00;  48,4
10.07.1979 04:00:00;  49,2
03.08.1979 21:00:00;  18,6
21.09.1979 21:00:00;  15,4
17.10.1979 08:00:00;  7,43
27.11.1979 19:00:00;  22,8
11.12.1979 11:00:00;  8,40
04.01.1980 17:00:00;  1,35
05.02.1980 15:00:00;  2,60
29.03.1980 05:00:00;  2,10
02.04.1980 00:00:00;  15,6
27.05.1980 21:00:00;  30,0
04.06.1980 09:00:00;  84,3
21.07.1980 02:00:00;  46,2
04.08.1980 21:00:00;  25,0
01.09.1980 07:00:00;  31,2
17.10.1980 15:00:00;  42,0
15.11.1980 21:00:00;  7,80
01.12.1980 00:00:00;  1,59
11.01.1981 03:00:00;  1,23
01.02.1981 17:00:00;  1,08
25.03.1981 19:00:00;  21,7
16.04.1981 22:00:00;  16,5
21.05.1981 22:00:00;  32,1
10.06.1981 07:00:00;  44,2
21.07.1981 12:00:00;  60,3
23.08.1981 14:00:00;  34,7
23.09.1981 12:00:00;  20,6
15.10.1981 07:00:00;  83,5
01.11.1981 01:00:00;  10,8
13.12.1981 13:00:00; 0,922
23.01.1982 21:00:00; 0,876
12.02.1982 15:00:00;  1,45
31.03.1982 14:00:00;  2,80
10.04.1982 21:00:00;  6,96
24.05.1982 01:00:00;  57,6
17.06.1982 03:00:00;  92,6
04.07.1982 09:00:00;  38,7
28.08.1982 20:00:00;  23,9
01.09.1982 00:00:00;  13,2
14.10.1982 02:00:00;  14,6
03.11.1982 12:00:00;  1,67
16.12.1982 17:00:00;  5,23
05.01.1983 23:00:00;  5,17
04.02.1983 22:00:00;  1,47
14.03.1983 01:00:00;  2,09
21.04.1983 23:00:00;  28,0
16.05.1983 18:00:00;  45,1
14.06.1983 12:00:00;  35,0
04.07.1983 19:00:00;  22,4
03.08.1983 04:00:00;  27,8
02.09.1983 07:00:00;  32,9
10.10.1983 04:00:00;  18,0
27.11.1983 03:00:00;  40,1
24.12.1983 04:00:00;  40,6
05.01.1984 06:45:00;  3,13
08.02.1984 14:15:00;  1,51
28.03.1984 15:00:00; 0,987
24.04.1984 16:45:00;  5,33
05.05.1984 19:45:00;  17,3
03.06.1984 16:15:00;  19,7
03.07.1984 08:45:00;  13,8
13.08.1984 21:45:00;  27,4
17.09.1984 15:45:00;  24,0
02.10.1984 04:45:00;  10,3
23.11.1984 10:30:00;  8,98
01.12.1984 00:00:00;  1,87
05.01.1985 19:00:00;  1,50
03.02.1985 08:30:00;  3,21
15.03.1985 14:45:00; 0,847
21.04.1985 19:45:00;  6,41
27.05.1985 19:45:00;  27,3
07.06.1985 19:00:00;  39,3
06.07.1985 21:15:00;  40,1
06.08.1985 10:15:00;  65,3
06.09.1985 10:45:00;  14,7
02.10.1985 06:45:00;  2,08
09.11.1985 01:15:00;  3,94
04.12.1985 23:00:00;  1,40
14.01.1986 05:15:00;  1,16
09.02.1986 13:15:00; 0,745
25.03.1986 02:45:00;  1,87
30.04.1986 19:45:00;  9,34
21.05.1986 20:45:00;  52,5
24.06.1986 01:45:00;  29,1
06.07.1986 17:15:00;  53,4
23.08.1986 12:00:00;  19,3
17.09.1986 19:00:00;  6,84
22.10.1986 13:15:00;  13,2
01.11.1986 00:00:00;  3,00
17.12.1986 11:45:00;  1,40
02.01.1987 11:30:00;  2,77
28.02.1987 11:30:00;  1,15
02.03.1987 18:15:00;  2,89
29.04.1987 21:15:00;  11,7
27.05.1987 21:15:00;  20,1
25.06.1987 02:00:00;  47,8
02.07.1987 11:30:00;  68,3
02.08.1987 23:30:00;  66,0
26.09.1987 22:15:00;  26,3
01.10.1987 00:00:00;  3,13
17.11.1987 02:45:00;  2,51
19.12.1987 06:00:00;  33,5
03.01.1988 03:00:00;  1,96
08.02.1988 21:30:00;  2,30
01.03.1988 17:00:00;  2,22
30.04.1988 22:30:00;  13,5
09.05.1988 01:00:00;  31,4
28.06.1988 21:00:00;  18,5
14.07.1988 07:00:00;  39,6
20.08.1988 21:45:00;  82,7
02.09.1988 20:30:00;  18,6
07.10.1988 17:15:00;  5,99
13.11.1988 20:45:00;  3,31
05.12.1988 05:30:00;  16,2
01.01.1989 00:00:00;  1,34
19.02.1989 14:30:00;  2,80
30.03.1989 18:45:00;  6,91
12.04.1989 21:15:00;  8,87
23.05.1989 19:45:00;  21,0
23.06.1989 02:30:00;  27,8
07.07.1989 10:30:00;  22,7
08.08.1989 23:00:00;  18,8
03.09.1989 04:45:00;  10,6
30.10.1989 22:45:00;  4,91
01.11.1989 00:00:00;  3,91
19.12.1989 06:30:00;  2,95
06.01.1990 12:30:00;  1,60
15.02.1990 14:00:00;  10,2
21.03.1990 23:00:00;  5,60
30.04.1990 21:15:00;  6,91
17.05.1990 16:00:00;  19,7
06.06.1990 03:30:00;  25,2
08.07.1990 09:00:00;  43,8
13.08.1990 19:30:00;  29,4
24.09.1990 08:45:00;  38,0
04.10.1990 18:00:00;  8,12
18.11.1990 10:30:00;  5,13
01.12.1990 00:00:00;  1,41
03.01.1991 04:30:00;  5,36
27.02.1991 22:30:00;  1,17
20.03.1991 17:30:00;  5,03
16.04.1991 21:15:00;  5,03
23.05.1991 10:30:00;  9,87
17.06.1991 03:15:00;  41,6
14.07.1991 22:15:00;  49,0
01.08.1991 08:45:00;  19,4
23.09.1991 08:30:00;  10,2
01.10.1991 00:00:00;  6,63
08.11.1991 19:00:00;  1,51
22.12.1991 19:45:00;  5,60
22.01.1992 13:30:00; 0,916
05.02.1992 11:15:00;  1,38
11.03.1992 01:45:00;  1,13
26.04.1992 21:30:00;  12,4
15.05.1992 18:15:00;  37,3
03.06.1992 18:30:00;  27,0
11.07.1992 12:30:00;  24,7
22.08.1992 19:45:00;  15,7
04.09.1992 04:00:00;  12,5
29.10.1992 08:15:00;  3,25
22.11.1992 23:30:00;  21,5
01.12.1992 00:00:00;  4,81
12.01.1993 18:30:00;  1,48
16.02.1993 14:45:00;  1,06
19.03.1993 21:00:00;  3,38
27.04.1993 18:45:00;  18,1
30.05.1993 23:00:00;  18,7
17.06.1993 18:30:00;  68,1
15.07.1993 08:30:00;  60,5
24.08.1993 14:00:00;  17,3
04.09.1993 03:00:00;  11,2
09.10.1993 17:15:00;  3,38
06.11.1993 16:15:00;  4,05
20.12.1993 08:15:00;  18,7
29.01.1994 00:15:00;  2,11
24.02.1994 15:00:00;  1,06
25.03.1994 10:00:00;  7,87
30.04.1994 17:30:00;  9,89
25.05.1994 18:45:00;  24,7
09.06.1994 10:15:00;  17,0
07.07.1994 04:30:00;  28,5
11.08.1994 02:30:00;  16,3
02.09.1994 01:45:00;  9,11
04.10.1994 05:15:00;  4,90
20.11.1994 08:00:00;  8,47
10.12.1994 07:00:00;  4,70
26.01.1995 04:00:00;  3,76
25.02.1995 21:45:00;  1,28
26.03.1995 10:45:00;  1,37
22.04.1995 19:45:00;  8,16
26.05.1995 18:15:00;  29,4
01.06.1995 05:30:00;  31,0
14.07.1995 22:00:00;  20,1
28.08.1995 04:30:00;  20,1
08.09.1995 00:45:00;  25,6
01.10.1995 21:15:00;  6,36
17.11.1995 07:00:00;  2,89
24.12.1995 04:00:00;  1,54
01.01.1996 00:00:00;  1,02
01.02.1996 16:00:00; 0,805
26.03.1996 11:00:00;  3,04
23.04.1996 14:30:00;  9,67
27.05.1996 12:15:00;  23,3
21.06.1996 23:45:00;  27,4
06.07.1996 00:00:00;  29,0
28.08.1996 07:00:00;  22,9
19.09.1996 17:45:00;  7,20
21.10.1996 19:45:00;  53,7
01.11.1996 18:45:00;  5,35
03.12.1996 09:15:00;  1,45
01.01.1997 00:00:05; 0,961
27.02.1997 00:55:40;  1,18
12.03.1997 20:06:50;  3,96
29.04.1997 02:57:15;  4,58
16.05.1997 17:30:10;  33,1
28.06.1997 05:06:10;  27,2
06.07.1997 10:12:20;  36,0
07.08.1997 19:17:50;  33,1
01.09.1997 00:00:00;  7,68
12.10.1997 07:20:05;  24,4
07.11.1997 08:14:55;  2,35
12.12.1997 03:46:40;  7,26
13.01.1998 07:20:10;  1,16
28.02.1998 01:37:35;  1,42
31.03.1998 21:19:35;  4,32
27.04.1998 18:23:45;  11,7
12.05.1998 16:50:20;  17,7
27.06.1998 18:54:30;  15,2
27.07.1998 18:46:15;  14,5
23.08.1998 01:56:15;  43,4
17.09.1998 06:29:10;  16,1
25.10.1998 11:01:05;  18,0
10.11.1998 16:04:45;  16,4
13.12.1998 18:33:55;  3,34
07.01.1999 10:31:15;  1,21
01.02.1999 00:22:35;  1,04
31.03.1999 23:59:55;  1,71
30.04.1999 02:53:00;  14,1
12.05.1999 07:29:50;  71,2
03.06.1999 01:05:50;  81,0
12.07.1999 15:13:10;  29,3
10.08.1999 12:19:30;  70,5
26.09.1999 19:43:30;  38,9
01.10.1999 00:00:00;  15,6
01.11.1999 00:00:00;  1,67
19.12.1999 12:10:50;  3,84
04.01.2000 15:54:55;  1,19
09.02.2000 12:17:05;  1,63
09.03.2000 18:11:45;  3,85
28.04.2000 20:06:50;  19,8
31.05.2000 14:04:30;  56,8
01.06.2000 00:00:00;  27,3
24.07.2000 23:40:05;  65,4
06.08.2000 08:20:25;   101
21.09.2000 07:50:40;  24,4
02.10.2000 20:45:05;  5,24
28.11.2000 19:05:55;  3,30
01.12.2000 00:09:55;  1,91
11.01.2001 17:43:20; 0,868
08.02.2001 03:46:25;  1,16
24.03.2001 23:54:55;  9,50
30.04.2001 19:39:50;  10,7
29.05.2001 18:39:35;  25,5
10.06.2001 13:16:40;  44,7
20.07.2001 12:51:10;  41,4
10.08.2001 05:34:10;  24,5
09.09.2001 01:26:15;  68,6
02.10.2001 16:39:25;  6,48
08.11.2001 19:56:55;  2,91
02.12.2001 02:30:30;  3,52
27.01.2002 22:31:05;  3,15
13.02.2002 09:55:05;  1,21
20.03.2002 00:22:55;  57,3
27.04.2002 03:18:20;  14,6
19.05.2002 00:23:50;  34,8
07.06.2002 14:00:40;  33,0
04.07.2002 04:33:15;  59,3
12.08.2002 01:34:30;   131
22.09.2002 08:11:05;  19,5
25.10.2002 22:26:15;  15,3
03.11.2002 21:15:25;  39,9
23.12.2002 03:50:15;  9,35
02.01.2003 17:51:20;  2,41
02.02.2003 08:20:05;  1,22
29.03.2003 22:00:00;  4,08
30.04.2003 22:54:05;  20,4
19.05.2003 22:30:55;  28,9
13.06.2003 01:03:50;  21,3
24.07.2003 19:49:55;  15,2
29.08.2003 21:19:50;  27,5
11.09.2003 10:36:40;  12,0
09.10.2003 08:49:30;  38,0
01.11.2003 11:13:50;  2,85
16.12.2003 10:48:40;  2,16
14.01.2004 04:31:10;  4,95
23.02.2004 18:03:30;  1,42
21.03.2004 20:42:10;  4,15
29.04.2004 17:47:55;  14,4
21.05.2004 21:46:50;  28,0
11.06.2004 21:45:25;  36,7
09.07.2004 05:49:20;  23,7
26.08.2004 15:53:35;  30,4
24.09.2004 01:49:25;  55,5
19.10.2004 23:47:05;  11,3
01.11.2004 00:00:00;  1,87
07.12.2004 00:23:25;  1,17
22.01.2005 13:32:50;  1,02
28.02.2005 11:33:35;  2,30
23.03.2005 20:27:35;  3,90
30.04.2005 19:15:00;  21,3
03.05.2005 21:45:00;  52,3
25.06.2005 18:00:00;  38,5
01.07.2005 20:30:00;  32,5
23.08.2005 00:57:40;   141
29.09.2005 22:45:00;  8,32
02.10.2005 16:15:00;  8,93
01.11.2005 17:30:00;  1,40
31.12.2005 11:45:00; 0,768
18.01.2006 12:15:00;  1,28
16.02.2006 17:00:00;  1,14
31.03.2006 18:30:00;  9,11
28.04.2006 20:30:00;  12,8
28.05.2006 22:30:00;  53,5
18.06.2006 01:15:00;  22,0
08.07.2006 09:00:00;  9,60
07.08.2006 11:30:00;  30,7
17.09.2006 22:30:00;  13,8
03.10.2006 22:45:00;  24,2
14.11.2006 14:30:00;  14,9
05.12.2006 02:30:00;  2,11
19.01.2007 11:30:00;  26,7
28.02.2007 15:15:00;  2,07
18.03.2007 21:00:00;  2,90
16.04.2007 18:15:00;  9,31
09.05.2007 02:45:00;  24,7
26.06.2007 02:45:00;  13,5
09.07.2007 18:00:00;  25,8
30.08.2007 04:45:00;  15,4
04.09.2007 01:00:00;  18,3
01.10.2007 00:00:00;  3,66
22.11.2007 18:00:00;  2,55
07.12.2007 17:15:00;  4,52
07.01.2008 18:30:00;  1,43
29.02.2008 23:15:00;  2,38
01.03.2008 15:15:00;  4,50
28.04.2008 20:00:00;  14,3
28.05.2008 20:00:00;  36,8
02.06.2008 19:45:00;  21,1
13.07.2008 11:00:00;  41,1
15.08.2008 22:45:00;  16,8
14.09.2008 15:15:00;  6,59
16.10.2008 21:00:00;  5,06
01.11.2008 22:00:00;  1,96
21.12.2008 14:00:00;  1,40
01.01.2009 02:00:00; 0,960
20.02.2009 06:18:00; 0,863
31.03.2009 22:20:20; 0,960
21.04.2009 19:51:35;  9,64
13.05.2009 21:00:00;  24,6
06.06.2009 18:45:00;  25,5
24.07.2009 21:15:00;  22,4
04.08.2009 05:15:00;  10,3
05.09.2009 00:15:00;  11,3
12.10.2009 06:30:00;  6,39
18.11.2009 10:15:00;  7,49
07.12.2009 23:45:00;  2,22
01.01.2010 00:00:00;  1,43
03.02.2010 15:15:00;  1,09
25.03.2010 20:00:00;  5,07
29.04.2010 19:15:00;  17,0
31.05.2010 02:45:00;  29,2
03.06.2010 05:45:00;  19,7
24.07.2010 12:30:00;  19,2
28.08.2010 10:00:00;  38,7
01.09.2010 00:00:00;  12,3
31.10.2010 19:15:00;  3,38
12.11.2010 17:30:00;  20,2
09.12.2010 03:20:00;  2,73
13.01.2011 14:30:00;  6,78
07.02.2011 21:45:00; 0,984
31.03.2011 23:20:00;  4,21
08.04.2011 21:05:00;  13,2
31.05.2011 23:35:00;  17,9
18.06.2011 17:45:00;  32,9
20.07.2011 19:00:00;  19,4
07.08.2011 19:45:00;  15,4
18.09.2011 13:45:00;  10,6
10.10.2011 14:25:00;  42,3
01.11.2011 01:40:00;  1,98
05.12.2011 06:10:00;  1,52
20.01.2012 08:45:00;  1,57
16.02.2012 12:50:00;  1,06
29.03.2012 00:00:00;  4,89
29.04.2012 18:50:00;  30,1
24.05.2012 03:25:00;  26,3
01.06.2012 08:45:00;  35,8
15.07.2012 10:10:00;  13,2
26.08.2012 00:30:00;  42,6
24.09.2012 17:05:00;  22,6
09.10.2012 23:40:00;  44,0
10.11.2012 19:20:00;  5,38
23.12.2012 16:20:00;  3,36
31.01.2013 02:30:00;  4,04
02.02.2013 05:50:00;  2,50
09.03.2013 04:35:00;  1,26
27.04.2013 19:55:00;  17,1
03.05.2013 20:45:00;  20,5
02.06.2013 02:50:00;  25,0
03.07.2013 18:40:00;  14,5
03.08.2013 20:20:00;  22,9
19.09.2013 05:35:00;  42,3
