Messstelle:                ;Bernhardsthal (Staatsgrenzpunkt IX)
23.04.2014 15:15:00;  20,1
31.05.2014 10:45:00;  29,7
01.06.2014 00:00:00;  28,8
09.07.2014 01:00:00;  12,4
04.08.2014 21:30:00;  54,2
15.09.2014 07:45:00;   196
04.10.2014 01:45:00;  89,7
22.11.2014 01:45:00;  75,1
08.12.2014 13:30:00;  74,0
11.01.2015 20:00:00;   126
16.02.2015 18:00:00;  63,7
03.03.2015 05:30:00;  52,1
03.04.2015 21:30:00;  95,9
16.05.2015 10:30:00;  31,7
01.06.2015 11:00:00;  23,7
01.07.2015 14:15:00;  14,9
21.08.2015 09:30:00;  32,1
08.09.2015 13:00:00;  23,2
19.10.2015 20:00:00;  32,6
22.11.2015 14:15:00;  28,3
04.12.2015 11:30:00;  32,1
27.01.2016 17:30:00;  32,1
22.02.2016 09:30:00;  91,9
11.03.2016 16:15:00;  98,8
11.04.2016 20:15:00;  61,1
30.05.2016 07:00:00;  75,1
06.06.2016 21:15:00;  22,8
15.07.2016 06:45:00;  33,1
01.08.2016 20:15:00;  42,4
02.09.2016 19:15:00;  15,3
13.10.2016 15:00:00;  27,9
19.11.2016 12:00:00;  28,3
21.12.2016 10:15:00;  17,5
09.01.2017 11:00:00;  23,2
23.02.2017 08:30:00;  65,9
28.03.2017 23:15:00;  94,8
28.04.2017 12:15:00;  26,5
03.05.2017 19:45:00;  31,7
16.06.2017 16:00:00;  15,7
11.07.2017 10:30:00;  14,5
11.08.2017 09:30:00;  13,6
03.09.2017 12:45:00;  13,2
29.10.2017 23:45:00;  15,3
30.11.2017 20:14:40;  32,8
01.12.2017 10:59:40;  33,2
12.01.2018 11:45:00;  33,0
04.02.2018 14:30:00;  37,0
16.03.2018 12:30:00;  31,2
02.04.2018 18:30:00;  30,7
03.05.2018 13:00:00;  12,4
28.06.2018 10:15:00;  14,5
06.07.2018 19:15:00;  15,7
01.08.2018 19:45:00;  12,4
03.09.2018 08:30:00;  14,0
14.10.2018 17:00:00;  12,4
07.11.2018 14:15:00;  13,2
11.12.2018 13:00:00;  11,2
24.01.2019 10:30:00;  35,0
03.02.2019 22:45:00;  54,7
20.03.2019 02:15:00;  71,3
06.04.2019 23:45:00;  34,1
29.05.2019 21:15:00;  55,8
24.06.2019 19:30:00;  74,0
22.07.2019 18:45:00;  17,9
19.08.2019 13:15:00;  16,2
12.09.2019 09:00:00;  22,8
19.10.2019 09:15:00;  32,1
14.11.2019 18:15:00;  35,0
23.12.2019 17:15:00;  39,4
17.01.2020 19:15:00;  22,3
05.02.2020 11:15:00;  38,5
04.03.2020 09:15:00;   101
01.04.2020 00:00:00;  18,8
25.05.2020 13:30:00;  14,0
30.06.2020 22:45:00;   127
01.07.2020 23:00:00;   129
06.08.2020 05:45:00;   150
07.09.2020 00:15:00;   103
16.10.2020 06:30:00;   242
04.11.2020 06:00:00;  96,5
29.12.2020 20:45:00;  65,9
30.01.2021 06:00:00;  93,6
07.02.2021 23:45:00;   165
01.03.2021 00:30:00;  80,1
03.04.2021 12:45:00;  39,9
17.05.2021 07:15:00;   107
28.06.2021 08:45:00;  65,3
20.07.2021 09:30:00;  59,5
09.08.2021 14:00:00;  71,3
17.09.2021 15:00:00;  31,7
12.10.2021 17:00:00;  40,9
05.11.2021 18:30:00;  24,2
31.12.2021 16:45:00;  29,3
