Messstelle:                ;Brückl
03.01.1959 12:00:00;  4,00
01.02.1959 12:00:00;  2,62
27.03.1959 12:00:00;  5,26
10.04.1959 12:00:00;  9,14
01.05.1959 12:00:00;  8,00
30.06.1959 12:00:00;  9,90
16.07.1959 12:00:00;  8,00
16.08.1959 12:00:00;  10,9
01.09.1959 12:00:00;  6,25
29.10.1959 12:00:00;  13,0
16.11.1959 12:00:00;  6,25
01.12.1959 12:00:00;  5,43
30.01.1960 12:00:00;  3,72
23.02.1960 12:00:00;  4,60
17.03.1960 12:00:00;  4,60
15.04.1960 12:00:00;  4,60
15.05.1960 12:00:00;  8,95
29.06.1960 12:00:00;  9,90
09.07.1960 12:00:00;  11,8
31.08.1960 12:00:00;  7,13
06.09.1960 12:00:00;  13,8
17.10.1960 12:00:00;  9,90
07.11.1960 12:00:00;  8,95
18.12.1960 12:00:00;  9,90
04.01.1961 12:00:00;  7,13
28.02.1961 12:00:00;  3,72
21.03.1961 12:00:00;  3,72
27.04.1961 12:00:00;  4,00
17.05.1961 12:00:00;  5,43
23.06.1961 12:00:00;  7,13
05.07.1961 12:00:00;  7,13
16.08.1961 12:00:00;  5,43
08.09.1961 12:00:00;  4,60
18.10.1961 12:00:00;  21,0
13.11.1961 12:00:00;  13,8
12.12.1961 12:00:00;  6,60
03.01.1962 12:00:00;  4,60
11.02.1962 12:00:00;  2,62
06.03.1962 12:00:00;  5,43
26.04.1962 12:00:00;  6,25
14.05.1962 12:00:00;  11,8
21.06.1962 12:00:00;  11,4
29.07.1962 12:00:00;  19,0
01.08.1962 12:00:00;  9,90
07.09.1962 12:00:00;  13,8
29.10.1962 12:00:00;  4,60
06.11.1962 12:00:00;  5,92
13.12.1962 12:00:00;  4,60
07.01.1963 12:00:00;  3,18
20.02.1963 12:00:00;  2,62
31.03.1963 12:00:00;  5,43
26.04.1963 12:00:00;  9,90
01.05.1963 12:00:00;  9,90
15.06.1963 12:00:00;  14,0
03.07.1963 12:00:00;  6,25
29.08.1963 12:00:00;  11,8
09.09.1963 12:00:00;  11,8
05.10.1963 12:00:00;  5,43
02.11.1963 12:00:00;  11,8
05.12.1963 12:00:00;  5,43
31.01.1964 12:00:00;  2,15
27.02.1964 12:00:00;  2,62
29.03.1964 12:00:00;  3,85
22.04.1964 12:00:00;  6,25
05.05.1964 12:00:00;  6,25
16.06.1964 12:00:00;  6,25
10.07.1964 12:00:00;  20,0
19.08.1964 12:00:00;  12,5
21.09.1964 12:00:00;  8,00
27.10.1964 12:00:00;  17,9
01.11.1964 12:00:00;  10,9
02.12.1964 12:00:00;  9,90
12.01.1965 12:00:00;  4,38
02.02.1965 12:00:00;  3,65
25.03.1965 12:00:00;  5,44
28.04.1965 12:00:00;  6,46
31.05.1965 12:00:00;  18,3
01.06.1965 12:00:00;  17,5
05.07.1965 12:00:00;  23,0
02.08.1965 12:00:00;  51,0
03.09.1965 12:00:00;  14,2
01.10.1965 12:00:00;  9,32
29.11.1965 12:00:00;  6,80
01.12.1965 12:00:00;  5,10
27.01.1966 12:00:00;  3,00
23.02.1966 12:00:00;  6,15
08.03.1966 12:00:00;  4,18
30.04.1966 12:00:00;  5,34
11.05.1966 12:00:00;  6,15
25.06.1966 12:00:00;  6,15
16.07.1966 12:00:00;  6,15
19.08.1966 12:00:00;  11,0
01.09.1966 12:00:00;  9,80
18.10.1966 12:00:00;  5,34
05.11.1966 12:00:00;  6,15
03.12.1966 12:00:00;  6,74
16.01.1967 12:00:00;  3,11
05.02.1967 12:00:00;  3,35
11.03.1967 12:00:00;  4,37
15.04.1967 12:00:00;  6,60
19.05.1967 12:00:00;  8,24
04.06.1967 12:00:00;  4,81
21.07.1967 12:00:00;  11,0
17.08.1967 12:00:00;  18,5
09.09.1967 12:00:00;  16,2
05.10.1967 12:00:00;  9,80
05.11.1967 12:00:00;  13,8
03.12.1967 12:00:00;  3,95
29.01.1968 12:00:00;  2,78
26.02.1968 12:00:00;  4,42
30.03.1968 12:00:00;  7,24
07.04.1968 12:00:00;  6,13
21.05.1968 12:00:00;  6,50
21.06.1968 12:00:00;  12,9
17.07.1968 12:00:00;  13,5
18.08.1968 12:00:00;  13,3
30.09.1968 12:00:00;  12,9
01.10.1968 12:00:00;  7,80
18.11.1968 12:00:00;  12,2
04.12.1968 12:00:00;  4,92
17.01.1969 12:00:00;  3,64
11.02.1969 12:00:00;  3,49
16.03.1969 12:00:00;  6,50
28.04.1969 12:00:00;  9,60
04.05.1969 12:00:00;  8,78
07.06.1969 12:00:00;  17,2
29.07.1969 12:00:00;  21,0
22.08.1969 12:00:00;  12,0
16.09.1969 12:00:00;  11,1
01.10.1969 12:00:00;  7,05
15.11.1969 12:00:00;  11,3
04.12.1969 12:00:00;  5,78
01.01.1970 12:00:00;  3,49
06.02.1970 12:00:00;  3,49
28.03.1970 12:00:00;  7,61
27.04.1970 12:00:00;  12,2
16.05.1970 12:00:00;  16,0
17.06.1970 12:00:00;  11,5
30.07.1970 12:00:00;  14,0
09.08.1970 12:00:00;  16,5
04.09.1970 12:00:00;  11,7
03.10.1970 12:00:00;  7,80
22.11.1970 12:00:00;  6,68
01.12.1970 12:00:00;  4,42
20.01.1971 12:00:00;  2,78
03.02.1971 12:00:00;  3,35
23.03.1971 12:00:00;  8,00
17.04.1971 12:00:00;  5,96
04.05.1971 12:00:00;  5,44
03.06.1971 12:00:00;  6,86
19.07.1971 12:00:00;  4,42
31.08.1971 12:00:00;  9,00
25.09.1971 12:00:00;  5,44
15.10.1971 12:00:00;  2,75
12.11.1971 12:00:00;  5,96
08.12.1971 12:00:00;  2,15
07.01.1972 12:00:00;  2,15
19.02.1972 12:00:00;  4,25
11.03.1972 12:00:00;  3,77
22.04.1972 12:00:00;  12,9
27.05.1972 12:00:00;  23,0
02.06.1972 12:00:00;  18,3
17.07.1972 12:00:00;  18,6
01.08.1972 12:00:00;  10,1
11.09.1972 12:00:00;  5,95
09.10.1972 12:00:00;  8,78
18.11.1972 12:00:00;  7,24
09.12.1972 12:00:00;  6,13
28.01.1973 12:00:00;  2,40
10.02.1973 12:00:00;  4,11
27.03.1973 12:00:00;  4,11
10.04.1973 12:00:00;  11,7
05.05.1973 12:00:00;  9,39
23.06.1973 12:00:00;  25,0
07.07.1973 12:00:00;  22,2
04.08.1973 12:00:00;  6,68
25.09.1973 12:00:00;  23,7
01.10.1973 12:00:00;  18,4
03.11.1973 12:00:00;  8,00
22.12.1973 12:00:00;  10,6
09.01.1974 12:00:00;  4,42
16.02.1974 12:00:00;  5,95
27.03.1974 12:00:00;  7,61
07.04.1974 12:00:00;  7,05
20.05.1974 12:00:00;  7,42
29.06.1974 12:00:00;  13,5
31.07.1974 12:00:00;  7,80
11.08.1974 12:00:00;  11,1
25.09.1974 12:00:00;  12,9
20.10.1974 12:00:00;  8,00
16.11.1974 12:00:00;  4,59
22.12.1974 12:00:00;  4,11
31.01.1975 12:00:00;  3,35
08.02.1975 12:00:00;  4,26
20.03.1975 12:00:00;  17,2
07.04.1975 12:00:00;  14,5
08.05.1975 12:00:00;  15,5
30.06.1975 12:00:00;  23,0
16.07.1975 12:00:00;  18,3
25.08.1975 12:00:00;  17,0
07.09.1975 12:00:00;  9,19
04.10.1975 12:00:00;  7,42
01.11.1975 12:00:00;  4,92
01.12.1975 12:00:00;  7,05
12.01.1976 10:45:00;  3,80
13.02.1976 12:15:00;  4,62
31.03.1976 20:30:00;  3,24
08.04.1976 02:15:00;  4,75
27.05.1976 20:00:00;  9,10
02.06.1976 14:15:00;  5,07
27.07.1976 16:00:00;  9,14
31.08.1976 15:15:00;  5,72
11.09.1976 07:15:00;  9,45
30.10.1976 21:15:00;  14,6
02.11.1976 09:45:00;  5,72
02.12.1976 19:15:00;  7,50
02.01.1977 13:15:00;  4,62
23.02.1977 06:00:00;  8,25
29.03.1977 08:30:00;  7,44
11.04.1977 10:00:00;  7,68
14.05.1977 10:15:00;  11,6
22.06.1977 13:15:00;  9,99
26.07.1977 11:30:00;  12,6
19.08.1977 04:45:00;  8,46
02.09.1977 13:45:00;  7,58
11.10.1977 10:30:00;  5,78
14.11.1977 19:45:00;  3,97
25.12.1977 17:00:00;  3,74
07.01.1978 10:00:00;  5,83
27.02.1978 05:45:00;  4,29
04.03.1978 08:45:00;  4,89
08.04.1978 08:00:00;  6,68
29.05.1978 07:45:00;  9,56
25.06.1978 01:00:00;  12,5
19.07.1978 10:15:00;  27,0
03.08.1978 23:00:00;  19,2
30.09.1978 23:15:00;  10,8
01.10.1978 00:00:00;  9,15
04.11.1978 05:30:00;  4,00
13.12.1978 17:45:00;  5,67
29.01.1979 03:15:00;  7,86
10.02.1979 14:45:00;  3,89
16.03.1979 22:15:00;  14,6
17.04.1979 19:30:00;  8,86
20.05.1979 18:45:00;  15,8
15.06.1979 02:45:00;  18,1
22.07.1979 21:45:00;  22,8
08.08.1979 17:15:00;  10,1
24.09.1979 12:30:00;  17,2
02.10.1979 09:15:00;  6,68
10.11.1979 06:30:00;  11,3
12.12.1979 11:45:00;  5,19
07.01.1980 13:30:00;  3,85
25.02.1980 18:45:00;  3,59
30.03.1980 01:45:00;  3,62
17.04.1980 19:00:00;  3,69
28.05.1980 15:30:00;  7,32
24.06.1980 06:00:00;  10,0
21.07.1980 16:45:00;  12,5
30.08.1980 18:45:00;  14,0
10.09.1980 07:15:00;  13,3
08.10.1980 22:45:00;  21,3
27.11.1980 09:00:00;  9,04
19.12.1980 01:00:00;  9,12
01.01.1981 18:45:00;  5,06
14.02.1981 11:00:00;  4,35
13.03.1981 13:00:00;  7,95
27.04.1981 08:45:00;  8,15
23.05.1981 01:00:00;  13,0
18.06.1981 01:00:00;  17,0
19.07.1981 10:00:00;  27,3
21.08.1981 12:15:00;  17,3
01.09.1981 23:00:00;  9,57
22.10.1981 18:45:00;  14,9
01.11.1981 00:00:00;  4,60
07.12.1981 10:15:00;  7,35
01.01.1982 17:30:00;  9,90
19.02.1982 10:45:00;  3,66
03.03.1982 10:30:00;  3,67
09.04.1982 06:15:00;  4,77
11.05.1982 09:30:00;  9,55
27.06.1982 18:15:00;  11,7
16.07.1982 08:00:00;  10,4
15.08.1982 00:30:00;  15,3
08.09.1982 03:00:00;  22,0
06.10.1982 20:30:00;  23,1
14.11.1982 09:15:00;  11,1
18.12.1982 15:00:00;  11,6
06.01.1983 21:15:00;  4,67
01.02.1983 19:30:00;  4,00
22.03.1983 23:15:00;  6,18
12.04.1983 11:00:00;  7,21
09.05.1983 09:00:00;  12,8
03.06.1983 01:45:00;  11,8
01.07.1983 22:15:00;  10,9
02.08.1983 19:00:00;  14,5
17.09.1983 05:45:00;  19,9
17.10.1983 11:00:00;  13,7
27.11.1983 21:00:00;  6,48
20.12.1983 14:15:00;  4,06
02.01.1984 18:15:00;  2,45
25.02.1984 14:00:00;  2,61
30.03.1984 07:00:00;  5,08
03.04.1984 03:15:00;  6,11
21.05.1984 08:00:00;  19,9
22.06.1984 18:45:00;  8,32
26.07.1984 03:00:00;  8,59
10.08.1984 11:45:00;  6,40
24.09.1984 08:15:00;  13,7
05.10.1984 13:30:00;  8,87
16.11.1984 09:45:00;  3,31
01.12.1984 07:00:00;  2,63
25.01.1985 22:30:00;  2,21
10.02.1985 05:15:00;  2,52
25.03.1985 21:00:00;  3,72
10.04.1985 22:30:00;  4,92
07.05.1985 16:15:00;  19,3
09.06.1985 01:15:00;  21,8
19.07.1985 22:15:00;  10,7
18.08.1985 09:00:00;  17,4
02.09.1985 02:00:00;  11,8
31.10.1985 14:45:00;  4,60
11.11.1985 04:45:00;  8,15
30.12.1985 01:30:00;  3,88
03.01.1986 05:15:00;  2,39
01.02.1986 16:45:00;  3,41
29.03.1986 22:15:00;  4,12
29.04.1986 20:15:00;  11,2
30.05.1986 03:15:00;  15,6
15.06.1986 04:00:00;  18,9
14.07.1986 09:00:00;  9,81
28.08.1986 18:45:00;  27,5
10.09.1986 14:30:00;  11,2
23.10.1986 18:30:00;  9,81
23.11.1986 22:30:00;  5,83
01.12.1986 09:15:00;  4,33
02.01.1987 11:15:00;  2,58
23.02.1987 18:00:00;  2,93
29.03.1987 02:30:00;  6,72
23.04.1987 02:15:00;  8,08
06.05.1987 11:45:00;  14,6
16.06.1987 03:45:00;  12,1
26.07.1987 12:45:00;  13,1
05.08.1987 00:45:00;  20,2
06.09.1987 15:15:00;  7,29
12.10.1987 11:45:00;  5,32
25.11.1987 10:00:00;  7,29
01.12.1987 01:15:00;  3,55
07.01.1988 15:30:00;  3,42
07.02.1988 22:00:00;  4,54
23.03.1988 18:15:00;  5,66
24.04.1988 03:00:00;  7,10
03.05.1988 22:00:00;  7,10
06.06.1988 08:30:00;  10,7
30.07.1988 04:00:00;  9,81
21.08.1988 06:30:00;  15,1
14.09.1988 05:00:00;  19,3
06.10.1988 11:45:00;  7,68
13.11.1988 03:15:00;  3,82
02.12.1988 21:30:00;  6,72
28.01.1989 13:00:00;  2,70
25.02.1989 10:30:00;  2,59
21.03.1989 17:30:00;  3,13
14.04.1989 00:30:00;  4,10
17.05.1989 07:45:00;  6,31
27.06.1989 03:30:00;  5,18
04.07.1989 04:00:00;  12,1
19.08.1989 09:15:00;  16,3
03.09.1989 06:30:00;  16,6
01.10.1989 13:15:00;  7,48
06.11.1989 09:45:00;  9,15
19.12.1989 20:45:00;  5,32
29.01.1990 21:15:00;  3,06
27.02.1990 20:15:00;  3,16
25.03.1990 15:15:00;  3,25
08.04.1990 01:45:00;  4,85
11.05.1990 18:00:00;  3,85
18.06.1990 18:00:00;  9,01
02.07.1990 14:00:00;  11,4
15.08.1990 17:00:00;  10,4
24.09.1990 19:00:00;  8,56
27.10.1990 20:15:00;  13,1
01.11.1990 13:15:00;  11,6
10.12.1990 11:30:00;  6,44
01.01.1991 10:15:00;  2,88
28.02.1991 23:59:55;  1,96
26.03.1991 03:30:00;  5,68
03.04.1991 14:15:00;  5,27
11.05.1991 05:45:00;  22,8
23.06.1991 19:15:00;  9,95
18.07.1991 02:15:00;  13,0
26.08.1991 03:30:00;  19,3
23.09.1991 13:30:00;  6,33
01.10.1991 00:45:00;  7,20
20.11.1991 16:00:00;  7,43
09.12.1991 07:45:00;  4,25
14.01.1992 17:15:00;  2,23
29.02.1992 23:59:55;  2,39
24.03.1992 22:15:00;  6,98
29.04.1992 19:45:00;  8,78
01.05.1992 09:30:00;  8,56
12.06.1992 21:00:00;  9,01
12.07.1992 10:15:00;  5,06
04.08.1992 16:45:00;  8,10
05.09.1992 02:00:00;  6,54
05.10.1992 23:15:00;  10,4
04.11.1992 01:15:00;  11,6
06.12.1992 05:30:00;  10,5
15.01.1993 01:45:00;  3,06
20.02.1993 16:00:00;  3,65
24.03.1993 08:00:00;  3,85
11.04.1993 13:30:00;  2,71
07.05.1993 19:00:00;  4,05
04.06.1993 15:15:00;  4,45
20.07.1993 18:00:00;  10,2
26.08.1993 00:15:00;  7,43
29.09.1993 16:30:00;  6,98
24.10.1993 00:30:00;  32,0
06.11.1993 08:00:00;  13,3
13.12.1993 16:45:00;  7,65
19.01.1994 17:30:00;  4,75
11.02.1994 18:45:00;  3,65
14.03.1994 17:30:00;  4,65
17.04.1994 18:45:00;  7,87
19.05.1994 19:30:00;  7,65
05.06.1994 11:15:00;  6,98
07.07.1994 10:30:00;  8,33
29.08.1994 23:15:00;  12,6
14.09.1994 23:15:00;  15,4
04.10.1994 22:30:00;  14,9
11.11.1994 10:15:00;  13,8
01.12.1994 07:30:00;  6,54
27.01.1995 04:45:00;  3,45
05.02.1995 03:30:00;  3,85
27.03.1995 19:00:00;  5,27
25.04.1995 09:15:00;  9,95
30.05.1995 20:30:00;  9,48
11.06.1995 13:45:00;  9,48
15.07.1995 16:00:00;  13,3
28.08.1995 13:30:00;  8,56
14.09.1995 22:30:00;  10,4
09.10.1995 15:45:00;  4,05
10.11.1995 10:15:00;  4,05
04.12.1995 07:15:00;  4,25
13.01.1996 11:15:00;  4,45
20.02.1996 19:30:00;  3,65
25.03.1996 19:45:00;  3,45
26.04.1996 13:00:00;  4,45
13.05.1996 15:15:00;  10,4
22.06.1996 19:45:00;  14,1
03.07.1996 04:00:00;  14,1
08.08.1996 01:15:00;  9,18
23.09.1996 15:30:00;  6,33
06.10.1996 19:30:00;  10,2
18.11.1996 18:00:00;  9,25
03.12.1996 07:15:00;  6,54
04.01.1997 14:50:30;  3,56
26.02.1997 20:34:05;  3,47
07.03.1997 00:25:50;  3,47
29.04.1997 11:53:10;  3,07
08.05.1997 22:52:35;  3,86
23.06.1997 08:30:00;  12,6
24.07.1997 20:38:15;  7,68
29.08.1997 09:27:05;  12,1
07.09.1997 22:19:25;  8,78
11.10.1997 16:24:35;  4,11
08.11.1997 13:58:10;  6,23
01.12.1997 19:47:55;  3,98
01.01.1998 00:00:05;  2,46
17.02.1998 07:33:50;  2,07
12.03.1998 15:55:15;  2,06
29.04.1998 01:54:40;  4,71
18.05.1998 08:21:50;  4,50
04.06.1998 19:46:40;  7,02
14.07.1998 19:25:25;  21,9
18.08.1998 20:42:30;  18,8
05.09.1998 21:57:05;  21,3
06.10.1998 12:04:15;  23,4
04.11.1998 23:16:25;  11,5
04.12.1998 20:56:10;  4,19
16.01.1999 19:09:30;  3,97
27.02.1999 23:19:45;  2,71
26.03.1999 17:32:10;  3,83
17.04.1999 03:00:55;  4,68
14.05.1999 18:02:00;  12,4
21.06.1999 19:28:05;  8,69
23.07.1999 01:35:30;  30,6
17.08.1999 01:09:20;  18,6
04.09.1999 15:13:10;  13,4
04.10.1999 07:35:50;  24,6
22.11.1999 16:40:25;  7,05
21.12.1999 11:00:50;  3,66
03.01.2000 19:32:30;  2,85
18.02.2000 18:03:40;  2,70
29.03.2000 18:45:00;  8,33
24.04.2000 23:45:00;  13,1
12.05.2000 20:45:00;  9,72
25.06.2000 06:45:00;  18,2
28.07.2000 19:45:00;  9,25
06.08.2000 05:15:00;  9,95
17.09.2000 00:15:00;  9,01
07.10.2000 14:45:00;  8,56
17.11.2000 22:30:00;  20,1
04.12.2000 20:00:00;  10,4
08.01.2001 15:00:00;  15,6
16.02.2001 09:15:00;  5,31
27.03.2001 01:00:00;  8,45
04.04.2001 16:45:00;  4,89
06.05.2001 18:30:00;  9,86
17.06.2001 16:45:00;  9,39
20.07.2001 11:30:00;  10,6
20.08.2001 21:00:00;  13,0
14.09.2001 22:30:00;  11,8
05.10.2001 02:45:00;  4,05
12.11.2001 15:30:00;  3,24
01.12.2001 20:00:00;  1,94
02.01.2002 16:10:55;  2,07
06.02.2002 10:47:50;  2,75
23.03.2002 20:30:05;  3,27
27.04.2002 10:15:00;  4,05
14.05.2002 22:45:00;  5,10
07.06.2002 15:45:00;  6,19
04.07.2002 13:15:00;  8,26
12.08.2002 09:45:00;  29,1
24.09.2002 16:00:00;  8,68
18.10.2002 09:45:00;  11,3
22.11.2002 10:30:00;  8,96
01.12.2002 00:00:00;  4,40
07.01.2003 04:45:00;  4,20
24.02.2003 09:25:00;  3,39
09.03.2003 09:15:00;  3,63
08.04.2003 11:45:00;  3,45
20.05.2003 19:15:00;  9,39
15.06.2003 02:15:00;  7,08
02.07.2003 06:45:00;  6,54
31.08.2003 13:30:00;  16,6
01.09.2003 06:45:00;  6,75
06.10.2003 06:45:00;  5,47
01.11.2003 23:00:00;  9,86
02.12.2003 15:45:00;  7,08
01.01.2004 00:00:00;  2,87
25.02.2004 17:15:00;  3,64
17.03.2004 18:45:00;  4,05
05.04.2004 14:45:00;  7,99
28.05.2004 18:30:00;  8,45
20.06.2004 15:00:00;  32,2
06.07.2004 18:30:00;  19,9
26.08.2004 13:30:00;  11,5
15.09.2004 22:15:00;  15,9
31.10.2004 19:30:00;  6,53
01.11.2004 00:00:00;  5,68
16.12.2004 15:45:00;  4,08
12.01.2005 10:00:00;  3,41
01.02.2005 19:30:00;  2,31
18.03.2005 17:45:00;  4,83
09.04.2005 19:15:00;  5,89
18.05.2005 17:45:00;  9,96
15.06.2005 19:45:00;  5,89
27.07.2005 01:16:30;  14,9
15.08.2005 01:58:30;  22,8
02.09.2005 17:15:00;  10,4
05.10.2005 12:45:00;  28,2
03.11.2005 19:30:00;  6,54
01.12.2005 08:00:00;  4,45
03.01.2006 19:13:00;  5,47
28.02.2006 23:59:55;  4,14
29.03.2006 04:45:00;  8,33
28.04.2006 07:15:00;  9,48
20.05.2006 11:15:00;  9,15
16.06.2006 20:00:00;  26,5
25.07.2006 14:15:00;  6,46
03.08.2006 21:30:00;  8,96
17.09.2006 01:15:00;  4,99
04.10.2006 10:00:00;  5,82
22.11.2006 12:00:00;  4,45
17.12.2006 21:30:00;  4,05
19.01.2007 18:45:00;  4,05
13.02.2007 00:45:00;  2,87
26.03.2007 12:45:00;  4,05
17.04.2007 15:45:00;  5,68
29.05.2007 11:45:00;  7,88
05.06.2007 16:15:00;  7,88
10.07.2007 13:45:00;  9,15
31.08.2007 14:00:00;  6,63
18.09.2007 21:30:00;  8,03
10.10.2007 18:00:00;  4,79
28.11.2007 17:45:00;  4,40
15.12.2007 21:15:00;  3,24
14.01.2008 16:30:00;  2,52
25.02.2008 20:00:00;  2,23
06.03.2008 16:30:00;  2,57
21.04.2008 20:30:00;  3,82
20.05.2008 08:00:00;  6,68
24.06.2008 19:11:05;  40,5
14.07.2008 17:07:15;  9,98
16.08.2008 05:03:20;  12,4
12.09.2008 18:23:40;  8,33
30.10.2008 16:35:25;  9,26
25.11.2008 21:49:50;  6,38
12.12.2008 00:50:25;  9,27
01.01.2009 01:13:45;  4,99
18.02.2009 14:45:30;  4,30
30.03.2009 02:32:30;  9,21
30.04.2009 16:39:30;  8,15
12.05.2009 18:37:10;  12,0
20.06.2009 13:42:25;  13,3
31.07.2009 14:08:10;  12,8
04.08.2009 03:25:55;  14,1
04.09.2009 21:00:00;  16,9
12.10.2009 12:00:00;  8,26
23.11.2009 19:30:00;  6,25
25.12.2009 19:30:00;  8,26
06.01.2010 14:00:00;  4,47
04.02.2010 17:30:00;  3,64
01.03.2010 19:30:00;  4,47
27.04.2010 09:00:00;  5,10
06.05.2010 11:00:00;  8,73
16.06.2010 12:00:00;  7,12
16.07.2010 03:00:00;  5,20
06.08.2010 23:00:00;  5,61
18.09.2010 08:30:00;  11,1
25.10.2010 11:30:00;  6,03
08.11.2010 16:00:00;  6,90
24.12.2010 11:00:00;  6,90
11.01.2011 11:30:00;  4,59
24.02.2011 16:00:00;  3,45
17.03.2011 11:15:00;  7,57
18.04.2011 19:15:00;  5,61
28.05.2011 12:15:00;  9,91
19.06.2011 09:45:00;  11,1
24.07.2011 13:00:00;  7,43
08.08.2011 21:15:00;  16,7
19.09.2011 18:15:00;  14,1
07.10.2011 12:45:00;  10,4
03.11.2011 11:45:00;  4,59
02.12.2011 14:30:00;  4,01
11.01.2012 19:45:00;  3,45
29.02.2012 20:00:00;  3,04
01.03.2012 00:30:00;  3,04
07.04.2012 20:45:00;  4,47
22.05.2012 22:00:00;  7,12
25.06.2012 16:15:05;  8,26
21.07.2012 18:00:00;  26,4
22.08.2012 22:45:00;  9,53
13.09.2012 03:15:00;  19,1
27.10.2012 23:00:00;  10,0
05.11.2012 11:00:00;  25,1
04.12.2012 15:00:00;  7,65
27.01.2013 20:30:00;  4,99
02.02.2013 13:15:00;  5,40
19.03.2013 12:30:00;  6,25
20.04.2013 21:15:00;  14,9
