Messstelle:                ;Scheiblingkirchen
26.03.1996 21:15:00;  1,33
09.04.1996 00:45:00;  2,42
17.05.1996 22:00:00;  7,33
11.06.1996 18:15:00;  13,6
06.07.1996 14:45:00;  4,19
31.08.1996 01:00:00; 0,934
03.09.1996 11:45:00;  4,59
22.10.1996 06:00:00;  5,16
01.11.1996 00:00:00; 0,788
06.12.1996 07:15:00; 0,546
04.01.1997 02:59:20; 0,496
12.02.1997 17:36:55; 0,531
29.03.1997 13:22:50; 0,432
04.04.1997 12:03:00; 0,477
22.05.1997 12:06:35; 0,996
14.06.1997 20:22:45;  3,15
08.07.1997 07:22:20;  1,50
15.08.1997 16:18:30;  1,46
12.09.1997 08:39:45; 0,397
07.10.1997 05:01:35; 0,271
14.11.1997 03:28:50; 0,424
03.12.1997 19:01:55; 0,575
01.01.1998 00:00:00; 0,254
11.02.1998 21:12:55; 0,194
18.03.1998 03:35:25;  1,71
29.04.1998 16:48:05; 0,464
18.05.1998 02:15:35; 0,859
12.06.1998 17:09:20;  1,06
01.07.1998 21:26:20;  3,64
23.08.1998 01:34:40;  1,34
05.09.1998 22:19:20;  4,27
20.10.1998 02:34:50; 0,763
10.11.1998 22:20:00; 0,628
15.12.1998 17:11:05; 0,400
14.01.1999 10:15:45; 0,609
21.02.1999 20:49:10; 0,600
03.03.1999 19:12:30; 0,644
27.04.1999 14:03:20;  3,07
21.05.1999 04:56:20;  17,5
16.06.1999 15:16:10;  2,79
11.07.1999 11:53:15;  1,54
17.08.1999 01:31:05;  2,22
02.09.1999 14:47:30;  1,48
04.10.1999 07:18:35; 0,414
10.11.1999 05:31:30; 0,562
11.12.1999 12:13:40; 0,480
31.01.2000 22:11:00;  1,13
01.02.2000 00:00:00;  1,00
30.03.2000 21:30:05; 0,827
02.04.2000 03:20:00; 0,925
01.05.2000 22:51:55; 0,566
22.06.2000 20:06:30;  1,20
03.07.2000 21:12:40;  1,16
06.08.2000 06:18:50;  4,28
16.09.2000 23:09:00;  1,10
03.10.2000 09:28:55; 0,592
04.11.2000 20:38:05;  1,08
28.12.2000 01:15:05; 0,556
08.01.2001 16:03:00; 0,310
25.02.2001 12:02:50; 0,343
25.03.2001 23:53:30;  1,18
08.04.2001 10:49:55; 0,755
06.05.2001 12:05:00;  1,48
11.06.2001 06:10:00; 0,575
19.07.2001 22:05:15;  1,31
23.08.2001 22:34:55; 0,735
18.09.2001 06:16:55;  1,56
22.10.2001 00:48:45; 0,306
14.11.2001 00:42:40; 0,193
09.12.2001 14:25:30;  1,14
12.01.2002 17:38:30; 0,231
01.02.2002 00:00:00; 0,175
20.03.2002 22:20:55;  1,08
24.04.2002 20:15:10; 0,368
26.05.2002 07:23:40; 0,478
07.06.2002 04:43:35;  1,25
31.07.2002 15:07:55;  1,68
12.08.2002 02:16:10;  19,6
05.09.2002 18:25:15; 0,725
18.10.2002 06:11:55;  3,49
22.11.2002 21:46:40;  1,55
06.12.2002 11:25:30;  1,28
01.01.2003 00:00:00; 0,605
18.02.2003 11:37:40;  1,56
03.03.2003 16:27:10; 0,517
02.04.2003 21:51:30; 0,360
12.05.2003 22:53:20;  6,51
06.06.2003 13:14:55;  4,39
23.07.2003 01:24:05;  1,13
31.08.2003 18:24:10; 0,530
13.09.2003 18:07:50;  1,51
04.10.2003 11:15:05; 0,896
02.11.2003 09:47:05;  2,21
31.12.2003 14:49:30; 0,731
26.01.2004 09:58:00; 0,746
03.02.2004 08:13:25; 0,547
24.03.2004 19:15:55;  1,86
01.04.2004 17:31:40; 0,713
02.05.2004 20:30:30;  2,28
04.06.2004 13:46:35;  3,27
06.07.2004 17:19:45;  3,27
06.08.2004 17:03:00; 0,612
15.09.2004 14:34:50; 0,359
16.10.2004 20:49:40; 0,956
26.11.2004 10:01:35; 0,359
27.12.2004 08:01:05;  1,51
21.01.2005 12:02:05; 0,218
28.02.2005 09:50:00; 0,403
19.03.2005 15:22:50;  5,73
26.04.2005 01:09:30;  1,34
18.05.2005 19:10:45;  3,36
04.06.2005 20:31:40;  1,23
08.07.2005 22:54:50;  1,71
21.08.2005 01:35:20;  5,42
12.09.2005 20:51:35;  1,48
04.10.2005 08:20:55; 0,411
27.11.2005 11:20:30; 0,620
05.12.2005 15:10:30; 0,784
31.01.2006 23:59:55; 0,236
20.02.2006 15:50:35;  1,50
29.03.2006 07:39:55;  2,60
29.04.2006 18:09:15;  2,45
01.05.2006 05:01:20;  2,22
22.06.2006 22:02:00;  16,2
08.07.2006 07:32:25;  1,30
03.08.2006 22:06:35;  3,11
18.09.2006 20:28:20; 0,948
24.10.2006 23:04:45; 0,470
22.11.2006 23:15:15; 0,516
10.12.2006 00:00:00; 0,184
19.01.2007 19:00:40;  1,56
26.02.2007 20:29:45; 0,236
25.03.2007 16:37:10; 0,990
01.04.2007 00:00:00; 0,653
29.05.2007 03:44:15;  1,99
15.06.2007 19:54:00;  1,59
10.07.2007 01:59:30;  1,19
20.08.2007 15:46:55;  1,18
07.09.2007 12:20:30;  11,6
28.10.2007 20:09:30;  5,47
01.11.2007 06:11:00;  1,34
12.12.2007 20:48:35;  2,27
18.01.2008 04:28:10; 0,739
17.02.2008 13:59:35; 0,927
16.03.2008 22:11:50; 0,834
21.04.2008 21:00:55;  1,61
20.05.2008 19:15:40; 0,624
26.06.2008 23:48:35;  21,9
23.07.2008 20:31:20;  14,1
08.08.2008 19:13:25;  13,4
25.09.2008 20:23:25;  2,18
03.10.2008 11:23:30; 0,606
08.11.2008 09:50:50;  1,01
31.12.2008 06:38:55; 0,721
01.01.2009 00:00:00; 0,401
08.02.2009 06:05:45;  1,90
30.03.2009 00:51:20;  3,86
18.04.2009 14:53:00;  2,38
30.05.2009 11:25:15;  2,60
24.06.2009 19:55:25;  40,3
09.07.2009 14:40:30;  5,39
04.08.2009 08:38:45;  5,11
04.09.2009 21:50:05; 0,983
08.10.2009 12:02:55; 0,699
03.11.2009 08:59:05; 0,571
25.12.2009 18:06:00;  1,53
01.01.2010 00:00:00; 0,314
26.02.2010 20:30:10; 0,852
31.03.2010 12:17:20; 0,768
15.04.2010 04:40:45; 0,910
27.05.2010 14:39:30;  15,9
16.06.2010 10:09:10;  8,04
23.07.2010 23:53:50;  1,12
15.08.2010 01:30:00;  9,24
25.09.2010 22:16:45;  4,21
17.10.2010 22:27:40;  1,45
09.11.2010 21:38:10;  1,11
08.12.2010 21:17:55;  1,10
29.01.2011 10:22:55;  1,49
25.02.2011 10:46:45; 0,789
17.03.2011 05:27:25; 0,710
04.04.2011 19:11:35; 0,429
01.05.2011 19:29:30; 0,742
23.06.2011 20:51:25;  3,99
28.07.2011 21:21:50; 0,890
07.08.2011 18:18:55;  8,47
19.09.2011 22:21:20; 0,970
13.10.2011 03:58:00; 0,570
01.11.2011 00:00:00; 0,208
17.12.2011 07:19:00; 0,223
22.01.2012 08:05:35; 0,665
09.02.2012 09:23:20; 0,925
07.03.2012 13:37:00; 0,273
22.04.2012 19:17:05; 0,553
04.05.2012 11:09:15; 0,797
11.06.2012 19:58:05;  1,47
29.07.2012 17:10:25;  6,06
01.08.2012 03:58:20; 0,917
13.09.2012 01:25:15;  1,68
16.10.2012 13:26:30;  1,05
05.11.2012 11:33:05;  12,2
23.12.2012 20:04:25; 0,629
27.01.2013 14:36:45; 0,717
26.02.2013 08:50:00;  1,39
09.03.2013 22:10:00;  6,49
12.04.2013 19:50:00;  3,11
04.05.2013 19:40:00; 10,00
24.06.2013 16:40:00;  2,20
11.07.2013 02:10:00; 0,702
27.08.2013 19:30:00;  2,32
17.09.2013 00:20:00;  8,52
30.10.2013 05:50:00; 0,593
24.11.2013 17:40:00;  8,01
01.12.2013 00:00:00;  1,00
06.01.2014 00:15:00; 0,407
17.02.2014 15:00:00;  1,22
23.03.2014 22:35:00;  1,07
09.04.2014 01:05:00;  2,44
16.05.2014 11:55:00;  15,8
30.06.2014 09:25:00;  1,62
28.07.2014 14:25:00;  12,1
15.08.2014 22:15:05;  1,14
15.09.2014 02:35:00;  3,83
23.10.2014 17:30:00;  2,69
18.11.2014 09:10:00;  1,56
08.12.2014 00:30:00;  1,23
11.01.2015 14:05:00; 0,815
24.02.2015 18:55:00;  1,14
02.03.2015 18:00:00; 0,588
28.04.2015 17:15:00; 0,635
23.05.2015 11:20:00;  6,48
13.06.2015 18:15:00;  4,54
08.07.2015 13:55:00;  1,74
17.08.2015 04:55:00; 0,592
25.09.2015 20:40:00; 0,918
20.10.2015 05:20:00;  1,22
03.11.2015 18:40:00; 0,295
06.12.2015 16:30:00; 0,222
11.01.2016 22:00:00; 0,724
10.02.2016 09:20:00; 0,527
24.03.2016 10:05:00; 0,362
08.04.2016 20:00:00; 0,714
31.05.2016 13:05:00;  2,12
20.06.2016 10:30:15;  1,36
31.07.2016 20:50:00;  3,44
21.08.2016 10:15:00;  7,85
06.09.2016 13:25:00;  5,97
20.10.2016 05:40:00;  1,31
06.11.2016 20:20:00;  5,08
01.12.2016 15:55:00; 0,572
04.01.2017 17:30:00; 0,371
06.02.2017 09:46:55;  1,44
01.03.2017 06:10:00; 0,597
28.04.2017 14:20:00; 0,975
31.05.2017 19:45:00;  3,05
25.06.2017 16:55:00;  1,70
24.07.2017 15:05:00;  2,07
10.08.2017 22:55:00;  5,35
20.09.2017 01:45:00;  4,17
03.10.2017 18:00:00; 0,397
08.11.2017 20:40:00; 0,252
12.12.2017 01:05:00; 0,310
10.01.2018 17:10:00; 0,237
01.02.2018 23:15:00; 0,397
31.03.2018 23:59:55;  1,33
23.04.2018 15:15:00;  2,66
15.05.2018 12:40:00;  2,12
12.06.2018 17:00:00;  50,1
26.07.2018 17:55:00;  1,84
24.08.2018 14:20:00;  3,22
01.09.2018 09:40:00;  2,72
27.10.2018 22:35:00; 0,833
26.11.2018 16:15:00;  1,16
24.12.2018 10:25:00; 0,703
26.01.2019 13:55:00; 0,381
03.02.2019 21:10:00; 0,563
02.03.2019 11:40:00; 0,502
30.04.2019 19:35:00;  1,11
11.05.2019 21:15:00;  14,7
24.06.2019 00:45:00;  5,24
29.07.2019 00:00:00; 0,359
24.08.2019 22:35:00;  2,37
09.09.2019 03:30:00;  1,22
02.10.2019 19:55:00; 0,635
13.11.2019 17:25:00;  1,54
21.12.2019 18:50:00;  1,03
03.01.2020 17:05:00; 0,309
26.02.2020 09:05:20; 0,350
06.03.2020 11:55:00; 0,360
11.04.2020 14:16:50; 0,131
26.05.2020 18:30:00; 0,233
21.06.2020 05:00:00;  2,44
02.07.2020 18:35:00;  1,09
17.08.2020 14:10:00;  8,85
28.09.2020 08:10:00;  4,10
12.10.2020 01:25:00;  6,19
02.11.2020 00:35:00; 0,599
29.12.2020 01:25:00; 0,477
23.01.2021 17:15:00; 0,837
08.02.2021 03:45:00; 0,738
07.03.2021 09:46:20; 0,387
12.04.2021 23:20:00; 0,271
27.05.2021 20:10:00; 0,676
13.06.2021 06:20:00; 0,273
17.07.2021 07:30:00;  1,28
01.08.2021 16:40:00;  3,78
12.09.2021 17:40:00; 0,565
07.10.2021 08:15:00; 0,695
02.11.2021 07:40:00; 0,638
23.12.2021 12:55:00; 0,280
