Messstelle:                ;Lechaschau
03.09.1976 17:30:00;   112
03.10.1976 04:30:00;  50,9
11.11.1976 14:30:00;  21,5
02.12.1976 14:00:00;  18,7
27.01.1977 11:30:00;  16,3
11.02.1977 03:30:00;  55,8
05.03.1977 04:00:00;   134
24.04.1977 09:30:00;   154
04.05.1977 22:30:00;   256
11.06.1977 00:00:00;  96,8
31.07.1977 23:59:55;   455
01.08.1977 00:30:00;   468
09.09.1977 21:30:00;  66,3
11.10.1977 01:00:00;  29,3
15.11.1977 11:00:00;  73,0
25.12.1977 07:00:00;  97,1
01.01.1978 00:00:00;  22,1
25.02.1978 04:00:00;  41,4
31.03.1978 23:30:00;  50,1
30.04.1978 23:59:55;  69,9
23.05.1978 10:00:00;   122
10.06.1978 11:30:00;   305
19.07.1978 19:30:00;   198
08.08.1978 08:30:00;   255
08.09.1978 11:00:00;   254
27.10.1978 04:30:00;   107
01.11.1978 00:00:00;  46,0
01.12.1978 00:00:00;  15,1
29.01.1979 09:30:00;  9,84
12.02.1979 08:30:00;  12,0
12.03.1979 15:00:00;  82,2
17.04.1979 03:00:00;  23,9
20.05.1979 21:00:00;   316
14.06.1979 10:30:00;   222
10.07.1979 11:00:00;   236
04.08.1979 17:00:00;  90,2
22.09.1979 04:30:00;  87,8
01.10.1979 05:00:00;  38,2
28.11.1979 00:00:00;   143
11.12.1979 21:30:00;  49,7
01.01.1980 06:00:00;  20,2
05.02.1980 16:00:00;  60,2
31.03.1980 23:59:55;  47,6
01.04.1980 19:30:00;   131
14.05.1980 00:00:00;   150
14.06.1980 21:00:00;   298
09.07.1980 20:00:00;   309
31.08.1980 23:59:55;   143
01.09.1980 10:00:00;   203
17.10.1980 19:30:00;   147
16.11.1980 02:00:00;  43,0
01.12.1980 08:30:00;  17,6
05.01.1981 02:00:00;  15,9
15.02.1981 20:00:00;  13,6
12.03.1981 08:30:00;   182
01.04.1981 04:00:00;   125
22.05.1981 02:30:00;   159
03.06.1981 00:00:00;   167
21.07.1981 13:30:00;   376
23.08.1981 19:00:00;   152
29.09.1981 11:00:00;  95,2
15.10.1981 13:00:00;   481
01.11.1981 00:00:00;   120
01.12.1981 20:00:00;  27,9
10.01.1982 06:00:00;  41,6
01.02.1982 09:30:00;  21,0
31.03.1982 23:00:00;  34,4
09.04.1982 03:00:00;  82,2
24.05.1982 04:30:00;   235
17.06.1982 05:30:00;   413
04.07.1982 13:30:00;   176
06.08.1982 20:30:00;   156
01.09.1982 01:00:00;   136
14.10.1982 07:30:00;  78,8
01.11.1982 00:00:00;  19,1
17.12.1982 00:30:00;  67,4
06.01.1983 02:30:00;  39,8
01.02.1983 19:30:00;  32,7
20.03.1983 13:30:00;  26,9
22.04.1983 00:30:00;   119
16.05.1983 23:00:00;   156
14.06.1983 15:00:00;   316
06.07.1983 00:30:00;   114
03.08.1983 08:00:00;   104
02.09.1983 13:30:00;   105
09.10.1983 22:00:00;  44,5
27.11.1983 11:00:00;   114
24.12.1983 09:30:00;   148
01.01.1984 00:00:00;  33,1
15.02.1984 23:30:00;  11,8
29.03.1984 05:30:00;  27,9
25.04.1984 00:30:00;  86,9
06.05.1984 22:00:00;   114
24.06.1984 16:00:00;   273
03.07.1984 10:30:00;   180
12.08.1984 08:00:00;   118
17.09.1984 11:30:00;   243
02.10.1984 13:00:00;  64,9
24.11.1984 16:30:00;  48,0
02.12.1984 22:00:00;  19,7
24.01.1985 07:00:00;  17,3
03.02.1985 04:45:00;  97,1
27.03.1985 15:30:00;  15,2
22.04.1985 04:00:00;  43,8
28.05.1985 01:45:00;   192
15.06.1985 12:45:00;   197
06.07.1985 01:45:00;   155
06.08.1985 16:00:00;   455
04.09.1985 06:30:00;  96,7
10.10.1985 17:15:00;  20,9
11.11.1985 02:15:00;  27,3
04.12.1985 16:00:00;  23,6
20.01.1986 07:15:00;  19,5
27.02.1986 08:45:00;  13,9
25.03.1986 01:30:00;  45,3
30.04.1986 23:15:00;   106
22.05.1986 00:30:00;   271
24.06.1986 06:30:00;   207
07.07.1986 15:45:00;   188
25.08.1986 09:30:00;   136
01.09.1986 00:00:00;  44,5
23.10.1986 11:00:00;  59,3
05.11.1986 07:45:00;  26,5
19.12.1986 11:00:00;  23,8
02.01.1987 09:15:00;  37,8
28.02.1987 16:00:00;  23,6
03.03.1987 01:45:00;  90,2
20.04.1987 23:45:00;   119
03.05.1987 02:30:00;   172
30.06.1987 23:59:55;   271
01.07.1987 22:15:00;   280
03.08.1987 07:15:00;   394
27.09.1987 03:30:00;   127
01.10.1987 00:00:00;  33,0
17.11.1987 10:00:00;  31,0
19.12.1987 13:30:00;   228
05.01.1988 08:15:00;  22,1
04.02.1988 11:00:00;  14,8
26.03.1988 02:45:00;  68,3
20.04.1988 01:00:00;   117
09.05.1988 03:15:00;   224
15.06.1988 05:00:00;   153
14.07.1988 14:30:00;   203
21.08.1988 00:45:00;   456
03.09.1988 00:15:00;   135
11.10.1988 20:00:00;  34,3
14.11.1988 07:45:00;  29,4
05.12.1988 10:15:00;   107
05.01.1989 22:00:00;  16,1
22.02.1989 11:00:00;  32,0
31.03.1989 02:30:00;  55,2
02.04.1989 10:30:00;  62,4
23.05.1989 23:30:00;   112
23.06.1989 07:45:00;   154
03.07.1989 22:15:00;   146
02.08.1989 08:00:00;   128
03.09.1989 15:15:00;  79,8
01.10.1989 01:00:00;  37,9
01.11.1989 00:15:00;  26,3
19.12.1989 18:15:00;  23,7
01.01.1990 00:00:00;  13,8
15.02.1990 15:00:00;   281
01.03.1990 10:00:00;  61,1
30.04.1990 23:59:55;  38,4
25.05.1990 18:00:00;   169
06.06.1990 12:00:00;   185
08.07.1990 12:45:00;   279
14.08.1990 02:15:00;  79,0
24.09.1990 13:00:00;   182
30.10.1990 11:45:00;  65,3
01.11.1990 02:15:00;  32,5
01.12.1990 11:15:00;  16,3
03.01.1991 12:00:00;  54,1
28.02.1991 05:30:00;  13,7
20.03.1991 23:45:00;  37,8
05.04.1991 05:00:00;  27,7
23.05.1991 13:15:00;   125
17.06.1991 18:30:00;   257
15.07.1991 05:15:00;   233
02.08.1991 03:30:00;   165
27.09.1991 19:30:00;  47,9
01.10.1991 12:00:00;  41,5
09.11.1991 23:00:00;  16,8
22.12.1991 22:15:00;   212
01.01.1992 00:00:00;  14,0
17.02.1992 09:45:00;  18,2
23.03.1992 09:30:00;  88,7
26.04.1992 22:15:00;   230
16.05.1992 00:45:00;   294
03.06.1992 01:30:00;   149
23.07.1992 03:45:00;   126
23.08.1992 03:45:00;   109
04.09.1992 19:00:00;   110
29.10.1992 10:30:00;  27,5
22.11.1992 23:45:00;   322
01.12.1992 00:00:00;  87,4
25.01.1993 10:00:00;  30,5
12.02.1993 09:15:00;  18,3
19.03.1993 01:30:00;  43,2
28.04.1993 00:15:00;   104
27.05.1993 01:00:00;   129
17.06.1993 21:15:00;   409
15.07.1993 13:15:00;   347
28.08.1993 11:15:00;   134
04.09.1993 11:00:00;   104
04.10.1993 11:30:00;  35,2
11.11.1993 12:45:00;  30,6
20.12.1993 15:30:00;   178
26.01.1994 04:00:00;  37,1
25.02.1994 10:00:00;  32,7
25.03.1994 07:15:00;   174
30.04.1994 23:59:55;   137
25.05.1994 22:00:00;   175
09.06.1994 17:30:00;   155
07.07.1994 04:15:00;   152
25.08.1994 11:15:00;   104
02.09.1994 07:00:00;  84,8
04.10.1994 09:15:00;  35,6
20.11.1994 10:30:00;  95,3
10.12.1994 15:00:00;  45,5
26.01.1995 01:30:00;  97,9
07.02.1995 10:30:00;  25,9
20.03.1995 01:45:00;  36,1
26.04.1995 01:45:00;   150
30.05.1995 03:00:00;   272
02.06.1995 00:30:00;   289
15.07.1995 02:30:00;   238
30.08.1995 00:00:00;   227
08.09.1995 05:15:00;   135
02.10.1995 03:15:00;  57,1
18.11.1995 01:15:00;  33,5
25.12.1995 10:30:00;  46,0
01.01.1996 01:30:00;  25,7
01.02.1996 09:00:00;  16,6
27.03.1996 07:15:00;  61,0
24.04.1996 01:45:00;  85,0
28.05.1996 11:15:00;   230
22.06.1996 04:45:00;   129
11.07.1996 02:00:00;   224
28.08.1996 12:30:00;   172
15.09.1996 22:30:00;  67,4
21.10.1996 21:30:00;   282
01.11.1996 23:30:00;  49,0
23.12.1996 22:00:00;  28,7
02.01.1997 23:00:00;  17,4
26.02.1997 23:00:00;  39,2
28.03.1997 20:00:00;  50,4
29.04.1997 11:00:00;  66,5
16.05.1997 22:15:00;   198
20.06.1997 04:45:00;   139
06.07.1997 16:30:00;   322
08.08.1997 16:45:00;   124
01.09.1997 00:00:00;  67,0
12.10.1997 13:00:00;   150
07.11.1997 16:00:00;  20,5
12.12.1997 11:00:00;  55,4
17.01.1998 07:00:00;  21,2
28.02.1998 05:45:00;  23,0
31.03.1998 23:59:55;  50,5
28.04.1998 01:00:00;  82,3
13.05.1998 01:00:00;   102
11.06.1998 03:15:00;   125
09.07.1998 04:45:00;  98,1
23.08.1998 07:45:00;   211
18.09.1998 02:20:00;   134
25.10.1998 13:00:00;   110
01.11.1998 19:30:00;   135
13.12.1998 23:00:00;  41,8
08.01.1999 10:45:00;  21,1
22.02.1999 13:00:00;  35,9
16.03.1999 00:15:00;  47,0
30.04.1999 07:45:00;   182
22.05.1999 10:30:00;   855
03.06.1999 07:45:00;   380
15.07.1999 11:00:00;   144
10.08.1999 16:15:00;   223
27.09.1999 00:30:00;   201
01.10.1999 01:15:00;   142
03.11.1999 20:45:00;  23,2
19.12.1999 19:00:00;  67,5
31.01.2000 04:15:00;  40,4
09.02.2000 10:15:00;  63,8
10.03.2000 01:00:00;   111
30.04.2000 23:59:55;   166
31.05.2000 17:00:00;   294
01.06.2000 00:00:00;   205
29.07.2000 09:30:00;   254
06.08.2000 15:00:00;   402
21.09.2000 15:00:00;   215
03.10.2000 01:45:00;  47,2
29.11.2000 09:30:00;  35,8
04.12.2000 09:45:00;  32,3
08.01.2001 14:32:00;  19,4
08.02.2001 04:14:50;  33,2
25.03.2001 02:03:05;  92,4
30.04.2001 23:15:00;   100
31.05.2001 23:30:00;   175
11.06.2001 04:00:00;   353
20.07.2001 18:30:00;   290
10.08.2001 11:45:00;   109
09.09.2001 06:15:00;   334
01.10.2001 08:00:00;  50,5
08.11.2001 09:45:00;  29,8
02.12.2001 08:30:00;  43,1
28.01.2002 03:19:55;  51,3
27.02.2002 23:34:55;  22,2
20.03.2002 08:00:00;   412
27.04.2002 08:00:00;  74,0
19.05.2002 03:45:00;   185
07.06.2002 18:30:00;  89,5
04.07.2002 10:30:00;   192
12.08.2002 07:45:00;   676
22.09.2002 14:45:00;   122
18.10.2002 01:45:00;  74,2
03.11.2002 23:00:00;   179
23.12.2002 06:45:00;  64,1
03.01.2003 02:00:00;  39,1
28.02.2003 09:30:00;  14,8
31.03.2003 04:15:00;  37,0
30.04.2003 23:59:55;   105
30.05.2003 01:30:00;   152
07.06.2003 20:31:50;   134
28.07.2003 05:00:00;  77,1
30.08.2003 00:30:00;  83,3
12.09.2003 07:45:00;  77,4
09.10.2003 13:00:00;   313
01.11.2003 20:15:00;  27,9
16.12.2003 01:00:00;  21,4
14.01.2004 07:15:00;  89,9
08.02.2004 00:45:00;  21,4
22.03.2004 03:15:00;  46,8
24.04.2004 01:45:00;  89,2
20.05.2004 00:00:00;   118
04.06.2004 04:45:00;   240
09.07.2004 08:30:00;   105
26.08.2004 20:45:00;   167
24.09.2004 07:00:00;   185
01.10.2004 11:15:00;  47,5
24.11.2004 11:15:00;  21,8
01.12.2004 09:00:00;  15,9
21.01.2005 13:15:00;  23,4
13.02.2005 10:04:45;  21,5
25.03.2005 22:30:00;  68,2
30.04.2005 23:59:55;  93,5
04.05.2005 02:45:00;   182
04.06.2005 21:30:00;   117
12.07.2005 00:00:00;   256
23.08.2005 07:00:00;   943
30.09.2005 07:30:00;  48,3
03.10.2005 07:15:00;  67,5
02.11.2005 05:00:00;  17,0
01.12.2005 13:15:00;  11,0
01.01.2006 12:00:00;  9,27
17.02.2006 17:45:00;  13,6
28.03.2006 05:00:00;  86,4
28.04.2006 20:30:00;  95,0
29.05.2006 02:52:25;   479
23.06.2006 01:15:00;   126
09.07.2006 03:00:00;  65,7
07.08.2006 13:15:00;   222
01.09.2006 00:15:00;  91,5
04.10.2006 03:30:00;   130
14.11.2006 18:00:00;  93,3
09.12.2006 14:30:00;  22,6
19.01.2007 18:45:00;   234
28.02.2007 22:00:00;  34,7
04.03.2007 02:00:00;  56,6
17.04.2007 01:00:00;  61,7
09.05.2007 10:30:00;   198
26.06.2007 07:45:00;   105
10.07.2007 00:00:00;   212
09.08.2007 10:30:00;   135
11.09.2007 12:00:00;   135
01.10.2007 03:15:00;  38,3
24.11.2007 11:45:00;  38,1
07.12.2007 23:30:00;  75,8
07.01.2008 21:00:00;  27,8
29.02.2008 23:59:55;  32,0
01.03.2008 21:45:00;   110
28.04.2008 22:30:00;   184
27.05.2008 19:45:00;   252
02.06.2008 22:45:00;   169
14.07.2008 18:30:00;   335
16.08.2008 04:45:00;   189
14.09.2008 18:00:00;  59,7
17.10.2008 07:45:00;  32,6
21.11.2008 23:00:00;  23,8
22.12.2008 00:15:00;  25,6
02.01.2009 05:15:00;  11,5
06.02.2009 08:00:00;  11,9
28.03.2009 20:30:00;  20,8
22.04.2009 08:15:00;   103
14.05.2009 02:00:00;   164
16.06.2009 09:30:00;   145
18.07.2009 23:00:00;   210
04.08.2009 09:15:00;   153
05.09.2009 06:15:00;  77,8
26.10.2009 03:00:00;  38,0
18.11.2009 18:00:00;  43,0
08.12.2009 14:30:00;  26,1
01.01.2010 06:15:00;  20,8
28.02.2010 22:45:00;  13,5
27.03.2010 01:00:00;  47,6
30.04.2010 23:59:55;  86,3
31.05.2010 07:00:00;   281
03.06.2010 08:00:00;   331
27.07.2010 09:15:00;   239
06.08.2010 10:00:00;   294
01.09.2010 00:00:00;   192
31.10.2010 08:15:00;  32,2
13.11.2010 01:00:00;   114
09.12.2010 13:15:00;  28,1
13.01.2011 21:15:00;  88,6
03.02.2011 10:45:00;  15,3
18.03.2011 02:43:35;  33,3
09.04.2011 03:45:00;  58,7
27.05.2011 22:00:00;  95,2
18.06.2011 22:00:00;   217
21.07.2011 00:00:00;   147
08.08.2011 22:15:00;   106
22.09.2011 00:00:00;  47,7
10.10.2011 16:45:00;   359
01.11.2011 04:15:00;  19,5
17.12.2011 12:15:00;  12,5
20.01.2012 08:15:00;  23,9
29.02.2012 23:59:55;  18,5
29.03.2012 11:15:00;  60,9
29.04.2012 22:00:00;   177
24.05.2012 04:15:00;   211
04.06.2012 10:45:00;   273
04.07.2012 02:00:00;   142
26.08.2012 04:45:00;   317
24.09.2012 22:00:00;   131
10.10.2012 04:15:00;   376
12.11.2012 08:15:00;  42,5
23.12.2012 14:00:00;  60,1
31.01.2013 07:45:00;  51,1
02.02.2013 10:30:00;  50,0
11.03.2013 11:00:00;  25,3
19.04.2013 01:00:00;   135
10.05.2013 21:45:00;   131
02.06.2013 01:30:00;   367
03.07.2013 23:15:00;   116
20.08.2013 01:18:55;  99,0
19.09.2013 04:30:00;   420
01.10.2013 00:15:00;  73,1
06.11.2013 21:45:00;   145
01.12.2013 00:45:00;  20,6
21.01.2014 10:45:00;  15,1
10.02.2014 13:00:00;  14,9
23.03.2014 06:45:00;  23,2
30.04.2014 09:00:00;  52,6
23.05.2014 04:30:00;   127
30.06.2014 01:00:00;   172
31.07.2014 07:45:00;   305
01.08.2014 00:00:00;   168
01.09.2014 21:15:00;   125
26.10.2014 23:45:00;  73,9
02.11.2014 02:15:00;  41,5
19.12.2014 08:46:10;  30,0
11.01.2015 12:00:00;  69,2
01.02.2015 07:37:10;  15,6
30.03.2015 19:30:00;  80,8
18.04.2015 03:15:00;  87,9
03.05.2015 19:45:00;   238
23.06.2015 10:30:00;   184
01.07.2015 00:00:00;  61,4
10.08.2015 03:45:00;   114
04.09.2015 03:15:00;  60,3
07.10.2015 21:15:00;  35,0
21.11.2015 04:30:00;   113
17.12.2015 14:38:55;  34,9
31.01.2016 23:59:55;  43,0
01.02.2016 11:00:00;   170
31.03.2016 23:59:55;  39,3
05.04.2016 00:30:00;  99,4
29.05.2016 23:38:20;   181
17.06.2016 04:45:00;   293
13.07.2016 01:00:00;   232
05.08.2016 17:00:00;   344
05.09.2016 13:45:00;  99,2
26.10.2016 06:00:00;  27,8
17.11.2016 10:30:00;  39,0
01.12.2016 02:00:00;  18,2
31.01.2017 22:30:00;  14,4
22.02.2017 08:45:00;  33,3
19.03.2017 15:30:00;   104
11.04.2017 06:00:00;  57,7
20.05.2017 01:45:00;   144
01.06.2017 02:15:00;   130
26.07.2017 22:00:00;   422
09.08.2017 10:15:00;   116
02.09.2017 14:30:00;   187
03.10.2017 16:45:00;   173
12.11.2017 19:45:00;  98,5
31.12.2017 10:45:00;  46,1
05.01.2018 04:45:00;   175
16.02.2018 20:15:00;  24,5
13.03.2018 08:00:00;  20,3
24.04.2018 04:45:00;   197
15.05.2018 03:30:00;   192
13.06.2018 18:00:00;   141
06.07.2018 05:27:00;  83,7
31.08.2018 23:59:55;   111
01.09.2018 11:42:00;   205
30.10.2018 03:00:00;   115
01.11.2018 10:57:00;  27,7
24.12.2018 10:45:00;   289
08.01.2019 13:30:00;  22,1
28.02.2019 23:59:55;  28,1
16.03.2019 23:15:00;  62,2
25.04.2019 01:00:00;   130
21.05.2019 07:30:00;   369
11.06.2019 23:00:00;   207
13.07.2019 10:00:00;   177
13.08.2019 03:00:00;   311
02.09.2019 09:45:00;  93,3
05.10.2019 23:15:00;   141
01.11.2019 00:00:00;  70,4
25.12.2019 17:30:00;  33,1
31.01.2020 23:59:55;  24,5
03.02.2020 21:45:00;   390
11.03.2020 23:45:00;  61,5
29.04.2020 09:45:00;  93,7
06.05.2020 10:15:00;   115
11.06.2020 07:45:00;   269
17.07.2020 10:45:00;   162
04.08.2020 13:00:00;   218
30.09.2020 23:59:55;  80,5
03.10.2020 19:45:00;  86,8
01.11.2020 00:00:00;  49,5
23.12.2020 11:45:00;  18,4
29.01.2021 16:15:00;  31,5
04.02.2021 02:45:00;  31,0
31.03.2021 23:59:55;  30,9
30.04.2021 23:59:55;  81,5
12.05.2021 01:15:00;   141
05.06.2021 23:30:00;   190
18.07.2021 09:30:00;   483
16.08.2021 22:45:00;   219
01.09.2021 00:00:00;  98,9
09.10.2021 06:45:00;  22,4
15.11.2021 08:00:00;  19,4
30.12.2021 08:00:00;   127
01.01.2022 00:00:00;  43,0
