Messstelle:                ;Neudorf
13.11.1961 12:00:00;  7,50
23.12.1961 12:00:00;  1,85
03.01.1962 12:00:00;  2,85
28.02.1962 12:00:00;  1,42
05.03.1962 12:00:00;  3,45
23.04.1962 12:00:00;  3,45
26.05.1962 12:00:00;  7,50
03.06.1962 12:00:00;  9,60
28.07.1962 12:00:00;  5,60
08.08.1962 12:00:00;  2,64
08.09.1962 12:00:00;  4,10
31.10.1962 12:00:00;  1,85
07.11.1962 12:00:00;  8,55
03.12.1962 12:00:00;  2,04
24.01.1963 12:00:00;  2,04
28.02.1963 12:00:00;  1,85
31.03.1963 12:00:00;  2,85
12.04.1963 12:00:00;  5,60
04.05.1963 12:00:00;  4,10
16.06.1963 12:00:00;  4,80
23.07.1963 12:00:00;  2,64
29.08.1963 12:00:00;  2,85
06.09.1963 12:00:00;  11,7
05.10.1963 12:00:00;  2,85
07.11.1963 12:00:00;  14,0
07.12.1963 12:00:00;  4,10
31.01.1964 12:00:00;  1,85
29.02.1964 12:00:00;  1,85
31.03.1964 12:00:00;  1,85
16.04.1964 12:00:00;  2,85
04.05.1964 12:00:00;  2,64
17.06.1964 12:00:00;  1,85
17.07.1964 12:00:00;  1,85
31.08.1964 12:00:00;  1,07
24.09.1964 12:00:00;  1,42
28.10.1964 12:00:00;  9,60
30.11.1964 12:00:00;  7,50
01.12.1964 12:00:00;  6,45
12.01.1965 12:00:00;  2,30
28.02.1965 12:00:00;  1,45
31.03.1965 12:00:00;  4,05
01.04.1965 12:00:00;  4,47
28.05.1965 12:00:00;  6,45
04.06.1965 12:00:00;  5,55
05.07.1965 12:00:00;  4,75
23.08.1965 12:00:00;  6,36
03.09.1965 12:00:00;  65,0
04.10.1965 12:00:00;  4,64
23.11.1965 12:00:00;  2,47
16.12.1965 12:00:00;  2,27
17.01.1966 12:00:00;  2,23
22.02.1966 12:00:00;  7,50
09.03.1966 12:00:00;  2,64
25.04.1966 12:00:00;  2,49
07.05.1966 12:00:00;  7,10
16.06.1966 12:00:00;  2,83
18.07.1966 12:00:00;  4,38
18.08.1966 12:00:00;  48,4
13.09.1966 12:00:00;  3,11
17.10.1966 12:00:00;  5,28
04.11.1966 12:00:00;  65,0
03.12.1966 12:00:00;  11,7
02.01.1967 12:00:00;  1,76
28.02.1967 12:00:00;  1,38
31.03.1967 12:00:00;  2,96
10.04.1967 12:00:00;  13,0
17.05.1967 12:00:00;  5,60
10.06.1967 12:00:00;  4,80
27.07.1967 12:00:00;  3,45
06.08.1967 12:00:00;  2,85
08.09.1967 12:00:00;  36,0
05.10.1967 12:00:00;  14,3
05.11.1967 12:00:00;  16,9
08.12.1967 12:00:00;  2,17
01.01.1968 12:00:00;  1,71
25.02.1968 12:00:00;  5,68
31.03.1968 12:00:00;  2,47
08.04.1968 12:00:00;  6,78
06.05.1968 12:00:00;  3,69
21.06.1968 12:00:00;  6,78
16.07.1968 12:00:00;  2,55
18.08.1968 12:00:00;  6,78
16.09.1968 12:00:00;  13,0
09.10.1968 12:00:00;  2,55
18.11.1968 12:00:00;  4,69
01.12.1968 12:00:00;  2,10
16.01.1969 12:00:00;  1,94
28.02.1969 12:00:00;  1,54
16.03.1969 12:00:00;  3,22
29.04.1969 12:00:00;  5,60
01.05.1969 12:00:00;  4,95
12.06.1969 12:00:00;  3,58
08.07.1969 12:00:00;  3,58
24.08.1969 12:00:00;  2,63
15.09.1969 12:00:00;  2,88
25.10.1969 12:00:00;  1,46
14.11.1969 12:00:00;  4,43
03.12.1969 12:00:00;  1,41
17.01.1970 12:00:00;  2,45
06.02.1970 12:00:00;  1,89
28.03.1970 12:00:00;  2,99
27.04.1970 12:00:00;  15,0
22.05.1970 12:00:00;  11,8
19.06.1970 12:00:00;  4,07
16.07.1970 12:00:00;  8,36
22.08.1970 12:00:00;  4,51
17.09.1970 12:00:00;  3,46
21.10.1970 12:00:00;  2,37
15.11.1970 12:00:00;  6,82
01.12.1970 12:00:00;  2,12
29.01.1971 12:00:00;  1,38
01.02.1971 12:00:00;  1,69
22.03.1971 12:00:00;  5,80
05.04.1971 12:00:00;  4,47
02.05.1971 12:00:00;  4,94
28.06.1971 12:00:00;  1,97
06.07.1971 12:00:00;  1,81
31.08.1971 12:00:00;  1,38
12.09.1971 12:00:00;  1,20
15.10.1971 12:00:00;  1,45
11.11.1971 12:00:00;  2,90
20.12.1971 12:00:00;  1,05
31.01.1972 12:00:00; 0,940
29.02.1972 12:00:00;  1,24
10.03.1972 12:00:00;  7,24
13.04.1972 12:00:00;  5,09
16.05.1972 12:00:00;  7,67
13.06.1972 12:00:00;  23,0
01.07.1972 12:00:00;  4,24
02.08.1972 12:00:00;  2,24
11.09.1972 12:00:00;  1,64
29.10.1972 12:00:00;  1,88
18.11.1972 12:00:00;  1,07
10.12.1972 12:00:00;  1,88
05.01.1973 12:00:00;  1,01
14.02.1973 12:00:00; 0,890
31.03.1973 12:00:00;  1,72
10.04.1973 12:00:00;  5,50
07.05.1973 12:00:00;  4,75
07.06.1973 12:00:00;  4,90
18.07.1973 12:00:00;  3,20
12.08.1973 12:00:00;  1,77
26.09.1973 12:00:00;  12,3
01.10.1973 12:00:00;  15,5
07.11.1973 12:00:00;  2,15
21.12.1973 12:00:00;  3,86
22.01.1974 12:00:00;  1,72
04.02.1974 12:00:00;  2,24
22.03.1974 12:00:00;  4,10
29.04.1974 12:00:00;  3,00
01.05.1974 12:00:00;  2,24
07.06.1974 12:00:00;  3,92
18.07.1974 12:00:00;  2,53
11.08.1974 12:00:00;  2,53
25.09.1974 12:00:00;  2,69
22.10.1974 12:00:00;  2,11
19.11.1974 12:00:00;  2,69
11.12.1974 12:00:00;  1,98
16.01.1975 12:00:00;  1,62
01.02.1975 12:00:00;  1,51
28.03.1975 12:00:00;  2,69
07.04.1975 12:00:00;  26,0
08.05.1975 12:00:00;  11,6
02.06.1975 12:00:00;  6,84
24.07.1975 12:00:00;  5,75
12.08.1975 12:00:00;  2,84
12.09.1975 12:00:00;  2,69
18.10.1975 12:00:00;  2,84
04.11.1975 12:00:00;  1,98
01.12.1975 12:00:00;  3,92
29.01.1976 08:00:00;  1,69
09.02.1976 14:00:00;  1,52
30.03.1976 15:00:00;  1,94
08.04.1976 00:00:00;  3,39
27.05.1976 15:00:00;  5,74
02.06.1976 12:00:00;  2,83
23.07.1976 05:00:00;  2,78
04.08.1976 18:00:00;  2,49
11.09.1976 00:00:00;  10,7
30.10.1976 19:00:00;  11,0
08.11.1976 00:00:00;  8,54
02.12.1976 03:00:00;  4,35
12.01.1977 11:00:00;  3,18
25.02.1977 13:00:00;  10,0
29.03.1977 04:00:00;  9,58
08.04.1977 05:00:00;  13,3
14.05.1977 09:00:00;  16,6
20.06.1977 01:00:00;  4,41
26.07.1977 05:00:00;  5,79
21.08.1977 04:00:00;  4,63
01.09.1977 04:00:00;  4,24
04.10.1977 18:00:00;  2,65
14.11.1977 07:00:00;  1,65
14.12.1977 08:00:00;  2,20
20.01.1978 07:00:00;  1,17
27.02.1978 12:00:00;  1,69
30.03.1978 15:00:00;  3,83
30.04.1978 18:00:00;  5,38
22.05.1978 17:00:00;  11,3
24.06.1978 21:00:00;  8,03
05.07.1978 14:00:00;  8,03
08.08.1978 05:00:00;  5,87
30.09.1978 23:59:55;  5,14
03.10.1978 13:00:00;  16,0
02.11.1978 07:00:00;  2,62
30.12.1978 03:00:00;  2,03
28.01.1979 16:00:00;  13,9
01.02.1979 00:00:00;  2,90
16.03.1979 15:00:00;  15,4
25.04.1979 20:00:00;  10,7
02.05.1979 22:00:00;  20,4
16.06.1979 20:00:00;  11,8
02.07.1979 20:00:00;  7,53
04.08.1979 00:00:00;  3,56
24.09.1979 10:00:00;  6,27
15.10.1979 11:00:00;  23,8
10.11.1979 08:00:00;  10,2
11.12.1979 08:00:00;  3,69
03.01.1980 07:00:00;  2,52
01.02.1980 07:00:00;  2,81
30.03.1980 00:00:00;  3,87
03.04.1980 08:00:00;  3,69
05.05.1980 07:00:00;  3,97
24.06.1980 02:00:00;  6,32
09.07.1980 09:00:00;  16,8
31.08.1980 01:00:00;  5,79
10.09.1980 08:00:00;  4,97
25.10.1980 13:00:00;  12,1
15.11.1980 07:00:00;  4,77
01.12.1980 13:00:00;  3,16
02.01.1981 10:30:00;  2,01
09.02.1981 10:30:00;  1,85
16.03.1981 15:00:00;  3,25
02.04.1981 07:30:00;  3,41
27.05.1981 06:30:00;  11,4
18.06.1981 02:30:00;  5,35
19.07.1981 05:00:00;  12,0
21.08.1981 07:00:00;  5,10
25.09.1981 03:30:00;  7,93
27.10.1981 14:00:00;  9,70
02.11.1981 07:30:00;  2,63
31.12.1981 22:30:00;  2,25
01.01.1982 18:30:00;  4,28
08.02.1982 07:30:00;  1,78
30.03.1982 14:30:00;  2,10
08.04.1982 07:30:00;  3,48
24.05.1982 10:00:00;  11,5
27.06.1982 12:00:00;  8,42
17.07.1982 04:00:00;  3,80
04.08.1982 20:30:00;  9,79
10.09.1982 17:00:00;  2,20
06.10.1982 17:30:00;  8,07
14.11.1982 05:30:00;  12,4
11.12.1982 01:30:00;  6,52
19.01.1983 08:00:00;  2,26
07.02.1983 08:00:00;  2,05
25.03.1983 21:30:00;  2,50
12.04.1983 14:30:00;  2,76
09.05.1983 10:30:00;  4,14
04.06.1983 14:30:00;  2,12
04.07.1983 17:00:00;  3,29
29.08.1983 19:00:00;  2,85
11.09.1983 04:30:00;   107
17.10.1983 10:00:00;  6,94
02.11.1983 09:00:00;  2,13
19.12.1983 21:30:00;  9,35
04.01.1984 07:00:00;  1,29
26.02.1984 02:30:00; 0,799
30.03.1984 08:00:00;  2,23
16.04.1984 19:00:00;  4,39
21.05.1984 10:30:00;  9,73
05.06.1984 20:30:00;  5,19
02.07.1984 15:30:00;  2,99
09.08.1984 21:30:00;  2,64
24.09.1984 08:00:00;  12,2
05.10.1984 09:30:00;  22,0
16.11.1984 16:30:00;  3,21
19.12.1984 12:30:00;  3,69
24.01.1985 10:30:00;  2,96
05.02.1985 10:00:00;  1,29
28.03.1985 00:30:00;  2,50
07.04.1985 04:00:00;  6,29
08.05.1985 23:30:00;  11,0
09.06.1985 03:30:00;  10,1
30.07.1985 23:30:00;  6,27
06.08.1985 18:30:00;  12,8
04.09.1985 06:00:00;  2,32
01.10.1985 09:00:00;  1,03
02.11.1985 05:00:00;  2,89
29.12.1985 19:00:00;  2,99
01.01.1986 00:00:00;  1,43
27.02.1986 18:45:00; 0,899
30.03.1986 13:45:00;  2,22
18.04.1986 21:00:00;  8,13
29.05.1986 21:30:00;  5,97
04.06.1986 23:30:00;  6,32
19.07.1986 05:45:00;  3,38
19.08.1986 21:15:00;  3,61
10.09.1986 02:45:00;  6,83
23.10.1986 21:15:00;  3,09
23.11.1986 20:00:00;  2,26
01.12.1986 00:00:00; 0,706
13.01.1987 04:15:00; 0,805
14.02.1987 17:30:00;  2,66
29.03.1987 00:00:00;  3,90
21.04.1987 03:00:00;  6,62
13.05.1987 18:15:00;  11,6
16.06.1987 19:00:00;  5,87
25.07.1987 18:30:00;  5,40
25.08.1987 15:45:00;  30,2
06.09.1987 10:45:00;  5,87
18.10.1987 08:00:00;  13,6
09.11.1987 07:15:00;  2,82
23.12.1987 08:15:00;  2,99
29.01.1988 16:00:00;  4,97
07.02.1988 18:00:00;  6,60
22.03.1988 20:00:00;  2,92
07.04.1988 14:30:00;  4,35
03.05.1988 17:00:00;  5,63
06.06.1988 05:45:00;  3,78
15.07.1988 13:30:00;  5,87
21.08.1988 08:45:00;  7,38
14.09.1988 01:00:00;  8,49
13.10.1988 08:30:00;  10,3
04.11.1988 11:45:00;  1,86
02.12.1988 10:45:00;  1,93
10.01.1989 08:00:00;  1,15
25.02.1989 00:00:00;  4,45
18.03.1989 23:30:00;  3,59
28.04.1989 07:45:00;  8,49
14.05.1989 13:15:00;  4,97
04.06.1989 20:15:00;  3,78
05.07.1989 00:15:00;  4,97
08.08.1989 20:15:00;  2,61
28.09.1989 03:45:00;  3,25
28.10.1989 08:00:00;  1,80
04.11.1989 18:15:00;  3,78
19.12.1989 11:15:00;  5,87
29.01.1990 06:30:00;  3,42
12.02.1990 22:45:00; 0,916
25.03.1990 15:45:00;  1,55
08.04.1990 01:00:00;  3,08
06.05.1990 18:00:00;  1,44
08.06.1990 23:30:00;  2,61
06.07.1990 11:30:00;  6,10
07.08.1990 07:45:00;  3,59
24.09.1990 08:15:00;  4,15
27.10.1990 20:30:00;  4,35
26.11.1990 03:00:00;  32,7
01.12.1990 00:00:00;  3,59
14.01.1991 15:45:00;  1,96
06.02.1991 12:30:00;  1,54
26.03.1991 01:45:00;  5,17
06.04.1991 08:00:00;  3,52
11.05.1991 01:15:00;  8,20
28.06.1991 01:45:00;  4,97
25.07.1991 21:30:00;  7,91
01.08.1991 00:00:00;  3,43
30.09.1991 21:15:00;  24,3
01.10.1991 00:00:00;  7,10
14.11.1991 12:45:00;  9,09
01.12.1991 10:15:00;  1,92
27.01.1992 03:15:00; 0,991
10.02.1992 16:15:00; 0,991
24.03.1992 17:30:00;  2,62
06.04.1992 10:00:00;  5,63
04.05.1992 02:15:00;  5,86
20.06.1992 14:45:00;  3,96
23.07.1992 00:15:00;  5,63
11.08.1992 19:00:00;  1,54
01.09.1992 10:00:00;  9,99
05.10.1992 22:45:00;  9,36
16.11.1992 23:00:00;  3,96
05.12.1992 14:30:00;  23,9
08.01.1993 16:30:00;  2,07
19.02.1993 12:15:00;  1,20
24.03.1993 13:00:00;  1,28
17.04.1993 13:45:00;  1,20
28.05.1993 19:30:00;  1,28
11.06.1993 07:15:00;  1,20
20.07.1993 16:00:00;  9,36
25.08.1993 21:15:00;  12,4
14.09.1993 11:30:00;  8,48
14.10.1993 12:30:00;  76,3
08.11.1993 14:15:00;  3,78
16.12.1993 17:15:00;  2,48
08.01.1994 11:00:00;  5,86
01.02.1994 17:30:00;  1,96
02.03.1994 02:45:00;  2,34
18.04.1994 11:00:00;  2,62
04.05.1994 07:15:00;  1,96
21.06.1994 14:15:00;  1,74
18.07.1994 19:15:00;  3,78
18.08.1994 09:15:00;  2,61
14.09.1994 19:30:00;  6,59
27.10.1994 00:15:00;  3,26
11.11.1994 06:30:00;  3,60
09.12.1994 14:00:00;  1,54
27.01.1995 08:00:00;  1,54
17.02.1995 16:15:00;  1,28
28.03.1995 03:30:00;  2,20
26.04.1995 02:30:00;  1,96
13.05.1995 03:30:00;  3,60
11.06.1995 11:45:00;  4,97
03.07.1995 02:15:00;  4,55
25.08.1995 16:15:00;  3,26
14.09.1995 03:00:00;  5,18
05.10.1995 16:00:00;  1,74
02.11.1995 08:45:00;  1,28
24.12.1995 18:00:00;  1,45
15.01.1996 12:15:00;  1,03
21.02.1996 16:15:00; 0,788
25.03.1996 21:00:00;  1,15
09.04.1996 02:15:00;  1,44
22.05.1996 06:45:00;  3,25
22.06.1996 12:15:00;  14,6
08.07.1996 11:30:00;  13,6
29.08.1996 02:30:00;  5,18
23.09.1996 07:15:00;  3,09
02.10.1996 18:00:00;  9,99
14.11.1996 22:15:00;  45,6
04.12.1996 18:00:00;  4,76
01.01.1997 00:00:00;  2,07
07.02.1997 18:59:30;  2,46
06.03.1997 10:28:55;  2,64
14.04.1997 12:43:35;  1,27
08.05.1997 19:39:00;  1,29
28.06.1997 02:35:10;  8,12
14.07.1997 22:34:15;  4,33
29.08.1997 01:51:30;  7,72
07.09.1997 18:46:20;  3,84
09.10.1997 16:09:30;  1,29
12.11.1997 19:34:45;  5,70
20.12.1997 15:01:10;  6,14
05.01.1998 15:15:30;  2,38
13.02.1998 18:19:55; 0,973
05.03.1998 16:29:55;  1,00
23.04.1998 13:33:00;  1,64
25.05.1998 03:47:20;  1,03
11.06.1998 15:46:55;  3,97
03.07.1998 22:35:00;  5,14
28.08.1998 00:48:20;  5,12
12.09.1998 11:50:25;  13,1
07.10.1998 17:59:35;  37,3
06.11.1998 06:55:40;  3,26
12.12.1998 16:32:10;  1,59
02.01.1999 14:17:25;  1,61
18.02.1999 18:20:00;  1,28
05.03.1999 18:18:05;  2,56
17.04.1999 00:11:45;  11,2
21.05.1999 15:58:50;  4,68
21.06.1999 20:59:30;  3,76
22.07.1999 22:47:50;  7,95
16.08.1999 23:46:35;  11,5
21.09.1999 04:33:05;  6,97
04.10.1999 08:28:10;  39,4
17.11.1999 15:28:45;  3,23
06.12.1999 09:06:25;  2,70
28.01.2000 11:38:30;  1,37
09.02.2000 09:59:45;  1,27
29.03.2000 20:55:35;  1,99
16.04.2000 05:14:45;  3,40
19.05.2000 16:15:45;  2,96
25.06.2000 06:17:55;  2,30
11.07.2000 18:07:15;  5,03
06.08.2000 04:40:20;  4,31
21.09.2000 06:48:50;  4,14
12.10.2000 09:59:50;  10,1
07.11.2000 02:20:15;  34,7
09.12.2000 16:15:15;  4,78
08.01.2001 12:01:50;  16,6
09.02.2001 02:46:35;  3,50
13.03.2001 12:44:30;  4,94
26.04.2001 15:41:55;  4,54
10.05.2001 10:23:25;  3,72
11.06.2001 12:29:20;  9,66
20.07.2001 09:43:50;  6,89
31.08.2001 22:40:35;  3,62
01.09.2001 07:59:55;  4,85
08.10.2001 04:23:35;  3,24
12.11.2001 15:08:15;  3,10
04.12.2001 13:09:55; 0,913
01.01.2002 00:00:00; 0,761
07.02.2002 15:17:00;  1,04
03.03.2002 14:11:00;  2,78
15.04.2002 15:19:30;  1,69
26.05.2002 11:11:55;  4,46
24.06.2002 00:12:35;  5,71
04.07.2002 12:26:25;  6,47
11.08.2002 18:55:30;  6,27
03.09.2002 04:31:20;  5,86
17.10.2002 20:54:45;  6,88
26.11.2002 10:00:35;  33,2
01.12.2002 00:00:00;  8,55
05.01.2003 09:21:25;  3,34
01.02.2003 05:05:10;  2,59
12.03.2003 22:34:05;  1,69
06.04.2003 21:54:25;  1,42
20.05.2003 17:52:10;  6,85
15.06.2003 02:35:10;  2,80
28.07.2003 22:00:55;  4,50
30.08.2003 01:36:45;  19,7
01.09.2003 00:00:00;  6,79
05.10.2003 12:53:45;  9,51
01.11.2003 14:22:10;  19,7
01.12.2003 00:00:00;  4,63
02.01.2004 11:19:35;  1,85
23.02.2004 17:13:45;  1,47
22.03.2004 09:48:35;  4,91
04.04.2004 19:17:50;  5,54
06.05.2004 10:39:10;  4,55
20.06.2004 19:30:00;  8,23
02.07.2004 23:00:00;  5,17
21.08.2004 10:35:30;  6,84
15.09.2004 21:53:20;  5,90
31.10.2004 14:59:55;  30,0
01.11.2004 00:00:00;  9,91
26.12.2004 06:55:50;  2,46
18.01.2005 14:43:40;  1,76
01.02.2005 00:00:00;  1,05
25.03.2005 14:18:10;  2,45
20.04.2005 03:22:05;  3,29
19.05.2005 00:35:40;  3,34
26.06.2005 05:38:15;  2,38
08.07.2005 09:01:35;  4,98
15.08.2005 01:30:10;  4,24
29.09.2005 20:28:10;  4,31
04.10.2005 20:45:50;  7,41
06.11.2005 14:11:50;  1,56
03.12.2005 10:47:20;  1,85
03.01.2006 16:07:30;  1,20
20.02.2006 11:32:15;  1,29
29.03.2006 02:36:35;  6,12
11.04.2006 07:19:40;  5,73
20.05.2006 06:44:20;  7,14
29.06.2006 16:56:20;  3,39
25.07.2006 09:41:30;  1,85
03.08.2006 20:58:20;  5,87
15.09.2006 23:00:25;  3,46
05.10.2006 00:13:15;  4,00
25.11.2006 17:30:25;  1,28
09.12.2006 14:58:15;  7,08
20.01.2007 05:14:25;  1,09
26.02.2007 03:52:40;  2,48
07.03.2007 23:08:15;  3,65
04.04.2007 07:34:05;  3,03
29.05.2007 06:01:45;  4,36
10.06.2007 18:22:30;  2,92
10.07.2007 03:22:30;  4,55
30.08.2007 12:52:30;  11,0
28.09.2007 08:22:30;  4,97
28.10.2007 06:22:30;  3,78
25.11.2007 00:37:30;  9,08
02.12.2007 13:37:30;  2,33
12.01.2008 18:22:30;  5,41
03.02.2008 11:37:30;  1,49
19.03.2008 19:37:30;  2,20
12.04.2008 15:07:30;  3,26
18.05.2008 14:22:30;  5,40
13.06.2008 13:52:30;  4,75
29.07.2008 17:37:30;  3,42
15.08.2008 16:22:30;  50,3
13.09.2008 19:37:30;  2,92
30.10.2008 02:07:30;  29,3
01.11.2008 00:07:30;  12,1
01.12.2008 12:52:30;  3,39
21.01.2009 01:07:30;  6,32
07.02.2009 13:37:30;  7,99
29.03.2009 20:07:30;  7,70
05.04.2009 21:37:30;  8,76
13.05.2009 20:37:30;  5,53
06.06.2009 17:52:30;  18,4
18.07.2009 07:22:30;  7,15
29.08.2009 13:52:30;  8,57
05.09.2009 04:07:30;  8,57
22.10.2009 16:37:30;  4,35
30.11.2009 23:22:30;  8,20
25.12.2009 05:52:30;  14,6
01.01.2010 00:07:30;  2,47
19.02.2010 15:30:05;  1,93
27.03.2010 04:15:05;  7,11
01.04.2010 21:00:00;  4,30
06.05.2010 09:52:30;  7,92
17.06.2010 18:07:30;  2,93
11.07.2010 19:30:05;  2,24
24.08.2010 23:00:00;  3,42
25.09.2010 12:52:30;  7,64
31.10.2010 23:59:55;  7,60
01.11.2010 10:15:05;  10,6
24.12.2010 08:37:30;  8,75
11.01.2011 00:52:30;  2,92
22.02.2011 10:07:30;  2,33
17.03.2011 03:46:20;  7,71
05.04.2011 00:24:50;  2,74
28.05.2011 00:15:00;  5,87
19.06.2011 05:00:00;  19,4
24.07.2011 12:30:00;  4,36
08.08.2011 20:30:00;  3,05
19.09.2011 15:15:00;  11,8
26.10.2011 12:15:05;  13,2
01.11.2011 00:00:00;  2,35
17.12.2011 01:45:05;  1,92
03.01.2012 04:30:05;  1,42
29.02.2012 20:45:05;  2,06
01.03.2012 17:00:05;  2,61
07.04.2012 20:00:05;  3,42
06.05.2012 17:45:05;  1,80
25.06.2012 17:30:05;  3,78
15.07.2012 08:43:50;  19,7
31.08.2012 22:13:00;  7,29
27.09.2012 08:11:25;  50,6
01.10.2012 10:33:55;  18,3
05.11.2012 04:39:50;  46,8
01.12.2012 00:00:00;  4,97
15.01.2013 03:30:05;  2,51
04.02.2013 18:15:05;  1,89
10.03.2013 23:30:05;  3,96
16.04.2013 19:15:00;  5,87
17.05.2013 17:45:05;  6,35
02.06.2013 02:30:05;  4,55
10.07.2013 19:30:00;  2,92
25.08.2013 12:30:05;  6,60
11.09.2013 04:45:05;  2,77
11.10.2013 01:30:05;  10,0
09.11.2013 19:00:00;  7,38
26.12.2013 06:15:05;  7,65
20.01.2014 01:15:05;  15,2
19.02.2014 22:30:05;  13,5
23.03.2014 15:30:05;  21,8
08.04.2014 23:30:00;  9,41
11.05.2014 20:00:00;  6,88
30.06.2014 05:15:05;  8,76
12.07.2014 17:45:00;  3,57
13.08.2014 16:45:00;  16,8
01.09.2014 04:30:05;  18,0
10.10.2014 10:15:05;  2,20
08.11.2014 13:30:00;  13,5
01.12.2014 11:45:00;  7,19
17.01.2015 16:00:00;  9,62
01.02.2015 13:15:00;  2,06
26.03.2015 18:00:00;  1,93
01.04.2015 00:00:00;  1,31
23.05.2015 06:00:00;  3,83
23.06.2015 22:15:00;  2,18
23.07.2015 21:00:00;  7,39
05.08.2015 02:15:00;  4,78
23.09.2015 17:45:00;  5,78
15.10.2015 04:15:00;  11,2
03.11.2015 08:15:00;  1,82
01.12.2015 00:00:00; 0,992
11.01.2016 22:45:00;  6,45
10.02.2016 03:15:00;  2,59
31.03.2016 23:00:00;  2,75
01.04.2016 20:30:00;  2,93
02.05.2016 06:45:00;  4,78
17.06.2016 06:30:00;  6,30
14.07.2016 00:45:00;  22,5
10.08.2016 11:15:00;  9,85
04.09.2016 17:00:00;  2,13
20.10.2016 06:45:00;  4,45
19.11.2016 13:15:00;  13,4
01.12.2016 00:00:00;  1,68
06.01.2017 21:30:00;  1,40
28.02.2017 23:15:00;  3,39
04.03.2017 22:30:00;  7,33
28.04.2017 02:00:00;  17,2
31.05.2017 12:45:00;  2,65
22.06.2017 22:15:00;  2,82
24.07.2017 20:15:00;  8,24
20.08.2017 03:15:00;  9,32
12.09.2017 15:30:00;  11,2
04.10.2017 12:45:00;  2,18
06.11.2017 05:00:00;  3,77
12.12.2017 05:30:00;  24,1
09.01.2018 16:15:00;  11,7
01.02.2018 20:15:00;  2,75
31.03.2018 10:45:00;  11,7
26.04.2018 19:15:00;  8,67
03.05.2018 22:15:00;  4,45
09.06.2018 21:45:00;  2,42
11.07.2018 21:30:00;  3,13
31.08.2018 23:59:55;  4,45
01.09.2018 09:30:00;  9,55
