Messstelle:                ;Deutsch Griffen
22.04.2013 17:40:05;  2,62
05.05.2013 20:00:00;  2,42
07.06.2013 14:30:00;  1,73
27.07.2013 20:00:00;  2,73
25.08.2013 15:00:00;  1,59
11.09.2013 00:30:00;  1,51
29.10.2013 23:15:00;  1,61
09.11.2013 14:30:00;  1,51
01.12.2013 03:30:00; 0,915
05.01.2014 12:45:00; 0,838
19.02.2014 21:15:00;  1,42
23.03.2014 15:00:00;  2,49
07.04.2014 16:15:00;  1,49
11.05.2014 17:45:00;  1,59
30.06.2014 05:15:00;  1,42
30.07.2014 11:30:00; 0,838
31.08.2014 23:00:00;  3,76
13.09.2014 05:45:00;  5,41
01.10.2014 13:30:00; 0,773
06.11.2014 23:45:00;  3,31
01.12.2014 10:45:00;  1,71
10.01.2015 03:30:00;  1,66
01.02.2015 07:00:00; 0,424
25.03.2015 20:00:00; 0,735
11.04.2015 19:45:00; 0,826
23.05.2015 02:45:00;  1,90
23.06.2015 09:06:50;  2,16
16.07.2015 17:00:00;  7,20
02.08.2015 08:15:00;  2,15
05.09.2015 12:15:00;  1,90
16.10.2015 09:00:00;  2,02
01.11.2015 00:45:00; 0,565
01.12.2015 00:00:00; 0,268
11.01.2016 21:00:00; 0,917
29.02.2016 05:21:55; 0,522
31.03.2016 19:15:00; 0,399
08.04.2016 14:15:00;  1,02
24.05.2016 08:00:00;  1,44
27.06.2016 03:45:00;  2,64
25.07.2016 01:45:00;  4,22
14.08.2016 18:30:00;  3,18
17.09.2016 06:00:00; 0,841
20.10.2016 01:00:00;  1,02
19.11.2016 11:30:00;  3,04
01.12.2016 00:00:00; 0,536
04.01.2017 14:45:00; 0,262
22.02.2017 15:00:00; 0,224
04.03.2017 23:00:00; 0,536
28.04.2017 02:15:00;  1,67
02.05.2017 00:15:00; 0,467
25.06.2017 12:30:00;  1,24
24.07.2017 08:45:00;  5,02
19.08.2017 23:28:25;  3,71
19.09.2017 15:15:00;  4,85
01.10.2017 00:00:00; 0,777
06.11.2017 06:15:00;  1,56
12.12.2017 07:00:00;  1,67
09.01.2018 17:15:00;  2,02
01.02.2018 20:00:00; 0,420
31.03.2018 11:00:00;  1,24
26.04.2018 18:30:00;  2,38
12.05.2018 18:00:00;  16,4
07.06.2018 18:45:00;  10,2
03.07.2018 17:28:25; 0,617
26.08.2018 04:13:25; 0,938
01.09.2018 11:13:25;  1,20
29.10.2018 21:28:25;  2,45
02.11.2018 22:28:25;  1,08
03.12.2018 11:28:25; 0,361
01.01.2019 00:00:00; 0,231
05.02.2019 09:30:00; 0,430
02.03.2019 11:00:00; 0,495
13.04.2019 13:15:00; 0,803
30.05.2019 19:45:00;  1,34
01.06.2019 00:00:00;  1,24
26.07.2019 20:45:00;  3,14
24.08.2019 17:15:00;  4,01
08.09.2019 19:30:00;  6,27
02.10.2019 12:15:00; 0,791
18.11.2019 04:00:00;  12,9
21.12.2019 15:45:00;  1,71
01.01.2020 00:00:00; 0,546
04.02.2020 10:15:00; 0,365
22.03.2020 00:00:00; 0,546
20.04.2020 04:15:00; 0,912
19.05.2020 21:00:00;  1,30
09.06.2020 09:00:00;  1,30
11.07.2020 12:15:00;  4,32
03.08.2020 21:00:00;  9,63
25.09.2020 21:30:00;  4,34
05.10.2020 06:30:00;  2,19
04.11.2020 13:00:00; 0,757
06.12.2020 13:00:00;  4,34
20.01.2021 12:00:00; 0,430
08.02.2021 01:00:00;  1,03
01.03.2021 00:45:00; 0,703
12.04.2021 17:45:05; 0,994
24.05.2021 22:15:00;  1,45
05.06.2021 20:15:00; 0,757
14.07.2021 04:00:00;  1,45
17.08.2021 02:15:00; 0,757
19.09.2021 23:45:00;  5,63
06.10.2021 18:00:00; 0,942
02.11.2021 01:45:00;  1,12
07.12.2021 12:45:00; 0,362
