Messstelle:                ;Siget in der Wart
11.10.2000 07:07:10;  1,08
04.11.2000 21:25:55;  5,23
28.12.2000 09:25:50;  4,48
08.01.2001 22:31:55;  1,44
01.02.2001 00:00:00; 0,452
13.03.2001 17:52:40;  1,09
08.04.2001 14:57:25;  1,37
05.05.2001 02:34:00;  1,09
17.06.2001 18:51:20; 0,707
20.07.2001 20:50:05;  2,64
21.08.2001 19:36:20; 0,256
16.09.2001 20:32:55;  1,57
22.10.2001 05:31:20; 0,363
09.11.2001 08:03:15; 0,241
03.12.2001 19:14:50; 0,213
23.01.2002 08:01:45; 0,202
10.02.2002 12:18:05; 0,279
24.03.2002 20:27:30; 0,224
12.04.2002 15:18:30; 0,398
26.05.2002 07:42:05; 0,636
28.06.2002 17:26:40;  1,28
16.07.2002 17:24:45;  4,15
12.08.2002 11:11:45;  6,62
08.09.2002 15:38:20; 0,535
18.10.2002 06:54:35;  1,64
30.11.2002 04:22:15; 0,959
06.12.2002 09:06:50;  1,07
12.01.2003 11:35:30; 0,440
02.02.2003 13:38:35; 0,388
03.03.2003 21:12:45; 0,314
11.04.2003 16:02:50; 0,315
13.05.2003 03:55:40; 0,806
13.06.2003 21:14:30; 0,677
04.07.2003 17:55:20;  1,45
31.08.2003 18:49:05;  1,22
01.09.2003 00:00:00; 0,660
04.10.2003 13:35:15;  2,00
02.11.2003 13:00:25; 0,604
08.12.2003 23:55:05; 0,273
10.01.2004 05:48:20; 0,184
23.02.2004 18:55:30; 0,283
25.03.2004 03:14:10;  1,83
20.04.2004 16:52:30; 0,869
08.05.2004 01:28:25; 0,928
13.06.2004 00:17:35;  20,4
02.07.2004 01:48:20;  2,31
07.08.2004 16:06:55;  2,73
15.09.2004 20:43:05; 0,338
10.10.2004 15:19:10;  1,16
09.11.2004 20:34:35; 0,342
27.12.2004 17:19:55;  1,92
01.01.2005 00:00:00; 0,342
26.02.2005 06:58:00; 0,215
17.03.2005 22:31:50;  2,35
20.04.2005 21:35:55;  1,98
18.05.2005 21:04:00; 0,609
12.06.2005 22:54:20;  4,42
11.07.2005 18:34:55;  1,91
15.08.2005 08:39:10;  3,47
11.09.2005 08:06:50;  1,32
01.10.2005 01:23:05; 0,354
27.11.2005 18:59:20;  3,00
06.12.2005 17:01:40;  1,23
03.01.2006 00:26:35; 0,715
20.02.2006 23:34:05;  3,59
29.03.2006 08:26:50;  1,19
29.04.2006 23:03:15;  7,21
01.05.2006 05:51:35;  3,39
03.06.2006 05:25:35;  6,31
08.07.2006 09:44:55;  2,53
04.08.2006 02:29:10;  3,62
17.09.2006 08:24:55; 0,528
25.10.2006 00:21:10; 0,903
22.11.2006 13:44:45; 0,999
10.12.2006 02:29:10; 0,366
24.01.2007 03:45:00; 0,493
26.02.2007 07:30:40;  1,40
19.03.2007 11:35:45;  1,20
03.04.2007 22:32:25; 0,512
12.05.2007 03:15:05;  1,04
17.06.2007 04:56:00;  3,57
10.07.2007 06:34:50;  1,86
30.08.2007 21:32:30; 0,847
07.09.2007 23:32:45;  5,42
28.10.2007 21:19:45;  6,01
01.11.2007 00:00:00; 0,531
10.12.2007 05:03:50;  1,58
01.01.2008 00:00:00; 0,316
21.02.2008 05:22:45; 0,253
16.03.2008 22:43:45;  1,02
22.04.2008 02:39:00; 0,559
25.05.2008 00:13:45; 0,935
27.06.2008 05:26:50;  7,78
21.07.2008 03:30:55;  12,3
16.08.2008 07:54:40;  10,8
12.09.2008 10:37:35; 0,614
04.10.2008 02:37:20; 0,443
08.11.2008 16:31:15; 0,630
18.12.2008 14:14:55;  4,42
22.01.2009 04:00:30;  4,87
09.02.2009 00:36:50;  9,53
06.03.2009 22:03:35;  4,80
03.04.2009 07:59:45; 0,640
30.05.2009 20:13:35;  3,82
27.06.2009 01:18:25;  20,8
02.07.2009 00:29:35;  9,13
29.08.2009 09:25:20;  6,67
04.09.2009 22:54:45;  3,35
12.10.2009 14:22:15;  1,00
07.11.2009 05:40:30; 0,949
25.12.2009 23:00:00;  3,57
09.01.2010 22:45:00;  1,74
26.02.2010 22:30:00;  4,57
01.03.2010 00:00:00;  1,11
02.04.2010 05:30:00;  1,06
28.05.2010 02:00:00;  1,63
16.06.2010 12:45:00;  10,2
18.07.2010 05:00:00;  1,54
15.08.2010 06:00:00;  9,85
26.09.2010 05:45:00;  24,5
18.10.2010 02:00:00;  1,25
22.11.2010 10:45:05;  3,84
08.12.2010 22:25:00;  4,01
19.01.2011 22:34:00;  1,46
03.02.2011 15:19:00; 0,510
17.03.2011 07:04:00;  2,49
04.04.2011 19:04:00; 0,991
14.05.2011 21:35:00;  2,75
24.06.2011 00:50:00;  9,73
15.07.2011 02:20:00;  3,65
04.08.2011 07:50:00;  7,27
20.09.2011 00:50:00;  1,45
07.10.2011 16:20:00;  1,20
27.11.2011 18:20:00; 0,240
13.12.2011 03:50:00; 0,479
28.01.2012 10:35:00; 0,506
03.02.2012 12:05:00; 0,292
01.03.2012 06:50:00; 0,233
12.04.2012 09:05:00;  1,44
04.05.2012 13:35:00;  8,78
22.06.2012 00:49:00;  2,56
25.07.2012 22:49:00;  7,94
01.08.2012 00:19:00; 0,569
13.09.2012 03:15:00;  1,33
16.10.2012 11:45:00;  1,76
05.11.2012 15:30:00;  19,1
14.12.2012 11:00:00; 0,751
31.01.2013 22:45:00;  1,07
26.02.2013 12:30:00;  12,7
31.03.2013 08:30:00;  7,32
12.04.2013 22:30:00;  4,63
10.05.2013 22:45:00;  10,9
02.06.2013 14:15:00;  3,57
11.07.2013 15:45:00;  3,04
28.08.2013 07:00:00;  2,23
17.09.2013 06:30:00;  3,79
30.10.2013 07:00:00; 0,533
24.11.2013 14:30:00;  4,91
27.12.2013 06:15:00; 0,706
06.01.2014 01:30:00;  1,38
09.02.2014 19:30:00;  10,1
24.03.2014 02:30:00;  1,40
22.04.2014 19:45:00;  3,00
25.05.2014 00:30:00;  26,9
30.06.2014 10:45:00;  2,56
14.07.2014 16:45:00;  7,88
14.08.2014 00:45:00;  17,3
13.09.2014 08:30:00;  13,1
22.10.2014 06:45:00;  7,88
18.11.2014 10:45:00;  6,11
08.12.2014 03:15:00;  2,87
11.01.2015 16:30:00;  4,40
24.02.2015 21:15:00;  1,54
26.03.2015 10:15:00; 0,760
28.04.2015 21:29:00;  1,39
13.05.2015 22:45:00;  11,3
23.06.2015 18:00:00;  1,16
23.07.2015 16:00:00;  5,10
17.08.2015 04:30:00;  1,24
25.09.2015 18:00:00; 0,549
15.10.2015 22:45:00;  2,21
21.11.2015 11:00:00; 0,271
24.12.2015 15:30:00; 0,343
04.01.2016 07:30:00; 0,479
19.02.2016 13:15:00;  2,22
29.03.2016 18:30:00;  1,69
08.04.2016 20:15:00; 0,602
28.05.2016 00:15:00;  24,2
15.06.2016 13:00:00;  15,5
13.07.2016 00:00:00;  4,39
21.08.2016 13:45:00;  17,8
05.09.2016 10:00:00;  1,93
26.10.2016 03:30:00;  1,72
07.11.2016 00:30:00;  5,30
28.12.2016 16:30:00; 0,603
21.01.2017 09:30:00; 0,524
06.02.2017 12:00:00;  3,69
01.03.2017 06:15:00; 0,839
28.04.2017 16:45:00; 0,898
14.05.2017 20:00:00;  4,86
22.06.2017 17:45:00;  3,45
24.07.2017 18:00:00;  3,29
11.08.2017 02:00:00;  6,28
20.09.2017 04:00:00;  1,65
29.10.2017 20:15:00; 0,397
30.11.2017 03:45:00; 0,353
13.12.2017 02:34:00; 0,720
10.01.2018 14:49:00; 0,569
19.02.2018 09:15:00; 0,480
30.03.2018 04:30:00;  2,42
01.04.2018 06:30:00;  1,11
29.05.2018 23:30:00;  8,04
06.06.2018 21:15:00;  19,2
28.07.2018 16:45:00; 0,861
11.08.2018 04:15:00; 0,823
14.09.2018 20:00:00;  2,16
28.10.2018 11:30:00;  1,31
26.11.2018 18:15:00;  1,45
18.12.2018 08:45:00; 0,441
30.01.2019 13:30:00; 0,289
04.02.2019 00:30:00; 0,932
25.03.2019 20:15:00; 0,404
06.04.2019 02:30:00; 0,426
28.05.2019 11:30:00;  3,54
05.06.2019 19:15:00;  3,30
31.07.2019 22:15:00;  3,93
01.08.2019 00:00:00;  1,66
02.09.2019 17:45:00;  3,19
02.10.2019 19:15:00; 0,975
13.11.2019 20:30:00;  2,68
21.12.2019 20:15:00;  4,08
01.01.2020 04:15:00; 0,350
26.02.2020 18:00:00; 0,607
06.03.2020 15:45:00; 0,774
19.04.2020 19:00:00; 0,597
03.05.2020 04:00:00; 0,576
29.06.2020 16:00:00;  2,44
21.07.2020 22:00:00;  14,0
16.08.2020 17:45:00;  9,84
28.09.2020 10:15:00;  8,75
03.10.2020 23:15:00;  21,9
16.11.2020 21:30:00; 0,563
10.12.2020 06:15:00;  4,04
23.01.2021 22:45:00;  1,93
09.02.2021 20:30:00;  1,60
13.03.2021 00:15:00; 0,917
12.04.2021 22:45:00;  1,09
17.05.2021 09:30:00;  2,78
06.06.2021 16:30:00;  1,11
17.07.2021 15:45:00;  8,69
22.08.2021 20:00:00;  8,64
17.09.2021 13:00:00; 0,772
12.10.2021 17:00:00; 0,485
02.11.2021 07:45:00;  1,49
16.12.2021 01:45:00; 0,336
