Messstelle:                ;Wehrstelle KW Aschach
27.07.1982 12:00:00;  2600
01.08.1982 12:00:00;  2330
01.09.1982 12:00:00;  1840
15.10.1982 12:00:00;  1340
19.11.1982 12:00:00;  1050
21.12.1982 12:00:00;  2050
06.01.1983 12:00:00;  2930
02.02.1983 12:00:00;  2260
02.03.1983 12:00:00;  1820
12.04.1983 12:00:00;  2580
09.05.1983 12:00:00;  2440
15.06.1983 12:00:00;  3480
08.07.1983 12:00:00;  2410
06.08.1983 12:00:00;  2880
18.09.1983 12:00:00;  1460
12.10.1983 12:00:00;  1520
30.11.1983 12:00:00;  1350
24.12.1983 12:00:00;  2750
18.01.1984 12:00:00;  1620
07.02.1984 12:00:00;  2020
31.03.1984 12:00:00;  1430
05.04.1984 12:00:00;  1460
22.05.1984 12:00:00;  1950
26.06.1984 12:00:00;  2450
04.07.1984 12:00:00;  2250
14.08.1984 12:00:00;  2250
17.09.1984 12:00:00;  2850
03.10.1984 12:00:00;  1930
29.11.1984 12:00:00;   950
20.12.1984 12:00:00;  1060
31.01.1985 12:00:00;  1050
03.02.1985 12:00:00;  3970
28.03.1985 12:00:00;  1260
10.04.1985 12:00:00;  1460
31.05.1985 12:00:00;  2270
23.06.1985 12:00:00;  2510
21.07.1985 12:00:00;  2150
08.08.1985 12:00:00;  5840
07.09.1985 12:00:00;  2120
16.10.1985 12:00:00;   950
12.11.1985 12:00:00;   950
19.12.1985 12:00:00;  1360
19.01.1986 12:00:00;  2790
02.02.1986 12:00:00;  1440
27.03.1986 12:00:00;  1920
30.04.1986 12:00:00;  1930
31.05.1986 12:00:00;  2970
01.06.1986 00:00:00;  2861
08.07.1986 12:00:00;  1830
30.08.1986 12:00:00;  1790
01.09.1986 00:00:00;  1500
25.10.1986 12:00:00;  1460
05.11.1986 12:00:00;  1130
31.12.1986 12:00:00;  2050
02.01.1987 12:00:00;  3070
28.02.1987 12:00:00;  2230
03.03.1987 12:00:00;  4350
11.04.1987 12:00:00;  2710
20.05.1987 12:00:00;  2780
16.06.1987 12:00:00;  3270
02.07.1987 12:00:00;  3660
03.08.1987 12:00:00;  3340
28.09.1987 02:00:00;  2135
01.10.1987 00:00:00;  1573
21.11.1987 02:00:00;  1275
19.12.1987 12:00:00;  3464
29.01.1988 12:00:00;  1446
11.02.1988 12:00:00;  1354
25.03.1988 12:00:00;  4957
01.04.1988 00:00:00;  3376
21.05.1988 12:00:00;  2676
06.06.1988 12:00:00;  2803
15.07.1988 12:00:00;  2958
30.08.1988 12:00:00;  2468
03.09.1988 12:00:00;  2467
14.10.1988 12:00:00;  1292
30.11.1988 12:00:00;  1433
11.12.1988 12:00:00;  3793
08.01.1989 12:00:00;  2055
21.02.1989 12:00:00;  1729
14.03.1989 12:00:00;  1521
06.04.1989 12:00:00;  1829
15.05.1989 12:00:00;  1689
23.06.1989 12:00:00;  2182
04.07.1989 12:00:00;  3010
04.08.1989 12:00:00;  2116
05.09.1989 12:00:00;  1799
01.10.1989 00:00:00;  1482
09.11.1989 12:00:00;  1655
20.12.1989 12:00:00;  1931
27.01.1990 12:00:00;  1126
16.02.1990 12:00:00;  3904
01.03.1990 12:00:00;  2536
26.04.1990 12:00:00;  1498
26.05.1990 12:00:00;  1682
13.06.1990 12:00:00;  2493
11.07.1990 12:00:00;  3971
18.08.1990 12:00:00;  1380
25.09.1990 12:00:00;  1810
09.10.1990 12:00:00;  1415
20.11.1990 12:00:00;  1777
31.12.1990 12:00:00;  1366
03.01.1991 12:00:00;  2208
26.02.1991 12:00:00;   864
22.03.1991 12:00:00;  1324
08.04.1991 12:00:00;  1027
14.05.1991 12:00:00;  2085
18.06.1991 12:00:00;  4064
15.07.1991 12:00:00;  2732
04.08.1991 12:00:00;  5746
01.09.1991 12:00:00;   966
02.10.1991 12:00:00;  1101
21.11.1991 12:00:00;   965
23.12.1991 12:00:00;  4428
01.01.1992 00:00:00;  1184
14.02.1992 12:00:00;  1602
24.03.1992 12:00:00;  2966
29.04.1992 12:00:00;  2895
01.05.1992 00:00:00;  2389
04.06.1992 12:00:00;  2152
12.07.1992 12:00:00;  1671
16.08.1992 12:00:00;  1285
05.09.1992 12:00:00;  1453
30.10.1992 12:00:00;  1608
23.11.1992 12:00:00;  4143
01.12.1992 12:00:00;  2592
09.01.1993 12:00:00;  1841
01.02.1993 00:00:00;  1296
19.03.1993 12:00:00;  2350
20.04.1993 12:00:00;  1617
28.05.1993 12:00:00;  1641
24.06.1993 12:00:00;  2247
20.07.1993 12:00:00;  4235
01.08.1993 00:00:00;  2479
06.09.1993 12:00:00;  2296
24.10.1993 12:00:00;  2066
01.11.1993 00:00:00;  1127
21.12.1993 12:00:00;  3448
05.01.1994 12:00:00;  2068
01.02.1994 12:00:00;  1613
26.03.1994 12:00:00;  2326
18.04.1994 12:00:00;  4044
20.05.1994 12:00:00;  2511
10.06.1994 12:00:00;  2408
07.07.1994 12:00:00;  2015
25.08.1994 12:00:00;  2105
15.09.1994 12:00:00;  1540
05.10.1994 12:00:00;  1080
20.11.1994 12:00:00;  2099
29.12.1994 12:00:00;  2222
26.01.1995 12:00:00;  3064
01.02.1995 00:00:00;  2472
21.03.1995 12:00:00;  2096
02.04.1995 12:00:00;  2979
31.05.1995 12:00:00;  2643
07.06.1995 12:00:00;  4497
04.07.1995 12:00:00;  2828
30.08.1995 12:00:00;  3694
02.09.1995 12:00:00;  4550
02.10.1995 12:00:00;  1462
18.11.1995 12:00:00;  1989
26.12.1995 12:00:00;  2490
01.01.1996 00:00:00;  1320
19.02.1996 12:00:00;  1070
25.03.1996 12:00:00;  1830
10.04.1996 12:00:00;  1300
28.05.1996 12:00:00;  2994
23.06.1996 12:00:00;  2086
11.07.1996 12:00:00;  3574
29.08.1996 12:00:00;  2000
14.09.1996 12:00:00;  2527
22.10.1996 12:00:00;  3695
02.11.1996 12:00:00;  1847
04.12.1996 12:00:00;  1408
10.01.1997 08:00:00;  1012
28.02.1997 13:00:00;  1889
01.03.1997 08:00:00;  1910
06.04.1997 23:00:00;  2219
21.05.1997 16:00:00;  2267
20.06.1997 15:00:00;  2142
20.07.1997 08:00:00;  4624
02.08.1997 08:00:00;  2201
01.09.1997 08:00:00;  1302
13.10.1997 09:00:00;  1592
30.11.1997 23:59:55;   856
14.12.1997 02:00:00;  2164
07.01.1998 22:00:00;  1104
18.02.1998 12:00:00;   914
18.03.1998 01:00:00;  2244
02.04.1998 23:55:00;  1523
13.05.1998 16:00:00;  1408
13.06.1998 13:00:00;  2496
14.07.1998 20:00:00;  2180
05.08.1998 18:00:00;  1460
18.09.1998 20:00:00;  2894
31.10.1998 23:59:55;  3067
11.11.1998 03:00:00;  3876
15.12.1998 15:00:00;  2850
08.01.1999 09:00:00;  1737
22.02.1999 15:00:00;  3997
03.03.1999 02:00:00;  2923
08.04.1999 06:00:00;  2477
26.05.1999 08:00:00;  5288
03.06.1999 21:00:00;  3716
10.07.1999 20:00:00;  2834
21.08.1999 03:00:00;  1771
02.09.1999 15:00:00;  1652
01.10.1999 20:00:00;  1596
12.11.1999 10:00:00;  1412
28.12.1999 11:00:00;  2061
31.01.2000 14:00:00;  3023
01.02.2000 02:00:00;  2894
17.03.2000 23:00:00;  3398
01.04.2000 01:00:00;  3265
13.05.2000 11:00:00;  3072
07.06.2000 13:00:00;  2517
31.07.2000 02:00:00;  2549
07.08.2000 22:00:00;  3471
24.09.2000 06:00:00;  2692
08.10.2000 05:00:00;  2353
07.11.2000 21:00:00;  1214
20.12.2000 14:00:00;  1379
09.01.2001 11:00:00;  1760
06.02.2001 21:00:00;  2205
24.03.2001 14:00:00;  3876
26.04.2001 11:00:00;  2246
02.05.2001 12:00:00;  2197
11.06.2001 19:00:00;  4330
21.07.2001 09:00:00;  2782
11.08.2001 08:00:00;  2553
09.09.2001 14:00:00;  3375
01.10.2001 19:00:00;  1360
30.11.2001 23:59:00;  1830
07.12.2001 04:00:00;  3035
28.01.2002 13:00:00;  3294
28.02.2002 22:00:00;  2466
21.03.2002 17:00:00;  5588
24.04.2002 23:59:00;  2021
20.05.2002 16:00:00;  2251
07.06.2002 23:59:00;  3048
18.07.2002 11:00:00;  2495
13.08.2002 19:00:00;  6575
28.09.2002 08:00:00;  3148
18.10.2002 11:00:00;  3235
12.11.2002 04:00:00;  3814
23.12.2002 15:00:00;  2952
05.01.2003 03:00:00;  3203
01.02.2003 08:00:00;  1794
13.03.2003 08:00:00;  1882
01.04.2003 04:00:00;  1388
14.05.2003 13:00:00;  1853
06.06.2003 15:00:00;  1778
02.07.2003 17:00:00;  1501
02.08.2003 05:00:00;  1095
13.09.2003 06:00:00;  1946
09.10.2003 20:00:00;  2814
02.11.2003 15:00:00;   968
16.12.2003 10:00:00;   932
14.01.2004 15:00:00;  3422
03.02.2004 20:00:00;  2011
26.03.2004 21:00:00;  1751
08.04.2004 12:00:00;  1698
17.05.2004 01:00:00;  1962
04.06.2004 12:00:00;  2919
09.07.2004 19:00:00;  2382
26.08.2004 22:00:00;  1976
24.09.2004 15:00:00;  1919
02.10.2004 18:00:00;  1349
24.11.2004 07:00:00;  1350
01.12.2004 01:00:00;   940
23.01.2005 16:00:00;  1503
13.02.2005 01:00:00;  3193
20.03.2005 03:00:00;  3496
26.04.2005 15:00:00;  2904
19.05.2005 05:00:00;  2865
01.06.2005 01:00:00;  2263
12.07.2005 21:00:00;  4303
24.08.2005 14:00:00;  5313
01.09.2005 07:00:00;  1872
04.10.2005 23:00:00;  1927
29.11.2005 21:00:00;   849
19.12.2005 23:59:00;   943
03.01.2006 18:00:00;   967
18.02.2006 08:00:00;  1951
29.03.2006 12:00:00;  4992
01.04.2006 00:01:00;  4301
19.05.2006 17:00:00;  3313
01.06.2006 11:00:00;  3263
01.07.2006 00:01:00;  2201
07.08.2006 18:00:00;  3992
19.09.2006 18:00:00;  2174
06.10.2006 05:00:00;  1471
15.11.2006 04:00:00;  1732
12.12.2006 16:00:00;  1105
20.01.2007 05:00:00;  1907
16.02.2007 02:00:00;  1602
04.03.2007 04:00:00;  2075
13.04.2007 17:00:00;  1073
10.05.2007 02:00:00;  2662
01.06.2007 09:00:00;  2180
11.07.2007 02:00:00;  2782
31.08.2007 11:00:00;  1961
07.09.2007 01:00:00;  4024
01.10.2007 04:00:00;  1581
12.11.2007 06:00:00;  2405
09.12.2007 04:00:00;  2093
09.01.2008 11:00:00;  1567
08.02.2008 02:00:00;  1177
15.03.2008 08:00:00;  2905
23.04.2008 21:00:00;  2569
30.05.2008 13:00:00;  2447
08.06.2008 04:00:00;  2491
15.07.2008 09:00:00;  3196
16.08.2008 20:00:00;  3165
16.09.2008 10:00:00;  1268
30.10.2008 21:00:00;  1213
22.11.2008 05:00:00;  1390
23.12.2008 06:00:00;  2168
26.01.2009 01:15:00;   990
28.02.2009 23:59:55;  1985
13.03.2009 20:00:05;  2618
07.04.2009 08:00:00;  2599
15.05.2009 12:00:00;  2433
24.06.2009 23:00:00;  4735
18.07.2009 20:30:00;  3606
04.08.2009 21:30:00;  3372
05.09.2009 13:45:00;  2318
24.10.2009 23:00:00;  1333
05.11.2009 07:00:00;  1607
13.12.2009 04:45:00;  1611
01.01.2010 11:30:00;  1525
28.02.2010 12:30:00;  1831
01.03.2010 10:45:00;  2005
01.04.2010 00:15:00;  1475
31.05.2010 22:15:00;  2335
03.06.2010 21:45:00;  5314
25.07.2010 05:45:00;  3750
08.08.2010 22:45:00;  3877
01.09.2010 05:45:00;  3790
01.10.2010 12:45:00;  1318
25.11.2010 13:45:00;  1235
09.12.2010 22:15:00;  2279
14.01.2011 08:15:00;  5223
13.02.2011 04:15:00;  1534
19.03.2011 03:00:00;  1993
08.04.2011 17:45:00;  1224
28.05.2011 11:30:00;  2387
19.06.2011 10:30:00;  2319
21.07.2011 14:00:00;  2981
09.08.2011 11:30:00;  3212
20.09.2011 02:15:00;  1875
11.10.2011 09:30:00;  3233
03.11.2011 04:30:00;   905
25.12.2011 04:15:00;  1574
22.01.2012 15:30:00;  3147
29.02.2012 17:00:00;  1504
30.03.2012 17:30:00;  1841
30.04.2012 11:30:00;  2025
25.05.2012 10:45:00;  2149
13.06.2012 09:15:00;  3808
21.07.2012 13:45:00;  2305
31.08.2012 22:30:00;  3324
01.09.2012 00:00:00;  3130
11.10.2012 17:30:00;  2191
05.11.2012 20:00:00;  1987
23.12.2012 18:00:00;  3478
05.01.2013 16:15:00;  4019
02.02.2013 08:15:00;  3285
11.03.2013 04:00:00;  1798
22.04.2013 10:45:00;  2186
31.05.2013 20:45:00;  3360
03.06.2013 23:15:00;  9900
04.07.2013 12:15:00;  2275
28.08.2013 21:15:00;  2255
19.09.2013 15:15:00;  3751
17.10.2013 19:15:00;  1977
07.11.2013 06:30:00;  2173
12.12.2013 16:45:00;  1210
17.01.2014 07:30:00;  1081
11.02.2014 18:30:00;  1117
25.03.2014 13:45:00;  1133
30.04.2014 03:45:00;  1188
28.05.2014 10:00:00;  2962
12.06.2014 13:15:00;  1783
31.07.2014 23:59:55;  4214
01.08.2014 01:45:00;  4288
02.09.2014 01:15:00;  2804
23.10.2014 23:15:00;  3444
07.11.2014 01:45:00;  1517
21.12.2014 00:15:00;  1239
10.01.2015 15:45:00;  3482
01.02.2015 01:15:00;  1301
31.03.2015 01:15:00;  1986
01.04.2015 10:15:00;  2049
24.05.2015 09:30:00;  3527
09.06.2015 11:15:00;  2783
01.07.2015 08:45:00;  1594
18.08.2015 10:30:00;  1495
04.09.2015 18:00:00;  1538
08.10.2015 13:00:00;  1588
22.11.2015 17:30:00;  1402
02.12.2015 07:00:00;  1845
13.01.2016 13:15:00;  1428
01.02.2016 17:30:00;  3688
04.03.2016 12:45:00;  1807
19.04.2016 18:00:00;  1894
31.05.2016 17:00:00;  2770
01.06.2016 22:15:00;  4170
14.07.2016 20:30:00;  4165
06.08.2016 03:15:00;  3772
20.09.2016 06:15:00;  2089
27.10.2016 01:15:00;  1131
17.11.2016 15:15:00;  1666
01.12.2016 05:00:00;   972
17.01.2017 22:15:00;   857
22.02.2017 16:15:00;  2158
19.03.2017 16:00:00;  2822
29.04.2017 03:00:00;  2216
09.05.2017 08:15:00;  2661
07.06.2017 13:15:00;  1897
27.07.2017 03:00:00;  3275
07.08.2017 08:15:00;  2738
03.09.2017 21:30:00;  3557
30.10.2017 03:45:00;  2031
14.11.2017 13:30:00;  2161
31.12.2017 23:15:00;  1885
05.01.2018 11:45:00;  3782
02.02.2018 03:30:00;  1941
13.03.2018 13:00:00;  1515
26.04.2018 15:00:00;  2048
15.05.2018 19:45:00;  2110
14.06.2018 05:00:00;  3181
07.07.2018 10:30:00;  2305
26.08.2018 14:00:00;  1523
01.09.2018 19:30:00;  1642
30.10.2018 14:00:00;  2014
01.11.2018 03:45:00;  1023
24.12.2018 21:45:00;  3540
14.01.2019 23:00:00;  2682
23.02.2019 04:15:00;  1906
16.03.2019 16:30:00;  3333
26.04.2019 11:30:00;  1954
22.05.2019 14:15:00;  3718
13.06.2019 03:30:00;  3469
29.07.2019 17:30:00;  3219
14.08.2019 23:00:00;  1953
09.09.2019 21:30:00;  1828
08.10.2019 01:00:00;  1805
18.11.2019 01:45:00;  2288
26.12.2019 07:30:00;  1423
31.01.2020 15:45:00;   992
04.02.2020 08:30:00;  3560
12.03.2020 13:30:00;  1925
29.04.2020 12:45:00;  1269
26.05.2020 13:00:00;  1547
29.06.2020 23:30:00;  3361
03.07.2020 14:45:00;  2948
05.08.2020 02:45:00;  4561
01.09.2020 20:00:00;  2410
30.10.2020 21:45:00;  2109
01.11.2020 00:00:00;  1796
26.12.2020 04:00:00;  1154
