Messstelle:                ;Hopfgarten im Def. Zwenewald
22.09.1958 12:00:00;  49,0
02.10.1958 12:00:00;  25,5
01.11.1958 12:00:00;  7,04
01.12.1958 12:00:00;  4,74
06.01.1959 12:00:00;  2,95
28.02.1959 12:00:00;  2,50
31.03.1959 12:00:00;  4,11
19.04.1959 12:00:00;  7,32
23.05.1959 12:00:00;  26,1
29.06.1959 12:00:00;  48,5
14.07.1959 12:00:00;  29,3
13.08.1959 12:00:00;  16,9
01.09.1959 12:00:00;  7,04
28.10.1959 12:00:00;  5,45
25.11.1959 12:00:00;  4,74
01.12.1959 12:00:00;  2,50
04.01.1960 12:00:00;  2,20
02.02.1960 12:00:00;  1,80
31.03.1960 12:00:00;  3,55
15.04.1960 12:00:00;  7,42
17.05.1960 12:00:00;  53,0
10.06.1960 12:00:00;  44,8
12.07.1960 12:00:00;  44,2
01.08.1960 12:00:00;  30,4
17.09.1960 12:00:00;  40,1
29.10.1960 12:00:00;  26,0
05.11.1960 12:00:00;  17,4
28.12.1960 12:00:00;  14,0
04.01.1961 12:00:00;  3,21
01.02.1961 12:00:00;  2,87
19.03.1961 12:00:00;  4,84
10.04.1961 12:00:00;  11,1
07.05.1961 12:00:00;  19,4
28.06.1961 12:00:00;  55,6
29.07.1961 12:00:00;  62,0
12.08.1961 12:00:00;  24,6
03.09.1961 12:00:00;  7,74
08.10.1961 12:00:00;  7,10
23.11.1961 12:00:00;  4,63
12.12.1961 12:00:00;  5,98
03.01.1962 12:00:00;  3,04
08.02.1962 12:00:00;  2,25
08.03.1962 12:00:00;  2,10
26.04.1962 12:00:00;  13,7
10.05.1962 12:00:00;  23,8
17.06.1962 12:00:00;  64,0
12.07.1962 12:00:00;  40,6
08.08.1962 12:00:00;  29,9
07.09.1962 12:00:00;  14,1
08.10.1962 12:00:00;  4,49
08.11.1962 12:00:00;  5,45
14.12.1962 12:00:00;  2,40
05.01.1963 12:00:00;  1,95
08.02.1963 12:00:00;  1,65
31.03.1963 12:00:00;  1,41
30.04.1963 12:00:00;  6,49
29.05.1963 12:00:00;  29,9
24.06.1963 12:00:00;  63,0
01.07.1963 12:00:00;  35,1
18.08.1963 12:00:00;  48,5
05.09.1963 12:00:00;  29,9
08.10.1963 12:00:00;  6,82
16.11.1963 12:00:00;  16,4
01.12.1963 12:00:00;  5,06
15.01.1964 12:00:00;  2,70
02.02.1964 12:00:00;  2,25
28.03.1964 12:00:00;  1,95
30.04.1964 12:00:00;  5,98
14.05.1964 12:00:00;  22,2
08.06.1964 12:00:00;  44,0
10.07.1964 12:00:00;  23,8
09.08.1964 12:00:00;  19,4
06.09.1964 12:00:00;  13,2
08.10.1964 12:00:00;  6,49
26.11.1964 12:00:00;  5,97
01.12.1964 12:00:00;  4,73
13.01.1965 12:00:00;  2,74
01.02.1965 12:00:00;  2,25
31.03.1965 12:00:00;  2,40
13.04.1965 12:00:00;  3,25
19.05.1965 12:00:00;  29,9
23.06.1965 12:00:00;  53,0
31.07.1965 12:00:00;  62,7
01.08.1965 12:00:00;  46,6
03.09.1965 12:00:00;   250
02.10.1965 12:00:00;  17,7
01.11.1965 12:00:00;  5,70
13.12.1965 12:00:00;  2,67
31.01.1971 12:00:00;  2,08
04.02.1971 12:00:00;  2,08
31.03.1971 12:00:00;  2,08
25.04.1971 12:00:00;  7,51
21.05.1971 12:00:00;  28,4
27.06.1971 12:00:00;  33,3
18.07.1971 12:00:00;  31,4
27.08.1971 12:00:00;  59,0
01.09.1971 12:00:00;  14,0
15.10.1971 12:00:00;  8,35
10.11.1971 12:00:00;  6,22
28.12.1971 12:00:00;  2,34
01.01.1972 12:00:00;  2,22
01.02.1972 12:00:00;  1,75
29.03.1972 12:00:00;  2,64
05.04.1972 12:00:00;  5,29
27.05.1972 12:00:00;  31,3
12.06.1972 12:00:00;  69,0
01.07.1972 12:00:00;  41,5
02.08.1972 12:00:00;  24,7
11.09.1972 12:00:00;  9,95
29.10.1972 12:00:00;  4,16
01.11.1972 12:00:00;  3,74
05.12.1972 12:00:00;  2,56
01.01.1973 12:00:00;  2,08
12.02.1973 12:00:00;  1,68
29.03.1973 12:00:00;  1,83
29.04.1973 12:00:00;  2,61
07.05.1973 12:00:00;  47,0
03.06.1973 12:00:00;  37,2
22.07.1973 12:00:00;  24,6
11.08.1973 12:00:00;  15,4
26.09.1973 12:00:00;  16,1
02.10.1973 12:00:00;  14,9
06.11.1973 12:00:00;  5,45
05.12.1973 12:00:00;  3,11
12.01.1974 12:00:00;  2,23
01.02.1974 12:00:00;  2,06
31.03.1974 12:00:00;  3,88
15.04.1974 12:00:00;  5,88
31.05.1974 12:00:00;  21,6
27.06.1974 12:00:00;  55,0
18.07.1974 12:00:00;  49,0
04.08.1974 12:00:00;  24,7
04.09.1974 12:00:00;  18,4
01.10.1974 12:00:00;  8,53
01.11.1974 12:00:00;  3,58
27.12.1974 12:00:00;  2,69
01.01.1975 12:00:00;  2,46
13.02.1975 12:00:00;  2,91
22.03.1975 12:00:00;  2,25
30.04.1975 12:00:00;  10,1
20.05.1975 12:00:00;  46,3
26.06.1975 12:00:00;  49,8
19.07.1975 12:00:00;  59,0
17.08.1975 12:00:00;  35,1
16.09.1975 12:00:00;  16,6
01.10.1975 12:00:00;  8,47
19.11.1975 12:00:00;  3,15
09.12.1975 12:00:00;  2,47
01.01.1976 01:00:00;  2,20
29.02.1976 23:59:55;  1,84
31.03.1976 23:59:55;  2,61
11.04.1976 13:00:00;  5,46
20.05.1976 22:00:00;  16,8
16.06.1976 00:00:00;  22,4
22.07.1976 10:00:00;  15,3
01.08.1976 02:00:00;  11,3
14.09.1976 07:00:00;  41,0
03.10.1976 13:00:00;  14,8
11.11.1976 14:00:00;  7,13
06.12.1976 12:00:00;  4,49
24.01.1977 09:00:00;  3,03
01.02.1977 00:00:00;  2,16
29.03.1977 22:00:00;  5,55
30.04.1977 21:00:00;  12,5
25.05.1977 22:00:00;  42,0
15.06.1977 00:00:00;  54,7
31.07.1977 23:59:55;  48,3
01.08.1977 02:00:00;  49,1
05.09.1977 02:00:00;  21,5
01.10.1977 00:00:00;  6,34
03.11.1977 14:00:00;  3,67
31.12.1977 23:00:00;  2,75
01.01.1978 00:00:00;  2,75
22.02.1978 17:00:00;  1,42
31.03.1978 23:59:55;  2,21
30.04.1978 23:59:55;  3,82
22.05.1978 19:00:00;  30,6
11.06.1978 21:00:00;  53,8
05.07.1978 10:00:00;  60,9
08.08.1978 05:00:00;  73,5
01.09.1978 02:00:00;  9,50
03.10.1978 23:00:00;  18,0
01.11.1978 09:00:00;  5,93
20.12.1978 01:00:00;  3,12
01.01.1979 00:00:00;  2,75
01.02.1979 00:00:00;  1,80
21.03.1979 00:00:00;  2,24
17.04.1979 08:30:00;  3,70
31.05.1979 20:30:00;  65,4
14.06.1979 04:00:00;  65,6
01.07.1979 00:00:00;  35,7
04.08.1979 01:00:00;  37,3
22.09.1979 11:00:00;  25,7
15.10.1979 09:00:00;  16,5
01.11.1979 01:00:00;  6,54
01.12.1979 10:00:00;  5,13
02.01.1980 13:30:00;  4,00
01.02.1980 00:00:00;  2,78
05.03.1980 17:30:00;  2,57
19.04.1980 07:30:00;  5,13
28.05.1980 06:30:00;  13,1
14.06.1980 21:00:00;  52,7
09.07.1980 22:00:00;  76,9
08.08.1980 17:30:00;  31,2
01.09.1980 00:00:00;  11,2
17.10.1980 20:00:00;  67,4
01.11.1980 00:00:00;  8,25
05.12.1980 16:30:00;  4,09
14.01.1981 00:10:00;  2,40
01.02.1981 00:00:00;  2,08
31.03.1981 23:59:55;  4,87
15.04.1981 23:30:00;  8,77
27.05.1981 05:00:00;  62,7
10.06.1981 02:00:00;  51,6
19.07.1981 00:30:00;   147
04.08.1981 06:30:00;  25,8
23.09.1981 21:30:00;  23,3
01.10.1981 00:00:00;  14,9
04.11.1981 13:00:00;  7,33
01.12.1981 00:00:00;  3,21
01.01.1982 00:00:00;  2,75
01.02.1982 00:00:00;  1,79
31.03.1982 23:59:55;  2,70
05.04.1982 23:50:00;  3,78
31.05.1982 23:59:55;  32,4
12.06.1982 15:30:00;  65,7
31.07.1982 15:30:00;  31,5
15.08.1982 23:00:00;  50,4
07.09.1982 16:00:00;  20,5
14.10.1982 11:30:00;  14,9
01.11.1982 00:00:00;  7,85
01.12.1982 00:00:00;  4,71
07.01.1983 02:00:00;  2,91
05.02.1983 18:00:00;  2,57
14.03.1983 10:30:00;  2,84
23.04.1983 23:00:00;  6,88
23.05.1983 19:00:00;  44,3
06.06.1983 19:30:00;  47,2
05.07.1983 01:30:00;  42,1
03.08.1983 03:00:00;  30,9
03.09.1983 19:30:00;  14,4
11.10.1983 22:30:00;  9,60
02.11.1983 18:30:00;  5,48
09.12.1983 21:00:00;  2,82
01.01.1984 00:00:00;  2,05
01.02.1984 05:15:00;  1,59
30.03.1984 00:00:00;  1,45
30.04.1984 23:59:55;  3,14
21.05.1984 05:30:00;  26,0
28.06.1984 18:15:00;  45,4
12.07.1984 20:30:00;  44,9
06.08.1984 05:45:00;  22,9
06.09.1984 07:15:00;  28,1
02.10.1984 15:30:00;  18,1
01.11.1984 00:00:00;  5,24
01.12.1984 16:30:00;  3,15
30.01.1985 16:30:00;  2,08
17.02.1985 19:00:00;  1,76
31.03.1985 23:45:00;  1,85
28.04.1985 06:00:00;  4,82
28.05.1985 22:00:00;  34,0
07.06.1985 23:00:00;  60,7
21.07.1985 04:30:00;  46,1
06.08.1985 16:00:00;   116
04.09.1985 02:15:00;  22,9
01.10.1985 06:45:00;  5,58
11.11.1985 09:00:00;  3,85
01.12.1985 00:00:00;  2,98
12.01.1986 13:45:00;  2,24
04.02.1986 16:15:00;  2,10
31.03.1986 20:15:00;  2,06
30.04.1986 23:59:55;  12,0
21.05.1986 22:45:00;  86,3
24.06.1986 02:00:00;  52,1
06.07.1986 22:45:00;  38,7
19.08.1986 03:30:00;  30,7
18.09.1986 02:15:00;  19,8
02.10.1986 00:00:00;  6,13
01.11.1986 00:00:00;  3,36
04.12.1986 18:00:00;  2,35
01.01.1987 00:00:00;  1,93
26.02.1987 16:00:00;  1,68
29.03.1987 09:30:00;  1,68
30.04.1987 23:45:00;  9,85
04.05.1987 02:00:00;  14,4
08.06.1987 19:45:00;  49,6
19.07.1987 19:00:00;  92,5
25.08.1987 07:15:00;  93,9
27.09.1987 02:30:00;  35,7
12.10.1987 04:15:00;  31,6
01.11.1987 00:00:00;  7,17
21.12.1987 08:45:00;  4,67
01.01.1988 00:00:00;  3,36
23.02.1988 17:00:00;  2,59
02.03.1988 14:00:00;  2,16
23.04.1988 22:15:00;  7,73
09.05.1988 20:15:00;  27,0
15.06.1988 20:45:00;  30,0
12.07.1988 06:00:00;  37,3
30.08.1988 02:00:00;  37,3
02.09.1988 15:00:00;  27,7
13.10.1988 07:45:00;  13,7
01.11.1988 00:00:00;  4,77
01.12.1988 00:00:00;  3,06
07.01.1989 06:00:00;  2,16
11.02.1989 15:45:00;  2,16
31.03.1989 22:00:00;  3,86
05.04.1989 09:15:00;  7,81
23.05.1989 21:00:00;  27,2
23.06.1989 19:30:00;  30,8
07.07.1989 14:45:00;  59,8
17.08.1989 20:15:00;  22,2
01.09.1989 02:15:00;  6,99
01.10.1989 00:15:00;  4,77
04.11.1989 14:00:00;  3,48
19.12.1989 13:15:00;  6,04
12.01.1990 15:30:00;  1,88
15.02.1990 19:15:00;  2,26
25.03.1990 14:45:00;  3,95
30.04.1990 22:15:00;  3,43
17.05.1990 21:00:00;  23,7
23.06.1990 17:00:00;  57,4
10.07.1990 18:30:00;  46,0
06.08.1990 23:45:00;  19,1
24.09.1990 13:00:00;  15,5
05.10.1990 02:00:00;  11,4
01.11.1990 10:45:00;  10,2
04.12.1990 12:30:00;  4,58
01.01.1991 16:15:00;  2,82
08.02.1991 05:00:00;  2,37
26.03.1991 00:00:00;  5,44
17.04.1991 00:00:00;  5,17
31.05.1991 23:00:00;  12,0
17.06.1991 20:45:00;   201
25.07.1991 00:15:00;  71,6
01.08.1991 06:45:00;  31,6
30.09.1991 23:30:00;  12,6
01.10.1991 00:00:00;  12,6
05.11.1991 04:00:00;  3,87
23.12.1991 03:15:00;  4,64
01.01.1992 17:00:00;  2,33
03.02.1992 15:45:00;  1,96
06.03.1992 21:45:00;  1,75
29.04.1992 09:15:00;  10,9
16.05.1992 23:15:00;  33,1
20.06.1992 08:45:00;  45,1
05.07.1992 08:45:00;  26,6
30.08.1992 06:45:00;  20,3
01.09.1992 07:00:00;  18,6
05.10.1992 21:15:00;  20,7
03.11.1992 22:00:00;  8,44
03.12.1992 23:30:00;  4,95
07.01.1993 22:45:00;  2,98
02.02.1993 16:45:00;  2,37
24.03.1993 07:30:00;  2,69
30.04.1993 00:00:00;  6,22
27.05.1993 23:15:00;  27,0
23.06.1993 04:30:00;  40,5
20.07.1993 00:00:00;  55,7
25.08.1993 05:45:00;  18,9
14.09.1993 11:00:00;  29,0
14.10.1993 14:30:00;  46,3
06.11.1993 07:15:00;  10,2
01.12.1993 01:45:00;  4,31
19.01.1994 17:45:00;  3,78
02.02.1994 13:45:00;  2,48
26.03.1994 00:00:00;  4,35
30.04.1994 22:45:00;  9,29
25.05.1994 21:00:00;  31,7
04.06.1994 05:00:00;  37,7
07.07.1994 00:00:00;  67,9
12.08.1994 03:00:00;  17,2
14.09.1994 21:00:00;  41,4
04.10.1994 02:15:00;  13,6
11.11.1994 04:45:00;  4,67
11.12.1994 21:30:00;  3,24
01.01.1995 15:15:00;  2,33
02.02.1995 15:15:00;  2,08
27.03.1995 20:15:00;  2,04
30.04.1995 23:59:55;  5,83
30.05.1995 17:00:00;  26,4
22.06.1995 00:30:00;  34,2
03.07.1995 23:30:00;  47,6
09.08.1995 04:15:00;  18,8
15.09.1995 00:15:00;  19,4
01.10.1995 00:00:00;  7,21
01.11.1995 05:00:00;  3,48
01.12.1995 00:00:00;  2,67
06.01.1996 19:15:00;  1,84
02.02.1996 21:00:00;  1,92
26.03.1996 21:30:00;  2,04
25.04.1996 00:00:00;  5,21
19.05.1996 23:45:00;  25,3
22.06.1996 15:45:00;  31,0
08.07.1996 10:00:00;  71,9
28.08.1996 12:00:00;  32,3
01.09.1996 00:00:00;  15,1
16.10.1996 05:00:00;  34,0
14.11.1996 12:00:00;  7,82
01.12.1996 16:15:00;  4,51
02.01.1997 19:45:00;  2,96
04.02.1997 17:00:00;  2,44
19.03.1997 06:15:00;  3,34
29.04.1997 07:30:00;  3,34
21.05.1997 03:00:00;  33,2
28.06.1997 04:15:00;  60,6
01.07.1997 00:00:00;  41,0
29.08.1997 04:30:00;  24,3
07.09.1997 17:30:00;  21,5
11.10.1997 04:45:00;  6,85
07.11.1997 09:45:00;  8,72
07.12.1997 23:30:00;  2,79
02.01.1998 18:30:00;  2,12
12.02.1998 16:15:00;  1,77
31.03.1998 23:59:55;  2,23
28.04.1998 21:45:00;  6,94
14.05.1998 19:45:00;  22,0
11.06.1998 05:30:00;  49,2
03.07.1998 07:45:00;  54,1
01.08.1998 08:30:00;  31,7
05.09.1998 17:15:00;  35,8
07.10.1998 14:00:00;  54,4
05.11.1998 01:30:00;  6,92
10.12.1998 13:30:00;  4,72
01.01.1999 00:00:00;  2,53
13.02.1999 17:00:00;  2,69
15.03.1999 19:15:00;  2,30
30.04.1999 21:15:00;  9,65
31.05.1999 21:15:00;  35,0
03.06.1999 04:45:00;  47,3
06.07.1999 23:45:00;  32,3
20.08.1999 17:00:00;  68,4
21.09.1999 00:45:00;  57,4
01.10.1999 02:30:00;  23,7
01.11.1999 00:00:00;  7,01
01.12.1999 12:30:00;  4,52
09.01.2000 15:45:00;  2,92
01.02.2000 00:00:00;  2,43
09.03.2000 20:30:00;  2,92
26.04.2000 22:00:00;  18,0
11.05.2000 20:15:00;  33,4
24.06.2000 00:15:00;  36,7
11.07.2000 11:15:00;  33,3
06.08.2000 02:30:00;  42,5
21.09.2000 05:45:00;  25,0
14.10.2000 02:30:00;  38,2
17.11.2000 17:15:00;  18,3
01.12.2000 00:00:00;  7,16
08.01.2001 12:51:00;  7,89
03.02.2001 21:12:50;  3,05
25.03.2001 19:02:40;  5,57
30.04.2001 23:59:55;  7,05
31.05.2001 01:32:25;  54,8
11.06.2001 06:32:45;  66,7
07.07.2001 22:45:00;  41,4
05.08.2001 04:15:00;  22,6
01.09.2001 01:00:00;  15,8
04.10.2001 18:30:00;  11,0
01.11.2001 00:00:00;  4,45
01.12.2001 00:00:00;  2,66
28.01.2002 09:36:00;  1,69
22.02.2002 18:22:00;  1,67
20.03.2002 19:00:00;  4,72
27.04.2002 09:45:00;  6,62
26.05.2002 06:15:00;  31,0
17.06.2002 22:30:00;  35,0
04.07.2002 10:15:00;  26,3
12.08.2002 09:00:00;  24,5
03.09.2002 12:30:00;  11,0
18.10.2002 04:30:00;  8,09
16.11.2002 21:30:00;  29,7
01.12.2002 00:00:00;  10,4
01.01.2003 00:00:00;  3,46
02.02.2003 16:15:00;  2,66
31.03.2003 00:00:00;  2,81
30.04.2003 23:59:55;  17,8
08.05.2003 22:30:00;  29,6
11.06.2003 20:00:00;  36,2
28.07.2003 20:15:00;  29,3
29.08.2003 22:45:00;  28,5
01.09.2003 00:00:00;  12,1
04.10.2003 08:30:00;  16,2
01.11.2003 13:30:00;  7,20
01.12.2003 00:00:00;  3,85
01.01.2004 00:00:00;  2,41
18.02.2004 15:45:00;  2,24
21.03.2004 23:30:00;  3,10
29.04.2004 21:45:00;  8,22
22.05.2004 07:15:00;  22,7
12.06.2004 01:00:00;  60,2
09.07.2004 06:30:00;  63,0
31.08.2004 18:15:00;  22,9
01.09.2004 00:00:00;  16,6
31.10.2004 12:45:00;  14,6
02.11.2004 01:00:00;  25,3
01.12.2004 00:00:00;  3,98
03.01.2005 02:30:00;  2,55
02.02.2005 16:00:00;  2,22
25.03.2005 00:30:00;  3,10
30.04.2005 23:30:00;  6,11
31.05.2005 05:00:00;  32,9
01.06.2005 00:00:00;  24,3
05.07.2005 10:00:00;  36,3
23.08.2005 15:30:00;  18,5
17.09.2005 19:30:00;  10,8
05.10.2005 19:00:00;  24,1
01.11.2005 00:00:00;  5,28
12.12.2005 16:00:00;  6,76
01.01.2006 21:00:00;  2,57
15.02.2006 18:00:00;  2,09
27.03.2006 22:45:00;  2,88
29.04.2006 02:15:00;  8,00
19.05.2006 04:30:00;  41,5
29.06.2006 17:45:00;  40,9
05.07.2006 22:15:00;  38,8
03.08.2006 17:30:00;  31,8
01.09.2006 00:00:00;  10,9
24.10.2006 19:45:00;  8,18
01.11.2006 00:00:00;  3,78
09.12.2006 15:45:00;  2,64
19.01.2007 22:00:00;  2,68
05.02.2007 16:45:00;  1,94
19.03.2007 12:30:00;  2,39
29.04.2007 23:00:00;  12,4
15.05.2007 03:30:00;  18,3
21.06.2007 19:45:00;  31,1
09.07.2007 22:00:00;  48,8
09.08.2007 09:15:00;  17,0
18.09.2007 18:45:00;  13,5
06.10.2007 17:15:00;  9,22
01.11.2007 00:00:00;  4,08
01.12.2007 00:00:00;  3,07
04.01.2008 15:15:00;  2,30
22.02.2008 16:45:00;  2,05
06.03.2008 15:45:00;  2,11
29.04.2008 15:00:00;  4,91
29.05.2008 21:15:00;  48,2
30.06.2008 05:00:00;  53,2
20.07.2008 21:15:00;  52,1
09.08.2008 00:30:00;  24,1
01.09.2008 22:30:00;  15,2
30.10.2008 05:30:00;  16,5
05.11.2008 04:45:00;  12,2
01.12.2008 19:00:00;  6,94
14.01.2009 21:15:00;  2,75
16.02.2009 14:45:00;  2,97
22.03.2009 13:30:00;  2,46
16.04.2009 01:45:00;  9,00
25.05.2009 01:00:00;  45,1
20.06.2009 02:15:00;  63,2
18.07.2009 10:15:00;  53,3
03.08.2009 22:30:00;  28,0
04.09.2009 16:30:00;  69,8
01.10.2009 00:15:00;  7,43
30.11.2009 16:30:00;  4,59
21.12.2009 18:30:00;  6,24
04.01.2010 15:45:00;  3,43
10.02.2010 16:00:00;  2,39
23.03.2010 22:00:00;  3,14
30.04.2010 23:59:55;  12,0
27.05.2010 00:45:00;  32,4
13.06.2010 22:15:00;  62,4
17.07.2010 21:30:00;  65,2
15.08.2010 03:45:00;  30,4
18.09.2010 03:45:00;  34,3
05.10.2010 22:15:00;  13,2
02.11.2010 14:15:00;  7,38
08.12.2010 19:15:00;  4,62
07.01.2011 17:00:00;  3,67
24.02.2011 14:45:00;  2,94
31.03.2011 23:59:55;  2,62
09.04.2011 22:30:00;  9,28
27.05.2011 20:15:00;  49,4
18.06.2011 22:15:00;  62,2
14.07.2011 01:45:00;  30,4
08.08.2011 22:30:00;  48,7
19.09.2011 02:30:00;  48,2
10.10.2011 18:00:00;  22,9
01.11.2011 00:00:00;  5,81
01.12.2011 21:30:00;  3,32
13.01.2012 16:15:00;  2,66
29.02.2012 23:59:55;  2,39
29.03.2012 00:00:00;  3,67
30.04.2012 23:59:55;  9,86
11.05.2012 21:45:00;  22,8
23.06.2012 01:45:00;  50,5
15.07.2012 01:00:00;  48,2
31.08.2012 10:00:00;  55,7
01.09.2012 00:00:00;  35,7
01.10.2012 07:00:00;  28,0
05.11.2012 07:45:00;  40,4
01.12.2012 00:00:00;  6,70
05.01.2013 17:00:00;  3,73
19.02.2013 15:00:00;  2,80
16.03.2013 15:30:00;  2,50
29.04.2013 22:30:00;  21,0
03.05.2013 22:00:00;  31,5
19.06.2013 21:00:00;  48,2
25.07.2013 00:30:00;  33,5
19.08.2013 23:15:00;  29,8
16.09.2013 23:45:00;  20,3
24.10.2013 04:00:00;  28,2
03.11.2013 12:15:00;  15,4
01.12.2013 00:00:00;  5,24
02.01.2014 16:00:00;  3,79
01.02.2014 11:00:00;  4,47
21.03.2014 19:30:00;  7,59
28.04.2014 01:00:00;  14,9
11.05.2014 18:15:00;  32,3
12.06.2014 21:15:00;  38,8
08.07.2014 22:00:00;  36,0
13.08.2014 17:00:00;  70,5
01.09.2014 00:00:00;  23,7
13.10.2014 23:15:00;  15,3
06.11.2014 17:00:00;  24,2
01.12.2014 11:45:00;  7,10
10.01.2015 05:15:00;  4,47
01.02.2015 16:15:00;  2,87
31.03.2015 23:59:55;  2,52
28.04.2015 01:00:00;  8,23
20.05.2015 17:45:00;  36,0
07.06.2015 00:00:00;  35,6
29.07.2015 21:00:00;  44,6
05.08.2015 01:00:00;  31,7
04.09.2015 03:15:00;  23,5
14.10.2015 10:15:00;  9,51
01.11.2015 00:00:00;  6,39
01.12.2015 00:00:00;  3,32
11.01.2016 21:15:00;  2,39
01.02.2016 18:45:00;  3,08
31.03.2016 23:59:55;  3,57
07.04.2016 10:45:00;  12,4
29.05.2016 20:00:00;  37,6
17.06.2016 06:15:00;  56,0
13.07.2016 06:00:00;  59,7
10.08.2016 09:30:00;  30,3
17.09.2016 08:45:00;  13,3
26.10.2016 01:30:00;  8,98
06.11.2016 18:00:00;  9,12
01.12.2016 17:45:00;  3,69
04.01.2017 16:00:00;  2,24
19.02.2017 15:15:00;  1,80
31.03.2017 23:59:55;  3,96
28.04.2017 02:15:00;  5,49
30.05.2017 00:00:00;  25,0
06.06.2017 21:45:00;  29,0
24.07.2017 18:30:00;  58,7
06.08.2017 17:15:00;  43,8
14.09.2017 22:15:00;  23,3
02.10.2017 02:30:00;  8,68
06.11.2017 04:15:00;  4,91
12.12.2017 05:15:00;  3,92
09.01.2018 11:15:00;  2,88
05.02.2018 04:30:00;  2,71
01.03.2018 15:45:00;  3,55
30.04.2018 18:00:00;  29,5
28.05.2018 21:45:00;  34,4
