Messstelle:                ;Grieskirchen
14.08.1973 12:00:00;  7,74
27.09.1973 12:00:00;  1,01
24.10.1973 12:00:00; 0,880
17.11.1973 12:00:00;  18,5
09.12.1973 12:00:00;  11,9
19.01.1974 12:00:00;  20,1
10.02.1974 12:00:00;  6,70
08.03.1974 12:00:00;  2,33
04.04.1974 12:00:00;  1,15
12.05.1974 12:00:00;  4,45
14.06.1974 12:00:00;  8,00
18.07.1974 12:00:00;  21,5
28.08.1974 12:00:00;  6,70
01.09.1974 12:00:00;  1,12
28.10.1974 12:00:00;  8,00
28.11.1974 12:00:00;  14,6
07.12.1974 12:00:00;  56,0
31.01.1975 12:00:00;  11,9
01.02.1975 12:00:00;  5,55
31.03.1975 12:00:00;  5,78
14.04.1975 12:00:00;  8,00
17.05.1975 12:00:00;  1,97
30.06.1975 12:00:00;  16,0
02.07.1975 12:00:00;  29,0
27.08.1975 12:00:00;  8,00
06.09.1975 12:00:00;  5,45
20.10.1975 12:00:00;  2,19
21.11.1975 12:00:00;  1,12
08.12.1975 12:00:00;  1,12
01.01.1976 00:00:00; Lücke
12.01.1976 08:00:00;  14,7
01.02.1976 00:00:00;  2,71
01.03.1976 02:00:00;  1,25
27.04.1976 08:00:00;  1,42
23.05.1976 08:00:00;  1,76
03.06.1976 08:00:00;  4,83
27.07.1976 08:00:00;  4,83
17.08.1976 08:00:00;  7,98
30.09.1976 08:00:00;  3,95
01.10.1976 00:00:00;  3,95
15.11.1976 18:00:00;  25,9
03.12.1976 08:00:00;  3,52
27.01.1977 08:00:00;  9,28
06.02.1977 20:00:00;  36,0
04.03.1977 08:00:00;  5,53
13.04.1977 08:00:00;  13,3
09.05.1977 08:00:00;  4,39
13.06.1977 08:00:00;  4,39
01.07.1977 02:00:00;  2,71
22.08.1977 08:00:00;  30,2
05.09.1977 08:00:00;  4,39
12.10.1977 08:00:00;  1,59
02.11.1977 08:00:00;  3,31
25.12.1977 08:00:00;  7,98
04.01.1978 08:00:00;  6,72
28.02.1978 08:00:00;  3,31
21.03.1978 08:00:00;  7,98
01.04.1978 00:00:00;  2,90
10.05.1978 08:00:00;  3,31
07.06.1978 08:00:00;  2,32
10.07.1978 08:00:00;  12,0
17.08.1978 02:00:00;  6,72
23.09.1978 08:00:00;  3,31
26.10.1978 08:00:00;  7,98
01.11.1978 00:00:00;  1,40
30.12.1978 08:00:00;  5,53
01.01.1979 00:00:00;  3,31
08.02.1979 08:00:00;  14,7
12.03.1979 08:00:00;  46,4
01.04.1979 00:00:00;  28,8
03.05.1979 08:00:00;  13,3
18.06.1979 16:00:00;  15,8
14.07.1979 08:00:00;  2,30
25.08.1979 08:00:00;  3,34
24.09.1979 20:00:00;  6,35
06.10.1979 08:00:00; 0,991
28.11.1979 02:00:00;  23,9
01.12.1979 00:00:00;  4,00
06.01.1980 06:00:00;  1,90
05.02.1980 06:00:00;  16,1
11.03.1980 06:00:00;  5,53
25.04.1980 06:00:00;  33,1
01.05.1980 00:00:00;  5,06
25.06.1980 06:00:00;  5,53
23.07.1980 12:00:00;  25,9
01.08.1980 00:00:00;  1,59
02.09.1980 06:00:00;  1,90
13.10.1980 06:00:00;  14,3
16.11.1980 06:00:00;  6,35
15.12.1980 06:00:00;  11,0
03.01.1981 08:00:00;  13,0
08.02.1981 08:00:00;  28,5
13.03.1981 08:00:00;  5,53
30.04.1981 08:00:00;  1,42
02.05.1981 08:00:00;  6,72
10.06.1981 08:00:00;  1,42
20.07.1981 18:00:00;  20,2
01.08.1981 00:00:00;  1,08
14.09.1981 08:00:00;  2,32
15.10.1981 08:00:00;  6,72
28.11.1981 08:00:00;  12,0
01.12.1981 02:00:00;  21,1
31.01.1982 08:00:00;   102
01.02.1982 00:00:00;  21,1
19.03.1982 20:00:00;  9,43
02.04.1982 08:00:00;  2,09
29.05.1982 08:00:00;  5,15
27.06.1982 08:00:00;  3,13
18.07.1982 08:00:00;  7,98
11.08.1982 02:00:00;  10,6
01.09.1982 02:00:00;  2,71
03.10.1982 08:00:00;  1,42
14.11.1982 08:00:00;  3,73
28.12.1982 18:00:00;  7,98
04.01.1983 08:00:00;  14,7
28.02.1983 08:00:00;  12,0
01.03.1983 00:00:00;  12,0
15.04.1983 08:00:00;  7,22
09.05.1983 08:00:00;  12,5
28.06.1983 08:00:00;  3,95
01.07.1983 00:00:00;  1,24
03.08.1983 08:00:00;  2,32
14.09.1983 08:00:00;  1,09
15.10.1983 08:00:00;  1,71
28.11.1983 10:00:00;  1,90
24.12.1983 08:00:00;  18,5
18.01.1984 08:00:00;  6,72
06.02.1984 08:00:00;  10,6
08.03.1984 08:00:00;  3,73
08.04.1984 08:00:00;  5,06
14.05.1984 08:00:00;  2,32
01.06.1984 00:00:00; 0,932
03.07.1984 08:00:00;  2,71
27.08.1984 08:00:00;  2,13
17.09.1984 08:00:00;  7,22
03.10.1984 08:00:00;  3,31
24.11.1984 08:00:00;  1,09
21.12.1984 08:00:00;  1,59
25.01.1985 08:15:00;  2,90
03.02.1985 00:00:00;  56,9
23.03.1985 08:00:00;  6,24
07.04.1985 02:00:00;  2,79
02.05.1985 12:30:00;  5,60
23.06.1985 09:45:00;  7,38
02.07.1985 14:15:00;  5,60
07.08.1985 00:00:00;  54,0
06.09.1985 10:00:00;  23,7
16.10.1985 07:30:00;  1,54
11.11.1985 06:00:00;  2,29
21.12.1985 08:30:00;  13,3
19.01.1986 11:15:00;  66,1
01.02.1986 22:45:00;  2,49
07.03.1986 16:45:00;  9,14
19.04.1986 11:15:00;  4,51
29.05.1986 00:30:00;  3,29
01.06.1986 04:45:00;  2,91
19.07.1986 07:30:00;  1,53
05.08.1986 02:00:00;  1,48
04.09.1986 06:30:00;  1,78
22.10.1986 12:30:00;  2,57
03.11.1986 05:00:00;  3,39
29.12.1986 00:15:00;  13,1
02.01.1987 02:15:00;  15,6
09.02.1987 13:45:00;  52,8
25.03.1987 15:45:00;  21,1
07.04.1987 07:45:00;  3,64
20.05.1987 12:30:00;  19,6
23.06.1987 23:15:00;  9,23
28.07.1987 03:15:00;  3,18
03.08.1987 20:00:00;  8,07
27.09.1987 16:00:00;  13,9
01.10.1987 00:00:00;  1,38
22.11.1987 08:30:00;  3,49
20.12.1987 08:45:00;  27,1
27.01.1988 07:30:00;  8,99
19.02.1988 17:45:00;  5,97
25.03.1988 18:15:00;  40,3
13.04.1988 19:45:00;  12,8
20.05.1988 03:00:00;  2,53
06.06.1988 09:45:00;  9,71
14.07.1988 15:00:00;  2,60
30.08.1988 07:15:00;  1,48
05.09.1988 11:00:00;  3,81
25.10.1988 13:45:00;  5,02
15.11.1988 07:30:00;  6,99
05.12.1988 07:30:00;  25,8
07.01.1989 01:45:00;  13,1
19.02.1989 13:45:00;  16,4
19.03.1989 02:15:00;  4,84
18.04.1989 06:15:00;  6,99
01.05.1989 10:45:00;  5,20
03.06.1989 23:45:00;  1,27
12.07.1989 06:30:00;  3,97
07.08.1989 00:15:00;  4,89
16.09.1989 05:30:00;  4,16
31.10.1989 23:30:00;  8,43
01.11.1989 00:30:00;  10,3
18.12.1989 02:15:00;  16,7
21.01.1990 20:00:00;  2,41
15.02.1990 18:00:00;  56,3
01.03.1990 04:45:00;  8,99
25.04.1990 19:30:00;  13,9
25.05.1990 17:45:00;  4,84
15.06.1990 20:45:00;  6,99
10.07.1990 08:45:00;  10,7
17.08.1990 15:00:00;  2,60
24.09.1990 16:15:00;  8,08
31.10.1990 23:59:55;  4,06
20.11.1990 00:15:00;  18,2
23.12.1990 20:00:00;  5,20
07.01.1991 21:45:00;  6,99
25.02.1991 21:00:00;  4,66
20.03.1991 13:30:00;  5,39
29.04.1991 20:45:00;  2,74
11.05.1991 15:00:00;  3,97
27.06.1991 19:30:00;  27,1
27.07.1991 21:45:00;  5,02
03.08.1991 00:00:00;  35,8
23.09.1991 19:30:00;  1,07
25.10.1991 12:00:00;  1,17
17.11.1991 17:00:00;  2,20
23.12.1991 02:15:00;  34,7
05.01.1992 21:15:00;  3,64
16.02.1992 09:15:00;  5,77
23.03.1992 07:15:00;  23,3
06.04.1992 05:45:00;  4,00
11.05.1992 21:15:00;  1,48
14.06.1992 02:00:00;  2,33
06.07.1992 07:30:00;  1,95
22.08.1992 08:00:00;  1,82
04.09.1992 09:30:00;  1,48
29.10.1992 12:45:00;  4,84
29.11.1992 01:15:00;  17,6
12.12.1992 18:30:00;  12,5
07.01.1993 18:30:00;  14,3
01.02.1993 00:00:05;  2,33
17.03.1993 19:45:00;  23,4
19.04.1993 14:30:00;  3,47
04.05.1993 19:15:00;  1,46
12.06.1993 00:45:00;  3,49
28.07.1993 19:30:00;  21,9
31.08.1993 09:45:00;  9,23
29.09.1993 13:30:00;  7,12
24.10.1993 08:30:00;  22,1
05.11.1993 12:30:00;  2,09
18.12.1993 05:30:00;  18,2
01.01.1994 15:00:00;  10,5
03.02.1994 09:30:00;  3,26
26.03.1994 14:15:00;  14,4
13.04.1994 16:15:00;  61,2
01.05.1994 16:15:00;  2,65
05.06.1994 21:30:00;  5,76
09.07.1994 21:00:00;  1,78
25.08.1994 19:00:00;  2,92
07.09.1994 13:30:00; 0,850
04.10.1994 12:15:00; 0,867
19.11.1994 05:30:00;  4,38
28.12.1994 22:15:00;  13,0
26.01.1995 01:45:00;  23,8
18.02.1995 17:45:00;  4,00
20.03.1995 02:00:00;  12,4
02.04.1995 01:00:00;  19,6
14.05.1995 06:15:00;  17,2
06.06.1995 01:00:00;  37,9
04.07.1995 01:30:00;  3,03
29.08.1995 23:30:00;  3,31
02.09.1995 08:15:00;  28,0
31.10.1995 13:00:00;  4,23
17.11.1995 07:00:00;  14,6
25.12.1995 01:45:00;  23,1
01.01.1996 00:45:00;  2,13
17.02.1996 21:00:00;  6,45
22.03.1996 21:45:00;  9,89
05.04.1996 20:30:00;  7,50
14.05.1996 10:15:00;  36,4
10.06.1996 02:45:00;  26,1
09.07.1996 05:15:00;  5,32
25.08.1996 03:30:00;  4,47
14.09.1996 20:15:00;  9,49
21.10.1996 23:45:00;  42,9
14.11.1996 17:15:00;  5,97
02.12.1996 19:00:00;  6,63
01.01.1997 00:00:00;  1,07
12.02.1997 16:15:00;  22,6
17.03.1997 20:45:00;  12,1
06.04.1997 02:30:00;  7,57
01.05.1997 00:00:00;  4,67
20.06.1997 04:32:35;  2,45
18.07.1997 11:45:00;  88,4
01.08.1997 20:45:00;  3,54
07.09.1997 03:15:00;  3,28
02.10.1997 14:45:00;  2,98
30.11.1997 21:15:00;  6,18
12.12.1997 08:15:00;  26,0
04.01.1998 06:00:00;  2,55
13.02.1998 20:30:00;  2,02
17.03.1998 17:30:00;  18,9
14.04.1998 17:00:00;  3,11
19.05.1998 19:00:00;  1,31
01.06.1998 10:45:00;  4,02
22.07.1998 22:55:35;  3,63
25.08.1998 06:45:00;  1,50
18.09.1998 17:30:00;  5,11
29.10.1998 18:45:00;  18,9
10.11.1998 21:30:00;  15,8
14.12.1998 19:45:00;  14,0
08.01.1999 14:45:00;  14,7
20.02.1999 20:15:00;  74,8
02.03.1999 17:00:00;  10,6
28.04.1999 00:00:05;  11,7
21.05.1999 10:30:00;  10,1
17.06.1999 21:00:00;  2,12
10.07.1999 15:00:00;  18,5
27.08.1999 06:00:00;  5,93
03.09.1999 06:15:00;  1,03
29.10.1999 15:15:00;  2,34
10.11.1999 14:45:00;  2,96
19.12.1999 12:45:00;  14,6
30.01.2000 15:30:00;  41,1
19.02.2000 20:30:00;  10,1
31.03.2000 07:00:00;  37,0
01.04.2000 00:00:00;  15,1
31.05.2000 09:30:10;  3,67
15.06.2000 01:15:00;  2,01
29.07.2000 21:45:00;  6,09
06.08.2000 19:00:00;  15,0
21.09.2000 08:15:00;  4,94
03.10.2000 14:45:00;  14,3
22.11.2000 08:15:00;  1,13
19.12.2000 18:30:00;  6,78
26.01.2001 14:30:00;  2,87
04.02.2001 15:45:00;  25,0
24.03.2001 12:15:00;  20,0
21.04.2001 22:30:00;  8,97
06.05.2001 00:30:00;  5,11
11.06.2001 12:45:00;  17,3
20.07.2001 16:30:00;  3,62
10.08.2001 19:45:00;  3,25
09.09.2001 05:45:00;  14,2
24.10.2001 23:00:00;  2,49
26.11.2001 17:45:00;  5,95
30.12.2001 01:15:00;  58,6
21.01.2002 22:15:00;  13,7
25.02.2002 19:30:00;  20,0
21.03.2002 06:00:00;  38,4
01.04.2002 00:00:00;  2,09
19.05.2002 08:30:00;  1,22
07.06.2002 20:15:00;  8,59
17.07.2002 08:00:00;  9,14
12.08.2002 18:30:00;   118
01.09.2002 08:30:00;  39,0
13.10.2002 04:45:00;  17,5
12.11.2002 00:15:00;  48,3
23.12.2002 06:00:00;  37,4
02.01.2003 22:00:00;  29,7
04.02.2003 13:45:00;  4,25
03.03.2003 18:15:00;  5,23
02.04.2003 22:00:00;  1,50
31.05.2003 23:45:00;  1,91
09.06.2003 05:15:00;  4,11
06.07.2003 02:15:00;  1,11
15.08.2003 20:30:00;  1,45
12.09.2003 11:15:00;  1,32
05.10.2003 13:30:00;  3,06
02.11.2003 10:34:25; 0,739
14.12.2003 18:30:00;  1,26
14.01.2004 04:00:00;  29,1
03.02.2004 03:00:00;  9,59
25.03.2004 19:15:00;  8,98
11.04.2004 20:00:00;  5,91
13.05.2004 01:15:00;  2,99
04.06.2004 09:15:00;  11,4
24.07.2004 17:00:00;  2,83
27.08.2004 00:00:00;  5,13
24.09.2004 20:30:00;  2,07
09.10.2004 12:15:00;  11,0
23.11.2004 22:30:00;  4,92
01.12.2004 00:00:00;  1,17
21.01.2005 15:00:00;  11,4
12.02.2005 19:30:00;  67,7
17.03.2005 20:15:00;  19,5
26.04.2005 09:52:45;  13,0
18.05.2005 23:15:00;  10,1
14.06.2005 22:30:00;  11,8
16.07.2005 21:00:00;  19,7
16.08.2005 14:15:00;  30,2
03.09.2005 09:45:00;  12,2
02.10.2005 18:00:00;  5,57
22.11.2005 01:18:20;  1,36
25.12.2005 21:30:00;  6,81
25.01.2006 10:08:30;  4,03
17.02.2006 19:45:00;  9,77
26.03.2006 17:15:00;  65,5
01.04.2006 00:00:00;  10,7
28.05.2006 17:00:00;  6,13
22.06.2006 23:15:00;  30,7
07.07.2006 00:53:55;  5,11
07.08.2006 13:00:00;  6,78
08.09.2006 07:15:00;  2,37
29.10.2006 15:15:00;  1,81
12.11.2006 12:00:25;  3,32
10.12.2006 12:15:00;  1,78
19.01.2007 20:00:00;  58,2
28.02.2007 08:00:00;  8,27
03.03.2007 23:30:00;  11,4
01.04.2007 20:15:00;  1,54
09.05.2007 21:45:00;  5,45
01.06.2007 22:30:00;  2,24
04.07.2007 08:45:00;  1,10
03.08.2007 06:00:00; 0,599
07.09.2007 03:00:00;  11,5
24.10.2007 01:45:00;  1,13
11.11.2007 21:30:00;  20,0
13.12.2007 02:30:00;  10,2
19.01.2008 17:15:00;  5,17
29.02.2008 17:00:00;  2,01
15.03.2008 00:15:00;  19,3
04.04.2008 01:15:00;  7,09
21.05.2008 01:30:00;  2,24
26.06.2008 07:15:00;  4,93
12.07.2008 16:30:00;  5,33
23.08.2008 03:45:00;  4,78
16.09.2008 06:00:00;  1,78
03.10.2008 15:45:00; 0,946
21.11.2008 17:09:15;  15,7
21.12.2008 02:06:05;  20,1
24.01.2009 03:15:00;  1,70
28.02.2009 16:15:00;  31,6
13.03.2009 08:30:00;  27,1
01.04.2009 00:00:00;  3,97
22.05.2009 17:15:00;  3,15
23.06.2009 19:45:00;  32,8
08.07.2009 00:00:00;  15,9
04.08.2009 19:45:00;  4,12
05.09.2009 06:00:00;  2,14
17.10.2009 11:30:00;  3,51
03.11.2009 12:30:00;  2,50
11.12.2009 12:15:00;  12,3
02.01.2010 10:00:00;  3,70
27.02.2010 19:00:00;  11,7
01.03.2010 20:30:00;  12,0
14.04.2010 06:15:00;  5,92
31.05.2010 07:30:00;  11,9
02.06.2010 21:30:00;  25,7
24.07.2010 20:45:00;  11,9
06.08.2010 00:00:00;  7,63
04.09.2010 18:45:00;  1,48
25.10.2010 14:30:00;  3,08
19.11.2010 22:15:00;  1,84
12.12.2010 17:15:00;  6,56
13.01.2011 18:45:00;  48,3
12.02.2011 15:30:00;  7,38
18.03.2011 16:45:00;  10,5
04.04.2011 20:15:00;  1,71
28.05.2011 00:30:00;  4,44
01.06.2011 04:15:00;  1,92
21.07.2011 04:15:00;  3,89
25.08.2011 02:30:00;  4,41
05.09.2011 17:15:00;  2,87
13.10.2011 09:00:00;  18,9
03.11.2011 01:45:00; 0,925
07.12.2011 23:30:00;  9,25
20.01.2012 07:30:00;  26,9
28.02.2012 21:45:00;  14,9
01.03.2012 00:00:00;  6,38
12.04.2012 11:00:00;  2,65
05.05.2012 19:15:00;  5,31
12.06.2012 23:30:00;  30,7
05.07.2012 19:30:00;  17,8
04.08.2012 22:45:00;  9,57
13.09.2012 06:15:00;  5,27
30.10.2012 17:30:00;  1,44
05.11.2012 13:00:00;  6,05
23.12.2012 16:00:00;  51,4
30.01.2013 05:30:00;  36,2
02.02.2013 15:00:00;  24,7
31.03.2013 19:15:00;  6,05
01.04.2013 00:45:00;  5,36
31.05.2013 00:45:00;  18,1
02.06.2013 17:30:00;  38,6
05.07.2013 16:00:00;  4,21
28.08.2013 20:30:00;  4,21
18.09.2013 23:45:00;  2,78
16.10.2013 12:00:00;  1,92
24.11.2013 18:30:00;  10,6
10.12.2013 22:30:00;  1,72
10.01.2014 12:30:00;  2,05
09.02.2014 02:00:00;  1,53
23.03.2014 21:15:00;  2,16
07.04.2014 00:30:00;  1,78
30.05.2014 02:30:00;  21,2
01.06.2014 02:45:00;  4,14
30.07.2014 12:15:00;  4,94
04.08.2014 03:15:00;  26,0
13.09.2014 21:30:00;  6,72
23.10.2014 12:15:00;  23,1
19.11.2014 20:30:00;  2,92
20.12.2014 07:30:00;  8,21
11.01.2015 14:00:00;  19,5
24.02.2015 20:15:00;  2,90
02.03.2015 17:00:00;  13,4
02.04.2015 18:30:00;  21,7
24.05.2015 04:15:00;  22,5
27.06.2015 17:15:00;  5,61
08.07.2015 20:30:00;  1,20
17.08.2015 15:30:00; 0,625
04.09.2015 06:15:00;  1,62
08.10.2015 03:15:00;  2,78
21.11.2015 06:00:00;  4,13
02.12.2015 06:45:00;  1,64
31.01.2016 23:59:55;  7,09
01.02.2016 11:08:20;  27,4
01.03.2016 00:47:30;  5,71
13.04.2016 23:59:55;  1,81
13.05.2016 11:15:10;  19,5
01.06.2016 09:14:25;  21,4
27.07.2016 23:35:40;  15,0
05.08.2016 22:58:00;  2,39
18.09.2016 12:03:40;  3,46
20.10.2016 13:24:55;  2,09
16.11.2016 22:38:45;  9,19
13.12.2016 13:45:35;  1,33
13.01.2017 16:00:00;  1,53
22.02.2017 03:30:00;  23,1
19.03.2017 13:30:00;  25,0
28.04.2017 20:45:00;  15,2
09.05.2017 03:15:00;  17,2
06.06.2017 01:45:00;  3,36
27.07.2017 04:00:00;  6,86
06.08.2017 20:45:00;  4,28
03.09.2017 10:15:00;  3,40
29.10.2017 16:45:00;  4,75
13.11.2017 01:15:00;  13,1
31.12.2017 06:00:00;  18,1
05.01.2018 04:15:00;  36,2
10.02.2018 09:30:00;  2,42
29.03.2018 13:30:00;  4,70
02.04.2018 06:00:00;  2,66
25.05.2018 16:45:00;  1,75
13.06.2018 02:45:00;  7,05
22.07.2018 09:30:00;  1,16
26.08.2018 05:45:00;  1,14
19.09.2018 06:00:00;  1,40
25.10.2018 05:15:00;  1,29
26.11.2018 18:00:00;  1,19
24.12.2018 11:45:00;  23,3
14.01.2019 06:00:00;  30,2
03.02.2019 17:00:00;  6,16
16.03.2019 01:00:00;  8,81
30.04.2019 16:30:00;  1,35
29.05.2019 18:15:00;  8,44
23.06.2019 03:00:00;  4,34
14.07.2019 15:30:00;  3,17
30.08.2019 03:30:00;  3,60
02.09.2019 01:45:00;  7,98
10.10.2019 01:00:00;  1,36
13.11.2019 22:15:00;  1,87
25.12.2019 21:00:00;  5,36
31.01.2020 19:00:00;  1,45
03.02.2020 19:15:00;  36,5
03.03.2020 18:15:00;  3,99
29.04.2020 03:45:00;  1,29
26.05.2020 22:15:00;  1,86
29.06.2020 13:15:00;  10,1
11.07.2020 18:30:00;  11,1
04.08.2020 13:00:00;  23,7
26.09.2020 17:15:00;  8,22
30.10.2020 13:15:00;  6,71
04.11.2020 06:45:00;  5,02
25.12.2020 13:45:00;  9,58
29.01.2021 02:00:00;  31,5
03.02.2021 06:15:00;  9,40
16.03.2021 08:30:00;  4,15
09.04.2021 14:15:00;  2,14
14.05.2021 06:15:00;  13,8
23.06.2021 02:45:00;  14,9
27.07.2021 02:00:00;  26,6
05.08.2021 07:15:00;  18,6
01.09.2021 07:00:00;  2,03
08.10.2021 08:15:00;  1,17
02.11.2021 11:00:00;  2,58
29.12.2021 08:15:00;  16,8
