Messstelle:                ;Au St. Georgen
31.05.1967 12:00:00;  5,02
30.06.1967 12:00:00;  7,06
16.07.1967 12:00:00;  13,5
23.08.1967 12:00:00;  2,22
12.09.1967 12:00:00;  5,94
05.10.1967 12:00:00;  1,94
16.11.1967 12:00:00;  2,36
24.12.1967 12:00:00;  4,50
19.01.1968 12:00:00;  2,82
21.02.1968 12:00:00;  2,66
16.03.1968 12:00:00;  1,68
12.04.1968 12:00:00;  3,14
13.05.1968 12:00:00;  1,18
21.06.1968 12:00:00;  2,50
21.07.1968 12:00:00;  6,49
02.08.1968 12:00:00;  8,00
22.09.1968 12:00:00;  3,30
03.10.1968 12:00:00;  5,02
14.11.1968 12:00:00;  1,43
23.12.1968 12:00:00;  1,30
26.01.1969 12:00:00;  3,47
27.02.1969 12:00:00;  3,82
01.03.1969 12:00:00;  2,82
01.04.1969 12:00:00;  1,94
19.05.1969 12:00:00;  1,18
07.06.1969 12:00:00;  4,90
01.07.1969 12:00:00;  2,08
27.08.1969 12:00:00;  1,80
18.09.1969 12:00:00; 0,730
06.10.1969 12:00:00;  1,61
27.11.1969 12:00:00; 0,540
08.12.1969 12:00:00; 0,470
29.01.1970 12:00:00; 0,840
23.02.1970 12:00:00;  15,6
19.03.1970 12:00:00;  4,61
15.04.1970 12:00:00;  1,91
22.05.1970 12:00:00;  2,47
29.06.1970 12:00:00;  5,86
30.07.1970 12:00:00;  6,60
10.08.1970 12:00:00;  26,0
12.09.1970 12:00:00;  1,68
05.10.1970 12:00:00;  3,99
22.11.1970 12:00:00;  16,2
06.12.1970 12:00:00;  1,80
29.01.1971 12:00:00; 0,610
23.02.1971 12:00:00; 0,910
23.03.1971 12:00:00;  7,64
28.04.1971 12:00:00;  4,85
31.05.1971 12:00:00;  3,30
07.06.1971 12:00:00;  10,0
01.07.1971 12:00:00;  1,30
11.08.1971 12:00:00;  2,93
11.09.1971 12:00:00;  2,62
01.10.1971 12:00:00; 0,590
30.11.1971 12:00:00;  2,93
21.12.1971 12:00:00;  2,18
01.01.1972 12:00:00; 0,730
13.02.1972 12:00:00;  1,91
01.03.1972 12:00:00; 0,730
17.04.1972 12:00:00;  6,41
11.05.1972 12:00:00;  3,47
18.06.1972 12:00:00;  3,64
23.07.1972 12:00:00;  2,50
17.08.1972 12:00:00;  8,85
11.09.1972 12:00:00;  3,99
09.10.1972 12:00:00;  4,68
17.11.1972 12:00:00;  13,5
05.12.1972 12:00:00;  1,09
31.01.1973 12:00:00;  2,18
22.02.1973 12:00:00;  5,86
05.03.1973 12:00:00;  4,26
19.04.1973 12:00:00;  5,31
08.05.1973 12:00:00;  5,86
25.06.1973 12:00:00;  7,18
01.07.1973 12:00:00;  1,52
23.08.1973 12:00:00;  2,04
10.09.1973 12:00:00;  2,47
24.10.1973 12:00:00;  1,64
15.11.1973 12:00:00;  10,0
09.12.1973 12:00:00;  3,64
02.01.1974 12:00:00;  3,64
02.02.1974 12:00:00;  1,12
01.03.1974 12:00:00; 0,470
30.04.1974 12:00:00; 0,150
05.05.1974 12:00:00; 0,840
19.06.1974 12:00:00;  8,98
18.07.1974 12:00:00;  5,86
18.08.1974 12:00:00;  1,77
30.09.1974 12:00:00;  2,47
24.10.1974 12:00:00;  2,31
28.11.1974 12:00:00;  3,59
08.12.1974 12:00:00;  11,0
31.01.1975 12:00:00;  18,5
01.02.1975 12:00:00;  8,24
31.03.1975 12:00:00;  1,55
01.04.1975 12:00:00;  1,30
12.05.1975 12:00:00; 0,560
21.06.1975 12:00:00;  1,80
19.07.1975 12:00:00;  14,8
27.08.1975 12:00:00;  5,45
04.09.1975 12:00:00;  6,60
19.10.1975 12:00:00;  2,15
21.11.1975 12:00:00;  1,63
07.12.1975 12:00:00; 0,980
23.01.1976 03:00:00;  3,82
04.02.1976 14:00:00; 0,900
26.03.1976 15:00:00; 0,525
27.04.1976 11:00:00; 0,741
24.05.1976 03:00:00;  5,89
03.06.1976 19:00:00;  5,61
27.07.1976 21:00:00;  1,28
05.08.1976 17:00:00;  3,53
03.09.1976 18:00:00;  7,92
17.10.1976 17:00:00;  2,56
15.11.1976 23:00:00;  7,65
10.12.1976 21:00:00;  1,62
30.01.1977 22:00:00;  2,34
09.02.1977 03:00:00;  10,9
02.03.1977 23:00:00;  4,13
15.04.1977 10:00:00;  3,72
09.05.1977 08:00:00;  2,71
26.06.1977 13:00:00;  11,3
31.07.1977 23:59:55; 0,901
11.08.1977 05:00:00;  10,1
02.09.1977 01:00:00;  1,41
03.10.1977 07:00:00; 0,741
03.11.1977 05:00:00;  1,43
25.12.1977 09:00:00;  6,07
06.01.1978 12:00:00;  2,20
27.02.1978 23:00:00;  4,13
21.03.1978 18:00:00;  4,06
01.04.1978 00:00:00;  1,24
10.05.1978 04:00:00;  4,91
24.06.1978 14:00:00;  1,29
05.07.1978 09:00:00;  3,90
17.08.1978 04:00:00;  5,65
29.09.1978 16:00:00;  5,00
26.10.1978 15:00:00;  4,50
01.11.1978 00:00:00; 0,845
30.12.1978 04:00:00;  2,51
03.01.1979 11:00:00;  3,73
03.02.1979 07:00:00;  5,87
12.03.1979 10:00:00;  9,18
28.04.1979 14:00:00;  8,15
03.05.1979 19:00:00;  5,26
18.06.1979 05:00:00;  20,9
14.07.1979 02:00:00;  5,51
04.08.1979 16:00:00;  10,1
24.09.1979 18:00:00;  8,46
18.10.1979 15:00:00;  3,19
27.11.1979 23:00:00;  19,4
01.12.1979 08:00:00;  5,83
14.01.1980 07:00:00;  4,31
05.02.1980 11:00:00;  9,80
13.03.1980 01:00:00;  2,47
25.04.1980 07:00:00;  12,2
01.05.1980 00:00:00;  2,03
29.06.1980 18:00:00;  3,10
22.07.1980 09:00:00;  4,77
13.08.1980 15:00:00;  3,64
24.09.1980 05:00:00;  4,28
13.10.1980 14:00:00;  8,05
27.11.1980 17:00:00;  1,48
24.12.1980 03:00:00;  4,84
20.01.1981 08:00:00;  1,82
08.02.1981 03:00:00;  8,63
13.03.1981 09:00:00;  3,50
02.04.1981 08:00:00; 0,652
02.05.1981 08:00:00;  1,65
22.06.1981 16:00:00; 0,906
20.07.1981 07:00:00;  24,9
23.08.1981 13:00:00;  1,51
17.09.1981 14:00:00;  6,46
15.10.1981 08:00:00;  7,26
28.11.1981 09:00:00;  3,61
01.12.1981 08:00:00;  9,34
31.01.1982 15:30:00;  17,2
01.02.1982 00:00:00;  13,0
19.03.1982 18:00:00;  5,28
02.04.1982 09:00:00; 0,932
29.05.1982 09:30:00;  1,16
27.06.1982 20:30:00;  3,76
01.07.1982 01:00:00; 0,983
04.08.1982 03:00:00;  3,64
06.09.1982 23:00:00;  2,48
08.10.1982 08:30:00;  2,48
03.11.1982 12:30:00;  1,92
28.12.1982 10:00:00;  5,89
05.01.1983 15:30:00;  10,6
27.02.1983 18:30:00;  5,50
01.03.1983 00:00:00;  3,59
15.04.1983 21:30:00;  4,51
09.05.1983 14:00:00;  4,73
14.06.1983 21:00:00;  12,6
08.07.1983 07:00:00;  7,18
07.08.1983 08:00:00;  8,86
25.09.1983 12:00:00; 0,726
17.10.1983 15:00:00; 0,607
29.11.1983 08:00:00; 0,935
24.12.1983 13:30:00;  7,09
15.01.1984 05:15:00;  3,68
07.02.1984 07:15:00;  4,69
30.03.1984 17:00:00;  2,30
03.04.1984 05:30:00;  1,71
29.05.1984 06:30:00;  6,65
09.06.1984 18:00:00;  1,69
29.07.1984 15:45:00;  6,46
12.08.1984 16:15:00;  3,29
17.09.1984 12:00:00;  8,95
04.10.1984 10:15:00;  3,45
27.11.1984 06:45:00;  1,04
17.12.1984 13:30:00;  3,34
24.01.1985 02:00:00;  7,77
02.02.1985 02:00:00;  13,6
24.03.1985 11:45:00;  5,36
10.04.1985 18:30:00;  1,71
02.05.1985 16:45:00;  3,68
23.06.1985 08:00:00;  8,71
18.07.1985 07:15:00;  3,51
07.08.1985 09:30:00;  19,3
09.09.1985 17:30:00;  5,24
15.10.1985 18:15:00;  1,11
30.11.1985 23:45:00;  2,37
01.12.1985 16:30:00;  4,78
14.01.1986 22:30:00;  10,9
01.02.1986 00:15:00; 0,754
24.03.1986 06:30:00;  6,16
21.04.1986 14:30:00;  2,11
31.05.1986 04:15:00;  3,35
01.06.1986 00:00:00;  3,35
24.07.1986 19:45:00; 0,848
18.08.1986 07:00:00; 0,343
30.09.1986 12:45:00; 0,429
30.10.1986 08:45:00;  2,57
24.11.1986 02:00:00;  1,71
29.12.1986 21:45:00;  5,89
02.01.1987 03:45:00;  4,93
28.02.1987 23:59:55;  11,6
03.03.1987 01:30:00;  19,5
11.04.1987 01:45:00;  3,72
20.05.1987 21:00:00;  9,60
25.06.1987 06:15:00;  8,77
02.07.1987 07:00:00;  6,48
03.08.1987 20:00:00;  5,36
27.09.1987 14:15:00;  5,47
01.10.1987 00:00:00; 0,826
06.11.1987 14:15:00;  1,00
21.12.1987 00:00:00;  8,91
30.01.1988 09:45:00;  3,89
01.02.1988 00:00:00;  2,58
22.03.1988 03:15:00;  11,1
14.04.1988 00:30:00;  4,79
29.05.1988 23:30:00;  1,89
06.06.1988 11:45:00;  7,46
14.07.1988 14:45:00;  3,45
30.08.1988 05:00:00;  2,35
16.09.1988 23:15:00;  3,11
29.10.1988 21:00:00;  1,76
30.11.1988 20:15:00;  4,27
11.12.1988 08:00:00;  13,8
07.01.1989 14:30:00;  7,01
19.02.1989 08:00:00;  5,47
19.03.1989 03:45:00;  2,30
15.04.1989 21:00:00;  4,93
14.05.1989 17:15:00;  4,24
23.06.1989 16:00:00;  4,23
27.07.1989 20:15:00;  10,9
09.08.1989 20:45:00;  5,87
20.09.1989 03:15:00;  3,27
08.10.1989 08:45:00;  2,65
09.11.1989 17:45:00;  5,14
19.12.1989 14:45:00;  5,69
30.01.1990 09:00:00; 0,631
15.02.1990 19:30:00;  20,0
01.03.1990 05:45:00;  4,57
27.04.1990 00:45:00;  4,36
25.05.1990 16:30:00;  1,23
15.06.1990 23:00:00;  6,67
04.07.1990 10:45:00;  14,2
17.08.1990 16:30:00; 0,770
24.09.1990 16:45:00;  8,01
31.10.1990 23:59:55;  3,80
01.11.1990 13:30:00;  8,29
24.12.1990 00:15:00;  3,15
03.01.1991 09:45:00;  2,32
24.02.1991 19:00:00;  1,74
23.03.1991 05:45:00;  1,88
02.04.1991 01:30:00; 0,520
12.05.1991 20:00:00;  3,90
27.06.1991 21:30:00;  10,1
31.07.1991 23:59:55;  6,99
02.08.1991 23:15:00;  55,9
27.09.1991 13:00:00; 0,578
28.10.1991 19:30:00; 0,846
17.11.1991 00:15:00;  1,97
23.12.1991 05:15:00;  13,2
21.01.1992 23:15:00;  1,34
13.02.1992 21:30:00;  3,04
23.03.1992 03:30:00;  12,5
06.04.1992 10:45:00;  1,74
01.05.1992 00:00:00;  1,34
14.06.1992 00:00:00; 0,840
05.07.1992 10:00:00; 0,442
22.08.1992 07:30:00; 0,380
01.09.1992 15:45:00;  1,21
26.10.1992 06:00:00;  4,16
23.11.1992 04:00:00;  8,29
13.12.1992 09:00:00;  5,92
07.01.1993 20:30:00;  9,78
01.02.1993 00:00:00;  1,02
17.03.1993 22:15:00;  12,4
06.04.1993 12:00:00;  5,27
12.05.1993 11:30:00;  1,01
17.06.1993 21:00:00;  1,01
29.07.1993 06:45:00;  13,3
28.08.1993 22:45:00;  6,73
06.09.1993 03:45:00;  3,82
24.10.1993 12:30:00;  10,1
20.11.1993 09:00:00; 0,655
18.12.1993 06:45:00;  8,14
25.01.1994 09:15:00;  7,34
01.02.1994 00:00:00; 0,933
26.03.1994 16:15:00;  5,84
18.04.1994 11:00:00;  20,3
19.05.1994 21:30:00;  1,23
20.06.1994 19:15:00;  11,2
01.07.1994 01:30:00; 0,747
25.08.1994 18:15:00;  6,23
15.09.1994 22:00:00; 0,607
04.10.1994 09:00:00;  1,01
20.11.1994 12:45:00;  4,30
28.12.1994 22:00:00;  8,91
26.01.1995 01:15:00;  9,54
18.02.1995 09:45:00;  6,32
20.03.1995 01:15:00;  6,08
02.04.1995 00:00:00;  16,3
14.05.1995 05:00:00;  9,68
26.06.1995 00:30:00;  19,6
04.07.1995 08:00:00;  5,00
30.08.1995 18:30:00;  8,29
02.09.1995 00:45:00;  15,5
02.10.1995 08:30:00; 0,491
17.11.1995 09:30:00;  4,42
25.12.1995 08:30:00;  9,26
08.01.1996 22:45:00;  1,35
24.02.1996 08:00:00;  1,88
23.03.1996 10:15:00;  3,80
05.04.1996 22:00:00;  2,88
14.05.1996 06:30:00;  13,6
23.06.1996 21:00:00;  1,54
09.07.1996 04:45:00;  6,67
04.08.1996 06:00:00;  1,46
14.09.1996 10:00:00;  10,4
21.10.1996 16:00:00;  12,8
15.11.1996 19:00:00;  4,10
01.12.1996 00:00:00;  2,48
17.01.1997 04:01:30;  6,41
15.02.1997 14:13:20;  5,64
06.03.1997 14:09:50;  4,72
30.04.1997 23:59:55;  4,22
01.05.1997 00:25:20;  4,41
26.06.1997 15:19:15;  3,71
05.07.1997 19:02:30;  22,5
02.08.1997 06:33:20;  13,0
07.09.1997 02:49:35;  5,27
02.10.1997 00:29:05;  5,14
30.11.1997 20:05:45;  7,59
12.12.1997 09:12:55;  11,1
07.01.1998 15:56:35;  1,21
26.02.1998 08:49:45; 0,892
17.03.1998 16:03:45;  12,3
15.04.1998 02:06:15;  3,77
01.05.1998 09:40:30; 0,377
13.06.1998 06:13:50;  4,62
14.07.1998 09:31:20;  1,97
23.08.1998 13:19:25; 0,423
12.09.1998 19:22:55;  3,75
29.10.1998 16:27:30;  5,59
10.11.1998 15:48:10;  11,0
15.12.1998 15:38:20;  7,51
08.01.1999 14:25:50;  3,77
21.02.1999 15:35:45;  20,0
02.03.1999 17:39:05;  8,69
05.04.1999 02:22:25;  3,55
21.05.1999 18:52:55;  13,4
18.06.1999 14:01:10;  4,68
10.07.1999 11:41:55;  3,22
30.08.1999 08:07:35; 0,850
30.09.1999 23:59:55;  2,12
01.10.1999 00:19:40;  2,13
03.11.1999 07:52:35;  4,22
19.12.1999 06:56:50;  10,8
30.01.2000 21:18:20;  7,69
20.02.2000 00:40:05;  6,67
17.03.2000 21:02:35;  12,8
01.04.2000 01:28:30;  4,90
31.05.2000 21:09:30;  3,08
01.06.2000 00:00:00;  2,99
14.07.2000 16:09:10;  2,32
07.08.2000 02:25:30;  5,22
21.09.2000 09:40:35;  4,51
03.10.2000 16:50:40;  8,37
08.11.2000 10:55:50;  2,42
19.12.2000 18:14:50;  5,25
27.01.2001 00:49:05;  1,72
10.02.2001 06:00:50;  5,45
24.03.2001 17:26:10;  4,82
08.04.2001 21:12:10;  7,32
16.05.2001 07:10:10; 0,658
11.06.2001 20:03:45;  9,42
18.07.2001 17:13:30;  2,99
10.08.2001 17:47:25;  2,49
13.09.2001 09:20:20;  8,26
24.10.2001 20:33:40;  1,73
26.11.2001 21:05:55;  4,56
30.12.2001 04:24:40;  14,0
01.01.2002 00:00:05;  5,07
28.02.2002 12:25:00;  4,59
21.03.2002 02:09:25;  14,5
01.04.2002 00:00:00; 0,847
29.05.2002 03:42:00; 0,941
07.06.2002 18:59:45;  6,09
17.07.2002 21:07:10;  1,23
12.08.2002 08:47:10;  18,7
28.09.2002 01:12:15;  4,90
18.10.2002 05:06:30;  5,88
05.11.2002 06:39:40;  7,19
23.12.2002 07:37:05;  10,2
28.01.2003 13:15:00;  11,0
01.02.2003 00:00:00;  1,80
07.03.2003 09:00:00;  6,17
03.04.2003 08:15:00; 0,520
14.05.2003 08:30:00; 0,631
23.06.2003 22:00:00; 0,546
16.07.2003 16:30:00; 0,440
15.08.2003 14:45:00; 0,440
13.09.2003 00:00:00;  1,11
06.10.2003 07:30:00;  2,75
14.11.2003 13:45:00;  2,20
05.12.2003 14:00:00;  1,79
13.01.2004 13:45:00;  9,87
03.02.2004 23:15:00;  2,65
25.03.2004 09:30:00;  4,20
11.04.2004 21:00:00;  3,99
16.05.2004 13:15:00;  2,32
04.06.2004 07:15:00;  9,97
09.07.2004 11:30:00;  1,06
13.08.2004 07:00:00;  2,28
26.09.2004 04:00:00;  1,39
10.10.2004 12:59:50;  4,35
01.11.2004 01:02:10;  2,31
07.12.2004 14:30:00;  1,12
21.01.2005 16:52:35;  2,45
13.02.2005 09:08:40;  13,5
19.03.2005 22:44:00;  6,54
26.04.2005 16:30:00;  10,7
18.05.2005 19:30:00;  7,46
26.06.2005 04:00:00;  2,55
08.07.2005 10:45:00;  4,62
16.08.2005 22:45:00;  10,6
29.09.2005 13:00:00;  2,48
02.10.2005 23:15:00;  3,90
05.11.2005 20:15:00; 0,546
16.12.2005 22:30:00;  2,13
02.01.2006 08:15:00;  1,23
17.02.2006 22:45:00;  3,33
29.03.2006 07:15:00;  15,6
01.04.2006 00:00:00;  5,32
28.05.2006 18:45:00;  6,51
22.06.2006 20:30:00;  18,4
01.07.2006 00:00:00;  1,05
07.08.2006 07:15:00;  11,3
19.09.2006 06:30:00;  6,17
04.10.2006 07:30:00; 0,694
13.11.2006 08:30:00;  3,39
10.12.2006 10:30:00;  2,11
30.01.2007 00:15:00;  2,55
12.02.2007 06:15:00;  3,39
03.03.2007 19:45:00;  3,77
07.04.2007 08:45:00; 0,573
29.05.2007 16:15:00;  4,72
26.06.2007 08:15:00;  1,74
21.07.2007 06:15:00;  5,50
30.08.2007 11:45:00; 0,670
07.09.2007 02:00:00;  16,2
24.10.2007 07:15:00;  1,93
11.11.2007 22:30:00;  9,58
12.12.2007 17:45:00;  5,55
19.01.2008 18:30:00;  3,61
29.02.2008 23:59:55;  1,26
15.03.2008 00:45:00;  8,58
22.04.2008 09:45:00;  5,92
02.05.2008 16:00:00;  2,75
10.06.2008 22:30:00; 0,428
23.07.2008 07:00:00;  1,94
16.08.2008 11:30:00;  4,46
16.09.2008 09:00:00;  1,65
17.10.2008 10:00:00; 0,969
21.11.2008 20:30:00;  5,05
21.12.2008 23:00:00;  7,83
24.01.2009 01:15:00; 0,752
28.02.2009 18:15:00;  8,98
13.03.2009 13:00:00;  9,88
01.04.2009 00:00:00;  2,19
27.05.2009 08:00:00;  1,01
24.06.2009 08:45:00;  24,7
06.07.2009 21:45:00;  8,75
02.08.2009 15:45:00;  8,39
05.09.2009 07:45:00;  2,66
17.10.2009 16:45:00;  1,81
03.11.2009 13:15:00;  2,81
11.12.2009 15:00:00;  4,26
02.01.2010 08:45:00;  1,54
04.02.2010 08:15:00;  3,50
16.03.2010 23:00:00;  2,81
14.04.2010 15:15:00;  1,21
31.05.2010 23:59:55;  2,42
03.06.2010 09:15:00;  17,0
24.07.2010 14:30:00;  17,0
16.08.2010 12:00:00;  4,46
01.09.2010 00:00:00;  2,00
26.10.2010 15:45:00;  2,88
12.11.2010 19:45:00; 0,736
12.12.2010 04:00:00;  2,08
13.01.2011 19:15:00;  13,3
11.02.2011 18:15:00;  3,15
18.03.2011 07:45:00;  8,11
04.04.2011 14:45:00;  1,16
27.05.2011 21:00:00;  1,06
18.06.2011 22:30:00;  2,55
21.07.2011 02:15:00;  5,96
08.08.2011 19:45:00;  3,42
20.09.2011 07:15:00;  3,24
10.10.2011 17:15:00;  3,06
03.11.2011 09:15:00; 0,249
23.12.2011 14:45:00;  3,44
22.01.2012 07:30:00;  7,56
24.02.2012 19:00:00;  4,06
01.03.2012 00:00:00;  2,87
16.04.2012 14:00:00;  2,65
12.05.2012 16:45:00; 0,752
13.06.2012 06:30:00;  9,58
27.07.2012 10:15:00; 0,814
31.08.2012 19:45:00;  3,87
22.09.2012 23:00:00;  4,06
09.10.2012 21:00:00;  2,20
05.11.2012 13:30:00;  4,88
23.12.2012 16:45:00;  10,2
05.01.2013 11:00:00;  18,4
02.02.2013 12:42:00;  10,6
20.03.2013 03:28:00;  1,97
01.04.2013 01:59:20;  2,04
31.05.2013 21:50:50;  10,0
02.06.2013 21:50:45;  37,3
01.07.2013 00:00:00; 0,909
10.08.2013 01:39:10; 0,484
18.09.2013 18:53:10;  3,93
16.10.2013 03:10:45;  2,77
25.11.2013 02:22:40;  5,00
