Messstelle:                ;Saalfelden
05.11.1966 12:00:00;  3,80
21.12.1966 12:00:00;  2,43
28.01.1967 12:00:00;  3,18
28.02.1967 12:00:00;  3,18
11.03.1967 12:00:00;  15,3
09.04.1967 12:00:00;  32,9
17.05.1967 12:00:00;  40,0
01.06.1967 12:00:00;  20,4
15.07.1967 12:00:00;  26,4
13.08.1967 12:00:00;  6,38
08.09.1967 12:00:00;  8,40
01.10.1967 12:00:00;  2,50
06.11.1967 12:00:00;  1,90
26.12.1967 12:00:00;  1,53
16.01.1968 12:00:00;  3,35
25.02.1968 12:00:00;  1,75
31.03.1968 12:00:00;  18,0
24.04.1968 12:00:00;  17,2
05.05.1968 12:00:00;  25,5
21.06.1968 12:00:00;  10,3
21.07.1968 12:00:00;  35,0
14.08.1968 12:00:00;  19,2
25.09.1968 12:00:00;  17,2
02.10.1968 12:00:00;  29,9
25.11.1968 12:00:00;  4,88
20.12.1968 12:00:00;  1,42
21.01.1969 12:00:00;  1,75
21.02.1969 12:00:00;  5,60
17.03.1969 12:00:00;  5,60
29.04.1969 12:00:00;  12,8
01.05.1969 12:00:00;  9,68
19.06.1969 12:00:00;  12,8
12.07.1969 12:00:00;  21,2
18.08.1969 12:00:00;  32,0
05.09.1969 12:00:00;  10,0
27.10.1969 12:00:00;  2,67
15.11.1969 12:00:00;  1,75
02.12.1969 12:00:00;  1,53
29.01.1970 12:00:00;  1,53
23.02.1970 12:00:00;  3,20
26.03.1970 12:00:00;  3,20
25.04.1970 12:00:00;  29,7
16.05.1970 12:00:00;  37,1
02.06.1970 12:00:00;  29,7
24.07.1970 12:00:00;  68,0
10.08.1970 12:00:00;  46,3
06.09.1970 12:00:00;  22,3
04.10.1970 12:00:00;  16,2
20.11.1970 12:00:00;  5,45
02.12.1970 12:00:00;  3,20
12.01.1971 12:00:00; 0,820
25.02.1971 12:00:00; 0,630
21.03.1971 12:00:00;  21,0
24.04.1971 12:00:00;  6,75
06.05.1971 12:00:00;  4,25
20.06.1971 12:00:00;  13,1
02.07.1971 12:00:00;  6,82
31.08.1971 12:00:00;  13,4
30.09.1971 12:00:00;  3,83
01.10.1971 12:00:00;  2,11
30.11.1971 12:00:00; 0,760
22.12.1971 12:00:00;  2,26
20.01.1972 12:00:00;  1,29
20.02.1972 12:00:00; 0,950
25.03.1972 12:00:00;  1,52
02.04.1972 12:00:00;  6,75
28.05.1972 12:00:00;  6,75
17.06.1972 12:00:00;  11,3
11.07.1972 12:00:00;  27,0
04.08.1972 12:00:00;  16,9
12.09.1972 12:00:00;  2,11
29.10.1972 12:00:00;  5,45
15.11.1972 12:00:00;  7,59
05.12.1972 12:00:00;  1,96
17.01.1973 12:00:00; 0,820
28.02.1973 12:00:00; 0,630
28.03.1973 12:00:00;  5,45
30.04.1973 12:00:00;  24,0
19.05.1973 12:00:00;  47,3
18.06.1973 12:00:00;  58,0
01.07.1973 12:00:00;  8,53
23.08.1973 12:00:00;  14,2
26.09.1973 12:00:00;  6,01
18.10.1973 12:00:00;  5,77
16.11.1973 12:00:00;  7,68
12.12.1973 12:00:00;  2,41
20.01.1974 12:00:00;  4,00
24.02.1974 12:00:00;  2,57
27.03.1974 12:00:00;  26,7
02.04.1974 12:00:00;  10,7
23.05.1974 12:00:00;  12,3
24.06.1974 12:00:00;  44,9
21.07.1974 12:00:00;  50,0
08.08.1974 12:00:00;  18,0
27.09.1974 12:00:00;  12,3
01.10.1974 12:00:00;  4,63
19.11.1974 12:00:00;  5,05
29.12.1974 12:00:00;  22,0
01.01.1975 12:00:00;  5,05
02.02.1975 12:00:00;  4,42
19.03.1975 12:00:00;  7,68
25.04.1975 12:00:00;  31,9
09.05.1975 12:00:00;  30,8
25.06.1975 12:00:00;  34,6
18.07.1975 12:00:00;  42,4
22.08.1975 12:00:00;  68,0
12.09.1975 12:00:00;  4,96
31.10.1975 12:00:00; 0,760
30.11.1975 12:00:00;  1,05
31.12.1975 12:00:00; 0,760
11.01.1976 00:00:00;  3,19
06.02.1976 00:00:05;  1,49
30.03.1976 08:00:00;  4,85
05.04.1976 08:00:00;  10,7
27.05.1976 08:00:00;  19,9
01.06.1976 02:00:00;  24,0
25.07.1976 08:00:00;  9,03
21.08.1976 16:00:00;  13,7
02.09.1976 08:00:00;  11,3
01.10.1976 08:00:00;  3,20
01.11.1976 00:00:00;  2,14
12.12.1976 00:00:05;  1,87
25.01.1977 00:00:05;  3,16
06.02.1977 08:00:00;  5,43
04.03.1977 08:00:00;  15,0
30.04.1977 08:00:00;  18,9
01.05.1977 18:00:00;  34,2
27.06.1977 08:00:00;  13,0
21.07.1977 08:00:00;  20,9
01.08.1977 02:00:00;  20,9
09.09.1977 08:00:00;  19,9
01.10.1977 00:00:00;  1,92
03.11.1977 08:00:00;  2,70
26.12.1977 00:00:05;  5,11
07.01.1978 00:00:00;  2,44
25.02.1978 08:00:00;  3,16
31.03.1978 08:00:00;  5,43
03.04.1978 08:00:00;  8,15
22.05.1978 18:00:00;  18,1
09.06.1978 08:00:00;  16,1
19.07.1978 08:00:00;  14,2
01.08.1978 00:00:00;  4,96
08.09.1978 08:00:00;  40,6
26.10.1978 08:00:00;  16,1
01.11.1978 00:00:00;  3,82
10.12.1978 00:01:00;  1,87
09.01.1979 00:01:00;  1,34
01.02.1979 00:00:00;  1,23
13.03.1979 08:00:00;  18,1
14.04.1979 08:00:00;  6,22
18.05.1979 20:00:00;  22,3
14.06.1979 08:00:00;  22,3
10.07.1979 08:00:00;  22,3
24.08.1979 18:00:00;  26,6
24.09.1979 08:00:00;  10,7
15.10.1979 08:00:00;  22,3
27.11.1979 18:00:00;  20,2
11.12.1979 08:00:00;  9,65
01.01.1980 00:00:00;  2,33
05.02.1980 08:00:00;  2,33
28.03.1980 16:00:00;  9,65
18.04.1980 16:00:00;  13,0
07.05.1980 16:00:00;  23,9
10.06.1980 16:00:00;  15,6
04.07.1980 16:00:00;  29,8
31.08.1980 23:59:55;  19,4
01.09.1980 02:00:00;  21,0
25.10.1980 08:00:00;  15,8
01.11.1980 00:00:00;  4,70
15.12.1980 00:00:05;  3,33
04.01.1981 08:00:00;  8,75
09.02.1981 00:01:00;  4,25
31.03.1981 16:00:00;  36,6
01.04.1981 00:00:00;  36,6
23.05.1981 08:00:00;  9,69
10.06.1981 08:00:00;  7,86
21.07.1981 08:00:00;  48,8
03.08.1981 20:00:00;  85,2
14.09.1981 08:00:00;  10,7
31.10.1981 23:59:55;  7,57
01.11.1981 00:00:00;  7,57
01.12.1981 02:00:00;  3,16
31.01.1982 08:00:00;  4,03
01.02.1982 00:00:00;  4,03
30.03.1982 18:00:00;  8,45
07.04.1982 18:00:00;  17,7
24.05.1982 08:00:00;  32,1
27.06.1982 08:00:00;  21,3
28.07.1982 08:00:00;  15,8
01.08.1982 02:00:00;  9,37
22.09.1982 08:00:00;  4,03
06.10.1982 18:00:00;  16,2
14.11.1982 08:00:00;  1,83
18.12.1982 18:00:00;  1,70
06.01.1983 08:00:00;  6,48
01.02.1983 00:00:00;  3,45
20.03.1983 18:00:00;  10,3
22.04.1983 08:00:00;  18,8
01.05.1983 18:00:00;  14,8
14.06.1983 18:00:00;  28,9
07.07.1983 18:00:00;  21,0
05.08.1983 08:00:00;  24,8
25.09.1983 08:00:00;  6,19
11.10.1983 18:00:00;  11,7
27.11.1983 18:00:00;  14,6
24.12.1983 02:00:00;  11,0
01.01.1984 00:00:00;  3,16
11.02.1984 00:00:05;  1,33
29.03.1984 18:00:00;  7,57
25.04.1984 18:00:00;  11,3
21.05.1984 18:00:00;  21,5
15.06.1984 10:00:00;  15,8
28.07.1984 18:00:00;  12,0
14.08.1984 18:00:00;  22,3
24.09.1984 10:00:00;  13,3
02.10.1984 18:00:00;  10,6
01.11.1984 00:00:00;  1,56
11.12.1984 08:00:00;  1,83
31.01.1985 00:01:00;  1,14
02.02.1985 00:01:00;  11,3
22.03.1985 18:00:00;  4,21
10.04.1985 18:00:00;  8,90
14.05.1985 18:00:00;  13,8
23.06.1985 18:00:00;  14,9
31.07.1985 10:00:00;  10,9
06.08.1985 02:00:00;  51,9
02.09.1985 18:00:00;  7,88
15.10.1985 18:00:00;  3,26
06.11.1985 08:00:00;  1,94
19.12.1985 08:00:00;  3,87
19.01.1986 08:00:00;  4,31
01.02.1986 02:00:00;  1,54
31.03.1986 18:00:00;  5,02
09.04.1986 18:00:00;  26,6
20.05.1986 10:00:00;  17,8
23.06.1986 10:00:00;  15,4
24.07.1986 18:00:00;  5,92
24.08.1986 18:00:00;  15,4
10.09.1986 10:00:00;  5,53
23.10.1986 18:00:00;  2,23
02.11.1986 18:00:00;  1,67
02.12.1986 00:00:00;  1,94
03.01.1987 00:00:05;  6,64
28.02.1987 18:00:00;  4,31
02.03.1987 18:00:00;  5,80
19.04.1987 18:00:00;  24,3
03.05.1987 18:00:00;  29,7
05.06.1987 10:00:00;  20,8
09.07.1987 10:00:00;  28,8
03.08.1987 10:00:00;  21,3
06.09.1987 18:00:00;  7,64
18.10.1987 08:00:00;  2,21
20.11.1987 08:00:00;  4,70
18.12.1987 18:00:00;  29,7
01.01.1988 00:00:00;  2,36
02.02.1988 08:00:00;  1,52
26.03.1988 08:00:00;  5,94
20.04.1988 18:00:00;  27,4
08.05.1988 18:00:00;  16,7
06.06.1988 10:00:00;  11,0
15.07.1988 10:00:00;  23,6
03.08.1988 10:00:00;  17,4
06.09.1988 10:00:00;  13,9
06.10.1988 08:00:00;  3,66
16.11.1988 08:00:00;  5,67
25.12.1988 08:00:00;  12,8
07.01.1989 18:00:00;  3,82
25.02.1989 18:00:00;  7,34
30.03.1989 18:00:00;  12,5
05.04.1989 18:00:00;  14,8
14.05.1989 18:00:00;  9,39
18.06.1989 18:00:00;  25,5
03.07.1989 10:00:00;  21,6
03.08.1989 10:00:00;  11,5
27.09.1989 18:00:00;  9,39
01.10.1989 00:00:00;  4,50
06.11.1989 08:00:00;  3,46
20.12.1989 08:00:00;  2,06
05.01.1990 00:01:00;  1,17
15.02.1990 08:00:00;  10,8
11.03.1990 02:00:00;  7,95
27.04.1990 10:15:00;  5,17
04.05.1990 10:30:00;  7,05
11.06.1990 10:00:00;  14,0
10.07.1990 10:00:00;  23,0
07.08.1990 10:00:00;  2,52
12.09.1990 10:00:00;  7,05
02.10.1990 08:00:00;  3,42
26.11.1990 08:00:00;  11,0
10.12.1990 00:00:05;  3,50
05.01.1991 10:15:00;  1,92
08.02.1991 00:01:00;  1,17
09.03.1991 08:00:00;  4,93
05.04.1991 12:45:00;  2,06
11.05.1991 19:00:00;  13,6
18.06.1991 10:00:00;  13,6
28.07.1991 10:00:00;  31,3
03.08.1991 10:00:00;  40,7
01.09.1991 00:00:00;  1,94
01.10.1991 00:15:00;  2,39
08.11.1991 08:15:00;  1,94
23.12.1991 00:00:05;  38,2
01.01.1992 00:00:00;  2,81
06.02.1992 07:45:00;  2,37
21.03.1992 14:00:00;  11,4
29.04.1992 02:30:00;  37,2
11.05.1992 17:15:00;  31,5
13.06.1992 01:45:00;  11,4
02.07.1992 23:45:00;  23,4
04.08.1992 14:15:00;  17,1
04.09.1992 15:30:00;  27,5
05.10.1992 17:00:00;  7,26
22.11.1992 21:15:00;  41,7
01.12.1992 00:00:00;  9,02
25.01.1993 09:00:00;  5,19
02.02.1993 11:15:00;  2,06
19.03.1993 16:45:00;  14,3
27.04.1993 16:00:00;  15,8
03.05.1993 21:45:00;  16,6
28.06.1993 03:15:00;  21,5
19.07.1993 23:00:00;  38,7
15.08.1993 21:45:00;  50,3
14.09.1993 08:15:00;  21,9
20.10.1993 16:30:00;  18,6
01.11.1993 16:15:00;  2,54
20.12.1993 17:15:00;  5,67
25.01.1994 23:30:00;  5,67
28.02.1994 21:00:00;  2,21
13.03.1994 01:00:00;  18,1
17.04.1994 23:45:00;  39,8
05.05.1994 01:00:00;  25,8
05.06.1994 16:00:00;  16,5
07.07.1994 03:45:00;  13,4
25.08.1994 05:00:00;  12,5
14.09.1994 18:00:00;  4,71
03.10.1994 20:00:00;  8,49
20.11.1994 05:30:00;  19,0
11.12.1994 08:30:00;  13,2
01.01.1995 10:30:00;  2,99
21.02.1995 16:45:00;  4,03
27.03.1995 19:15:00;  7,75
23.04.1995 16:45:00;  27,6
02.05.1995 16:30:00;  16,9
26.06.1995 08:00:00;  86,4
13.07.1995 20:00:00;  46,3
29.08.1995 08:45:00;  42,3
02.09.1995 03:30:00;  25,7
02.10.1995 02:15:00;  7,14
17.11.1995 17:45:00;  8,90
25.12.1995 22:15:00;  3,22
12.01.1996 18:00:00;  2,36
28.02.1996 00:00:05;  1,77
26.03.1996 22:00:00;  9,53
23.04.1996 18:30:00;  8,29
28.05.1996 07:15:00;  28,9
22.06.1996 14:45:00;  18,5
10.07.1996 19:15:00;  27,1
28.08.1996 11:00:00;  18,2
14.09.1996 23:45:00;  21,8
21.10.1996 16:30:00;  43,8
15.11.1996 17:15:00;  16,0
01.12.1996 00:00:00;  2,53
31.01.1997 11:49:40;  1,71
26.02.1997 17:50:50;  3,58
18.03.1997 01:54:40;  20,1
06.04.1997 08:31:55;  17,7
21.05.1997 01:23:30;  20,4
20.06.1997 00:48:55;  18,3
19.07.1997 14:11:15;  60,1
01.08.1997 00:00:00;  14,3
07.09.1997 19:05:50;  4,38
01.10.1997 19:35:45;  21,6
08.11.1997 22:58:50;  2,75
12.12.1997 06:01:50;  8,30
04.01.1998 04:26:05;  2,21
17.02.1998 11:11:35;  3,86
31.03.1998 17:59:30;  12,9
04.04.1998 15:49:15;  14,3
10.05.1998 21:01:00;  8,38
30.06.1998 16:52:55;  25,2
27.07.1998 21:09:55;  36,4
18.08.1998 17:08:00;  48,2
05.09.1998 16:56:45;  55,0
07.10.1998 17:40:05;  11,7
10.11.1998 17:26:30;  18,2
15.12.1998 03:18:35;  6,37
11.01.1999 19:49:35;  1,70
20.02.1999 23:44:05;  5,28
27.03.1999 16:39:40;  13,6
30.04.1999 08:12:15;  25,1
21.05.1999 12:31:55;  30,7
22.06.1999 17:29:40;  18,7
22.07.1999 19:39:20;  18,1
16.08.1999 20:44:40;  21,9
01.09.1999 21:18:00;  23,8
01.10.1999 00:29:15;  14,0
09.11.1999 18:50:10;  3,26
31.12.1999 23:59:55;  1,99
31.01.2000 23:59:55;  2,65
09.02.2000 07:21:50;  11,1
10.03.2000 09:22:00;  34,5
23.04.2000 19:10:20;  29,6
12.05.2000 17:41:35;  26,1
25.06.2000 00:59:10;  20,6
08.07.2000 00:42:05;  27,1
06.08.2000 01:04:50;  44,4
21.09.2000 04:22:15;  28,3
03.10.2000 11:15:25;  10,8
07.11.2000 01:59:00;  12,2
11.12.2000 08:02:25;  2,54
01.01.2001 00:00:00;  1,30
15.02.2001 03:46:35;  2,36
23.03.2001 00:31:45;  19,4
30.04.2001 18:41:30;  11,8
01.05.2001 16:33:25;  15,0
18.06.2001 23:41:10;  24,8
21.07.2001 08:55:35;  21,0
31.08.2001 23:59:55;  14,6
06.09.2001 09:26:25;  25,7
21.10.2001 21:46:10;  6,53
12.11.2001 20:23:40;  3,32
06.12.2001 15:10:10;  11,9
28.01.2002 03:51:00;  12,3
16.02.2002 17:27:55;  5,78
22.03.2002 01:22:00;  53,0
24.04.2002 06:47:05;  19,1
03.05.2002 17:50:15;  14,5
07.06.2002 08:00:00;  21,6
12.07.2002 22:45:00;  92,3
12.08.2002 05:36:15;   110
01.09.2002 13:21:20;  16,5
18.10.2002 00:45:00;  12,9
22.11.2002 11:30:00;  45,3
04.12.2002 12:00:00;  11,7
01.01.2003 05:30:00;  4,89
28.02.2003 23:59:55;  1,43
30.03.2003 21:00:00;  10,4
30.04.2003 23:15:00;  6,95
20.05.2003 10:30:00;  14,2
14.06.2003 22:00:00;  18,0
16.07.2003 21:45:00;  18,0
31.08.2003 11:30:00;  21,9
12.09.2003 09:45:00;  34,6
05.10.2003 11:00:00;  21,9
02.11.2003 02:06:40;  6,29
01.12.2003 00:00:00;  1,31
14.01.2004 07:30:00;  5,23
03.02.2004 02:30:00;  7,87
22.03.2004 02:30:00;  20,9
02.04.2004 17:45:00;  15,8
16.05.2004 07:30:00;  22,3
19.06.2004 22:00:00;  26,7
10.07.2004 12:45:00;  11,9
26.08.2004 06:00:00;  35,6
24.09.2004 01:30:00;  31,6
31.10.2004 13:15:00;  28,0
23.11.2004 21:00:00;  11,9
01.12.2004 00:00:00;  2,50
22.01.2005 00:42:25;  1,68
01.02.2005 00:00:00;  1,37
19.03.2005 21:30:00;  23,2
01.04.2005 00:15:00;  14,9
02.05.2005 17:30:00;  17,5
25.06.2005 18:45:00;  43,5
11.07.2005 23:15:00;  84,6
16.08.2005 07:30:00;  45,3
17.09.2005 04:00:00;  18,8
02.10.2005 15:45:00;  13,2
14.11.2005 12:00:25;  5,02
01.12.2005 00:00:00; 0,874
31.01.2006 23:59:55; 0,688
24.02.2006 06:26:00; 0,774
27.03.2006 17:45:00;  28,6
02.04.2006 17:30:00;  28,6
20.05.2006 03:30:00;  47,6
27.06.2006 17:30:00;  49,5
23.07.2006 21:00:00;  27,6
07.08.2006 06:45:00;  81,3
19.09.2006 05:45:00;  19,3
30.10.2006 00:00:00;  9,24
14.11.2006 14:30:00;  27,7
09.12.2006 15:45:00;  3,23
19.01.2007 20:00:00;  34,4
28.02.2007 16:15:00;  3,67
02.03.2007 01:15:00;  12,2
13.04.2007 19:15:00;  6,86
09.05.2007 01:45:00;  23,8
22.06.2007 22:15:00;  35,8
09.07.2007 19:30:00;  45,2
30.08.2007 07:00:00;  43,3
11.09.2007 02:00:00;  55,8
27.10.2007 20:00:00;  5,54
11.11.2007 21:15:00;  13,7
03.12.2007 17:15:00;  5,85
27.01.2008 20:25:15;  6,51
29.02.2008 17:00:00;  5,85
02.03.2008 16:30:00;  19,3
22.04.2008 08:45:00;  24,7
11.05.2008 19:15:00;  19,3
23.06.2008 19:00:00;  26,2
20.07.2008 17:15:00;  43,8
08.08.2008 21:15:00;  35,8
11.09.2008 22:30:00;  7,60
30.10.2008 05:32:40;  7,28
21.11.2008 16:00:10;  8,36
01.12.2008 08:43:35;  30,1
01.01.2009 00:00:00;  1,28
01.02.2009 00:00:00; 0,896
28.03.2009 18:15:00;  4,40
09.04.2009 16:30:00;  33,9
13.05.2009 22:30:00;  40,5
24.06.2009 05:30:00;  42,0
18.07.2009 08:00:00;  63,0
26.08.2009 19:15:00;  46,2
04.09.2009 15:30:00;  45,4
12.10.2009 20:45:00;  20,3
04.11.2009 12:15:00;  11,8
25.12.2009 14:30:00;  10,9
11.01.2010 05:29:50;  1,34
28.02.2010 17:45:00;  2,83
26.03.2010 22:45:00;  22,3
26.04.2010 00:30:00;  12,6
31.05.2010 20:15:00;  26,3
03.06.2010 02:15:00;  87,7
05.07.2010 09:15:00;  38,2
31.08.2010 14:00:00;  46,2
01.09.2010 00:15:00;  30,5
01.10.2010 00:00:00;  2,50
12.11.2010 20:30:00;  3,22
23.12.2010 22:45:00;  1,99
13.01.2011 21:45:00;  30,0
12.02.2011 15:00:00;  2,64
18.03.2011 07:45:00;  6,48
04.04.2011 16:15:00;  4,65
27.05.2011 18:15:00;  17,3
18.06.2011 21:00:00;  27,1
21.07.2011 00:30:00;  19,0
08.08.2011 21:30:00;  43,3
05.09.2011 13:30:00;  10,1
10.10.2011 15:00:00;  52,2
01.11.2011 00:00:00;  2,05
02.12.2011 13:15:00;  1,27
19.01.2012 22:45:00;  5,78
29.02.2012 20:30:00;  2,78
30.03.2012 03:30:00;  29,6
28.04.2012 17:30:00;  25,9
01.05.2012 18:15:00;  25,4
21.06.2012 19:45:00;  89,5
20.07.2012 23:00:00;  57,3
23.08.2012 22:15:00;  41,7
13.09.2012 00:00:00;  20,6
12.10.2012 21:15:00;  13,7
05.11.2012 05:15:00;  19,9
23.12.2012 10:45:00;  3,96
05.01.2013 03:15:00;  24,0
01.02.2013 06:45:00;  2,55
10.03.2013 01:30:00;  7,25
18.04.2013 18:30:00;  25,0
04.05.2013 22:30:00;  25,0
02.06.2013 04:30:00;   112
18.07.2013 17:15:00;  32,4
19.08.2013 21:45:00;  38,2
17.09.2013 03:00:00;  33,4
