Messstelle:                ;Imbach
24.02.1965 12:00:00;  1,87
25.03.1965 12:00:00;  31,0
23.04.1965 12:00:00;  19,6
29.05.1965 12:00:00;  19,6
06.06.1965 12:00:00;  31,0
18.07.1965 12:00:00;  8,52
02.08.1965 12:00:00;  9,20
01.09.1965 12:00:00;  12,6
03.10.1965 12:00:00;  4,45
27.11.1965 12:00:00;  11,5
10.12.1965 12:00:00;  8,52
24.01.1966 12:00:00;  8,52
06.02.1966 12:00:00;  30,8
01.03.1966 12:00:00;  5,53
11.04.1966 12:00:00;  3,64
29.05.1966 12:00:00;  3,91
25.06.1966 12:00:00;  11,1
26.07.1966 12:00:00;  13,8
19.08.1966 12:00:00;  34,0
01.09.1966 12:00:00;  10,3
18.10.1966 12:00:00;  2,72
04.11.1966 12:00:00;  2,91
07.12.1966 12:00:00;  13,4
03.01.1967 12:00:00;  3,64
03.02.1967 12:00:00;  15,9
22.03.1967 12:00:00;  10,5
28.04.1967 12:00:00;  5,66
31.05.1967 12:00:00;  22,0
01.06.1967 12:00:00;  19,8
10.07.1967 12:00:00;  11,9
25.08.1967 12:00:00;  2,10
16.09.1967 12:00:00;  15,1
17.10.1967 12:00:00;  1,81
09.11.1967 12:00:00;  2,77
23.12.1967 12:00:00;  10,1
16.01.1968 12:00:00;  52,0
16.02.1968 12:00:00;  2,72
22.03.1968 12:00:00;  3,80
26.04.1968 12:00:00;  1,52
29.05.1968 12:00:00;  2,36
22.06.1968 12:00:00;  3,18
18.07.1968 12:00:00;  7,95
10.08.1968 12:00:00;  7,95
08.09.1968 12:00:00;  1,95
04.10.1968 12:00:00;  4,00
25.11.1968 12:00:00;  3,18
24.12.1968 12:00:00;  4,00
24.01.1969 12:00:00;  5,74
22.02.1969 12:00:00;  4,00
12.03.1969 12:00:00;  13,9
01.04.1969 12:00:00;  18,6
16.05.1969 12:00:00;  2,36
07.06.1969 12:00:00;  36,0
08.07.1969 12:00:00;  4,29
04.08.1969 12:00:00;  6,90
17.09.1969 12:00:00;  7,60
18.10.1969 12:00:00;  1,65
26.11.1969 12:00:00;  1,78
04.12.1969 12:00:00;  2,95
20.01.1970 12:00:00;  1,96
23.02.1970 12:00:00;  19,4
25.03.1970 12:00:00;  27,0
01.04.1970 12:00:00;  9,88
17.05.1970 12:00:00;  3,26
10.06.1970 12:00:00;  20,8
18.07.1970 12:00:00;  3,80
03.08.1970 12:00:00;  23,7
02.09.1970 12:00:00;  3,26
05.10.1970 12:00:00;  3,39
23.11.1970 12:00:00;  9,88
02.12.1970 12:00:00;  4,27
11.01.1971 12:00:00;  1,55
15.02.1971 12:00:00;  2,40
23.03.1971 12:00:00;  9,90
06.04.1971 12:00:00;  7,79
22.05.1971 12:00:00;  5,38
11.06.1971 12:00:00;  3,80
19.07.1971 12:00:00;  4,42
12.08.1971 12:00:00;  1,85
29.09.1971 12:00:00;  2,76
15.10.1971 12:00:00;  1,55
20.11.1971 12:00:00;  2,64
20.12.1971 12:00:00;  2,40
05.01.1972 12:00:00;  1,45
29.02.1972 12:00:00;  6,10
01.03.1972 12:00:00;  5,20
23.04.1972 12:00:00;  26,5
19.05.1972 12:00:00;  63,0
01.06.1972 12:00:00;  3,65
14.07.1972 12:00:00;  21,5
11.08.1972 12:00:00;  5,62
09.09.1972 12:00:00;  2,47
25.10.1972 12:00:00;  2,40
25.11.1972 12:00:00;  3,26
03.12.1972 12:00:00;  2,18
31.01.1973 12:00:00;  3,13
09.02.1973 12:00:00;  4,89
28.03.1973 12:00:00;  12,7
23.04.1973 12:00:00;  7,20
07.05.1973 12:00:00;  3,39
25.06.1973 12:00:00;  24,0
01.07.1973 12:00:00;  2,29
04.08.1973 12:00:00;  1,55
27.09.1973 12:00:00;  2,18
05.10.1973 12:00:00;  1,24
16.11.1973 12:00:00;  1,81
07.12.1973 12:00:00;  4,60
19.01.1974 12:00:00;  12,4
10.02.1974 12:00:00;  3,26
19.03.1974 12:00:00;  3,15
27.04.1974 12:00:00;  2,52
06.05.1974 12:00:00;  12,0
15.06.1974 12:00:00;  13,3
15.07.1974 12:00:00;  13,5
03.08.1974 12:00:00;  7,30
05.09.1974 12:00:00;  1,60
26.10.1974 12:00:00;  2,24
28.11.1974 12:00:00;  2,99
08.12.1974 12:00:00;  27,0
02.01.1975 12:00:00;  3,55
11.02.1975 12:00:00;  4,60
15.03.1975 12:00:00;  2,36
05.04.1975 12:00:00;  2,59
26.05.1975 12:00:00;  2,01
30.06.1975 12:00:00;  40,0
10.07.1975 12:00:00;   180
26.08.1975 12:00:00;  18,4
04.09.1975 12:00:00;  4,88
18.10.1975 12:00:00;  4,10
15.11.1975 12:00:00;  1,73
01.12.1975 12:00:00;  1,47
01.01.1976 00:00:00; Lücke
12.01.1976 06:00:00;  13,1
26.02.1976 19:00:00;  6,51
02.03.1976 01:00:00;  2,38
27.04.1976 16:00:00;  3,04
23.05.1976 11:00:00;  6,45
01.06.1976 00:00:00; Lücke
03.06.1976 00:00:00;  3,58
24.07.1976 12:00:00;  4,65
04.08.1976 23:00:00;  4,86
19.09.1976 00:00:00;  2,74
17.10.1976 19:00:00;  6,51
15.11.1976 10:00:00;  7,35
03.12.1976 00:00:00;  4,55
26.01.1977 23:00:00;  18,1
07.02.1977 22:00:00;  11,4
15.03.1977 21:00:00;  14,9
14.04.1977 04:00:00;  12,4
01.05.1977 00:00:00;  2,73
22.06.1977 14:00:00;  2,60
31.07.1977 23:59:55;  2,12
02.08.1977 16:00:00;  4,25
02.09.1977 03:00:00;  2,92
11.10.1977 07:00:00;  4,70
16.11.1977 10:00:00;  1,58
25.12.1977 00:00:00;  11,0
07.01.1978 02:00:00;  4,26
28.02.1978 00:00:00;  18,2
02.03.1978 23:00:00;  7,19
19.04.1978 02:00:00;  3,23
30.05.1978 11:00:00;  2,28
26.06.1978 01:00:00;  6,86
05.07.1978 22:00:00;  5,35
03.08.1978 23:00:00;  2,73
12.09.1978 17:00:00;  1,31
04.10.1978 13:00:00;  1,15
21.11.1978 10:00:00;  1,12
10.12.1978 00:01:00;  2,64
03.01.1979 00:00:00;  2,15
08.02.1979 23:00:00;  6,66
12.03.1979 13:00:00;  20,4
28.04.1979 07:00:00;  11,9
03.05.1979 00:00:00;  7,52
19.06.1979 16:00:00;  10,7
15.07.1979 02:00:00;  5,46
04.08.1979 23:00:00;  8,92
03.09.1979 19:00:00;  9,53
18.10.1979 16:00:00;  1,54
28.11.1979 00:00:00;  6,08
16.12.1979 07:00:00;  3,16
31.01.1980 00:01:00;  3,96
05.02.1980 00:00:00;  7,54
26.03.1980 02:00:00;  3,92
30.04.1980 21:00:00;  13,3
01.05.1980 00:00:00;  12,5
11.06.1980 11:00:00;  3,33
28.07.1980 02:00:00;  3,51
04.08.1980 21:00:00;  1,60
02.09.1980 06:00:00;  2,15
13.10.1980 10:00:00;  5,50
16.11.1980 11:00:00;  4,17
25.12.1980 03:00:00;  3,24
05.01.1981 00:30:00;  2,95
08.02.1981 23:30:00;  6,51
12.03.1981 13:00:00;  9,17
01.04.1981 07:45:00;  1,77
23.05.1981 03:30:00;  5,57
24.06.1981 14:00:00;  1,25
19.07.1981 18:15:00;  3,83
10.08.1981 00:00:00;  1,85
30.09.1981 21:15:00;  10,0
01.10.1981 00:00:00;  9,11
20.11.1981 10:45:00;  4,08
14.12.1981 20:30:00;  3,10
31.01.1982 00:30:00;  30,4
01.02.1982 00:00:00;  4,99
01.03.1982 19:30:00;  15,1
01.04.1982 04:15:00;  4,94
28.05.1982 18:15:00;  24,7
13.06.1982 02:30:00;  3,73
22.07.1982 19:00:00;  7,42
01.08.1982 08:45:00;  4,83
24.09.1982 12:45:00;  1,65
02.10.1982 09:30:00;  3,10
15.11.1982 09:30:00;  1,33
31.12.1982 23:59:55;  1,72
04.01.1983 23:00:00;  4,64
28.02.1983 17:00:00;  3,21
08.03.1983 20:15:00;  7,83
03.04.1983 06:00:00;  6,45
09.05.1983 22:00:00;  3,19
02.06.1983 18:00:00;  15,8
08.07.1983 00:15:00;  4,94
06.08.1983 18:00:00;  1,48
12.09.1983 12:00:00;  1,32
12.10.1983 13:45:00;  1,24
26.11.1983 11:15:00;  4,43
25.12.1983 13:00:00;  7,27
13.01.1984 00:01:00;  1,39
08.02.1984 01:30:00;  2,88
26.03.1984 23:30:00;  4,94
08.04.1984 16:00:00;  4,86
14.05.1984 08:45:00;  7,31
22.06.1984 19:00:00;  1,86
14.07.1984 09:30:00;  3,39
12.08.1984 19:45:00;  5,26
17.09.1984 01:30:00;  9,54
04.10.1984 19:45:00;  3,01
27.11.1984 13:30:00;  1,97
18.12.1984 07:30:00;  1,69
31.01.1985 23:59:55;  2,69
02.02.1985 05:45:00;  20,7
23.03.1985 18:30:00;  13,2
02.04.1985 06:00:00;  3,66
29.05.1985 20:00:00;  8,35
07.06.1985 16:15:00;  5,04
15.07.1985 17:45:00;  16,9
07.08.1985 04:15:00;  60,2
10.09.1985 00:45:00;  3,29
04.10.1985 09:00:00;  1,68
30.11.1985 19:45:00;  8,24
01.12.1985 05:45:00;  9,52
15.01.1986 00:00:05;  11,6
07.02.1986 00:01:00;  2,64
16.03.1986 19:15:00;  11,7
01.04.1986 08:30:00;  5,13
28.05.1986 19:15:00;  6,84
18.06.1986 19:15:00;  4,37
19.07.1986 21:00:00;  3,62
09.08.1986 08:45:00;  1,61
10.09.1986 15:15:00;  3,05
27.10.1986 16:45:00;  2,02
24.11.1986 13:00:00;  1,68
29.12.1986 10:15:00;  7,33
02.01.1987 08:15:00;  4,57
10.02.1987 00:01:00;  5,93
25.03.1987 17:15:00;  26,1
05.04.1987 21:00:00;  10,6
20.05.1987 18:30:00;  7,27
05.06.1987 20:45:00;  8,99
24.07.1987 00:45:00;  46,4
02.08.1987 11:15:00;  9,69
04.09.1987 00:45:00;  3,14
18.10.1987 16:30:00;  6,13
04.11.1987 09:00:00;  2,13
17.12.1987 13:45:00;  17,7
13.01.1988 09:45:00;  2,81
27.02.1988 07:00:00;  2,00
26.03.1988 10:15:00;  13,2
01.04.1988 00:30:00;  6,53
21.05.1988 07:15:00;  3,10
06.06.1988 13:00:00;  7,56
28.07.1988 04:15:00;  3,40
17.08.1988 03:30:00;  3,25
03.09.1988 08:30:00;  1,64
21.10.1988 15:00:00;  1,88
24.11.1988 11:45:00;  6,32
18.12.1988 05:45:00;  9,41
31.01.1989 15:15:00;  4,04
19.02.1989 22:15:00;  2,53
20.03.1989 09:15:00;  2,00
18.04.1989 10:45:00;  4,04
01.05.1989 19:45:00;  10,4
18.06.1989 21:45:00;  11,2
11.07.1989 23:45:00;  11,2
09.08.1989 14:00:00;  3,56
28.09.1989 02:30:00;  5,21
03.10.1989 19:45:00;  2,53
03.11.1989 18:15:00;  2,00
16.12.1989 00:01:00;  5,94
15.01.1990 00:01:00;  4,20
19.02.1990 00:45:00;  3,71
01.03.1990 13:30:00;  4,87
23.04.1990 22:00:00;  9,90
26.05.1990 01:45:00;  5,21
23.06.1990 05:00:00;  5,39
10.07.1990 12:45:00;  8,92
07.08.1990 09:45:00;  1,20
08.09.1990 08:45:00;  1,64
02.10.1990 13:30:00;  1,76
28.11.1990 01:00:00;  3,56
25.12.1990 00:00:00;  2,21
03.01.1991 19:45:00;  4,53
24.02.1991 00:01:00;  3,10
15.03.1991 11:00:00;  1,88
06.04.1991 06:15:00;  2,13
18.05.1991 16:00:00;  79,0
07.06.1991 07:45:00;  5,94
18.07.1991 05:45:00;  3,25
02.08.1991 22:30:00;  10,7
13.09.1991 07:00:00;  1,42
10.10.1991 13:15:00;  1,31
17.11.1991 07:15:00;  4,20
23.12.1991 00:01:00;  4,70
07.01.1992 12:00:00;  3,56
06.02.1992 22:15:00;  3,56
21.03.1992 15:15:00;  8,00
06.04.1992 06:15:00;  3,10
01.05.1992 00:00:00;  2,00
12.06.1992 22:30:00;  23,8
04.07.1992 23:15:00;  7,78
21.08.1992 21:45:00;  1,76
11.09.1992 16:45:00;  3,25
22.10.1992 10:45:00;  1,42
23.11.1992 16:30:00;  4,53
31.12.1992 00:01:00;  1,53
07.01.1993 00:01:00;  3,10
04.02.1993 00:01:00;  1,76
18.03.1993 19:15:00;  20,6
02.04.1993 02:00:00;  3,10
28.05.1993 06:15:00;  2,00
12.06.1993 08:45:00;  2,53
17.07.1993 16:15:00; 0,999
25.08.1993 09:30:00;  1,53
02.09.1993 03:30:00;  1,88
24.10.1993 10:30:00;  4,53
06.11.1993 12:30:00;  1,76
21.12.1993 17:00:00;  8,92
01.01.1994 22:00:00;  2,13
15.02.1994 09:30:00;  1,64
26.03.1994 22:00:00;  2,13
18.04.1994 10:45:00;  18,0
02.05.1994 09:00:00;  2,13
04.06.1994 11:45:00;  1,64
19.07.1994 06:30:00;  2,26
11.08.1994 07:30:00; 0,816
02.09.1994 10:15:00;  1,20
29.10.1994 12:30:00;  1,42
11.11.1994 19:45:00;  1,31
29.12.1994 09:00:00;  2,39
27.01.1995 12:15:00;  3,40
01.02.1995 23:00:00;  1,76
28.03.1995 06:15:00;  2,26
02.04.1995 18:45:00;  3,71
13.05.1995 19:30:00;  4,70
09.06.1995 20:30:00;  11,9
14.07.1995 20:45:00;  8,46
24.08.1995 17:30:00;  30,8
15.09.1995 13:15:00;  10,4
01.10.1995 18:00:00;  2,00
23.11.1995 20:15:00;  3,48
25.12.1995 02:15:00;  11,2
01.01.1996 00:00:00;  2,26
01.02.1996 00:00:00;  2,00
27.03.1996 11:15:00;  6,53
09.04.1996 19:00:00;  34,9
16.05.1996 06:15:00;  54,7
13.06.1996 09:00:00;  13,7
09.07.1996 08:30:00;  6,32
03.08.1996 21:15:00;  13,4
24.09.1996 13:30:00;  3,10
22.10.1996 09:00:00;  12,6
14.11.1996 15:30:00;  6,53
09.12.1996 15:15:00;  2,26
01.01.1997 00:00:00;  1,76
13.02.1997 22:34:45;  7,22
17.03.1997 11:16:15;  16,7
20.04.1997 05:14:20;  5,49
09.05.1997 06:45:25;  6,25
18.06.1997 19:46:15;  2,95
08.07.1997 04:42:10;  20,1
10.08.1997 07:53:35;  5,53
09.09.1997 17:14:05;  1,80
30.10.1997 10:53:55;  2,26
30.11.1997 23:10:20;  6,03
01.12.1997 00:52:35;  5,89
31.01.1998 09:15:05;  2,04
14.02.1998 01:18:15;  4,90
17.03.1998 21:22:50;  7,76
19.04.1998 00:13:20;  4,13
18.05.1998 03:14:15;  2,15
13.06.1998 16:51:50;  7,17
08.07.1998 06:56:20;  4,26
14.08.1998 00:36:40;  53,5
06.09.1998 07:36:40;  3,45
29.10.1998 16:25:55;  4,21
11.11.1998 12:12:30;  3,41
15.12.1998 10:10:30;  4,71
09.01.1999 11:31:45;  1,81
05.02.1999 17:42:35;  5,04
02.03.1999 21:03:05;  11,1
13.04.1999 20:23:00;  2,90
21.05.1999 06:30:05;  5,31
22.06.1999 15:55:15;  2,49
10.07.1999 20:02:00;  43,0
07.08.1999 18:24:30;  4,00
02.09.1999 20:58:05;  2,00
01.10.1999 08:24:35;  1,35
10.11.1999 15:03:55;  2,26
18.12.1999 09:30:55;  2,54
31.01.2000 18:04:15;  14,3
01.02.2000 00:00:00;  11,7
30.03.2000 06:25:50;  6,83
01.04.2000 03:32:20;  5,35
19.05.2000 01:21:20;  2,11
07.06.2000 07:27:00;  2,82
05.07.2000 05:27:55;  1,87
07.08.2000 03:59:35;  5,61
17.09.2000 06:21:40;  2,93
03.10.2000 16:15:30;  3,26
05.11.2000 11:45:50;  1,80
11.12.2000 16:32:30;  3,15
10.01.2001 11:07:30;  2,05
07.02.2001 00:28:20;  4,55
23.03.2001 12:53:25;  4,74
22.04.2001 04:28:20;  4,33
18.05.2001 01:24:05;  8,00
10.06.2001 03:51:25;  1,56
20.07.2001 16:10:05;  8,26
19.08.2001 18:47:55;  34,5
18.09.2001 16:08:15;  8,08
08.10.2001 08:13:05;  1,42
28.11.2001 15:06:05;  1,64
07.12.2001 07:48:20;  4,05
22.01.2002 05:00:00;  6,22
14.02.2002 04:30:00;  4,17
21.03.2002 16:15:00;  15,4
01.04.2002 00:45:00;  2,77
10.05.2002 21:45:00;  17,8
09.06.2002 23:39:25;  6,21
16.07.2002 15:30:00;  15,7
07.08.2002 21:45:00;   260
25.09.2002 04:04:50;  3,07
18.10.2002 12:00:20;  5,57
11.11.2002 19:29:50;  5,17
30.12.2002 08:54:00;  11,3
28.01.2003 20:32:30;  7,44
17.02.2003 10:53:40;  4,72
04.03.2003 01:22:35;  5,77
01.04.2003 02:40:45;  2,26
03.05.2003 20:45:10;  2,19
13.06.2003 13:52:35;  2,36
31.07.2003 23:59:55;  1,31
01.08.2003 04:15:45;  1,81
13.09.2003 23:09:45;  1,08
05.10.2003 18:56:25;  5,17
03.11.2003 05:15:45;  1,24
14.12.2003 17:41:50; 0,960
14.01.2004 12:00:55;  14,3
03.02.2004 09:48:20;  10,5
19.03.2004 22:20:25;  9,22
01.04.2004 22:34:25;  9,97
12.05.2004 23:04:30;  3,48
22.06.2004 22:33:45;  31,5
09.07.2004 13:14:55;  3,17
30.08.2004 03:36:50;  1,65
24.09.2004 13:05:50;  2,57
10.10.2004 01:50:00;  1,35
23.11.2004 23:41:55;  4,68
24.12.2004 09:07:25;  1,57
21.01.2005 16:42:15;  2,29
13.02.2005 09:03:15;  10,5
18.03.2005 20:37:05;  34,0
21.04.2005 04:50:35;  5,30
24.05.2005 03:37:30;  15,2
01.06.2005 00:00:00;  5,60
12.07.2005 00:34:30;  77,9
22.08.2005 03:21:50;  46,3
29.09.2005 18:44:15;  4,35
01.10.2005 00:00:00;  2,93
21.11.2005 22:17:25;  1,82
06.12.2005 15:40:00;  2,10
03.01.2006 23:15:00;  2,01
01.02.2006 00:00:00;  1,19
27.03.2006 14:44:00;  46,2
01.04.2006 00:00:00;  26,6
02.05.2006 14:10:05;  5,95
27.06.2006 09:40:00;  40,4
12.07.2006 21:00:00;  8,50
08.08.2006 00:10:00;  36,0
08.09.2006 17:10:00;  2,90
05.10.2006 08:25:00;  1,43
06.11.2006 13:30:00;  2,04
07.12.2006 15:25:00;  1,99
19.01.2007 22:30:00;  3,85
16.02.2007 08:30:00;  1,99
28.03.2007 23:20:00;  8,16
01.04.2007 02:15:00;  4,57
10.05.2007 13:05:00;  3,17
26.06.2007 01:30:00;  4,67
11.07.2007 15:00:00;  1,15
11.08.2007 18:30:00;  10,9
07.09.2007 07:10:00;  37,7
28.10.2007 23:55:00;  10,9
12.11.2007 00:40:00;  8,24
31.12.2007 11:00:00;  5,61
19.01.2008 19:10:00;  6,49
01.02.2008 09:45:00;  2,92
15.03.2008 08:50:00;  3,80
22.04.2008 19:55:00;  9,54
06.05.2008 18:30:00;  4,70
24.06.2008 17:35:00;   170
24.07.2008 08:05:00;  8,97
16.08.2008 10:15:00;  10,6
16.09.2008 21:15:00;  7,68
04.10.2008 12:50:00;  2,04
21.11.2008 22:30:00;  3,06
23.12.2008 15:10:00;  3,50
01.01.2009 00:00:00;  1,37
11.02.2009 14:05:00;  3,29
05.03.2009 23:40:00;  31,1
02.04.2009 21:40:00;  22,4
19.05.2009 07:00:00;  9,04
24.06.2009 06:20:00;  48,9
06.07.2009 11:40:00;  76,2
10.08.2009 20:15:00;  10,2
04.09.2009 23:55:00;  6,78
15.10.2009 09:55:00;  2,48
09.11.2009 18:35:00;  2,76
25.12.2009 22:10:00;  3,15
04.01.2010 08:55:00;  1,93
27.02.2010 14:10:00;  3,53
21.03.2010 21:25:00;  16,2
14.04.2010 15:45:00;  15,3
14.05.2010 01:35:00;  50,5
02.06.2010 19:15:00;  25,3
16.07.2010 00:35:00;  99,3
07.08.2010 12:00:00;  80,5
27.09.2010 08:35:00;  6,57
06.10.2010 13:15:00;  2,57
22.11.2010 09:40:00;  1,73
09.12.2010 15:40:00;  2,52
14.01.2011 01:25:00;  15,3
07.02.2011 07:35:00;  3,12
19.03.2011 05:05:00;  6,66
13.04.2011 09:05:00;  2,22
28.05.2011 01:10:00;  11,5
02.06.2011 03:15:00;  2,66
28.07.2011 18:05:00;  3,69
04.08.2011 13:20:00;  2,02
20.09.2011 08:10:00;  2,23
13.10.2011 10:00:00;  3,98
08.11.2011 07:45:00;  1,90
19.12.2011 09:30:00;  1,15
20.01.2012 15:45:00;  3,08
26.02.2012 02:15:00;  4,91
01.03.2012 23:20:00;  4,48
17.04.2012 12:40:00;  3,36
04.05.2012 12:40:00;  2,01
20.06.2012 18:35:00;  18,4
28.07.2012 23:35:00;  9,30
05.08.2012 01:05:00;  3,94
13.09.2012 14:55:00;  2,08
30.10.2012 18:00:00;  1,10
06.11.2012 03:10:00;  1,44
24.12.2012 01:55:00;  6,12
31.01.2013 03:45:00;  17,8
01.02.2013 00:50:00;  7,56
09.03.2013 22:25:00;  7,90
10.04.2013 21:25:00;  11,7
05.05.2013 03:40:00;  28,0
25.06.2013 13:20:00;  14,0
04.07.2013 10:15:00;  7,72
05.08.2013 04:45:00;  4,50
