Messstelle:                ;Tetter
17.02.1958 12:00:00;  1,86
31.03.1958 12:00:00;  1,12
27.04.1958 12:00:00;  2,02
12.05.1958 12:00:00;  16,5
11.06.1958 12:00:00;  13,1
01.07.1958 12:00:00;  8,64
04.08.1958 12:00:00;  7,66
23.09.1958 12:00:00;  5,44
15.10.1958 12:00:00;  11,9
14.11.1958 12:00:00;  3,15
24.12.1958 12:00:00;  1,46
02.01.1959 12:00:00; 0,890
05.02.1959 12:00:00; 0,670
08.03.1959 12:00:00;  1,70
19.04.1959 12:00:00;  5,44
23.05.1959 12:00:00;  8,92
14.06.1959 12:00:00;  26,9
04.07.1959 12:00:00;  10,2
13.08.1959 12:00:00;  63,0
01.09.1959 12:00:00;  1,81
31.10.1959 12:00:00; 0,760
16.11.1959 12:00:00;  1,07
05.12.1959 12:00:00; 0,580
09.01.1960 12:00:00; 0,480
29.02.1960 12:00:00; 0,800
31.03.1960 12:00:00;  1,66
15.04.1960 12:00:00;  3,69
18.05.1960 12:00:00;  17,0
15.06.1960 12:00:00;  10,3
13.07.1960 12:00:00;  16,6
19.08.1960 12:00:00;  10,0
06.09.1960 12:00:00;  12,1
30.10.1960 12:00:00;  4,60
01.11.1960 12:00:00;  3,05
08.12.1960 12:00:00;  1,38
04.01.1961 12:00:00; 0,410
12.02.1961 12:00:00; 0,670
19.03.1961 12:00:00;  1,54
11.04.1961 12:00:00;  5,68
29.05.1961 12:00:00;  10,6
08.06.1961 12:00:00;  12,8
05.07.1961 12:00:00;  7,38
23.08.1961 12:00:00;  8,36
01.09.1961 12:00:00;  1,86
08.10.1961 12:00:00;  1,18
13.11.1961 12:00:00;  2,75
13.12.1961 12:00:00;  13,0
01.01.1962 12:00:00; 0,910
19.02.1962 12:00:00; 0,580
31.03.1962 12:00:00;  1,26
27.04.1962 12:00:00;  9,55
10.05.1962 12:00:00;  16,9
02.06.1962 12:00:00;  28,0
29.07.1962 12:00:00;  14,3
16.08.1962 12:00:00;  12,3
10.09.1962 12:00:00;  2,06
01.10.1962 12:00:00;  1,34
09.11.1962 12:00:00;  2,48
02.12.1962 12:00:00; 0,900
07.01.1963 12:00:00; 0,420
04.02.1963 12:00:00; 0,300
31.03.1963 12:00:00; 0,380
24.04.1963 12:00:00;  5,19
29.05.1963 12:00:00;  10,8
24.06.1963 12:00:00;  16,0
03.07.1963 12:00:00;  11,1
29.08.1963 12:00:00;  11,0
06.09.1963 12:00:00;  6,50
06.10.1963 12:00:00;  2,13
21.11.1963 12:00:00;  1,69
01.12.1963 12:00:00; 0,980
09.01.1964 12:00:00; 0,440
29.02.1964 12:00:00; 0,350
30.03.1964 12:00:00; 0,720
20.04.1964 12:00:00;  4,97
09.05.1964 12:00:00;  11,0
08.06.1964 12:00:00;  7,80
11.07.1964 12:00:00;  7,04
23.08.1964 12:00:00;  9,54
26.09.1964 12:00:00;  2,30
29.10.1964 12:00:00;  6,31
18.11.1964 12:00:00;  6,68
01.12.1964 12:00:00;  1,86
21.01.1965 12:00:00; 0,760
23.02.1965 12:00:00; 0,720
31.03.1965 12:00:00;  1,59
06.04.1965 12:00:00;  2,56
19.05.1965 12:00:00;  21,3
23.06.1965 12:00:00;  24,0
02.07.1965 12:00:00;  16,8
02.08.1965 12:00:00;  13,6
29.09.1965 12:00:00;  13,5
01.10.1965 12:00:00;  4,70
05.11.1965 12:00:00; 0,690
09.12.1965 12:00:00; 0,500
05.01.1966 12:00:00; 0,330
23.02.1966 12:00:00;  1,00
18.03.1966 12:00:00; 0,780
30.04.1966 12:00:00;  6,52
07.05.1966 12:00:00;  12,8
25.06.1966 12:00:00;  16,5
24.07.1966 12:00:00;  24,9
19.08.1966 12:00:00;  26,0
01.09.1966 12:00:00;  5,20
01.10.1966 12:00:00;  1,48
05.11.1966 12:00:00;  18,7
03.12.1966 12:00:00;  1,15
02.01.1967 12:00:00; 0,580
28.02.1967 12:00:00; 0,720
12.03.1967 12:00:00;  2,27
10.04.1967 12:00:00;  6,20
16.05.1967 12:00:00;  15,1
27.06.1967 12:00:00;  13,1
03.07.1967 12:00:00;  9,60
06.08.1967 12:00:00;  4,14
08.09.1967 12:00:00;  9,90
05.10.1967 12:00:00;  1,71
06.11.1967 12:00:00;  1,43
06.12.1967 12:00:00; 0,910
17.01.1968 12:00:00;  1,14
25.02.1968 12:00:00; 0,550
31.03.1968 12:00:00;  3,22
25.04.1968 12:00:00;  7,13
07.05.1968 12:00:00;  8,25
06.06.1968 12:00:00;  8,75
19.07.1968 12:00:00;  7,50
08.08.1968 12:00:00;  9,40
01.09.1968 12:00:00;  3,67
06.10.1968 12:00:00;  4,39
06.11.1968 12:00:00;  1,08
01.12.1968 12:00:00; 0,790
15.01.1969 12:00:00; 0,450
02.02.1969 12:00:00; 0,450
19.03.1969 12:00:00; 0,630
29.04.1969 12:00:00;  7,13
16.05.1969 12:00:00;  9,38
11.06.1969 12:00:00;  9,13
14.07.1969 12:00:00;  12,5
16.08.1969 12:00:00;  7,50
16.09.1969 12:00:00;  5,75
02.10.1969 12:00:00;  1,25
15.11.1969 12:00:00;  1,02
02.12.1969 12:00:00; 0,480
30.01.1970 12:00:00; 0,330
22.02.1970 12:00:00; 0,330
27.03.1970 12:00:00; 0,550
26.04.1970 12:00:00;  4,59
16.05.1970 12:00:00;  11,1
10.06.1970 12:00:00;  20,0
25.07.1970 12:00:00;  12,1
10.08.1970 12:00:00;  18,9
06.09.1970 12:00:00;  9,88
07.10.1970 12:00:00;  4,69
01.11.1970 12:00:00;  2,08
01.12.1970 12:00:00;  1,25
02.01.1971 12:00:00; 0,480
12.02.1971 12:00:00; 0,410
23.03.1971 12:00:00;  1,47
24.04.1971 12:00:00;  5,25
19.05.1971 12:00:00;  8,80
20.06.1971 12:00:00;  7,25
19.07.1971 12:00:00;  5,00
31.08.1971 12:00:00;  7,75
01.09.1971 12:00:00;  6,75
02.10.1971 12:00:00;  2,21
03.11.1971 12:00:00; 0,670
22.12.1971 12:00:00; 0,670
05.01.1972 12:00:00; 0,380
29.02.1972 12:00:00; 0,330
27.03.1972 12:00:00; 0,750
23.04.1972 12:00:00;  3,39
27.05.1972 12:00:00;  8,88
13.06.1972 12:00:00;  25,0
16.07.1972 12:00:00;  20,1
04.08.1972 12:00:00;  7,13
01.09.1972 12:00:00;  2,01
29.10.1972 12:00:00;  1,59
18.11.1972 12:00:00;  1,59
03.12.1972 12:00:00; 0,790
01.01.1973 12:00:00; 0,360
19.02.1973 12:00:00; 0,360
29.03.1973 12:00:00; 0,840
30.04.1973 12:00:00;  4,18
07.05.1973 12:00:00;  14,8
25.06.1973 12:00:00;  26,0
01.07.1973 12:00:00;  5,13
24.08.1973 12:00:00;  3,39
27.09.1973 12:00:00;  6,88
03.10.1973 12:00:00;  5,50
16.11.1973 12:00:00;  1,47
02.12.1973 12:00:00; 0,750
18.01.1974 12:00:00;  2,01
21.02.1974 12:00:00; 0,550
31.03.1974 12:00:00;  3,47
01.04.1974 12:00:00;  3,47
31.05.1974 12:00:00;  12,0
30.06.1974 12:00:00;  15,6
22.07.1974 12:00:00;  19,0
02.08.1974 12:00:00;  7,00
25.09.1974 12:00:00;  2,75
01.10.1974 12:00:00;  2,44
01.11.1974 12:00:00; 0,930
30.12.1974 12:00:00;  3,06
01.01.1975 12:00:00;  1,73
09.02.1975 12:00:00; 0,630
11.03.1975 12:00:00; 0,750
30.04.1975 12:00:00;  3,39
22.05.1975 12:00:00;  21,0
26.06.1975 12:00:00;  19,8
05.07.1975 12:00:00;  19,1
13.08.1975 12:00:00;  13,8
01.09.1975 12:00:00;  3,67
01.10.1975 12:00:00;  1,14
18.11.1975 12:00:00; 0,670
02.12.1975 12:00:00; 0,590
12.01.1976 06:00:00; 0,654
29.02.1976 23:59:55; 0,545
31.03.1976 17:00:00; 0,680
20.04.1976 06:00:00;  1,97
09.05.1976 04:00:00;  7,95
16.06.1976 23:00:00;  8,80
26.07.1976 20:00:00;  11,1
21.08.1976 23:00:00;  7,95
14.09.1976 20:00:00;  9,04
01.10.1976 00:00:00;  2,01
10.11.1976 05:00:00;  1,27
16.12.1976 09:00:00;  1,25
19.01.1977 01:00:00; 0,680
25.02.1977 17:00:00; 0,970
27.03.1977 10:00:00;  2,65
30.04.1977 23:59:55;  10,3
20.05.1977 18:00:00;  15,0
14.06.1977 05:00:00;  7,91
31.07.1977 23:59:55;  9,87
01.08.1977 13:00:00;  14,8
09.09.1977 22:00:00;  2,62
04.10.1977 20:00:00;  1,28
07.11.1977 10:00:00; 0,709
31.12.1977 23:59:55;  1,13
01.01.1978 00:00:00;  1,13
27.02.1978 16:00:00;  1,32
31.03.1978 23:59:55;  1,81
30.04.1978 23:59:55;  3,84
22.05.1978 22:00:00;  17,2
08.06.1978 06:00:00;  13,5
19.07.1978 13:00:00;  14,9
04.08.1978 05:00:00;  4,64
09.09.1978 04:00:00;  15,9
04.10.1978 00:00:00;  12,0
01.11.1978 00:00:00;  1,61
13.12.1978 02:00:00;  1,10
01.01.1979 03:00:00; 0,830
17.02.1979 21:00:00; 0,624
16.03.1979 07:00:00;  2,64
17.04.1979 04:00:00;  4,32
24.05.1979 22:00:00;  13,0
21.06.1979 15:00:00;  15,7
10.07.1979 14:00:00;  11,7
04.08.1979 22:00:00;  8,54
28.09.1979 01:00:00;  3,83
01.10.1979 00:00:00;  2,62
29.11.1979 19:00:00;  2,26
01.12.1979 00:00:00;  2,26
01.01.1980 00:00:00;  1,06
28.02.1980 15:00:00; 0,711
30.03.1980 01:00:00;  1,18
18.04.1980 21:00:00;  2,84
31.05.1980 03:00:00;  6,50
14.06.1980 20:00:00;  16,1
10.07.1980 03:00:00;  26,5
06.08.1980 15:00:00;  10,4
01.09.1980 10:00:00;  6,95
17.10.1980 22:00:00;  11,7
01.11.1980 00:00:00;  2,12
01.12.1980 11:00:00; 0,878
06.01.1981 17:00:00;  1,38
28.02.1981 08:00:00; 0,755
31.03.1981 23:00:00;  9,24
01.04.1981 00:00:00;  9,20
23.05.1981 02:00:00;  20,5
10.06.1981 18:00:00;  10,4
19.07.1981 04:00:00;  39,0
03.08.1981 21:00:00;  6,26
01.09.1981 11:00:00;  3,52
01.10.1981 11:00:00;  2,54
02.11.1981 05:00:00;  3,64
21.12.1981 04:00:00;  1,20
08.01.1982 00:00:05;  2,40
21.02.1982 07:00:00; 0,872
30.03.1982 21:00:00;  1,27
07.04.1982 19:00:00;  3,13
23.05.1982 11:00:00;  13,2
27.06.1982 22:00:00;  16,8
27.07.1982 05:00:00;  10,7
01.08.1982 00:00:00;  6,40
24.09.1982 00:00:00;  2,49
06.10.1982 21:00:00;  5,01
01.11.1982 00:00:00;  1,64
11.12.1982 05:00:00;  1,04
06.01.1983 21:00:00;  1,21
02.02.1983 17:00:00; 0,835
22.03.1983 12:00:00; 0,951
27.04.1983 23:00:00;  5,77
17.05.1983 01:00:00;  14,7
06.06.1983 20:00:00;  15,0
02.07.1983 07:00:00;  5,58
04.08.1983 04:00:00;  5,81
12.09.1983 12:00:00;  5,66
12.10.1983 01:00:00;  3,45
01.11.1983 00:00:00;  1,38
01.12.1983 00:00:00;  1,12
12.01.1984 00:00:00; 0,830
21.02.1984 08:00:00; 0,477
30.03.1984 02:00:00; 0,919
27.04.1984 04:00:00;  2,52
21.05.1984 13:00:00;  19,4
04.06.1984 02:00:00;  10,7
30.07.1984 01:00:00;  8,57
07.08.1984 21:00:00;  9,84
06.09.1984 18:00:00;  7,27
02.10.1984 18:00:00;  12,2
01.11.1984 00:00:00;  1,24
01.12.1984 00:00:00; 0,751
05.01.1985 00:00:00; 0,647
02.02.1985 11:00:00; 0,721
31.03.1985 18:00:00; 0,762
24.04.1985 06:00:00;  3,21
14.05.1985 21:00:00;  12,1
08.06.1985 12:00:00;  16,2
21.07.1985 11:00:00;  13,2
07.08.1985 01:00:00;  21,6
04.09.1985 11:00:00;  6,99
01.10.1985 14:00:00;  1,56
28.11.1985 11:00:00;  1,03
05.12.1985 06:00:00; 0,903
22.01.1986 00:00:00;  1,12
25.02.1986 08:30:00;  1,31
29.03.1986 03:00:00; 0,837
30.04.1986 23:59:55;  9,59
22.05.1986 07:00:00;  15,1
15.06.1986 05:00:00;  11,7
24.07.1986 23:30:00;  4,13
20.08.1986 02:15:00;  12,6
10.09.1986 15:30:00;  7,21
01.10.1986 00:10:00;  1,33
01.11.1986 00:00:00;  1,11
26.12.1986 00:00:00; 0,948
08.01.1987 00:00:00; 0,646
16.02.1987 00:45:00; 0,535
06.03.1987 07:15:00;  1,07
30.04.1987 23:59:55;  7,75
04.05.1987 02:30:00;  9,04
09.06.1987 22:15:00;  18,4
09.07.1987 16:45:00;  13,7
25.08.1987 23:00:00;  11,2
07.09.1987 02:00:00;  5,92
24.10.1987 02:00:00;  1,86
01.11.1987 00:15:00;  1,44
19.12.1987 02:00:00;  4,25
05.01.1988 03:30:00;  1,07
01.02.1988 00:00:00; 0,714
24.03.1988 16:30:00; 0,755
30.04.1988 23:59:55;  5,20
18.05.1988 07:00:00;  10,9
11.06.1988 06:15:00;  8,94
14.07.1988 19:45:00;  10,2
03.08.1988 18:45:00;  7,07
21.09.1988 00:10:00;  7,12
01.10.1988 00:00:00;  2,63
01.11.1988 00:00:00;  1,27
05.12.1988 05:00:00;  1,50
01.01.1989 00:00:00; 0,858
24.02.1989 23:45:00;  1,27
30.03.1989 22:45:00;  3,07
05.04.1989 10:00:00;  7,07
31.05.1989 03:45:00;  8,29
19.06.1989 01:15:00;  20,0
05.07.1989 02:00:00;  19,3
01.08.1989 00:00:00;  9,76
03.09.1989 17:30:00;  5,92
01.10.1989 05:15:00;  3,78
06.11.1989 12:30:00;  1,80
19.12.1989 12:15:00;  1,12
05.01.1990 22:00:00; 0,880
22.02.1990 18:30:00;  1,69
25.03.1990 07:00:00;  2,21
03.04.1990 14:45:00;  2,50
18.05.1990 00:45:00;  8,68
09.06.1990 00:00:00;  10,0
10.07.1990 21:45:00;  26,0
07.08.1990 18:30:00;  4,96
24.09.1990 15:00:00;  8,17
08.10.1990 11:00:00;  3,50
26.11.1990 05:45:00;  3,50
01.12.1990 00:00:00;  1,46
03.01.1991 22:00:00; 0,791
01.02.1991 21:15:00; 0,558
26.03.1991 13:00:00;  2,39
03.04.1991 10:30:00;  1,38
23.05.1991 09:30:00;  8,17
18.06.1991 05:00:00;  23,7
29.07.1991 03:30:00;  29,7
03.08.1991 11:30:00;  9,76
30.09.1991 23:59:55;  3,43
01.10.1991 06:30:00;  4,33
01.11.1991 00:00:00; 0,779
23.12.1991 07:30:00;  2,26
02.01.1992 00:10:00; 0,827
20.02.1992 12:15:00; 0,670
08.03.1992 07:30:00; 0,878
29.04.1992 03:00:00;  9,48
11.05.1992 21:45:00;  13,0
13.06.1992 13:15:00;  14,1
12.07.1992 10:00:00;  5,38
02.08.1992 00:00:00;  5,16
04.09.1992 17:30:00;  5,00
06.10.1992 01:30:00;  6,49
23.11.1992 13:30:00;  4,80
01.12.1992 00:00:00;  1,76
06.01.1993 19:15:00; 0,791
22.02.1993 19:00:00; 0,709
23.03.1993 23:00:00;  2,07
27.04.1993 21:45:00;  8,42
21.05.1993 23:30:00;  9,62
04.06.1993 20:30:00;  11,2
20.07.1993 20:15:00;  16,8
08.08.1993 21:30:00;  7,80
14.09.1993 12:15:00;  7,92
09.10.1993 00:00:00;  11,7
01.11.1993 00:00:00;  2,13
21.12.1993 16:15:00;  1,44
08.01.1994 08:30:00; 0,924
15.02.1994 04:30:00; 0,791
25.03.1994 21:00:00;  4,35
30.04.1994 22:15:00;  5,59
19.05.1994 18:00:00;  11,6
04.06.1994 06:15:00;  8,57
01.07.1994 00:00:00;  4,33
26.08.1994 10:00:00;  4,33
15.09.1994 04:00:00;  5,27
04.10.1994 07:00:00;  1,61
21.11.1994 12:30:00;  2,98
11.12.1994 10:00:00;  1,61
12.01.1995 07:30:00;  1,17
01.02.1995 15:15:00; 0,750
27.03.1995 18:45:00; 0,878
25.04.1995 05:15:00;  9,48
26.05.1995 23:30:00;  13,5
25.06.1995 15:30:00;  20,1
03.07.1995 05:45:00;  9,48
16.08.1995 07:00:00;  5,22
09.09.1995 00:30:00;  8,94
02.10.1995 07:00:00;  1,86
18.11.1995 00:00:00;  1,07
01.12.1995 05:45:00; 0,835
31.01.1996 03:15:00; 0,670
07.02.1996 00:45:00; 0,969
27.03.1996 07:30:00;  1,61
23.04.1996 21:45:00;  5,59
19.05.1996 22:00:00;  9,34
30.06.1996 08:00:00;  10,6
07.07.1996 02:00:00;  9,20
29.08.1996 06:30:00;  6,83
24.09.1996 00:10:00;  10,2
22.10.1996 04:15:00;  10,5
18.11.1996 16:15:00;  7,67
02.12.1996 00:15:00;  1,55
01.01.1997 06:30:45; 0,825
26.02.1997 19:51:25; 0,365
18.03.1997 01:31:10; 0,906
30.04.1997 23:59:55;  1,35
16.05.1997 00:56:30;  12,7
15.06.1997 00:21:55;  15,9
08.07.1997 12:16:20;  21,0
02.08.1997 15:22:25;  5,42
08.09.1997 03:40:35;  3,11
02.10.1997 23:24:30;  4,95
09.11.1997 02:54:45;  1,15
12.12.1997 14:33:10;  1,13
14.01.1998 19:28:05; 0,863
28.02.1998 18:17:05; 0,883
31.03.1998 23:59:55;  2,98
28.04.1998 00:22:15;  5,70
13.05.1998 01:53:00;  8,94
11.06.1998 21:29:50;  14,7
08.07.1998 05:48:55;  7,20
01.08.1998 10:10:55;  5,44
06.09.1998 00:56:40;  15,5
08.10.1998 03:43:00;  4,84
11.11.1998 01:49:25;  3,74
01.12.1998 00:00:00; 0,825
05.01.1999 19:42:00; 0,956
06.02.1999 14:08:00;  1,03
28.03.1999 07:03:05;  1,92
30.04.1999 03:47:00;  6,99
09.05.1999 05:44:05;  12,7
16.06.1999 06:16:35;  13,7
23.07.1999 02:57:05;  21,4
29.08.1999 07:15:15;  13,6
01.09.1999 00:00:00;  6,97
01.10.1999 03:19:55;  3,26
01.11.1999 05:02:30;  1,24
06.12.1999 05:44:00; 0,778
31.01.2000 17:30:40; 0,673
09.02.2000 08:51:35; 0,837
10.03.2000 15:07:50;  2,26
24.04.2000 00:18:00;  13,3
13.05.2000 02:45:00;  12,5
07.06.2000 05:37:50;  9,53
08.07.2000 06:11:10;  8,93
07.08.2000 20:11:05;  10,6
21.09.2000 16:52:20;  4,67
13.10.2000 05:14:10;  10,7
04.11.2000 03:54:10;  5,30
01.12.2000 15:07:05;  1,85
08.01.2001 10:59:00;  1,05
19.02.2001 07:49:15; 0,837
25.03.2001 18:53:00;  3,63
30.04.2001 23:59:55;  5,75
29.05.2001 21:03:55;  12,0
01.06.2001 05:17:35;  12,3
20.07.2001 18:26:45;  17,1
11.08.2001 03:21:45;  4,21
09.09.2001 10:10:30;  5,87
01.10.2001 04:46:30;  3,65
13.11.2001 06:18:20;  1,17
07.12.2001 09:10:40; 0,947
28.01.2002 22:51:10;  1,05
01.02.2002 00:00:00; 0,917
22.03.2002 00:18:55;  7,04
27.04.2002 08:21:50;  4,18
04.05.2002 23:13:05;  15,4
07.06.2002 17:58:20;  14,8
17.07.2002 21:49:15;  15,1
12.08.2002 14:45:50;  33,9
02.09.2002 08:11:00;  3,43
18.10.2002 11:02:35;  4,48
26.11.2002 20:50:55;  6,11
01.12.2002 00:00:00;  2,59
01.01.2003 09:06:25;  1,32
01.02.2003 00:44:20; 0,752
31.03.2003 23:59:55;  1,35
30.04.2003 23:47:30;  9,76
01.05.2003 02:07:00;  9,89
01.06.2003 07:25:25;  8,18
04.07.2003 05:28:10;  4,72
01.08.2003 15:13:25;  6,12
13.09.2003 20:44:00;  7,50
05.10.2003 12:31:00;  5,97
02.11.2003 01:16:00;  4,29
02.12.2003 19:16:00;  1,14
14.01.2004 05:46:00; 0,742
07.02.2004 18:16:00; 0,890
22.03.2004 01:46:00;  2,28
29.04.2004 23:46:00;  5,36
21.05.2004 00:01:00;  10,7
12.06.2004 07:01:00;  20,9
02.07.2004 19:16:00;  10,9
27.08.2004 13:01:05;  9,71
01.09.2004 00:00:00;  8,20
01.10.2004 00:00:00;  3,44
01.11.2004 00:31:00;  3,01
01.12.2004 01:01:00;  1,02
21.01.2005 10:01:00; 0,767
09.02.2005 22:31:00; 0,684
25.03.2005 20:05:00;  2,55
30.04.2005 23:59:55;  5,03
04.05.2005 08:35:00;  13,8
05.06.2005 01:20:00;  10,1
11.07.2005 17:35:00;  36,1
16.08.2005 23:05:00;  10,7
20.09.2005 22:20:00;  4,13
05.10.2005 20:20:00;  19,4
02.11.2005 00:50:00;  1,21
03.12.2005 17:20:00; 0,841
03.01.2006 00:35:00; 0,764
04.02.2006 13:05:00; 0,702
28.03.2006 23:35:00;  3,49
28.04.2006 07:34:00;  9,00
19.05.2006 09:34:00;  18,7
20.06.2006 06:49:00;  22,0
01.07.2006 00:00:00;  7,89
04.08.2006 20:34:00;  8,49
19.09.2006 15:34:00;  5,56
04.10.2006 21:19:00;  3,14
15.11.2006 01:34:00;  3,19
09.12.2006 18:19:00;  1,12
19.01.2007 23:04:00;  3,87
01.02.2007 12:34:00; 0,969
08.03.2007 16:34:00;  1,40
26.04.2007 00:19:00;  5,11
14.05.2007 01:19:00;  8,19
23.06.2007 05:19:00;  6,95
10.07.2007 04:49:00;  14,5
12.08.2007 05:34:00;  6,46
10.09.2007 00:34:00;  9,99
28.10.2007 05:58:55;  4,64
24.11.2007 06:33:50;  2,92
08.12.2007 03:54:50;  1,69
27.01.2008 13:01:10;  1,60
29.02.2008 23:59:55;  1,42
02.03.2008 11:46:10;  2,54
22.04.2008 00:09:20;  4,18
31.05.2008 00:39:50;  14,7
03.06.2008 02:41:30;  12,3
21.07.2008 07:30:00;  15,5
16.08.2008 12:00:00;  21,6
13.09.2008 16:00:00;  3,60
30.10.2008 07:30:00;  11,5
01.11.2008 00:00:00;  3,50
01.12.2008 12:15:00;  1,66
01.01.2009 04:15:00; 0,931
07.02.2009 21:00:00; 0,776
05.03.2009 19:00:00;  1,24
10.04.2009 22:00:00;  6,33
13.05.2009 03:15:00;  15,8
29.06.2009 16:45:00;  35,5
01.07.2009 00:15:00;  11,9
04.08.2009 20:45:00;  15,0
05.09.2009 05:45:00;  19,5
24.10.2009 05:15:00;  3,68
18.11.2009 17:00:00;  1,82
01.12.2009 02:30:00;  1,79
01.01.2010 00:00:00;  1,06
16.02.2010 13:15:00; 0,793
27.03.2010 00:00:00;  1,99
30.04.2010 23:45:00;  5,98
06.05.2010 09:45:00;  12,0
09.06.2010 01:45:00;  10,5
18.07.2010 01:00:00;  18,9
31.08.2010 22:45:00;  6,43
18.09.2010 07:00:00;  6,72
01.10.2010 00:00:00;  2,50
01.11.2010 23:00:00;  2,75
24.12.2010 16:30:00;  1,23
14.01.2011 17:45:00;  2,70
12.02.2011 18:15:00; 0,900
28.03.2011 02:15:00;  1,55
08.04.2011 08:00:00;  4,69
30.05.2011 23:45:00;  8,94
24.06.2011 03:00:00;  11,5
24.07.2011 14:15:00;  9,15
09.08.2011 04:45:00;  14,1
21.09.2011 20:48:00;  7,59
11.10.2011 08:48:00;  9,23
01.11.2011 00:00:00;  1,92
05.12.2011 12:30:00; 0,974
20.01.2012 14:00:00; 0,900
29.02.2012 23:59:55; 0,805
30.03.2012 05:45:00;  3,44
30.04.2012 00:30:00;  12,9
03.05.2012 00:15:00;  16,3
23.06.2012 10:30:00;  19,0
21.07.2012 09:30:00;  29,2
31.08.2012 20:00:00;  8,90
01.09.2012 00:15:00;  7,90
19.10.2012 01:15:00;  4,60
05.11.2012 07:45:00;  7,22
01.12.2012 00:00:00;  1,94
05.01.2013 08:45:00;  1,99
01.02.2013 06:30:00;  1,25
08.03.2013 21:45:00;  2,22
30.04.2013 22:00:00;  13,6
03.05.2013 01:45:00;  15,5
16.06.2013 05:00:00;  13,5
04.07.2013 08:45:00;  4,50
25.08.2013 18:23:35;  7,54
19.09.2013 09:23:35;  8,66
