Messstelle:                ;Reith
19.05.1998 07:47:05;  2,02
13.06.1998 07:59:25;  5,01
09.07.1998 07:41:55;  11,2
22.08.1998 09:51:50;  1,10
28.09.1998 10:10:15;  3,47
29.10.1998 23:44:15;  1,83
11.11.1998 04:01:50;  5,92
15.12.1998 07:31:55;  3,91
08.01.1999 17:56:05;  2,07
21.02.1999 08:59:25;  1,48
02.03.1999 15:19:15;  2,84
07.04.1999 22:31:40;  3,86
21.05.1999 06:11:50;  2,51
22.06.1999 13:49:15;  4,49
10.07.1999 12:53:00;  4,82
07.08.1999 20:05:25;  2,14
02.09.1999 19:56:10;  6,71
06.10.1999 21:49:50; 0,922
09.11.1999 19:30:05; 0,844
02.12.1999 17:30:50;  1,31
31.01.2000 05:07:30;  2,98
09.02.2000 05:04:10;  2,90
09.03.2000 18:50:30;  7,32
04.04.2000 23:57:15;  2,66
04.05.2000 19:37:15;  2,24
06.06.2000 20:46:10; 0,840
11.07.2000 16:45:55;  1,19
08.08.2000 07:59:40;  3,84
16.09.2000 23:29:10; 0,784
08.10.2000 03:33:35; 0,539
05.11.2000 06:10:40; 0,753
11.12.2000 13:28:10;  1,74
29.01.2001 16:14:05; 0,407
25.02.2001 08:44:15; 0,995
24.03.2001 07:18:45;  3,88
12.04.2001 17:51:00;  2,06
06.05.2001 15:37:45; 0,863
19.06.2001 11:09:05;  2,24
21.07.2001 04:10:30;  6,63
11.08.2001 01:04:20; 0,755
18.09.2001 08:45:30;  8,95
03.10.2001 17:44:00; 0,740
08.11.2001 03:24:40; 0,696
06.12.2001 15:23:30;  3,95
28.01.2002 07:17:15;  6,98
14.02.2002 01:24:50;  3,86
21.03.2002 17:04:50;  11,6
24.04.2002 07:50:10;  1,77
11.05.2002 17:31:10;  2,18
07.06.2002 16:03:45;  2,61
17.07.2002 16:47:15;  2,41
13.08.2002 05:43:10;  17,6
27.09.2002 17:05:45;  4,52
18.10.2002 12:23:35;  2,10
04.11.2002 23:23:10;  7,05
23.12.2002 13:29:35;  8,06
28.01.2003 17:10:00;  3,38
14.02.2003 09:20:00;  1,18
12.03.2003 18:14:30;  3,90
14.04.2003 18:56:45;  2,07
21.05.2003 08:59:05;  1,56
20.06.2003 21:06:20; 0,618
18.07.2003 01:04:25; 0,438
01.08.2003 02:01:25; 0,447
13.09.2003 12:15:00;  3,11
10.10.2003 01:44:15;  2,77
02.11.2003 10:51:00; 0,921
14.12.2003 17:21:25; 0,928
14.01.2004 04:36:30;  2,10
03.02.2004 11:14:10;  9,90
21.03.2004 18:13:10;  4,76
03.04.2004 20:23:10;  3,51
16.05.2004 07:57:45;  6,58
20.06.2004 18:47:30;  2,86
16.07.2004 05:11:40;  1,41
29.08.2004 23:11:40; 0,542
26.09.2004 07:36:20;  2,58
01.10.2004 00:00:00; 0,747
23.11.2004 07:02:05;  2,96
01.12.2004 04:58:50; 0,597
21.01.2005 06:32:20;  2,74
13.02.2005 07:28:55;  1,18
19.03.2005 17:19:45;  9,52
26.04.2005 08:47:30;  6,67
19.05.2005 00:23:05;  6,39
16.06.2005 05:30:30;  1,50
10.07.2005 05:17:25;  4,88
24.08.2005 02:57:10;  5,85
18.09.2005 00:26:20;  1,40
01.10.2005 00:00:00;  1,13
29.11.2005 09:19:40;  1,00
02.12.2005 09:38:00; 0,563
21.01.2006 04:15:10; 0,686
17.02.2006 13:15:30; 0,410
31.03.2006 20:10:00;  4,36
26.04.2006 20:16:05;  5,92
28.05.2006 16:48:30;  3,53
03.06.2006 11:57:10;  11,8
24.07.2006 16:54:15;  6,66
08.08.2006 00:00:50;  27,9
20.09.2006 01:05:30;  1,76
30.10.2006 06:18:50;  1,20
12.11.2006 07:21:50;  6,95
05.12.2006 14:28:30; 0,592
19.01.2007 19:09:15;  11,5
28.02.2007 20:00:35;  3,02
04.03.2007 02:50:30;  3,04
02.04.2007 20:07:10;  1,64
09.05.2007 23:21:10;  7,72
15.06.2007 14:08:40;  12,0
10.07.2007 00:47:15; 0,841
09.08.2007 23:27:50;  1,14
07.09.2007 08:23:50;  21,5
28.10.2007 03:51:50;  4,54
08.11.2007 13:07:00;  5,19
08.12.2007 06:49:45;  2,15
22.01.2008 17:21:15;  3,54
29.02.2008 23:59:55;  1,90
15.03.2008 00:02:20;  6,19
26.04.2008 04:28:00;  4,39
06.05.2008 02:46:40;  1,36
04.06.2008 15:52:55;  1,80
24.07.2008 01:41:55;  13,0
16.08.2008 03:25:00;  5,41
26.09.2008 00:02:55;  3,76
03.10.2008 23:22:00;  1,55
21.11.2008 06:00:15;  2,87
22.12.2008 23:58:10;  3,58
01.01.2009 00:00:00; 0,468
07.02.2009 17:39:50; 0,988
16.03.2009 21:06:05;  1,32
13.04.2009 16:34:45;  6,71
30.05.2009 13:15:25;  12,1
28.06.2009 20:32:05;  16,1
03.07.2009 15:40:40;  6,05
04.08.2009 16:58:45;  7,01
04.09.2009 18:55:00;  1,16
22.10.2009 19:00:20;  1,51
03.11.2009 22:42:25; 0,878
26.12.2009 15:46:05;  1,69
02.01.2010 11:02:40; 0,676
28.02.2010 15:27:30; 0,686
25.03.2010 17:24:40;  5,05
05.04.2010 15:57:10;  3,10
21.05.2010 14:30:00;  7,00
02.06.2010 12:45:00;  11,6
25.07.2010 01:15:00;  4,33
31.08.2010 20:45:00;  11,6
01.09.2010 00:00:00;  8,26
01.10.2010 01:00:00; 0,593
12.11.2010 14:00:00; 0,669
24.12.2010 17:00:00;  1,46
14.01.2011 07:00:00;  11,6
12.02.2011 07:45:00;  5,00
18.03.2011 22:00:00;  2,97
01.04.2011 16:45:00;  1,20
15.05.2011 15:30:00;  1,75
19.06.2011 03:00:00;  1,11
21.07.2011 05:15:00;  5,00
04.08.2011 10:30:00;  2,70
19.09.2011 22:15:00;  3,95
13.10.2011 03:15:00;  8,10
16.11.2011 14:45:00; 0,510
23.12.2011 22:00:00; 0,927
20.01.2012 03:00:00;  5,39
29.02.2012 13:15:00;  5,02
30.03.2012 10:00:00;  6,11
01.04.2012 03:30:00;  3,08
16.05.2012 19:45:00;  1,46
13.06.2012 09:00:00;  3,49
25.07.2012 13:30:00;  6,52
05.08.2012 01:30:00;  1,77
13.09.2012 04:45:00;  2,70
13.10.2012 04:15:00; 0,792
05.11.2012 08:15:00;  1,77
23.12.2012 16:00:00;  7,93
05.01.2013 05:15:00;  16,4
01.02.2013 04:15:00;  2,13
08.03.2013 19:15:00;  2,20
19.04.2013 08:15:00;  8,10
31.05.2013 16:30:00;  3,97
25.06.2013 07:45:00;  9,32
11.07.2013 03:30:00;  1,17
29.08.2013 02:15:00;  2,98
17.09.2013 13:45:00;  3,74
11.10.2013 18:45:00; 0,616
06.11.2013 23:30:00;  2,64
26.12.2013 18:45:00;  1,88
12.01.2014 04:45:00; 0,699
01.02.2014 20:00:00; 0,905
16.03.2014 15:30:00;  1,51
10.04.2014 22:00:00;  3,31
16.05.2014 11:45:00;  21,9
01.06.2014 03:30:10;  1,91
31.07.2014 22:30:00;  1,65
01.08.2014 00:00:00;  1,65
27.09.2014 01:15:00;  5,50
23.10.2014 18:00:00;  11,4
19.11.2014 23:00:00; 0,828
19.12.2014 05:30:00;  2,03
10.01.2015 06:30:00;  11,9
24.02.2015 18:15:00; 0,650
31.03.2015 19:30:00;  6,52
01.04.2015 00:00:00;  3,80
23.05.2015 13:15:00;  7,19
28.06.2015 05:45:00;  1,48
14.07.2015 09:00:00; 0,642
17.08.2015 07:30:00; 0,527
03.09.2015 23:30:00;  1,68
20.10.2015 08:45:00;  1,34
30.11.2015 19:45:00;  2,37
02.12.2015 00:00:00;  7,69
29.01.2016 12:30:00;  2,35
01.02.2016 11:30:00;  14,8
20.03.2016 20:00:00;  1,09
01.04.2016 17:45:00;  1,06
04.05.2016 09:30:00;  8,86
20.06.2016 11:00:00;  6,48
14.07.2016 03:45:00;  4,56
10.08.2016 12:45:00;  3,66
06.09.2016 13:30:00;  6,21
04.10.2016 16:30:00;  6,66
16.11.2016 23:15:00;  1,86
27.12.2016 01:15:00;  2,49
21.01.2017 10:30:00;  1,42
21.02.2017 20:30:00;  7,78
19.03.2017 04:30:00;  11,6
26.04.2017 15:45:00;  5,30
15.05.2017 01:00:00;  4,69
03.06.2017 14:15:00;  1,07
27.07.2017 08:45:00;  5,43
31.08.2017 21:15:00;  2,16
20.09.2017 07:30:00;  11,9
29.10.2017 13:15:00;  6,21
21.11.2017 21:15:00;  4,57
31.12.2017 08:45:00;  3,84
05.01.2018 05:30:00;  5,98
01.02.2018 02:00:00;  1,43
12.03.2018 20:30:00;  2,53
04.04.2018 19:00:00;  2,52
04.05.2018 01:45:00;  2,08
28.06.2018 08:45:00;  10,4
05.07.2018 22:15:00;  8,43
26.08.2018 07:45:00;  1,27
01.09.2018 14:45:00;  4,14
24.10.2018 17:30:00;  8,09
29.11.2018 09:30:00;  1,53
24.12.2018 07:15:00;  11,3
02.01.2019 00:45:00; 0,925
22.02.2019 15:15:00;  5,97
02.03.2019 07:30:00;  7,71
02.04.2019 18:00:00;  3,12
29.05.2019 14:00:00;  4,13
01.06.2019 00:00:00;  1,26
14.07.2019 02:00:00; 0,771
03.08.2019 20:30:00; 0,301
09.09.2019 08:15:00; 0,418
06.10.2019 07:45:00; 0,665
16.11.2019 03:00:00; 0,698
25.12.2019 20:30:00;  2,40
31.01.2020 21:15:00;  1,88
03.02.2020 04:49:55;  7,74
11.03.2020 18:00:00;  1,74
14.04.2020 01:45:00; 0,582
25.05.2020 18:00:00;  3,63
21.06.2020 20:45:00;  11,5
18.07.2020 13:15:00;  3,81
18.08.2020 11:00:00;  2,92
01.09.2020 12:00:00;  7,64
18.10.2020 02:00:00;  5,58
01.11.2020 01:15:00;  1,09
23.12.2020 01:30:00;  1,86
29.01.2021 04:45:00;  5,85
04.02.2021 02:30:40;  1,88
30.03.2021 18:15:00;  1,73
22.04.2021 20:30:00;  2,43
23.05.2021 13:30:00;  2,03
13.06.2021 02:00:00;  1,19
18.07.2021 00:00:00;  10,0
27.08.2021 05:30:00;  5,71
01.09.2021 03:45:00;  1,83
07.10.2021 10:15:00;  1,18
02.11.2021 03:15:00; 0,881
29.12.2021 16:45:00;  8,10
01.01.2022 00:00:00;  2,75
