Messstelle:                ;Steinach am Brenner
11.06.1958 12:00:00;  9,44
03.07.1958 12:00:00;  9,78
12.08.1958 12:00:00;  9,44
23.09.1958 12:00:00;  6,25
02.10.1958 12:00:00;  10,1
02.11.1958 12:00:00;  3,15
02.12.1958 12:00:00;  1,98
03.01.1959 12:00:00;  1,60
11.02.1959 12:00:00;  1,40
11.03.1959 12:00:00;  1,50
19.04.1959 12:00:00;  2,78
23.05.1959 12:00:00;  9,39
14.06.1959 12:00:00;  16,0
16.07.1959 12:00:00;  7,30
15.08.1959 12:00:00;  7,30
01.09.1959 12:00:00;  2,78
02.10.1959 12:00:00;  1,68
11.11.1959 12:00:00;  1,14
05.12.1959 12:00:00;  1,36
11.01.1960 12:00:00;  1,36
29.02.1960 12:00:00;  1,14
31.03.1960 12:00:00;  1,36
23.04.1960 12:00:00;  2,26
20.05.1960 12:00:00;  14,3
08.06.1960 12:00:00;  12,8
25.07.1960 12:00:00;  10,7
20.08.1960 12:00:00;  9,38
17.09.1960 12:00:00;  25,0
01.10.1960 12:00:00;  8,10
05.11.1960 12:00:00;  5,85
07.12.1960 12:00:00;  2,83
01.01.1961 12:00:00;  2,02
15.02.1961 12:00:00;  1,80
31.03.1961 12:00:00;  1,80
17.04.1961 12:00:00;  4,38
29.05.1961 12:00:00;  8,10
23.06.1961 12:00:00;  14,3
13.07.1961 12:00:00;  15,0
12.08.1961 12:00:00;  19,0
08.09.1961 12:00:00;  3,15
24.10.1961 12:00:00;  2,36
14.11.1961 12:00:00;  2,02
12.12.1961 12:00:00;  2,14
04.01.1962 12:00:00;  1,30
02.02.1962 12:00:00;  1,10
30.03.1962 12:00:00;  1,10
27.04.1962 12:00:00;  4,38
10.05.1962 12:00:00;  9,38
17.06.1962 12:00:00;  17,0
14.07.1962 12:00:00;  9,70
08.08.1962 12:00:00;  9,70
18.09.1962 12:00:00;  3,55
01.10.1962 12:00:00;  2,97
11.11.1962 12:00:00;  2,10
02.12.1962 12:00:00;  1,40
16.01.1963 12:00:00;  1,43
12.02.1963 12:00:00;  1,26
31.03.1963 12:00:00;  1,17
30.04.1963 12:00:00;  3,34
30.05.1963 12:00:00;  8,12
26.06.1963 12:00:00;  11,2
22.07.1963 12:00:00;  9,00
19.08.1963 12:00:00;  21,0
05.09.1963 12:00:00;  13,5
03.10.1963 12:00:00;  4,00
05.11.1963 12:00:00;  8,70
05.12.1963 12:00:00;  2,84
02.01.1964 12:00:00;  1,78
26.02.1964 12:00:00;  1,34
28.03.1964 12:00:00;  1,08
30.04.1964 12:00:00;  3,41
15.05.1964 12:00:00;  9,30
24.06.1964 12:00:00;  15,5
20.07.1964 12:00:00;  8,70
23.08.1964 12:00:00;  8,70
01.09.1964 12:00:00;  4,23
13.10.1964 12:00:00;  3,21
21.11.1964 12:00:00;  2,51
02.12.1964 12:00:00;  2,17
18.01.1965 12:00:00;  1,43
02.02.1965 12:00:00;  1,34
31.03.1965 12:00:00;  1,52
23.04.1965 12:00:00;  1,78
19.05.1965 12:00:00;  22,6
27.06.1965 12:00:00;  18,3
01.07.1965 12:00:00;  16,8
23.08.1965 12:00:00;  19,4
03.09.1965 12:00:00;  64,0
02.10.1965 12:00:00;  10,9
02.11.1965 12:00:00;  2,54
02.12.1965 12:00:00;  1,81
04.01.1966 12:00:00;  1,43
22.02.1966 12:00:00;  1,81
01.03.1966 12:00:00;  1,22
30.04.1966 12:00:00;  3,42
23.05.1966 12:00:00;  12,8
24.06.1966 12:00:00;  15,3
07.07.1966 12:00:00;  18,2
15.08.1966 12:00:00;  19,0
16.09.1966 12:00:00;  7,10
20.10.1966 12:00:00;  5,56
04.11.1966 12:00:00;  7,10
02.12.1966 12:00:00;  2,83
02.01.1967 12:00:00;  1,54
14.02.1967 12:00:00;  1,54
11.03.1967 12:00:00;  1,54
19.04.1967 12:00:00;  3,55
15.05.1967 12:00:00;  13,2
27.06.1967 12:00:00;  24,0
03.07.1967 12:00:00;  17,5
13.08.1967 12:00:00;  10,3
07.09.1967 12:00:00;  20,5
05.10.1967 12:00:00;  9,60
05.11.1967 12:00:00;  7,83
02.12.1967 12:00:00;  3,51
14.01.1968 12:00:00;  4,60
24.02.1968 12:00:00;  1,21
31.03.1968 12:00:00;  2,09
24.04.1968 12:00:00;  9,64
06.05.1968 12:00:00;  20,2
21.06.1968 12:00:00;  19,4
11.07.1968 12:00:00;  17,5
18.08.1968 12:00:00;  9,70
16.09.1968 12:00:00;  25,0
09.10.1968 12:00:00;  6,03
03.11.1968 12:00:00;  13,2
31.12.1968 12:00:00;  2,88
10.01.1969 12:00:00;  1,81
10.02.1969 12:00:00;  2,54
15.03.1969 12:00:00;  1,90
28.04.1969 12:00:00;  2,50
29.05.1969 12:00:00;  13,8
24.06.1969 12:00:00;  18,2
07.07.1969 12:00:00;  22,0
24.08.1969 12:00:00;  7,50
15.09.1969 12:00:00;  8,66
01.10.1969 12:00:00;  3,66
13.11.1969 12:00:00;  3,11
02.12.1969 12:00:00;  1,63
08.01.1970 12:00:00;  2,61
17.02.1970 12:00:00;  2,61
10.03.1970 12:00:00;  1,40
26.04.1970 12:00:00;  6,15
22.05.1970 12:00:00;  8,08
17.06.1970 12:00:00;  21,0
25.07.1970 12:00:00;  22,6
21.08.1970 12:00:00;  22,2
11.09.1970 12:00:00;  23,0
03.10.1970 12:00:00;  5,30
20.11.1970 12:00:00;  4,07
26.12.1970 12:00:00;  3,29
22.01.1971 12:00:00;  1,40
02.02.1971 12:00:00;  1,50
05.03.1971 12:00:00;  2,92
25.04.1971 12:00:00;  5,17
18.05.1971 12:00:00;  13,5
27.06.1971 12:00:00;  12,2
29.07.1971 12:00:00;  11,5
27.08.1971 12:00:00;  10,3
01.09.1971 12:00:00;  5,79
02.10.1971 12:00:00;  3,61
09.11.1971 12:00:00;  3,22
03.12.1971 12:00:00;  2,23
29.01.1972 12:00:00;  1,67
08.02.1972 12:00:00;  1,32
25.03.1972 12:00:00;  1,81
26.04.1972 12:00:00;  2,09
27.05.1972 12:00:00;  12,2
12.06.1972 12:00:00;  26,0
10.07.1972 12:00:00;  21,2
03.08.1972 12:00:00;  9,26
11.09.1972 12:00:00;  4,50
28.10.1972 12:00:00;  3,29
06.11.1972 12:00:00;  2,88
09.12.1972 12:00:00;  2,54
17.01.1973 12:00:00;  1,43
20.02.1973 12:00:00;  2,88
27.03.1973 12:00:00;  2,09
30.04.1973 12:00:00;  2,37
07.05.1973 12:00:00;  21,0
21.06.1973 12:00:00;  14,6
16.07.1973 12:00:00;  20,6
08.08.1973 12:00:00;  7,61
21.09.1973 12:00:00;  16,4
02.10.1973 12:00:00;  8,17
02.11.1973 12:00:00;  3,42
25.12.1973 12:00:00;  2,23
01.01.1974 12:00:00;  1,67
27.02.1974 12:00:00;  1,95
22.03.1974 12:00:00;  2,71
17.04.1974 12:00:00;  2,45
31.05.1974 12:00:00;  11,1
05.06.1974 12:00:00;  14,5
18.07.1974 12:00:00;  16,5
05.08.1974 12:00:00;  12,1
04.09.1974 12:00:00;  14,9
01.10.1974 12:00:00;  4,07
19.11.1974 12:00:00;  2,92
17.12.1974 12:00:00;  2,30
19.01.1975 12:00:00;  1,63
15.02.1975 12:00:00;  1,30
31.03.1975 12:00:00;  5,42
30.04.1975 12:00:00;  6,32
23.05.1975 12:00:00;  17,9
18.06.1975 12:00:00;  18,3
19.07.1975 12:00:00;  34,0
23.08.1975 12:00:00;  12,2
16.09.1975 12:00:00;  18,3
01.10.1975 12:00:00;  6,06
03.11.1975 12:00:00;  2,65
01.12.1975 12:00:00;  1,95
29.01.1976 07:00:00;  3,15
02.02.1976 00:00:00;  1,29
29.03.1976 13:00:00;  1,97
03.04.1976 13:00:00;  2,29
08.05.1976 20:00:00;  5,54
20.06.1976 22:00:00;  7,34
03.07.1976 21:00:00;  5,98
31.08.1976 15:00:00;  6,65
14.09.1976 01:00:00;  16,9
03.10.1976 12:00:00;  19,3
01.11.1976 00:00:00;  4,77
01.12.1976 04:00:00;  2,70
19.01.1977 05:00:00;  2,74
25.02.1977 08:00:00;  1,61
28.03.1977 20:00:00;  2,27
30.04.1977 18:00:00;  11,0
20.05.1977 17:00:00;  22,0
15.06.1977 01:00:00;  19,7
25.07.1977 23:00:00;  19,7
01.08.1977 04:00:00;  19,3
04.09.1977 22:00:00;  9,50
08.10.1977 21:00:00;  10,5
02.11.1977 23:00:00;  2,55
01.12.1977 15:00:00;  1,87
01.01.1978 01:00:00;  1,32
25.02.1978 15:00:00;  2,08
31.03.1978 16:00:00;  1,55
30.04.1978 23:59:55;  2,67
22.05.1978 16:00:00;  12,8
24.06.1978 06:00:00;  18,5
04.07.1978 19:00:00;  25,6
08.08.1978 00:00:00;  53,9
12.09.1978 23:00:00;  4,26
03.10.1978 20:00:00;  8,40
01.11.1978 00:00:00;  2,82
01.12.1978 12:00:00;  1,94
28.01.1979 12:00:00;  2,14
12.02.1979 04:00:00;  1,60
16.03.1979 07:00:00;  3,33
17.04.1979 02:00:00;  1,94
31.05.1979 19:00:00;  23,4
14.06.1979 01:00:00;  21,2
12.07.1979 23:00:00;  14,1
18.08.1979 05:00:00;  15,7
21.09.1979 21:00:00;  13,2
17.10.1979 09:00:00;  18,1
03.11.1979 14:00:00;  3,87
01.12.1979 07:00:00;  3,59
09.01.1980 13:00:00;  2,75
05.02.1980 18:00:00;  1,92
29.03.1980 21:00:00;  1,71
20.04.1980 02:00:00;  2,42
28.05.1980 21:00:00;  7,90
22.06.1980 05:00:00;  20,7
09.07.1980 14:00:00;  36,6
03.08.1980 22:00:00;  13,9
01.09.1980 00:00:00;  5,64
17.10.1980 15:00:00;  35,2
08.11.1980 12:00:00;  3,54
01.12.1980 15:00:00;  2,35
04.01.1981 02:00:00;  1,98
09.02.1981 00:00:00;  1,41
31.03.1981 19:00:00;  8,95
01.04.1981 00:00:00;  7,52
27.05.1981 03:00:00;  30,3
29.06.1981 02:00:00;  29,0
03.07.1981 22:00:00;  32,9
06.08.1981 21:00:00;  12,5
27.09.1981 11:00:00;  28,3
01.10.1981 00:00:00;  8,08
06.11.1981 07:00:00;  4,86
05.12.1981 12:00:00;  3,74
06.01.1982 04:45:00;  2,08
12.02.1982 00:30:00;  1,48
31.03.1982 23:59:55;  1,49
06.04.1982 23:45:00;  2,30
24.05.1982 04:00:00;  14,7
12.06.1982 14:00:00;  18,5
31.07.1982 12:30:00;  20,9
31.08.1982 21:00:00;  12,6
27.09.1982 07:00:00;  21,0
23.10.1982 15:00:00;  5,49
13.11.1982 23:45:00;  3,14
01.12.1982 02:30:00;  2,17
05.01.1983 17:15:00;  1,76
01.02.1983 03:15:00;  1,30
20.03.1983 17:00:00;  1,58
22.04.1983 01:30:00;  4,63
23.05.1983 02:00:00;  37,5
06.06.1983 21:30:00;  13,7
07.07.1983 22:15:00;  13,1
03.08.1983 01:00:00;  15,3
11.09.1983 08:15:00;  19,0
11.10.1983 21:30:00;  4,85
05.11.1983 23:30:00;  3,41
19.12.1983 16:00:00;  2,70
01.01.1984 11:00:00;  1,66
03.02.1984 13:45:00;  1,42
29.03.1984 17:45:00;  1,76
24.04.1984 21:15:00;  3,33
21.05.1984 04:15:00;  9,55
04.06.1984 06:00:00;  14,5
12.07.1984 18:00:00;  14,6
06.08.1984 03:00:00;  13,0
05.09.1984 22:30:00;  22,2
02.10.1984 07:00:00;  15,6
02.11.1984 14:15:00;  3,64
03.12.1984 14:15:00;  3,05
23.01.1985 15:45:00;  2,15
02.02.1985 21:00:00;  2,65
07.03.1985 19:00:00;  1,35
29.04.1985 16:00:00;  2,51
27.05.1985 20:15:00;  12,9
07.06.1985 22:30:00;  13,9
31.07.1985 03:30:00;  18,0
06.08.1985 13:00:00;  54,4
04.09.1985 02:00:00;  6,63
01.10.1985 01:45:00;  3,01
10.11.1985 23:30:00;  2,13
03.12.1985 06:00:00;  1,85
01.01.1986 00:00:00;  1,58
01.02.1986 00:15:00;  1,45
29.03.1986 05:00:00;  1,62
26.04.1986 21:45:00;  4,06
22.05.1986 03:00:00;  18,3
24.06.1986 05:00:00;  14,5
06.07.1986 23:30:00;  17,7
28.08.1986 23:30:00;  16,8
01.09.1986 00:00:00;  6,92
01.10.1986 00:00:00;  2,67
01.11.1986 00:00:00;  1,93
16.12.1986 14:00:00;  1,42
01.01.1987 00:00:00;  1,26
13.02.1987 05:15:00;  1,24
28.03.1987 18:30:00;  1,93
30.04.1987 23:59:55;  5,17
31.05.1987 23:59:55;  7,73
15.06.1987 20:30:00;  41,0
18.07.1987 22:30:00;  53,7
25.08.1987 03:30:00;  46,8
26.09.1987 18:15:00;  16,0
12.10.1987 05:15:00;  16,5
01.11.1987 00:00:00;  3,51
19.12.1987 17:15:00;  3,07
15.01.1988 15:45:00;  2,24
07.02.1988 09:30:00;  1,83
21.03.1988 18:15:00;  1,70
20.04.1988 20:45:00;  3,87
08.05.1988 18:45:00;  10,8
05.06.1988 03:00:00;  8,84
12.07.1988 03:00:00;  13,3
20.08.1988 20:15:00;  41,6
02.09.1988 11:00:00;  25,6
13.10.1988 04:15:00;  11,3
01.11.1988 00:00:00;  2,54
01.12.1988 12:30:00;  2,10
01.01.1989 00:00:00;  1,45
24.02.1989 19:15:00;  2,98
30.03.1989 22:00:00;  2,08
05.04.1989 06:15:00;  5,45
25.05.1989 18:45:00;  10,6
23.06.1989 04:30:00;  21,2
03.07.1989 16:30:00;  16,6
18.08.1989 20:30:00;  9,15
03.09.1989 06:30:00;  3,53
01.10.1989 00:00:00;  2,52
04.11.1989 05:15:00;  3,13
19.12.1989 07:15:00;  8,66
28.01.1990 20:30:00;  1,97
15.02.1990 17:15:00;  3,18
25.03.1990 16:45:00;  2,36
30.04.1990 23:59:55;  2,36
25.05.1990 01:00:00;  12,4
06.06.1990 10:00:00;  17,1
01.07.1990 09:45:00;  12,4
17.08.1990 10:15:00;  9,86
24.09.1990 12:30:00;  4,83
04.10.1990 20:30:00;  6,99
23.11.1990 01:30:00;  5,09
01.12.1990 00:00:00;  1,95
07.01.1991 14:30:00;  1,61
19.02.1991 16:00:00;  1,27
24.03.1991 22:15:00;  2,69
17.04.1991 01:00:00;  2,62
31.05.1991 23:59:55;  5,93
17.06.1991 18:30:00;  55,0
14.07.1991 12:45:00;  20,1
01.08.1991 06:00:00;  9,59
30.09.1991 10:00:00;  20,4
01.10.1991 00:15:00;  17,7
04.11.1991 20:45:00;  3,12
22.12.1991 18:45:00;  4,28
01.01.1992 00:00:00;  1,82
13.02.1992 16:00:00;  1,60
23.03.1992 22:15:00;  2,13
29.04.1992 01:15:00;  10,9
16.05.1992 17:15:00;  15,4
20.06.1992 06:15:00;  21,7
05.07.1992 04:45:00;  14,9
01.08.1992 18:45:00;  9,98
01.09.1992 02:30:00;  33,4
05.10.1992 17:30:00;  6,27
22.11.1992 21:45:00;  2,98
03.12.1992 19:45:00;  2,80
13.01.1993 06:15:00;  1,64
24.02.1993 16:15:00;  1,48
24.03.1993 02:00:00;  1,84
29.04.1993 22:30:00;  4,76
27.05.1993 23:45:00;  11,5
23.06.1993 16:45:00;  13,0
11.07.1993 06:45:00;  17,5
01.08.1993 00:00:00;  6,69
14.09.1993 04:45:00;  33,3
14.10.1993 10:00:00;  45,2
01.11.1993 00:00:00;  4,94
01.12.1993 00:15:00;  2,84
08.01.1994 07:00:00;  3,38
03.02.1994 16:30:00;  2,02
26.03.1994 01:30:00;  2,35
30.04.1994 23:15:00;  4,00
18.05.1994 15:45:00;  14,7
04.06.1994 03:30:00;  16,9
25.07.1994 19:30:00;  26,4
02.08.1994 21:00:00;  11,4
14.09.1994 15:45:00;  23,9
03.10.1994 23:00:00;  4,28
11.11.1994 15:30:00;  2,75
01.12.1994 00:00:00;  1,95
01.01.1995 00:15:00;  1,64
21.02.1995 18:30:00;  1,22
27.03.1995 19:30:00;  1,26
23.04.1995 21:45:00;  4,70
30.05.1995 12:00:00;  22,1
22.06.1995 22:15:00;  18,2
03.07.1995 21:30:00;  25,1
09.08.1995 02:00:00;  7,80
13.09.1995 14:15:00;  11,8
01.10.1995 00:00:00;  3,69
02.11.1995 13:00:00;  2,13
01.12.1995 00:15:00;  1,36
11.01.1996 18:00:00;  1,17
01.02.1996 00:00:00; 0,953
26.03.1996 21:45:00;  1,23
30.04.1996 23:59:55;  3,04
19.05.1996 04:15:00;  20,8
22.06.1996 12:00:00;  13,5
08.07.1996 06:30:00;  42,9
28.08.1996 08:45:00;  30,6
02.09.1996 10:45:00;  6,72
21.10.1996 21:00:00;  7,68
13.11.1996 23:45:00;  9,31
01.12.1996 00:00:00;  4,15
04.01.1997 11:15:00;  2,51
26.02.1997 15:15:00;  2,23
07.03.1997 14:45:00;  1,86
27.04.1997 13:00:00;  2,55
21.05.1997 01:15:00;  15,7
22.06.1997 16:15:00;  40,5
05.07.1997 11:15:00;  22,0
28.08.1997 23:30:00;  29,5
13.09.1997 19:00:00;  6,95
11.10.1997 02:15:00;  3,02
07.11.1997 04:15:00;  30,6
22.12.1997 13:00:00;  2,68
09.01.1998 12:45:00;  2,23
20.02.1998 13:15:00;  1,63
31.03.1998 20:45:00;  1,92
27.04.1998 19:15:00;  7,51
13.05.1998 19:15:00;  13,7
08.06.1998 07:00:00;  32,5
14.07.1998 00:45:00;  26,4
02.08.1998 04:15:00;  10,6
12.09.1998 07:30:00;  28,2
07.10.1998 19:00:00;  14,3
04.11.1998 15:45:00;  4,19
02.12.1998 16:00:00;  2,39
19.01.1999 11:00:00;  1,88
22.02.1999 12:30:00;  1,68
27.03.1999 16:15:00;  2,06
30.04.1999 23:59:55;  7,49
28.05.1999 20:30:00;  23,5
03.06.1999 02:15:00;  35,5
06.07.1999 21:30:00;  18,9
10.08.1999 14:00:00;  15,7
20.09.1999 17:14:40;  38,4
25.10.1999 18:15:00;  25,0
01.11.1999 10:15:00;  4,56
01.12.1999 00:00:00;  2,11
11.01.2000 14:45:00;  1,46
01.02.2000 00:00:00;  1,18
29.03.2000 15:45:00;  1,62
29.04.2000 05:45:00;  9,22
10.05.2000 19:30:00;  17,6
13.06.2000 22:00:00;  14,2
25.07.2000 05:15:00;  17,5
03.08.2000 21:00:00;  16,7
21.09.2000 01:30:00;  30,0
13.10.2000 04:30:00;  54,1
14.11.2000 17:45:00;  21,9
01.12.2000 00:00:00;  5,12
07.01.2001 05:10:40;  2,94
09.02.2001 00:06:25;  2,73
24.03.2001 20:00:30;  5,06
29.04.2001 21:14:05;  6,47
29.05.2001 19:25:30;  18,0
10.06.2001 16:34:40;  32,3
16.07.2001 01:30:55;  41,3
04.08.2001 13:05:30;  23,8
01.09.2001 00:00:00;  11,1
01.10.2001 09:14:00;  5,45
03.11.2001 17:04:40;  3,10
01.12.2001 17:06:50;  2,24
12.01.2002 15:25:15;  1,70
27.02.2002 16:44:10;  1,40
20.03.2002 02:03:00;  3,08
27.04.2002 13:49:15;  3,93
04.05.2002 09:31:35;  20,7
06.06.2002 07:46:10;  16,4
13.07.2002 21:05:30;  14,2
21.08.2002 00:43:45;  13,3
01.09.2002 19:07:40;  4,88
17.10.2002 19:00:20;  15,6
16.11.2002 17:56:40;  43,0
01.12.2002 00:00:00;  7,24
01.01.2003 00:00:00;  3,00
01.02.2003 00:00:00;  2,24
31.03.2003 02:01:25;  2,10
30.04.2003 23:59:55;  12,9
01.05.2003 02:04:40;  13,0
17.06.2003 20:20:30;  20,4
01.07.2003 21:18:50;  18,2
29.08.2003 12:58:00;  13,5
01.09.2003 00:00:00;  5,38
05.10.2003 02:05:15;  4,96
01.11.2003 08:51:45;  8,90
02.12.2003 18:52:25;  2,51
01.01.2004 15:56:45;  1,73
22.02.2004 19:51:55;  1,96
22.03.2004 05:34:30;  2,34
30.04.2004 00:12:35;  3,97
22.05.2004 01:41:20;  10,1
11.06.2004 21:52:30;  19,1
09.07.2004 07:10:25;  36,0
20.08.2004 12:31:35;  13,5
14.09.2004 23:55:40;  6,55
27.10.2004 11:16:45;  14,2
02.11.2004 02:56:00;  30,3
01.12.2004 00:00:00;  2,35
01.01.2005 00:00:00;  1,42
13.02.2005 03:57:15;  1,33
21.03.2005 17:55:25;  2,63
30.04.2005 23:59:55;  3,77
31.05.2005 04:10:25;  14,4
01.06.2005 00:00:00;  11,1
31.07.2005 02:15:00;  22,0
23.08.2005 09:30:00;  18,1
17.09.2005 02:30:00;  5,91
04.10.2005 03:45:00;  7,18
05.11.2005 19:00:00;  2,72
03.12.2005 15:00:00;  1,86
03.01.2006 11:00:00;  1,66
08.02.2006 22:30:00;  1,54
28.03.2006 19:15:00;  3,04
28.04.2006 22:15:00;  5,23
19.05.2006 02:15:00;  14,6
25.06.2006 20:45:00;  17,5
21.07.2006 21:30:00;  8,09
18.08.2006 08:00:00;  10,3
15.09.2006 19:30:00;  9,46
04.10.2006 02:00:00;  34,6
05.11.2006 00:00:00;  2,77
09.12.2006 10:30:00;  2,90
01.01.2007 16:45:00;  1,79
21.02.2007 17:30:00;  1,48
17.03.2007 18:45:00;  1,90
27.04.2007 20:00:00;  5,37
27.05.2007 04:00:00;  13,1
16.06.2007 00:00:00;  20,0
02.07.2007 17:15:00;  34,5
09.08.2007 18:45:00;  14,2
18.09.2007 17:45:00;  9,23
06.10.2007 14:00:00;  5,27
24.11.2007 06:45:00;  3,23
07.12.2007 22:45:00;  2,08
12.01.2008 14:45:00;  1,76
08.02.2008 17:00:00;  1,51
02.03.2008 18:15:00;  1,67
29.04.2008 09:00:00;  3,21
28.05.2008 18:30:00;  22,6
06.06.2008 20:15:00;  15,6
13.07.2008 12:45:00;  46,3
08.08.2008 21:30:00;  20,9
07.09.2008 17:15:00;  34,2
30.10.2008 01:30:00;  23,0
05.11.2008 06:15:00;  11,8
05.12.2008 19:15:00;  3,38
20.01.2009 11:00:00;  1,73
06.02.2009 17:45:00;  1,84
27.03.2009 18:45:00;  1,78
28.04.2009 08:00:00;  6,34
26.05.2009 23:00:00;  17,6
06.06.2009 22:00:00;  22,1
18.07.2009 03:15:00;  27,8
04.08.2009 06:30:00;  13,3
05.09.2009 02:45:00;  6,79
22.10.2009 18:00:00;  3,86
30.11.2009 12:45:00;  3,46
01.12.2009 00:00:00;  2,91
01.01.2010 00:00:00;  1,62
19.02.2010 22:30:00;  1,49
26.03.2010 20:45:00;  2,26
30.04.2010 22:30:00;  4,72
26.05.2010 20:45:00;  14,6
14.06.2010 04:15:00;  22,6
24.07.2010 01:30:00;  19,8
15.08.2010 07:45:00;  24,0
13.09.2010 08:15:00;  10,8
05.10.2010 13:30:00;  7,84
16.11.2010 10:30:00;  6,60
24.12.2010 08:00:00;  3,53
15.01.2011 18:30:00;  1,98
15.02.2011 17:00:00;  1,39
17.03.2011 19:00:00;  1,93
25.04.2011 21:30:00;  2,92
27.05.2011 18:00:00;  21,1
18.06.2011 19:00:00;  39,3
17.07.2011 23:15:00;  33,2
07.08.2011 21:30:00;  21,6
18.09.2011 19:45:00;  19,6
10.10.2011 16:45:00;  13,5
05.11.2011 07:15:00;  3,88
12.12.2011 08:00:00;  2,15
08.01.2012 18:00:00;  1,53
16.02.2012 14:45:00;  1,31
30.03.2012 16:45:00;  2,60
29.04.2012 20:30:00;  12,0
11.05.2012 19:00:00;  13,9
04.06.2012 05:45:00;  29,9
02.07.2012 17:30:00;  23,5
26.08.2012 03:15:00;  20,4
27.09.2012 06:30:00;  42,8
01.10.2012 00:00:00;  6,24
11.11.2012 12:30:00;  14,8
01.12.2012 00:45:00;  3,02
05.01.2013 16:15:00;  2,49
02.02.2013 09:15:00;  1,68
09.03.2013 20:45:00;  1,63
29.04.2013 19:30:00;  13,2
02.05.2013 19:30:00;  15,4
