Messstelle:                ;Siegersdorf
27.08.1971 12:00:00; 0,530
29.09.1971 12:00:00;  1,12
24.10.1971 12:00:00;  3,52
13.11.1971 12:00:00; 0,780
09.12.1971 12:00:00;  4,77
07.01.1972 12:00:00; 0,640
16.02.1972 12:00:00;  8,52
01.03.1972 12:00:00;  2,98
16.04.1972 12:00:00;  26,6
20.05.1972 12:00:00;  40,3
01.06.1972 12:00:00;  3,11
14.07.1972 12:00:00;  96,0
03.08.1972 12:00:00;  2,86
10.09.1972 12:00:00;  1,25
26.10.1972 12:00:00;  1,00
19.11.1972 12:00:00; 0,780
20.12.1972 12:00:00;  1,12
31.01.1973 12:00:00;  1,35
28.02.1973 12:00:00;  28,0
07.03.1973 12:00:00;  12,1
21.04.1973 12:00:00;  60,0
01.05.1973 12:00:00;  3,50
24.06.1973 12:00:00;  27,5
01.07.1973 12:00:00;  1,18
30.08.1973 12:00:00; 0,880
20.09.1973 12:00:00;  3,11
24.10.1973 12:00:00; 0,820
16.11.1973 12:00:00;  2,04
09.12.1973 12:00:00;  1,73
19.01.1974 12:00:00;  30,0
01.02.1974 12:00:00; 0,940
07.03.1974 12:00:00; 0,730
27.04.1974 12:00:00; 0,820
06.05.1974 12:00:00;  22,7
13.06.1974 12:00:00;  19,6
12.07.1974 12:00:00;  3,26
16.08.1974 12:00:00;  3,50
25.09.1974 12:00:00;  3,26
22.10.1974 12:00:00;  2,00
28.11.1974 12:00:00;  1,47
09.12.1974 12:00:00;  10,9
02.01.1975 12:00:00;  1,64
03.02.1975 12:00:00;  3,25
31.03.1975 12:00:00; 0,940
14.04.1975 12:00:00;  4,42
16.05.1975 12:00:00;  2,98
09.06.1975 12:00:00;  7,62
02.07.1975 12:00:00;   175
02.08.1975 12:00:00;  3,80
22.09.1975 12:00:00; 0,990
18.10.1975 12:00:00; 0,780
27.11.1975 12:00:00; 0,600
29.12.1975 12:00:00; 0,990
01.01.1976 00:00:00; Lücke
14.01.1976 13:00:00;  14,2
08.02.1976 02:00:00;  3,40
01.03.1976 13:30:00;  1,25
27.04.1976 08:30:00;  2,67
27.05.1976 05:00:00;  3,43
03.06.1976 18:00:00;  3,04
01.07.1976 00:00:00; Lücke
24.07.1976 16:00:00;  2,08
25.07.1976 00:00:05;  1,13
21.08.1976 15:00:00;  5,05
18.09.1976 14:00:00;  4,71
17.10.1976 20:00:00;  2,96
15.11.1976 01:00:00;  6,29
02.12.1976 22:30:00;  18,0
30.01.1977 04:00:00;  5,43
06.02.1977 14:00:00;  9,60
03.03.1977 06:00:00;  6,73
13.04.1977 20:30:00;  21,0
01.05.1977 00:00:00;  2,11
22.06.1977 21:30:00;  4,32
21.07.1977 13:00:00;  1,37
02.08.1977 10:30:00;  38,6
09.09.1977 18:00:00;  1,62
12.10.1977 06:30:00;  1,11
01.11.1977 15:00:00; 0,570
13.12.1977 03:00:00;  5,64
06.01.1978 15:00:00;  2,46
27.02.1978 04:30:00;  13,7
01.03.1978 00:00:00;  5,78
18.04.1978 07:30:00;  2,02
30.05.1978 16:30:00;  10,8
12.06.1978 07:00:00;  3,50
05.07.1978 20:30:00;  2,39
18.08.1978 19:30:00; 0,515
11.09.1978 14:00:00;  2,05
26.10.1978 17:30:00; 0,544
05.11.1978 15:00:00; 0,376
10.12.1978 11:30:00;  3,15
02.01.1979 12:30:00; 0,548
08.02.1979 22:30:00;  8,68
12.03.1979 07:30:00;  21,6
28.04.1979 17:00:00;  24,9
06.05.1979 17:00:00;  5,60
25.06.1979 20:30:00;  13,8
14.07.1979 08:30:00;  6,73
08.08.1979 21:00:00;  13,1
24.09.1979 19:30:00;  4,27
18.10.1979 21:30:00; 0,596
27.11.1979 17:30:00;  56,7
01.12.1979 00:00:00;  2,95
14.01.1980 09:00:00;  3,55
17.02.1980 18:30:00;  4,71
10.03.1980 17:00:00;  2,11
09.04.1980 20:00:00;  19,2
01.05.1980 00:00:00;  6,55
24.06.1980 13:30:00;  5,36
22.07.1980 21:00:00;  1,45
08.08.1980 20:30:00;  1,84
01.09.1980 23:30:00;  2,36
14.10.1980 17:30:00;  3,54
16.11.1980 15:00:00;  1,78
15.12.1980 20:30:00;  15,4
10.01.1981 11:30:00;  3,72
08.02.1981 09:30:00;  3,29
01.03.1981 07:00:00;  1,61
13.04.1981 15:00:00;  4,27
05.05.1981 06:00:00;  5,37
24.06.1981 13:30:00;  2,41
08.07.1981 16:30:00;  2,27
28.08.1981 11:00:00;  5,29
30.09.1981 18:00:00;  17,1
01.10.1981 00:00:00;  6,62
14.11.1981 06:00:00;  3,11
17.12.1981 08:30:00;  5,44
02.01.1982 08:00:00;  29,5
01.02.1982 00:00:00;  5,70
25.03.1982 13:00:00;  6,12
06.04.1982 18:00:00;  5,40
29.05.1982 09:00:00;  13,0
28.06.1982 08:00:00;  5,33
05.07.1982 12:00:00;  3,84
05.08.1982 15:00:00;  3,83
24.09.1982 09:00:00; 0,974
07.10.1982 01:30:00;  2,17
20.11.1982 06:00:00; 0,882
28.12.1982 14:30:00;  3,30
04.01.1983 04:00:00;  18,1
28.02.1983 14:30:00;  10,5
01.03.1983 00:00:00;  5,15
30.04.1983 04:00:00;  1,39
09.05.1983 18:00:00;  4,68
22.06.1983 21:30:00;  8,81
18.07.1983 02:30:00;  3,77
08.08.1983 15:00:00; 0,637
11.09.1983 14:00:00; 0,622
12.10.1983 00:00:00; 0,786
10.11.1983 19:30:00; 0,413
24.12.1983 19:30:00;  1,49
19.01.1984 11:30:00;  4,66
07.02.1984 18:30:00; 0,801
31.03.1984 05:30:00;  2,89
10.04.1984 06:30:00;  11,2
23.05.1984 22:30:00;  22,3
29.06.1984 11:30:00;  2,28
05.07.1984 01:00:00;  4,10
13.08.1984 08:00:00;  1,75
24.09.1984 14:30:00;  2,90
07.10.1984 16:30:00;  6,25
27.11.1984 16:30:00; 0,983
21.12.1984 17:00:00; 0,431
31.01.1985 23:59:55;  1,86
01.02.1985 09:00:00;  10,8
22.03.1985 17:00:00;  25,4
01.04.1985 12:00:00;  3,81
13.05.1985 15:00:00;  3,82
07.06.1985 17:00:00;  3,94
02.07.1985 19:30:00;  2,04
07.08.1985 06:00:00;  26,5
09.09.1985 20:30:00;  2,18
26.10.1985 03:30:00; 0,892
26.11.1985 07:11:15; 0,519
18.12.1985 12:30:00;  16,0
14.01.1986 23:00:00;  22,2
01.02.1986 21:30:00;  1,65
13.03.1986 19:00:00;  7,68
01.04.1986 00:00:00;  2,56
28.05.1986 23:30:00;  1,99
16.06.1986 03:30:00;  7,63
19.07.1986 20:45:00;  6,47
05.08.1986 09:45:00;  2,20
10.09.1986 16:45:00;  2,03
27.10.1986 15:00:00;  2,55
24.11.1986 08:45:00;  1,66
30.12.1986 13:00:00;  2,64
02.01.1987 12:45:00;  2,00
09.02.1987 17:15:00;  39,9
02.03.1987 22:45:00;  8,82
03.04.1987 19:30:00;  7,15
22.05.1987 13:15:00;  21,3
22.06.1987 10:00:00;  29,4
23.07.1987 23:30:00;  9,72
14.08.1987 22:15:00;  4,98
28.09.1987 07:00:00;  4,66
18.10.1987 11:45:00; 0,788
27.11.1987 15:15:00;  1,08
18.12.1987 17:15:00;  12,7
30.01.1988 13:15:00;  1,79
01.02.1988 00:00:00;  1,50
21.03.1988 20:30:00;  18,1
13.04.1988 21:30:00;  13,6
21.05.1988 05:15:00;  4,66
06.06.1988 11:00:00;  6,02
07.07.1988 22:15:00;  4,66
23.08.1988 20:00:00;  1,16
16.09.1988 13:00:00;  6,39
29.10.1988 16:00:00; 0,788
30.11.1988 02:15:00;  3,06
11.12.1988 21:45:00;  6,57
09.01.1989 02:45:00;  5,84
21.02.1989 18:45:00;  2,80
19.03.1989 02:45:00;  1,42
30.04.1989 23:59:55;  6,77
01.05.1989 10:00:00;  49,1
18.06.1989 20:00:00;  49,1
04.07.1989 23:15:00;  13,7
30.08.1989 07:15:00;  13,5
05.09.1989 07:45:00;  42,5
03.10.1989 09:30:00;  1,90
07.11.1989 00:30:00;  3,46
16.12.1989 03:30:00;  1,42
05.01.1990 19:00:00; 0,600
15.02.1990 20:45:00;  3,19
28.03.1990 15:15:00;  3,19
08.04.1990 13:45:00;  6,57
11.05.1990 17:30:00;  2,44
23.06.1990 00:45:00;  2,33
10.07.1990 11:00:00;  3,60
09.08.1990 10:45:00;  1,00
24.09.1990 18:30:00;  1,42
02.10.1990 12:15:00;  1,79
20.11.1990 11:45:00;  1,42
31.12.1990 23:59:55;  2,81
01.01.1991 03:15:00;  2,93
25.02.1991 00:15:00;  1,60
13.03.1991 07:45:00; 0,930
01.04.1991 05:00:00;  1,33
18.05.1991 11:00:00;   109
13.06.1991 12:00:00;  2,80
28.07.1991 09:30:00;  8,39
04.08.1991 18:30:00;  93,7
01.09.1991 00:00:00; 0,997
07.10.1991 11:00:00;  4,34
17.11.1991 04:15:00;  1,70
23.12.1991 12:00:00;  8,18
06.01.1992 09:45:00;  1,79
07.02.1992 10:30:00;  2,22
21.03.1992 09:30:00;  17,2
06.04.1992 01:45:00;  2,44
11.05.1992 17:45:00;  8,61
14.06.1992 02:15:00;  13,2
15.07.1992 14:30:00;  4,98
01.08.1992 01:15:00; 0,553
01.09.1992 13:30:00;  1,08
12.10.1992 08:45:00;  3,60
23.11.1992 10:15:00;  3,89
06.12.1992 09:15:00;  1,60
26.01.1993 01:45:00; 0,725
07.02.1993 15:30:00;  1,42
17.03.1993 16:45:00;  20,3
02.04.1993 02:45:00;  2,33
28.05.1993 06:00:00;  3,06
15.06.1993 17:30:00;  1,33
25.07.1993 21:45:00;  1,33
31.08.1993 16:30:00;  2,22
01.09.1993 15:45:00;  1,24
24.10.1993 08:15:00;  8,39
06.11.1993 12:00:00; 0,553
21.12.1993 15:30:00;  3,60
01.01.1994 16:00:00;  6,20
26.02.1994 12:15:00; 0,788
23.03.1994 11:15:00;  2,10
18.04.1994 09:15:00;  70,3
05.05.1994 04:00:00;  1,60
20.06.1994 20:15:00;  2,33
19.07.1994 18:30:00;  6,02
24.08.1994 00:45:00; 0,374
01.09.1994 12:15:00; 0,506
24.10.1994 17:30:00; 0,506
10.11.1994 13:30:00;  2,00
29.12.1994 05:15:00;  1,60
26.01.1995 09:00:00;  2,10
17.02.1995 02:30:00;  1,08
26.03.1995 17:15:00;  1,79
03.04.1995 09:45:00;  7,76
01.05.1995 00:00:00;  1,54
27.06.1995 05:15:00;  3,75
28.07.1995 05:30:00;  1,24
30.08.1995 19:45:00;  1,60
15.09.1995 11:45:00;  11,0
02.10.1995 08:15:00; 0,725
18.11.1995 04:45:00;  1,60
24.12.1995 19:30:00;  4,82
14.01.1996 02:30:00;  2,33
17.02.1996 20:00:00;  1,90
25.03.1996 01:15:00;  4,98
08.04.1996 17:00:00;  24,1
14.05.1996 04:45:00;  35,0
22.06.1996 23:00:00;  4,98
16.07.1996 11:15:00;  1,79
03.08.1996 18:15:00;  1,00
24.09.1996 12:30:00;  12,4
22.10.1996 08:00:00;  62,4
14.11.1996 22:15:00;  3,06
01.12.1996 00:00:00;  1,07
01.01.1997 03:20:20; 0,895
14.02.1997 01:46:30;  1,95
17.03.1997 12:15:45;  24,2
06.04.1997 13:22:40;  3,77
22.05.1997 22:14:50;  4,65
23.06.1997 12:07:10;  1,96
08.07.1997 03:48:05;   183
01.08.1997 07:40:30;  4,01
20.09.1997 04:15:45;  1,35
02.10.1997 15:26:50;  1,07
14.11.1997 18:48:30;  5,64
12.12.1997 13:30:10;  5,03
04.01.1998 07:34:50;  1,28
13.02.1998 08:41:20;  5,59
18.03.1998 00:07:50;  18,4
06.04.1998 18:54:05;  1,59
02.05.1998 18:43:45;  2,55
13.06.1998 17:33:00;  6,95
07.07.1998 22:45:20;  5,46
14.08.1998 00:00:20; 0,856
06.09.1998 17:41:05;  5,20
29.10.1998 10:06:45;  2,37
11.11.1998 03:20:05;  6,69
15.12.1998 04:39:10;  17,0
05.01.1999 17:21:05;  1,17
20.02.1999 22:31:50;  23,5
02.03.1999 20:05:45;  9,99
13.04.1999 15:01:30;  1,95
21.05.1999 13:05:15;  59,1
23.06.1999 02:57:20;  11,3
10.07.1999 18:36:35;  85,0
29.08.1999 15:55:25;  2,01
02.09.1999 19:52:15;  26,0
05.10.1999 20:46:45; 0,909
10.11.1999 11:52:55;  1,65
19.12.1999 20:10:30;  1,04
30.01.2000 10:28:45;  10,1
01.02.2000 00:00:00;  8,27
31.03.2000 18:30:35;  2,81
02.04.2000 08:50:20;  3,27
18.05.2000 20:15:45;  1,85
06.06.2000 22:20:00;  4,11
31.07.2000 16:44:40; 0,467
06.08.2000 09:52:50;  3,63
16.09.2000 21:03:25;  11,4
08.10.2000 00:33:40; 0,516
21.11.2000 09:56:15;  1,09
28.12.2000 16:31:10; 0,657
09.01.2001 05:20:00;  2,10
07.02.2001 00:40:10;  1,58
24.03.2001 14:12:45;  2,30
09.04.2001 13:00:40;  1,70
15.05.2001 22:13:30;  2,21
11.06.2001 19:49:45; 0,845
21.07.2001 15:55:35;  2,35
20.08.2001 17:50:35;  1,56
18.09.2001 06:18:25;  19,6
01.10.2001 00:00:00; 0,788
27.11.2001 09:40:55;  1,99
30.12.2001 07:55:15;  11,9
22.01.2002 04:55:20;  3,24
14.02.2002 12:52:30;  2,80
21.03.2002 13:33:10;  27,1
01.04.2002 06:15:25;  1,82
01.05.2002 00:00:00;  1,06
07.06.2002 04:09:35;  34,7
17.07.2002 16:12:10;  4,79
13.08.2002 06:29:00;  73,6
25.09.2002 10:48:00;  1,52
18.10.2002 13:17:20;  15,5
12.11.2002 00:19:00;  4,75
23.12.2002 16:54:50;  11,3
28.01.2003 20:10:10;  11,0
01.02.2003 02:08:05;  3,90
03.03.2003 15:35:25;  7,33
02.04.2003 08:22:30;  1,90
14.05.2003 11:52:35;  2,15
15.06.2003 18:33:15; 0,928
18.07.2003 04:59:50; 0,680
01.08.2003 00:00:00; 0,466
13.09.2003 21:23:30;  1,69
05.10.2003 11:46:55; 0,395
03.11.2003 01:10:00; 0,539
31.12.2003 23:59:55; 0,500
14.01.2004 11:06:20;  2,18
03.02.2004 13:21:30;  4,41
25.03.2004 03:36:20;  12,7
01.04.2004 01:38:15;  5,90
16.05.2004 11:55:15;  2,80
04.06.2004 06:29:45;  11,9
01.07.2004 23:53:25;  1,53
01.08.2004 15:53:30; 0,626
24.09.2004 07:16:25;  2,09
09.10.2004 12:47:05; 0,450
09.11.2004 23:27:15;  1,03
27.12.2004 15:21:10; 0,509
22.01.2005 02:12:05;  1,15
13.02.2005 07:07:00;  8,96
18.03.2005 19:45:00;  13,4
21.04.2005 03:25:45;  2,16
19.05.2005 10:56:50;  6,82
04.06.2005 23:28:10;  2,09
10.07.2005 06:55:55;  8,36
22.08.2005 15:05:00;  7,65
18.09.2005 03:00:55;  1,62
01.10.2005 00:00:00; 0,969
26.11.2005 09:14:55; 0,565
17.12.2005 05:52:15;  1,52
12.01.2006 10:35:35;  1,76
21.02.2006 22:53:10;  5,97
29.03.2006 12:01:20;  17,7
30.04.2006 23:59:55;  7,77
01.05.2006 06:43:25;  15,0
03.06.2006 08:48:35;  77,3
01.07.2006 08:20:55;  3,58
07.08.2006 23:30:55;   125
08.09.2006 10:18:45;  2,84
01.10.2006 00:00:00; 0,558
22.11.2006 13:15:00; 0,596
06.12.2006 13:50:00; 0,443
19.01.2007 22:45:00;  1,36
16.02.2007 16:15:00; 0,995
24.03.2007 00:40:00;  12,5
01.04.2007 00:35:00;  2,45
10.05.2007 05:55:00;  5,39
02.06.2007 23:50:00;  3,21
09.07.2007 23:05:00; 0,819
11.08.2007 14:50:00;  3,09
07.09.2007 08:05:00;  91,6
28.10.2007 18:35:00;  20,1
25.11.2007 19:05:00;  5,53
12.12.2007 11:10:00;  20,3
19.01.2008 17:30:00;  2,96
01.02.2008 00:35:00;  1,72
15.03.2008 03:20:00;  3,61
22.04.2008 22:25:00;  7,05
06.05.2008 14:35:00;  4,12
25.06.2008 23:30:00;  4,55
24.07.2008 04:25:00;  17,9
16.08.2008 08:10:00;  6,54
16.09.2008 22:15:00;  10,5
04.10.2008 05:00:00;  3,37
21.11.2008 18:20:00;  4,73
23.12.2008 01:05:00;  4,42
24.01.2009 02:00:00;  3,10
28.02.2009 18:25:00;  12,8
07.03.2009 15:05:00;  24,5
01.04.2009 00:05:00;  8,64
30.05.2009 14:45:00;  9,97
24.06.2009 04:30:00;   104
06.07.2009 17:35:00;   132
04.08.2009 21:40:00;  3,83
04.09.2009 20:45:00;  1,64
17.10.2009 23:25:00;  1,18
03.11.2009 18:30:00;  2,78
11.12.2009 23:45:00;  4,35
19.01.2010 22:10:00;  1,64
26.02.2010 22:25:00;  4,76
01.03.2010 17:50:00;  2,91
15.04.2010 06:40:00;  13,2
16.05.2010 10:00:00;  40,2
02.06.2010 12:50:00;  77,3
18.07.2010 02:15:00;  11,9
07.08.2010 17:45:00;  15,5
26.09.2010 08:00:00;  8,96
17.10.2010 23:30:00;  1,99
13.11.2010 08:15:00;  1,23
09.12.2010 12:40:00;  3,49
13.01.2011 21:40:00;  12,7
05.02.2011 21:35:00;  3,02
19.03.2011 00:20:00;  20,3
12.04.2011 20:20:00;  1,37
28.05.2011 01:40:00;  4,22
08.06.2011 20:15:00;  30,9
21.07.2011 10:15:00;  4,29
04.08.2011 11:00:00;  5,35
20.09.2011 04:00:00;  3,26
13.10.2011 02:55:00;  21,7
10.11.2011 08:45:00;  1,65
17.12.2011 08:45:00; 0,791
22.01.2012 06:40:00;  7,27
29.02.2012 10:00:00;  2,62
01.03.2012 00:20:00;  2,11
17.04.2012 02:10:00;  5,47
04.05.2012 01:55:00;  2,55
21.06.2012 00:40:00;  5,60
25.07.2012 13:50:00;  13,9
05.08.2012 02:05:00;  1,77
13.09.2012 05:20:00;  4,43
16.10.2012 13:45:00; 0,506
05.11.2012 13:35:00;  2,87
23.12.2012 21:35:00;  11,2
30.01.2013 06:40:00;  44,1
02.02.2013 18:00:00;  7,86
07.03.2013 20:45:00;  8,90
10.04.2013 21:00:00;  7,84
14.05.2013 03:20:00;  8,78
11.06.2013 09:50:00;  69,5
05.07.2013 22:20:00;  21,5
28.08.2013 13:05:00;  3,26
17.09.2013 05:10:00;  6,66
11.10.2013 15:00:00;  1,39
24.11.2013 19:00:00;  14,0
10.12.2013 04:10:00;  1,34
22.01.2014 17:20:00;  1,90
09.02.2014 19:50:00;  1,62
15.03.2014 20:30:00; 0,678
24.04.2014 23:45:00;  2,22
16.05.2014 12:35:00;  66,3
30.06.2014 22:00:00;  4,49
02.07.2014 18:05:00;  3,46
03.08.2014 18:40:00;  10,2
13.09.2014 09:25:00;  26,4
23.10.2014 21:40:00;  12,3
08.11.2014 19:20:00;  1,49
08.12.2014 00:00:00;  4,86
10.01.2015 10:10:00;  9,54
24.02.2015 20:55:00;  9,03
02.03.2015 18:45:00;  7,49
17.04.2015 22:00:00;  3,43
23.05.2015 16:35:00;  32,0
19.06.2015 12:25:00;  4,91
08.07.2015 20:30:00;  3,24
17.08.2015 06:55:00;  6,43
04.09.2015 02:40:00;  1,85
20.10.2015 08:40:00;  11,4
21.11.2015 07:55:00;  1,59
10.12.2015 15:30:00;  1,06
25.01.2016 21:40:00;  5,57
19.02.2016 13:25:00;  9,53
17.03.2016 22:35:00;  3,72
09.04.2016 00:10:00;  3,84
04.05.2016 12:10:00;  17,0
20.06.2016 20:30:00;  16,2
28.07.2016 01:45:00;  28,2
10.08.2016 16:00:00;  2,93
06.09.2016 17:50:00;  7,88
04.10.2016 17:15:00;  8,21
16.11.2016 15:30:00;  11,7
28.12.2016 14:30:00;  7,05
01.01.2017 16:05:00;  1,55
21.02.2017 17:50:00;  10,3
19.03.2017 13:55:00;  8,06
22.04.2017 22:45:00;  14,2
09.05.2017 12:35:00;  9,57
01.06.2017 00:00:00;  2,53
27.07.2017 12:00:00;  5,03
11.08.2017 03:40:00;  1,65
20.09.2017 09:05:00;  17,0
29.10.2017 19:40:00;  1,95
21.11.2017 23:10:00;  1,00
21.12.2017 23:55:00;  5,34
05.01.2018 09:00:00;  3,39
16.02.2018 20:15:00;  1,41
08.03.2018 20:20:00;  4,66
01.04.2018 08:55:00;  2,70
03.05.2018 00:35:00;  6,97
28.06.2018 11:05:00;  16,3
21.07.2018 19:20:00;  13,4
24.08.2018 19:55:00;  2,36
