Messstelle:                ;Piringsdorf (Pfarrbrücke)
14.11.1982 08:00:00;  1,60
19.12.1982 08:00:00;  4,47
06.01.1983 12:00:00;  1,08
01.02.1983 00:00:00; 0,757
08.03.1983 08:00:00; 0,711
01.04.1983 00:00:00; 0,711
09.05.1983 08:00:00; 0,502
28.06.1983 16:00:00; 0,543
19.07.1983 16:00:00; 0,502
03.08.1983 08:00:00; 0,502
03.09.1983 18:00:00; 0,987
12.10.1983 08:00:00; 0,461
28.11.1983 08:00:00; 0,987
20.12.1983 12:00:00;  1,18
01.01.1984 00:00:00; 0,429
27.02.1984 16:00:00; 0,642
30.03.1984 18:00:00;  1,49
04.04.1984 08:00:00;  2,57
30.05.1984 18:00:00;  6,06
01.06.1984 00:00:00;  1,78
01.07.1984 00:00:00; 0,367
10.08.1984 08:00:00; 0,876
24.09.1984 08:00:00;  2,11
04.10.1984 08:00:00; 0,895
20.11.1984 08:00:00; 0,666
01.12.1984 00:00:00; 0,393
28.01.1985 08:00:00; 0,479
02.02.1985 16:00:00; 0,666
23.03.1985 18:00:00;  6,99
01.04.1985 00:00:00;  2,26
07.05.1985 18:00:00;  2,20
08.06.1985 08:00:00;  3,21
01.07.1985 20:00:00; 0,745
07.08.1985 08:00:00;  2,25
03.09.1985 08:00:00; 0,293
01.10.1985 00:00:00; 0,223
02.11.1985 10:00:00; 0,858
30.12.1985 08:00:00;  1,09
01.01.1986 00:00:00; 0,744
23.02.1986 08:00:00; 0,546
30.03.1986 08:00:00;  2,98
01.04.1986 00:00:00;  2,98
30.05.1986 08:00:00;  1,96
20.06.1986 18:00:00;  1,16
01.07.1986 00:00:00; 0,370
17.08.1986 20:00:00;  1,49
10.09.1986 18:00:00;  1,06
28.10.1986 08:00:00; 0,370
24.11.1986 08:00:00;  1,94
18.12.1986 08:00:00; 0,412
05.01.1987 12:00:00;  1,16
21.02.1987 01:00:00;  5,57
29.03.1987 06:15:00;  3,02
01.04.1987 21:15:00;  2,34
04.05.1987 01:30:00;  9,64
24.06.1987 22:30:00;  14,6
13.07.1987 15:00:00;  3,81
04.08.1987 19:45:00;  4,76
30.09.1987 23:59:55; 0,635
01.10.1987 00:09:55; 0,637
23.11.1987 09:00:00; 0,504
13.12.1987 08:00:00;  1,23
30.01.1988 15:00:00;  1,01
01.02.1988 00:00:00; 0,673
25.03.1988 00:00:00;  1,66
01.04.1988 00:00:00;  1,29
20.05.1988 19:45:00;  1,37
06.06.1988 11:45:00;  2,25
14.07.1988 20:15:00; 0,559
09.08.1988 19:45:00;  2,90
03.09.1988 00:30:00;  2,06
31.10.1988 23:59:55; 0,470
15.11.1988 19:45:00; 0,559
25.12.1988 07:45:00; 0,598
27.01.1989 00:00:00; 0,563
26.02.1989 18:00:00; 0,915
14.03.1989 00:30:00; 0,528
02.04.1989 02:45:00;  1,56
01.05.1989 09:45:00;  1,85
23.06.1989 17:15:00;  4,09
31.07.1989 13:30:00;  7,33
01.08.1989 00:00:00;  4,56
05.09.1989 13:00:00;  2,19
03.10.1989 14:45:00; 0,962
07.11.1989 01:45:00;  1,45
18.12.1989 05:30:00; 0,461
05.01.1990 00:00:00;  1,05
27.02.1990 11:30:00; 0,517
28.03.1990 10:30:00;  1,10
23.04.1990 17:15:00;  1,81
18.05.1990 12:45:00;  1,20
21.06.1990 17:30:00;  2,73
10.07.1990 18:45:00;  1,60
06.08.1990 23:00:00; 0,517
24.09.1990 15:00:00; 0,900
28.10.1990 04:15:00; 0,993
01.11.1990 16:30:00; 0,727
10.12.1990 16:30:00;  1,10
16.01.1991 00:00:00;  1,06
24.02.1991 22:30:00;  1,52
08.03.1991 21:15:00;  1,03
14.04.1991 12:45:00; 0,770
18.05.1991 14:00:00;  20,4
28.06.1991 05:45:00;  9,76
28.07.1991 23:15:00;  8,50
03.08.1991 19:00:00;  6,97
15.09.1991 23:45:00;  55,9
01.10.1991 00:00:00; 0,909
16.11.1991 23:00:00;  8,91
23.12.1991 14:45:00;  2,14
10.01.1992 21:15:00;  1,10
19.02.1992 10:45:00;  1,10
27.03.1992 15:15:00;  2,72
01.04.1992 00:15:00;  1,10
11.05.1992 23:45:00; 0,819
12.06.1992 20:15:00;  8,50
03.07.1992 15:15:00; 0,819
02.08.1992 01:15:00; 0,999
29.09.1992 19:15:00;  1,21
06.10.1992 01:15:00;  1,92
17.11.1992 03:30:00;  2,26
06.12.1992 02:00:00;  7,90
09.01.1993 08:30:00; 0,909
17.02.1993 09:45:00; 0,743
18.03.1993 16:30:00;  1,03
12.04.1993 00:00:00; 0,847
03.05.1993 18:30:00; 0,819
21.06.1993 21:30:00;  2,72
19.07.1993 19:45:00;  4,59
11.08.1993 00:45:00; 0,743
29.09.1993 16:15:00; 0,562
23.10.1993 23:30:00;  3,21
06.11.1993 13:15:00; 0,909
25.12.1993 01:30:00;  1,10
05.01.1994 06:00:00;  1,92
21.02.1994 00:15:00; 0,627
17.03.1994 14:00:00; 0,486
18.04.1994 08:00:00;  2,96
30.05.1994 15:15:00;  2,37
20.06.1994 09:15:00;  2,60
18.07.1994 20:45:00;  1,51
08.08.1994 21:45:00;  1,31
03.09.1994 14:00:00;  1,71
24.10.1994 23:30:00;  1,51
11.11.1994 17:15:00; 0,999
11.12.1994 16:15:00; 0,667
27.01.1995 08:00:00; 0,539
27.02.1995 17:15:00;  1,41
04.03.1995 23:00:00;  3,59
25.04.1995 14:30:00;  1,31
13.05.1995 07:30:00;  2,60
07.06.1995 05:30:00;  5,52
01.07.1995 12:45:00;  1,21
09.08.1995 17:15:00;  2,14
15.09.1995 08:00:00;  2,32
01.10.1995 12:30:00; 0,390
18.11.1995 04:30:00; 0,627
23.12.1995 21:30:00;  2,06
11.01.1996 16:30:00;  4,12
16.02.1996 15:45:00; 0,693
25.03.1996 19:30:00;  5,59
05.04.1996 19:00:00;  10,4
12.05.1996 22:15:00;  16,1
11.06.1996 22:00:00;  21,2
06.07.1996 07:30:00;  5,82
15.08.1996 00:00:00;  18,9
23.09.1996 13:30:00;  31,6
22.10.1996 07:15:00;  18,0
01.11.1996 00:00:00;  1,92
27.12.1996 13:45:00;  2,03
11.01.1997 16:08:00; 0,539
13.02.1997 21:59:50; 0,784
17.03.1997 22:42:40;  1,21
06.04.1997 12:55:45;  1,17
22.05.1997 11:38:30;  3,07
14.06.1997 23:04:15;  4,70
08.07.1997 09:16:45;  10,6
01.08.1997 07:15:40;  4,08
14.09.1997 00:56:40;  2,53
01.10.1997 15:31:45; 0,822
15.11.1997 07:11:55;  1,21
01.12.1997 00:00:00;  1,13
05.01.1998 12:04:30;  1,14
13.02.1998 23:12:10;  1,35
18.03.1998 06:33:40;  7,12
03.04.1998 00:28:10;  1,30
19.05.1998 20:16:10;  1,79
13.06.1998 02:42:50;  3,62
28.07.1998 05:57:05;  5,80
23.08.1998 06:10:50;  2,94
06.09.1998 01:47:35;  24,6
20.10.1998 05:33:45;  2,38
11.11.1998 01:52:30;  2,59
15.12.1998 16:40:20;  1,23
26.01.1999 18:08:00; 0,663
28.02.1999 23:59:55; 0,748
04.03.1999 23:45:20;  1,19
17.04.1999 15:24:05;  2,37
21.05.1999 06:35:50;  29,2
28.06.1999 21:28:25;  4,80
11.07.1999 00:44:25;  4,73
17.08.1999 04:34:30;  5,31
04.09.1999 00:43:00;  5,35
01.10.1999 00:00:00; 0,700
10.11.1999 07:59:55;  2,44
11.12.1999 11:24:10;  2,53
31.01.2000 21:28:15;  1,72
01.02.2000 21:23:15;  2,86
31.03.2000 03:26:45;  1,90
02.04.2000 10:11:40;  2,48
31.05.2000 17:11:10;  1,37
01.06.2000 00:00:00; 0,822
08.07.2000 08:19:15;  1,18
06.08.2000 10:30:05;  3,75
17.09.2000 02:33:15;  2,19
03.10.2000 07:16:35;  2,95
04.11.2000 21:43:55;  2,74
28.12.2000 11:10:05;  1,78
14.01.2001 10:48:25; 0,816
25.02.2001 09:12:45; 0,600
26.03.2001 01:59:25;  2,28
08.04.2001 17:25:15;  1,35
31.05.2001 17:24:30;  1,51
22.06.2001 23:00:15; 0,619
10.07.2001 15:10:35;  1,64
24.08.2001 02:59:10;  2,19
24.09.2001 23:40:05;  3,30
22.10.2001 08:05:35; 0,558
14.11.2001 05:52:50; 0,275
31.12.2001 00:32:55; 0,394
28.01.2002 12:17:35; 0,425
18.02.2002 08:05:50; 0,368
21.03.2002 02:34:40;  1,79
25.04.2002 01:55:20; 0,546
14.05.2002 13:13:20;  3,13
23.06.2002 22:02:05;  3,16
31.07.2002 19:09:15;  10,4
12.08.2002 06:45:35;  10,6
10.09.2002 17:21:00;  2,96
18.10.2002 07:51:15;  4,17
23.11.2002 01:16:10;  1,38
06.12.2002 10:34:30;  2,34
28.01.2003 19:44:05; 0,668
02.02.2003 23:19:40; 0,642
03.03.2003 21:00:20; 0,763
03.04.2003 11:38:45; 0,513
13.05.2003 07:26:25;  1,09
14.06.2003 00:41:10;  2,31
04.07.2003 18:39:00; 0,238
01.08.2003 11:53:20; 0,176
14.09.2003 01:48:30; 0,791
04.10.2003 08:56:00;  1,18
02.11.2003 15:47:00;  1,56
31.12.2003 18:00:00; 0,832
01.01.2004 00:00:00; 0,760
04.02.2004 00:15:00; 0,999
24.03.2004 22:30:00;  2,96
06.04.2004 23:15:00;  1,24
28.05.2004 18:45:00;  1,61
25.06.2004 14:00:00;  11,4
05.07.2004 17:00:00;  2,03
06.08.2004 13:45:00;  2,49
15.09.2004 16:45:00; 0,392
16.10.2004 20:30:00;  1,40
24.11.2004 03:00:00; 0,390
27.12.2004 12:30:00; 0,942
21.01.2005 16:15:00; 0,256
14.02.2005 08:30:00; 0,224
18.03.2005 16:15:00;  9,76
28.04.2005 03:45:00;  2,37
18.05.2005 22:00:00;  2,14
12.06.2005 21:00:00; 0,999
11.07.2005 13:00:00;  5,84
21.08.2005 20:15:00;  4,81
03.09.2005 08:45:00; 0,667
04.10.2005 11:15:00; 0,494
27.11.2005 14:15:00;  1,25
06.12.2005 18:00:00;  1,68
02.01.2006 16:00:00; 0,603
20.02.2006 20:15:00;  3,34
29.03.2006 09:45:00;  3,21
29.04.2006 21:45:00;  3,21
01.05.2006 07:15:00;  2,14
03.06.2006 05:45:00;  9,33
09.07.2006 13:15:00;  1,92
08.08.2006 02:15:00;  5,23
19.09.2006 00:15:00;  1,41
25.10.2006 01:00:00; 0,743
22.11.2006 17:15:00; 0,999
09.12.2006 23:45:00; 0,539
19.01.2007 22:30:00;  1,71
26.02.2007 12:45:00; 0,603
24.03.2007 23:00:00;  2,52
03.04.2007 19:30:00;  1,13
29.05.2007 06:45:00;  3,09
05.06.2007 22:30:00;  1,61
10.07.2007 01:15:00;  2,84
09.08.2007 22:45:00;  6,61
07.09.2007 19:30:00;  27,8
28.10.2007 19:00:00;  7,45
01.11.2007 00:00:00;  1,74
10.12.2007 02:00:05;  6,26
19.01.2008 16:30:00;  1,35
01.02.2008 02:30:00;  1,07
16.03.2008 23:45:00;  1,58
21.04.2008 23:45:00;  1,50
20.05.2008 14:15:00;  1,07
27.06.2008 03:45:00;  19,9
23.07.2008 22:30:00;  10,9
08.08.2008 22:15:00;  10,6
26.09.2008 02:00:00;  1,21
15.10.2008 20:00:00;  2,06
09.11.2008 05:15:00;  1,14
25.12.2008 10:30:00;  1,00
24.01.2009 01:45:00;  3,85
08.02.2009 15:30:00;  4,26
06.03.2009 11:00:05;  5,92
01.04.2009 09:45:00;  1,99
30.05.2009 15:45:00;  1,89
24.06.2009 23:00:00;  16,3
01.07.2009 23:30:00;  22,9
04.08.2009 10:45:00;  4,13
05.09.2009 00:00:00;  1,52
11.10.2009 10:15:00; 0,646
09.11.2009 04:30:00; 0,831
25.12.2009 21:30:00;  1,99
09.01.2010 14:00:00; 0,748
26.02.2010 20:00:00;  1,61
01.03.2010 01:45:00;  1,18
14.04.2010 14:15:00;  1,18
26.05.2010 19:45:00;  64,4
16.06.2010 11:00:00;  10,8
15.07.2010 22:30:00;  4,40
15.08.2010 04:15:00;  8,02
26.09.2010 02:30:00;  14,8
25.10.2010 15:15:00;  1,78
08.11.2010 20:00:00;  2,07
07.12.2010 15:45:00;  4,32
01.01.2011 04:30:00;  1,06
12.02.2011 11:15:00;  1,37
17.03.2011 06:45:00;  1,04
04.04.2011 15:00:00; 0,831
21.05.2011 16:00:00; 0,898
23.06.2011 22:30:00;  8,28
14.07.2011 23:00:00; 0,857
04.08.2011 07:00:00; 0,994
19.09.2011 20:00:00; 0,570
07.10.2011 12:30:00;  1,54
08.11.2011 23:30:00; 0,267
12.12.2011 22:15:00; 0,389
22.01.2012 13:00:00; 0,433
29.02.2012 04:00:00; 0,382
01.03.2012 00:00:00; 0,382
05.04.2012 20:15:00;  1,63
04.05.2012 15:00:00; 0,857
11.06.2012 21:15:00;  2,32
25.07.2012 19:15:00;  11,1
01.08.2012 00:00:00; 0,585
13.09.2012 04:15:00; 0,963
16.10.2012 12:00:00;  1,10
05.11.2012 15:15:00; 10,00
24.12.2012 01:30:00; 0,585
31.01.2013 16:00:00;  1,91
26.02.2013 11:00:00;  4,90
09.03.2013 21:45:00;  5,66
12.04.2013 20:00:00;  4,60
03.05.2013 11:30:00;  7,18
02.06.2013 13:00:00;  3,38
19.07.2013 17:15:00; 0,740
28.08.2013 04:30:00;  2,63
17.09.2013 04:00:00;  6,10
11.10.2013 15:30:00; 0,604
24.11.2013 09:45:00;  8,99
01.12.2013 00:00:00; 0,963
05.01.2014 19:30:00; 0,720
09.02.2014 16:30:00;  5,39
24.03.2014 00:30:00;  1,72
09.04.2014 03:15:00;  2,18
16.05.2014 13:00:00;  26,4
30.06.2014 08:45:00;  2,28
30.07.2014 20:30:00;  16,3
13.08.2014 05:00:00;  2,34
13.09.2014 07:00:00;  5,92
22.10.2014 03:30:00;  3,69
18.11.2014 10:15:00;  2,34
07.12.2014 23:15:00;  3,21
11.01.2015 13:15:00;  3,93
24.02.2015 16:15:00;  1,90
01.03.2015 00:00:00; 0,936
28.04.2015 19:30:00; 0,969
23.05.2015 10:15:00;  8,58
09.06.2015 09:30:00; 0,926
08.07.2015 21:45:00;  2,61
16.08.2015 23:15:00; 0,779
15.09.2015 04:45:00; 0,720
15.10.2015 21:15:00;  1,89
04.11.2015 20:15:00; 0,267
31.12.2015 08:30:00; 0,346
12.01.2016 00:45:00;  1,05
10.02.2016 07:45:00;  1,05
29.03.2016 21:00:00; 0,679
09.04.2016 00:00:00; 0,739
26.05.2016 15:30:00;  2,97
04.06.2016 17:30:00;  2,86
12.07.2016 19:15:00;  2,32
21.08.2016 13:30:00;  3,44
04.09.2016 21:15:00;  2,63
20.10.2016 08:30:00;  1,39
06.11.2016 23:45:00;  3,13
01.12.2016 00:00:00; 0,785
01.01.2017 00:00:00; 0,568
06.02.2017 12:00:00;  1,47
01.03.2017 08:00:00; 0,902
28.04.2017 14:30:00;  1,40
31.05.2017 19:00:00;  1,81
04.06.2017 20:00:00;  3,61
10.07.2017 05:00:00;  4,39
10.08.2017 23:45:00;  2,86
20.09.2017 05:00:00;  2,53
03.10.2017 17:00:00; 0,563
08.11.2017 10:30:00; 0,389
12.12.2017 13:30:00; 0,536
10.01.2018 15:45:00; 0,389
02.02.2018 04:15:00; 0,484
30.03.2018 02:30:00;  1,89
01.04.2018 04:30:00;  2,09
16.05.2018 17:00:00;  10,4
12.06.2018 20:00:00;  11,9
10.07.2018 19:15:00;  3,81
24.08.2018 13:00:00;  35,6
01.09.2018 09:15:00;  4,07
27.10.2018 21:30:00;  1,10
26.11.2018 16:45:00;  2,28
24.12.2018 14:00:00; 0,963
05.01.2019 18:15:00; 0,699
04.02.2019 03:45:00;  2,74
02.03.2019 15:15:00; 0,740
30.04.2019 22:30:00; 0,864
12.05.2019 01:45:00;  1,82
21.06.2019 02:45:00;  6,59
28.07.2019 18:45:00;  1,08
25.08.2019 01:30:00;  1,71
09.09.2019 06:00:00;  1,30
02.10.2019 16:45:00; 0,589
13.11.2019 20:15:00;  1,54
21.12.2019 19:45:00;  1,52
01.01.2020 00:00:00; 0,448
26.02.2020 06:45:00; 0,546
06.03.2020 18:00:00; 0,604
29.04.2020 13:30:00; 0,516
27.05.2020 01:15:00; 0,379
21.06.2020 07:15:00;  1,65
16.07.2020 22:00:00;  1,90
16.08.2020 17:00:00;  5,16
28.09.2020 10:00:00;  4,47
04.10.2020 05:30:00;  8,63
01.11.2020 21:30:00; 0,867
10.12.2020 03:00:00;  1,01
23.01.2021 21:00:00;  1,64
08.02.2021 07:15:00;  1,08
12.03.2021 00:15:00; 0,690
13.04.2021 03:30:00; 0,653
17.05.2021 09:15:00;  1,34
01.06.2021 16:15:00; 0,396
17.07.2021 12:30:00;  2,43
01.08.2021 14:45:00;  2,32
17.09.2021 03:30:00; 0,948
07.10.2021 14:30:00; 0,581
25.11.2021 10:30:10; 0,845
16.12.2021 15:15:00; 0,497
