Messstelle:                ;Hartmannsdorf
10.12.1976 08:00:00;  3,75
27.01.1977 08:00:00;  3,41
11.02.1977 08:00:00;  8,61
05.03.1977 08:00:00;  6,94
14.04.1977 08:00:00;  5,80
01.05.1977 00:00:00;  2,16
12.06.1977 08:00:00;  3,90
31.07.1977 23:59:55;  6,64
11.08.1977 04:00:00;  22,6
02.09.1977 04:00:00;  11,9
03.10.1977 18:00:00;  3,20
15.11.1977 12:00:00;  7,15
25.12.1977 12:00:00;  15,2
01.01.1978 00:30:00;  3,72
28.02.1978 10:00:00;  3,24
26.03.1978 19:00:00;  9,76
01.04.1978 02:00:00;  7,98
20.05.1978 04:30:00;  6,37
18.06.1978 15:30:00;  6,97
10.07.1978 01:00:00;  13,1
17.08.1978 10:00:00;  8,17
29.09.1978 20:00:00;  3,67
05.10.1978 07:00:00;  4,21
02.11.1978 13:00:00;  1,16
30.12.1978 16:00:00;  8,25
01.01.1979 00:00:00;  3,03
03.02.1979 02:00:00;  6,49
12.03.1979 19:30:00;  18,0
12.04.1979 09:30:00;  13,0
02.05.1979 20:30:00;  6,69
19.06.1979 14:30:00;  15,4
14.07.1979 22:30:00;  6,42
04.08.1979 19:30:00;  8,40
24.09.1979 21:30:00;  8,77
19.10.1979 10:00:00;  1,90
29.11.1979 07:30:00;  5,76
11.12.1979 08:00:00;  9,51
01.01.1980 00:00:00;  2,54
06.02.1980 17:30:00;  10,1
28.03.1980 19:30:00;  4,96
30.04.1980 23:59:55;  9,09
01.05.1980 00:30:00;  9,13
29.06.1980 23:00:00;  7,03
22.07.1980 16:00:00;  20,0
01.08.1980 00:00:00;  4,35
01.09.1980 16:30:00;  6,11
13.10.1980 16:00:00;  8,86
16.11.1980 15:00:00;  2,79
16.12.1980 00:00:05;  5,11
04.01.1981 00:30:00;  4,91
09.02.1981 00:01:00;  4,33
12.03.1981 09:00:00;  40,2
01.04.1981 00:00:00;  4,20
23.05.1981 10:30:00;  6,21
24.06.1981 05:00:00;  1,65
20.07.1981 15:00:00;  10,4
04.08.1981 22:00:00;  1,73
14.09.1981 16:00:00;  3,15
11.10.1981 17:00:00;  8,60
20.11.1981 06:30:00;  5,62
12.12.1981 13:30:00;  5,35
06.01.1982 17:00:00;  24,7
01.02.1982 00:00:00;  4,27
31.03.1982 06:00:00;  11,5
02.04.1982 00:30:00;  11,4
11.05.1982 13:30:00;  2,80
27.06.1982 22:00:00;  3,13
17.07.1982 14:30:00;  1,87
09.08.1982 20:00:00;  2,96
07.09.1982 03:00:00;  2,98
02.10.1982 15:00:00; 0,974
19.11.1982 14:30:00;  1,40
17.12.1982 13:30:00;  2,67
30.01.1983 21:30:00;  9,59
01.02.1983 22:30:00;  7,18
10.03.1983 23:00:00;  5,00
10.04.1983 16:30:00;  8,28
09.05.1983 10:30:00;  7,45
21.06.1983 08:30:00;  2,02
02.07.1983 07:30:00;  1,08
03.08.1983 08:00:00;  1,85
10.09.1983 12:30:00; 0,740
12.10.1983 19:30:00; 0,740
27.11.1983 16:30:00;  10,3
24.12.1983 23:00:00;  4,57
15.01.1984 00:00:05;  10,2
07.02.1984 16:45:00;  10,2
30.03.1984 05:30:00;  5,56
12.04.1984 00:45:00;  4,91
14.05.1984 09:45:00;  4,98
05.06.1984 06:15:00;  5,83
03.07.1984 13:15:00;  4,24
25.08.1984 01:15:00;  4,83
17.09.1984 03:15:00;  24,4
03.10.1984 04:00:00;  5,24
24.11.1984 14:15:00;  3,20
01.12.1984 00:00:00;  1,23
24.01.1985 00:01:00;  2,98
02.02.1985 12:30:00;  27,0
22.03.1985 21:15:00;  9,65
01.04.1985 08:30:00;  4,57
02.05.1985 10:00:00;  6,12
23.06.1985 17:00:00;  6,87
31.07.1985 15:15:00;  2,65
07.08.1985 03:30:00;  15,6
06.09.1985 08:30:00;  4,13
15.10.1985 20:45:00;  1,83
11.11.1985 05:15:00;  2,79
16.12.1985 19:15:00;  5,30
24.01.1986 11:30:00;  10,1
01.02.1986 19:15:00;  2,88
31.03.1986 23:59:55;  8,68
01.04.1986 00:10:00;  9,12
30.05.1986 06:30:00;  7,22
21.06.1986 21:00:00;  5,77
19.07.1986 02:45:00;  2,79
09.08.1986 04:15:00;  2,42
10.09.1986 17:15:00;  1,23
23.10.1986 08:45:00;  4,47
03.11.1986 02:30:00;  2,32
31.12.1986 02:30:00;  12,1
02.01.1987 13:15:00;  20,1
09.02.1987 17:45:00;  4,64
28.03.1987 23:30:00;  12,8
05.04.1987 22:00:00;  13,3
20.05.1987 17:45:00;  7,97
05.06.1987 07:00:00;  6,35
02.07.1987 05:00:00;  15,0
08.08.1987 07:45:00;  5,38
08.09.1987 17:30:00;  6,20
01.10.1987 00:00:00;  1,28
20.11.1987 18:00:00;  2,80
19.12.1987 14:30:00;  13,5
05.01.1988 12:00:00;  3,55
10.02.1988 10:45:00;  2,63
26.03.1988 12:45:00;  23,4
07.04.1988 22:00:00;  26,1
01.05.1988 00:00:00;  2,80
06.06.1988 15:45:00;  5,78
16.07.1988 23:45:00;  2,02
21.08.1988 04:45:00;  2,24
06.09.1988 04:00:00;  4,52
21.10.1988 19:45:00;  1,28
30.11.1988 17:45:00;  2,98
25.12.1988 06:30:00;  21,5
09.01.1989 15:45:00;  3,65
19.02.1989 15:45:00;  7,78
18.03.1989 12:00:00;  3,99
18.04.1989 05:15:00;  7,43
01.05.1989 17:45:00;  4,69
04.06.1989 09:45:00;  2,09
25.07.1989 01:15:00;  4,29
09.08.1989 22:30:00;  4,07
28.09.1989 03:15:00;  4,76
03.10.1989 18:00:00;  2,31
01.11.1989 09:30:00;  1,95
16.12.1989 10:00:00;  11,1
26.01.1990 12:45:00;  3,65
27.02.1990 00:00:00;  13,8
01.03.1990 11:30:00;  22,4
25.04.1990 21:00:00;  2,52
25.05.1990 23:45:00;  3,99
13.06.1990 18:30:00;  6,94
04.07.1990 17:00:00;  3,25
17.08.1990 18:45:00;  3,45
24.09.1990 14:00:00;  2,16
08.10.1990 17:45:00;  2,55
20.11.1990 00:15:00;  5,34
31.12.1990 02:15:00;  3,25
03.01.1991 19:15:00;  8,32
27.02.1991 00:00:05;  3,71
23.03.1991 06:30:00;  3,45
01.04.1991 14:15:00;  1,57
07.05.1991 10:30:00;  2,87
28.06.1991 00:15:00;  8,14
26.07.1991 21:15:00;  1,63
03.08.1991 01:45:00;  22,9
10.09.1991 11:00:00;  1,17
20.10.1991 14:00:00; 0,933
17.11.1991 02:15:00;  1,39
24.12.1991 00:00:05;  8,17
06.01.1992 10:45:00;  2,87
16.02.1992 10:30:00;  4,94
14.03.1992 10:45:00;  8,88
01.04.1992 00:00:00;  4,69
01.05.1992 00:00:00;  2,06
13.06.1992 06:00:00;  6,63
06.07.1992 12:30:00;  1,83
22.08.1992 09:15:00;  1,17
01.09.1992 18:45:00;  1,57
26.10.1992 19:00:00;  12,1
23.11.1992 01:00:00;  10,5
01.12.1992 00:00:00;  3,14
12.01.1993 00:00:05;  5,56
01.02.1993 00:00:00;  3,14
18.03.1993 22:15:00;  21,0
08.04.1993 01:15:00;  3,56
22.05.1993 11:00:00;  2,44
17.06.1993 21:45:00;  3,66
20.07.1993 08:30:00;  4,69
31.08.1993 10:00:00;  2,35
26.09.1993 16:45:00;  5,07
24.10.1993 11:15:00;  5,75
15.11.1993 22:30:00;  1,57
21.12.1993 05:30:00;  33,0
26.01.1994 01:15:00;  5,47
03.02.1994 23:00:00;  3,35
20.03.1994 02:45:00;  7,43
16.04.1994 23:15:00;  11,2
20.05.1994 01:00:00;  5,07
30.06.1994 19:15:00;  6,48
19.07.1994 03:30:00;  4,69
25.08.1994 20:15:00;  1,57
27.09.1994 09:15:00;  2,78
27.10.1994 17:15:00;  2,04
19.11.1994 07:15:00;  2,28
29.12.1994 03:00:00;  7,10
26.01.1995 11:45:00;  11,4
09.02.1995 14:15:00;  9,07
28.03.1995 00:00:00;  14,3
02.04.1995 20:45:00;  12,6
14.05.1995 02:30:00;  6,33
02.06.1995 05:00:00;  20,6
14.07.1995 19:45:00;  3,25
28.08.1995 07:00:00;  3,99
01.09.1995 23:30:00;  17,7
01.10.1995 13:30:00;  2,52
17.11.1995 09:15:00;  12,1
24.12.1995 23:30:00;  11,2
01.01.1996 00:00:00;  2,69
18.02.1996 00:01:00;  1,33
24.03.1996 21:30:00;  7,61
08.04.1996 21:15:00;  8,32
14.05.1996 11:30:00;  30,0
13.06.1996 10:00:00;  7,28
09.07.1996 05:45:00;  8,28
25.08.1996 10:45:00;  4,99
14.09.1996 18:45:00;  3,00
21.10.1996 14:00:00;  6,51
08.11.1996 09:15:00;  4,87
20.12.1996 22:00:00;  2,47
01.01.1997 00:00:00;  1,14
12.02.1997 21:30:00;  25,1
17.03.1997 18:24:40;  7,26
06.04.1997 12:32:35;  6,69
01.05.1997 06:17:25;  4,38
13.06.1997 06:33:05;  2,38
18.07.1997 16:03:50;  53,3
18.08.1997 03:37:55;  2,97
01.09.1997 07:45:40;  1,76
12.10.1997 21:04:50;  2,20
30.11.1997 23:59:55;  3,82
12.12.1997 11:13:25;  8,72
04.01.1998 18:12:35;  1,99
13.02.1998 18:32:25;  2,75
17.03.1998 21:42:15;  4,50
19.04.1998 12:37:20;  2,70
18.05.1998 03:31:45;  1,34
13.06.1998 11:53:35;  7,34
25.07.1998 20:50:55;  5,33
01.08.1998 05:02:20;  1,57
15.09.1998 19:31:40;  5,71
29.10.1998 23:26:15;  11,5
01.11.1998 18:15:25;  10,7
13.12.1998 20:33:05;  6,54
08.01.1999 22:35:20;  5,81
05.02.1999 15:17:45;  7,12
03.03.1999 04:35:20;  13,0
01.04.1999 00:00:00;  6,66
13.05.1999 07:48:25;  3,93
22.06.1999 14:35:10;  1,54
10.07.1999 02:21:20;  6,33
28.08.1999 23:22:30;  1,66
02.09.1999 15:48:55; 0,836
07.10.1999 14:39:45; 0,899
10.11.1999 20:12:25;  1,14
27.12.1999 03:41:05;  2,70
31.01.2000 23:59:55;  14,9
09.02.2000 06:57:50;  21,0
10.03.2000 08:59:35;  15,5
03.04.2000 23:13:00;  8,85
27.05.2000 22:32:35;  2,18
07.06.2000 02:06:30;  2,12
28.07.2000 22:20:25;  3,52
07.08.2000 06:44:35;  7,59
17.09.2000 22:42:05;  2,69
03.10.2000 18:37:25;  4,55
04.11.2000 23:55:00;  1,65
11.12.2000 12:08:40;  6,28
29.01.2001 14:04:10;  1,69
07.02.2001 00:29:45;  3,37
23.03.2001 07:05:50;  13,4
08.04.2001 22:56:15;  5,00
04.05.2001 23:30:00;  3,79
11.06.2001 17:15:00;  6,49
21.07.2001 04:15:00;  2,85
21.08.2001 11:30:00;  4,92
09.09.2001 08:45:00;  14,9
01.10.2001 05:15:00;  2,23
08.11.2001 13:00:00;  6,11
30.12.2001 06:15:00;  11,4
28.01.2002 11:45:00;  24,6
21.02.2002 05:15:00;  20,6
21.03.2002 17:30:00;  42,9
01.04.2002 00:00:00;  5,25
11.05.2002 19:30:00;  2,12
08.06.2002 04:15:00;  3,01
17.07.2002 22:00:00;  1,63
12.08.2002 09:30:00;   174
01.09.2002 13:00:00;  5,89
18.10.2002 15:45:00;  12,2
11.11.2002 21:15:00;  11,9
23.12.2002 07:45:00;  16,3
04.01.2003 11:45:00;  13,3
02.02.2003 20:15:00;  3,00
13.03.2003 01:00:00;  6,00
01.04.2003 00:00:00;  3,11
14.05.2003 13:30:00;  2,48
09.06.2003 14:15:00;  3,51
29.07.2003 11:00:00;  3,01
19.08.2003 05:00:00;  1,89
01.09.2003 06:00:00; 0,636
08.10.2003 00:45:00;  3,10
03.11.2003 19:15:00; 0,750
15.12.2003 00:00:00;  2,20
14.01.2004 04:30:00;  13,6
03.02.2004 05:00:00;  12,8
21.03.2004 19:00:00;  8,39
11.04.2004 12:45:00;  9,83
03.05.2004 07:30:00;  2,20
04.06.2004 00:45:00;  10,3
09.07.2004 12:00:00;  1,75
13.08.2004 05:15:00;  1,51
24.09.2004 07:00:00;  4,41
09.10.2004 22:30:00;  1,70
23.11.2004 10:00:00;  7,87
24.12.2004 17:00:00;  5,65
21.01.2005 08:15:00;  29,7
13.02.2005 03:45:00;  15,7
26.03.2005 21:30:00;  12,3
20.04.2005 18:45:00;  8,09
08.05.2005 03:15:00;  6,90
15.06.2005 12:00:00;  2,20
11.07.2005 23:30:00;  8,58
16.08.2005 15:30:00;  6,78
29.09.2005 14:00:00;  3,63
03.10.2005 05:00:00;  1,94
26.11.2005 11:30:00;  1,29
31.12.2005 23:59:55; 0,834
31.01.2006 23:59:55; 0,854
18.02.2006 11:23:05;  1,15
31.03.2006 19:15:00;  56,3
01.04.2006 00:00:00;  45,1
28.05.2006 15:00:00;  9,41
30.06.2006 12:00:00;  10,8
01.07.2006 00:00:00;  3,98
07.08.2006 08:00:00;  11,7
08.09.2006 08:45:00;  5,17
29.10.2006 20:30:00;  1,11
14.11.2006 12:30:00;  1,88
28.12.2006 19:30:00;  1,69
19.01.2007 12:30:00;  10,4
28.02.2007 22:00:00; 10,00
02.03.2007 04:00:00;  16,3
04.04.2007 02:15:00;  2,26
10.05.2007 05:30:00;  5,91
11.06.2007 21:00:00;  1,63
06.07.2007 08:45:00;  4,98
04.08.2007 01:15:00;  1,60
07.09.2007 06:15:00;  16,0
25.10.2007 15:00:00;  2,08
12.11.2007 00:00:00;  12,9
07.12.2007 19:30:00;  16,7
19.01.2008 15:45:00;  7,45
07.02.2008 01:15:00;  4,86
01.03.2008 19:00:00;  15,5
22.04.2008 03:30:00;  9,53
01.05.2008 08:45:00;  4,15
05.06.2008 03:30:00;  2,70
31.07.2008 23:59:55;  4,76
16.08.2008 18:00:00;  4,94
16.09.2008 11:15:00;  2,18
01.10.2008 17:00:00;  1,46
21.11.2008 21:45:00;  4,15
23.12.2008 02:00:00;  3,57
01.01.2009 00:00:00;  1,02
11.02.2009 00:19:15;  3,84
28.03.2009 22:30:00;  11,2
02.04.2009 22:15:00;  16,1
27.05.2009 08:00:00;  2,82
23.06.2009 15:30:00;  10,6
08.07.2009 21:15:00;  10,6
22.08.2009 19:00:00;  5,41
17.09.2009 21:45:00;  2,00
12.10.2009 13:00:00;  5,06
04.11.2009 19:00:00;  2,91
11.12.2009 11:48:30;  3,62
01.01.2010 02:45:00;  2,58
28.02.2010 23:59:55;  1,69
24.03.2010 21:30:00;  8,52
01.04.2010 00:00:00;  5,67
14.05.2010 07:14:35;  6,52
03.06.2010 00:15:00;  11,1
24.07.2010 19:30:00;  15,1
07.08.2010 22:15:00;  8,34
01.09.2010 00:00:00;  3,59
25.10.2010 17:30:00;  1,91
28.11.2010 15:45:00;  1,50
07.12.2010 21:15:00;  2,72
14.01.2011 15:30:00;  10,0
12.02.2011 09:00:00;  6,94
18.03.2011 11:30:00;  6,26
01.04.2011 19:00:00;  2,17
28.05.2011 02:45:00;  3,58
01.06.2011 06:00:00;  2,19
10.07.2011 07:45:00;  12,4
16.08.2011 00:30:00;  3,28
05.09.2011 22:15:00;  7,58
13.10.2011 07:30:00;  10,5
02.11.2011 20:45:00;  1,74
17.12.2011 04:00:00;  6,83
20.01.2012 05:45:00;  12,7
25.02.2012 17:00:00;  7,04
01.03.2012 20:45:00;  7,52
17.04.2012 00:15:00;  4,33
23.05.2012 03:45:00;  1,98
13.06.2012 18:30:00;  8,59
02.07.2012 01:00:00;  7,00
07.08.2012 01:15:00;  11,4
01.09.2012 02:45:00;  4,84
07.10.2012 22:45:00;  2,46
05.11.2012 14:45:00;  3,47
28.12.2012 11:15:00;  7,81
31.01.2013 05:15:00;  13,6
02.02.2013 09:00:00;  13,5
09.03.2013 01:15:00;  6,21
11.04.2013 00:15:00;  3,76
31.05.2013 16:22:15;  8,86
02.06.2013 12:15:00;  43,7
04.07.2013 07:00:00;  4,48
29.08.2013 04:15:00;  2,04
17.09.2013 12:15:00;  1,97
16.10.2013 18:00:00;  1,72
07.11.2013 10:45:00;  2,11
10.12.2013 23:45:00;  1,36
10.01.2014 16:45:00;  2,22
01.02.2014 21:15:00;  2,51
24.03.2014 06:45:00;  1,48
29.04.2014 21:30:00;  1,25
29.05.2014 21:30:00;  9,34
03.06.2014 15:15:00;  2,67
28.07.2014 13:45:00;  3,93
27.08.2014 19:30:00;  3,08
15.09.2014 00:00:00;  3,62
23.10.2014 14:00:00;  11,1
19.11.2014 20:15:00;  2,30
20.12.2014 11:45:00;  2,96
10.01.2015 13:15:00;  14,0
04.02.2015 17:30:00;  2,33
30.03.2015 14:30:00;  8,86
01.04.2015 00:30:00;  6,74
24.05.2015 05:30:00;  11,8
08.06.2015 02:00:00;  9,20
08.07.2015 21:30:00;  1,42
17.08.2015 20:00:00;  1,14
04.09.2015 10:00:00;  3,18
08.10.2015 13:00:00;  1,87
21.11.2015 05:30:00;  5,20
01.12.2015 12:30:00;  8,10
31.01.2016 11:00:00;  5,53
01.02.2016 19:15:00;  10,0
03.03.2016 07:15:00;  5,16
18.04.2016 15:15:00;  1,64
31.05.2016 23:59:55;  11,7
26.06.2016 04:15:00;  30,4
14.07.2016 18:15:00;  14,3
05.08.2016 19:45:00;  3,10
18.09.2016 00:45:00;  4,48
04.10.2016 20:00:00;  1,58
17.11.2016 20:00:00;  3,85
25.12.2016 21:00:00;  2,36
08.01.2017 02:19:15;  1,82
22.02.2017 20:15:00;  11,6
19.03.2017 06:30:00;  9,34
30.04.2017 00:15:00;  4,36
09.05.2017 04:30:00;  6,35
03.06.2017 03:15:00;  4,23
26.07.2017 22:45:00;  3,79
11.08.2017 20:15:00;  11,5
01.09.2017 19:30:00;  1,26
29.10.2017 21:15:00;  3,11
13.11.2017 00:00:00;  4,13
31.12.2017 19:15:00;  6,89
05.01.2018 10:30:00;  12,2
01.02.2018 00:00:00;  5,78
