Messstelle:                ;Hirtenberg
01.01.1996 06:45:00;  3,88
17.02.1996 18:00:00;  3,14
25.03.1996 19:45:00;  16,0
07.04.1996 19:30:00;  23,8
13.05.1996 03:00:00;  40,0
30.06.1996 00:45:00;  33,2
08.07.1996 14:30:00;  8,77
27.08.1996 15:15:00;  13,4
08.09.1996 05:15:00;  61,9
22.10.1996 05:30:00;   117
14.11.1996 22:00:00;  7,41
28.12.1996 09:45:00;  4,13
27.01.1997 19:26:35;  2,56
12.02.1997 21:49:00;  8,56
17.03.1997 13:47:05;  58,6
06.04.1997 08:52:15;  19,7
22.05.1997 11:19:00;  8,67
23.06.1997 12:41:05;  8,21
08.07.1997 09:27:30;   259
18.08.1997 10:36:45;  7,01
13.09.1997 16:10:55;  2,97
13.10.1997 14:09:05;  2,04
14.11.1997 14:52:30;  14,8
14.12.1997 06:32:55;  11,6
01.01.1998 16:34:00;  2,86
13.02.1998 15:50:05;  11,4
17.03.1998 23:42:40;  65,6
02.04.1998 13:07:20;  3,63
30.05.1998 15:39:40;  8,97
13.06.1998 15:05:50;  10,7
09.07.1998 15:45:50;  6,85
23.08.1998 07:25:05;  2,17
28.09.1998 23:50:40;  5,40
06.10.1998 21:42:10;  3,37
10.11.1998 12:31:45;  17,1
15.12.1998 04:00:15;  48,3
08.01.1999 18:15:30;  2,92
05.02.1999 15:12:50;  27,4
02.03.1999 17:35:20;  27,8
07.04.1999 14:02:25;  3,82
21.05.1999 06:19:45;  59,5
22.06.1999 11:10:40;  35,7
10.07.1999 06:01:00;  52,7
10.08.1999 16:11:50;  6,42
02.09.1999 20:17:30;  57,7
05.10.1999 08:49:15;  1,88
10.11.1999 08:56:05;  5,09
03.12.1999 05:55:30;  2,74
31.01.2000 14:22:45;  30,8
01.02.2000 00:00:00;  22,9
15.03.2000 10:20:25;  9,92
02.04.2000 03:59:15;  8,21
18.05.2000 23:24:05;  4,43
01.06.2000 03:33:25;  2,23
26.07.2000 11:49:00;  1,98
06.08.2000 09:08:40;  12,5
16.09.2000 19:36:25;  9,37
03.10.2000 04:54:30;  2,50
05.11.2000 13:31:40;  1,66
29.12.2000 09:24:00;  1,89
09.01.2001 09:28:40;  2,47
07.02.2001 02:17:20;  4,30
24.03.2001 02:40:40;  6,84
09.04.2001 07:56:00;  5,96
06.05.2001 09:21:20;  4,07
11.06.2001 04:53:25;  2,17
21.07.2001 21:14:35;  3,21
20.08.2001 20:58:50;  4,54
18.09.2001 06:38:50;  42,2
29.10.2001 05:00:55;  1,59
27.11.2001 00:00:45;  8,52
06.12.2001 22:13:50;  17,9
21.01.2002 23:11:40;  9,86
14.02.2002 12:16:40;  5,48
20.03.2002 21:38:50;  64,0
24.04.2002 21:22:05;  3,98
11.05.2002 19:44:05;  6,12
07.06.2002 04:25:10;   257
17.07.2002 19:27:55;  13,2
13.08.2002 10:47:00;   186
24.09.2002 10:27:50;  3,96
12.10.2002 15:58:00;  22,5
11.11.2002 22:11:40;  10,9
23.12.2002 12:48:05;  33,1
28.01.2003 17:57:45;  46,0
01.02.2003 00:00:00;  6,02
04.03.2003 12:53:10;  16,1
12.04.2003 02:40:30;  3,69
09.05.2003 17:05:25;  5,37
01.06.2003 13:14:55;  2,54
17.07.2003 23:17:10;  3,77
01.08.2003 03:03:35;  1,82
13.09.2003 18:38:50;  5,71
09.10.2003 15:31:05;  2,29
02.11.2003 21:29:45;  2,04
16.12.2003 00:54:50;  1,54
14.01.2004 09:41:35;  15,2
03.02.2004 09:26:20;  52,5
17.03.2004 19:04:35;  21,6
01.04.2004 00:00:00;  8,03
16.05.2004 10:31:15;  9,00
04.06.2004 06:14:45;  51,0
01.07.2004 16:38:15;  3,69
24.08.2004 19:41:15;  1,86
24.09.2004 06:27:50;  4,91
09.10.2004 09:48:35;  1,72
23.11.2004 22:38:25;  4,53
24.12.2004 12:09:45;  1,79
21.01.2005 15:02:30;  5,17
13.02.2005 05:48:15;  22,0
18.03.2005 18:07:10;  45,1
19.04.2005 02:28:30;  5,20
19.05.2005 07:48:00;  18,5
07.06.2005 18:45:00;  2,39
25.07.2005 20:56:55;  25,2
21.08.2005 23:40:00;  34,4
12.09.2005 15:10:00;  8,52
05.10.2005 11:15:00;  2,26
29.11.2005 18:40:00;  2,14
16.12.2005 23:00:00;  6,93
01.01.2006 00:00:00;  2,32
21.02.2006 23:40:00;  7,23
29.03.2006 11:15:00;  47,0
01.04.2006 00:00:00;  18,0
01.05.2006 03:45:00;  22,8
03.06.2006 08:55:00;  75,2
01.07.2006 07:10:00;  4,52
07.08.2006 22:10:00;   131
08.09.2006 18:25:00;  2,06
30.10.2006 07:45:00;  1,85
06.11.2006 08:10:00;  2,21
02.12.2006 04:05:00;  1,40
19.01.2007 19:25:00;  7,15
16.02.2007 12:00:00;  3,48
25.03.2007 20:30:00;  13,0
01.04.2007 00:20:00;  3,71
05.05.2007 18:40:00;  11,7
15.06.2007 15:05:00;  5,73
09.07.2007 18:35:00;  1,71
09.08.2007 21:10:00;  2,45
07.09.2007 12:00:00;   140
28.10.2007 18:40:00;  25,7
11.11.2007 20:18:30;  15,5
12.12.2007 07:50:40;  18,7
28.01.2008 13:50:00;  12,2
01.02.2008 14:50:00;  4,75
15.03.2008 00:55:00;  12,6
22.04.2008 17:30:00;  13,2
18.05.2008 20:05:00;  11,6
24.06.2008 16:15:00;  10,6
24.07.2008 03:20:00;  35,2
16.08.2008 08:20:00;  12,7
16.09.2008 22:45:00;  23,2
04.10.2008 08:10:00;  3,01
21.11.2008 16:30:00;  14,8
23.12.2008 01:00:00;  11,3
24.01.2009 01:55:00;  5,22
28.02.2009 20:30:00;  16,5
05.03.2009 18:45:00;  39,2
01.04.2009 20:55:00;  18,9
30.05.2009 15:00:00;  18,7
24.06.2009 06:00:00;  50,2
06.07.2009 18:50:00;  96,4
10.08.2009 19:40:00;  10,1
04.09.2009 19:35:00;  3,08
12.10.2009 13:10:05;  2,77
12.11.2009 08:25:00;  3,88
11.12.2009 13:55:00;  8,48
20.01.2010 11:25:00;  3,03
27.02.2010 19:15:00;  8,93
01.03.2010 20:20:00;  7,94
15.04.2010 07:20:00;  19,3
16.05.2010 07:40:00;  28,4
02.06.2010 12:50:00;  39,0
17.07.2010 21:25:00;  7,50
31.08.2010 21:35:00;  40,5
01.09.2010 00:00:00;  27,1
25.10.2010 23:55:00;  3,00
05.11.2010 07:45:00;  2,06
25.12.2010 00:30:00;  5,45
14.01.2011 01:05:00;  39,1
05.02.2011 20:25:00;  6,94
19.03.2011 00:55:00;  31,4
15.04.2011 06:45:00;  3,68
28.05.2011 03:30:00;  6,44
08.06.2011 22:25:00;  10,5
28.07.2011 15:30:00;  4,25
04.08.2011 10:50:00;  14,0
20.09.2011 04:30:00;  3,23
13.10.2011 05:40:00;  22,5
01.11.2011 11:45:00;  1,62
25.12.2011 11:00:00;  2,54
22.01.2012 07:10:00;  31,0
29.02.2012 06:45:00;  19,6
01.03.2012 00:05:00;  10,5
17.04.2012 05:10:00;  6,17
06.05.2012 17:25:00;  4,41
13.06.2012 11:45:00;  7,19
25.07.2012 14:20:00;  14,3
05.08.2012 07:25:00;  3,65
13.09.2012 07:30:00;  6,23
17.10.2012 09:00:00;  2,05
05.11.2012 12:50:00;  8,53
23.12.2012 23:20:00;  21,7
07.01.2013 08:50:00;  68,6
01.02.2013 00:00:00;  13,7
07.03.2013 20:20:00;  15,5
10.04.2013 21:45:00;  11,9
14.05.2013 03:40:00;  10,9
11.06.2013 10:55:00;  37,0
06.07.2013 03:50:00;  4,73
04.08.2013 22:30:00;  2,45
17.09.2013 04:05:00;  6,50
12.10.2013 00:25:00;  2,35
24.11.2013 20:20:00;  32,6
09.12.2013 21:50:00;  8,67
23.01.2014 01:10:00;  1,72
12.02.2014 22:30:00;  3,92
23.03.2014 19:15:00;  1,95
26.04.2014 09:30:00;  5,29
16.05.2014 10:35:00;   140
30.06.2014 12:45:00;  9,14
21.07.2014 16:10:00;  10,9
03.08.2014 19:45:00;   101
13.09.2014 10:25:00;  25,2
23.10.2014 21:30:00;  25,4
18.11.2014 09:10:00;  3,12
08.12.2014 03:05:00;  7,63
10.01.2015 09:45:00;  46,9
24.02.2015 21:30:00;  16,2
02.03.2015 18:35:00;  13,6
02.04.2015 23:25:00;  4,07
23.05.2015 17:00:00;  44,1
14.06.2015 17:05:00;  3,67
09.07.2015 09:00:00;  2,56
17.08.2015 08:15:00;  5,15
04.09.2015 07:15:00;  2,78
20.10.2015 09:55:00;  17,7
21.11.2015 20:25:00;  2,19
10.12.2015 17:40:00;  1,74
25.01.2016 21:10:00;  16,0
21.02.2016 10:55:00;  15,7
19.03.2016 00:00:00;  5,58
09.04.2016 03:35:00;  4,56
04.05.2016 14:10:00;  14,7
20.06.2016 22:30:00;  10,1
13.07.2016 01:00:00;  20,4
10.08.2016 17:55:00;  3,50
06.09.2016 19:25:00;  4,88
20.10.2016 13:20:00;  12,3
06.11.2016 23:55:00;  7,60
28.12.2016 16:40:00;  9,55
02.01.2017 16:20:00;  2,47
21.02.2017 17:00:00;  26,1
19.03.2017 09:30:00;  38,6
22.04.2017 22:40:00;  39,9
09.05.2017 02:35:00;  19,3
03.06.2017 18:05:00;  4,86
27.07.2017 15:10:00;  7,18
10.08.2017 15:50:00;  5,30
20.09.2017 11:10:00;  32,2
23.10.2017 20:30:00;  13,5
01.11.2017 00:00:00;  3,16
31.12.2017 13:30:00;  11,7
19.01.2018 05:30:00;  14,7
01.02.2018 03:15:00;  3,14
08.03.2018 19:40:00;  8,73
01.04.2018 07:00:00;  9,70
03.05.2018 02:05:00;  11,3
28.06.2018 11:30:00;  22,0
07.07.2018 01:50:00;  9,57
08.08.2018 10:30:00;  1,90
03.09.2018 20:30:00;  17,4
24.10.2018 19:35:00;  4,92
26.11.2018 21:10:00;  4,74
24.12.2018 11:20:00;  51,7
14.01.2019 09:30:00;  17,8
22.02.2019 12:35:00;  31,2
16.03.2019 12:50:00;  35,4
30.04.2019 22:20:00;  11,0
12.05.2019 02:00:00;  23,8
27.06.2019 16:40:00;  6,32
12.07.2019 18:30:00;  3,81
07.08.2019 21:20:00;  2,60
09.09.2019 05:55:00;  6,03
02.10.2019 17:30:00;  2,13
13.11.2019 20:45:00;  2,71
23.12.2019 16:10:00;  7,48
31.01.2020 19:05:00;  5,95
03.02.2020 16:35:00;  19,5
03.03.2020 08:25:00;  3,79
21.04.2020 08:40:00;  1,92
26.05.2020 22:40:00;  21,9
21.06.2020 14:20:00;  43,5
18.07.2020 18:30:00;  6,71
16.08.2020 07:15:00;  3,40
01.09.2020 23:50:00;  17,0
14.10.2020 02:00:05;  31,2
01.11.2020 00:35:00;  3,27
28.12.2020 10:35:00;  2,55
29.01.2021 08:20:00;  35,8
01.02.2021 11:25:00;  6,50
26.03.2021 01:50:00;  4,54
20.04.2021 15:00:00;  4,90
23.05.2021 22:50:00;  2,43
21.06.2021 22:40:00;  2,96
18.07.2021 03:55:00;  6,82
16.08.2021 21:20:00;  3,82
16.09.2021 23:50:00;  2,31
07.10.2021 16:55:00;  2,36
02.11.2021 17:30:00;  1,88
14.12.2021 12:45:00;  4,33
