Messstelle:                ;Huben
   01.01.2009    31.12.2009;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/im Apr HW durch Lawine beeinflusst
   01.01.2009    31.12.2009;OWF-Q/im Apr HW durch Lawine beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Apr,Mai,Sep nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Apr,Mai,Sep nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/im Jahr 1987, 1999 und 2001 HQ geändert
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Mai,Jul nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/im Apr NW durch Lawine beeinflusst
   01.01.2012    31.12.2012;OWF-Q/im Apr NQ durch Lawine beeinflusst
   01.01.2013    31.12.2013;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mai,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/im Jän NW durch Lawine beeinflusst
   01.01.2019    31.12.2019;OWF-Q/im Jän NQ durch Lawine beeinflusst
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/im Jän NW und HW durch Lawine beeinflusst
   01.01.2021    31.12.2021;OWF-Q/im Jän NQ und HQ durch Lawine beeinflusst

