Messstelle:                ;Jägerberg
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/am 1. Jän Messstellenverlegung 210m flussaufwärts
   01.01.2010    31.12.2010;OWF-Q/am 1. Jän Messstellenverlegung 210m flussaufwärts
   01.01.2012    31.12.2012;OWF-Q/im Jun, Jul, Aug, Sep und Okt nach ergänzten Daten ermittelt
   01.01.2013              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2013    31.12.2013;OWF-Q/im Jul, Aug, Okt, Nov, Dez zeitw. nach erg. Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/im Jän, Feb, Mrz, Jul, Aug, Nov Dez zw nach erg Daten erm
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Jun, Jul, Aug, Sep, Okt und Nov nach ergänzten Daten ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/im Jän und von Mai bis Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Feb, Mrz, Mai, Jun, Jul, Aug, Okt, Nov zw nach ergänzten Daten erm
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/im Feb, Mrz und von Mai bis Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Apr nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Jän, Feb, Mrz und von Jul bis Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/im Jän, Mrz, Apr, Mai und Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/von Jän bis Jul und von Sep bis Dez zeitweise nach ergänzten Daten ermittelt | am 18. Jul Spitze durch Hochwasser

