Messstelle:                ;In der Au
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Mrz,Apr,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/am 21. Sep Baggerarbeiten
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-W/am 4. Nov Profilräumung
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/HW im Juni wegen Geschiebe unsicher | am 27. Okt Profilräumung | am 24. Nov Profilarbeiten
   01.01.2015    31.12.2015;OWF-Q/HQ im Juni wegen Geschiebe unsicher
   01.01.2015    31.12.2015;OWF-WT/vom 7. Jun bis 9. Sep Datenausfall
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/am 14. Jän W Sprung wegen Profilarbeiten
   01.01.2017    31.12.2017;OWF-W/vom 10. bis 24. Nov Wasserfassung geschlossen
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/im Jän NW durch Lawine beeinflusst
   01.01.2018    31.12.2018;OWF-Q/im Jän NQ durch Lawine beeinflusst
   01.01.2019    31.12.2019;OWF-W/im Feb NW durch Lawine beeinflusst
   01.01.2019    31.12.2019;OWF-Q/im Feb NQ durch Lawine beeinflusst

