Messstelle:                ;Hammerjäger
   01.01.2014    31.12.2014;OWF-Q/Im Mrz,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/im Sep, Okt und Nov durch KW Rückstau beeinflusst
   01.01.2016    31.12.2016;OWF-Q/im Sep, Okt und Nov durch KW Rückstau beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/im Jän, Feb und Jun durch Rückstau vom Kraftwerk beeinflusst
   01.01.2017    31.12.2017;OWF-Q/im Jän, Feb und Jun durch Rückstau vom Kraftwerk beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Dez durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

