Messstelle:                ;Landeck-Bruggen
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/vom 15. Feb bis 8. Mai nach ergänzten Daten ermittelt | vom 15. Feb bis 8. Mai Sonde außer Betrieb (Pegelneubau)
   01.01.2013    31.12.2013;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/am 18. Jul Spitze durch Murenabgang am Schallerbach | am 4. und 6. Aug Spitzen durch starke Gewitter im EZG
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/im Aug zeitweise nach ergänzten Daten ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/am 7. Jun Spitze durch Murenabgang am Schallerbach | am 9. und 10. Aug Spitzen durch zwei Murenabgänge am Lattenbach
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/NW im Sep durch Mureneinstoß beeinflusst
   01.01.2016    31.12.2016;OWF-Q/NQ im Sep durch Mureneinstoß beeinflusst
   01.01.2016    31.12.2016;OWF-Q/am 10. Sep Spitze durch Murgänge am Dawin-, Latten- und Mühlbach | vom 12. Sep bis 8. Dez Ganglinie durch Baggerungen beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Jän zeitweise nach ergänzten Daten ermittelt | im Feb, Mrz, Okt, Nov, Dez zeitweise durch Bauarbeiten beeinflusst | am 10. Jul Spitze durch Murgänge im Einzugsgebiet | am 30. Jul Spitze durch Murgang am Lattenbach | am 3. Okt Spitze durch starke Niederschläge
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/im Aug und Sep Aufzeichnung durch Arbeiten im Gewässer beeinflusst | im Sep, Okt und Dez  zeitweise nach ergänzten Daten ermittelt | am 1. Aug Spitze durch Murgang am Schnannerbach
   01.01.2019    31.12.2019;OWF-Q/Im Mrz nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Jän und Feb zeitweise nach ergänzten Daten ermittelt | am 31. Aug Spitze durch Murgang am Dawinbach | am 2. Okt Spitze durch starke Niederschläge
   01.01.2020    31.12.2020;OWF-Q/am 2. Aug Spitze durch Unwetter | am 27. Jun Spitze durch Murgang am Lattenbach
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/am 16. Aug Spitze durch Murgang am Lattenbach

