Messstelle:                ;Baden (Schloßgasse)
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Apr,Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/vom 17. bis 18. Jän und vom 5. bis 16. Jul Bachabkehr
   01.01.2009    31.12.2009;OWF-Q/vom 17. bis 18. Jän und vom 5. bis 16. Jul Bachabkehr
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/vom 3. bis 16. Jul Bachabkehr
   01.01.2010    31.12.2010;OWF-Q/vom 3. bis 16. Jul Bachabkehr
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/vom 8. bis 17. Jul Bachabkehr
   01.01.2011    31.12.2011;OWF-Q/vom 8. bis 17. Jul Bachabkehr
   01.01.2012    31.12.2012;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2012    31.12.2012;OWF-W/vom 7. bis zum 15. Jul Bachabkehr
   01.01.2012    31.12.2012;OWF-Q/vom 7. bis zum 15. Jul Bachabkehr
   01.01.2013    31.12.2013;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-W/vom 20. bis 28. Jul Bachabkehr
   01.01.2013    31.12.2013;OWF-Q/vom 20. bis 28. Jul Bachabkehr
   01.01.2014    31.12.2014;OWF-W/vom 5. bis 13. Jul Bachabkehr
   01.01.2014    31.12.2014;OWF-Q/vom 5. bis 13. Jul Bachabkehr
   01.01.2015    31.12.2015;OWF-W/vom 23. bis 24. Mai und vom 17. bis 24. Jul Bachabkehr
   01.01.2015    31.12.2015;OWF-Q/vom 23. bis 24. Mai und vom 17. bis 24. Jul Bachabkehr
   01.01.2016    31.12.2016;OWF-W/vom 27. Mai bis 3. Jun Bachabkehr
   01.01.2016    31.12.2016;OWF-Q/vom 27. Mai bis 3. Jun Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/vom 21. bis 29. Apr und vom 20. bis 26. Jun Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/vom 21. bis 29. Apr und vom 20. bis 26. Jun Bachabkehr
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/vom 13. bis 21. Apr Bachabkehr
   01.01.2018    31.12.2018;OWF-Q/vom 13. bis 21. Apr Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/vom 19. bis 30. Apr Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/vom 19. bis 30. Apr Bachabkehr
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/vom 9.bis 18. Apr Bachabkehr
   01.01.2021    31.12.2021;OWF-Q/vom 9.bis 18. Apr Bachabkehr

