Messstelle:                ;Peisching
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/bis 21. Dez Datenausfall
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/vom 1. Mrz bis 1. Apr Datenausfall   | vom 15.Mai bis 4.Okt Datenausfall  | 
   01.01.2006    31.12.2006;OWF-WT/vom 1. Mrz bis 1. Apr Datenausfall   | vom 15.Mai bis 4.Okt Datenausfall
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Mrz,Jun,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Apr,Jun nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/ab 20. Jul Datenausfall
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/im Jän, Apr, Mai zeitweise Datenausfall
   01.01.2011    31.12.2011;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/vom 28. Mrz bis 3. Apr Bachabkehr
   01.01.2011    31.12.2011;OWF-Q/vom 28. Mrz bis 3. Apr Bachabkehr
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/vom 12. bis 22. Sep Bachabkehr
   01.01.2014    31.12.2014;OWF-Q/vom 12. bis 22. Sep Bachabkehr
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/vom 23. bis 29. Mrz und vom 11. bis 18. Sep Bachabkehr
   01.01.2015    31.12.2015;OWF-Q/vom 23. bis 29. Mrz und vom 11. bis 18. Sep Bachabkehr
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/vom 14. bis 20. Mrz und vom 16. bis 26. Sep Bachabkehr
   01.01.2016    31.12.2016;OWF-Q/vom 14. bis 20. Mrz und vom 16. bis 26. Sep Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/vom 24. Mrz bis 2. Apr Bachabkehr
   01.01.2017    31.12.2017;OWF-Q/vom 24. Mrz bis 2. Apr Bachabkehr
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/vom 2. bis 9. Apr Bachabkehr
   01.01.2018    31.12.2018;OWF-Q/vom 2. bis 9. Apr Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/vom 29. Mrz bis 8. Apr und vom 30. Okt bis 8. Dez Bachabkehr
   01.01.2019    31.12.2019;OWF-Q/vom 29. Mrz bis 8. Apr und vom 30. Okt bis 8. Dez Bachabkehr
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-W/vom 2. bis 19. Okt Bachabkehr
   01.01.2020    31.12.2020;OWF-Q/vom 2. bis 19. Okt Bachabkehr
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/vom 21. bis 29. Mrz und vom 19. bis 26. Sep Bachabkehr
   01.01.2021    31.12.2021;OWF-Q/vom 21. bis 29. Mrz und vom 19. bis 26. Sep Bachabkehr
   01.01.2021    31.12.2021;OWF-WT/vom 10. Aug bis 13. Sep Datenausfall

