Messstelle:                ;Lavamünd Ort
   01.01.2017    31.12.2017;OWF-Q/im Mai, Sep, Okt, Nov, Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/von Jän bis Apr, im Jul und von Aug bis Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Jän, Mrz, Apr, Sep, Nov und Dez zeitweise nach ergänzten Daten ermittelt | am 18. und 19. Nov Spitzen durch starke Niederschläge
   01.01.2020    31.12.2020;OWF-Q/Im Mrz,Apr,Mai,Jun,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/von Jän bis Aug zeitweise nach ergänzten Daten ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/von Jän bis Dez zeitweise nach ergänzten Daten ermittelt

