Messstelle:                ;Innsbruck-Reichenau
   01.01.2016    31.12.2016;OWF-Q/im Apr zeitweise nach ergänzten Daten ermittelt | am 29. Aug Spitze durch Unwetter
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Aug, Sep zeitweise nach ergänzten Daten ermittelt | am 5. und 6. Aug Spitzen durch Murgänge im Stubaital | am 9. Aug Spitze durch Murgang im Gschnitztal | am 10. Aug Spitze durch Hochwasser
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Mai,Okt nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/am 6. Aug Spitze durch Murgänge im Schmirntal | am 23. Aug Spitze durch Unwetter im Einzugsgebiet | am 28. und 29. Okt  Spitzen durch Hochwasser
   01.01.2019    31.12.2019;OWF-Q/Im Mrz,Jun,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/am 25. Jul Spitze durch Murgänge im Gschnitztal
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mrz,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/im Aug und am 3. Okt Spitzen infolge starker Niederschläge
   01.01.2021    31.12.2021;OWF-Q/Im Feb,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/am 31. Jul Spitze infolge Murgänge im Schmirntal | am 1. Aug Spitze infolge Murgänge im Valsertal | am 8. Aug Spitze infolge starker Niederschläge am Alpenhauptkamm

