Messstelle:                ;Gols
   01.01.2005    31.12.2005;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Mrz,Apr,Jul,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-W/vom 25. Mai bis 11. Nov Aufstau
   01.01.2005    31.12.2005;OWF-Q/vom 25. Mai bis 11. Nov Aufstau
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/vom 7. bis 30. Jun und vom 18. Jul bis 30. Okt Aufstau
   01.01.2006    31.12.2006;OWF-Q/vom 7. bis 30. Jun und vom 18. Jul bis 30. Okt Aufstau
   01.01.2007    31.12.2007;OWF-W/vom 8. Mai bis 15. Nov Aufstau
   01.01.2007    31.12.2007;OWF-Q/vom 8. Mai bis 15. Nov Aufstau
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-W/vom 22. Jun bis 19. Okt Aufstau
   01.01.2010    31.12.2010;OWF-Q/vom 22. Jun bis 19. Okt Aufstau
   01.01.2011    31.12.2011;OWF-W/vom 4. Jun bis 22. Nov Aufstau
   01.01.2011    31.12.2011;OWF-Q/vom 4. Jun bis 22. Nov Aufstau
   01.01.2012    31.12.2012;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Aug,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/vom 27. Mrz bis 26. Apr und vom 13. Jun bis 23. Okt Aufstau
   01.01.2012    31.12.2012;OWF-Q/vom 27. Mrz bis 26. Apr und vom 13. Jun bis 23. Okt Aufstau
   01.01.2013    31.12.2013;OWF-W/vom 6. Mai bis 2. Sep Aufstau
   01.01.2013    31.12.2013;OWF-Q/vom 6. Mai bis 2. Sep Aufstau
   01.01.2014    31.12.2014;OWF-W/vom 8. Mai bis 12. Sep Aufstau
   01.01.2014    31.12.2014;OWF-Q/vom 8. Mai bis 12. Sep Aufstau
   01.01.2015    31.12.2015;OWF-W/vom 21. bis 26. Feb Aufstau illegal | vom 7. Mai bis 26. Sep Aufstau
   01.01.2015    31.12.2015;OWF-Q/vom 21. bis 26. Feb Aufstau illegal | vom 7. Mai bis 26. Sep Aufstau
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/vom 22. Jun bis 30. Sep Aufstau
   01.01.2016    31.12.2016;OWF-Q/vom 22. Jun bis 30. Sep Aufstau
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/vom 9. Mai bis 12. Jun und vom 23. Jun bis 15. Sep Aufstau
   01.01.2017    31.12.2017;OWF-Q/vom 9. Mai bis 12. Jun und vom 23. Jun bis 15. Sep Aufstau
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-W/vom 19. Jun bis 4. Sep künstlicher Aufstau
   01.01.2018    31.12.2018;OWF-Q/vom 19. Jun bis 4. Sep künstlicher Aufstau
   01.01.2019              ;OWF-W/vom Frühjahr bis Herbst Aufstau (laut Übereinkommen)
   01.01.2019              ;OWF-Q/vom Frühjahr bis Herbst Aufstau (laut Übereinkommen)
   01.01.2020    31.12.2020;OWF-Q/Im Sep nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Feb durch Eis beeinflusst

