Messstelle:                ;Schärding (Schreibpegel)
   01.01.2012    31.12.2012;OWF-Q/im Apr, Aug, Sep, Okt und Nov nach ergänzten Daten ermittelt
   01.01.2013    31.12.2013;OWF-Q/im Jun zeitweise nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/von Feb bis Jun und Okt bis Dez zw nach ergänzten Daten erm
   01.01.2015    31.12.2015;OWF-Q/von Jul bis Dez zweitweise nach ergänzten Daten ermittelt
   01.01.2016              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2016    31.12.2016;OWF-Q/im Feb und Mrz zeitweise nach ergänzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Jän, Feb, Mrz zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/im Aug, Okt und Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Jän, Feb und Sep zeitweise nach ergänzten Daten ermittelt | am 13. Jun Spitze durch Hochwasser
   01.01.2020    31.12.2020;OWF-Q/im Apr, Mai, Jun, Sep, Okt und Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2021    31.12.2021;OWF-Q/von Jän bis Okt und im Dez zeitweise nach ergänzten Daten ermittelt | am 18. Jul Spitze durch Hochwasser | am 17. Aug Spitze durch gewittrige Niederschläge im Einzugsgebiet

