Messstelle:                ;Ehrendorf
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/im Aug , Sep, Nov und Dez  zeitweise Datenausfall
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/im Jän, Okt, Nov und Dez zeitweise Datenausfall
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/im Jän und Nov zeitweise Datenausfall
   01.01.2008    31.12.2008;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-W/vom 15. bis 17. Jul Bauarbeiten am Gurt
   01.01.2008    31.12.2008;OWF-Q/vom 15. bis 17. Jul Bauarbeiten am Gurt
   01.01.2009    31.12.2009;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Feb,Mrz,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/vom 6. bis 14. Sep Datenausfall
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/vom 16. bis 30. Apr Datenausfall
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Feb durch Eis beeinflusst

