Messstelle:                ;Grafenstein, Bl 251
HZB-Nummer:                ;351882
HD-Nummer:                 ;
DBMS-Nummer:               ;2002383
PorenGW-Gebiet:            ;442 Klagenfurter Becken
Grundwasserkörper:         ;Klagenfurter Becken [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Bundesbahnen
01.06.2010 00:00:00   ;   411,94 ;     
01.07.2010 00:00:00   ;   411,92 ;     
01.08.2010 00:00:00   ;   411,91 ;     
01.09.2010 00:00:00   ;   411,95 ;     
01.10.2010 00:00:00   ;   411,94 ;     
01.11.2010 00:00:00   ;   411,96 ;     
01.12.2010 00:00:00   ;   412,00 ;     
01.01.2011 00:00:00   ;   412,01 ;     
01.02.2011 00:00:00   ;   412,00 ;     
01.03.2011 00:00:00   ;   411,98 ;     
01.04.2011 00:00:00   ;   411,97 ;     
01.05.2011 00:00:00   ;   411,95 ;     
01.06.2011 00:00:00   ;   411,96 ;     
01.07.2011 00:00:00   ;   411,94 ;     
01.08.2011 00:00:00   ;   411,90 ;     
01.09.2011 00:00:00   ;   411,86 ;     
01.10.2011 00:00:00   ;   411,85 ;     
01.11.2011 00:00:00   ;   411,84 ;     
01.12.2011 00:00:00   ;   411,82 ;     
01.01.2012 00:00:00   ;   411,79 ;     
01.02.2012 00:00:00   ;   411,77 ;     
01.03.2012 00:00:00   ;   411,74 ;     
01.04.2012 00:00:00   ;   411,72 ;     
01.05.2012 00:00:00   ;   411,72 ;     
01.06.2012 00:00:00   ;   411,72 ;     
01.07.2012 00:00:00   ;   411,76 ;     
01.08.2012 00:00:00   ;   411,78 ;     
01.09.2012 00:00:00   ;   411,78 ;     
01.10.2012 00:00:00   ;   411,81 ;     
01.11.2012 00:00:00   ;   411,93 ;     
01.12.2012 00:00:00   ;   411,95 ;     
01.01.2013 00:00:00   ;   411,94 ;     
01.02.2013 00:00:00   ;   411,89 ;     
01.03.2013 00:00:00   ;   411,95 ;     
01.04.2013 00:00:00   ;   412,08 ;     
01.05.2013 00:00:00   ;   412,16 ;     
01.06.2013 00:00:00   ;   412,21 ;     
01.07.2013 00:00:00   ;   412,20 ;     
01.08.2013 00:00:00   ;   412,19 ;     
01.09.2013 00:00:00   ;   412,18 ;     
01.10.2013 00:00:00   ;   412,16 ;     
01.11.2013 00:00:00   ;   412,13 ;     
01.12.2013 00:00:00   ;   412,05 ;     
01.01.2014 00:00:00   ;   412,10 ;     
01.02.2014 00:00:00   ;   412,26 ;     
01.03.2014 00:00:00   ;   412,39 ;     
01.04.2014 00:00:00   ;   412,38 ;     
01.05.2014 00:00:00   ;   412,34 ;     
01.06.2014 00:00:00   ;   412,26 ;     
01.07.2014 00:00:00   ;   412,24 ;     
01.08.2014 00:00:00   ;   412,24 ;     
01.09.2014 00:00:00   ;   412,33 ;     
01.10.2014 00:00:00   ;   412,36 ;     
01.11.2014 00:00:00   ;   412,36 ;     
01.12.2014 00:00:00   ;Lücke     ;     
01.01.2015 00:00:00   ;Lücke     ;     
01.02.2015 00:00:00   ;Lücke     ;     
01.03.2015 00:00:00   ;Lücke     ;     
01.04.2015 00:00:00   ;   412,24 ;     
01.05.2015 00:00:00   ;   412,22 ;     
01.06.2015 00:00:00   ;   412,20 ;     
01.07.2015 00:00:00   ;   412,17 ;     
01.08.2015 00:00:00   ;   412,13 ;     
01.09.2015 00:00:00   ;   412,12 ;     
01.10.2015 00:00:00   ;   412,14 ;     
01.11.2015 00:00:00   ;   412,15 ;     
01.12.2015 00:00:00   ;   412,12 ;     
01.01.2016 00:00:00   ;   412,09 ;     
01.02.2016 00:00:00   ;   412,10 ;     
01.03.2016 00:00:00   ;   412,18 ;     
01.04.2016 00:00:00   ;   412,18 ;     
01.05.2016 00:00:00   ;   412,17 ;     
01.06.2016 00:00:00   ;   412,13 ;     
01.07.2016 00:00:00   ;   412,11 ;     
01.08.2016 00:00:00   ;   412,10 ;     
01.09.2016 00:00:00   ;   412,08 ;     
01.10.2016 00:00:00   ;   412,04 ;     
01.11.2016 00:00:00   ;   412,04 ;     
01.12.2016 00:00:00   ;   412,02 ;     
01.01.2017 00:00:00   ;   411,99 ;     
01.02.2017 00:00:00   ;   411,97 ;     
01.03.2017 00:00:00   ;   411,96 ;     
01.04.2017 00:00:00   ;   411,94 ;     
01.05.2017 00:00:00   ;   411,93 ;     
01.06.2017 00:00:00   ;   411,91 ;     
01.07.2017 00:00:00   ;   411,90 ;     
01.08.2017 00:00:00   ;   411,88 ;     
01.09.2017 00:00:00   ;   411,91 ;     
01.10.2017 00:00:00   ;   411,91 ;     
01.11.2017 00:00:00   ;   411,93 ;     
01.12.2017 00:00:00   ;   411,97 ;     
01.01.2018 00:00:00   ;   412,04 ;     
01.02.2018 00:00:00   ;   412,06 ;     
01.03.2018 00:00:00   ;   412,09 ;     
01.04.2018 00:00:00   ;   412,11 ;     
01.05.2018 00:00:00   ;   412,11 ;     
01.06.2018 00:00:00   ;   412,09 ;     
01.07.2018 00:00:00   ;   412,06 ;     
01.08.2018 00:00:00   ;   412,03 ;     
01.09.2018 00:00:00   ;   412,03 ;     
01.10.2018 00:00:00   ;   411,99 ;     
01.11.2018 00:00:00   ;   411,97 ;     
01.12.2018 00:00:00   ;   411,94 ;     
01.01.2019 00:00:00   ;   411,91 ;     
01.02.2019 00:00:00   ;   411,91 ;     
01.03.2019 00:00:00   ;   411,88 ;     
01.04.2019 00:00:00   ;   411,86 ;     
01.05.2019 00:00:00   ;   411,87 ;     
01.06.2019 00:00:00   ;   411,92 ;     
01.07.2019 00:00:00   ;   411,92 ;     
01.08.2019 00:00:00   ;   411,91 ;     
01.09.2019 00:00:00   ;   411,89 ;     
01.10.2019 00:00:00   ;   411,87 ;     
01.11.2019 00:00:00   ;   411,93 ;     
01.12.2019 00:00:00   ;   411,96 ;     
01.01.2020 00:00:00   ;   411,97 ;     
01.02.2020 00:00:00   ;   411,98 ;     
01.03.2020 00:00:00   ;   411,97 ;     
01.04.2020 00:00:00   ;   411,95 ;     
01.05.2020 00:00:00   ;   411,93 ;     
01.06.2020 00:00:00   ;   411,92 ;     
01.07.2020 00:00:00   ;   411,91 ;     
01.08.2020 00:00:00   ;   411,91 ;     
01.09.2020 00:00:00   ;   411,94 ;     
01.10.2020 00:00:00   ;   412,02 ;     
01.11.2020 00:00:00   ;   412,05 ;     
01.12.2020 00:00:00   ;   412,09 ;     
01.01.2021 00:00:00   ;   412,13 ;     
01.02.2021 00:00:00   ;   412,16 ;     
01.03.2021 00:00:00   ;   412,17 ;     
01.04.2021 00:00:00   ;   412,16 ;     
01.05.2021 00:00:00   ;   412,16 ;     
01.06.2021 00:00:00   ;   412,12 ;     
01.07.2021 00:00:00   ;   412,08 ;     
01.08.2021 00:00:00   ;   412,05 ;     
01.09.2021 00:00:00   ;   412,02 ;     
01.10.2021 00:00:00   ;   411,99 ;     
01.11.2021 00:00:00   ;   411,97 ;     
01.12.2021 00:00:00   ;   411,95 ;     
01.01.2022 00:00:00   ;Lücke         ; 
