Messstelle:                ;Feistritz, Bl  2561
HZB-Nummer:                ;329516
HD-Nummer:                 ;uw2561
DBMS-Nummer:               ;6002604
PorenGW-Gebiet:            ;364 Mittleres Murtal
Grundwasserkörper:         ;Mittl. Murtal Knittelfeld bis Bruck/Mur [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Wasserwirtschaftliche Rahmenplanung STMK
01.09.1988 00:00:00   ;   597,54 ;     
01.10.1988 00:00:00   ;   597,34 ;     
01.11.1988 00:00:00   ;   597,02 ;     
01.12.1988 00:00:00   ;   596,85 ;     
01.01.1989 00:00:00   ;   596,74 ;     
01.02.1989 00:00:00   ;   596,72 ;     
01.03.1989 00:00:00   ;   596,83 ;     
01.04.1989 00:00:00   ;   597,27 ;     
01.05.1989 00:00:00   ;   597,52 ;     
01.06.1989 00:00:00   ;   597,75 ;     
01.07.1989 00:00:00   ;   598,18 ;     
01.08.1989 00:00:00   ;   597,91 ;     
01.09.1989 00:00:00   ;   597,73 ;     
01.10.1989 00:00:00   ;   597,54 ;     
01.11.1989 00:00:00   ;   597,21 ;     
01.12.1989 00:00:00   ;   596,95 ;     
01.01.1990 00:00:00   ;   596,87 ;     
01.02.1990 00:00:00   ;   596,97 ;     
01.03.1990 00:00:00   ;   597,12 ;     
01.04.1990 00:00:00   ;   597,29 ;     
01.05.1990 00:00:00   ;   597,65 ;     
01.06.1990 00:00:00   ;   597,70 ;     
01.07.1990 00:00:00   ;   597,99 ;     
01.08.1990 00:00:00   ;   597,40 ;     
01.09.1990 00:00:00   ;   597,14 ;     
01.10.1990 00:00:00   ;   597,13 ;     
01.11.1990 00:00:00   ;   597,26 ;     
01.12.1990 00:00:00   ;   597,23 ;     
01.01.1991 00:00:00   ;   596,92 ;     
01.02.1991 00:00:00   ;   596,73 ;     
01.03.1991 00:00:00   ;   596,99 ;     
01.04.1991 00:00:00   ;   597,18 ;     
01.05.1991 00:00:00   ;   597,47 ;     
01.06.1991 00:00:00   ;   597,95 ;     
01.07.1991 00:00:00   ;   598,14 ;     
01.08.1991 00:00:00   ;   597,94 ;     
01.09.1991 00:00:00   ;   597,23 ;     
01.10.1991 00:00:00   ;   597,13 ;     
01.11.1991 00:00:00   ;   597,08 ;     
01.12.1991 00:00:00   ;   597,06 ;     
01.01.1992 00:00:00   ;   596,94 ;     
01.02.1992 00:00:00   ;   596,90 ;     
01.03.1992 00:00:00   ;   597,01 ;     
01.04.1992 00:00:00   ;   597,27 ;     
01.05.1992 00:00:00   ;   598,15 ;     
01.06.1992 00:00:00   ;   598,08 ;     
01.07.1992 00:00:00   ;   597,49 ;     
01.08.1992 00:00:00   ;   597,13 ;     
01.09.1992 00:00:00   ;   597,07 ;     
01.10.1992 00:00:00   ;   597,33 ;     
01.11.1992 00:00:00   ;   597,39 ;     
01.12.1992 00:00:00   ;   597,38 ;     
01.01.1993 00:00:00   ;   597,02 ;     
01.02.1993 00:00:00   ;   596,94 ;     
01.03.1993 00:00:00   ;   596,85 ;     
01.04.1993 00:00:00   ;   596,98 ;     
01.05.1993 00:00:00   ;   597,48 ;     
01.06.1993 00:00:00   ;   597,39 ;     
01.07.1993 00:00:00   ;   597,61 ;     
01.08.1993 00:00:00   ;   597,58 ;     
01.09.1993 00:00:00   ;   597,22 ;     
01.10.1993 00:00:00   ;   597,78 ;     
01.11.1993 00:00:00   ;   597,75 ;     
01.12.1993 00:00:00   ;   597,17 ;     
01.01.1994 00:00:00   ;   597,00 ;     
01.02.1994 00:00:00   ;   596,98 ;     
01.03.1994 00:00:00   ;   597,10 ;     
01.04.1994 00:00:00   ;   597,27 ;     
01.05.1994 00:00:00   ;   597,67 ;     
01.06.1994 00:00:00   ;   597,55 ;     
01.07.1994 00:00:00   ;   597,24 ;     
01.08.1994 00:00:00   ;   597,13 ;     
01.09.1994 00:00:00   ;   597,28 ;     
01.10.1994 00:00:00   ;   597,09 ;     
01.11.1994 00:00:00   ;   597,10 ;     
01.12.1994 00:00:00   ;   596,98 ;     
01.01.1995 00:00:00   ;   596,81 ;     
01.02.1995 00:00:00   ;   596,81 ;     
01.03.1995 00:00:00   ;   596,85 ;     
01.04.1995 00:00:00   ;   597,13 ;     
01.05.1995 00:00:00   ;   597,67 ;     
01.06.1995 00:00:00   ;   597,82 ;     
01.07.1995 00:00:00   ;   597,63 ;     
01.08.1995 00:00:00   ;   597,33 ;     
01.09.1995 00:00:00   ;   597,42 ;     
01.10.1995 00:00:00   ;   597,13 ;     
01.11.1995 00:00:00   ;   596,86 ;     
01.12.1995 00:00:00   ;   596,75 ;     
01.01.1996 00:00:00   ;   596,70 ;     
01.02.1996 00:00:00   ;   596,63 ;     
01.03.1996 00:00:00   ;   596,69 ;     
01.04.1996 00:00:00   ;   597,17 ;     
01.05.1996 00:00:00   ;   597,82 ;     
01.06.1996 00:00:00   ;   597,54 ;     
01.07.1996 00:00:00   ;   597,54 ;     
01.08.1996 00:00:00   ;   597,34 ;     
01.09.1996 00:00:00   ;   597,43 ;     
01.10.1996 00:00:00   ;   597,84 ;     
01.11.1996 00:00:00   ;   597,74 ;     
01.12.1996 00:00:00   ;   597,37 ;     
01.01.1997 00:00:00   ;   596,97 ;     
01.02.1997 00:00:00   ;   596,85 ;     
01.03.1997 00:00:00   ;   596,89 ;     
01.04.1997 00:00:00   ;   596,93 ;     
01.05.1997 00:00:00   ;   597,52 ;     
01.06.1997 00:00:00   ;   597,79 ;     
01.07.1997 00:00:00   ;   597,86 ;     
01.08.1997 00:00:00   ;   597,72 ;     
01.09.1997 00:00:00   ;   597,35 ;     
01.10.1997 00:00:00   ;   597,09 ;     
01.11.1997 00:00:00   ;   596,93 ;     
01.12.1997 00:00:00   ;   596,86 ;     
01.01.1998 00:00:00   ;   596,81 ;     
01.02.1998 00:00:00   ;   596,70 ;     
01.03.1998 00:00:00   ;   596,74 ;     
01.04.1998 00:00:00   ;   597,04 ;     
01.05.1998 00:00:00   ;   597,45 ;     
01.06.1998 00:00:00   ;   597,45 ;     
01.07.1998 00:00:00   ;   597,51 ;     
01.08.1998 00:00:00   ;   597,49 ;     
01.09.1998 00:00:00   ;   597,45 ;     
01.10.1998 00:00:00   ;   597,60 ;     
01.11.1998 00:00:00   ;   597,37 ;     
01.12.1998 00:00:00   ;   597,06 ;     
01.01.1999 00:00:00   ;   596,86 ;     
01.02.1999 00:00:00   ;   596,78 ;     
01.03.1999 00:00:00   ;   596,85 ;     
01.04.1999 00:00:00   ;   597,07 ;     
01.05.1999 00:00:00   ;   597,77 ;     
01.06.1999 00:00:00   ;   597,87 ;     
01.07.1999 00:00:00   ;   597,66 ;     
01.08.1999 00:00:00   ;   597,98 ;     
01.09.1999 00:00:00   ;   598,05 ;     
01.10.1999 00:00:00   ;   597,72 ;     
01.11.1999 00:00:00   ;   597,22 ;     
01.12.1999 00:00:00   ;   596,94 ;     
01.01.2000 00:00:00   ;   596,78 ;     
01.02.2000 00:00:00   ;   596,88 ;     
01.03.2000 00:00:00   ;   597,01 ;     
01.04.2000 00:00:00   ;   597,47 ;     
01.05.2000 00:00:00   ;   598,09 ;     
01.06.2000 00:00:00   ;   597,65 ;     
01.07.2000 00:00:00   ;   597,48 ;     
01.08.2000 00:00:00   ;   597,47 ;     
01.09.2000 00:00:00   ;   597,19 ;     
01.10.2000 00:00:00   ;   597,59 ;     
01.11.2000 00:00:00   ;   597,80 ;     
01.12.2000 00:00:00   ;   597,53 ;     
01.01.2001 00:00:00   ;   597,19 ;     
01.02.2001 00:00:00   ;   597,04 ;     
01.03.2001 00:00:00   ;   597,10 ;     
01.04.2001 00:00:00   ;   597,26 ;     
01.05.2001 00:00:00   ;   597,77 ;     
01.06.2001 00:00:00   ;   597,68 ;     
01.07.2001 00:00:00   ;   597,44 ;     
01.08.2001 00:00:00   ;   597,17 ;     
01.09.2001 00:00:00   ;   597,17 ;     
01.10.2001 00:00:00   ;   597,12 ;     
01.11.2001 00:00:00   ;   596,84 ;     
01.12.2001 00:00:00   ;   596,69 ;     
01.01.2002 00:00:00   ;   596,60 ;     
01.02.2002 00:00:00   ;   596,62 ;     
01.03.2002 00:00:00   ;   596,76 ;     
01.04.2002 00:00:00   ;   596,96 ;     
01.05.2002 00:00:00   ;   597,49 ;     
01.06.2002 00:00:00   ;   597,42 ;     
01.07.2002 00:00:00   ;   597,29 ;     
01.08.2002 00:00:00   ;   597,88 ;     
01.09.2002 00:00:00   ;   597,40 ;     
01.10.2002 00:00:00   ;   597,32 ;     
01.11.2002 00:00:00   ;   597,31 ;     
01.12.2002 00:00:00   ;   597,46 ;     
01.01.2003 00:00:00   ;   597,03 ;     
01.02.2003 00:00:00   ;   596,82 ;     
01.03.2003 00:00:00   ;   596,75 ;     
01.04.2003 00:00:00   ;   596,81 ;     
01.05.2003 00:00:00   ;   597,30 ;     
01.06.2003 00:00:00   ;   597,30 ;     
01.07.2003 00:00:00   ;   597,03 ;     
01.08.2003 00:00:00   ;   596,82 ;     
01.09.2003 00:00:00   ;   596,95 ;     
01.10.2003 00:00:00   ;   597,07 ;     
01.11.2003 00:00:00   ;   597,11 ;     
01.12.2003 00:00:00   ;   596,99 ;     
01.01.2004 00:00:00   ;   596,81 ;     
01.02.2004 00:00:00   ;   596,81 ;     
01.03.2004 00:00:00   ;   596,81 ;     
01.04.2004 00:00:00   ;   597,20 ;     
01.05.2004 00:00:00   ;   597,53 ;     
01.06.2004 00:00:00   ;   597,83 ;     
01.07.2004 00:00:00   ;   597,76 ;     
01.08.2004 00:00:00   ;   597,29 ;     
01.09.2004 00:00:00   ;   597,25 ;     
01.10.2004 00:00:00   ;   597,11 ;     
01.11.2004 00:00:00   ;   597,10 ;     
01.12.2004 00:00:00   ;   596,91 ;     
01.01.2005 00:00:00   ;   596,75 ;     
01.02.2005 00:00:00   ;   596,65 ;     
01.03.2005 00:00:00   ;   596,82 ;     
01.04.2005 00:00:00   ;   597,27 ;     
01.05.2005 00:00:00   ;   597,53 ;     
01.06.2005 00:00:00   ;   597,38 ;     
01.07.2005 00:00:00   ;   597,68 ;     
01.08.2005 00:00:00   ;   597,78 ;     
01.09.2005 00:00:00   ;   597,61 ;     
01.10.2005 00:00:00   ;   597,80 ;     
01.11.2005 00:00:00   ;   597,18 ;     
01.12.2005 00:00:00   ;   596,92 ;     
01.01.2006 00:00:00   ;   596,78 ;     
01.02.2006 00:00:00   ;   596,71 ;     
01.03.2006 00:00:00   ;   596,76 ;     
01.04.2006 00:00:00   ;   597,24 ;     
01.05.2006 00:00:00   ;   597,82 ;     
01.06.2006 00:00:00   ;   597,73 ;     
01.07.2006 00:00:00   ;   597,47 ;     
01.08.2006 00:00:00   ;   597,36 ;     
01.09.2006 00:00:00   ;   597,17 ;     
01.10.2006 00:00:00   ;   597,06 ;     
01.11.2006 00:00:00   ;   596,99 ;     
01.12.2006 00:00:00   ;   596,91 ;     
01.01.2007 00:00:00   ;   596,82 ;     
01.02.2007 00:00:00   ;   596,78 ;     
01.03.2007 00:00:00   ;   596,83 ;     
01.04.2007 00:00:00   ;   597,19 ;     
01.05.2007 00:00:00   ;   597,30 ;     
01.06.2007 00:00:00   ;   597,31 ;     
01.07.2007 00:00:00   ;   597,50 ;     
01.08.2007 00:00:00   ;   597,17 ;     
01.09.2007 00:00:00   ;   597,48 ;     
01.10.2007 00:00:00   ;   597,27 ;     
01.11.2007 00:00:00   ;   597,09 ;     
01.12.2007 00:00:00   ;   596,99 ;     
01.01.2008 00:00:00   ;   596,82 ;     
01.02.2008 00:00:00   ;   596,70 ;     
01.03.2008 00:00:00   ;   596,76 ;     
01.04.2008 00:00:00   ;   596,88 ;     
01.05.2008 00:00:00   ;   597,41 ;     
01.06.2008 00:00:00   ;   597,56 ;     
01.07.2008 00:00:00   ;   597,30 ;     
01.08.2008 00:00:00   ;   597,36 ;     
01.09.2008 00:00:00   ;   597,12 ;     
01.10.2008 00:00:00   ;   597,03 ;     
01.11.2008 00:00:00   ;   597,04 ;     
01.12.2008 00:00:00   ;   596,99 ;     
01.01.2009 00:00:00   ;   596,86 ;     
01.02.2009 00:00:00   ;   596,74 ;     
01.03.2009 00:00:00   ;   596,81 ;     
01.04.2009 00:00:00   ;   597,44 ;     
01.05.2009 00:00:00   ;   597,93 ;     
01.06.2009 00:00:00   ;   597,83 ;     
01.07.2009 00:00:00   ;   597,81 ;     
01.08.2009 00:00:00   ;   597,55 ;     
01.09.2009 00:00:00   ;   597,78 ;     
01.10.2009 00:00:00   ;   597,41 ;     
01.11.2009 00:00:00   ;   597,20 ;     
01.12.2009 00:00:00   ;   597,04 ;     
01.01.2010 00:00:00   ;   596,87 ;     
01.02.2010 00:00:00   ;   596,73 ;     
01.03.2010 00:00:00   ;   596,77 ;     
01.04.2010 00:00:00   ;   596,93 ;     
01.05.2010 00:00:00   ;   597,45 ;     
01.06.2010 00:00:00   ;   597,53 ;     
01.07.2010 00:00:00   ;   597,32 ;     
01.08.2010 00:00:00   ;   597,17 ;     
01.09.2010 00:00:00   ;   597,32 ;     
01.10.2010 00:00:00   ;   597,13 ;     
01.11.2010 00:00:00   ;   597,11 ;     
01.12.2010 00:00:00   ;   597,06 ;     
01.01.2011 00:00:00   ;   596,89 ;     
01.02.2011 00:00:00   ;   596,79 ;     
01.03.2011 00:00:00   ;   596,76 ;     
01.04.2011 00:00:00   ;   596,97 ;     
01.05.2011 00:00:00   ;   597,08 ;     
01.06.2011 00:00:00   ;   597,40 ;     
01.07.2011 00:00:00   ;   597,27 ;     
01.08.2011 00:00:00   ;   597,18 ;     
01.09.2011 00:00:00   ;   597,06 ;     
01.10.2011 00:00:00   ;   597,14 ;     
01.11.2011 00:00:00   ;   596,98 ;     
01.12.2011 00:00:00   ;   596,71 ;     
01.01.2012 00:00:00   ;   596,61 ;     
01.02.2012 00:00:00   ;   596,57 ;     
01.03.2012 00:00:00   ;   596,85 ;     
01.04.2012 00:00:00   ;   597,06 ;     
01.05.2012 00:00:00   ;   597,45 ;     
01.06.2012 00:00:00   ;   597,50 ;     
01.07.2012 00:00:00   ;   598,02 ;     
01.08.2012 00:00:00   ;   597,70 ;     
01.09.2012 00:00:00   ;   597,47 ;     
01.10.2012 00:00:00   ;   597,37 ;     
01.11.2012 00:00:00   ;   597,57 ;     
01.12.2012 00:00:00   ;   597,26 ;     
01.01.2013 00:00:00   ;   597,06 ;     
01.02.2013 00:00:00   ;   596,86 ;     
01.03.2013 00:00:00   ;   597,16 ;     
01.04.2013 00:00:00   ;   597,52 ;     
01.05.2013 00:00:00   ;   598,04 ;     
01.06.2013 00:00:00   ;   597,78 ;     
01.07.2013 00:00:00   ;   597,25 ;     
01.08.2013 00:00:00   ;   596,93 ;     
01.09.2013 00:00:00   ;   596,96 ;     
01.10.2013 00:00:00   ;   597,03 ;     
01.11.2013 00:00:00   ;   597,37 ;     
01.12.2013 00:00:00   ;   597,14 ;     
01.01.2014 00:00:00   ;   596,96 ;     
01.02.2014 00:00:00   ;   597,04 ;     
01.03.2014 00:00:00   ;   597,21 ;     
01.04.2014 00:00:00   ;   597,45 ;     
01.05.2014 00:00:00   ;   597,74 ;     
01.06.2014 00:00:00   ;   597,54 ;     
01.07.2014 00:00:00   ;   597,24 ;     
01.08.2014 00:00:00   ;   597,36 ;     
01.09.2014 00:00:00   ;   598,03 ;     
01.10.2014 00:00:00   ;   597,36 ;     
01.11.2014 00:00:00   ;   597,44 ;     
01.12.2014 00:00:00   ;   597,21 ;     
01.01.2015 00:00:00   ;   597,07 ;     
01.02.2015 00:00:00   ;   596,89 ;     
01.03.2015 00:00:00   ;   596,82 ;     
01.04.2015 00:00:00   ;   597,05 ;     
01.05.2015 00:00:00   ;   597,48 ;     
01.06.2015 00:00:00   ;   597,41 ;     
01.07.2015 00:00:00   ;   597,19 ;     
01.08.2015 00:00:00   ;   597,28 ;     
01.09.2015 00:00:00   ;   597,06 ;     
01.10.2015 00:00:00   ;   597,23 ;     
01.11.2015 00:00:00   ;   597,00 ;     
01.12.2015 00:00:00   ;   596,74 ;     
01.01.2016 00:00:00   ;   596,63 ;     
01.02.2016 00:00:00   ;   596,71 ;     
01.03.2016 00:00:00   ;   596,80 ;     
01.04.2016 00:00:00   ;   597,10 ;     
01.05.2016 00:00:00   ;   597,30 ;     
01.06.2016 00:00:00   ;   597,49 ;     
01.07.2016 00:00:00   ;   597,56 ;     
01.08.2016 00:00:00   ;   597,71 ;     
01.09.2016 00:00:00   ;   597,33 ;     
01.10.2016 00:00:00   ;   597,03 ;     
01.11.2016 00:00:00   ;   597,07 ;     
01.12.2016 00:00:00   ;   596,88 ;     
01.01.2017 00:00:00   ;   596,66 ;     
01.02.2017 00:00:00   ;   596,67 ;     
01.03.2017 00:00:00   ;   596,72 ;     
01.04.2017 00:00:00   ;   596,93 ;     
01.05.2017 00:00:00   ;   597,17 ;     
01.06.2017 00:00:00   ;   597,22 ;     
01.07.2017 00:00:00   ;   597,15 ;     
01.08.2017 00:00:00   ;   597,94 ;     
01.09.2017 00:00:00   ;   597,73 ;     
01.10.2017 00:00:00   ;   597,34 ;     
01.11.2017 00:00:00   ;   597,08 ;     
01.12.2017 00:00:00   ;   596,90 ;     
01.01.2018 00:00:00   ;   596,85 ;     
01.02.2018 00:00:00   ;   596,76 ;     
01.03.2018 00:00:00   ;   596,77 ;     
01.04.2018 00:00:00   ;   597,39 ;     
01.05.2018 00:00:00   ;   597,96 ;     
01.06.2018 00:00:00   ;   597,67 ;     
01.07.2018 00:00:00   ;   597,23 ;     
01.08.2018 00:00:00   ;   596,98 ;     
01.09.2018 00:00:00   ;   597,18 ;     
01.10.2018 00:00:00   ;   596,88 ;     
01.11.2018 00:00:00   ;   597,12 ;     
01.12.2018 00:00:00   ;   596,86 ;     
01.01.2019 00:00:00   ;   596,74 ;     
01.02.2019 00:00:00   ;   596,77 ;     
01.03.2019 00:00:00   ;   596,92 ;     
01.04.2019 00:00:00   ;   597,21 ;     
01.05.2019 00:00:00   ;   597,42 ;     
01.06.2019 00:00:00   ;   597,79 ;     
01.07.2019 00:00:00   ;   597,23 ;     
01.08.2019 00:00:00   ;   596,96 ;     
01.09.2019 00:00:00   ;   596,98 ;     
01.10.2019 00:00:00   ;   596,84 ;     
01.11.2019 00:00:00   ;   597,32 ;     
01.12.2019 00:00:00   ;   597,34 ;     
01.01.2020 00:00:00   ;   596,97 ;     
01.02.2020 00:00:00   ;   596,84 ;     
01.03.2020 00:00:00   ;   596,92 ;     
01.04.2020 00:00:00   ;   597,10 ;     
01.05.2020 00:00:00   ;   597,41 ;     
01.06.2020 00:00:00   ;   597,37 ;     
01.07.2020 00:00:00   ;   597,43 ;     
01.08.2020 00:00:00   ;   597,44 ;     
01.09.2020 00:00:00   ;   597,54 ;     
01.10.2020 00:00:00   ;   597,52 ;     
01.11.2020 00:00:00   ;   597,23 ;     
01.12.2020 00:00:00   ;   596,98 ;     
01.01.2021 00:00:00   ;   596,82 ;     
01.02.2021 00:00:00   ;   596,83 ;     
01.03.2021 00:00:00   ;   596,81 ;     
01.04.2021 00:00:00   ;   596,86 ;     
01.05.2021 00:00:00   ;   597,29 ;     
01.06.2021 00:00:00   ;   597,58 ;     
01.07.2021 00:00:00   ;   597,17 ;     
01.08.2021 00:00:00   ;   597,14 ;     
01.09.2021 00:00:00   ;   596,96 ;     
01.10.2021 00:00:00   ;   596,79 ;     
01.11.2021 00:00:00   ;   596,74 ;     
01.12.2021 00:00:00   ;   596,64 ;     
01.01.2022 00:00:00   ;Lücke         ; 
