Messstelle:                ;Lindham, Bl 2147.017
HZB-Nummer:                ;344101
HD-Nummer:                 ;2147.017
DBMS-Nummer:               ;4003136
Fremdnummer:               ;O31neu
PorenGW-Gebiet:            ;095 Nördliches Eferdinger Becken
Grundwasserkörper:         ;Eferdinger Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Österreichische Draukraftwerke-AG.
01.09.2007 00:00:00   ;   255,33 ;     
01.10.2007 00:00:00   ;   255,34 ;     
01.11.2007 00:00:00   ;   255,29 ;     
01.12.2007 00:00:00   ;   255,65 ;     
01.01.2008 00:00:00   ;   255,58 ;     
01.02.2008 00:00:00   ;   255,51 ;     
01.03.2008 00:00:00   ;   255,64 ;     
01.04.2008 00:00:00   ;   255,81 ;     
01.05.2008 00:00:00   ;   255,79 ;     
01.06.2008 00:00:00   ;   255,63 ;     
01.07.2008 00:00:00   ;   255,48 ;     
01.08.2008 00:00:00   ;   255,39 ;     
01.09.2008 00:00:00   ;   255,26 ;     
01.10.2008 00:00:00   ;   255,10 ;     
01.11.2008 00:00:00   ;   255,00 ;     
01.12.2008 00:00:00   ;   255,00 ;     
01.01.2009 00:00:00   ;   255,02 ;     
01.02.2009 00:00:00   ;   254,97 ;     
01.03.2009 00:00:00   ;   255,46 ;     
01.04.2009 00:00:00   ;   255,96 ;     
01.05.2009 00:00:00   ;   255,70 ;     
01.06.2009 00:00:00   ;   255,68 ;     
01.07.2009 00:00:00   ;   256,25 ;     
01.08.2009 00:00:00   ;   255,96 ;     
01.09.2009 00:00:00   ;   255,43 ;     
01.10.2009 00:00:00   ;   255,45 ;     
01.11.2009 00:00:00   ;   255,34 ;     
01.12.2009 00:00:00   ;   255,30 ;     
01.01.2010 00:00:00   ;   255,24 ;     
01.02.2010 00:00:00   ;   255,13 ;     
01.03.2010 00:00:00   ;   255,33 ;     
01.04.2010 00:00:00   ;   255,50 ;     
01.05.2010 00:00:00   ;   255,39 ;     
01.06.2010 00:00:00   ;   255,81 ;     
01.07.2010 00:00:00   ;   255,72 ;     
01.08.2010 00:00:00   ;   255,91 ;     
01.09.2010 00:00:00   ;   255,81 ;     
01.10.2010 00:00:00   ;   255,48 ;     
01.11.2010 00:00:00   ;   255,27 ;     
01.12.2010 00:00:00   ;   255,29 ;     
01.01.2011 00:00:00   ;   255,50 ;     
01.02.2011 00:00:00   ;   255,62 ;     
01.03.2011 00:00:00   ;   255,40 ;     
01.04.2011 00:00:00   ;   255,27 ;     
01.05.2011 00:00:00   ;   255,14 ;     
01.06.2011 00:00:00   ;   255,19 ;     
01.07.2011 00:00:00   ;   255,28 ;     
01.08.2011 00:00:00   ;   255,35 ;     
01.09.2011 00:00:00   ;   255,29 ;     
01.10.2011 00:00:00   ;   255,32 ;     
01.11.2011 00:00:00   ;   255,23 ;     
01.12.2011 00:00:00   ;   255,11 ;     
01.01.2012 00:00:00   ;   255,51 ;     
01.02.2012 00:00:00   ;   255,91 ;     
01.03.2012 00:00:00   ;   255,70 ;     
01.04.2012 00:00:00   ;   255,56 ;     
01.05.2012 00:00:00   ;   255,42 ;     
01.06.2012 00:00:00   ;   255,54 ;     
01.07.2012 00:00:00   ;   255,59 ;     
01.08.2012 00:00:00   ;   255,39 ;     
01.09.2012 00:00:00   ;   255,33 ;     
01.10.2012 00:00:00   ;   255,26 ;     
01.11.2012 00:00:00   ;   255,21 ;     
01.12.2012 00:00:00   ;   255,15 ;     
01.01.2013 00:00:00   ;   255,60 ;     
01.02.2013 00:00:00   ;   255,95 ;     
01.03.2013 00:00:00   ;   255,85 ;     
01.04.2013 00:00:00   ;   255,63 ;     
01.05.2013 00:00:00   ;   255,76 ;     
01.06.2013 00:00:00   ;   258,28 ;     
01.07.2013 00:00:00   ;   256,59 ;     
01.08.2013 00:00:00   ;   255,85 ;     
01.09.2013 00:00:00   ;   255,62 ;     
01.10.2013 00:00:00   ;   255,56 ;     
01.11.2013 00:00:00   ;   255,51 ;     
01.12.2013 00:00:00   ;   255,39 ;     
01.01.2014 00:00:00   ;   255,26 ;     
01.02.2014 00:00:00   ;   255,18 ;     
01.03.2014 00:00:00   ;   255,13 ;     
01.04.2014 00:00:00   ;   255,09 ;     
01.05.2014 00:00:00   ;   255,20 ;     
01.06.2014 00:00:00   ;   255,33 ;     
01.07.2014 00:00:00   ;   255,29 ;     
01.08.2014 00:00:00   ;   255,46 ;     
01.09.2014 00:00:00   ;   255,48 ;     
01.10.2014 00:00:00   ;   255,44 ;     
01.11.2014 00:00:00   ;   255,48 ;     
01.12.2014 00:00:00   ;   255,29 ;     
01.01.2015 00:00:00   ;   255,35 ;     
01.02.2015 00:00:00   ;   255,38 ;     
01.03.2015 00:00:00   ;   255,25 ;     
01.04.2015 00:00:00   ;   255,35 ;     
01.05.2015 00:00:00   ;   255,46 ;     
01.06.2015 00:00:00   ;   255,62 ;     
01.07.2015 00:00:00   ;   255,42 ;     
01.08.2015 00:00:00   ;   255,13 ;     
01.09.2015 00:00:00   ;   254,94 ;     
01.10.2015 00:00:00   ;   254,88 ;     
01.11.2015 00:00:00   ;   254,83 ;     
01.12.2015 00:00:00   ;   254,83 ;     
01.01.2016 00:00:00   ;   254,78 ;     
01.02.2016 00:00:00   ;   255,05 ;     
01.03.2016 00:00:00   ;   255,24 ;     
01.04.2016 00:00:00   ;   255,13 ;     
01.05.2016 00:00:00   ;   255,15 ;     
01.06.2016 00:00:00   ;   255,75 ;     
01.07.2016 00:00:00   ;   255,94 ;     
01.08.2016 00:00:00   ;   255,82 ;     
01.09.2016 00:00:00   ;   255,56 ;     
01.10.2016 00:00:00   ;   255,36 ;     
01.11.2016 00:00:00   ;   255,22 ;     
01.12.2016 00:00:00   ;   255,16 ;     
01.01.2017 00:00:00   ;   255,04 ;     
01.02.2017 00:00:00   ;   254,98 ;     
01.03.2017 00:00:00   ;   255,29 ;     
01.04.2017 00:00:00   ;   255,41 ;     
01.05.2017 00:00:00   ;   255,56 ;     
01.06.2017 00:00:00   ;   255,52 ;     
01.07.2017 00:00:00   ;   255,32 ;     
01.08.2017 00:00:00   ;   255,38 ;     
01.09.2017 00:00:00   ;   255,42 ;     
01.10.2017 00:00:00   ;   255,29 ;     
01.11.2017 00:00:00   ;   255,23 ;     
01.12.2017 00:00:00   ;   255,26 ;     
01.01.2018 00:00:00   ;   255,66 ;     
01.02.2018 00:00:00   ;   255,90 ;     
01.03.2018 00:00:00   ;   255,55 ;     
01.04.2018 00:00:00   ;   255,35 ;     
01.05.2018 00:00:00   ;   255,30 ;     
01.06.2018 00:00:00   ;   255,23 ;     
01.07.2018 00:00:00   ;   255,13 ;     
01.08.2018 00:00:00   ;   254,98 ;     
01.09.2018 00:00:00   ;   254,92 ;     
01.10.2018 00:00:00   ;   254,83 ;     
01.11.2018 00:00:00   ;   254,76 ;     
01.12.2018 00:00:00   ;   254,79 ;     
01.01.2019 00:00:00   ;   255,12 ;     
01.02.2019 00:00:00   ;   255,20 ;     
01.03.2019 00:00:00   ;   255,46 ;     
01.04.2019 00:00:00   ;   255,60 ;     
01.05.2019 00:00:00   ;   255,47 ;     
01.06.2019 00:00:00   ;   255,75 ;     
01.07.2019 00:00:00   ;   255,56 ;     
01.08.2019 00:00:00   ;   255,35 ;     
01.09.2019 00:00:00   ;   255,24 ;     
01.10.2019 00:00:00   ;   255,12 ;     
01.11.2019 00:00:00   ;   255,03 ;     
01.12.2019 00:00:00   ;   254,95 ;     
01.01.2020 00:00:00   ;   254,90 ;     
01.02.2020 00:00:00   ;   255,15 ;     
01.03.2020 00:00:00   ;   255,38 ;     
01.04.2020 00:00:00   ;   255,24 ;     
01.05.2020 00:00:00   ;   255,12 ;     
01.06.2020 00:00:00   ;   255,12 ;     
01.07.2020 00:00:00   ;   255,32 ;     
01.08.2020 00:00:00   ;   255,39 ;     
01.09.2020 00:00:00   ;   255,27 ;     
01.10.2020 00:00:00   ;   255,16 ;     
01.11.2020 00:00:00   ;   255,21 ;     
01.12.2020 00:00:00   ;   255,10 ;     
01.01.2021 00:00:00   ;   254,98 ;     
01.02.2021 00:00:00   ;   255,40 ;     
01.03.2021 00:00:00   ;   255,48 ;     
01.04.2021 00:00:00   ;   255,26 ;     
01.05.2021 00:00:00   ;   255,20 ;     
01.06.2021 00:00:00   ;   255,34 ;     
01.07.2021 00:00:00   ;   255,50 ;     
01.08.2021 00:00:00   ;   255,79 ;     
01.09.2021 00:00:00   ;   255,74 ;     
01.10.2021 00:00:00   ;   255,48 ;     
01.11.2021 00:00:00   ;   255,26 ;     
01.12.2021 00:00:00   ;   255,16 ;     
01.01.2022 00:00:00   ;Lücke         ; 
