Messstelle:                ;Überackern, Bl W1
HZB-Nummer:                ;344713
HD-Nummer:                 ;HD4003255
DBMS-Nummer:               ;4003255
PorenGW-Gebiet:            ;041 Weilharterforst
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;O.Ö. Landeswasserversorgungsunternehmen AG
01.03.2012 00:00:00   ;   357,59 ;     
01.04.2012 00:00:00   ;   357,60 ;     
01.05.2012 00:00:00   ;   357,59 ;     
01.06.2012 00:00:00   ;   357,58 ;     
01.07.2012 00:00:00   ;   357,56 ;     
01.08.2012 00:00:00   ;   357,55 ;     
01.09.2012 00:00:00   ;   357,53 ;     
01.10.2012 00:00:00   ;   357,52 ;     
01.11.2012 00:00:00   ;   357,50 ;     
01.12.2012 00:00:00   ;   357,49 ;     
01.01.2013 00:00:00   ;   357,47 ;     
01.02.2013 00:00:00   ;   357,50 ;     
01.03.2013 00:00:00   ;   357,59 ;     
01.04.2013 00:00:00   ;   357,66 ;     
01.05.2013 00:00:00   ;   357,70 ;     
01.06.2013 00:00:00   ;   357,82 ;     
01.07.2013 00:00:00   ;   358,19 ;     
01.08.2013 00:00:00   ;   358,28 ;     
01.09.2013 00:00:00   ;   358,27 ;     
01.10.2013 00:00:00   ;   358,23 ;     
01.11.2013 00:00:00   ;   358,18 ;     
01.12.2013 00:00:00   ;   358,12 ;     
01.01.2014 00:00:00   ;   358,07 ;     
01.02.2014 00:00:00   ;   358,01 ;     
01.03.2014 00:00:00   ;   357,95 ;     
01.04.2014 00:00:00   ;   357,89 ;     
01.05.2014 00:00:00   ;   357,84 ;     
01.06.2014 00:00:00   ;   357,78 ;     
01.07.2014 00:00:00   ;   357,73 ;     
01.08.2014 00:00:00   ;   357,68 ;     
01.09.2014 00:00:00   ;   357,64 ;     
01.10.2014 00:00:00   ;   357,59 ;     
01.11.2014 00:00:00   ;   357,55 ;     
01.12.2014 00:00:00   ;   357,52 ;     
01.01.2015 00:00:00   ;   357,49 ;     
01.02.2015 00:00:00   ;   357,46 ;     
01.03.2015 00:00:00   ;   357,45 ;     
01.04.2015 00:00:00   ;   357,44 ;     
01.05.2015 00:00:00   ;   357,43 ;     
01.06.2015 00:00:00   ;   357,45 ;     
01.07.2015 00:00:00   ;   357,52 ;     
01.08.2015 00:00:00   ;   357,54 ;     
01.09.2015 00:00:00   ;   357,53 ;     
01.10.2015 00:00:00   ;   357,51 ;     
01.11.2015 00:00:00   ;   357,48 ;     
01.12.2015 00:00:00   ;   357,46 ;     
01.01.2016 00:00:00   ;   357,43 ;     
01.02.2016 00:00:00   ;   357,40 ;     
01.03.2016 00:00:00   ;   357,35 ;     
01.04.2016 00:00:00   ;   357,35 ;     
01.05.2016 00:00:00   ;   357,32 ;     
01.06.2016 00:00:00   ;   357,34 ;     
01.07.2016 00:00:00   ;   357,45 ;     
01.08.2016 00:00:00   ;   357,51 ;     
01.09.2016 00:00:00   ;   357,51 ;     
01.10.2016 00:00:00   ;   357,50 ;     
01.11.2016 00:00:00   ;   357,49 ;     
01.12.2016 00:00:00   ;   357,47 ;     
01.01.2017 00:00:00   ;   357,45 ;     
01.02.2017 00:00:00   ;   357,43 ;     
01.03.2017 00:00:00   ;   357,42 ;     
01.04.2017 00:00:00   ;   357,40 ;     
01.05.2017 00:00:00   ;   357,39 ;     
01.06.2017 00:00:00   ;   357,39 ;     
01.07.2017 00:00:00   ;   357,39 ;     
01.08.2017 00:00:00   ;   357,38 ;     
01.09.2017 00:00:00   ;   357,38 ;     
01.10.2017 00:00:00   ;   357,37 ;     
01.11.2017 00:00:00   ;   357,36 ;     
01.12.2017 00:00:00   ;   357,35 ;     
01.01.2018 00:00:00   ;   357,35 ;     
01.02.2018 00:00:00   ;   357,37 ;     
01.03.2018 00:00:00   ;   357,41 ;     
01.04.2018 00:00:00   ;   357,43 ;     
01.05.2018 00:00:00   ;   357,44 ;     
01.06.2018 00:00:00   ;   357,43 ;     
01.07.2018 00:00:00   ;   357,41 ;     
01.08.2018 00:00:00   ;   357,39 ;     
01.09.2018 00:00:00   ;   357,37 ;     
01.10.2018 00:00:00   ;   357,35 ;     
01.11.2018 00:00:00   ;   357,33 ;     
01.12.2018 00:00:00   ;   357,31 ;     
01.01.2019 00:00:00   ;   357,28 ;     
01.02.2019 00:00:00   ;   357,28 ;     
01.03.2019 00:00:00   ;   357,29 ;     
01.04.2019 00:00:00   ;   357,30 ;     
01.05.2019 00:00:00   ;   357,32 ;     
01.06.2019 00:00:00   ;   357,33 ;     
01.07.2019 00:00:00   ;   357,32 ;     
01.08.2019 00:00:00   ;   357,32 ;     
01.09.2019 00:00:00   ;   357,31 ;     
01.10.2019 00:00:00   ;   357,29 ;     
01.11.2019 00:00:00   ;   357,27 ;     
01.12.2019 00:00:00   ;   357,25 ;     
01.01.2020 00:00:00   ;   357,23 ;     
01.02.2020 00:00:00   ;   357,20 ;     
01.03.2020 00:00:00   ;   357,18 ;     
01.04.2020 00:00:00   ;   357,15 ;     
01.05.2020 00:00:00   ;   357,12 ;     
01.06.2020 00:00:00   ;   357,09 ;     
01.07.2020 00:00:00   ;   357,07 ;     
01.08.2020 00:00:00   ;   357,06 ;     
01.09.2020 00:00:00   ;   357,06 ;     
01.10.2020 00:00:00   ;   357,08 ;     
01.11.2020 00:00:00   ;   357,07 ;     
01.12.2020 00:00:00   ;   357,05 ;     
01.01.2021 00:00:00   ;   357,03 ;     
01.02.2021 00:00:00   ;   357,03 ;     
01.03.2021 00:00:00   ;   357,02 ;     
01.04.2021 00:00:00   ;   357,02 ;     
01.05.2021 00:00:00   ;   357,02 ;     
01.06.2021 00:00:00   ;   357,01 ;     
01.07.2021 00:00:00   ;   357,02 ;     
01.08.2021 00:00:00   ;   357,06 ;     
01.09.2021 00:00:00   ;   357,16 ;     
01.10.2021 00:00:00   ;   357,25 ;     
01.11.2021 00:00:00   ;   357,28 ;     
01.12.2021 00:00:00   ;   357,29 ;     
01.01.2022 00:00:00   ;Lücke         ; 
