Messstelle:                ;Moosbrunn, Bl J6
HZB-Nummer:                ;357095
HD-Nummer:                 ;
DBMS-Nummer:               ;11002133
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
01.05.2003 00:00:00   ;   182,73 ;     
01.06.2003 00:00:00   ;   182,65 ;     
01.07.2003 00:00:00   ;   182,62 ;     
01.08.2003 00:00:00   ;   182,60 ;     
01.09.2003 00:00:00   ;   182,64 ;     
01.10.2003 00:00:00   ;   182,70 ;     
01.11.2003 00:00:00   ;   182,77 ;     
01.12.2003 00:00:00   ;   182,73 ;     
01.01.2004 00:00:00   ;   182,82 ;     
01.02.2004 00:00:00   ;   182,84 ;     
01.03.2004 00:00:00   ;   182,87 ;     
01.04.2004 00:00:00   ;   182,81 ;     
01.05.2004 00:00:00   ;   182,74 ;     
01.06.2004 00:00:00   ;   182,82 ;     
01.07.2004 00:00:00   ;   182,71 ;     
01.08.2004 00:00:00   ;   182,65 ;     
01.09.2004 00:00:00   ;   182,68 ;     
01.10.2004 00:00:00   ;   182,76 ;     
01.11.2004 00:00:00   ;   182,80 ;     
01.12.2004 00:00:00   ;   182,78 ;     
01.01.2005 00:00:00   ;   182,76 ;     
01.02.2005 00:00:00   ;   182,80 ;     
01.03.2005 00:00:00   ;   182,84 ;     
01.04.2005 00:00:00   ;   182,76 ;     
01.05.2005 00:00:00   ;   182,70 ;     
01.06.2005 00:00:00   ;   182,62 ;     
01.07.2005 00:00:00   ;   182,64 ;     
01.08.2005 00:00:00   ;   182,68 ;     
01.09.2005 00:00:00   ;   182,72 ;     
01.10.2005 00:00:00   ;   182,72 ;     
01.11.2005 00:00:00   ;   182,75 ;     
01.12.2005 00:00:00   ;   182,79 ;     
01.01.2006 00:00:00   ;   182,84 ;     
01.02.2006 00:00:00   ;   182,84 ;     
01.03.2006 00:00:00   ;   182,84 ;     
01.04.2006 00:00:00   ;   182,81 ;     
01.05.2006 00:00:00   ;   182,79 ;     
01.06.2006 00:00:00   ;   182,78 ;     
01.07.2006 00:00:00   ;   182,66 ;     
01.08.2006 00:00:00   ;   182,77 ;     
01.09.2006 00:00:00   ;   182,72 ;     
01.10.2006 00:00:00   ;   182,70 ;     
01.11.2006 00:00:00   ;   182,76 ;     
01.12.2006 00:00:00   ;   182,76 ;     
01.01.2007 00:00:00   ;   182,78 ;     
01.02.2007 00:00:00   ;   182,74 ;     
01.03.2007 00:00:00   ;   182,79 ;     
01.04.2007 00:00:00   ;   182,71 ;     
01.05.2007 00:00:00   ;   182,66 ;     
01.06.2007 00:00:00   ;   182,61 ;     
01.07.2007 00:00:00   ;   182,58 ;     
01.08.2007 00:00:00   ;   182,64 ;     
01.09.2007 00:00:00   ;   182,87 ;     
01.10.2007 00:00:00   ;   182,84 ;     
01.11.2007 00:00:00   ;   182,92 ;     
01.12.2007 00:00:00   ;   182,94 ;     
01.01.2008 00:00:00   ;   182,87 ;     
01.02.2008 00:00:00   ;   182,82 ;     
01.03.2008 00:00:00   ;   182,79 ;     
01.04.2008 00:00:00   ;   182,75 ;     
01.05.2008 00:00:00   ;   182,73 ;     
01.06.2008 00:00:00   ;   182,80 ;     
01.07.2008 00:00:00   ;   182,83 ;     
01.08.2008 00:00:00   ;   182,84 ;     
01.09.2008 00:00:00   ;   182,82 ;     
01.10.2008 00:00:00   ;   182,81 ;     
01.11.2008 00:00:00   ;   182,81 ;     
01.12.2008 00:00:00   ;   182,84 ;     
01.01.2009 00:00:00   ;   182,81 ;     
01.02.2009 00:00:00   ;   182,89 ;     
01.03.2009 00:00:00   ;   182,92 ;     
01.04.2009 00:00:00   ;   182,87 ;     
01.05.2009 00:00:00   ;   182,75 ;     
01.06.2009 00:00:00   ;   182,85 ;     
01.07.2009 00:00:00   ;   182,92 ;     
01.08.2009 00:00:00   ;   182,86 ;     
01.09.2009 00:00:00   ;   182,81 ;     
01.10.2009 00:00:00   ;   182,79 ;     
01.11.2009 00:00:00   ;   182,84 ;     
01.12.2009 00:00:00   ;   182,83 ;     
01.01.2010 00:00:00   ;   182,80 ;     
01.02.2010 00:00:00   ;   182,78 ;     
01.03.2010 00:00:00   ;   182,76 ;     
01.04.2010 00:00:00   ;   182,81 ;     
01.05.2010 00:00:00   ;   182,77 ;     
01.06.2010 00:00:00   ;   182,81 ;     
01.07.2010 00:00:00   ;   182,69 ;     
01.08.2010 00:00:00   ;   182,83 ;     
01.09.2010 00:00:00   ;   182,82 ;     
01.10.2010 00:00:00   ;   182,82 ;     
01.11.2010 00:00:00   ;   182,80 ;     
01.12.2010 00:00:00   ;   182,86 ;     
01.01.2011 00:00:00   ;   182,84 ;     
01.02.2011 00:00:00   ;   182,77 ;     
01.03.2011 00:00:00   ;   182,74 ;     
01.04.2011 00:00:00   ;   182,69 ;     
01.05.2011 00:00:00   ;   182,67 ;     
01.06.2011 00:00:00   ;   182,67 ;     
01.07.2011 00:00:00   ;   182,66 ;     
01.08.2011 00:00:00   ;   182,70 ;     
01.09.2011 00:00:00   ;   182,67 ;     
01.10.2011 00:00:00   ;   182,73 ;     
01.11.2011 00:00:00   ;   182,71 ;     
01.12.2011 00:00:00   ;   182,70 ;     
01.01.2012 00:00:00   ;   182,76 ;     
01.02.2012 00:00:00   ;   182,72 ;     
01.03.2012 00:00:00   ;   182,73 ;     
01.04.2012 00:00:00   ;   182,68 ;     
01.05.2012 00:00:00   ;   182,61 ;     
01.06.2012 00:00:00   ;   182,60 ;     
01.07.2012 00:00:00   ;   182,64 ;     
01.08.2012 00:00:00   ;   182,62 ;     
01.09.2012 00:00:00   ;   182,67 ;     
01.10.2012 00:00:00   ;   182,68 ;     
01.11.2012 00:00:00   ;   182,74 ;     
01.12.2012 00:00:00   ;   182,75 ;     
01.01.2013 00:00:00   ;   182,88 ;     
01.02.2013 00:00:00   ;   182,90 ;     
01.03.2013 00:00:00   ;   182,88 ;     
01.04.2013 00:00:00   ;   182,84 ;     
01.05.2013 00:00:00   ;   182,75 ;     
01.06.2013 00:00:00   ;   182,80 ;     
01.07.2013 00:00:00   ;   182,64 ;     
01.08.2013 00:00:00   ;   182,58 ;     
01.09.2013 00:00:00   ;   182,70 ;     
01.10.2013 00:00:00   ;   182,70 ;     
01.11.2013 00:00:00   ;   182,80 ;     
01.12.2013 00:00:00   ;   182,79 ;     
01.01.2014 00:00:00   ;   182,73 ;     
01.02.2014 00:00:00   ;   182,74 ;     
01.03.2014 00:00:00   ;   182,67 ;     
01.04.2014 00:00:00   ;   182,67 ;     
01.05.2014 00:00:00   ;   182,81 ;     
01.06.2014 00:00:00   ;   182,66 ;     
01.07.2014 00:00:00   ;   182,66 ;     
01.08.2014 00:00:00   ;   182,72 ;     
01.09.2014 00:00:00   ;   182,93 ;     
01.10.2014 00:00:00   ;   182,85 ;     
01.11.2014 00:00:00   ;   182,82 ;     
01.12.2014 00:00:00   ;   182,85 ;     
01.01.2015 00:00:00   ;   182,82 ;     
01.02.2015 00:00:00   ;   182,83 ;     
01.03.2015 00:00:00   ;   182,73 ;     
01.04.2015 00:00:00   ;   182,71 ;     
01.05.2015 00:00:00   ;   182,70 ;     
01.06.2015 00:00:00   ;   182,62 ;     
01.07.2015 00:00:00   ;   182,54 ;     
01.08.2015 00:00:00   ;   182,55 ;     
01.09.2015 00:00:00   ;   182,59 ;     
01.10.2015 00:00:00   ;   182,70 ;     
01.11.2015 00:00:00   ;   182,70 ;     
01.12.2015 00:00:00   ;   182,68 ;     
01.01.2016 00:00:00   ;   182,71 ;     
01.02.2016 00:00:00   ;   182,78 ;     
01.03.2016 00:00:00   ;   182,73 ;     
01.04.2016 00:00:00   ;   182,70 ;     
01.05.2016 00:00:00   ;   182,69 ;     
01.06.2016 00:00:00   ;   182,71 ;     
01.07.2016 00:00:00   ;   182,71 ;     
01.08.2016 00:00:00   ;   182,72 ;     
01.09.2016 00:00:00   ;   182,67 ;     
01.10.2016 00:00:00   ;   182,73 ;     
01.11.2016 00:00:00   ;   182,79 ;     
01.12.2016 00:00:00   ;   182,75 ;     
01.01.2017 00:00:00   ;   182,73 ;     
01.02.2017 00:00:00   ;   182,81 ;     
01.03.2017 00:00:00   ;   182,77 ;     
01.04.2017 00:00:00   ;   182,76 ;     
01.05.2017 00:00:00   ;   182,74 ;     
01.06.2017 00:00:00   ;   182,62 ;     
01.07.2017 00:00:00   ;   182,60 ;     
01.08.2017 00:00:00   ;   182,59 ;     
01.09.2017 00:00:00   ;   182,67 ;     
01.10.2017 00:00:00   ;   182,72 ;     
01.11.2017 00:00:00   ;   182,77 ;     
01.12.2017 00:00:00   ;   182,76 ;     
01.01.2018 00:00:00   ;   182,82 ;     
01.02.2018 00:00:00   ;   182,79 ;     
01.03.2018 00:00:00   ;   182,79 ;     
01.04.2018 00:00:00   ;   182,72 ;     
01.05.2018 00:00:00   ;   182,68 ;     
01.06.2018 00:00:00   ;   182,61 ;     
01.07.2018 00:00:00   ;   182,63 ;     
01.08.2018 00:00:00   ;   182,60 ;     
01.09.2018 00:00:00   ;   182,72 ;     
01.10.2018 00:00:00   ;   182,68 ;     
01.11.2018 00:00:00   ;   182,73 ;     
01.12.2018 00:00:00   ;   182,87 ;     
01.01.2019 00:00:00   ;   182,86 ;     
01.02.2019 00:00:00   ;   182,80 ;     
01.03.2019 00:00:00   ;   182,79 ;     
01.04.2019 00:00:00   ;   182,71 ;     
01.05.2019 00:00:00   ;   182,82 ;     
01.06.2019 00:00:00   ;   182,68 ;     
01.07.2019 00:00:00   ;   182,57 ;     
01.08.2019 00:00:00   ;   182,65 ;     
01.09.2019 00:00:00   ;   182,66 ;     
01.10.2019 00:00:00   ;   182,65 ;     
01.11.2019 00:00:00   ;   182,75 ;     
01.12.2019 00:00:00   ;   182,75 ;     
01.01.2020 00:00:00   ;   182,76 ;     
01.02.2020 00:00:00   ;   182,74 ;     
01.03.2020 00:00:00   ;   182,73 ;     
01.04.2020 00:00:00   ;   182,67 ;     
01.05.2020 00:00:00   ;   182,61 ;     
01.06.2020 00:00:00   ;   182,71 ;     
01.07.2020 00:00:00   ;   182,61 ;     
01.08.2020 00:00:00   ;   182,59 ;     
01.09.2020 00:00:00   ;   182,69 ;     
01.10.2020 00:00:00   ;   182,83 ;     
01.11.2020 00:00:00   ;   182,80 ;     
01.12.2020 00:00:00   ;   182,79 ;     
01.01.2021 00:00:00   ;   182,80 ;     
01.02.2021 00:00:00   ;   182,83 ;     
01.03.2021 00:00:00   ;   182,73 ;     
01.04.2021 00:00:00   ;   182,69 ;     
01.05.2021 00:00:00   ;   182,68 ;     
01.06.2021 00:00:00   ;   182,56 ;     
01.07.2021 00:00:00   ;   182,52 ;     
01.08.2021 00:00:00   ;   182,63 ;     
01.09.2021 00:00:00   ;   182,63 ;     
01.10.2021 00:00:00   ;   182,64 ;     
01.11.2021 00:00:00   ;   182,67 ;     
01.12.2021 00:00:00   ;   182,71 ;     
01.01.2022 00:00:00   ;Lücke         ; 
