Messstelle:                ;Elmen, Bl 4
HZB-Nummer:                ;342402
HD-Nummer:                 ;
DBMS-Nummer:               ;7004275
Fremdnummer:               ;GW70809007
PorenGW-Gebiet:            ;028 Oberes Lechtal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Elektrizitätswerk der Marktgemeinde Reutte
01.11.2008 00:00:00   ;   968,35 ;     
01.12.2008 00:00:00   ;   968,20 ;     
01.01.2009 00:00:00   ;   967,94 ;     
01.02.2009 00:00:00   ;   968,00 ;     
01.03.2009 00:00:00   ;   968,27 ;     
01.04.2009 00:00:00   ;   969,61 ;     
01.05.2009 00:00:00   ;   969,72 ;     
01.06.2009 00:00:00   ;   969,46 ;     
01.07.2009 00:00:00   ;   969,34 ;     
01.08.2009 00:00:00   ;   968,89 ;     
01.09.2009 00:00:00   ;   968,28 ;     
01.10.2009 00:00:00   ;   968,19 ;     
01.11.2009 00:00:00   ;   968,17 ;     
01.12.2009 00:00:00   ;   967,97 ;     
01.01.2010 00:00:00   ;   967,70 ;     
01.02.2010 00:00:00   ;   967,42 ;     
01.03.2010 00:00:00   ;   967,81 ;     
01.04.2010 00:00:00   ;   968,33 ;     
01.05.2010 00:00:00   ;   969,00 ;     
01.06.2010 00:00:00   ;   969,69 ;     
01.07.2010 00:00:00   ;   968,94 ;     
01.08.2010 00:00:00   ;   969,67 ;     
01.09.2010 00:00:00   ;   969,30 ;     
01.10.2010 00:00:00   ;   968,82 ;     
01.11.2010 00:00:00   ;   968,90 ;     
01.12.2010 00:00:00   ;   968,67 ;     
01.01.2011 00:00:00   ;   968,70 ;     
01.02.2011 00:00:00   ;   968,45 ;     
01.03.2011 00:00:00   ;   968,57 ;     
01.04.2011 00:00:00   ;   968,93 ;     
01.05.2011 00:00:00   ;   968,99 ;     
01.06.2011 00:00:00   ;   969,15 ;     
01.07.2011 00:00:00   ;   969,10 ;     
01.08.2011 00:00:00   ;   969,01 ;     
01.09.2011 00:00:00   ;   968,72 ;     
01.10.2011 00:00:00   ;   968,98 ;     
01.11.2011 00:00:00   ;   968,74 ;     
01.12.2011 00:00:00   ;   968,66 ;     
01.01.2012 00:00:00   ;   968,82 ;     
01.02.2012 00:00:00   ;   968,54 ;     
01.03.2012 00:00:00   ;   969,21 ;     
01.04.2012 00:00:00   ;   969,38 ;     
01.05.2012 00:00:00   ;   969,80 ;     
01.06.2012 00:00:00   ;   969,93 ;     
01.07.2012 00:00:00   ;   969,17 ;     
01.08.2012 00:00:00   ;   968,51 ;     
01.09.2012 00:00:00   ;   969,06 ;     
01.10.2012 00:00:00   ;   969,30 ;     
01.11.2012 00:00:00   ;   969,00 ;     
01.12.2012 00:00:00   ;   968,90 ;     
01.01.2013 00:00:00   ;   968,88 ;     
01.02.2013 00:00:00   ;   968,82 ;     
01.03.2013 00:00:00   ;   968,84 ;     
01.04.2013 00:00:00   ;   969,38 ;     
01.05.2013 00:00:00   ;   969,46 ;     
01.06.2013 00:00:00   ;   969,85 ;     
01.07.2013 00:00:00   ;   969,14 ;     
01.08.2013 00:00:00   ;   967,92 ;     
01.09.2013 00:00:00   ;   968,88 ;     
01.10.2013 00:00:00   ;   969,38 ;     
01.11.2013 00:00:00   ;   969,18 ;     
01.12.2013 00:00:00   ;   968,78 ;     
01.01.2014 00:00:00   ;   968,64 ;     
01.02.2014 00:00:00   ;   968,55 ;     
01.03.2014 00:00:00   ;   968,72 ;     
01.04.2014 00:00:00   ;   969,00 ;     
01.05.2014 00:00:00   ;   969,49 ;     
01.06.2014 00:00:00   ;   969,15 ;     
01.07.2014 00:00:00   ;   969,50 ;     
01.08.2014 00:00:00   ;   969,44 ;     
01.09.2014 00:00:00   ;   969,17 ;     
01.10.2014 00:00:00   ;   968,99 ;     
01.11.2014 00:00:00   ;   968,88 ;     
01.12.2014 00:00:00   ;   968,53 ;     
01.01.2015 00:00:00   ;   968,76 ;     
01.02.2015 00:00:00   ;   968,42 ;     
01.03.2015 00:00:00   ;   968,73 ;     
01.04.2015 00:00:00   ;   969,37 ;     
01.05.2015 00:00:00   ;   969,95 ;     
01.06.2015 00:00:00   ;   969,53 ;     
01.07.2015 00:00:00   ;   968,82 ;     
01.08.2015 00:00:00   ;   968,00 ;     
01.09.2015 00:00:00   ;   968,08 ;     
01.10.2015 00:00:00   ;   967,80 ;     
01.11.2015 00:00:00   ;   967,54 ;     
01.12.2015 00:00:00   ;   967,72 ;     
01.01.2016 00:00:00   ;   967,47 ;     
01.02.2016 00:00:00   ;   968,72 ;     
01.03.2016 00:00:00   ;   968,36 ;     
01.04.2016 00:00:00   ;   968,98 ;     
01.05.2016 00:00:00   ;   969,12 ;     
01.06.2016 00:00:00   ;   969,80 ;     
01.07.2016 00:00:00   ;   969,28 ;     
01.08.2016 00:00:00   ;   969,23 ;     
01.09.2016 00:00:00   ;   968,75 ;     
01.10.2016 00:00:00   ;   968,49 ;     
01.11.2016 00:00:00   ;   968,51 ;     
01.12.2016 00:00:00   ;   968,21 ;     
01.01.2017 00:00:00   ;   968,00 ;     
01.02.2017 00:00:00   ;   968,35 ;     
01.03.2017 00:00:00   ;   969,02 ;     
01.04.2017 00:00:00   ;   968,95 ;     
01.05.2017 00:00:00   ;   969,29 ;     
01.06.2017 00:00:00   ;   969,10 ;     
01.07.2017 00:00:00   ;   969,18 ;     
01.08.2017 00:00:00   ;   969,20 ;     
01.09.2017 00:00:00   ;   969,29 ;     
01.10.2017 00:00:00   ;   969,14 ;     
01.11.2017 00:00:00   ;   969,00 ;     
01.12.2017 00:00:00   ;   968,64 ;     
01.01.2018 00:00:00   ;   969,02 ;     
01.02.2018 00:00:00   ;   968,62 ;     
01.03.2018 00:00:00   ;   968,61 ;     
01.04.2018 00:00:00   ;   969,46 ;     
01.05.2018 00:00:00   ;   969,60 ;     
01.06.2018 00:00:00   ;   969,06 ;     
01.07.2018 00:00:00   ;   968,44 ;     
01.08.2018 00:00:00   ;   966,80 ;     
01.09.2018 00:00:00   ;   967,61 ;     
01.10.2018 00:00:00   ;   967,56 ;     
01.11.2018 00:00:00   ;   967,08 ;     
01.12.2018 00:00:00   ;   967,83 ;     
01.01.2019 00:00:00   ;   968,52 ;     
01.02.2019 00:00:00   ;   968,45 ;     
01.03.2019 00:00:00   ;   968,99 ;     
01.04.2019 00:00:00   ;   969,17 ;     
01.05.2019 00:00:00   ;   969,41 ;     
01.06.2019 00:00:00   ;   969,80 ;     
01.07.2019 00:00:00   ;   969,07 ;     
01.08.2019 00:00:00   ;   968,96 ;     
01.09.2019 00:00:00   ;   968,52 ;     
01.10.2019 00:00:00   ;   968,67 ;     
01.11.2019 00:00:00   ;   968,55 ;     
01.12.2019 00:00:00   ;   968,41 ;     
01.01.2020 00:00:00   ;   968,14 ;     
01.02.2020 00:00:00   ;   969,12 ;     
01.03.2020 00:00:00   ;   968,95 ;     
01.04.2020 00:00:00   ;   969,02 ;     
01.05.2020 00:00:00   ;   969,13 ;     
01.06.2020 00:00:00   ;   969,18 ;     
01.07.2020 00:00:00   ;   968,79 ;     
01.08.2020 00:00:00   ;   968,50 ;     
01.09.2020 00:00:00   ;   968,51 ;     
01.10.2020 00:00:00   ;   968,51 ;     
01.11.2020 00:00:00   ;   968,23 ;     
01.12.2020 00:00:00   ;   967,92 ;     
01.01.2021 00:00:00   ;   967,77 ;     
01.02.2021 00:00:00   ;   968,32 ;     
01.03.2021 00:00:00   ;   968,16 ;     
01.04.2021 00:00:00   ;   968,45 ;     
01.05.2021 00:00:00   ;   968,84 ;     
01.06.2021 00:00:00   ;   969,07 ;     
01.07.2021 00:00:00   ;   969,12 ;     
01.08.2021 00:00:00   ;   969,29 ;     
01.09.2021 00:00:00   ;   968,86 ;     
01.10.2021 00:00:00   ;   968,52 ;     
01.11.2021 00:00:00   ;   968,40 ;     
01.12.2021 00:00:00   ;   968,36 ;     
01.01.2022 00:00:00   ;Lücke         ; 
