Messstelle:                ;Dietachdorf, Bl 24.3
HZB-Nummer:                ;344465
HD-Nummer:                 ;HD4003239
DBMS-Nummer:               ;4003239
Fremdnummer:               ;STGSR08
PorenGW-Gebiet:            ;173 Unteres Ennstal
Grundwasserkörper:         ;Unteres Ennstal (NT,OT) [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Ennskraft
01.05.2009 00:00:00   ;   282,84 ;     
01.06.2009 00:00:00   ;   282,66 ;     
01.07.2009 00:00:00   ;   282,75 ;     
01.08.2009 00:00:00   ;   282,73 ;     
01.09.2009 00:00:00   ;   282,73 ;     
01.10.2009 00:00:00   ;   282,71 ;     
01.11.2009 00:00:00   ;   282,67 ;     
01.12.2009 00:00:00   ;   282,74 ;     
01.01.2010 00:00:00   ;   282,65 ;     
01.02.2010 00:00:00   ;   282,58 ;     
01.03.2010 00:00:00   ;   282,58 ;     
01.04.2010 00:00:00   ;   282,60 ;     
01.05.2010 00:00:00   ;   282,55 ;     
01.06.2010 00:00:00   ;   282,56 ;     
01.07.2010 00:00:00   ;   282,50 ;     
01.08.2010 00:00:00   ;   282,51 ;     
01.09.2010 00:00:00   ;   282,49 ;     
01.10.2010 00:00:00   ;   282,59 ;     
01.11.2010 00:00:00   ;   282,58 ;     
01.12.2010 00:00:00   ;   282,61 ;     
01.01.2011 00:00:00   ;   282,55 ;     
01.02.2011 00:00:00   ;   282,48 ;     
01.03.2011 00:00:00   ;   282,55 ;     
01.04.2011 00:00:00   ;   282,54 ;     
01.05.2011 00:00:00   ;   282,54 ;     
01.06.2011 00:00:00   ;   282,54 ;     
01.07.2011 00:00:00   ;   282,52 ;     
01.08.2011 00:00:00   ;   282,52 ;     
01.09.2011 00:00:00   ;   282,52 ;     
01.10.2011 00:00:00   ;   282,51 ;     
01.11.2011 00:00:00   ;   282,48 ;     
01.12.2011 00:00:00   ;   282,51 ;     
01.01.2012 00:00:00   ;   282,45 ;     
01.02.2012 00:00:00   ;   282,55 ;     
01.03.2012 00:00:00   ;   282,45 ;     
01.04.2012 00:00:00   ;   282,42 ;     
01.05.2012 00:00:00   ;   282,47 ;     
01.06.2012 00:00:00   ;   282,42 ;     
01.07.2012 00:00:00   ;   282,42 ;     
01.08.2012 00:00:00   ;   282,47 ;     
01.09.2012 00:00:00   ;   282,47 ;     
01.10.2012 00:00:00   ;   282,43 ;     
01.11.2012 00:00:00   ;   282,45 ;     
01.12.2012 00:00:00   ;   282,45 ;     
01.01.2013 00:00:00   ;   282,43 ;     
01.02.2013 00:00:00   ;   282,49 ;     
01.03.2013 00:00:00   ;   282,54 ;     
01.04.2013 00:00:00   ;   282,58 ;     
01.05.2013 00:00:00   ;   282,66 ;     
01.06.2013 00:00:00   ;   282,62 ;     
01.07.2013 00:00:00   ;   282,69 ;     
01.08.2013 00:00:00   ;   282,61 ;     
01.09.2013 00:00:00   ;   282,56 ;     
01.10.2013 00:00:00   ;   282,57 ;     
01.11.2013 00:00:00   ;   282,49 ;     
01.12.2013 00:00:00   ;   282,53 ;     
01.01.2014 00:00:00   ;   282,53 ;     
01.02.2014 00:00:00   ;   282,44 ;     
01.03.2014 00:00:00   ;   282,33 ;     
01.04.2014 00:00:00   ;   282,37 ;     
01.05.2014 00:00:00   ;   282,39 ;     
01.06.2014 00:00:00   ;   282,48 ;     
01.07.2014 00:00:00   ;   282,43 ;     
01.08.2014 00:00:00   ;   282,40 ;     
01.09.2014 00:00:00   ;   282,45 ;     
01.10.2014 00:00:00   ;   282,38 ;     
01.11.2014 00:00:00   ;   282,40 ;     
01.12.2014 00:00:00   ;   282,55 ;     
01.01.2015 00:00:00   ;   282,45 ;     
01.02.2015 00:00:00   ;   282,48 ;     
01.03.2015 00:00:00   ;   282,46 ;     
01.04.2015 00:00:00   ;   282,38 ;     
01.05.2015 00:00:00   ;   282,39 ;     
01.06.2015 00:00:00   ;   282,51 ;     
01.07.2015 00:00:00   ;   282,57 ;     
01.08.2015 00:00:00   ;   282,52 ;     
01.09.2015 00:00:00   ;   282,47 ;     
01.10.2015 00:00:00   ;   282,45 ;     
01.11.2015 00:00:00   ;   282,48 ;     
01.12.2015 00:00:00   ;   282,45 ;     
01.01.2016 00:00:00   ;   282,51 ;     
01.02.2016 00:00:00   ;   282,38 ;     
01.03.2016 00:00:00   ;   282,36 ;     
01.04.2016 00:00:00   ;   282,38 ;     
01.05.2016 00:00:00   ;   282,44 ;     
01.06.2016 00:00:00   ;   282,30 ;     
01.07.2016 00:00:00   ;   282,40 ;     
01.08.2016 00:00:00   ;   282,42 ;     
01.09.2016 00:00:00   ;   282,44 ;     
01.10.2016 00:00:00   ;   282,47 ;     
01.11.2016 00:00:00   ;   282,42 ;     
01.12.2016 00:00:00   ;   282,46 ;     
01.01.2017 00:00:00   ;   282,45 ;     
01.02.2017 00:00:00   ;   282,44 ;     
01.03.2017 00:00:00   ;   282,35 ;     
01.04.2017 00:00:00   ;   282,34 ;     
01.05.2017 00:00:00   ;   282,46 ;     
01.06.2017 00:00:00   ;   282,49 ;     
01.07.2017 00:00:00   ;   282,44 ;     
01.08.2017 00:00:00   ;   282,28 ;     
01.09.2017 00:00:00   ;   282,42 ;     
01.10.2017 00:00:00   ;   282,38 ;     
01.11.2017 00:00:00   ;   282,37 ;     
01.12.2017 00:00:00   ;   282,29 ;     
01.01.2018 00:00:00   ;   282,33 ;     
01.02.2018 00:00:00   ;   282,38 ;     
01.03.2018 00:00:00   ;   282,33 ;     
01.04.2018 00:00:00   ;   282,38 ;     
01.05.2018 00:00:00   ;   282,33 ;     
01.06.2018 00:00:00   ;   282,34 ;     
01.07.2018 00:00:00   ;   282,50 ;     
01.08.2018 00:00:00   ;   282,45 ;     
01.09.2018 00:00:00   ;   282,42 ;     
01.10.2018 00:00:00   ;   282,37 ;     
01.11.2018 00:00:00   ;   282,30 ;     
01.12.2018 00:00:00   ;   282,29 ;     
01.01.2019 00:00:00   ;   282,24 ;     
01.02.2019 00:00:00   ;   282,28 ;     
01.03.2019 00:00:00   ;   282,30 ;     
01.04.2019 00:00:00   ;   282,28 ;     
01.05.2019 00:00:00   ;   282,34 ;     
01.06.2019 00:00:00   ;   282,44 ;     
01.07.2019 00:00:00   ;   282,35 ;     
01.08.2019 00:00:00   ;   282,28 ;     
01.09.2019 00:00:00   ;   282,32 ;     
01.10.2019 00:00:00   ;   282,30 ;     
01.11.2019 00:00:00   ;   282,26 ;     
01.12.2019 00:00:00   ;   282,33 ;     
01.01.2020 00:00:00   ;   282,29 ;     
01.02.2020 00:00:00   ;   282,27 ;     
01.03.2020 00:00:00   ;   282,28 ;     
01.04.2020 00:00:00   ;   282,24 ;     
01.05.2020 00:00:00   ;   282,24 ;     
01.06.2020 00:00:00   ;   282,28 ;     
01.07.2020 00:00:00   ;   282,34 ;     
01.08.2020 00:00:00   ;   282,32 ;     
01.09.2020 00:00:00   ;   282,35 ;     
01.10.2020 00:00:00   ;   282,33 ;     
01.11.2020 00:00:00   ;   282,33 ;     
01.12.2020 00:00:00   ;   282,27 ;     
01.01.2021 00:00:00   ;   282,32 ;     
01.02.2021 00:00:00   ;   282,27 ;     
01.03.2021 00:00:00   ;   282,32 ;     
01.04.2021 00:00:00   ;   282,32 ;     
01.05.2021 00:00:00   ;   282,35 ;     
01.06.2021 00:00:00   ;   282,21 ;     
01.07.2021 00:00:00   ;   281,79 ;     
01.08.2021 00:00:00   ;   281,75 ;     
01.09.2021 00:00:00   ;   281,77 ;     
01.10.2021 00:00:00   ;   281,92 ;     
01.11.2021 00:00:00   ;   282,45 ;     
01.12.2021 00:00:00   ;   282,63 ;     
01.01.2022 00:00:00   ;Lücke         ; 
