Messstelle:                ;Mitterbach (Brücke)
05.07.1977 00:00:00; 0,233
06.07.1977 00:00:00; 0,257
07.07.1977 00:00:00; 0,219
08.07.1977 00:00:00; 0,222
09.07.1977 00:00:00; 0,342
10.07.1977 00:00:00; 0,487
11.07.1977 00:00:00; 0,645
12.07.1977 00:00:00; 0,545
13.07.1977 00:00:00; 0,395
14.07.1977 00:00:00; 0,348
15.07.1977 00:00:00; 0,335
16.07.1977 00:00:00; 0,320
17.07.1977 00:00:00; 0,281
18.07.1977 00:00:00; 0,237
19.07.1977 00:00:00; 0,218
20.07.1977 00:00:00; 0,217
21.07.1977 00:00:00; 0,293
22.07.1977 00:00:00; 0,381
23.07.1977 00:00:00; 0,330
24.07.1977 00:00:00; 0,268
25.07.1977 00:00:00; 0,227
26.07.1977 00:00:00; 0,280
27.07.1977 00:00:00; 0,177
28.07.1977 00:00:00; 0,177
29.07.1977 00:00:00; 0,178
30.07.1977 00:00:00; 0,175
31.07.1977 00:00:00; 0,186
01.08.1977 00:00:00;  4,83
02.08.1977 00:00:00;  8,56
03.08.1977 00:00:00;  5,97
04.08.1977 00:00:00;  3,06
05.08.1977 00:00:00;  1,52
06.08.1977 00:00:00;  1,11
07.08.1977 00:00:00; 0,791
08.08.1977 00:00:00; 0,612
09.08.1977 00:00:00; 0,821
10.08.1977 00:00:00; 0,894
11.08.1977 00:00:00;  1,05
12.08.1977 00:00:00; 0,792
13.08.1977 00:00:00; 0,632
14.08.1977 00:00:00; 0,503
15.08.1977 00:00:00; 0,435
16.08.1977 00:00:00; 0,363
17.08.1977 00:00:00; 0,321
18.08.1977 00:00:00; 0,327
19.08.1977 00:00:00; 0,369
20.08.1977 00:00:00; 0,333
21.08.1977 00:00:00; 0,305
22.08.1977 00:00:00; 0,314
23.08.1977 00:00:00; 0,279
24.08.1977 00:00:00; 0,268
25.08.1977 00:00:00; 0,257
26.08.1977 00:00:00; 0,242
27.08.1977 00:00:00; 0,226
28.08.1977 00:00:00; 0,231
29.08.1977 00:00:00; 0,233
30.08.1977 00:00:00; 0,220
31.08.1977 00:00:00; 0,217
01.09.1977 00:00:00; 0,232
02.09.1977 00:00:00; 0,382
03.09.1977 00:00:00; 0,386
04.09.1977 00:00:00; 0,353
05.09.1977 00:00:00; 0,369
06.09.1977 00:00:00; 0,342
07.09.1977 00:00:00; 0,313
08.09.1977 00:00:00; 0,270
09.09.1977 00:00:00; 0,447
10.09.1977 00:00:00; 0,440
11.09.1977 00:00:00; 0,411
12.09.1977 00:00:00; 0,365
13.09.1977 00:00:00; 0,327
14.09.1977 00:00:00; 0,287
15.09.1977 00:00:00; 0,261
16.09.1977 00:00:00; 0,238
17.09.1977 00:00:00; 0,241
18.09.1977 00:00:00; 0,258
19.09.1977 00:00:00; 0,324
20.09.1977 00:00:00; 0,322
21.09.1977 00:00:00; 0,315
22.09.1977 00:00:00; 0,346
23.09.1977 00:00:00; 0,390
24.09.1977 00:00:00; 0,403
25.09.1977 00:00:00; 0,381
26.09.1977 00:00:00; 0,305
27.09.1977 00:00:00; 0,263
28.09.1977 00:00:00; 0,255
29.09.1977 00:00:00; 0,246
30.09.1977 00:00:00; 0,238
01.10.1977 00:00:00; 0,230
02.10.1977 00:00:00; 0,225
03.10.1977 00:00:00; 0,261
04.10.1977 00:00:00; 0,250
05.10.1977 00:00:00; 0,692
06.10.1977 00:00:00; 0,687
07.10.1977 00:00:00; 0,426
08.10.1977 00:00:00; 0,342
09.10.1977 00:00:00; 0,283
10.10.1977 00:00:00; 0,278
11.10.1977 00:00:00; 0,374
12.10.1977 00:00:00; 0,463
13.10.1977 00:00:00; 0,419
14.10.1977 00:00:00; 0,332
15.10.1977 00:00:00; 0,280
16.10.1977 00:00:00; 0,247
17.10.1977 00:00:00; 0,217
18.10.1977 00:00:00; 0,203
19.10.1977 00:00:00; 0,198
20.10.1977 00:00:00; 0,186
21.10.1977 00:00:00; 0,174
22.10.1977 00:00:00; 0,168
23.10.1977 00:00:00; 0,161
24.10.1977 00:00:00; 0,169
25.10.1977 00:00:00; 0,182
26.10.1977 00:00:00; 0,192
27.10.1977 00:00:00; 0,188
28.10.1977 00:00:00; 0,181
29.10.1977 00:00:00; 0,184
30.10.1977 00:00:00; 0,156
31.10.1977 00:00:00; 0,217
01.11.1977 00:00:00; 0,165
02.11.1977 00:00:00; 0,176
03.11.1977 00:00:00; 0,210
04.11.1977 00:00:00; 0,211
05.11.1977 00:00:00; 0,195
06.11.1977 00:00:00; 0,169
07.11.1977 00:00:00; 0,177
08.11.1977 00:00:00; 0,167
09.11.1977 00:00:00; 0,167
10.11.1977 00:00:00; 0,162
11.11.1977 00:00:00; 0,145
12.11.1977 00:00:00; 0,155
13.11.1977 00:00:00; 0,159
14.11.1977 00:00:00; 0,182
15.11.1977 00:00:00; 0,203
16.11.1977 00:00:00; 0,208
17.11.1977 00:00:00; 0,197
18.11.1977 00:00:00; 0,180
19.11.1977 00:00:00; 0,161
20.11.1977 00:00:00; 0,147
21.11.1977 00:00:00; 0,153
22.11.1977 00:00:00; 0,161
23.11.1977 00:00:00; 0,170
24.11.1977 00:00:00; 0,172
25.11.1977 00:00:00; 0,174
26.11.1977 00:00:00; 0,184
27.11.1977 00:00:00; 0,233
28.11.1977 00:00:00; 0,198
29.11.1977 00:00:00; 0,150
30.11.1977 00:00:00; 0,158
01.12.1977 00:00:00; 0,155
02.12.1977 00:00:00; 0,158
03.12.1977 00:00:00; 0,178
04.12.1977 00:00:00; 0,152
05.12.1977 00:00:00; 0,156
06.12.1977 00:00:00; 0,148
07.12.1977 00:00:00; 0,165
08.12.1977 00:00:00; 0,169
09.12.1977 00:00:00; 0,165
10.12.1977 00:00:00; 0,164
11.12.1977 00:00:00; 0,176
12.12.1977 00:00:00; 0,179
13.12.1977 00:00:00; 0,169
14.12.1977 00:00:00; 0,168
15.12.1977 00:00:00; 0,168
16.12.1977 00:00:00; 0,173
17.12.1977 00:00:00; 0,166
18.12.1977 00:00:00; 0,161
19.12.1977 00:00:00; 0,168
20.12.1977 00:00:00; 0,168
21.12.1977 00:00:00; 0,174
22.12.1977 00:00:00; 0,173
23.12.1977 00:00:00; 0,170
24.12.1977 00:00:00; 0,225
25.12.1977 00:00:00;  1,43
26.12.1977 00:00:00;  1,46
27.12.1977 00:00:00;  1,09
28.12.1977 00:00:00; 0,727
29.12.1977 00:00:00; 0,503
30.12.1977 00:00:00; 0,424
31.12.1977 00:00:00; 0,396
01.01.1978 00:00:00; 0,363
02.01.1978 00:00:00; 0,300
03.01.1978 00:00:00; 0,280
04.01.1978 00:00:00; 0,283
05.01.1978 00:00:00; 0,301
06.01.1978 00:00:00; 0,244
07.01.1978 00:00:00; 0,240
08.01.1978 00:00:00; 0,216
09.01.1978 00:00:00; 0,189
10.01.1978 00:00:00; 0,188
11.01.1978 00:00:00; 0,186
12.01.1978 00:00:00; 0,186
13.01.1978 00:00:00; 0,196
14.01.1978 00:00:00; 0,215
15.01.1978 00:00:00; 0,227
16.01.1978 00:00:00; 0,223
17.01.1978 00:00:00; 0,210
18.01.1978 00:00:00; 0,205
19.01.1978 00:00:00; 0,192
20.01.1978 00:00:00; 0,184
21.01.1978 00:00:00; 0,180
22.01.1978 00:00:00; 0,176
23.01.1978 00:00:00; 0,177
24.01.1978 00:00:00; 0,188
25.01.1978 00:00:00; 0,187
26.01.1978 00:00:00; 0,177
27.01.1978 00:00:00; 0,177
28.01.1978 00:00:00; 0,173
29.01.1978 00:00:00; 0,182
30.01.1978 00:00:00; 0,217
31.01.1978 00:00:00; 0,186
01.02.1978 00:00:00; 0,176
02.02.1978 00:00:00; 0,180
03.02.1978 00:00:00; 0,174
04.02.1978 00:00:00; 0,162
05.02.1978 00:00:00; 0,151
06.02.1978 00:00:00; 0,145
07.02.1978 00:00:00; 0,164
08.02.1978 00:00:00; 0,159
09.02.1978 00:00:00; 0,156
10.02.1978 00:00:00; 0,152
11.02.1978 00:00:00; 0,161
12.02.1978 00:00:00; 0,158
13.02.1978 00:00:00; 0,171
14.02.1978 00:00:00; 0,182
15.02.1978 00:00:00; 0,173
16.02.1978 00:00:00; 0,175
17.02.1978 00:00:00; 0,176
18.02.1978 00:00:00; 0,168
19.02.1978 00:00:00; 0,162
20.02.1978 00:00:00; 0,172
21.02.1978 00:00:00; 0,162
22.02.1978 00:00:00; 0,169
23.02.1978 00:00:00; 0,166
24.02.1978 00:00:00; 0,167
25.02.1978 00:00:00; 0,236
26.02.1978 00:00:00; 0,604
27.02.1978 00:00:00;  1,00
28.02.1978 00:00:00;  1,09
01.03.1978 00:00:00;  1,04
02.03.1978 00:00:00;  1,08
03.03.1978 00:00:00;  1,09
04.03.1978 00:00:00;  1,19
05.03.1978 00:00:00;  1,29
06.03.1978 00:00:00;  1,17
07.03.1978 00:00:00; 0,919
08.03.1978 00:00:00; 0,699
09.03.1978 00:00:00; 0,600
10.03.1978 00:00:00; 0,497
11.03.1978 00:00:00; 0,466
12.03.1978 00:00:00; 0,503
13.03.1978 00:00:00; 0,539
14.03.1978 00:00:00; 0,530
15.03.1978 00:00:00; 0,542
16.03.1978 00:00:00; 0,506
17.03.1978 00:00:00; 0,477
18.03.1978 00:00:00; 0,425
19.03.1978 00:00:00; 0,378
20.03.1978 00:00:00; 0,403
21.03.1978 00:00:00; 0,440
22.03.1978 00:00:00; 0,432
23.03.1978 00:00:00; 0,355
24.03.1978 00:00:00; 0,318
25.03.1978 00:00:00; 0,305
26.03.1978 00:00:00; 0,277
27.03.1978 00:00:00; 0,268
28.03.1978 00:00:00; 0,338
29.03.1978 00:00:00; 0,549
30.03.1978 00:00:00; 0,962
31.03.1978 00:00:00;  1,49
01.04.1978 00:00:00;  1,79
02.04.1978 00:00:00;  1,77
03.04.1978 00:00:00;  1,67
04.04.1978 00:00:00;  1,08
05.04.1978 00:00:00; 0,869
06.04.1978 00:00:00; 0,677
07.04.1978 00:00:00; 0,756
08.04.1978 00:00:00; 0,699
09.04.1978 00:00:00; 0,709
10.04.1978 00:00:00; 0,741
11.04.1978 00:00:00; 0,825
12.04.1978 00:00:00;  1,06
13.04.1978 00:00:00; 0,848
14.04.1978 00:00:00; 0,647
15.04.1978 00:00:00; 0,470
16.04.1978 00:00:00; 0,409
17.04.1978 00:00:00; 0,413
18.04.1978 00:00:00; 0,403
19.04.1978 00:00:00; 0,354
20.04.1978 00:00:00; 0,367
21.04.1978 00:00:00; 0,421
22.04.1978 00:00:00; 0,489
23.04.1978 00:00:00; 0,568
24.04.1978 00:00:00; 0,806
25.04.1978 00:00:00;  1,10
26.04.1978 00:00:00;  1,28
27.04.1978 00:00:00;  1,55
28.04.1978 00:00:00;  1,93
29.04.1978 00:00:00;  1,42
30.04.1978 00:00:00;  1,40
01.05.1978 00:00:00;  1,57
02.05.1978 00:00:00;  1,80
03.05.1978 00:00:00;  1,49
04.05.1978 00:00:00;  1,21
05.05.1978 00:00:00;  1,28
06.05.1978 00:00:00;  1,65
07.05.1978 00:00:00;  1,75
08.05.1978 00:00:00;  1,64
09.05.1978 00:00:00;  1,31
10.05.1978 00:00:00;  2,18
11.05.1978 00:00:00;  1,30
12.05.1978 00:00:00; 0,873
13.05.1978 00:00:00; 0,805
14.05.1978 00:00:00; 0,890
15.05.1978 00:00:00; 0,990
16.05.1978 00:00:00;  1,01
17.05.1978 00:00:00;  1,15
18.05.1978 00:00:00;  1,06
19.05.1978 00:00:00;  1,19
20.05.1978 00:00:00;  1,39
21.05.1978 00:00:00;  1,27
22.05.1978 00:00:00;  1,35
23.05.1978 00:00:00;  1,29
24.05.1978 00:00:00;  1,10
25.05.1978 00:00:00; 0,897
26.05.1978 00:00:00; 0,811
27.05.1978 00:00:00; 0,774
28.05.1978 00:00:00; 0,710
29.05.1978 00:00:00; 0,800
30.05.1978 00:00:00;  1,16
31.05.1978 00:00:00;  1,06
01.06.1978 00:00:00; 0,843
02.06.1978 00:00:00; 0,731
03.06.1978 00:00:00; 0,612
04.06.1978 00:00:00; 0,485
05.06.1978 00:00:00; 0,433
06.06.1978 00:00:00; 0,422
07.06.1978 00:00:00; 0,331
08.06.1978 00:00:00; 0,318
09.06.1978 00:00:00; 0,315
10.06.1978 00:00:00; 0,299
11.06.1978 00:00:00; 0,283
12.06.1978 00:00:00; 0,293
13.06.1978 00:00:00; 0,296
14.06.1978 00:00:00; 0,276
15.06.1978 00:00:00; 0,255
16.06.1978 00:00:00; 0,264
17.06.1978 00:00:00; 0,244
18.06.1978 00:00:00; 0,222
19.06.1978 00:00:00; 0,220
20.06.1978 00:00:00; 0,223
21.06.1978 00:00:00; 0,229
22.06.1978 00:00:00; 0,212
23.06.1978 00:00:00; 0,220
24.06.1978 00:00:00; 0,277
25.06.1978 00:00:00; 0,493
26.06.1978 00:00:00; 0,636
27.06.1978 00:00:00; 0,447
28.06.1978 00:00:00; 0,767
29.06.1978 00:00:00; 0,786
30.06.1978 00:00:00; 0,565
01.07.1978 00:00:00; 0,376
02.07.1978 00:00:00; 0,613
03.07.1978 00:00:00; 0,672
04.07.1978 00:00:00; 0,482
05.07.1978 00:00:00;  1,47
06.07.1978 00:00:00;  1,53
07.07.1978 00:00:00; 0,898
08.07.1978 00:00:00; 0,682
09.07.1978 00:00:00; 0,538
10.07.1978 00:00:00; 0,580
11.07.1978 00:00:00; 0,604
12.07.1978 00:00:00; 0,451
13.07.1978 00:00:00; 0,389
14.07.1978 00:00:00; 0,317
15.07.1978 00:00:00; 0,264
16.07.1978 00:00:00; 0,227
17.07.1978 00:00:00; 0,235
18.07.1978 00:00:00; 0,237
19.07.1978 00:00:00; 0,271
20.07.1978 00:00:00; 0,262
21.07.1978 00:00:00; 0,278
22.07.1978 00:00:00; 0,809
23.07.1978 00:00:00; 0,791
24.07.1978 00:00:00; 0,563
25.07.1978 00:00:00; 0,397
26.07.1978 00:00:00; 0,320
27.07.1978 00:00:00; 0,280
28.07.1978 00:00:00; 0,250
29.07.1978 00:00:00; 0,233
30.07.1978 00:00:00; 0,227
31.07.1978 00:00:00; 0,233
01.08.1978 00:00:00; 0,226
02.08.1978 00:00:00; 0,223
03.08.1978 00:00:00; 0,227
04.08.1978 00:00:00; 0,230
05.08.1978 00:00:00; 0,232
06.08.1978 00:00:00; 0,209
07.08.1978 00:00:00; 0,215
08.08.1978 00:00:00; 0,282
09.08.1978 00:00:00; 0,179
10.08.1978 00:00:00; 0,176
11.08.1978 00:00:00; 0,180
12.08.1978 00:00:00; 0,216
13.08.1978 00:00:00; 0,212
14.08.1978 00:00:00; 0,210
15.08.1978 00:00:00; 0,213
16.08.1978 00:00:00; 0,203
17.08.1978 00:00:00; 0,197
18.08.1978 00:00:00; 0,221
19.08.1978 00:00:00; 0,230
20.08.1978 00:00:00; 0,207
21.08.1978 00:00:00; 0,198
22.08.1978 00:00:00; 0,190
23.08.1978 00:00:00; 0,181
24.08.1978 00:00:00; 0,172
25.08.1978 00:00:00; 0,163
26.08.1978 00:00:00; 0,154
27.08.1978 00:00:00; 0,145
28.08.1978 00:00:00; 0,142
29.08.1978 00:00:00; 0,145
30.08.1978 00:00:00; 0,148
31.08.1978 00:00:00; 0,158
01.09.1978 00:00:00; 0,158
02.09.1978 00:00:00; 0,157
03.09.1978 00:00:00; 0,182
04.09.1978 00:00:00; 0,209
05.09.1978 00:00:00; 0,212
06.09.1978 00:00:00; 0,209
07.09.1978 00:00:00; 0,207
08.09.1978 00:00:00; 0,524
09.09.1978 00:00:00;  1,48
10.09.1978 00:00:00; 0,913
11.09.1978 00:00:00; 0,635
12.09.1978 00:00:00; 0,493
13.09.1978 00:00:00; 0,660
14.09.1978 00:00:00; 0,610
15.09.1978 00:00:00; 0,445
16.09.1978 00:00:00; 0,325
17.09.1978 00:00:00; 0,268
18.09.1978 00:00:00; 0,241
19.09.1978 00:00:00; 0,234
20.09.1978 00:00:00; 0,247
21.09.1978 00:00:00; 0,224
22.09.1978 00:00:00; 0,229
23.09.1978 00:00:00; 0,830
24.09.1978 00:00:00;  1,24
25.09.1978 00:00:00; 0,778
26.09.1978 00:00:00; 0,574
27.09.1978 00:00:00; 0,486
28.09.1978 00:00:00; 0,612
29.09.1978 00:00:00;  1,30
30.09.1978 00:00:00;  1,83
01.10.1978 00:00:00;  1,61
02.10.1978 00:00:00;  1,14
03.10.1978 00:00:00; 0,846
04.10.1978 00:00:00; 0,644
05.10.1978 00:00:00; 0,572
06.10.1978 00:00:00; 0,893
07.10.1978 00:00:00;  1,11
08.10.1978 00:00:00; 0,755
09.10.1978 00:00:00; 0,577
10.10.1978 00:00:00; 0,848
11.10.1978 00:00:00; 0,846
12.10.1978 00:00:00; 0,669
13.10.1978 00:00:00; 0,457
14.10.1978 00:00:00; 0,347
15.10.1978 00:00:00; 0,279
16.10.1978 00:00:00; 0,260
17.10.1978 00:00:00; 0,247
18.10.1978 00:00:00; 0,246
19.10.1978 00:00:00; 0,233
20.10.1978 00:00:00; 0,226
21.10.1978 00:00:00; 0,224
22.10.1978 00:00:00; 0,222
23.10.1978 00:00:00; 0,997
24.10.1978 00:00:00;  1,06
25.10.1978 00:00:00; 0,829
26.10.1978 00:00:00;  1,67
27.10.1978 00:00:00;  1,40
28.10.1978 00:00:00; 0,938
29.10.1978 00:00:00; 0,703
30.10.1978 00:00:00; 0,626
31.10.1978 00:00:00; 0,704
01.11.1978 00:00:00; 0,928
02.11.1978 00:00:00; 0,830
03.11.1978 00:00:00; 0,579
04.11.1978 00:00:00; 0,425
05.11.1978 00:00:00; 0,342
06.11.1978 00:00:00; 0,263
07.11.1978 00:00:00; 0,201
08.11.1978 00:00:00; 0,203
09.11.1978 00:00:00; 0,204
10.11.1978 00:00:00; 0,206
11.11.1978 00:00:00; 0,202
12.11.1978 00:00:00; 0,196
13.11.1978 00:00:00; 0,190
14.11.1978 00:00:00; 0,183
15.11.1978 00:00:00; 0,177
16.11.1978 00:00:00; 0,183
17.11.1978 00:00:00; 0,230
18.11.1978 00:00:00; 0,204
19.11.1978 00:00:00; 0,186
20.11.1978 00:00:00; 0,184
21.11.1978 00:00:00; 0,178
22.11.1978 00:00:00; 0,183
23.11.1978 00:00:00; 0,184
24.11.1978 00:00:00; 0,185
25.11.1978 00:00:00; 0,192
26.11.1978 00:00:00; 0,201
27.11.1978 00:00:00; 0,228
28.11.1978 00:00:00; 0,255
29.11.1978 00:00:00; 0,230
30.11.1978 00:00:00; 0,243
01.12.1978 00:00:00; 0,223
02.12.1978 00:00:00; 0,219
03.12.1978 00:00:00; 0,197
04.12.1978 00:00:00; 0,152
05.12.1978 00:00:00; 0,135
06.12.1978 00:00:00; 0,130
07.12.1978 00:00:00; 0,136
08.12.1978 00:00:00; 0,132
09.12.1978 00:00:00; 0,209
10.12.1978 00:00:00; 0,846
11.12.1978 00:00:00; 0,969
12.12.1978 00:00:00; 0,847
13.12.1978 00:00:00; 0,802
14.12.1978 00:00:00; 0,760
15.12.1978 00:00:00; 0,615
16.12.1978 00:00:00; 0,467
17.12.1978 00:00:00; 0,373
18.12.1978 00:00:00; 0,351
19.12.1978 00:00:00; 0,331
20.12.1978 00:00:00; 0,322
21.12.1978 00:00:00; 0,296
22.12.1978 00:00:00; 0,267
23.12.1978 00:00:00; 0,265
24.12.1978 00:00:00; 0,257
25.12.1978 00:00:00; 0,254
26.12.1978 00:00:00; 0,259
27.12.1978 00:00:00; 0,244
28.12.1978 00:00:00; 0,234
29.12.1978 00:00:00; 0,236
30.12.1978 00:00:00; 0,462
31.12.1978 00:00:00; 0,615
01.01.1979 00:00:00; 0,602
02.01.1979 00:00:00; 0,403
03.01.1979 00:00:00; 0,312
04.01.1979 00:00:00; 0,316
05.01.1979 00:00:00; 0,268
06.01.1979 00:00:00; 0,225
07.01.1979 00:00:00; 0,206
08.01.1979 00:00:00; 0,214
09.01.1979 00:00:00; 0,222
10.01.1979 00:00:00; 0,231
11.01.1979 00:00:00; 0,235
12.01.1979 00:00:00; 0,235
13.01.1979 00:00:00; 0,235
14.01.1979 00:00:00; 0,230
15.01.1979 00:00:00; 0,219
16.01.1979 00:00:00; 0,209
17.01.1979 00:00:00; 0,204
18.01.1979 00:00:00; 0,199
