Messstelle:                ;Lochau
29.05.1967 00:00:00; 0,237
30.05.1967 00:00:00; 0,315
31.05.1967 00:00:00; 0,674
01.06.1967 00:00:00;  1,58
02.06.1967 00:00:00; 0,568
03.06.1967 00:00:00; 0,322
04.06.1967 00:00:00; 0,230
05.06.1967 00:00:00; 0,138
06.06.1967 00:00:00; 0,123
07.06.1967 00:00:00; 0,178
08.06.1967 00:00:00; 0,818
09.06.1967 00:00:00;  1,45
10.06.1967 00:00:00;  1,24
11.06.1967 00:00:00; 0,790
12.06.1967 00:00:00; 0,450
13.06.1967 00:00:00; 0,246
14.06.1967 00:00:00; 0,200
15.06.1967 00:00:00;  1,52
16.06.1967 00:00:00; 0,951
17.06.1967 00:00:00; 0,557
18.06.1967 00:00:00; 0,463
19.06.1967 00:00:00; 0,493
20.06.1967 00:00:00; 0,354
21.06.1967 00:00:00; 0,242
22.06.1967 00:00:00; 0,193
23.06.1967 00:00:00; 0,159
24.06.1967 00:00:00; 0,127
25.06.1967 00:00:00; 0,102
26.06.1967 00:00:00; 0,087
27.06.1967 00:00:00; 0,097
28.06.1967 00:00:00; 0,189
29.06.1967 00:00:00; 0,168
30.06.1967 00:00:00; 0,150
01.07.1967 00:00:00; 0,133
02.07.1967 00:00:00; 0,098
03.07.1967 00:00:00; 0,076
04.07.1967 00:00:00; 0,150
05.07.1967 00:00:00; 0,091
06.07.1967 00:00:00; 0,070
07.07.1967 00:00:00; 0,069
08.07.1967 00:00:00; 0,093
09.07.1967 00:00:00; 0,173
10.07.1967 00:00:00; 0,078
11.07.1967 00:00:00; 0,067
12.07.1967 00:00:00; 0,063
13.07.1967 00:00:00; 0,057
14.07.1967 00:00:00; 0,150
15.07.1967 00:00:00; 0,300
16.07.1967 00:00:00; 0,110
17.07.1967 00:00:00; 0,059
18.07.1967 00:00:00; 0,056
19.07.1967 00:00:00; 0,055
20.07.1967 00:00:00; 0,082
21.07.1967 00:00:00; 0,200
22.07.1967 00:00:00; 0,129
23.07.1967 00:00:00; 0,293
24.07.1967 00:00:00; 0,190
25.07.1967 00:00:00; 0,177
26.07.1967 00:00:00; 0,203
27.07.1967 00:00:00; 0,098
28.07.1967 00:00:00; 0,086
29.07.1967 00:00:00; 0,072
30.07.1967 00:00:00; 0,061
31.07.1967 00:00:00; 0,048
01.08.1967 00:00:00; 0,044
02.08.1967 00:00:00; 0,119
03.08.1967 00:00:00; 0,126
04.08.1967 00:00:00; 0,391
05.08.1967 00:00:00;  1,44
06.08.1967 00:00:00; 0,259
07.08.1967 00:00:00; 0,097
08.08.1967 00:00:00; 0,080
09.08.1967 00:00:00; 0,075
10.08.1967 00:00:00; 0,148
11.08.1967 00:00:00; 0,145
12.08.1967 00:00:00; 0,149
13.08.1967 00:00:00; 0,298
14.08.1967 00:00:00; 0,114
15.08.1967 00:00:00; 0,422
16.08.1967 00:00:00; 0,192
17.08.1967 00:00:00; 0,137
18.08.1967 00:00:00; 0,123
19.08.1967 00:00:00; 0,110
20.08.1967 00:00:00; 0,100
21.08.1967 00:00:00; 0,062
22.08.1967 00:00:00; 0,054
23.08.1967 00:00:00; 0,058
24.08.1967 00:00:00; 0,099
25.08.1967 00:00:00; 0,089
26.08.1967 00:00:00; 0,078
27.08.1967 00:00:00; 0,058
28.08.1967 00:00:00; 0,041
29.08.1967 00:00:00; 0,036
30.08.1967 00:00:00; 0,036
31.08.1967 00:00:00; 0,039
01.09.1967 00:00:00; 0,039
02.09.1967 00:00:00; 0,039
03.09.1967 00:00:00; 0,039
04.09.1967 00:00:00; 0,554
05.09.1967 00:00:00; 0,235
06.09.1967 00:00:00; 0,152
07.09.1967 00:00:00; 0,255
08.09.1967 00:00:00; 0,582
09.09.1967 00:00:00; 0,231
10.09.1967 00:00:00;  1,14
11.09.1967 00:00:00;  2,96
12.09.1967 00:00:00; 0,531
13.09.1967 00:00:00; 0,272
14.09.1967 00:00:00; 0,175
15.09.1967 00:00:00; 0,079
16.09.1967 00:00:00; 0,068
17.09.1967 00:00:00; 0,051
18.09.1967 00:00:00; 0,041
19.09.1967 00:00:00; 0,039
20.09.1967 00:00:00; 0,044
21.09.1967 00:00:00; 0,046
22.09.1967 00:00:00; 0,419
23.09.1967 00:00:00; 0,150
24.09.1967 00:00:00; 0,063
25.09.1967 00:00:00; 0,039
26.09.1967 00:00:00; 0,037
27.09.1967 00:00:00; 0,036
28.09.1967 00:00:00; 0,032
29.09.1967 00:00:00; 0,030
30.09.1967 00:00:00; 0,030
01.10.1967 00:00:00; 0,029
02.10.1967 00:00:00; 0,030
03.10.1967 00:00:00; 0,042
04.10.1967 00:00:00; 0,061
05.10.1967 00:00:00; 0,095
06.10.1967 00:00:00; 0,066
07.10.1967 00:00:00; 0,047
08.10.1967 00:00:00; 0,037
09.10.1967 00:00:00; 0,030
10.10.1967 00:00:00; 0,027
11.10.1967 00:00:00; 0,028
12.10.1967 00:00:00; 0,027
13.10.1967 00:00:00; 0,026
14.10.1967 00:00:00; 0,025
15.10.1967 00:00:00; 0,023
16.10.1967 00:00:00; 0,020
17.10.1967 00:00:00; 0,021
18.10.1967 00:00:00; 0,079
19.10.1967 00:00:00; 0,042
20.10.1967 00:00:00; 0,035
21.10.1967 00:00:00; 0,033
22.10.1967 00:00:00; 0,030
23.10.1967 00:00:00; 0,027
24.10.1967 00:00:00; 0,024
25.10.1967 00:00:00; 0,022
26.10.1967 00:00:00; 0,022
27.10.1967 00:00:00; 0,021
28.10.1967 00:00:00; 0,026
29.10.1967 00:00:00; 0,067
30.10.1967 00:00:00; 0,078
31.10.1967 00:00:00; 0,023
01.11.1967 00:00:00; 0,024
02.11.1967 00:00:00; 0,025
03.11.1967 00:00:00; 0,099
04.11.1967 00:00:00; 0,070
05.11.1967 00:00:00; 0,256
06.11.1967 00:00:00; 0,186
07.11.1967 00:00:00; 0,064
08.11.1967 00:00:00; 0,057
09.11.1967 00:00:00; 0,047
10.11.1967 00:00:00; 0,037
11.11.1967 00:00:00; 0,040
12.11.1967 00:00:00; 0,036
13.11.1967 00:00:00; 0,029
14.11.1967 00:00:00; 0,027
15.11.1967 00:00:00; 0,023
16.11.1967 00:00:00; 0,021
17.11.1967 00:00:00; 0,099
18.11.1967 00:00:00; 0,090
19.11.1967 00:00:00; 0,056
20.11.1967 00:00:00; 0,038
21.11.1967 00:00:00; 0,034
22.11.1967 00:00:00; 0,034
23.11.1967 00:00:00; 0,034
24.11.1967 00:00:00; 0,034
25.11.1967 00:00:00; 0,035
26.11.1967 00:00:00; 0,035
27.11.1967 00:00:00; 0,040
28.11.1967 00:00:00; 0,039
29.11.1967 00:00:00; 0,050
30.11.1967 00:00:00; 0,055
01.12.1967 00:00:00; 0,034
02.12.1967 00:00:00; 0,033
03.12.1967 00:00:00; 0,034
04.12.1967 00:00:00; 0,034
05.12.1967 00:00:00; 0,037
06.12.1967 00:00:00; 0,035
07.12.1967 00:00:00; 0,036
08.12.1967 00:00:00; 0,056
09.12.1967 00:00:00; 0,047
10.12.1967 00:00:00; 0,042
11.12.1967 00:00:00; 0,045
12.12.1967 00:00:00; 0,635
13.12.1967 00:00:00; 0,738
14.12.1967 00:00:00; 0,716
15.12.1967 00:00:00; 0,712
16.12.1967 00:00:00; 0,727
17.12.1967 00:00:00; 0,718
18.12.1967 00:00:00; 0,717
19.12.1967 00:00:00; 0,735
20.12.1967 00:00:00; 0,761
21.12.1967 00:00:00; 0,759
22.12.1967 00:00:00; 0,714
23.12.1967 00:00:00; 0,921
24.12.1967 00:00:00;  1,10
25.12.1967 00:00:00; 0,297
26.12.1967 00:00:00; 0,205
27.12.1967 00:00:00; 0,234
28.12.1967 00:00:00; 0,244
29.12.1967 00:00:00; 0,248
30.12.1967 00:00:00; 0,231
31.12.1967 00:00:00; 0,273
01.01.1968 00:00:00; 0,263
02.01.1968 00:00:00; 0,255
03.01.1968 00:00:00; 0,218
04.01.1968 00:00:00; 0,299
05.01.1968 00:00:00; 0,201
06.01.1968 00:00:00; 0,427
07.01.1968 00:00:00; 0,158
08.01.1968 00:00:00; 0,070
09.01.1968 00:00:00; 0,159
10.01.1968 00:00:00;  1,32
11.01.1968 00:00:00;  1,38
12.01.1968 00:00:00;  1,39
13.01.1968 00:00:00;  1,38
14.01.1968 00:00:00;  1,39
15.01.1968 00:00:00;  1,41
16.01.1968 00:00:00; 0,662
17.01.1968 00:00:00; 0,351
18.01.1968 00:00:00; 0,271
19.01.1968 00:00:00; 0,229
20.01.1968 00:00:00; 0,202
21.01.1968 00:00:00; 0,170
22.01.1968 00:00:00; 0,148
23.01.1968 00:00:00; 0,144
24.01.1968 00:00:00; 0,158
25.01.1968 00:00:00; 0,222
26.01.1968 00:00:00; 0,385
27.01.1968 00:00:00; 0,335
28.01.1968 00:00:00; 0,222
29.01.1968 00:00:00; 0,151
30.01.1968 00:00:00; 0,140
31.01.1968 00:00:00; 0,137
01.02.1968 00:00:00; 0,132
02.02.1968 00:00:00; 0,137
03.02.1968 00:00:00; 0,132
04.02.1968 00:00:00; 0,133
05.02.1968 00:00:00; 0,128
06.02.1968 00:00:00; 0,121
07.02.1968 00:00:00; 0,119
08.02.1968 00:00:00; 0,127
09.02.1968 00:00:00; 0,143
10.02.1968 00:00:00; 0,273
11.02.1968 00:00:00; 0,231
12.02.1968 00:00:00; 0,230
13.02.1968 00:00:00; 0,297
14.02.1968 00:00:00; 0,298
15.02.1968 00:00:00; 0,294
16.02.1968 00:00:00; 0,254
17.02.1968 00:00:00; 0,341
18.02.1968 00:00:00; 0,252
19.02.1968 00:00:00; 0,234
20.02.1968 00:00:00; 0,276
21.02.1968 00:00:00; 0,822
22.02.1968 00:00:00; 0,828
23.02.1968 00:00:00; 0,728
24.02.1968 00:00:00; 0,773
25.02.1968 00:00:00; 0,787
26.02.1968 00:00:00; 0,380
27.02.1968 00:00:00; 0,309
28.02.1968 00:00:00; 0,283
29.02.1968 00:00:00; 0,258
01.03.1968 00:00:00; 0,253
02.03.1968 00:00:00; 0,228
03.03.1968 00:00:00; 0,184
04.03.1968 00:00:00; 0,148
05.03.1968 00:00:00; 0,140
06.03.1968 00:00:00; 0,150
07.03.1968 00:00:00; 0,180
08.03.1968 00:00:00; 0,180
09.03.1968 00:00:00; 0,180
10.03.1968 00:00:00; 0,171
11.03.1968 00:00:00; 0,151
12.03.1968 00:00:00; 0,140
13.03.1968 00:00:00; 0,152
14.03.1968 00:00:00; 0,165
15.03.1968 00:00:00; 0,150
16.03.1968 00:00:00; 0,146
17.03.1968 00:00:00; 0,157
18.03.1968 00:00:00; 0,278
19.03.1968 00:00:00; 0,376
20.03.1968 00:00:00; 0,339
21.03.1968 00:00:00; 0,440
22.03.1968 00:00:00; 0,561
23.03.1968 00:00:00; 0,429
24.03.1968 00:00:00; 0,555
25.03.1968 00:00:00; 0,853
26.03.1968 00:00:00; 0,859
27.03.1968 00:00:00; 0,863
28.03.1968 00:00:00; 0,955
29.03.1968 00:00:00; 0,987
30.03.1968 00:00:00; 0,992
31.03.1968 00:00:00; 0,916
01.04.1968 00:00:00; 0,728
02.04.1968 00:00:00; 0,514
03.04.1968 00:00:00; 0,499
04.04.1968 00:00:00; 0,303
05.04.1968 00:00:00; 0,239
06.04.1968 00:00:00; 0,254
07.04.1968 00:00:00; 0,230
08.04.1968 00:00:00; 0,311
09.04.1968 00:00:00; 0,219
10.04.1968 00:00:00; 0,206
11.04.1968 00:00:00; 0,194
12.04.1968 00:00:00; 0,189
13.04.1968 00:00:00; 0,187
14.04.1968 00:00:00; 0,194
15.04.1968 00:00:00; 0,260
16.04.1968 00:00:00; 0,275
17.04.1968 00:00:00; 0,301
18.04.1968 00:00:00; 0,299
19.04.1968 00:00:00; 0,273
20.04.1968 00:00:00; 0,256
21.04.1968 00:00:00; 0,228
22.04.1968 00:00:00; 0,201
23.04.1968 00:00:00; 0,187
24.04.1968 00:00:00; 0,191
25.04.1968 00:00:00; 0,311
26.04.1968 00:00:00;  1,10
27.04.1968 00:00:00; 0,382
28.04.1968 00:00:00; 0,571
29.04.1968 00:00:00; 0,401
30.04.1968 00:00:00; 0,236
01.05.1968 00:00:00; 0,186
02.05.1968 00:00:00; 0,176
03.05.1968 00:00:00; 0,167
04.05.1968 00:00:00; 0,148
05.05.1968 00:00:00; 0,143
06.05.1968 00:00:00; 0,154
07.05.1968 00:00:00; 0,471
08.05.1968 00:00:00; 0,236
09.05.1968 00:00:00; 0,184
10.05.1968 00:00:00; 0,172
11.05.1968 00:00:00; 0,155
12.05.1968 00:00:00; 0,774
13.05.1968 00:00:00; 0,604
14.05.1968 00:00:00; 0,249
15.05.1968 00:00:00; 0,173
16.05.1968 00:00:00; 0,149
17.05.1968 00:00:00; 0,289
18.05.1968 00:00:00; 0,252
19.05.1968 00:00:00; 0,177
20.05.1968 00:00:00; 0,138
21.05.1968 00:00:00; 0,113
22.05.1968 00:00:00; 0,116
23.05.1968 00:00:00; 0,120
24.05.1968 00:00:00; 0,100
25.05.1968 00:00:00; 0,112
26.05.1968 00:00:00; 0,226
27.05.1968 00:00:00; 0,144
28.05.1968 00:00:00; 0,118
29.05.1968 00:00:00; 0,119
30.05.1968 00:00:00; 0,131
31.05.1968 00:00:00; 0,124
01.06.1968 00:00:00; 0,118
02.06.1968 00:00:00; 0,111
03.06.1968 00:00:00; 0,100
04.06.1968 00:00:00; 0,087
05.06.1968 00:00:00; 0,088
06.06.1968 00:00:00; 0,270
07.06.1968 00:00:00; 0,287
08.06.1968 00:00:00; 0,230
09.06.1968 00:00:00; 0,850
10.06.1968 00:00:00; 0,349
11.06.1968 00:00:00; 0,242
12.06.1968 00:00:00; 0,185
13.06.1968 00:00:00; 0,170
14.06.1968 00:00:00; 0,160
15.06.1968 00:00:00; 0,151
16.06.1968 00:00:00; 0,188
17.06.1968 00:00:00; 0,102
18.06.1968 00:00:00; 0,085
19.06.1968 00:00:00; 0,078
20.06.1968 00:00:00; 0,155
21.06.1968 00:00:00; 0,667
22.06.1968 00:00:00; 0,117
23.06.1968 00:00:00; 0,046
24.06.1968 00:00:00; 0,161
25.06.1968 00:00:00; 0,063
26.06.1968 00:00:00; 0,049
27.06.1968 00:00:00; 0,046
28.06.1968 00:00:00; 0,038
29.06.1968 00:00:00; 0,036
30.06.1968 00:00:00; 0,035
01.07.1968 00:00:00; 0,033
02.07.1968 00:00:00; 0,030
03.07.1968 00:00:00; 0,029
04.07.1968 00:00:00; 0,029
05.07.1968 00:00:00; 0,025
06.07.1968 00:00:00; 0,024
07.07.1968 00:00:00; 0,024
08.07.1968 00:00:00; 0,021
09.07.1968 00:00:00; 0,022
10.07.1968 00:00:00; 0,021
11.07.1968 00:00:00; 0,027
12.07.1968 00:00:00; 0,023
13.07.1968 00:00:00; 0,019
14.07.1968 00:00:00; 0,031
15.07.1968 00:00:00; 0,154
16.07.1968 00:00:00; 0,034
17.07.1968 00:00:00; 0,298
18.07.1968 00:00:00;  2,01
19.07.1968 00:00:00; 0,528
20.07.1968 00:00:00; 0,492
21.07.1968 00:00:00;  2,73
22.07.1968 00:00:00; 0,459
23.07.1968 00:00:00; 0,292
24.07.1968 00:00:00; 0,330
25.07.1968 00:00:00; 0,327
26.07.1968 00:00:00; 0,237
27.07.1968 00:00:00; 0,152
28.07.1968 00:00:00; 0,077
29.07.1968 00:00:00; 0,064
30.07.1968 00:00:00; 0,064
31.07.1968 00:00:00; 0,062
01.08.1968 00:00:00; 0,057
02.08.1968 00:00:00; 0,055
03.08.1968 00:00:00;  3,89
04.08.1968 00:00:00; 0,938
05.08.1968 00:00:00; 0,269
06.08.1968 00:00:00; 0,190
07.08.1968 00:00:00; 0,152
08.08.1968 00:00:00; 0,122
09.08.1968 00:00:00; 0,088
10.08.1968 00:00:00; 0,087
11.08.1968 00:00:00; 0,092
12.08.1968 00:00:00; 0,100
13.08.1968 00:00:00; 0,099
14.08.1968 00:00:00; 0,653
15.08.1968 00:00:00; 0,540
16.08.1968 00:00:00; 0,250
17.08.1968 00:00:00; 0,284
18.08.1968 00:00:00; 0,419
19.08.1968 00:00:00; 0,282
20.08.1968 00:00:00; 0,204
21.08.1968 00:00:00; 0,141
22.08.1968 00:00:00; 0,086
23.08.1968 00:00:00; 0,072
24.08.1968 00:00:00; 0,067
25.08.1968 00:00:00; 0,057
26.08.1968 00:00:00; 0,051
27.08.1968 00:00:00; 0,050
28.08.1968 00:00:00; 0,048
29.08.1968 00:00:00; 0,047
30.08.1968 00:00:00; 0,048
31.08.1968 00:00:00; 0,909
01.09.1968 00:00:00; 0,160
02.09.1968 00:00:00; 0,070
03.09.1968 00:00:00; 0,056
04.09.1968 00:00:00;  1,19
05.09.1968 00:00:00; 0,449
06.09.1968 00:00:00; 0,192
07.09.1968 00:00:00; 0,135
08.09.1968 00:00:00; 0,114
09.09.1968 00:00:00; 0,086
10.09.1968 00:00:00; 0,075
11.09.1968 00:00:00; 0,111
12.09.1968 00:00:00; 0,114
13.09.1968 00:00:00; 0,079
14.09.1968 00:00:00; 0,074
15.09.1968 00:00:00; 0,072
16.09.1968 00:00:00; 0,795
17.09.1968 00:00:00; 0,195
18.09.1968 00:00:00; 0,139
19.09.1968 00:00:00; 0,303
20.09.1968 00:00:00; 0,180
21.09.1968 00:00:00;  2,25
22.09.1968 00:00:00;  2,88
23.09.1968 00:00:00; 0,417
24.09.1968 00:00:00; 0,264
25.09.1968 00:00:00; 0,611
26.09.1968 00:00:00; 0,306
27.09.1968 00:00:00; 0,222
28.09.1968 00:00:00; 0,587
29.09.1968 00:00:00; 0,851
30.09.1968 00:00:00; 0,338
01.10.1968 00:00:00;  1,67
02.10.1968 00:00:00;  1,96
03.10.1968 00:00:00; 0,851
04.10.1968 00:00:00; 0,419
05.10.1968 00:00:00; 0,271
06.10.1968 00:00:00; 0,223
07.10.1968 00:00:00; 0,184
08.10.1968 00:00:00; 0,158
09.10.1968 00:00:00; 0,194
10.10.1968 00:00:00; 0,164
11.10.1968 00:00:00; 0,146
12.10.1968 00:00:00; 0,129
13.10.1968 00:00:00; 0,104
14.10.1968 00:00:00; 0,095
15.10.1968 00:00:00; 0,091
16.10.1968 00:00:00; 0,088
17.10.1968 00:00:00; 0,079
18.10.1968 00:00:00; 0,070
19.10.1968 00:00:00; 0,067
20.10.1968 00:00:00; 0,064
21.10.1968 00:00:00; 0,058
22.10.1968 00:00:00; 0,064
23.10.1968 00:00:00; 0,063
24.10.1968 00:00:00; 0,061
25.10.1968 00:00:00; 0,060
26.10.1968 00:00:00; 0,056
27.10.1968 00:00:00; 0,054
28.10.1968 00:00:00; 0,051
29.10.1968 00:00:00; 0,049
30.10.1968 00:00:00; 0,049
31.10.1968 00:00:00; 0,047
01.11.1968 00:00:00; 0,046
02.11.1968 00:00:00; 0,043
03.11.1968 00:00:00; 0,045
04.11.1968 00:00:00; 0,046
05.11.1968 00:00:00; 0,051
06.11.1968 00:00:00; 0,050
07.11.1968 00:00:00; 0,051
08.11.1968 00:00:00; 0,051
09.11.1968 00:00:00; 0,049
10.11.1968 00:00:00; 0,051
11.11.1968 00:00:00; 0,044
12.11.1968 00:00:00; 0,042
13.11.1968 00:00:00; 0,041
14.11.1968 00:00:00; 0,041
15.11.1968 00:00:00; 0,042
16.11.1968 00:00:00; 0,047
17.11.1968 00:00:00; 0,051
18.11.1968 00:00:00; 0,046
19.11.1968 00:00:00; 0,044
20.11.1968 00:00:00; 0,042
21.11.1968 00:00:00; 0,043
22.11.1968 00:00:00; 0,043
23.11.1968 00:00:00; 0,042
24.11.1968 00:00:00; 0,136
25.11.1968 00:00:00; 0,080
26.11.1968 00:00:00; 0,058
27.11.1968 00:00:00; 0,050
28.11.1968 00:00:00; 0,047
29.11.1968 00:00:00; 0,046
30.11.1968 00:00:00; 0,047
01.12.1968 00:00:00; 0,047
02.12.1968 00:00:00; 0,044
03.12.1968 00:00:00; 0,034
04.12.1968 00:00:00; 0,030
05.12.1968 00:00:00; 0,024
06.12.1968 00:00:00; 0,021
07.12.1968 00:00:00; 0,020
08.12.1968 00:00:00; 0,037
09.12.1968 00:00:00; 0,035
10.12.1968 00:00:00; 0,026
11.12.1968 00:00:00; 0,025
12.12.1968 00:00:00; 0,029
13.12.1968 00:00:00; 0,029
14.12.1968 00:00:00; 0,034
15.12.1968 00:00:00; 0,043
16.12.1968 00:00:00; 0,049
17.12.1968 00:00:00; 0,056
18.12.1968 00:00:00; 0,066
19.12.1968 00:00:00; 0,043
20.12.1968 00:00:00; 0,056
21.12.1968 00:00:00; 0,067
22.12.1968 00:00:00; 0,134
23.12.1968 00:00:00; 0,215
24.12.1968 00:00:00; 0,118
25.12.1968 00:00:00; 0,080
26.12.1968 00:00:00; 0,074
27.12.1968 00:00:00; 0,200
28.12.1968 00:00:00; 0,156
29.12.1968 00:00:00; 0,093
30.12.1968 00:00:00; 0,101
31.12.1968 00:00:00; 0,079
01.01.1969 00:00:00; 0,059
02.01.1969 00:00:00; 0,053
03.01.1969 00:00:00; 0,048
04.01.1969 00:00:00; 0,044
05.01.1969 00:00:00; 0,041
06.01.1969 00:00:00; 0,039
07.01.1969 00:00:00; 0,038
08.01.1969 00:00:00; 0,037
09.01.1969 00:00:00; 0,035
10.01.1969 00:00:00; 0,032
11.01.1969 00:00:00; 0,032
12.01.1969 00:00:00; 0,031
13.01.1969 00:00:00; 0,030
14.01.1969 00:00:00; 0,063
15.01.1969 00:00:00; 0,103
16.01.1969 00:00:00; 0,099
17.01.1969 00:00:00; 0,029
18.01.1969 00:00:00; 0,019
19.01.1969 00:00:00; 0,055
20.01.1969 00:00:00; 0,030
21.01.1969 00:00:00; 0,189
22.01.1969 00:00:00; 0,195
23.01.1969 00:00:00; 0,836
24.01.1969 00:00:00; 0,611
25.01.1969 00:00:00; 0,421
26.01.1969 00:00:00; 0,294
27.01.1969 00:00:00; 0,268
28.01.1969 00:00:00; 0,257
29.01.1969 00:00:00; 0,291
30.01.1969 00:00:00; 0,379
31.01.1969 00:00:00; 0,320
01.02.1969 00:00:00; 0,276
02.02.1969 00:00:00; 0,258
03.02.1969 00:00:00; 0,246
04.02.1969 00:00:00; 0,252
05.02.1969 00:00:00; 0,425
06.02.1969 00:00:00; 0,461
07.02.1969 00:00:00; 0,200
08.02.1969 00:00:00; 0,258
09.02.1969 00:00:00; 0,431
10.02.1969 00:00:00; 0,216
11.02.1969 00:00:00; 0,187
12.02.1969 00:00:00; 0,163
13.02.1969 00:00:00; 0,149
14.02.1969 00:00:00; 0,142
15.02.1969 00:00:00; 0,128
16.02.1969 00:00:00; 0,128
17.02.1969 00:00:00; 0,130
18.02.1969 00:00:00; 0,130
19.02.1969 00:00:00; 0,126
20.02.1969 00:00:00; 0,258
21.02.1969 00:00:00;  1,23
22.02.1969 00:00:00;  1,17
23.02.1969 00:00:00; 0,795
24.02.1969 00:00:00; 0,675
25.02.1969 00:00:00; 0,748
26.02.1969 00:00:00; 0,577
27.02.1969 00:00:00; 0,383
28.02.1969 00:00:00; 0,319
01.03.1969 00:00:00; 0,276
02.03.1969 00:00:00; 0,265
03.03.1969 00:00:00; 0,247
04.03.1969 00:00:00; 0,237
05.03.1969 00:00:00; 0,232
06.03.1969 00:00:00; 0,268
07.03.1969 00:00:00; 0,277
08.03.1969 00:00:00; 0,294
09.03.1969 00:00:00; 0,296
10.03.1969 00:00:00; 0,260
11.03.1969 00:00:00; 0,272
12.03.1969 00:00:00; 0,748
13.03.1969 00:00:00; 0,822
14.03.1969 00:00:00; 0,944
15.03.1969 00:00:00;  1,08
16.03.1969 00:00:00; 0,825
17.03.1969 00:00:00; 0,560
18.03.1969 00:00:00; 0,595
19.03.1969 00:00:00; 0,501
