Messstelle:                ;Scheiblingkirchen
30.07.1996 21:00:00;    68
10.08.1996 23:15:00;    69
10.09.1996 05:45:00;    78
19.10.1996 08:30:00;    72
25.11.1996 02:15:00;    75
27.12.1996 21:45:00;    68
27.01.1997 08:42:30;    62
03.02.1997 03:37:00;    62
12.03.1997 08:24:25;    62
04.04.1997 15:17:25;    69
18.05.1997 22:42:45;    66
12.06.1997 02:50:00;    62
05.07.1997 05:41:25;    67
31.08.1997 23:59:55;    64
30.09.1997 23:59:55;    55
01.10.1997 14:48:35;    54
07.11.1997 16:52:00;    61
18.12.1997 14:05:00;    65
31.01.1998 23:59:55;    61
05.02.1998 16:01:55;    59
12.03.1998 11:11:30;    57
12.04.1998 02:59:20;    61
14.05.1998 23:47:15;    58
08.06.1998 16:29:55;    60
01.07.1998 15:18:55;    61
18.08.1998 00:13:50;    60
01.09.1998 00:00:00;    61
02.10.1998 04:04:40;    64
19.11.1998 09:26:30;    65
12.12.1998 06:19:50;    63
30.01.1999 08:44:50;    60
08.02.1999 00:06:05;    62
27.03.1999 20:52:10;    61
01.04.1999 15:48:40;    61
16.05.1999 22:32:45;    65
08.06.1999 00:16:15;    62
04.07.1999 22:28:45;    61
07.08.1999 17:14:15;    61
30.09.1999 21:54:05;    63
25.10.1999 07:18:25;    60
05.11.1999 15:33:05;    60
28.12.1999 01:38:25;    61
21.01.2000 22:18:25;    59
29.02.2000 23:59:55;    67
11.03.2000 17:33:05;    64
30.04.2000 23:59:55;    63
31.05.2000 07:31:40;    58
21.06.2000 20:19:40;    50
03.07.2000 17:43:00;    51
27.08.2000 05:21:05;    50
13.09.2000 03:34:55;    50
01.10.2000 07:13:50;    52
01.11.2000 00:00:00;    56
13.12.2000 09:33:55;    57
15.01.2001 16:14:20;    57
28.02.2001 11:07:45;    56
09.03.2001 21:05:05;    58
28.04.2001 18:17:15;    59
31.05.2001 06:26:10;    53
28.06.2001 03:11:40;    50
16.07.2001 06:27:15;    39
20.08.2001 17:30:30;    28
04.09.2001 13:52:10;    49
15.10.2001 12:12:15;    53
05.11.2001 12:03:05;    51
13.12.2001 13:11:20;    52
19.01.2002 02:18:10;    52
23.02.2002 21:04:50;    54
19.03.2002 10:41:20;    53
10.04.2002 08:30:00;    57
31.05.2002 23:59:55;    53
27.06.2002 23:02:20;    48
31.07.2002 09:22:55;    31
04.08.2002 00:16:20;    46
19.09.2002 15:56:00;    53
04.10.2002 17:30:45;    56
11.11.2002 18:04:35;    61
01.12.2002 18:14:40;    63
25.01.2003 16:16:55;    63
24.02.2003 05:21:25;    61
23.03.2003 07:54:50;    59
30.04.2003 23:59:55;    56
08.05.2003 00:53:55;    52
06.06.2003 04:55:45;    51
24.07.2003 21:59:30;    49
29.08.2003 07:08:20;    44
08.09.2003 06:18:50;    46
04.10.2003 04:18:25;    49
26.11.2003 14:16:10;    53
02.12.2003 09:28:10;    52
30.01.2004 14:46:05;    49
01.02.2004 06:53:10;    51
06.03.2004 02:14:30;    49
30.04.2004 23:59:55;    56
23.05.2004 16:14:20;    54
01.06.2004 09:32:40;    57
31.07.2004 20:41:20;    54
24.08.2004 21:10:50;    49
12.09.2004 16:18:10;    48
07.10.2004 20:37:20;    48
09.11.2004 01:47:55;    48
23.12.2004 02:44:45;    53
15.01.2005 23:26:05;    51
22.02.2005 09:26:05;    51
01.03.2005 04:47:15;    51
16.04.2005 17:43:15;    58
08.05.2005 17:48:30;    57
25.06.2005 00:24:25;    51
03.07.2005 18:11:20;    50
03.08.2005 01:06:35;    49
03.09.2005 19:59:00;    56
12.10.2005 19:12:30;    54
05.11.2005 12:10:35;    54
28.12.2005 12:30:35;    51
20.01.2006 12:06:10;    52
07.02.2006 09:43:00;    56
15.03.2006 09:03:15;    61
26.04.2006 01:28:00;    60
31.05.2006 19:38:00;    61
02.06.2006 05:51:15;    60
31.07.2006 23:59:55;    55
01.08.2006 01:35:00;    55
14.09.2006 18:59:55;    52
12.10.2006 13:25:55;    52
08.11.2006 09:28:50;    53
07.12.2006 06:31:10;    52
17.01.2007 12:58:10;    53
25.02.2007 21:17:20;    53
15.03.2007 00:56:45;    52
30.04.2007 12:32:00;    52
28.05.2007 03:02:05;    50
25.06.2007 21:54:15;    48
22.07.2007 08:06:25;    31
10.08.2007 00:26:50;    25
03.09.2007 19:57:55;    49
20.10.2007 07:29:15;    55
10.11.2007 14:26:10;    63
30.12.2007 21:44:10;    62
27.01.2008 08:43:25;    58
17.02.2008 11:14:40;    52
04.03.2008 13:40:10;    53
21.04.2008 16:58:25;    53
31.05.2008 23:59:55;    48
01.06.2008 04:22:40;    48
13.07.2008 08:41:55;    54
03.08.2008 15:55:10;    60
26.09.2008 04:45:45;    55
25.10.2008 19:26:45;    55
30.11.2008 23:59:55;    54
01.12.2008 11:29:30;    54
17.01.2009 10:42:00;    49
04.02.2009 11:05:25;    51
01.03.2009 03:21:45;    61
26.04.2009 15:46:25;    57
27.05.2009 23:39:45;    51
23.06.2009 13:21:30;    47
31.07.2009 23:59:55;    56
27.08.2009 23:00:55;    52
01.09.2009 21:16:55;    51
08.10.2009 11:12:20;    48
14.11.2009 19:01:05;    51
21.12.2009 23:34:40;    49
23.01.2010 21:42:50;    46
14.02.2010 11:00:50;    46
08.03.2010 09:55:35;    53
25.04.2010 23:47:05;    52
03.05.2010 10:46:40;    52
30.06.2010 02:15:50;    61
28.07.2010 23:18:40;    51
03.08.2010 03:13:50;    51
15.09.2010 02:10:40;    51
24.10.2010 18:10:30;    57
30.11.2010 23:59:55;    57
31.12.2010 09:07:45;    55
29.01.2011 03:06:50;    48
22.02.2011 07:47:50;    43
08.03.2011 02:40:35;    41
24.04.2011 13:27:45;    44
31.05.2011 21:10:35;    43
17.06.2011 01:39:55;    42
23.07.2011 04:21:15;    34
24.08.2011 21:43:45;    42
13.09.2011 21:49:30;    41
07.10.2011 00:09:30;    42
07.11.2011 07:26:25;    44
20.12.2011 22:28:40;    43
29.01.2012 06:03:40;    42
06.02.2012 01:57:20;    39
29.03.2012 10:42:00;    39
01.04.2012 01:15:25;    40
03.05.2012 12:43:15;    39
20.06.2012 18:34:50;    39
11.07.2012 09:15:00;    39
26.08.2012 09:00:00;    44
12.09.2012 02:35:00;    42
05.10.2012 20:08:50;    43
01.11.2012 00:00:00;    50
14.12.2012 08:59:05;    45
04.01.2013 00:47:50;    50
23.02.2013 11:00:00;    49
04.03.2013 10:15:00;    60
30.04.2013 23:59:55;    57
26.05.2013 23:45:00;    55
21.06.2013 21:55:00;    50
30.07.2013 21:25:00;    44
20.08.2013 00:00:00;    39
08.09.2013 21:35:00;    43
24.10.2013 01:20:00;    46
09.11.2013 03:30:20;    47
30.12.2013 18:05:00;    50
26.01.2014 03:30:00;    47
04.02.2014 08:35:00;    48
31.03.2014 21:10:00;    50
23.04.2014 20:05:00;    47
03.05.2014 08:50:00;    49
29.06.2014 20:50:00;    44
21.07.2014 23:40:00;    39
28.08.2014 21:30:00;    44
01.09.2014 00:05:00;    50
20.10.2014 20:10:00;    50
05.11.2014 09:15:00;    50
31.12.2014 03:05:00;    48
29.01.2015 07:55:00;    49
08.02.2015 02:30:00;    45
28.03.2015 19:55:00;    47
25.04.2015 18:55:00;    42
13.05.2015 23:10:00;    40
30.06.2015 21:30:00;    41
23.07.2015 00:50:00;    37
31.08.2015 22:45:00;    32
02.09.2015 03:50:00;    32
03.10.2015 20:15:00;    37
30.11.2015 19:20:00;    40
31.12.2015 11:45:00;    36
25.01.2016 01:50:00;    35
01.02.2016 00:05:00;    40
12.03.2016 12:40:00;    41
26.04.2016 23:20:00;    40
01.05.2016 00:05:00;    41
30.06.2016 20:55:00;    43
31.07.2016 19:05:00;    39
04.08.2016 22:00:00;    38
04.09.2016 18:50:00;    44
03.10.2016 20:15:00;    44
06.11.2016 07:05:00;    46
31.12.2016 08:40:00;    42
30.01.2017 09:40:00;    37
01.02.2017 11:50:00;    40
31.03.2017 22:10:00;    42
17.04.2017 00:15:00;    40
30.05.2017 20:20:00;    41
24.06.2017 19:40:00;    36
19.07.2017 20:20:00;    34
03.08.2017 22:25:00;    32
01.09.2017 00:00:00;    32
19.10.2017 01:35:00;    37
29.11.2017 13:55:00;    38
10.12.2017 13:40:00;    36
08.01.2018 00:05:00;    39
28.02.2018 22:15:00;    38
01.03.2018 00:00:00;    39
30.04.2018 18:05:00;    42
11.05.2018 20:35:00;    41
01.06.2018 00:05:00;    42
20.07.2018 20:30:00;    44
23.08.2018 20:20:00;    37
28.09.2018 22:55:00;    37
13.10.2018 21:25:00;    34
14.11.2018 06:05:00;    38
20.12.2018 08:20:00;    42
25.01.2019 23:35:00;    36
24.02.2019 09:42:15;    37
31.03.2019 23:40:00;    38
25.04.2019 22:30:00;    35
04.05.2019 21:35:00;    39
30.06.2019 19:50:00;    42
26.07.2019 23:30:00;    36
19.08.2019 02:55:00;    34
28.09.2019 03:00:00;    35
28.10.2019 01:40:00;    36
04.11.2019 04:20:00;    38
30.12.2019 06:30:00;    38
25.01.2020 04:10:00;    38
06.02.2020 07:30:00;    38
21.03.2020 03:25:00;    38
29.04.2020 01:55:00;    33
19.05.2020 01:45:00;    32
18.06.2020 02:55:00;    32
28.07.2020 21:00:00;    35
13.08.2020 04:05:00;    33
22.09.2020 21:05:00;    40
03.10.2020 17:40:00;    49
30.11.2020 18:55:00;    44
05.12.2020 02:10:00;    43
18.01.2021 05:30:00;    43
15.02.2021 11:45:00;    45
21.03.2021 08:50:00;    39
30.04.2021 00:50:00;    39
11.05.2021 23:20:00;    38
24.06.2021 23:25:00;    30
07.07.2021 01:15:00;    25
13.08.2021 20:05:00;    34
29.09.2021 02:25:00;    33
06.10.2021 05:50:00;    32
01.11.2021 02:30:00;    34
01.12.2021 00:40:00;    37
