Messstelle:                ;Pöllau (Prätisbach-II)
24.12.1986 18:15:00;     5
08.01.1987 08:15:00;     2
06.02.1987 09:30:00;     7
09.03.1987 06:45:00;    10
13.04.1987 16:00:00;    11
02.05.1987 15:15:00;    10
30.06.1987 00:00:00;    11
22.07.1987 16:00:00;     9
03.08.1987 19:15:00;     9
10.09.1987 13:00:00;     3
02.10.1987 06:15:00;     9
09.11.1987 04:30:00;    13
15.12.1987 14:45:00;    14
20.01.1988 22:00:00;    11
07.02.1988 22:30:00;    13
03.03.1988 04:15:00;    12
14.04.1988 23:45:00;    10
26.05.1988 10:15:00;     8
21.06.1988 00:15:00;     8
27.07.1988 20:00:00;     7
19.08.1988 20:15:00;     4
04.09.1988 17:45:00;     8
12.10.1988 02:00:00;     9
16.11.1988 12:45:00;     4
17.12.1988 04:15:00;     7
04.01.1989 08:00:00;     7
06.02.1989 14:00:00;     8
23.03.1989 16:15:00;    10
01.04.1989 00:00:00;    11
13.05.1989 11:45:00;    11
28.06.1989 11:30:00;    13
29.07.1989 16:00:00;    11
02.08.1989 20:30:00;    11
21.09.1989 19:00:00;    12
18.10.1989 11:30:00;    11
26.11.1989 04:15:00;     9
11.12.1989 01:45:00;     6
19.01.1990 19:30:00;     6
02.02.1990 06:15:00;     7
08.03.1990 10:15:00;     8
03.04.1990 09:30:00;     9
11.05.1990 09:00:00;    10
02.06.1990 08:15:00;    11
31.07.1990 23:59:55;    11
03.08.1990 21:00:00;     8
07.09.1990 12:45:00;     8
01.10.1990 08:00:00;     9
26.11.1990 15:30:00;    10
03.12.1990 17:30:00;    13
31.01.1991 08:30:00;    10
01.02.1991 09:45:00;    10
05.03.1991 13:30:00;    13
30.04.1991 09:45:00;    11
02.05.1991 02:00:00;    12
21.06.1991 18:30:00;    12
09.07.1991 06:15:00;    11
28.08.1991 08:00:00;    11
05.09.1991 08:30:00;    10
06.10.1991 08:15:00;    10
01.11.1991 19:30:00;     9
10.12.1991 08:00:00;    13
25.01.1992 03:45:00;    12
19.02.1992 06:00:00;    10
03.03.1992 23:00:00;    10
11.04.1992 09:00:00;    12
16.05.1992 17:45:00;    12
02.06.1992 23:45:00;    14
28.07.1992 21:30:00;     8
20.08.1992 00:30:00;     6
01.09.1992 00:00:00;     7
02.10.1992 23:30:00;     7
09.11.1992 01:30:00;    12
03.12.1992 13:00:00;    15
31.01.1993 08:15:00;     9
23.02.1993 06:45:00;     8
05.03.1993 04:15:00;    10
16.04.1993 23:45:00;    10
27.05.1993 19:45:00;     7
11.06.1993 01:30:00;     7
02.07.1993 21:30:00;     6
18.08.1993 16:30:00;     7
01.09.1993 09:00:00;     8
02.10.1993 13:00:00;    10
08.11.1993 14:45:00;    17
03.12.1993 11:15:00;    17
24.01.1994 11:45:00;    15
23.02.1994 09:00:00;    15
14.03.1994 23:00:00;    12
07.04.1994 14:30:00;    11
17.05.1994 22:45:00;    11
05.06.1994 20:45:00;    13
28.07.1994 19:00:00;    11
07.08.1994 03:45:00;    10
30.09.1994 23:59:55;    13
02.10.1994 04:00:00;    12
09.11.1994 15:15:00;    12
14.12.1994 16:15:00;    11
15.01.1995 08:45:00;     8
01.02.1995 08:45:00;     9
01.03.1995 13:45:00;    14
24.04.1995 21:30:00;    14
26.05.1995 16:30:00;    11
02.06.1995 07:00:00;    12
27.07.1995 21:00:00;    14
01.08.1995 16:15:00;    14
14.09.1995 02:15:00;    13
20.10.1995 23:30:00;    13
23.11.1995 09:00:00;    11
29.12.1995 01:30:00;    10
01.01.1996 03:15:00;    12
01.02.1996 08:30:00;    11
02.03.1996 04:00:00;    13
30.04.1996 07:15:00;    22
07.05.1996 03:30:00;    18
16.06.1996 19:15:00;    17
31.07.1996 23:45:00;    14
01.08.1996 00:00:00;    14
01.09.1996 00:00:00;    17
16.10.1996 06:00:00;    16
13.11.1996 16:00:00;    17
26.12.1996 14:30:00;    13
30.01.1997 06:55:55;    12
25.02.1997 17:21:20;    12
04.03.1997 12:55:25;    11
24.04.1997 06:56:40;    13
17.05.1997 22:26:25;     9
04.06.1997 03:34:00;    11
10.07.1997 17:14:20;    14
17.08.1997 20:57:20;    14
17.09.1997 11:24:55;    11
17.10.1997 12:00:05;    10
28.11.1997 11:04:55;     9
19.12.1997 04:25:40;    11
29.01.1998 09:04:55;    10
28.02.1998 06:33:15;    10
31.03.1998 23:28:20;     7
05.04.1998 21:16:25;     7
17.05.1998 22:43:55;     7
08.06.1998 10:58:20;     6
25.07.1998 01:38:00;     9
18.08.1998 02:20:50;     9
03.09.1998 10:19:30;    12
16.10.1998 18:48:45;    12
27.11.1998 21:36:55;    11
09.12.1998 04:58:30;     8
30.01.1999 11:05:20;     8
16.02.1999 07:25:10;     8
25.03.1999 03:55:05;     9
01.04.1999 10:24:15;    10
17.05.1999 00:58:50;     6
23.06.1999 23:09:20;     9
07.07.1999 00:33:05;     9
15.08.1999 01:36:40;    10
30.09.1999 23:59:55;    14
20.10.1999 20:54:25;     6
29.11.1999 19:40:00;     8
02.12.1999 18:06:00;     6
09.01.2000 05:07:45;     6
29.02.2000 06:47:40;    10
17.03.2000 13:58:50;     9
30.04.2000 23:59:55;    12
27.05.2000 02:40:10;     8
02.06.2000 21:22:45;     7
31.07.2000 20:58:15;     8
21.08.2000 21:05:00;     7
12.09.2000 22:10:20;     6
01.10.2000 00:57:50;     8
01.11.2000 02:47:10;     9
23.12.2000 10:44:50;     8
01.01.2001 05:15:05;    11
27.02.2001 09:09:25;     9
17.03.2001 07:30:10;    10
28.04.2001 09:57:40;    10
30.05.2001 05:20:20;     6
27.06.2001 03:18:35;     5
27.07.2001 22:31:00;     7
18.08.2001 23:30:00;     5
29.09.2001 05:34:20;     6
04.10.2001 17:42:25;     5
22.11.2001 07:00:55;     6
20.12.2001 11:15:55;     6
02.01.2002 08:42:00;     6
22.02.2002 15:14:55;     6
13.03.2002 14:34:35;     0
03.04.2002 06:14:35;     0
25.05.2002 06:32:05;     4
27.06.2002 04:45:30;     3
04.07.2002 03:10:00;     4
09.08.2002 06:39:00;   107
19.09.2002 09:20:20;   105
18.10.2002 20:09:30;   102
13.11.2002 22:08:50;   109
03.12.2002 05:01:35;   112
12.01.2003 07:25:40;   110
13.02.2003 06:54:30;   108
31.03.2003 13:50:30;   109
07.04.2003 09:44:50;   107
25.05.2003 08:29:30;   108
09.06.2003 08:33:20;   107
17.07.2003 18:00:05;   105
05.08.2003 11:01:45;   103
23.09.2003 20:10:25;   107
15.10.2003 15:18:20;   105
26.11.2003 05:32:40;   109
25.12.2003 04:21:00;   106
23.01.2004 08:57:45;   106
25.02.2004 08:15:00;   108
06.03.2004 04:45:00;   105
26.04.2004 09:30:00;   108
01.05.2004 00:00:00;   112
01.06.2004 03:00:00;   113
31.07.2004 21:15:00;   112
18.08.2004 17:45:00;   110
26.09.2004 18:00:00;   110
02.10.2004 20:00:00;   110
08.11.2004 15:15:00;   109
16.12.2004 11:15:00;   110
29.01.2005 07:15:00;   109
28.02.2005 10:30:00;   109
03.03.2005 05:30:00;   109
06.04.2005 18:00:00;   114
30.05.2005 18:45:00;   111
21.06.2005 20:45:00;   109
01.07.2005 00:00:00;   109
08.08.2005 17:00:00;   112
26.09.2005 19:00:00;   113
22.10.2005 10:45:00;   113
09.11.2005 16:15:00;   107
31.12.2005 05:00:00;   111
24.01.2006 05:45:00;   109
06.02.2006 09:30:00;   111
08.03.2006 06:15:00;   114
26.04.2006 22:15:00;   113
10.05.2006 18:45:00;   114
27.06.2006 20:30:00;   112
28.07.2006 16:15:00;   111
09.08.2006 20:00:00;   110
13.09.2006 18:45:00;   109
09.10.2006 13:30:00;   105
02.11.2006 10:30:00;   108
13.12.2006 17:15:00;   108
01.01.2007 00:00:00;   108
01.02.2007 11:45:00;   109
02.03.2007 22:45:00;   109
23.04.2007 21:30:00;   110
25.05.2007 18:30:00;   108
01.06.2007 18:30:00;   109
21.07.2007 18:45:00;   108
09.08.2007 18:15:00;   108
02.09.2007 15:15:00;   116
23.10.2007 15:55:05;   111
09.11.2007 08:55:05;   109
30.12.2007 04:45:00;   103
27.01.2008 18:30:00;   101
17.02.2008 10:00:00;    98
18.03.2008 12:10:00;    96
29.04.2008 02:10:00;    97
31.05.2008 23:59:55;    95
01.06.2008 21:40:00;    95
06.07.2008 00:25:00;    94
31.08.2008 22:10:00;    97
29.09.2008 16:10:00;    92
01.10.2008 08:55:00;    92
17.11.2008 17:10:00;    95
09.12.2008 00:25:00;    96
09.01.2009 05:15:00;    96
25.02.2009 02:15:00;    94
01.03.2009 07:30:00;    95
23.04.2009 19:30:00;    95
25.05.2009 18:30:00;    93
19.06.2009 21:00:00;    91
29.07.2009 16:15:00;    98
21.08.2009 16:15:00;    95
01.09.2009 17:45:00;    96
22.10.2009 09:15:00;    91
01.11.2009 00:00:00;    94
18.12.2009 23:00:00;    93
25.01.2010 05:00:00;    93
03.02.2010 07:15:00;    92
26.03.2010 18:00:00;    96
25.04.2010 20:00:00;    93
23.05.2010 21:30:00;    92
04.06.2010 16:30:00;    95
11.07.2010 21:45:00;    93
01.08.2010 13:15:00;    94
13.09.2010 12:45:00;    96
28.10.2010 13:45:00;    97
01.11.2010 18:00:00;    98
04.12.2010 09:45:00;   101
28.01.2011 18:00:00;    97
23.02.2011 10:45:00;    94
08.03.2011 09:45:00;    93
19.04.2011 16:00:00;    94
11.05.2011 19:30:00;    92
02.06.2011 16:30:00;    91
21.07.2011 17:30:00;    96
24.08.2011 15:45:00;    93
30.09.2011 23:30:00;    93
19.10.2011 23:30:00;    92
24.11.2011 08:18:00;    92
25.12.2011 13:48:00;    91
31.01.2012 06:03:00;    89
08.02.2012 09:18:00;    86
22.03.2012 22:30:00;    90
01.04.2012 01:00:00;    90
01.05.2012 02:45:00;    90
03.06.2012 21:30:00;    89
08.07.2012 22:30:00;    90
29.08.2012 14:45:00;    94
11.09.2012 15:15:00;    95
15.10.2012 20:15:00;    97
01.11.2012 00:45:00;   100
12.12.2012 21:41:00;    97
27.01.2013 02:26:00;    95
23.02.2013 03:11:00;    99
28.03.2013 07:56:00;   108
30.04.2013 23:56:00;   104
27.05.2013 23:41:00;   103
30.06.2013 16:26:00;    99
26.07.2013 17:26:00;    93
08.08.2013 19:41:00;    93
08.09.2013 22:11:00;    97
10.10.2013 11:26:00;    97
03.11.2013 00:41:00;    98
23.12.2013 18:26:40;    99
31.01.2014 23:26:40;    97
04.02.2014 20:26:40;    97
20.03.2014 15:41:40;    97
27.04.2014 19:11:40;    96
07.05.2014 16:41:40;    96
23.06.2014 16:56:40;    95
19.07.2014 18:56:40;    94
10.08.2014 20:26:40;   100
28.09.2014 18:15:00;    99
31.10.2014 14:15:00;    97
07.11.2014 09:15:00;    95
31.12.2014 05:32:55;    99
28.01.2015 17:17:55;    98
08.02.2015 02:17:55;    96
31.03.2015 19:02:55;    96
27.04.2015 18:32:55;    95
19.05.2015 17:17:55;    94
13.06.2015 21:47:55;    92
22.07.2015 21:47:55;    89
10.08.2015 00:02:55;    90
18.09.2015 19:47:55;    92
03.10.2015 13:47:55;    91
04.11.2015 16:02:55;    93
01.12.2015 00:00:00;    95
18.01.2016 03:47:00;    91
09.02.2016 12:02:00;    95
31.03.2016 18:17:00;    95
23.04.2016 17:32:00;    93
01.05.2016 00:00:00;    93
08.06.2016 15:17:00;    95
21.07.2016 13:32:00;    95
31.08.2016 15:47:55;   101
30.09.2016 18:32:55;    94
17.10.2016 11:47:55;    92
04.11.2016 20:02:55;    94
24.12.2016 07:32:55;    90
20.01.2017 00:17:55;    92
14.02.2017 08:17:55;    91
30.03.2017 18:32:55;    93
18.04.2017 10:47:55;    92
28.05.2017 17:32:55;    93
19.06.2017 19:32:55;    92
16.07.2017 17:17:55;    90
01.08.2017 00:02:55;    91
08.09.2017 18:47:55;    92
17.10.2017 17:17:55;    92
01.11.2017 00:00:00;    92
04.12.2017 00:02:55;    92
01.01.2018 00:00:00;    92
26.02.2018 04:47:55;    89
01.03.2018 00:00:00;    93
20.04.2018 17:17:00;    95
01.05.2018 19:47:00;    94
01.06.2018 00:00:00;    99
31.07.2018 19:02:00;    96
01.08.2018 17:02:00;    96
28.09.2018 16:38:00;    96
15.10.2018 11:38:00;    95
04.11.2018 00:38:00;    95
23.12.2018 20:23:00;    96
25.01.2019 21:08:00;    94
07.02.2019 06:08:00;    94
31.03.2019 14:17:00;    95
28.04.2019 13:47:00;    95
25.05.2019 22:23:00;    94
29.06.2019 16:53:00;    92
06.07.2019 18:38:00;    92
29.08.2019 22:08:00;    93
01.09.2019 18:23:00;    93
15.10.2019 10:08:00;    94
02.11.2019 01:38:00;    94
15.12.2019 05:38:00;    97
31.01.2020 16:02:00;    97
24.02.2020 05:02:00;    95
05.03.2020 09:32:00;    96
28.04.2020 18:02:00;    95
29.05.2020 19:47:00;    93
23.06.2020 17:32:00;    91
01.07.2020 19:00:00;    93
01.08.2020 20:30:00;    93
20.09.2020 04:45:00;    99
31.10.2020 14:32:00;   100
05.11.2020 15:32:00;    98
02.12.2020 14:02:00;    99
22.01.2021 12:02:00;   101
28.02.2021 20:30:00;    99
29.03.2021 00:30:00;    96
27.04.2021 01:15:00;    95
24.05.2021 04:15:00;    94
29.06.2021 22:30:00;    93
28.07.2021 18:45:00;    91
12.08.2021 20:15:00;    92
24.09.2021 23:00:00;    91
28.10.2021 21:00:00;    89
01.11.2021 05:15:00;    89
31.12.2021 13:02:00;    95
