Messstelle:                ;Seespitze (Seepegel)
01.05.1993 00:00:00;   463
16.06.1993 06:00:00;   544
23.07.1993 22:00:00;   542
05.08.1993 22:00:00;   553
03.09.1993 22:00:00;   578
22.10.1993 14:00:00;   578
30.11.1993 22:00:00;   515
07.12.1993 22:00:00;   492
22.01.1994 06:00:00;   565
26.02.1994 06:00:00;   377
31.03.1994 14:00:00;   191
01.04.1994 00:00:00;   191
01.05.1994 00:00:00;   402
01.06.1994 22:00:00;   533
08.07.1994 22:00:00;   547
11.08.1994 22:00:00;   555
30.09.1994 14:00:00;   572
22.10.1994 06:00:00;   568
30.11.1994 22:00:00;   571
27.12.1994 22:00:00;   523
21.01.1995 14:00:00;   438
28.02.1995 22:00:00;   329
31.03.1995 22:00:00;   146
01.04.1995 00:00:00;   146
01.05.1995 00:00:00;   470
09.06.1995 22:00:00;   519
07.07.1995 22:00:00;   518
31.08.1995 14:00:00;   559
01.09.1995 00:00:00;   559
25.10.1995 22:00:00;   582
30.11.1995 22:00:00;   563
20.12.1995 22:00:00;   481
31.01.1996 22:00:00;   455
29.02.1996 22:00:00;   291
31.03.1996 06:00:00;   137
06.04.1996 06:00:00;   108
01.05.1996 00:00:00;   430
21.06.1996 22:00:00;   552
31.07.1996 22:00:00;   558
01.08.1996 00:00:00;   558
06.09.1996 14:00:00;   571
31.10.1996 22:00:00;   565
01.11.1996 00:00:00;   565
18.12.1996 22:00:00;   551
31.01.1997 06:00:00;   427
21.02.1997 22:00:00;   360
28.03.1997 14:00:00;   124
01.04.1997 00:00:00;   150
01.05.1997 00:00:00;   408
27.06.1997 22:00:00;   538
04.07.1997 22:00:00;   545
01.08.1997 22:00:00;   555
30.09.1997 22:00:00;   523
10.10.1997 14:00:00;   505
28.11.1997 06:00:00;   537
05.12.1997 06:00:00;   505
31.01.1998 06:00:00;   445
14.02.1998 06:00:00;   365
28.03.1998 06:00:00;   100
01.04.1998 00:00:00;   116
01.05.1998 06:00:00;   368
03.06.1998 06:00:00;   522
01.07.1998 06:00:00;   558
22.08.1998 06:00:00;   549
12.09.1998 06:00:00;   579
24.10.1998 06:00:00;   549
26.11.1998 06:00:00;   571
12.12.1998 06:00:00;   521
29.01.1999 22:00:00;   485
19.02.1999 22:00:00;   347
31.03.1999 06:00:00;   100
01.04.1999 00:00:00;   109
01.05.1999 00:00:00;   442
06.06.1999 13:00:00;   535
01.07.1999 13:00:00;   540
09.08.1999 22:00:00;   542
17.09.1999 06:00:00;   540
28.10.1999 13:00:00;   545
24.11.1999 06:00:00;   530
31.12.1999 23:59:55;   490
28.01.2000 06:00:00;   399
25.02.2000 22:00:00;   306
23.03.2000 22:00:00;   191
01.04.2000 22:00:00;   202
01.05.2000 01:00:00;   315
30.06.2000 06:00:00;   526
01.07.2000 00:00:00;   528
26.08.2000 06:00:00;   544
20.09.2000 22:00:00;   544
26.10.2000 06:00:00;   541
25.11.2000 06:00:00;   535
31.12.2000 23:59:55;   463
31.01.2001 23:00:00;   326
28.02.2001 22:00:00;   278
08.03.2001 06:00:00;   245
06.04.2001 22:00:00;   246
01.05.2001 00:00:00;   406
03.06.2001 06:00:00;   527
13.07.2001 22:00:00;   528
02.08.2001 22:00:00;   539
01.09.2001 00:00:00;   546
20.10.2001 06:00:00;   540
23.11.2001 22:00:00;   540
22.12.2001 06:00:00;   459
25.01.2002 22:00:00;   397
28.02.2002 22:00:00;   307
15.03.2002 22:00:00;   258
23.04.2002 22:00:00;   349
01.05.2002 00:00:00;   475
07.06.2002 22:00:00;   522
13.07.2002 06:00:00;   535
31.08.2002 06:00:00;   535
14.09.2002 06:00:00;   531
31.10.2002 22:00:00;   553
29.11.2002 06:00:00;   530
21.12.2002 06:00:00;   488
31.01.2003 22:00:00;   404
28.02.2003 23:59:55;   265
22.03.2003 06:00:00;   232
11.04.2003 13:00:00;   270
01.05.2003 00:00:00;   449
28.06.2003 06:00:00;   527
12.07.2003 06:00:00;   524
28.08.2003 06:00:00;   521
06.09.2003 06:00:00;   533
03.10.2003 06:00:00;   557
01.11.2003 06:00:00;   561
24.12.2003 06:00:00;   493
31.01.2004 22:00:00;   429
28.02.2004 06:00:00;   274
12.03.2004 22:00:00;   210
16.04.2004 22:00:00;   223
01.05.2004 00:00:00;   363
02.06.2004 06:00:00;   514
08.07.2004 22:00:00;   529
14.08.2004 06:00:00;   522
23.09.2004 06:00:00;   525
30.10.2004 06:00:00;   552
19.11.2004 22:00:00;   517
31.12.2004 06:00:00;   494
31.01.2005 22:00:00;   382
28.02.2005 23:59:55;   287
17.03.2005 22:00:00;   160
01.04.2005 00:00:00;   380
01.05.2005 00:00:00;   424
03.06.2005 22:00:00;   505
09.07.2005 06:00:00;   523
03.08.2005 06:00:00;   524
28.09.2005 22:00:00;   513
29.10.2005 06:00:00;   506
30.11.2005 23:59:55;   420
23.12.2005 06:00:00;   389
28.01.2006 06:00:00;   350
28.02.2006 22:00:00;   274
25.03.2006 13:00:00;   160
14.04.2006 13:00:00;   237
03.05.2006 20:00:00;   417
02.06.2006 21:00:00;   511
21.07.2006 13:00:00;   506
01.08.2006 00:00:00;   515
29.09.2006 22:00:00;   529
01.10.2006 00:00:00;   534
30.11.2006 22:00:00;   552
22.12.2006 06:00:00;   487
31.01.2007 22:00:00;   483
23.02.2007 22:00:00;   431
24.03.2007 13:00:00;   398
06.04.2007 06:00:00;   382
01.05.2007 00:00:00;   436
22.06.2007 22:00:00;   521
14.07.2007 06:00:00;   538
11.08.2007 06:00:00;   535
01.09.2007 00:00:00;   548
25.10.2007 10:00:00;   527
21.11.2007 13:00:00;   539
21.12.2007 06:00:00;   506
31.01.2008 22:00:00;   439
22.02.2008 20:00:00;   308
28.03.2008 20:30:00;   261
09.04.2008 19:00:00;   252
01.05.2008 00:00:00;   489
03.06.2008 17:15:00;   501
17.07.2008 20:15:00;   537
15.08.2008 19:00:00;   541
30.09.2008 23:59:55;   537
02.10.2008 18:00:00;   528
28.11.2008 16:30:00;   497
19.12.2008 03:45:00;   446
31.01.2009 17:00:00;   458
27.02.2009 15:00:00;   304
26.03.2009 20:30:00;   130
01.04.2009 19:00:00;   133
01.05.2009 02:30:00;   416
10.06.2009 19:45:00;   524
14.07.2009 20:00:00;   502
27.08.2009 21:00:00;   530
30.09.2009 18:00:00;   526
01.10.2009 10:15:00;   524
12.11.2009 21:15:00;   539
21.12.2009 20:45:00;   464
31.01.2010 21:30:00;   423
26.02.2010 19:45:00;   261
16.03.2010 20:30:00;   196
07.04.2010 09:45:00;   245
01.05.2010 00:00:00;   387
10.06.2010 23:15:00;   522
22.07.2010 18:00:00;   536
13.08.2010 13:15:00;   532
30.09.2010 16:15:00;   532
14.10.2010 20:00:00;   528
30.11.2010 23:45:00;   485
03.12.2010 18:30:00;   475
31.01.2011 21:30:00;   465
28.02.2011 23:59:55;   288
16.03.2011 20:30:00;   202
01.04.2011 00:00:00;   229
01.05.2011 01:45:00;   321
03.06.2011 21:00:00;   518
09.07.2011 03:30:00;   538
06.08.2011 19:30:00;   544
02.09.2011 14:00:00;   539
09.10.2011 17:45:00;   538
30.11.2011 08:45:00;   551
20.12.2011 17:00:00;   520
31.01.2012 21:15:00;   467
23.02.2012 23:00:00;   304
21.03.2012 21:30:00;   248
05.04.2012 19:15:00;   259
01.05.2012 00:00:00;   397
06.06.2012 20:30:00;   524
31.07.2012 16:15:00;   532
01.08.2012 00:00:00;   532
01.09.2012 00:30:00;   540
31.10.2012 18:00:00;   545
30.11.2012 21:45:00;   503
13.12.2012 18:30:00;   457
30.01.2013 12:00:00;   397
28.02.2013 19:45:00;   269
28.03.2013 19:45:00;   168
11.04.2013 12:00:00;   164
01.05.2013 00:00:00;   433
01.06.2013 00:00:00;   512
31.07.2013 20:30:00;   542
09.08.2013 11:45:00;   526
12.09.2013 19:00:00;   546
11.10.2013 17:00:00;   548
29.11.2013 18:00:00;   500
19.12.2013 21:00:00;   499
31.01.2014 23:00:00;   408
27.02.2014 10:30:00;   324
07.03.2014 17:45:00;   293
11.04.2014 22:30:00;   300
01.05.2014 00:00:00;   415
29.06.2014 14:15:00;   537
21.07.2014 20:00:00;   514
29.08.2014 21:00:00;   548
26.09.2014 21:00:00;   527
01.10.2014 00:00:00;   532
27.11.2014 19:15:00;   547
17.12.2014 21:00:00;   497
30.01.2015 21:15:00;   497
28.02.2015 19:45:00;   346
27.03.2015 20:30:00;   298
01.04.2015 00:00:00;   361
01.05.2015 21:15:00;   459
18.06.2015 20:45:00;   522
16.07.2015 03:15:00;   536
15.08.2015 19:00:00;   546
03.09.2015 11:00:00;   550
01.10.2015 19:45:00;   548
30.11.2015 22:30:00;   534
16.12.2015 16:45:00;   500
22.01.2016 20:45:00;   487
29.02.2016 21:45:00;   463
27.03.2016 15:00:00;   354
01.04.2016 00:00:00;   372
01.05.2016 00:00:00;   401
30.06.2016 22:15:00;   515
01.07.2016 00:00:00;   515
04.08.2016 22:00:00;   528
16.09.2016 20:45:00;   515
10.10.2016 19:30:00;   528
15.11.2016 12:45:00;   502
21.12.2016 21:00:00;   447
27.01.2017 12:15:00;   354
21.02.2017 10:15:00;   332
08.03.2017 21:30:00;   352
21.04.2017 06:30:00;   338
01.05.2017 00:00:00;   355
04.06.2017 11:30:00;   508
01.07.2017 00:00:00;   512
08.08.2017 16:45:00;   523
02.09.2017 02:00:00;   534
01.10.2017 00:00:00;   552
30.11.2017 23:59:55;   484
21.12.2017 19:45:00;   449
04.01.2018 20:45:00;   514
28.02.2018 22:15:00;   372
28.03.2018 20:59:00;   223
01.04.2018 23:59:00;   226
04.05.2018 21:15:00;   443
19.06.2018 21:45:00;   504
20.07.2018 22:00:00;   525
31.08.2018 09:30:00;   505
01.09.2018 00:00:00;   515
29.10.2018 19:00:00;   535
29.11.2018 19:00:00;   448
19.12.2018 13:45:00;   426
31.01.2019 19:45:00;   478
27.02.2019 14:45:00;   388
09.03.2019 23:15:00;   332
18.04.2019 22:45:00;   310
01.05.2019 00:00:00;   322
08.06.2019 06:00:00;   525
27.07.2019 22:15:00;   524
20.08.2019 20:00:00;   524
27.09.2019 11:45:00;   530
01.10.2019 00:00:00;   542
14.11.2019 22:15:00;   543
05.12.2019 10:00:00;   509
30.01.2020 22:45:00;   463
21.02.2020 20:15:00;   431
31.03.2020 23:59:55;   415
02.04.2020 07:30:00;   406
08.05.2020 22:15:00;   428
05.06.2020 21:45:00;   508
10.07.2020 02:15:00;   507
29.08.2020 00:15:00;   506
06.09.2020 16:30:00;   501
25.10.2020 23:15:00;   490
30.11.2020 23:59:55;   360
04.12.2020 01:30:00;   342
28.01.2021 19:30:00;   389
28.02.2021 23:59:55;   291
21.03.2021 15:15:00;   199
01.04.2021 00:00:00;   253
01.05.2021 00:00:00;   352
01.06.2021 00:00:00;   510
08.07.2021 18:30:00;   505
01.08.2021 00:30:00;   516
30.09.2021 20:00:00;   504
10.10.2021 17:45:00;   475
12.11.2021 02:00:00;   437
23.12.2021 19:45:00;   410
