Messstelle:                ;Radstadt (Enns)
21.02.1986 16:00:00;   135
01.03.1986 00:00:00;   135
01.04.1986 00:00:00;   158
28.05.1986 08:00:00;   186
29.06.1986 08:00:00;   163
30.07.1986 10:00:00;   149
09.08.1986 10:00:00;   145
30.09.1986 23:59:55;   145
17.10.1986 10:00:00;   137
19.11.1986 10:00:00;   137
10.12.1986 10:00:00;   133
21.01.1987 00:01:00;   132
01.02.1987 00:00:00;   132
16.03.1987 14:00:00;   135
02.04.1987 14:00:00;   146
25.05.1987 14:00:00;   173
20.06.1987 12:00:00;   185
23.07.1987 14:00:00;   168
24.08.1987 14:00:00;   150
17.09.1987 14:00:00;   146
14.10.1987 14:00:00;   144
12.11.1987 14:00:00;   143
16.12.1987 14:00:00;   141
28.01.1988 16:00:00;   141
24.02.1988 16:00:00;   138
04.03.1988 16:00:00;   136
01.04.1988 02:00:00;   162
25.05.1988 14:00:00;   182
30.06.1988 23:59:55;   165
11.07.1988 14:00:00;   160
20.08.1988 14:00:00;   152
11.09.1988 14:00:00;   162
26.10.1988 16:00:00;   149
05.11.1988 14:00:00;   145
01.12.1988 00:00:00;   145
31.01.1989 16:00:00;   141
02.02.1989 14:00:00;   141
06.03.1989 14:00:00;   149
25.04.1989 14:00:00;   168
01.05.1989 02:00:00;   170
10.06.1989 16:00:00;   174
23.07.1989 14:00:00;   180
27.08.1989 14:00:00;   172
25.09.1989 14:00:00;   163
31.10.1989 23:59:55;   160
30.11.1989 16:00:00;   148
12.12.1989 16:00:00;   146
24.01.1990 14:00:00;   143
01.02.1990 00:00:00;   143
05.03.1990 14:00:00;   157
08.04.1990 14:00:00;   165
31.05.1990 14:00:00;   168
02.06.1990 14:00:00;   164
31.07.1990 16:00:00;   160
31.08.1990 23:59:55;   151
02.09.1990 16:00:00;   150
25.10.1990 16:00:00;   151
10.11.1990 16:00:00;   153
30.12.1990 16:00:00;   146
31.01.1991 23:59:55;   145
19.02.1991 10:00:00;   139
02.03.1991 14:00:00;   142
14.04.1991 14:00:00;   148
10.05.1991 14:00:00;   145
01.06.1991 00:00:00;   175
12.07.1991 14:00:00;   176
31.08.1991 23:59:55;   156
15.09.1991 14:00:00;   147
16.10.1991 16:00:00;   145
01.11.1991 00:00:00;   145
07.12.1991 16:00:00;   144
27.01.1992 16:00:00;   144
01.02.1992 00:00:00;   144
01.03.1992 00:00:00;   146
01.04.1992 00:00:00;   160
22.05.1992 14:00:00;   200
30.06.1992 16:00:00;   172
31.07.1992 14:00:00;   153
30.08.1992 16:00:00;   146
01.09.1992 00:00:00;   146
04.10.1992 14:00:00;   150
15.11.1992 14:00:00;   158
24.12.1992 02:00:00;   153
20.01.1993 16:00:00;   147
28.02.1993 23:59:55;   144
02.03.1993 16:00:00;   143
01.04.1993 00:00:00;   158
23.05.1993 14:00:00;   182
16.06.1993 14:00:00;   169
10.07.1993 14:00:00;   163
21.08.1993 14:00:00;   160
25.09.1993 14:00:00;   159
02.10.1993 14:00:00;   162
30.11.1993 23:59:55;   151
31.12.1993 16:00:00;   148
31.01.1994 23:59:55;   146
18.02.1994 10:00:00;   141
01.03.1994 00:00:00;   146
09.04.1994 14:00:00;   163
12.05.1994 14:00:00;   185
29.06.1994 16:00:00;   179
31.07.1994 16:00:00;   154
06.08.1994 14:00:00;   149
13.09.1994 14:00:00;   155
23.10.1994 14:00:00;   149
10.11.1994 14:00:00;   149
25.12.1994 16:00:00;   145
21.01.1995 16:00:00;   143
02.02.1995 16:00:00;   144
10.03.1995 16:00:00;   145
01.04.1995 00:00:00;   153
22.05.1995 14:00:00;   171
04.06.1995 14:00:00;   192
27.07.1995 14:00:00;   166
07.08.1995 14:00:00;   153
27.09.1995 14:00:00;   162
27.10.1995 16:00:00;   145
27.11.1995 16:00:00;   145
12.12.1995 16:00:00;   142
31.01.1996 23:59:55;   138
13.02.1996 16:00:00;   136
14.03.1996 16:00:00;   135
04.04.1996 14:00:00;   145
08.05.1996 14:00:00;   172
20.06.1996 14:00:00;   155
23.07.1996 14:00:00;   159
24.08.1996 14:00:00;   156
01.09.1996 02:00:00;   163
19.10.1996 14:00:00;   170
13.11.1996 14:00:00;   159
31.12.1996 00:01:00;   145
31.01.1997 23:59:55;   138
18.02.1997 13:00:00;   136
01.03.1997 13:00:00;   140
18.04.1997 13:00:00;   160
31.05.1997 23:59:55;   171
02.06.1997 13:00:00;   166
05.07.1997 13:00:00;   169
28.08.1997 13:00:00;   158
30.09.1997 13:00:00;   144
31.10.1997 13:00:00;   147
28.11.1997 13:00:00;   144
06.12.1997 13:00:00;   146
26.01.1998 13:00:00;   140
01.02.1998 00:00:00;   140
02.03.1998 13:00:00;   144
20.04.1998 13:00:00;   160
24.05.1998 13:00:00;   173
25.06.1998 13:00:00;   170
23.07.1998 13:00:00;   168
18.08.1998 13:00:00;   162
03.09.1998 13:00:00;   163
29.10.1998 13:00:00;   164
30.11.1998 23:59:55;   157
30.12.1998 13:00:00;   148
26.01.1999 13:00:00;   144
27.02.1999 13:00:00;   139
01.03.1999 00:00:00;   141
21.04.1999 13:00:00;   168
17.05.1999 13:00:00;   196
14.06.1999 13:00:00;   177
20.07.1999 13:00:00;   165
09.08.1999 13:00:00;   164
26.09.1999 13:00:00;   159
31.10.1999 23:59:55;   152
26.11.1999 13:00:00;   145
22.12.1999 13:00:00;   144
24.01.2000 13:00:00;   141
24.02.2000 13:00:00;   149
04.03.2000 13:00:00;   153
09.04.2000 13:00:00;   175
31.05.2000 13:00:00;   183
30.06.2000 23:59:55;   170
01.07.2000 13:00:00;   169
30.08.2000 13:00:00;   158
13.09.2000 13:00:00;   157
01.10.2000 13:00:00;   160
01.11.2000 00:00:00;   160
26.12.2000 13:00:00;   148
23.01.2001 13:00:00;   144
01.02.2001 00:00:00;   144
01.03.2001 13:00:00;   145
22.04.2001 13:00:00;   168
21.05.2001 13:00:00;   186
06.06.2001 13:00:00;   180
31.07.2001 23:59:55;   161
30.08.2001 13:00:00;   150
01.09.2001 00:00:00;   154
31.10.2001 13:00:00;   148
19.11.2001 13:00:00;   144
01.12.2001 00:00:00;   145
01.01.2002 00:00:00;   145
08.02.2002 13:00:00;   144
02.03.2002 13:00:00;   150
17.04.2002 13:00:00;   160
31.05.2002 13:00:00;   175
27.06.2002 13:00:00;   163
14.07.2002 13:00:00;   155
29.08.2002 13:00:00;   139
18.09.2002 13:00:00;   149
31.10.2002 23:59:55;   156
01.11.2002 13:00:00;   155
19.12.2002 13:00:00;   147
27.01.2003 13:00:00;   141
21.02.2003 13:00:00;   136
01.03.2003 00:00:00;   136
09.04.2003 13:00:00;   148
18.05.2003 13:00:00;   162
30.06.2003 23:59:55;   154
21.07.2003 13:00:00;   144
28.08.2003 13:00:00;   140
09.09.2003 13:00:00;   148
03.10.2003 13:00:00;   146
24.11.2003 13:00:00;   146
29.12.2003 13:00:00;   140
01.01.2004 00:00:00;   140
01.02.2004 00:00:00;   140
10.03.2004 13:00:00;   139
15.04.2004 13:00:00;   163
12.05.2004 13:00:00;   173
18.06.2004 13:00:00;   189
31.07.2004 13:00:00;   170
12.08.2004 13:00:00;   154
14.09.2004 13:00:00;   153
30.10.2004 13:00:00;   150
22.11.2004 13:00:00;   148
25.12.2004 13:00:00;   138
01.01.2005 00:00:00;   138
25.02.2005 13:00:00;   134
03.03.2005 13:00:00;   134
12.04.2005 13:00:00;   163
10.05.2005 13:00:00;   183
27.06.2005 13:00:00;   179
31.07.2005 23:59:55;   166
14.08.2005 13:00:00;   159
16.09.2005 13:00:00;   153
30.10.2005 13:00:00;   149
26.11.2005 13:00:00;   143
27.12.2005 13:00:00;   138
08.01.2006 12:00:00;   134
01.02.2006 00:00:00;   135
02.03.2006 12:00:00;   135
08.04.2006 12:00:00;   165
11.05.2006 12:00:00;   185
02.06.2006 12:00:00;   185
27.07.2006 12:00:00;   150
01.08.2006 00:00:00;   150
29.09.2006 12:00:00;   148
23.10.2006 12:00:00;   138
01.11.2006 12:00:00;   145
29.12.2006 07:00:00;   135
01.01.2007 00:00:00;   135
01.02.2007 00:00:00;   135
13.03.2007 12:00:00;   145
08.04.2007 12:00:00;   145
22.05.2007 12:00:00;   150
02.06.2007 12:00:00;   150
22.07.2007 12:00:00;   150
28.08.2007 12:00:00;   142
01.09.2007 12:00:00;   150
17.10.2007 12:00:00;   148
04.11.2007 12:00:00;   150
25.12.2007 12:00:00;   136
09.01.2008 12:00:00;   135
05.02.2008 12:00:00;   135
01.03.2008 00:00:00;   150
01.04.2008 00:00:00;   150
02.05.2008 12:00:00;   180
30.06.2008 12:00:00;   170
11.07.2008 12:00:00;   160
31.08.2008 23:59:55;   157
28.09.2008 12:00:00;   140
02.10.2008 12:00:00;   135
10.11.2008 12:00:00;   135
04.12.2008 12:00:00;   135
01.01.2009 00:00:00;   135
01.02.2009 00:00:00;   135
01.03.2009 00:00:00;   135
01.04.2009 12:00:00;   155
07.05.2009 12:00:00;   182
14.06.2009 12:00:00;   170
31.07.2009 12:00:00;   160
23.08.2009 12:00:00;   155
30.09.2009 23:59:55;   154
07.10.2009 12:00:00;   138
27.11.2009 12:00:00;   140
09.12.2009 12:00:00;   135
01.01.2010 00:00:00;   135
01.02.2010 00:00:00;   135
05.03.2010 12:00:00;   135
07.04.2010 11:00:00;   140
20.05.2010 11:00:00;   155
30.06.2010 11:00:00;   160
22.07.2010 11:00:00;   150
26.08.2010 11:00:00;   145
12.09.2010 11:00:00;   148
10.10.2010 11:00:00;   135
12.11.2010 11:00:00;   135
01.12.2010 00:00:00;   135
27.01.2011 09:30:00;   134
02.02.2011 04:30:00;   132
01.03.2011 00:00:00;   135
01.04.2011 00:00:00;   140
05.05.2011 12:00:00;   135
08.06.2011 12:00:00;   148
17.07.2011 12:00:00;   135
25.08.2011 12:00:00;   135
01.09.2011 12:00:00;   135
02.10.2011 12:00:00;   135
01.11.2011 00:00:00;   135
28.12.2011 10:15:00;   127
01.01.2012 00:00:00;   135
01.02.2012 00:00:00;   138
09.03.2012 12:00:00;   140
25.04.2012 12:00:00;   150
18.05.2012 12:00:00;   160
30.06.2012 23:59:55;   170
08.07.2012 11:00:00;   152
21.08.2012 11:00:00;   135
10.09.2012 11:00:00;   145
28.10.2012 11:00:00;   140
27.11.2012 12:00:00;   135
02.12.2012 12:00:00;   135
01.01.2013 12:00:00;   135
04.02.2013 12:00:00;   135
01.03.2013 00:00:00;   135
03.04.2013 12:00:00;   135
26.05.2013 12:00:00;   165
29.06.2013 12:00:00;   175
29.07.2013 12:00:00;   145
09.08.2013 12:00:00;   135
07.09.2013 12:00:00;   150
04.10.2013 12:00:00;   145
30.11.2013 23:59:55;   140
03.12.2013 12:00:00;   135
25.01.2014 12:00:00;   130
05.02.2014 12:00:00;   130
01.03.2014 00:00:00;   135
01.04.2014 00:00:00;   153
06.05.2014 12:00:00;   160
28.06.2014 12:00:00;   150
27.07.2014 07:00:00;   140
09.08.2014 07:00:00;   155
30.09.2014 23:59:55;   151
07.10.2014 07:00:00;   135
26.11.2014 12:00:00;   135
01.12.2014 00:00:00;   135
01.01.2015 00:00:00;   135
24.02.2015 12:00:00;   134
03.03.2015 12:00:00;   130
08.04.2015 12:00:00;   145
01.05.2015 12:00:00;   170
29.06.2015 12:00:00;   160
16.07.2015 12:00:00;   140
31.08.2015 23:59:55;   137
01.09.2015 12:00:00;   135
31.10.2015 12:00:00;   135
20.11.2015 12:00:00;   130
03.12.2015 12:00:00;   130
01.01.2016 00:00:00;   130
06.02.2016 12:00:00;   130
15.03.2016 12:00:00;   130
27.04.2016 12:00:00;   150
01.05.2016 00:00:00;   158
08.06.2016 12:00:00;   172
10.07.2016 08:00:00;   160
28.08.2016 08:00:00;   145
15.09.2016 08:00:00;   135
01.10.2016 00:00:00;   135
01.11.2016 08:00:00;   135
01.12.2016 00:00:00;   135
24.01.2017 12:00:00;   134
03.02.2017 12:00:00;   134
01.03.2017 00:00:00;   135
08.04.2017 12:00:00;   145
06.05.2017 12:00:00;   162
20.06.2017 12:00:00;   140
06.07.2017 12:00:00;   140
04.08.2017 12:00:00;   145
01.09.2017 00:00:00;   155
09.10.2017 12:00:00;   135
26.11.2017 12:00:00;   135
01.12.2017 00:00:00;   135
01.01.2018 00:00:00;   135
01.02.2018 00:00:00;   135
01.03.2018 00:00:00;   135
01.04.2018 00:00:00;   150
17.05.2018 12:00:00;   160
20.06.2018 12:00:00;   140
31.07.2018 23:59:55;   137
01.08.2018 12:00:00;   135
20.09.2018 12:00:00;   135
01.10.2018 00:00:00;   135
13.11.2018 12:00:00;   130
01.12.2018 00:00:00;   130
01.01.2019 00:00:00;   135
01.02.2019 00:00:00;   135
01.03.2019 00:00:00;   145
16.04.2019 12:00:00;   160
08.05.2019 12:00:00;   170
30.06.2019 23:59:55;   168
15.07.2019 12:00:00;   135
24.08.2019 12:00:00;   130
01.09.2019 00:00:00;   130
01.10.2019 12:00:00;   130
02.11.2019 12:00:00;   130
09.12.2019 12:00:00;   130
01.01.2020 00:00:00;   130
01.02.2020 00:00:00;   130
01.03.2020 12:00:00;   140
02.04.2020 12:00:00;   135
31.05.2020 23:59:55;   153
01.06.2020 12:00:00;   150
31.07.2020 23:59:55;   153
01.08.2020 12:00:00;   150
24.09.2020 12:00:00;   135
10.10.2020 12:00:00;   150
15.11.2020 12:00:00;   135
14.12.2020 12:00:00;   130
27.01.2021 08:36:50;   124
01.02.2021 12:00:00;   130
01.03.2021 00:00:00;   130
18.04.2021 12:00:00;   130
04.05.2021 12:00:00;   160
29.06.2021 12:00:00;   150
03.07.2021 12:00:00;   140
07.08.2021 12:00:00;   150
10.09.2021 12:00:00;   140
27.10.2021 12:00:00;   130
30.11.2021 23:59:55;   128
24.12.2021 00:59:00;   127
