Messstelle:                ;Lochau
17.10.1975 18:56:40;    11
29.11.1975 06:18:35;    11
08.12.1975 14:56:20;    11
03.01.1976 13:30:00;    15
10.02.1976 03:00:00;    10
14.03.1976 23:30:00;    15
05.04.1976 18:30:00;    14
11.05.1976 20:30:00;    20
24.06.1976 00:30:00;     8
01.07.1976 00:00:00;     8
15.08.1976 23:30:00;    10
10.09.1976 00:00:00;    15
30.10.1976 10:30:00;    12
03.11.1976 10:30:00;    15
24.12.1976 00:01:00;    10
10.01.1977 11:30:00;     8
03.02.1977 01:00:00;    21
23.03.1977 14:00:00;    14
04.04.1977 15:30:00;    20
30.05.1977 17:30:00;    14
14.06.1977 21:00:00;     8
20.07.1977 20:00:00;    14
15.08.1977 17:30:00;    17
26.09.1977 17:30:00;    14
09.10.1977 22:00:00;     8
01.11.1977 04:30:00;    14
02.12.1977 13:00:00;    16
20.01.1978 22:30:00;    16
09.02.1978 22:30:00;    16
20.03.1978 07:30:00;    23
10.04.1978 13:00:00;    18
01.05.1978 09:30:00;    19
23.06.1978 18:30:00;    14
31.07.1978 16:30:00;    15
26.08.1978 08:30:00;    14
26.09.1978 17:00:00;    15
16.10.1978 17:30:00;    19
24.11.1978 15:00:00;    15
02.12.1978 11:30:00;    20
01.01.1979 23:00:00;    22
24.02.1979 16:30:00;    19
28.03.1979 11:30:00;    15
23.04.1979 16:30:00;    24
31.05.1979 20:30:00;    18
05.06.1979 12:30:00;    17
28.07.1979 19:00:00;    13
03.08.1979 21:30:00;    13
19.09.1979 13:30:00;    14
29.10.1979 16:00:00;    15
01.11.1979 16:00:00;    15
31.12.1979 23:30:00;    20
30.01.1980 13:30:00;    20
29.02.1980 23:30:00;    17
03.03.1980 17:00:00;    16
07.04.1980 13:00:00;    23
26.05.1980 17:00:00;    18
15.06.1980 01:30:00;    19
26.07.1980 22:00:00;    18
13.08.1980 07:00:00;    19
22.09.1980 18:00:00;    17
31.10.1980 23:59:55;    18
10.11.1980 12:30:00;    15
08.12.1980 23:00:00;    16
02.01.1981 23:00:00;    17
28.02.1981 01:30:00;    17
01.03.1981 05:30:00;    20
22.04.1981 19:00:00;    13
18.05.1981 15:00:00;    16
16.06.1981 17:30:00;    13
11.07.1981 17:00:00;    15
31.08.1981 13:00:00;    14
10.09.1981 21:30:00;    15
21.10.1981 02:00:00;    20
23.11.1981 15:30:00;    17
28.12.1981 17:00:00;    18
22.01.1982 23:00:00;    15
22.02.1982 01:00:00;    18
21.03.1982 17:00:00;    18
18.04.1982 13:00:00;    18
29.05.1982 09:00:00;    16
04.06.1982 20:30:00;    15
21.07.1982 00:00:00;    12
04.08.1982 16:00:00;    15
21.09.1982 00:00:00;    13
24.10.1982 14:30:00;    17
30.11.1982 13:30:00;    15
06.12.1982 21:00:00;    14
02.01.1983 10:30:00;    17
23.02.1983 08:30:00;    15
04.03.1983 22:00:00;    17
30.04.1983 22:30:00;    16
18.05.1983 20:00:00;    14
13.06.1983 01:00:00;    13
29.07.1983 08:00:00;    11
22.08.1983 01:00:00;     9
01.09.1983 01:30:00;    10
03.10.1983 17:30:00;    13
23.11.1983 03:00:00;    11
16.12.1983 23:30:00;    13
07.01.1984 17:30:00;    15
29.02.1984 22:00:00;     6
01.03.1984 00:00:00;     6
30.04.1984 15:00:00;    16
19.05.1984 20:00:00;    14
21.06.1984 12:00:00;    14
24.07.1984 02:00:00;    14
31.08.1984 22:30:00;    14
04.09.1984 20:30:00;    12
31.10.1984 11:30:00;    13
08.11.1984 23:30:00;    12
13.12.1984 11:00:00;    12
30.01.1985 10:30:00;    12
13.02.1985 13:30:00;    10
18.03.1985 03:30:00;    11
27.04.1985 21:45:00;    13
31.05.1985 13:00:00;    15
06.06.1985 15:15:00;    13
27.07.1985 19:15:00;    11
25.08.1985 01:15:00;    10
30.09.1985 23:59:55;    12
31.10.1985 18:30:00;    10
01.11.1985 12:00:00;    10
30.12.1985 13:45:00;    12
10.01.1986 14:00:00;    10
18.02.1986 05:15:00;     8
02.03.1986 16:00:00;     9
03.04.1986 16:15:00;    14
15.05.1986 16:15:00;    13
30.06.1986 23:59:55;    13
06.07.1986 00:00:00;    12
02.08.1986 21:00:00;    12
20.09.1986 15:30:00;    11
21.10.1986 14:30:00;    10
17.11.1986 14:15:00;    11
05.12.1986 02:00:00;    11
30.01.1987 09:30:00;    12
14.02.1987 00:00:00;    11
23.03.1987 17:45:00;    13
30.04.1987 23:59:55;    13
02.05.1987 16:00:00;    13
12.06.1987 19:00:00;    16
07.07.1987 16:30:00;    13
31.08.1987 21:00:00;    13
21.09.1987 18:15:00;    11
22.10.1987 04:45:00;    12
10.11.1987 17:15:00;    11
30.12.1987 20:00:00;    11
04.01.1988 20:45:00;     9
23.02.1988 23:00:00;    12
04.03.1988 22:15:00;    12
27.04.1988 02:00:00;    13
29.05.1988 08:30:00;    10
19.06.1988 06:45:00;    12
01.07.1988 03:00:00;    12
19.08.1988 19:45:00;    11
10.09.1988 00:00:00;    13
01.10.1988 02:30:00;    12
11.11.1988 03:00:00;    10
19.12.1988 14:30:00;    15
27.01.1989 00:00:05;    12
16.02.1989 05:30:00;    11
29.03.1989 01:00:00;    12
01.04.1989 08:30:00;    11
26.05.1989 07:30:00;    11
12.06.1989 03:45:00;     9
01.07.1989 08:15:00;    11
06.08.1989 03:00:00;    14
11.09.1989 19:15:00;    10
02.10.1989 01:15:00;    11
02.11.1989 22:15:00;    12
31.12.1989 23:59:55;    10
01.01.1990 14:00:00;     9
13.02.1990 11:00:00;     9
20.03.1990 19:45:00;    10
03.04.1990 13:00:00;    11
17.05.1990 04:00:00;    11
02.06.1990 14:30:00;    11
26.07.1990 02:15:00;    10
04.08.1990 02:00:00;    10
06.09.1990 14:30:00;    11
03.10.1990 12:45:00;    12
29.11.1990 14:30:00;    14
06.12.1990 00:00:00;    12
18.01.1991 13:45:00;    13
03.02.1991 00:01:00;    12
13.03.1991 11:45:00;    11
17.04.1991 00:45:00;    12
01.05.1991 00:00:00;    15
25.06.1991 15:45:00;    14
12.07.1991 09:00:00;    13
19.08.1991 09:45:00;     8
02.09.1991 16:15:00;     9
06.10.1991 15:00:00;    11
03.11.1991 10:15:00;    13
10.12.1991 00:15:00;    12
14.01.1992 23:00:00;    12
22.02.1992 00:00:05;    11
12.03.1992 15:30:00;    15
16.04.1992 04:30:00;    14
24.05.1992 07:15:00;    10
17.06.1992 00:00:00;    10
01.07.1992 17:15:00;    12
25.08.1992 19:45:00;     9
12.09.1992 11:30:00;    10
06.10.1992 18:30:00;    11
03.11.1992 06:15:00;    14
27.12.1992 17:00:00;    12
01.01.1993 00:00:00;    12
11.02.1993 10:00:00;    12
01.03.1993 00:00:00;    15
30.04.1993 23:59:55;    12
15.05.1993 22:30:00;    11
09.06.1993 18:45:00;    10
02.07.1993 11:45:00;    13
22.08.1993 21:15:00;    12
03.09.1993 11:30:00;    14
02.10.1993 14:45:00;    15
30.11.1993 00:01:00;    14
01.12.1993 00:00:00;    14
20.01.1994 00:00:05;    14
23.02.1994 00:01:00;    15
20.03.1994 04:45:00;    12
01.04.1994 14:45:00;    14
18.05.1994 05:15:00;    16
30.06.1994 23:59:55;    13
04.07.1994 22:45:00;    12
04.08.1994 22:15:00;    11
30.09.1994 04:00:00;    13
19.10.1994 14:45:00;    12
07.11.1994 04:30:00;    14
04.12.1994 19:15:00;    14
09.01.1995 00:01:00;    16
15.02.1995 14:30:00;    16
08.03.1995 21:30:00;    15
25.04.1995 14:00:00;    14
08.05.1995 14:30:00;    14
30.06.1995 23:59:55;    15
31.07.1995 23:59:55;    13
04.08.1995 08:30:00;    11
13.09.1995 15:15:00;    14
25.10.1995 05:15:00;    13
01.11.1995 00:00:00;    14
13.12.1995 00:00:00;    14
30.01.1996 00:01:00;    13
01.02.1996 00:00:00;    13
14.03.1996 00:01:00;    13
23.04.1996 18:15:00;    12
07.05.1996 16:45:00;    12
11.06.1996 19:30:00;    12
25.07.1996 16:30:00;    11
01.08.1996 00:00:00;    11
12.09.1996 08:45:00;    11
12.10.1996 17:45:00;    14
23.11.1996 21:45:00;    14
31.12.1996 00:01:00;    16
29.01.1997 08:26:50;    15
04.02.1997 07:11:50;    13
16.03.1997 01:06:40;    15
26.04.1997 05:24:10;    13
31.05.1997 23:59:55;    14
16.06.1997 20:38:25;    12
12.07.1997 15:36:50;    15
27.08.1997 01:02:30;    12
30.09.1997 23:59:55;    12
10.10.1997 03:37:55;    11
07.11.1997 02:08:00;    13
01.12.1997 00:21:25;    14
27.01.1998 00:17:30;    14
01.02.1998 00:00:00;    14
26.03.1998 16:44:35;    17
28.04.1998 07:55:40;    13
29.05.1998 14:48:50;    11
07.06.1998 22:35:55;    12
27.07.1998 07:47:45;    13
31.08.1998 18:14:45;    12
03.09.1998 02:15:20;    12
03.10.1998 15:56:15;    15
30.11.1998 22:00:45;    15
31.12.1998 23:59:35;    15
25.01.1999 23:42:05;    14
09.02.1999 00:56:10;    15
22.03.1999 02:08:30;    18
07.04.1999 04:54:20;    17
04.05.1999 21:08:45;    16
21.06.1999 03:25:20;    22
05.07.1999 18:07:05;    15
15.08.1999 23:23:50;    13
14.09.1999 14:25:00;    10
25.10.1999 08:36:35;    13
01.11.1999 18:44:45;    14
25.12.1999 11:46:50;    16
29.01.2000 12:30:40;    15
24.02.2000 21:47:15;    16
07.03.2000 21:59:40;    17
30.04.2000 23:59:55;    15
15.05.2000 15:31:15;    12
22.06.2000 06:13:35;    13
02.07.2000 23:08:45;    14
23.08.2000 07:03:10;    13
20.09.2000 18:04:10;    14
24.10.2000 10:48:15;    16
13.11.2000 13:16:45;    16
23.12.2000 19:47:25;    13
01.01.2001 12:06:00;    14
22.02.2001 00:51:30;    14
01.03.2001 00:00:00;    15
06.04.2001 06:20:25;    15
24.05.2001 17:11:45;    15
01.06.2001 15:53:55;    14
12.07.2001 18:00:00;    13
30.08.2001 02:21:45;    12
03.09.2001 14:14:35;    13
20.10.2001 22:21:20;    13
23.11.2001 09:38:55;    14
13.12.2001 18:26:00;    17
19.01.2002 07:17:35;    14
23.02.2002 04:00:10;    15
15.03.2002 23:29:55;    15
12.04.2002 16:14:30;    13
18.05.2002 17:14:05;    13
25.06.2002 18:01:00;    12
01.07.2002 17:12:45;    13
06.08.2002 11:06:40;    16
18.09.2002 12:01:00;    16
28.10.2002 15:34:15;    17
01.11.2002 00:00:00;    18
16.12.2002 00:19:20;    16
19.01.2003 15:32:55;    14
07.02.2003 00:35:40;    15
24.03.2003 14:17:50;    16
23.04.2003 22:00:15;    13
10.05.2003 03:14:05;    12
30.06.2003 23:27:10;    12
10.07.2003 04:23:30;    11
28.08.2003 09:38:50;    10
22.09.2003 15:20:30;    11
02.10.2003 01:24:50;    14
26.11.2003 20:14:50;    12
19.12.2003 10:36:15;    13
07.01.2004 03:13:50;    15
21.02.2004 13:47:20;    16
10.03.2004 22:52:10;    14
30.04.2004 18:19:55;    14
04.05.2004 09:23:50;    12
30.06.2004 23:51:55;    13
05.07.2004 14:22:00;    10
12.08.2004 17:22:40;    12
12.09.2004 05:44:55;    12
07.10.2004 09:26:25;    12
05.11.2004 12:09:55;    13
31.12.2004 23:56:00;    14
01.01.2005 00:00:00;    14
09.02.2005 17:02:35;    14
13.03.2005 13:42:15;    16
16.04.2005 19:45:45;    14
30.05.2005 18:40:10;    14
29.06.2005 19:23:20;    12
18.07.2005 14:50:30;    15
02.08.2005 02:35:00;    14
26.09.2005 23:00:00;    14
27.10.2005 19:23:30;    14
13.11.2005 12:01:00;    14
27.12.2005 13:46:45;    15
16.01.2006 11:45:00;    15
12.02.2006 09:00:00;    15
03.03.2006 12:30:00;    15
26.04.2006 07:45:00;    17
12.05.2006 22:00:00;    16
27.06.2006 20:30:00;    13
27.07.2006 04:45:00;    10
01.08.2006 00:00:00;    14
16.09.2006 23:15:00;    12
26.10.2006 06:45:00;    12
02.11.2006 21:15:00;    13
31.12.2006 06:30:00;    16
31.01.2007 11:00:00;    14
01.02.2007 08:30:00;    14
18.03.2007 07:15:00;    16
30.04.2007 23:59:55;    12
02.05.2007 05:45:00;    11
15.06.2007 05:15:00;    15
31.07.2007 23:45:00;    13
01.08.2007 06:45:00;    11
17.09.2007 22:30:00;    15
29.10.2007 05:15:00;    13
05.11.2007 07:30:00;    13
31.12.2007 23:59:55;    14
01.01.2008 06:45:00;    14
16.02.2008 01:15:00;    14
26.03.2008 09:30:00;    14
14.04.2008 08:30:00;    17
28.05.2008 05:00:00;    10
22.06.2008 06:30:00;    11
31.07.2008 05:30:00;     9
07.08.2008 05:45:00;     9
02.09.2008 07:15:00;    11
25.10.2008 09:30:00;    13
09.11.2008 06:15:00;    13
19.12.2008 06:30:00;    15
16.01.2009 11:00:00;    15
09.02.2009 09:15:00;    14
08.03.2009 07:45:00;    17
29.04.2009 06:45:00;    15
25.05.2009 07:30:00;    10
05.06.2009 08:30:00;    11
23.07.2009 08:00:00;    12
31.08.2009 08:30:00;    11
15.09.2009 06:45:00;    10
03.10.2009 06:15:00;    11
01.11.2009 06:30:00;    13
20.12.2009 09:00:00;    14
16.01.2010 21:15:00;    13
16.02.2010 05:15:00;    13
16.03.2010 02:15:00;    12
30.04.2010 20:45:00;    12
26.05.2010 17:20:00;    12
11.06.2010 19:35:00;    14
15.07.2010 22:55:00;    12
26.08.2010 19:35:00;    12
24.09.2010 01:50:00;    12
12.10.2010 09:40:00;    13
03.11.2010 17:35:00;    15
05.12.2010 06:50:00;    15
30.01.2011 19:25:00;    14
01.02.2011 22:00:00;    14
07.03.2011 11:20:00;    14
27.04.2011 01:00:00;    11
11.05.2011 10:55:00;    10
29.06.2011 18:35:00;    13
07.07.2011 23:10:00;    12
26.08.2011 20:05:00;    13
03.09.2011 21:40:00;    13
05.10.2011 05:10:00;    12
29.11.2011 06:40:00;    12
01.12.2011 04:25:00;    12
31.01.2012 15:55:00;    14
14.02.2012 23:30:00;    14
31.03.2012 23:20:00;    13
30.04.2012 23:59:55;    12
12.05.2012 03:45:00;    11
03.06.2012 07:50:00;    11
28.07.2012 10:35:00;    12
15.08.2012 20:35:00;    12
11.09.2012 19:00:00;    14
27.10.2012 04:55:00;    14
25.11.2012 19:35:00;    14
02.12.2012 00:05:00;    16
24.01.2013 01:00:00;    15
27.02.2013 11:05:00;    15
01.03.2013 09:50:00;    15
30.04.2013 23:50:00;    16
09.05.2013 18:25:00;    15
23.06.2013 05:00:00;    15
28.07.2013 17:50:00;    10
03.08.2013 10:15:00;    10
08.09.2013 01:25:00;    11
03.10.2013 20:40:00;    13
02.11.2013 00:30:00;    14
14.12.2013 01:45:00;    13
30.01.2014 05:50:00;    14
13.02.2014 17:10:00;    13
22.03.2014 13:15:00;    12
26.04.2014 02:05:00;    12
26.05.2014 18:25:00;    13
21.06.2014 22:35:00;    12
20.07.2014 23:05:00;    12
10.08.2014 20:00:00;    12
11.09.2014 22:50:00;    12
09.10.2014 20:30:00;    12
03.11.2014 22:55:00;    13
15.12.2014 09:50:00;    12
26.01.2015 05:05:00;    14
20.02.2015 07:40:00;    12
15.03.2015 10:50:00;    16
27.04.2015 19:35:00;    13
14.05.2015 22:15:00;    15
07.06.2015 23:50:00;    12
17.07.2015 16:50:00;    11
08.08.2015 21:20:00;    11
01.09.2015 14:35:00;    11
12.10.2015 21:10:00;    12
17.11.2015 04:35:00;    12
31.12.2015 04:25:00;    12
02.01.2016 02:50:00;    13
20.02.2016 09:20:00;    15
17.03.2016 11:30:00;    16
05.04.2016 19:40:00;    13
11.05.2016 20:00:00;    13
06.06.2016 17:20:00;    14
30.07.2016 16:00:00;    13
28.08.2016 21:20:00;    13
16.09.2016 02:35:00;    12
16.10.2016 22:55:00;    12
02.11.2016 00:55:00;    12
30.12.2016 06:00:00;    11
07.01.2017 04:20:00;    11
15.02.2017 01:00:00;    13
31.03.2017 22:10:00;    13
14.04.2017 02:00:00;    12
30.05.2017 23:35:00;    12
21.06.2017 21:20:00;    11
21.07.2017 20:35:00;    12
30.08.2017 22:20:00;    12
30.09.2017 18:05:00;    12
19.10.2017 21:35:00;    13
04.11.2017 21:45:00;    13
03.12.2017 19:10:00;    15
15.01.2018 10:00:00;    15
10.02.2018 18:35:00;    14
21.03.2018 05:38:35;    11
14.04.2018 06:40:00;    11
29.05.2018 08:40:00;    11
02.06.2018 17:40:00;    11
28.07.2018 00:00:00;     8
01.08.2018 00:00:00;     8
13.09.2018 01:45:00;    11
22.10.2018 05:15:00;    11
17.11.2018 01:25:00;    11
01.12.2018 00:00:00;    13
05.01.2019 18:35:00;    13
01.02.2019 00:15:00;    14
30.03.2019 07:45:00;    14
25.04.2019 05:40:00;    12
02.05.2019 04:25:00;    13
29.06.2019 06:15:00;    12
11.07.2019 03:40:00;    11
31.08.2019 08:40:00;    12
21.09.2019 06:35:00;    10
27.10.2019 19:45:00;    13
29.11.2019 01:25:00;    13
20.12.2019 11:15:00;    13
24.01.2020 05:55:00;    13
25.02.2020 16:20:00;    13
31.03.2020 22:35:00;    12
26.04.2020 04:05:00;    10
28.05.2020 16:20:00;    11
02.06.2020 15:40:00;    11
28.07.2020 18:35:00;    12
27.08.2020 22:15:00;    10
21.09.2020 22:05:00;    11
23.10.2020 00:10:00;    13
30.11.2020 19:50:00;    11
01.12.2020 02:05:00;    11
14.01.2021 08:00:00;    11
28.02.2021 12:30:00;    15
11.03.2021 01:35:00;    13
28.04.2021 21:45:00;    12
01.05.2021 11:15:00;    12
28.06.2021 19:15:00;    11
04.07.2021 15:55:00;    12
15.08.2021 18:40:00;    13
28.09.2021 01:10:00;    12
29.10.2021 20:05:00;    12
01.11.2021 06:50:00;    12
23.12.2021 03:55:00;    14
