Messstelle:                ;St. Michael im Lungau
02.04.2018 12:30:00;    32
21.05.2018 06:15:00;    68
21.06.2018 11:15:00;    46
29.07.2018 14:30:00;    36
12.08.2018 17:45:00;    28
23.09.2018 17:00:00;    29
17.10.2018 05:00:00;    26
29.11.2018 11:30:00;    29
16.12.2018 03:15:00;    26
20.01.2019 03:30:00;    21
05.02.2019 08:30:00;    23
06.03.2019 07:15:00;    31
01.04.2019 17:00:00;    35
16.05.2019 09:15:00;    41
30.06.2019 15:00:00;    57
26.07.2019 06:00:00;    35
19.08.2019 15:30:00;    26
01.09.2019 18:00:00;    26
15.10.2019 08:00:00;    27
01.11.2019 18:45:00;    28
29.12.2019 05:45:00;    31
21.01.2020 09:00:00;    27
19.02.2020 10:00:00;    28
05.03.2020 09:00:00;    29
02.04.2020 09:45:00;    29
06.05.2020 14:30:00;    46
04.06.2020 03:00:00;    45
16.07.2020 07:00:00;    48
20.08.2020 07:15:00;    42
24.09.2020 13:30:00;    42
26.10.2020 07:30:00;    44
27.11.2020 00:00:00;    36
27.12.2020 13:30:00;    29
15.01.2021 09:30:00;    24
12.02.2021 09:30:00;    25
19.03.2021 09:00:00;    26
18.04.2021 19:45:00;    27
09.05.2021 09:00:00;    44
30.06.2021 16:15:00;    55
30.07.2021 02:30:00;    40
15.08.2021 19:45:00;    39
14.09.2021 18:30:00;    30
18.10.2021 08:00:00;    26
01.11.2021 16:45:00;    27
22.12.2021 09:30:00;    19
