Messstelle:                ;Alberndorf
06.07.1999 13:25:15;   117
28.08.1999 08:52:10;   111
24.09.1999 13:49:10;   112
19.10.1999 04:05:10;   117
07.11.1999 02:20:05;   114
17.12.1999 15:16:15;   112
14.01.2000 02:11:50;   113
25.02.2000 05:52:25;   149
07.03.2000 21:41:40;   149
30.04.2000 23:59:55;   134
18.05.2000 08:37:00;   116
23.06.2000 09:00:00;   109
03.07.2000 07:59:15;   109
02.08.2000 07:06:50;   109
16.09.2000 01:58:00;   115
02.10.2000 01:57:10;   118
24.11.2000 15:48:30;   112
02.12.2000 10:10:15;   116
04.01.2001 06:12:50;   120
02.02.2001 12:22:20;   124
04.03.2001 02:07:15;   137
30.04.2001 06:23:30;   140
28.05.2001 09:11:55;   115
28.06.2001 09:35:15;   109
17.07.2001 11:45:00;   108
18.08.2001 01:18:05;   113
01.09.2001 00:00:00;   117
15.10.2001 10:36:20;   120
11.11.2001 18:17:25;   118
24.12.2001 13:13:40;   130
04.01.2002 01:15:50;   127
12.02.2002 13:26:55;   156
18.03.2002 18:22:35;   147
30.04.2002 08:07:45;   132
15.05.2002 07:50:00;   117
20.06.2002 22:02:55;   118
13.07.2002 14:05:00;   115
01.08.2002 00:00:00;   123
20.09.2002 11:16:45;   131
04.10.2002 06:00:00;   137
02.11.2002 07:01:10;   159
22.12.2002 14:55:15;   148
24.01.2003 00:12:00;   147
24.02.2003 17:59:10;   134
27.03.2003 03:07:40;   139
18.04.2003 14:58:45;   129
26.05.2003 09:20:45;   122
13.06.2003 05:26:25;   112
01.07.2003 15:31:10;   111
27.08.2003 08:28:05;   107
21.09.2003 09:05:25;   110
01.10.2003 01:17:50;   112
05.11.2003 10:49:15;   113
04.12.2003 14:16:55;   114
06.01.2004 14:04:05;   116
01.02.2004 00:22:25;   137
06.03.2004 11:10:20;   133
19.04.2004 12:04:15;   147
28.05.2004 09:36:35;   122
01.06.2004 08:03:00;   121
24.07.2004 15:18:10;   113
05.08.2004 08:43:15;   110
02.09.2004 13:57:45;   110
08.10.2004 06:08:35;   114
09.11.2004 12:29:55;   121
16.12.2004 08:27:05;   118
01.01.2005 07:20:00;   127
09.02.2005 08:12:50;   129
11.03.2005 08:40:00;   137
25.04.2005 13:57:05;   132
23.05.2005 18:03:00;   121
28.06.2005 12:08:45;   112
25.07.2005 12:58:25;   114
11.08.2005 07:49:30;   110
01.09.2005 04:28:25;   122
25.10.2005 12:40:00;   132
15.11.2005 15:50:00;   129
06.12.2005 13:30:00;   126
09.01.2006 19:55:00;   133
18.02.2006 00:10:00;   138
04.03.2006 12:50:00;   131
25.04.2006 18:00:00;   165
26.05.2006 18:10:00;   137
22.06.2006 21:45:00;   134
29.07.2006 09:40:00;   130
01.08.2006 08:25:00;   138
22.09.2006 18:05:00;   132
02.10.2006 12:34:20;   134
11.11.2006 13:05:00;   131
13.12.2006 14:30:00;   132
19.01.2007 15:00:00;   133
23.02.2007 12:55:00;   155
19.03.2007 10:00:00;   148
29.04.2007 11:20:00;   135
16.05.2007 07:50:00;   129
19.06.2007 08:05:00;   127
30.07.2007 16:25:00;   123
30.08.2007 07:30:00;   123
01.09.2007 08:15:00;   126
31.10.2007 16:30:00;   132
06.11.2007 19:40:00;   133
30.12.2007 07:50:00;   145
05.01.2008 19:00:00;   133
29.02.2008 05:40:00;   148
01.03.2008 03:40:00;   148
21.04.2008 10:05:00;   132
16.05.2008 13:35:00;   127
29.06.2008 21:25:00;   127
01.07.2008 02:50:00;   127
14.08.2008 11:45:00;   122
12.09.2008 13:00:00;   125
23.10.2008 07:30:00;   130
05.11.2008 13:15:00;   129
12.12.2008 14:05:00;   130
12.01.2009 02:15:00;   127
04.02.2009 10:35:00;   133
23.03.2009 20:40:00;   174
29.04.2009 06:50:00;   138
26.05.2009 22:15:00;   130
19.06.2009 04:35:00;   129
31.07.2009 23:59:55;   143
02.08.2009 20:25:00;   135
30.09.2009 11:25:00;   132
08.10.2009 13:55:00;   128
21.11.2009 14:40:00;   135
30.12.2009 14:55:00;   133
24.01.2010 08:00:00;   140
10.02.2010 20:20:00;   145
15.03.2010 14:00:00;   156
26.04.2010 18:05:00;   154
24.05.2010 22:15:00;   145
30.06.2010 03:30:00;   137
12.07.2010 07:55:00;   126
02.08.2010 20:00:00;   139
21.09.2010 12:15:00;   135
31.10.2010 16:10:00;   139
07.11.2010 03:10:00;   140
06.12.2010 03:25:00;   142
08.01.2011 20:40:00;   149
26.02.2011 11:20:00;   145
10.03.2011 13:40:00;   136
26.04.2011 04:55:00;   131
17.05.2011 15:40:00;   129
14.06.2011 12:25:00;   127
09.07.2011 08:40:00;   127
29.08.2011 16:50:00;   126
02.09.2011 12:25:00;   125
04.10.2011 12:20:00;   134
26.11.2011 01:30:00;   129
20.12.2011 09:35:00;   126
01.01.2012 17:40:00;   135
17.02.2012 09:50:00;   141
29.03.2012 12:10:00;   142
30.04.2012 21:20:00;   129
28.05.2012 20:50:00;   126
29.06.2012 19:20:00;   129
13.07.2012 07:55:00;   126
19.08.2012 13:00:00;   126
19.09.2012 09:00:00;   126
31.10.2012 12:10:00;   128
02.11.2012 22:25:00;   128
06.12.2012 14:15:00;   129
04.01.2013 08:55:00;   146
23.02.2013 07:33:20;   152
28.03.2013 18:29:45;   155
30.04.2013 23:59:55;   146
02.05.2013 01:50:00;   142
24.06.2013 00:24:05;   143
28.07.2013 08:00:00;   130
02.08.2013 12:55:00;   127
10.09.2013 19:00:00;   127
27.10.2013 23:10:00;   131
22.11.2013 19:10:00;   132
31.12.2013 09:15:00;   127
15.01.2014 06:55:00;   134
05.02.2014 07:25:00;   137
23.03.2014 13:40:00;   137
27.04.2014 19:20:00;   127
05.05.2014 22:30:00;   127
23.06.2014 07:35:00;   125
21.07.2014 13:45:00;   124
23.08.2014 08:50:00;   129
11.09.2014 12:30:00;   127
22.10.2014 00:00:00;   139
15.11.2014 10:35:00;   139
01.12.2014 17:55:00;   144
01.01.2015 23:10:00;   145
14.02.2015 10:40:00;   147
22.03.2015 11:15:00;   146
30.04.2015 15:30:00;   136
06.05.2015 08:05:00;   132
11.06.2015 10:25:00;   125
23.07.2015 13:05:00;   123
17.08.2015 00:00:00;   123
30.09.2015 15:05:00;   122
01.10.2015 04:15:00;   124
03.11.2015 11:42:30;   130
28.12.2015 09:10:00;   137
23.01.2016 03:35:00;   135
21.02.2016 01:55:00;   156
31.03.2016 23:59:55;   148
30.04.2016 23:59:55;   135
11.05.2016 08:20:00;   128
26.06.2016 17:30:00;   128
11.07.2016 09:25:00;   125
29.08.2016 09:35:00;   126
15.09.2016 09:35:00;   124
02.10.2016 21:45:00;   126
01.11.2016 09:45:00;   127
23.12.2016 06:40:00;   129
20.01.2017 06:00:00;   127
16.02.2017 16:45:00;   131
30.03.2017 16:10:00;   141
16.04.2017 22:20:00;   136
29.05.2017 12:45:00;   129
24.06.2017 06:45:00;   122
21.07.2017 03:30:00;   122
31.08.2017 23:59:55;   122
03.09.2017 13:25:00;   122
03.10.2017 08:10:00;   126
30.11.2017 09:30:00;   124
19.12.2017 11:15:00;   128
01.01.2018 00:00:00;   137
28.02.2018 23:55:00;   125
01.03.2018 00:00:00;   125
30.04.2018 15:25:00;   126
16.05.2018 06:55:00;   124
08.06.2018 07:30:00;   123
31.07.2018 23:59:55;   123
29.08.2018 13:15:00;   119
01.09.2018 03:15:00;   119
01.10.2018 13:15:00;   124
30.11.2018 23:30:00;   126
01.12.2018 23:25:00;   126
01.01.2019 00:00:00;   142
02.02.2019 00:25:00;   143
28.03.2019 17:45:00;   154
27.04.2019 19:40:00;   131
10.05.2019 09:50:00;   130
30.06.2019 23:59:55;   127
02.07.2019 05:55:00;   125
31.08.2019 08:15:00;   123
01.09.2019 00:00:00;   123
01.10.2019 15:10:00;   128
02.11.2019 05:55:00;   130
13.12.2019 13:40:00;   130
09.01.2020 13:40:00;   132
01.02.2020 00:00:00;   140
31.03.2020 06:25:00;   138
30.04.2020 04:00:00;   131
09.05.2020 09:55:00;   126
05.06.2020 02:20:00;   130
29.07.2020 12:20:00;   134
01.08.2020 17:10:00;   132
24.09.2020 13:50:00;   137
09.10.2020 09:40:00;   143
30.11.2020 23:59:55;   148
21.12.2020 05:10:00;   147
05.01.2021 13:40:00;   146
17.02.2021 10:35:00;   172
31.03.2021 23:45:00;   149
29.04.2021 06:50:00;   139
12.05.2021 12:40:00;   137
19.06.2021 14:10:00;   125
28.07.2021 18:10:00;   130
11.08.2021 19:20:00;   130
10.09.2021 23:15:00;   133
27.10.2021 10:30:00;   134
17.11.2021 08:30:00;   129
13.12.2021 10:20:00;   135
