Messstelle:                ;Loipersbach
01.12.1988 05:30:00;   120
29.01.1989 17:45:00;   119
10.02.1989 18:45:00;   119
12.03.1989 04:00:00;   141
26.04.1989 21:15:00;   138
01.05.1989 00:00:00;   148
03.06.1989 20:30:00;   139
24.07.1989 18:15:00;   149
17.08.1989 19:45:00;   133
22.09.1989 18:15:00;   122
20.10.1989 15:30:00;   120
14.11.1989 09:15:00;   119
02.12.1989 08:00:00;   119
01.01.1990 00:00:00;   120
01.02.1990 00:00:00;   120
04.03.1990 00:15:00;   120
10.04.1990 17:45:00;   120
08.05.1990 18:15:00;   119
01.06.1990 00:00:00;   120
06.07.1990 06:45:00;   120
01.08.1990 00:00:00;   120
12.09.1990 14:15:00;   119
01.10.1990 22:15:00;   120
01.11.1990 00:00:00;   120
01.12.1990 00:00:00;   120
15.01.1991 14:30:00;   116
03.02.1991 01:15:00;   116
23.03.1991 04:45:00;   118
01.04.1991 22:30:00;   118
02.05.1991 23:00:00;   119
30.06.1991 23:59:55;   130
07.07.1991 11:30:00;   118
31.08.1991 23:45:00;   155
01.09.1991 00:00:00; Lücke
01.10.1991 00:00:00; Lücke
01.11.1991 00:00:00; Lücke
01.12.1991 00:00:00; Lücke
01.01.1992 00:00:00; Lücke
01.02.1992 00:00:00; Lücke
01.03.1992 00:00:00; Lücke
01.04.1992 00:00:00; Lücke
01.05.1992 00:00:00; Lücke
01.06.1992 00:00:00; Lücke
01.07.1992 00:00:00; Lücke
01.08.1992 00:00:00; Lücke
01.09.1992 00:00:00; Lücke
01.10.1992 00:00:00; Lücke
01.11.1992 00:00:00; Lücke
01.12.1992 00:00:00; Lücke
01.01.1993 00:00:00; Lücke
01.02.1993 00:00:00; Lücke
01.03.1993 00:00:00; Lücke
01.04.1993 00:00:00; Lücke
01.05.1993 00:00:00; Lücke
01.06.1993 00:00:00; Lücke
01.07.1993 00:00:00; Lücke
01.08.1993 00:00:00; Lücke
01.09.1993 00:00:00; Lücke
01.10.1993 00:00:00; Lücke
01.11.1993 00:00:00; Lücke
31.12.1993 23:59:55;   110
18.01.1994 17:15:00;   109
01.02.1994 00:00:00;   110
01.03.1994 00:00:00;   110
09.04.1994 23:45:00;   125
10.05.1994 01:30:00;   130
29.06.1994 19:45:00;   109
01.07.1994 16:30:00;   110
01.08.1994 00:00:00;   110
20.09.1994 17:15:00;   109
01.10.1994 00:00:00;   110
01.11.1994 00:00:00;   110
01.12.1994 00:00:00;   110
03.01.1995 04:15:00;   110
26.02.1995 13:45:00;   109
16.03.1995 00:00:00;   109
01.04.1995 18:15:00;   153
30.05.1995 14:45:00;   137
20.06.1995 17:30:00;   117
14.07.1995 08:00:00;   109
02.08.1995 00:45:00;   109
11.09.1995 04:45:00;   109
01.10.1995 14:30:00;   110
18.11.1995 05:15:00;   109
17.12.1995 00:15:00;   109
03.01.1996 05:00:00;   110
01.02.1996 00:00:00;   110
01.03.1996 00:00:00;   110
04.04.1996 10:00:00;   130
31.05.1996 23:59:55;   189
19.06.1996 21:00:00;   150
31.07.1996 13:45:00;   123
15.08.1996 17:45:00;   109
01.09.1996 00:00:00;   110
15.10.1996 21:00:00;   154
29.11.1996 13:30:00;   139
13.12.1996 22:00:00;   110
31.01.1997 23:59:55;   110
28.02.1997 23:59:55;   110
04.03.1997 15:14:55;   110
24.04.1997 16:58:15;   172
31.05.1997 19:06:55;   167
11.06.1997 14:07:05;   143
04.07.1997 03:18:40;   140
31.08.1997 23:59:55;   133
20.09.1997 17:24:00;   110
31.10.1997 23:59:55;   110
17.11.1997 17:45:25;   110
01.12.1997 00:00:00;   110
01.01.1998 00:00:00;   110
01.02.1998 00:00:00;   110
01.03.1998 00:00:00;   110
20.04.1998 18:18:15;   127
15.05.1998 22:55:40;   110
10.06.1998 16:50:05;   110
01.07.1998 00:00:00;   110
10.08.1998 03:40:20;   110
01.09.1998 00:00:00;   110
05.10.1998 08:58:30;   110
06.11.1998 07:15:40;   110
03.12.1998 20:25:45;   110
18.01.1999 06:48:05;   110
01.02.1999 00:00:00;   110
22.03.1999 20:24:20;   149
15.04.1999 10:38:35;   138
31.05.1999 22:52:00;   162
15.06.1999 17:48:45;   121
06.07.1999 06:51:45;   110
05.08.1999 19:20:30;   142
29.09.1999 17:31:45;   130
18.10.1999 19:24:00;   110
30.11.1999 23:59:55;   110
03.12.1999 06:36:50;   110
19.01.2000 10:05:25;   105
23.02.2000 14:26:45;   132
07.03.2000 18:40:40;   153
13.04.2000 17:12:00;   186
31.05.2000 14:35:55;   126
09.06.2000 00:54:10;   105
01.07.2000 00:00:00;   105
01.08.2000 00:00:00;   105
23.09.2000 22:20:15;   105
01.10.2000 00:00:00;   105
01.11.2000 00:00:00;   105
01.12.2000 00:00:00;   105
01.01.2001 00:00:00;   105
01.02.2001 00:00:00;   105
01.03.2001 00:00:00;   105
07.04.2001 06:22:00;   105
15.05.2001 12:42:10;   105
13.06.2001 03:57:30;   105
01.07.2001 00:00:00;   105
01.08.2001 00:00:00;   105
01.09.2001 00:00:00;   105
01.10.2001 04:05:40;   105
01.11.2001 00:00:00;   105
01.12.2001 00:00:00;   105
01.01.2002 00:00:00;   105
22.02.2002 09:23:15;   105
09.03.2002 11:04:55;   105
24.04.2002 04:47:10;   139
24.05.2002 09:01:30;   104
01.06.2002 00:00:00;   105
01.07.2002 16:38:05;   105
07.08.2002 04:26:40;   105
08.09.2002 19:17:25;   105
08.10.2002 22:16:20;   105
29.11.2002 16:37:20;   148
16.12.2002 18:54:05;   138
19.01.2003 16:45:00;   139
13.02.2003 07:00:00;   105
01.03.2003 00:00:00;   105
09.04.2003 08:30:00;   105
05.05.2003 21:15:00;   105
01.06.2003 00:00:00;   105
01.07.2003 00:00:00;   105
01.08.2003 00:00:00;   105
01.09.2003 00:00:00;   105
01.10.2003 00:00:00;   105
01.11.2003 00:00:00;   105
01.12.2003 00:00:00;   105
01.01.2004 00:00:00;   105
01.02.2004 00:00:00;   105
02.03.2004 14:20:00;   105
16.04.2004 01:05:00;   145
12.05.2004 12:55:50;   147
19.06.2004 21:35:30;   145
22.07.2004 22:21:05;   105
01.08.2004 00:00:00;   105
01.09.2004 00:00:00;   105
01.10.2004 00:00:00;   105
01.11.2004 00:00:00;   105
01.12.2004 00:00:00;   105
01.01.2005 00:00:00;   105
01.02.2005 00:00:00;   105
01.03.2005 00:00:00;   105
24.04.2005 08:58:50;   166
30.05.2005 17:14:30;   148
21.06.2005 14:45:40;   105
01.07.2005 00:00:00;   105
01.08.2005 00:00:00;   105
10.09.2005 14:03:55;   105
10.10.2005 01:33:55;   105
01.11.2005 00:00:00;   105
01.12.2005 00:00:00;   105
01.01.2006 00:00:00;   105
01.02.2006 00:00:00;   105
01.03.2006 00:00:00;   105
14.04.2006 12:24:20;   174
25.05.2006 16:47:15;   164
25.06.2006 21:44:20;   160
30.07.2006 17:23:15;   105
01.08.2006 00:00:00;   105
03.09.2006 13:05:00;   105
01.10.2006 00:00:00;   105
10.11.2006 03:11:55;   105
01.12.2006 00:00:00;   105
01.01.2007 00:00:00;   105
01.02.2007 00:00:00;   105
17.03.2007 19:52:55;   105
22.04.2007 18:11:00;   105
01.05.2007 00:00:00;   105
01.06.2007 00:00:00;   105
01.07.2007 00:00:00;   105
01.08.2007 00:00:00;   105
01.09.2007 00:00:00;   105
14.10.2007 18:00:00;   105
06.11.2007 16:30:00;   164
31.12.2007 17:45:00;   150
27.01.2008 09:15:00;   133
22.02.2008 21:00:00;   105
27.03.2008 14:42:05;   137
18.04.2008 20:38:30;   146
31.05.2008 18:53:35;   134
23.06.2008 21:27:10;   118
12.07.2008 04:30:25;   136
31.08.2008 22:23:05;   132
05.09.2008 18:55:25;   105
11.10.2008 17:38:05;   105
01.11.2008 00:00:00;   105
01.12.2008 00:00:00;   105
04.01.2009 01:05:00;   105
01.02.2009 00:00:00;   105
01.03.2009 18:25:00;   137
25.04.2009 19:50:00;   188
28.05.2009 16:15:00;   153
18.06.2009 23:20:00;   125
31.07.2009 07:05:00;   151
27.08.2009 11:40:00;   143
17.09.2009 10:30:00;   105
01.10.2009 00:00:00;   105
21.11.2009 02:55:00;   105
01.12.2009 00:00:00;   105
01.01.2010 00:00:00;   105
01.02.2010 00:00:00;   105
06.03.2010 04:30:00;   105
10.04.2010 02:00:00;   136
01.05.2010 00:00:00;   139
27.06.2010 19:20:00;   143
30.07.2010 19:45:00;   105
28.08.2010 01:05:00;   105
25.09.2010 23:10:00;   105
05.10.2010 19:15:00;   105
01.11.2010 00:00:00;   105
01.12.2010 00:00:00;   105
29.01.2011 04:10:00;   105
19.02.2011 22:20:00;   105
01.03.2011 00:00:00;   105
16.04.2011 13:35:00;   105
17.05.2011 04:20:00;   105
08.06.2011 00:00:00;   105
27.07.2011 09:55:00;   105
27.08.2011 21:50:00;   105
22.09.2011 03:55:00;   105
21.10.2011 12:55:00;   105
01.11.2011 00:00:00;   105
01.12.2011 00:00:00;   105
14.01.2012 05:55:00;   105
14.02.2012 12:04:30;   105
10.03.2012 20:00:00;   157
20.04.2012 17:10:00;   149
30.05.2012 12:00:00;   105
09.06.2012 14:40:00;   105
11.07.2012 05:46:00;   105
17.08.2012 20:30:00;   105
01.09.2012 00:00:00;   105
31.10.2012 23:59:55;   105
05.11.2012 08:15:00;   105
01.12.2012 00:00:00;   105
05.01.2013 02:15:00;   104
25.02.2013 11:50:00;   129
30.03.2013 10:20:00;   141
02.04.2013 06:05:00;   141
30.05.2013 09:50:00;   154
21.06.2013 23:30:00;   151
31.07.2013 23:59:55;   105
17.08.2013 16:25:00;   105
02.09.2013 22:05:00;   105
07.10.2013 16:25:00;   105
22.11.2013 23:30:00;   105
31.12.2013 23:35:00;   141
31.01.2014 23:59:55;   105
02.02.2014 15:50:00;   105
06.03.2014 02:00:00;   105
13.04.2014 22:40:00;   105
10.05.2014 17:55:00;   126
25.06.2014 10:55:00;   105
07.07.2014 15:30:00;   105
29.08.2014 01:15:00;   125
10.09.2014 17:50:00;   152
21.10.2014 09:55:00;   140
17.11.2014 20:35:00;   105
29.12.2014 11:55:00;   106
03.01.2015 10:35:00;   113
21.02.2015 17:05:00;   105
16.03.2015 12:00:00;   105
08.04.2015 00:30:00;   150
20.05.2015 15:20:00;   113
24.06.2015 20:25:00;   105
09.07.2015 07:55:00;   105
01.08.2015 00:00:00;   105
01.09.2015 00:00:00;   105
10.10.2015 01:25:00;   105
01.11.2015 00:00:00;   105
04.12.2015 11:45:00;   105
31.01.2016 23:59:55;   105
01.02.2016 06:35:00;   105
25.03.2016 19:05:00;   105
17.04.2016 03:15:00;   105
01.05.2016 00:00:00;   105
19.06.2016 19:40:00;   139
11.07.2016 04:40:00;   131
04.08.2016 02:30:00;   123
04.09.2016 21:00:00;   110
03.10.2016 21:05:00;   105
02.11.2016 17:05:00;   116
18.12.2016 04:50:00;   114
06.01.2017 09:05:00;   105
01.02.2017 00:00:00;   105
09.03.2017 15:40:00;   153
17.04.2017 17:55:00;   147
31.05.2017 22:50:00;   151
17.06.2017 23:10:00;   105
01.07.2017 00:00:00;   105
01.08.2017 01:05:00;   105
01.09.2017 00:00:00;   105
01.10.2017 18:45:00;   105
17.11.2017 16:05:00;   128
10.12.2017 09:35:00;   113
18.01.2018 13:35:00;   134
25.02.2018 13:40:00;   105
01.03.2018 00:00:00;   105
29.04.2018 17:55:00;   136
31.05.2018 15:55:00;   111
01.06.2018 00:00:00;   111
31.07.2018 23:50:00;   112
29.08.2018 23:30:00;   108
24.09.2018 08:30:00;   105
22.10.2018 20:55:00;   105
01.11.2018 20:40:00;   105
18.12.2018 05:40:00;   109
30.01.2019 16:45:00;   123
01.02.2019 14:25:00;   126
28.03.2019 09:50:00;   156
19.04.2019 01:25:00;   154
08.05.2019 23:00:00;   166
30.06.2019 18:40:00;   117
02.07.2019 21:55:00;   105
26.08.2019 16:45:00;   112
17.09.2019 05:45:00;   110
01.10.2019 09:55:00;   113
30.11.2019 23:59:55;   105
31.12.2019 23:59:55;   105
31.01.2020 23:59:55;   105
01.02.2020 05:10:00;   105
31.03.2020 23:59:55;   105
30.04.2020 23:59:55;   105
26.05.2020 05:40:00;   105
19.06.2020 06:00:00;   105
25.07.2020 00:20:00;   105
01.08.2020 00:00:00;   105
24.09.2020 22:20:00;   121
29.10.2020 10:05:00;   149
26.11.2020 22:20:00;   105
08.12.2020 15:15:00;   115
18.01.2021 07:45:00;   116
15.02.2021 18:30:00;   123
26.03.2021 05:50:00;   105
10.04.2021 06:00:00;   107
31.05.2021 18:05:00;   115
16.06.2021 01:05:00;   107
01.07.2021 16:15:00;   108
15.08.2021 11:45:00;   115
25.09.2021 23:05:00;   105
04.10.2021 22:10:00;   105
09.11.2021 16:10:00;   107
23.12.2021 13:25:00;   111
