Messstelle:                ;Pitzenberg
21.06.2002 16:59:00;   114
29.07.2002 16:43:25;   117
26.08.2002 19:07:55;   117
10.09.2002 23:38:50;   115
01.10.2002 20:21:20;   119
30.11.2002 15:19:35;   120
14.12.2002 19:13:20;   117
12.01.2003 04:31:10;   118
15.02.2003 03:40:25;   118
01.03.2003 10:02:25;   119
29.04.2003 15:16:25;   119
01.05.2003 00:02:20;   120
08.06.2003 22:58:35;   119
25.07.2003 21:36:25;   116
27.08.2003 19:24:00;   112
07.09.2003 18:06:20;   113
25.10.2003 12:30:15;   117
30.11.2003 04:58:20;   115
01.12.2003 21:07:50;   116
24.01.2004 03:06:35;   116
26.02.2004 05:59:30;   116
23.03.2004 08:07:40;   118
30.04.2004 11:55:50;   117
19.05.2004 19:06:45;   116
29.06.2004 16:00:30;   115
01.07.2004 14:54:30;   115
13.08.2004 17:23:50;   115
22.09.2004 18:41:05;   115
20.10.2004 03:22:20;   116
06.11.2004 09:09:50;   117
21.12.2004 01:48:40;   116
28.01.2005 22:01:45;   114
06.02.2005 07:39:00;   115
01.03.2005 00:52:00;   116
08.04.2005 19:58:10;   118
05.05.2005 15:57:25;   120
27.06.2005 04:27:55;   119
29.07.2005 19:07:55;   116
31.08.2005 16:45:20;   114
02.09.2005 19:01:25;   114
10.10.2005 18:51:10;   118
20.11.2005 15:24:15;   116
31.12.2005 00:19:10;   116
11.01.2006 07:57:45;   117
03.02.2006 06:10:30;   115
02.03.2006 06:57:30;   119
26.04.2006 01:16:05;   119
11.05.2006 08:29:40;   120
27.06.2006 16:48:25;   119
31.07.2006 19:26:25;   117
11.08.2006 16:59:55;   118
23.09.2006 23:00:00;   117
28.10.2006 03:30:00;   117
04.11.2006 04:00:00;   118
28.12.2006 10:45:00;   118
18.01.2007 00:15:00;   120
11.02.2007 20:30:00;   120
17.03.2007 16:15:00;   122
28.04.2007 17:15:00;   120
02.05.2007 16:00:00;   120
29.06.2007 16:30:00;   120
28.07.2007 17:00:00;   118
19.08.2007 17:30:00;   115
03.09.2007 16:00:00;   118
13.10.2007 13:30:00;   117
24.11.2007 10:30:00;   116
23.12.2007 08:45:00;   118
13.01.2008 05:45:00;   117
16.02.2008 15:00:00;   116
31.03.2008 23:59:55;   117
01.04.2008 16:00:00;   117
31.05.2008 21:00:00;   119
29.06.2008 20:45:00;   119
31.07.2008 20:15:00;   117
14.08.2008 19:00:00;   114
06.09.2008 18:30:00;   117
16.10.2008 04:45:00;   117
12.11.2008 16:15:00;   117
05.12.2008 15:30:00;   118
09.01.2009 04:30:00;   117
18.02.2009 06:15:00;   118
21.03.2009 18:00:00;   120
24.04.2009 19:00:00;   118
11.05.2009 15:45:00;   117
18.06.2009 17:00:00;   119
23.07.2009 17:15:00;   116
28.08.2009 16:30:00;   117
01.09.2009 17:30:00;   116
30.10.2009 11:00:00;   117
01.11.2009 22:00:00;   117
20.12.2009 08:45:00;   116
27.01.2010 07:30:00;   114
01.02.2010 10:30:00;   118
08.03.2010 05:15:00;   118
29.04.2010 18:00:00;   119
08.05.2010 15:15:00;   119
27.06.2010 16:15:00;   115
22.07.2010 16:30:00;   116
26.08.2010 16:45:00;   116
06.09.2010 18:00:00;   117
11.10.2010 19:00:00;   117
17.11.2010 22:30:00;   117
19.12.2010 04:07:50;   116
06.01.2011 04:09:40;   116
24.02.2011 07:30:00;   117
09.03.2011 15:00:00;   117
11.04.2011 08:30:00;   118
11.05.2011 17:00:00;   118
29.06.2011 18:30:00;   117
12.07.2011 16:00:00;   117
26.08.2011 17:00:00;   115
03.09.2011 17:30:00;   116
29.10.2011 14:00:00;   116
05.11.2011 15:00:00;   116
01.12.2011 01:30:00;   118
18.01.2012 08:30:00;   118
02.02.2012 03:45:00;   116
26.03.2012 16:15:00;   119
21.04.2012 17:15:00;   118
01.05.2012 00:00:00;   119
29.06.2012 18:15:00;   116
01.07.2012 15:15:00;   116
20.08.2012 17:15:00;   114
11.09.2012 17:15:00;   115
06.10.2012 17:15:00;   116
04.11.2012 11:45:00;   117
13.12.2012 00:00:00;   116
27.01.2013 04:30:00;   118
11.02.2013 02:00:00;   120
28.03.2013 09:00:00;   121
28.04.2013 11:00:00;   120
01.05.2013 00:00:00;   120
20.06.2013 17:15:00;   119
27.07.2013 18:15:00;   118
16.08.2013 18:00:00;   117
03.09.2013 17:15:00;   117
05.10.2013 00:30:00;   117
01.11.2013 14:00:00;   118
29.12.2013 19:30:00;   119
02.01.2014 09:45:25;   119
01.02.2014 00:45:00;   119
20.03.2014 16:15:00;   119
23.04.2014 21:30:00;   120
25.05.2014 18:00:00;   116
14.06.2014 19:15:00;   116
07.07.2014 16:45:00;   117
10.08.2014 17:00:00;   116
08.09.2014 15:30:00;   117
10.10.2014 18:15:00;   118
11.11.2014 12:00:00;   118
29.12.2014 05:45:00;   118
01.01.2015 06:15:00;   119
05.02.2015 01:30:00;   118
09.03.2015 12:45:00;   116
15.04.2015 14:15:00;   117
16.05.2015 15:45:00;   116
13.06.2015 17:30:00;   116
26.07.2015 19:15:00;   113
31.08.2015 19:00:00;   114
01.09.2015 18:45:00;   113
27.10.2015 16:15:00;   114
07.11.2015 11:15:00;   114
30.12.2015 14:30:00;   115
21.01.2016 18:22:05;   115
28.02.2016 09:15:00;   116
25.03.2016 15:45:00;   116
06.04.2016 13:15:00;   115
28.05.2016 19:00:00;   115
25.06.2016 16:15:00;   114
20.07.2016 15:00:00;   113
04.08.2016 17:30:00;   114
04.09.2016 16:15:00;   114
01.10.2016 17:15:00;   115
02.11.2016 04:15:00;   116
05.12.2016 10:15:00;   116
06.01.2017 07:39:15;   113
28.02.2017 12:30:00;   116
30.03.2017 02:00:00;   115
14.04.2017 16:00:00;   115
30.05.2017 17:15:00;   114
16.06.2017 19:00:00;   113
23.07.2017 16:45:00;   113
03.08.2017 17:00:00;   113
15.09.2017 17:30:00;   114
05.10.2017 20:15:00;   114
05.11.2017 05:30:00;   116
03.12.2017 21:45:00;   118
15.01.2018 13:30:00;   118
27.02.2018 18:57:40;   115
01.03.2018 00:00:00;   117
30.04.2018 17:15:00;   116
30.05.2018 17:30:00;   115
20.06.2018 18:15:00;   114
31.07.2018 13:15:00;   112
01.08.2018 17:15:00;   112
11.09.2018 16:30:00;   114
13.10.2018 12:15:00;   114
10.11.2018 10:00:00;   114
01.12.2018 00:00:00;   116
25.01.2019 13:30:00;   116
02.02.2019 14:30:00;   116
29.03.2019 15:00:00;   116
06.04.2019 19:15:00;   115
02.05.2019 15:00:00;   117
30.06.2019 18:00:00;   114
05.07.2019 17:15:00;   113
11.08.2019 17:30:00;   114
05.09.2019 16:45:00;   113
01.10.2019 00:00:00;   114
04.11.2019 22:45:00;   116
06.12.2019 11:15:00;   116
03.01.2020 16:30:00;   116
22.02.2020 14:15:00;   117
27.03.2020 16:00:00;   116
06.04.2020 21:00:00;   115
09.05.2020 13:45:00;   116
13.06.2020 18:00:00;   115
10.07.2020 17:30:00;   113
10.08.2020 17:15:00;   113
15.09.2020 17:30:00;   116
09.10.2020 15:15:00;   117
30.11.2020 15:00:00;   117
01.12.2020 05:30:00;   117
12.01.2021 06:30:00;   117
15.02.2021 05:00:00;   114
03.03.2021 00:30:00;   117
26.04.2021 13:30:00;   116
04.05.2021 10:30:00;   116
19.06.2021 17:00:00;   113
06.07.2021 14:00:00;   113
13.08.2021 17:00:00;   115
26.09.2021 17:15:00;   116
31.10.2021 13:45:00;   116
20.11.2021 15:00:00;   116
22.12.2021 08:45:00;   117
